id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
13743,virology,Медицина,Что из перечисленного ниже является необычной особенностью цикла репликации у коронавирусов?,Все РНК заканчиваются на общем 3-штрих конце и производят вложенные наборные транскрипты,Они используют преимущества рекомбинации с длинным РНК-геномом,Они не отличаются высокой изменчивостью,Они используют кэппированные клеточные мРНК.,B,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Что из перечисленного ниже является необычной особенностью цикла репликации у коронавирусов?,"A)
Что из указанного ниже выступает редкой характеристикой процесса размножения у коронавирусов?

B)
Что из названного ниже представляет собой специфическую черту периода копирования у коронавирусов?

C)
Что из приведенного ниже считается неординарным свойством фазы воспроизведения у коронавирусов?

D)
Что из упомянутого ниже является уникальным качеством этапа дупликации у коронавирусов?",Что из указанного ниже выступает редкой характеристикой процесса размножения у коронавирусов?,Что из названного ниже представляет собой специфическую черту периода копирования у коронавирусов?,Что из приведенного ниже считается неординарным свойством фазы воспроизведения у коронавирусов?,Что из упомянутого ниже является уникальным качеством этапа дупликации у коронавирусов?,A,A,C,D
2362,elementary_mathematics,Математика,Школьный округ предлагает увеличить количество дней в учебном году на 5%. В настоящее время в учебном году 180 дней. Какова будет продолжительность учебного года при предлагаемом увеличении?,181 день,183 дня,185 дней,189 дней,D,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Школьный округ предлагает увеличить количество дней в учебном году на 5%. В настоящее время в учебном году 180 дней. Какова будет продолжительность учебного года при предлагаемом увеличении?,"A)
Учебный район планирует приумножить число суток в академическом цикле на 5%. Сейчас в академическом цикле 180 суток. Какой окажется длительность академического цикла при планируемом приумножении?

B)
Образовательный департамент намечает расширить объем времени в школьном сезоне на 5%. Сегодня в школьном сезоне 180 времени. Какой станет протяженность школьного сезона при намечаемом расширении?

C)
Местный отдел предполагает нарастить сумму дат в годовом курсе на 5%. В текущий период в годовом курсе 180 дат. Чему составит величина годового курса при предполагаемом наращивании?

D)
Администрация просвещения выдвигает добавить количество смен в учебном периоде на 5%. В данный момент в учебном периоде 180 смен. Каковой будет долгота учебного периода при выдвигаемом добавлении?",Учебный район планирует приумножить число суток в академическом цикле на 5%. Сейчас в академическом цикле 180 суток. Какой окажется длительность академического цикла при планируемом приумножении?,Образовательный департамент намечает расширить объем времени в школьном сезоне на 5%. Сегодня в школьном сезоне 180 времени. Какой станет протяженность школьного сезона при намечаемом расширении?,Местный отдел предполагает нарастить сумму дат в годовом курсе на 5%. В текущий период в годовом курсе 180 дат. Чему составит величина годового курса при предполагаемом наращивании?,Администрация просвещения выдвигает добавить количество смен в учебном периоде на 5%. В данный момент в учебном периоде 180 смен. Каковой будет долгота учебного периода при выдвигаемом добавлении?,E,E,C,D
4825,high_school_physics,Физика,"Частица подвергается воздействию консервативной силы, функция потенциальной энергии которой равна U(x) = (x – 2)3 – 12x, где U задается в джоулях, когда x измеряется в метрах. Что из нижеперечисленного представляет собой положение устойчивого равновесия?",x = -4,x = -2,x = 0,x = 4,D,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,"Частица подвергается воздействию консервативной силы, функция потенциальной энергии которой равна U(x) = (x – 2)3 – 12x, где U задается в джоулях, когда x измеряется в метрах. Что из нижеперечисленного представляет собой положение устойчивого равновесия?","A)
Микрочастица испытывает влияние консервативного поля, функция потенциальной энергии которого составляет U(x) = (x – 2)3 – 12x, где U выражается в джоулях, если x измеряется в метрах. Какое из следующих значений является точкой устойчивого равновесия?

B)
Объект подвержен действию потенциальной силы, зависимость потенциальной энергии которой описывается как U(x) = (x – 2)3 – 12x, где U указана в джоулях, при условии что x измеряется в метрах. Что из указанного ниже является координатой устойчивого равновесия?

C)
Тело находится под воздействием стационарной силы, выражение потенциальной энергии которой выглядит как U(x) = (x – 2)3 – 12x, где U приводится в джоулях, в то время как x измеряется в метрах. Что из приведенного далее обозначает позицию устойчивого равновесия?

D)
Элемент подвергается давлению консервативной силы, формула потенциальной энергии которой определена как U(x) = (x – 2)3 – 12x, где U вычисляется в джоулях, когда x измеряется в метрах. Что из предложенного представляет собой состояние устойчивого равновесия?","Микрочастица испытывает влияние консервативного поля, функция потенциальной энергии которого составляет U(x) = (x – 2)3 – 12x, где U выражается в джоулях, если x измеряется в метрах. Какое из следующих значений является точкой устойчивого равновесия?","Объект подвержен действию потенциальной силы, зависимость потенциальной энергии которой описывается как U(x) = (x – 2)3 – 12x, где U указана в джоулях, при условии что x измеряется в метрах. Что из указанного ниже является координатой устойчивого равновесия?","Тело находится под воздействием стационарной силы, выражение потенциальной энергии которой выглядит как U(x) = (x – 2)3 – 12x, где U приводится в джоулях, в то время как x измеряется в метрах. Что из приведенного далее обозначает позицию устойчивого равновесия?","Элемент подвергается давлению консервативной силы, формула потенциальной энергии которой определена как U(x) = (x – 2)3 – 12x, где U вычисляется в джоулях, когда x измеряется в метрах. Что из предложенного представляет собой состояние устойчивого равновесия?",A,A,C,D
2387,elementary_mathematics,Математика,"Группа студентов составляет карту окрестностей своей школы. Они помещают школу в точку (0, 0). Ближайший магазин размещается в точке (–5, 7). В каком квадранте находится точка, представляющая ближайший магазин?",Квадрант I,Квадрант II,Квадрант III,Квадрант IV,B,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,"Группа студентов составляет карту окрестностей своей школы. Они помещают школу в точку (0, 0). Ближайший магазин размещается в точке (–5, 7). В каком квадранте находится точка, представляющая ближайший магазин?","A)
Коллектив учащихся чертит план территории своего лицея. Ребята располагают здание в координате (0, 0). Соседний маркет располагается в отметке (–5, 7). В какой четверти расположена точка, обозначающая соседний маркет?

B)
Команда учеников подготавливает схему местности своего училища. Подростки фиксируют школу в позиции (0, 0). Окрестный универмаг находится в позиции (–5, 7). В каком секторе помещена точка, отображающая окрестный универмаг?

C)
Бригада подростков рисует абрис пространства своей гимназии. Юноши устанавливают центр в локации (0, 0). Близлежащий киоск пребывает в локации (–5, 7). В какой части зафиксирована точка, символизирующая близлежащий киоск?

D)
Отряд школьников проектирует топографию района своей академии. Дети помещают объект в декарте (0, 0). Прилегающий гастроном локализован в декарте (–5, 7). В каком делении пребывает точка, характеризующая прилегающий гастроном?","Коллектив учащихся чертит план территории своего лицея. Ребята располагают здание в координате (0, 0). Соседний маркет располагается в отметке (–5, 7). В какой четверти расположена точка, обозначающая соседний маркет?","Команда учеников подготавливает схему местности своего училища. Подростки фиксируют школу в позиции (0, 0). Окрестный универмаг находится в позиции (–5, 7). В каком секторе помещена точка, отображающая окрестный универмаг?","Бригада подростков рисует абрис пространства своей гимназии. Юноши устанавливают центр в локации (0, 0). Близлежащий киоск пребывает в локации (–5, 7). В какой части зафиксирована точка, символизирующая близлежащий киоск?","Отряд школьников проектирует топографию района своей академии. Дети помещают объект в декарте (0, 0). Прилегающий гастроном локализован в декарте (–5, 7). В каком делении пребывает точка, характеризующая прилегающий гастроном?",A,A,C,D
5359,high_school_psychology,Общество,"Джей страдает от периодов амнезии и частой потери чувства личной идентичности. Вероятно, у Джея",шизофреническое расстройство,ассоциативное расстройство,антисоциальное расстройство,диссоциативное расстройство,D,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Джей страдает от периодов амнезии и частой потери чувства личной идентичности. Вероятно, у Джея","A)
Джей мучается от приступов беспамятства и регулярной утраты ощущения индивидуальной самобытности. Вероятно, у Джея

B)
Джей испытывает эпизоды провалов в памяти и постоянного лишения осознания собственной личности. Наверное, у Джея

C)
Джей переносит фазы потери памяти и систематического исчезновения чувства персональной идентичности. По-видимому, у Джея

D)
Джей подвержен циклам забывчивости и многократной пропажи восприятия своей сущности. Очевидно, у Джея","Джей мучается от приступов беспамятства и регулярной утраты ощущения индивидуальной самобытности. Вероятно, у Джея","Джей испытывает эпизоды провалов в памяти и постоянного лишения осознания собственной личности. Наверное, у Джея","Джей переносит фазы потери памяти и систематического исчезновения чувства персональной идентичности. По-видимому, у Джея","Джей подвержен циклам забывчивости и многократной пропажи восприятия своей сущности. Очевидно, у Джея",A,B,C,D
8379,moral_disputes,Философия,"Что из нижеследующего не является примером самоочевидного утверждения, которое приводит Аквинат?","""Каждое целое больше, чем его часть"".","""Свет Твоего лика, о Господь, запечатлен на нас"".","""Вещи, равные одному и тому же, равны друг другу"".","""Человек - разумное существо"".",B,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Что из нижеследующего не является примером самоочевидного утверждения, которое приводит Аквинат?","A)
Что из последующего не выступает образцом самоочевидного высказывания, которое цитирует Аквинат?

B)
Что из нижеуказанного не считается вариантом самоочевидного тезиса, который упоминает Аквинат?

C)
Что из нижеперечисленного не служит иллюстрацией самоочевидного суждения, которое представляет Аквинат?

D)
Что из представленного не является случаем самоочевидного изречения, которое приводит Аквинат?","Что из последующего не выступает образцом самоочевидного высказывания, которое цитирует Аквинат?","Что из нижеуказанного не считается вариантом самоочевидного тезиса, который упоминает Аквинат?","Что из нижеперечисленного не служит иллюстрацией самоочевидного суждения, которое представляет Аквинат?","Что из представленного не является случаем самоочевидного изречения, которое приводит Аквинат?",C,B,C,D
4299,high_school_mathematics,Математика,Упростите $\frac{k-3}{2} + 3k+1+\frac{3k+1}{2}$.,3k+1,5k,3k,1,B,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Упростите $\frac{k-3}{2} + 3k+1+\frac{3k+1}{2}$.,"A)
Преобразуйте $\frac{k-3}{2} + 3k+1+\frac{3k+1}{2}$.

B)
Вычислите $\frac{k-3}{2} + 3k+1+\frac{3k+1}{2}$.

C)
Сократите $\frac{k-3}{2} + 3k+1+\frac{3k+1}{2}$.

D)
Разрешите $\frac{k-3}{2} + 3k+1+\frac{3k+1}{2}$.",Преобразуйте $\frac{k-3}{2} + 3k+1+\frac{3k+1}{2}$.,Вычислите $\frac{k-3}{2} + 3k+1+\frac{3k+1}{2}$.,Сократите $\frac{k-3}{2} + 3k+1+\frac{3k+1}{2}$.,Разрешите $\frac{k-3}{2} + 3k+1+\frac{3k+1}{2}$.,A,B,C,A
2228,elementary_mathematics,Математика,"Кэти собирается в отпуск на 3 недели. Она находит количество рабочих дней, которые она пропустит, умножая 5 × 3. Какое выражение показывает другой способ, которым Кэти может найти количество рабочих дней, которые она пропустит?",3+5,3+3+3,5+5+5,5+5+5+5+5,C,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,"Кэти собирается в отпуск на 3 недели. Она находит количество рабочих дней, которые она пропустит, умножая 5 × 3. Какое выражение показывает другой способ, которым Кэти может найти количество рабочих дней, которые она пропустит?","A)
Кэти планирует уйти в отпуск на 3 недели. Она вычисляет число трудовых дней, которые она пропустит, перемножая 5 × 3. Какая фраза демонстрирует иной метод, которым Кэти может определить число трудовых дней, которые она пропустит?

B)
Кэти отправляется в отпуск на 3 недели. Она определяет сумму будних дней, которые она пропустит, умножив 5 × 3. Какое решение представляет другой вариант, которым Кэти может рассчитать сумму будних дней, которые она пропустит?

C)
Кэти уезжает на отдых на 3 недели. Она находит общее количество смен, которые она пропустит, через произведение 5 × 3. Какая запись отображает другой путь, которым Кэти может узнать общее количество смен, которые она пропустит?

D)
Кэти берет отпуск на 3 недели. Она высчитывает количество официальных дней, которые она пропустит, используя 5 × 3. Какая формула предлагает другой способ, которым Кэти может вычислить количество официальных дней, которые она пропустит?","Кэти планирует уйти в отпуск на 3 недели. Она вычисляет число трудовых дней, которые она пропустит, перемножая 5 × 3. Какая фраза демонстрирует иной метод, которым Кэти может определить число трудовых дней, которые она пропустит?","Кэти отправляется в отпуск на 3 недели. Она определяет сумму будних дней, которые она пропустит, умножив 5 × 3. Какое решение представляет другой вариант, которым Кэти может рассчитать сумму будних дней, которые она пропустит?","Кэти уезжает на отдых на 3 недели. Она находит общее количество смен, которые она пропустит, через произведение 5 × 3. Какая запись отображает другой путь, которым Кэти может узнать общее количество смен, которые она пропустит?","Кэти берет отпуск на 3 недели. Она высчитывает количество официальных дней, которые она пропустит, используя 5 × 3. Какая формула предлагает другой способ, которым Кэти может вычислить количество официальных дней, которые она пропустит?",D,A,C,D
438,business_ethics,Бизнес,"Традиционно права потребителей основывались на принципе _______ или _______, где ответственность за отказ от некачественной продукции возлагалась на потребителя. Однако данное понятие постепенно утрачивается в связи с ростом ________ на ________ уровне, а также уровне ЕС и ООН.","Caveat emptor, Корпоративной ответственности, Неформальных уставов, Международном","Caveat emptor, ""Покупатель должен остерегаться"", Регулирования, Национальном","Cemptor Eaveat, ""Покупатель должен остерегаться"", Регулирования, Национальном","Cemptor Eaveat, Корпоративной ответственности, Неформальных уставов, Международном",B,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,"Традиционно права потребителей основывались на принципе _______ или _______, где ответственность за отказ от некачественной продукции возлагалась на потребителя. Однако данное понятие постепенно утрачивается в связи с ростом ________ на ________ уровне, а также уровне ЕС и ООН.","A)
Обычно права покупателей базировались на правиле _______ или _______, где обязательство за отклонение недоброкачественных товаров перекладывалось на покупателя. Тем не менее этот термин планомерно исчезает вследствие увеличения ________ на ________ масштабе, а также масштабе ЕС и ООН.

B)
Исторически интересы клиентов опирались на постулат _______ или _______, где бремя за непринятие дефектных изделий возлагалось на клиента. Впрочем эта концепция последовательно размывается из-за расширения ________ на ________ плоскости, а также плоскости ЕС и ООН.

C)
Классически прерогативы заказчиков строились на догме _______ или _______, где подотчетность за браковку некондиционных предметов вменялась заказчику. Но данная установка неуклонно нивелируется по причине приращения ________ на ________ фазе, а также фазе ЕС и ООН.

D)
Консервативно правомочия пользователей основывались на установке _______ или _______, где взыскание за неприемку негодных материалов закреплялось за пользователем. Однако это положение постепенно аннулируется ввиду усиления ________ на ________ рубеже, а также рубеже ЕС и ООН.","Обычно права покупателей базировались на правиле _______ или _______, где обязательство за отклонение недоброкачественных товаров перекладывалось на покупателя. Тем не менее этот термин планомерно исчезает вследствие увеличения ________ на ________ масштабе, а также масштабе ЕС и ООН.","Исторически интересы клиентов опирались на постулат _______ или _______, где бремя за непринятие дефектных изделий возлагалось на клиента. Впрочем эта концепция последовательно размывается из-за расширения ________ на ________ плоскости, а также плоскости ЕС и ООН.","Классически прерогативы заказчиков строились на догме _______ или _______, где подотчетность за браковку некондиционных предметов вменялась заказчику. Но данная установка неуклонно нивелируется по причине приращения ________ на ________ фазе, а также фазе ЕС и ООН.","Консервативно правомочия пользователей основывались на установке _______ или _______, где взыскание за неприемку негодных материалов закреплялось за пользователем. Однако это положение постепенно аннулируется ввиду усиления ________ на ________ рубеже, а также рубеже ЕС и ООН.",A,B,C,D
4021,high_school_macroeconomics,Экономика,"Вы покупаете 100 акций корпорации XYZ через Интернет, и ваш брокер берет с вас $29,95.","Это увеличит инвестиционную составляющую ВВП и, следовательно, общий ВВП.",Это не оказывает влияния на ВВП.,"Это увеличит ВВП на $29,95.","Это увеличит ВВП на стоимость акций минус $29,95.",C,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Вы покупаете 100 акций корпорации XYZ через Интернет, и ваш брокер берет с вас $29,95.","A)
Вы приобретаете 100 бумаг компании XYZ посредством Интернета, и ваш маклер списывает с вас $29,95.

B)
Вы закупаете 100 активов организации XYZ через Сеть, и ваш посредник взимает с вас $29,95.

C)
Вы оплачиваете 100 долей фирмы XYZ при помощи Интернета, и ваш агент удерживает с вас $29,95.

D)
Вы берете 100 единиц предприятия XYZ во Всемирной паутине, и ваш дилер запрашивает с вас $29,95.","Вы приобретаете 100 бумаг компании XYZ посредством Интернета, и ваш маклер списывает с вас $29,95.","Вы закупаете 100 активов организации XYZ через Сеть, и ваш посредник взимает с вас $29,95.","Вы оплачиваете 100 долей фирмы XYZ при помощи Интернета, и ваш агент удерживает с вас $29,95.","Вы берете 100 единиц предприятия XYZ во Всемирной паутине, и ваш дилер запрашивает с вас $29,95.",A,B,C,D
7200,marketing,Бизнес,"____________________ - это те, кто ориентирован на тот же целевой рынок, но обеспечивает другое предложение для удовлетворения потребностей рынка, например Spotify, Sony и iPod от Apple.",Прямые конкуренты.,Прямые поставщики.,Косвенные дистрибьюторы.,Косвенные конкуренты.,D,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test,"____________________ - это те, кто ориентирован на тот же целевой рынок, но обеспечивает другое предложение для удовлетворения потребностей рынка, например Spotify, Sony и iPod от Apple.","A)
____________________ - это те, кто нацелен на аналогичный потребительский сегмент, но предоставляет иное решение для закрытия запросов рынка, к примеру Spotify, Sony и iPod от Apple.

B)
____________________ - это те, кто сфокусирован на идентичный сектор покупателей, но предлагает альтернативный продукт для покрытия нужд рынка, допустим Spotify, Sony и iPod от Apple.

C)
____________________ - это те, кто направлен на ту же группу клиентов, но дает различное предложение для реализации требований рынка, в частности Spotify, Sony и iPod от Apple.

D)
____________________ - это те, кто работает на тот же профильный рынок, но формирует другое наполнение для выполнения задач рынка, скажем Spotify, Sony и iPod от Apple.","____________________ - это те, кто нацелен на аналогичный потребительский сегмент, но предоставляет иное решение для закрытия запросов рынка, к примеру Spotify, Sony и iPod от Apple.","____________________ - это те, кто сфокусирован на идентичный сектор покупателей, но предлагает альтернативный продукт для покрытия нужд рынка, допустим Spotify, Sony и iPod от Apple.","____________________ - это те, кто направлен на ту же группу клиентов, но дает различное предложение для реализации требований рынка, в частности Spotify, Sony и iPod от Apple.","____________________ - это те, кто работает на тот же профильный рынок, но формирует другое наполнение для выполнения задач рынка, скажем Spotify, Sony и iPod от Apple.",A,B,C,D
2954,high_school_biology,Биология,"Какой из этих эволюционных агентов наиболее последовательно приводит к тому, что популяции становятся лучше приспособленными к окружающей среде на протяжении поколений?",Мутация,Неслучайное спаривание,Поток генов,Естественный отбор,D,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test,"Какой из этих эволюционных агентов наиболее последовательно приводит к тому, что популяции становятся лучше приспособленными к окружающей среде на протяжении поколений?","A)
Который из данных эволюционных факторов наиболее стабильно способствует тому, что сообщества делаются более адаптированными к внешним условиям в течение веков?

B)
Каков из указанных эволюционных механизмов наиболее регулярно заставляет так, что группы делаются лучше приноровленными к окружающему миру на протяжении эпох?

C)
Какой из этих биологических драйверов наиболее системно ведет к тому, что виды становятся более подготовленными к среде обитания в продолжение циклов?

D)
Который из этих природных катализаторов наиболее устойчиво вызывает то, что популяции делаются эффективнее приспособленными к окружающей обстановке в ходе генераций?","Который из данных эволюционных факторов наиболее стабильно способствует тому, что сообщества делаются более адаптированными к внешним условиям в течение веков?","Каков из указанных эволюционных механизмов наиболее регулярно заставляет так, что группы делаются лучше приноровленными к окружающему миру на протяжении эпох?","Какой из этих биологических драйверов наиболее системно ведет к тому, что виды становятся более подготовленными к среде обитания в продолжение циклов?","Который из этих природных катализаторов наиболее устойчиво вызывает то, что популяции делаются эффективнее приспособленными к окружающей обстановке в ходе генераций?",A,B,C,D
3804,high_school_government_and_politics,Политика,Что из приведенного ниже является примером передачи полномочий?,"Предоставление штатам права решать, как достичь установленных на федеральном уровне целевых показателей по выбросам парниковых газов","""Гонка по нисходящей"", в которой государства соревнуются друг с другом за наименьшее количество экологических норм","Штат, который легализует хранение марихуаны в противоречии с федеральным законом","Штат, которому не допускается внедрение стандарта топливной эффективности, более строгого, чем установленный федеральным правительством",A,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test,Что из приведенного ниже является примером передачи полномочий?,"A)
Что из указанного ниже выступает образцом делегирования функций?

B)
Что из перечисленного далее служит иллюстрацией вручения прав?

C)
Что из обозначенного внизу представляет собой случай наделения компетенциями?

D)
Что из прописанного следом является вариантом предоставления правлений?",Что из указанного ниже выступает образцом делегирования функций?,Что из перечисленного далее служит иллюстрацией вручения прав?,Что из обозначенного внизу представляет собой случай наделения компетенциями?,Что из прописанного следом является вариантом предоставления правлений?,A,B,C,D
445,business_ethics,Бизнес,"_______, где действующие лица убеждены, что их действия никому не причиняют вреда, _______, где действующие лица утверждают, что нарушение ими норм является попыткой реализовать ценности высшего порядка, и ________, где действующие лица утверждают, что им что-то должны, - все это стратегии оправдания или отрицания неэтичное поведение.","Апелляция к более высокой лояльности, отрицание причиненного вреда, метафора бухгалтерской книги","Апелляция к более высокой лояльности, метафора бухгалтерской книги, отрицание причиненного вреда","Отрицание причиненного вреда, апелляция к более высокой лояльности, метафора бухгалтерской книги","Отрицание вреда, метафора бухгалтерской книги, апелляция к более высокой лояльности,",C,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,"_______, где действующие лица убеждены, что их действия никому не причиняют вреда, _______, где действующие лица утверждают, что нарушение ими норм является попыткой реализовать ценности высшего порядка, и ________, где действующие лица утверждают, что им что-то должны, - все это стратегии оправдания или отрицания неэтичное поведение.","A)
_______, в которых участники уверены, что их поступки никому не наносят ущерба, _______, в которых участники заявляют, что попрание ими правил выступает стремлением воплотить идеалы более значимого уровня, и ________, в которых участники заявляют, что им что-то обязаны, - все это тактики легитимации или непризнания безнравственных поступков.

B)
_______, при которых исполнители убеждены, что их шаги никому не приносят урона, _______, при которых исполнители настаивают, что пренебрежение ими установок является проявлением реализации принципов высшего ранга, и ________, при которых исполнители настаивают, что им что-то задолжали, - все это методы обоснования или дезавуирования аморального поведения.

C)
_______, где субъекты полагают, что их деяния никому не доставляют вреда, _______, где субъекты подчеркивают, что игнорирование ими регламентов является попыткой осуществить приоритеты духовного плана, и ________, где субъекты подчеркивают, что им что-то причитается, - все это приемы извинения или отклонения неблаговидного обращения.

D)
_______, в которых персонажи твердо верят, что их активность никому не чинит зла, _______, в которых персонажи доказывают, что нарушение ими стандартов считается попыткой внедрить установки высшего звена, и ________, в которых персонажи доказывают, что им что-то полагается, - все это способы аргументации или опровержения порочного склада действий.","_______, в которых участники уверены, что их поступки никому не наносят ущерба, _______, в которых участники заявляют, что попрание ими правил выступает стремлением воплотить идеалы более значимого уровня, и ________, в которых участники заявляют, что им что-то обязаны, - все это тактики легитимации или непризнания безнравственных поступков.","_______, при которых исполнители убеждены, что их шаги никому не приносят урона, _______, при которых исполнители настаивают, что пренебрежение ими установок является проявлением реализации принципов высшего ранга, и ________, при которых исполнители настаивают, что им что-то задолжали, - все это методы обоснования или дезавуирования аморального поведения.","_______, где субъекты полагают, что их деяния никому не доставляют вреда, _______, где субъекты подчеркивают, что игнорирование ими регламентов является попыткой осуществить приоритеты духовного плана, и ________, где субъекты подчеркивают, что им что-то причитается, - все это приемы извинения или отклонения неблаговидного обращения.","_______, в которых персонажи твердо верят, что их активность никому не чинит зла, _______, в которых персонажи доказывают, что нарушение ими стандартов считается попыткой внедрить установки высшего звена, и ________, в которых персонажи доказывают, что им что-то полагается, - все это способы аргументации или опровержения порочного склада действий.",E,A,A,D
