мәтін1,мәтін2,жапсырма,idx,белгі_мәтіні,instance,generated_options,option_a,option_b,option_c,option_d
Өлім жазасы тежеуші фактор ретінде әрекет етеді.,Өлім жазасы қылмыстың алдын алудың құралы болып табылады.,0,197,тарту,"мәтін1: Өлім жазасы тежеуші фактор ретінде әрекет етеді.
мәтін2: Өлім жазасы қылмыстың алдын алудың құралы болып табылады.
жапсырма: 0","A)
Өлім жазасы тежеуші элемент ретінде әрекет етеді.

B)
Өлім жазасы қылмыстың алдын алу құралы болып табылады.

C)
Өлім жазасы тежеуші фактор ретінде жұмыс істейді.

D)
Өлім жазасы қылмыстың тоқтатылуының құралы болып табылады.",Өлім жазасы тежеуші элемент ретінде әрекет етеді.,Өлім жазасы қылмыстың алдын алу құралы болып табылады.,Өлім жазасы тежеуші фактор ретінде жұмыс істейді.,Өлім жазасы қылмыстың тоқтатылуының құралы болып табылады.
" Бұл мақалада осы дәлелдің екі жағы да ұсынылған, бірақ бұл мақалада есірткіні заңдастыру қоғамымыз үшін зиянды болатынын баса көрсету әрекеті көрсетілген.",Есірткіні заңдастырудың пайдасы бар.,1,113,міндеттеме емес,"мәтін1:  Бұл мақалада осы дәлелдің екі жағы да ұсынылған, бірақ бұл мақалада есірткіні заңдастыру қоғамымыз үшін зиянды болатынын баса көрсету әрекеті көрсетілген.
мәтін2: Есірткіні заңдастырудың пайдасы бар.
жапсырма: 1","A)  Бұл мақалада осы дәлелдің екі бүйірі де ұсынылған, бірақ бұл мақалада есірткіні заңдастыру қоғамымыз үшін зиянды болатынын баса көрсету талпынысы көрсетілген.

B)  Бұл мақалада осы дәлелдің екі қыры да ұсынылған, бірақ бұл мақалада есірткіні заңдастыру қоғамымыз үшін зиянды болатынын баса көрсету ниеті көрсетілген.

C)  Бұл мақалада осы дәлелдің екі аспектісі де ұсынылған, бірақ бұл мақалада есірткіні заңдастыру қоғамымыз үшін зиянды болатынын баса көрсету ұмтылысы көрсетілген.

D)  Бұл мақалада осы дәлелдің екі өлшемі де ұсынылған, бірақ бұл мақалада есірткіні заңдастыру қоғамымыз үшін зиянды болатынын баса көрсету әрекеті көрсетілген.","Бұл мақалада осы дәлелдің екі бүйірі де ұсынылған, бірақ бұл мақалада есірткіні заңдастыру қоғамымыз үшін зиянды болатынын баса көрсету талпынысы көрсетілген.","Бұл мақалада осы дәлелдің екі қыры да ұсынылған, бірақ бұл мақалада есірткіні заңдастыру қоғамымыз үшін зиянды болатынын баса көрсету ниеті көрсетілген.","Бұл мақалада осы дәлелдің екі аспектісі де ұсынылған, бірақ бұл мақалада есірткіні заңдастыру қоғамымыз үшін зиянды болатынын баса көрсету ұмтылысы көрсетілген.","Бұл мақалада осы дәлелдің екі өлшемі де ұсынылған, бірақ бұл мақалада есірткіні заңдастыру қоғамымыз үшін зиянды болатынын баса көрсету әрекеті көрсетілген."
Аргентина министрінің ресми сапары Ұлыбритания мен Аргентина қарым-қатынастарын қалыпқа келтірудегі тағы бір қадам болып табылады.,Аргентина мен Ұлыбритания арасындағы қарым-қатынастар ынтымақтастықты арттырып келеді.,1,83,міндеттеме емес,"мәтін1: Аргентина министрінің ресми сапары Ұлыбритания мен Аргентина қарым-қатынастарын қалыпқа келтірудегі тағы бір қадам болып табылады.
мәтін2: Аргентина мен Ұлыбритания арасындағы қарым-қатынастар ынтымақтастықты арттырып келеді.
жапсырма: 1","A) Аргентина министрінің ресми саяхаты Ұлыбритания мен Аргентина байланыстарын қалыпқа келтірудегі тағы бір қадам болып табылады.  
B) Аргентина министрінің ресми саясаты Ұлыбритания мен Аргентина қатынастарын қалыпқа келтірудегі тағы бір қадам болып табылады.  
C) Аргентина министрінің ресми бағдарламасы Ұлыбритания мен Аргентина ынтымақтастықтарын қалыпқа келтірудегі тағы бір қадам болып табылады.  
D) Аргентина министрінің ресми сапары Ұлыбритания мен Аргентина өзара әрекеттестігін қалыпқа келтірудегі тағы бір қадам болып табылады.  ",Аргентина министрінің ресми саяхаты Ұлыбритания мен Аргентина байланыстарын қалыпқа келтірудегі тағы бір қадам болып табылады.,Аргентина министрінің ресми саясаты Ұлыбритания мен Аргентина қатынастарын қалыпқа келтірудегі тағы бір қадам болып табылады.,Аргентина министрінің ресми бағдарламасы Ұлыбритания мен Аргентина ынтымақтастықтарын қалыпқа келтірудегі тағы бір қадам болып табылады.,Аргентина министрінің ресми сапары Ұлыбритания мен Аргентина өзара әрекеттестігін қалыпқа келтірудегі тағы бір қадам болып табылады.
" Негізгі теміржол компаниясы үшін неміс, француз және итальян тілдерінде SBB, CFF және FFS ерекшеленетінін ескеріңіз.",Француз теміржол компаниясы SNCF деп аталады.,1,138,міндеттеме емес,"мәтін1:  Негізгі теміржол компаниясы үшін неміс, француз және итальян тілдерінде SBB, CFF және FFS ерекшеленетінін ескеріңіз.
мәтін2: Француз теміржол компаниясы SNCF деп аталады.
жапсырма: 1","A) Негізгі теміржол фирмасы үшін неміс, француз және итальян тілдерінде SBB, CFF және FFS дәрежеленетінін ескеріңіз.  
B) Негізгі теміржол кәсіпорны үшін неміс, француз және итальян тілдерінде SBB, CFF және FFS айқындалатынын ескеріңіз.  
C) Негізгі теміржол ұйымы үшін неміс, француз және итальян тілдерінде SBB, CFF және FFS ерекшеленетінін ұмытпаңыз.  
D) Негізгі теміржол директоры үшін неміс, француз және итальян тілдерінде SBB, CFF және FFS көзге түсетінін біліңіз.  ","Негізгі теміржол фирмасы үшін неміс, француз және итальян тілдерінде SBB, CFF және FFS дәрежеленетінін ескеріңіз.","Негізгі теміржол кәсіпорны үшін неміс, француз және итальян тілдерінде SBB, CFF және FFS айқындалатынын ескеріңіз.","Негізгі теміржол ұйымы үшін неміс, француз және итальян тілдерінде SBB, CFF және FFS ерекшеленетінін ұмытпаңыз.","Негізгі теміржол директоры үшін неміс, француз және итальян тілдерінде SBB, CFF және FFS көзге түсетінін біліңіз."
" Эсхил б.з.д. 525 жылы дүниеге келген және жастық шағын Афина әскерінде сарбаз ретінде өткізген. Ол «Парсылар» атты еңбегін 53 жасында жазған, бірақ бұл оның бізге жеткен ең алғашқы еңбегі.",«Парсыларды» Эсхил жазған.,0,262,тарту,"мәтін1:  Эсхил б.з.д. 525 жылы дүниеге келген және жастық шағын Афина әскерінде сарбаз ретінде өткізген. Ол «Парсылар» атты еңбегін 53 жасында жазған, бірақ бұл оның бізге жеткен ең алғашқы еңбегі.
мәтін2: «Парсыларды» Эсхил жазған.
жапсырма: 0","A) Эсхил б.з.д. 525 жылы дүниеге келген және жастық шағын Афина армиясында сарбаз ретінде өткізген. Ол «Парсылар» атты шығармаңызды 53 жасында жазған, бірақ бұл оның бізге жеткен ең бірінші шығармасы.

B) Эсхил б.з.д. 525 жылы дүниеге келген және жастық шағын Афина әскерінде жауынгер ретінде өткізген. Ол «Парсылар» атты еңбегін 53 жасында жазған, бірақ бұл оның бізге жеткен ең басында шығарма.

C) Эсхил б.з.д. 525 жылы дүниеге келген және жастық шағын Афина соғысында сарбаз ретінде өткізген. Ол «Парсылар» атты жұмысын 53 жасында жазған, бірақ бұл оның бізге жеткен ең алғашқы туындысы.

D) Эсхил б.з.д. 525 жылы дүниеге келген және жастық шағын Афина күшінде сарбаз ретінде өткізген. Ол «Парсылар» атты жазбасын 53 жасында жазған, бірақ бұл оның бізге жеткен ең бірінші еңбек.","Эсхил б.з.д. 525 жылы дүниеге келген және жастық шағын Афина армиясында сарбаз ретінде өткізген. Ол «Парсылар» атты шығармаңызды 53 жасында жазған, бірақ бұл оның бізге жеткен ең бірінші шығармасы.","Эсхил б.з.д. 525 жылы дүниеге келген және жастық шағын Афина әскерінде жауынгер ретінде өткізген. Ол «Парсылар» атты еңбегін 53 жасында жазған, бірақ бұл оның бізге жеткен ең басында шығарма.","Эсхил б.з.д. 525 жылы дүниеге келген және жастық шағын Афина соғысында сарбаз ретінде өткізген. Ол «Парсылар» атты жұмысын 53 жасында жазған, бірақ бұл оның бізге жеткен ең алғашқы туындысы.","Эсхил б.з.д. 525 жылы дүниеге келген және жастық шағын Афина күшінде сарбаз ретінде өткізген. Ол «Парсылар» атты жазбасын 53 жасында жазған, бірақ бұл оның бізге жеткен ең бірінші еңбек."
" Феникс Марста су мен микробтық тіршіліктің дәлелдерін іздестіруде. Оның мақсаты - Марстың тіршілік ету және суды сақтау қабілетін немесе қабілетсіздігін анықтау. Феникс қондырғышы робот қолды пайдаланып, топырақтың үстіңгі қабатын төмендегі болжамды су мұзына дейін қазып, сайып келгенде, топырақ пен су мұзын күрделі ғылыми талдау үшін қондырғыш платформасына жеткізеді.",Ғылыми жаңалықтар ашу үшін робот қолы қолданылған.,0,109,тарту,"мәтін1:  Феникс Марста су мен микробтық тіршіліктің дәлелдерін іздестіруде. Оның мақсаты - Марстың тіршілік ету және суды сақтау қабілетін немесе қабілетсіздігін анықтау. Феникс қондырғышы робот қолды пайдаланып, топырақтың үстіңгі қабатын төмендегі болжамды су мұзына дейін қазып, сайып келгенде, топырақ пен су мұзын күрделі ғылыми талдау үшін қондырғыш платформасына жеткізеді.
мәтін2: Ғылыми жаңалықтар ашу үшін робот қолы қолданылған.
жапсырма: 0","A)
Феникс Марста су мен микробтық өмірдің дәлелдерін іздеуде. Оның мақсаты - Марстың тіршілік ету және суды сақтау қабілетін немесе қабілетсіздігін анықтау. Феникс қондырғышы робот қолды пайдаланып, топырақтың үстіңгі қабатын төмендегі болжамды су мұзына дейін қазып, нәтижесінде, топырақ пен су мұзын күрделі ғылыми талдауға қондырғыш платформасына жеткізеді.  
Ғылыми жаңалықтарды ашу үшін робот қолы қолданылды.  
жапсырма: 0  

B)
Феникс Марста су мен микробтық тіршіліктің дәлелдерін табуда. Оның мақсаты - Марстың тіршілік ету және суды сақтау мүмкіндігін немесе мүмкін еместігін анықтау. Феникс қондырғышы робот қолды пайдаланып, топырақтың үстіңгі қабатын төмендегі болжамды су мұзына дейін қазып, соңында, топырақ пен су мұзын күрделі ғылыми сараптама үшін қондырғыш платформасына жеткізеді.  
Ғылыми жаңалықтарды ашу үшін робот қолы пайдаланып жатыр.  
жапсырма: 0  

C)
Феникс Марста су мен микробтық тіршіліктің дәлелдерін іздеп жатыр. Оның мақсаты - Марстың тіршілік ету және суды сақтау мүмкіндіктерін немесе мүмкіндіктерінің жоқтығын анықтау. Феникс қондырғышы робот қолды пайдаланып, топырақтың үстіңгі қабатын төмендегі болжамды су мұзына дейін қазып, ақырында, топырақ пен су мұзын күрделі ғылыми зерттеу үшін қондырғыш платформасына тапсырды.  
Ғылыми жаңалықтарды ашу үшін робот қолы пайдаланылды.  
жапсырма: 0  

D)
Феникс Марста су мен микробтық тіршіліктің белгілерін іздестіруде. Оның мақсаты - Марстың тіршілік ету және суды сақтау қабілетін немесе қабілетсіздігін анықтау. Феникс қондырғышы робот қолды пайдаланып, топырақтың үстіңгі қабатын төмендегі болжамды су мұзына дейін қазып, нәтижесінде, топырақ пен су мұзын күрделі ғылыми зерттеуге қондырғыш платформасына жеткізеді.  
Ғылыми жаңалықтар ашу үшін робот қолы пайдаланған.  
жапсырма: 0  ","Феникс Марста су мен микробтық өмірдің дәлелдерін іздеуде. Оның мақсаты - Марстың тіршілік ету және суды сақтау қабілетін немесе қабілетсіздігін анықтау. Феникс қондырғышы робот қолды пайдаланып, топырақтың үстіңгі қабатын төмендегі болжамды су мұзына дейін қазып, нәтижесінде, топырақ пен су мұзын күрделі ғылыми талдауға қондырғыш платформасына жеткізеді.  
Ғылыми жаңалықтарды ашу үшін робот қолы қолданылды.  
жапсырма: 0","Феникс Марста су мен микробтық тіршіліктің дәлелдерін табуда. Оның мақсаты - Марстың тіршілік ету және суды сақтау мүмкіндігін немесе мүмкін еместігін анықтау. Феникс қондырғышы робот қолды пайдаланып, топырақтың үстіңгі қабатын төмендегі болжамды су мұзына дейін қазып, соңында, топырақ пен су мұзын күрделі ғылыми сараптама үшін қондырғыш платформасына жеткізеді.  
Ғылыми жаңалықтарды ашу үшін робот қолы пайдаланып жатыр.  
жапсырма: 0","Феникс Марста су мен микробтық тіршіліктің дәлелдерін іздеп жатыр. Оның мақсаты - Марстың тіршілік ету және суды сақтау мүмкіндіктерін немесе мүмкіндіктерінің жоқтығын анықтау. Феникс қондырғышы робот қолды пайдаланып, топырақтың үстіңгі қабатын төмендегі болжамды су мұзына дейін қазып, ақырында, топырақ пен су мұзын күрделі ғылыми зерттеу үшін қондырғыш платформасына тапсырды.  
Ғылыми жаңалықтарды ашу үшін робот қолы пайдаланылды.  
жапсырма: 0","Феникс Марста су мен микробтық тіршіліктің белгілерін іздестіруде. Оның мақсаты - Марстың тіршілік ету және суды сақтау қабілетін немесе қабілетсіздігін анықтау. Феникс қондырғышы робот қолды пайдаланып, топырақтың үстіңгі қабатын төмендегі болжамды су мұзына дейін қазып, нәтижесінде, топырақ пен су мұзын күрделі ғылыми зерттеуге қондырғыш платформасына жеткізеді.  
Ғылыми жаңалықтар ашу үшін робот қолы пайдаланған.  
жапсырма: 0"
" Батыс жойылып бара жатқан адамдарға емес, жойылып бара жатқан жануарларға назар аударуды жөн көрді. Африка пілдерін браконьерлер аулап, азу тістерін жұлып алып, жасырады. CITES - Жойылып бара жатқан түрлермен халықаралық сауда туралы конвенция - піл сүйегі саудасына тыйым салғанға дейін онжылдықта Африкадағы олардың саны 1,2 миллионнан 600 000-ға дейін азайды.",Халықаралық конвенция піл сүйегі саудасына тыйым салды.,0,186,тарту,"мәтін1:  Батыс жойылып бара жатқан адамдарға емес, жойылып бара жатқан жануарларға назар аударуды жөн көрді. Африка пілдерін браконьерлер аулап, азу тістерін жұлып алып, жасырады. CITES - Жойылып бара жатқан түрлермен халықаралық сауда туралы конвенция - піл сүйегі саудасына тыйым салғанға дейін онжылдықта Африкадағы олардың саны 1,2 миллионнан 600 000-ға дейін азайды.
мәтін2: Халықаралық конвенция піл сүйегі саудасына тыйым салды.
жапсырма: 0","A) Батыс жойылып бара жатқан адамдарға емес, жоғалып бара жатқан жануарларға назар аударуды жөн көрді. Африка пілдерін браконьерлер аулап, азу тістерін жұлып алып, жасырады. CITES - Жойылып бара жатқан түрлермен халықаралық сауда туралы конвенция - піл сүйегі саудасына тыйым салғанға дейін онжылдықта Африкадағы олардың саны 1,2 миллионнан 600 000-ға дейін кеміді. 

B) Батыс жойылып бара жатқан адамдарға емес, жоғалтуда жүрген жануарларға назар аударуды жөн көрді. Африка пілдерін браконьерлер аулап, азу тістерін жұлып алып, жасырады. CITES - Жойылып бара жатқан түрлермен халықаралық сауда туралы конвенция - піл сүйегі саудасына тыйым салғанға дейін онжылдықта Африкадағы олардың саны 1,2 миллионнан 600 000-ға дейін азайып кетті. 

C) Батыс жойылып бара жатқан адамдарға емес, жоғалып бара жатқан жануарларға көңіл аударуды жөн көрді. Африка пілдерін браконьерлер аулап, азу тістерін жұлып алып, жасырады. CITES - Жойылып бара жатқан түрлермен халықаралық сауда туралы конвенция - піл сүйегі саудасына тыйым салғанға дейін онжылдықта Африкадағы олардың саны 1,2 миллионнан 600 000-ға дейін төмендеді. 

D) Батыс жойылып бара жатқан адамдарға емес, жойылып бара жатқан жануарларға назар аударуды жөн көрді. Африка пілдерін браконьерлер аулап, азу тістерін жұлып алып, жасырады. CITES - Жойылып бара жатқан түрлермен халықаралық сауда туралы конвенция - піл сүйегі саудасына тыйым салғанға дейін онжылдықта Африкадағы олардың саны 1,2 миллионнан 600 000-ға дейін қысқарды.","Батыс жойылып бара жатқан адамдарға емес, жоғалып бара жатқан жануарларға назар аударуды жөн көрді. Африка пілдерін браконьерлер аулап, азу тістерін жұлып алып, жасырады. CITES - Жойылып бара жатқан түрлермен халықаралық сауда туралы конвенция - піл сүйегі саудасына тыйым салғанға дейін онжылдықта Африкадағы олардың саны 1,2 миллионнан 600 000-ға дейін кеміді.","Батыс жойылып бара жатқан адамдарға емес, жоғалтуда жүрген жануарларға назар аударуды жөн көрді. Африка пілдерін браконьерлер аулап, азу тістерін жұлып алып, жасырады. CITES - Жойылып бара жатқан түрлермен халықаралық сауда туралы конвенция - піл сүйегі саудасына тыйым салғанға дейін онжылдықта Африкадағы олардың саны 1,2 миллионнан 600 000-ға дейін азайып кетті.","Батыс жойылып бара жатқан адамдарға емес, жоғалып бара жатқан жануарларға көңіл аударуды жөн көрді. Африка пілдерін браконьерлер аулап, азу тістерін жұлып алып, жасырады. CITES - Жойылып бара жатқан түрлермен халықаралық сауда туралы конвенция - піл сүйегі саудасына тыйым салғанға дейін онжылдықта Африкадағы олардың саны 1,2 миллионнан 600 000-ға дейін төмендеді.","Батыс жойылып бара жатқан адамдарға емес, жойылып бара жатқан жануарларға назар аударуды жөн көрді. Африка пілдерін браконьерлер аулап, азу тістерін жұлып алып, жасырады. CITES - Жойылып бара жатқан түрлермен халықаралық сауда туралы конвенция - піл сүйегі саудасына тыйым салғанға дейін онжылдықта Африкадағы олардың саны 1,2 миллионнан 600 000-ға дейін қысқарды."
"Адела Лупсе 1988 жылы Румынияның Трансильвания аймағындағы Бихор қаласының Пойана ауылында кенші отбасында дүниеге келген. Румынияның Чаушескуден кейінгі алғашқы буынының өкілі ретінде ол теледидардың күшін жас кезінде түсінді: «Менің ойымша, теледидар - қазіргі заман бізге берген ең қызықты құбылыс... менің жеке басымның түріне қарамастан, оны таңқаларлық деп санаймын, теледидардың бүкіл әлемге тараған күші... Біз теледидар насихаттайтын адамдар сияқты киінеміз. Біз теледидар шығаратын атақты адамдарға ұқсағымыз келеді».",Бихор Румынияда орналасқан.,0,92,тарту,"мәтін1: Адела Лупсе 1988 жылы Румынияның Трансильвания аймағындағы Бихор қаласының Пойана ауылында кенші отбасында дүниеге келген. Румынияның Чаушескуден кейінгі алғашқы буынының өкілі ретінде ол теледидардың күшін жас кезінде түсінді: «Менің ойымша, теледидар - қазіргі заман бізге берген ең қызықты құбылыс... менің жеке басымның түріне қарамастан, оны таңқаларлық деп санаймын, теледидардың бүкіл әлемге тараған күші... Біз теледидар насихаттайтын адамдар сияқты киінеміз. Біз теледидар шығаратын атақты адамдарға ұқсағымыз келеді».
мәтін2: Бихор Румынияда орналасқан.
жапсырма: 0","A)
мәтін1: Адела Лупсе 1988 жылы Румынияның Трансильвания аймағындағы Бихор қаласының Пойана ауылында кеншілер отбасында дүниеге келген. Румынияның Чаушескуден кейінгі алғашқы буынының өкілі ретінде ол теледидардың күшін жас кезінде түсінді: «Менің ойымша, теледидар - заманауи уақыт бізге берген ең қызықты құбылыс... менің тұлғамның түріне қарамастан, оны таңғажайып деп санаймын, теледидардың әлемге тараған күші... Біз теледидар насихаттайтын адамдар сияқты киінеміз. Біз теледидар шығаратын әйгілі адамдарға ұқсағымыз келеді».

B)
мәтін1: Адела Лупсе 1988 жылы Румынияның Трансильвания аймағындағы Бихор қаласының Пойана ауылында кеншілер отбасыда дүниеге келген. Румынияның Чаушескуден кейінгі алғашқы буынының өкілі ретінде ол теледидардың күшін 젊 кезінде түсінді: «Менің ойымша, теледидар - қазіргі дәуір бізге берген ең қызықты құбылыс... менің шағарманың түріне қарамастан, оны таңқаларлық деп санаймын, теледидардың түгел халыққа тараған күші... Біз теледидар насихаттайтын адамдар сияқты киінамыз. Біз теледидар көрсететін танымал адамдарға ұқсағымыз келеді».

C)
мәтін1: Адела Лупсе 1988 жылы Румынияның Трансильвания аймағындағы Бихор қаласының Пойана ауылында кеншілер бақлауда дүниеге келген. Румынияның Чаушескуден кейінгі алғашқы ұрпағының өкілі ретінде ол теледидардың күшін жасында түсінді: «Менің ойымша, теледидар - бүгінгі уақыт бізге берген ең қызықты оқиға... менің дара тұлғамның түріне қарамастан, оны таңданыссыз деп санаймын, теледидардың әлем бойынша таралған әсері... Біз теледидар насихаттайтын жандар сияқты киінеміз. Біз теледидар шығаратын әйгілі тұлғаларға ұқсағымыз келеді».

D)
мәтін1: Адела Лупсе 1988 жылы Румынияның Трансильвания аймағындағы Бихор қаласының Пойана ауылында шахтер отбасында дүниеге келген. Румынияның Чаушескуден кейінгі алғашқы буынының өкілі ретінде ол теледидардың күшін жастай түсінді: «Менің пікірімше, теледидар - бүгінгі заман бізге берген ең тартымды құбылыс... менің жеке басымның түріне қарамастан, оны таңқаларлық деп санаймын, теледидардың бүкіл дүниежүзіне таралған қуаты... Біз теледидар насихаттайтын адамдар сияқтымыз. Біз теледидар шығарушы атақты тұлғаларға ұқсағымыз келеді».","мәтін1: Адела Лупсе 1988 жылы Румынияның Трансильвания аймағындағы Бихор қаласының Пойана ауылында кеншілер отбасында дүниеге келген. Румынияның Чаушескуден кейінгі алғашқы буынының өкілі ретінде ол теледидардың күшін жас кезінде түсінді: «Менің ойымша, теледидар - заманауи уақыт бізге берген ең қызықты құбылыс... менің тұлғамның түріне қарамастан, оны таңғажайып деп санаймын, теледидардың әлемге тараған күші... Біз теледидар насихаттайтын адамдар сияқты киінеміз. Біз теледидар шығаратын әйгілі адамдарға ұқсағымыз келеді».","мәтін1: Адела Лупсе 1988 жылы Румынияның Трансильвания аймағындағы Бихор қаласының Пойана ауылында кеншілер отбасыда дүниеге келген. Румынияның Чаушескуден кейінгі алғашқы буынының өкілі ретінде ол теледидардың күшін 젊 кезінде түсінді: «Менің ойымша, теледидар - қазіргі дәуір бізге берген ең қызықты құбылыс... менің шағарманың түріне қарамастан, оны таңқаларлық деп санаймын, теледидардың түгел халыққа тараған күші... Біз теледидар насихаттайтын адамдар сияқты киінамыз. Біз теледидар көрсететін танымал адамдарға ұқсағымыз келеді».","мәтін1: Адела Лупсе 1988 жылы Румынияның Трансильвания аймағындағы Бихор қаласының Пойана ауылында кеншілер бақлауда дүниеге келген. Румынияның Чаушескуден кейінгі алғашқы ұрпағының өкілі ретінде ол теледидардың күшін жасында түсінді: «Менің ойымша, теледидар - бүгінгі уақыт бізге берген ең қызықты оқиға... менің дара тұлғамның түріне қарамастан, оны таңданыссыз деп санаймын, теледидардың әлем бойынша таралған әсері... Біз теледидар насихаттайтын жандар сияқты киінеміз. Біз теледидар шығаратын әйгілі тұлғаларға ұқсағымыз келеді».","мәтін1: Адела Лупсе 1988 жылы Румынияның Трансильвания аймағындағы Бихор қаласының Пойана ауылында шахтер отбасында дүниеге келген. Румынияның Чаушескуден кейінгі алғашқы буынының өкілі ретінде ол теледидардың күшін жастай түсінді: «Менің пікірімше, теледидар - бүгінгі заман бізге берген ең тартымды құбылыс... менің жеке басымның түріне қарамастан, оны таңқаларлық деп санаймын, теледидардың бүкіл дүниежүзіне таралған қуаты... Біз теледидар насихаттайтын адамдар сияқтымыз. Біз теледидар шығарушы атақты тұлғаларға ұқсағымыз келеді»."
" Ал, керісінше ұсыныстарына қарамастан, Oracle компаниясы PeopleSoft және JD Edwards қаржылық бағдарламалық жасақтамасын жаңа тұтынушыларға қайта сату арналары арқылы сатады.",Oracle қаржылық бағдарламалық жасақтама сатады.,0,60,тарту,"мәтін1:  Ал, керісінше ұсыныстарына қарамастан, Oracle компаниясы PeopleSoft және JD Edwards қаржылық бағдарламалық жасақтамасын жаңа тұтынушыларға қайта сату арналары арқылы сатады.
мәтін2: Oracle қаржылық бағдарламалық жасақтама сатады.
жапсырма: 0","A)  Ал, керісінше ұсыныстарына қарамастан, Oracle компаниясы PeopleSoft және JD Edwards қаржы бағдарламалық жасақтамасын жаңа тұтынушыларға қайта сату арналары арқылы сатады.  
B)  Ал, керісінше ұсыныстарына қарамастан, Oracle компаниясы PeopleSoft және JD Edwards ақша бағдарламалық жасақтамасын жаңа клиенттерге қайта сату арналары арқылы сатады.  
C)  Ал, керісінше ұсыныстарына қарамастан, Oracle компаниясы PeopleSoft және JD Edwards қаржылық бағдарламалық өнімдерін жаңа тұтынушыларға қайта сату арналары арқылы сатады.  
D)  Ал, керісінше ұсыныстарына қарамастан, Oracle компаниясы PeopleSoft және JD Edwards экономикалық бағдарламалық жасақтамасын жаңа тұтынушыларға қайта сату арналары арқылы сатады.","Ал, керісінше ұсыныстарына қарамастан, Oracle компаниясы PeopleSoft және JD Edwards қаржы бағдарламалық жасақтамасын жаңа тұтынушыларға қайта сату арналары арқылы сатады.","Ал, керісінше ұсыныстарына қарамастан, Oracle компаниясы PeopleSoft және JD Edwards ақша бағдарламалық жасақтамасын жаңа клиенттерге қайта сату арналары арқылы сатады.","Ал, керісінше ұсыныстарына қарамастан, Oracle компаниясы PeopleSoft және JD Edwards қаржылық бағдарламалық өнімдерін жаңа тұтынушыларға қайта сату арналары арқылы сатады.","Ал, керісінше ұсыныстарына қарамастан, Oracle компаниясы PeopleSoft және JD Edwards экономикалық бағдарламалық жасақтамасын жаңа тұтынушыларға қайта сату арналары арқылы сатады."
Ең ұзақ күн ұзарады. Нормандияға алғашқы қонудың 25 жылдығын тойлау үш күнге созылды; 50-ші күн бір жылға созылады.,Нормандия қондыруының 50 жылдығы бір жылға созылады.,0,34,тарту,"мәтін1: Ең ұзақ күн ұзарады. Нормандияға алғашқы қонудың 25 жылдығын тойлау үш күнге созылды; 50-ші күн бір жылға созылады.
мәтін2: Нормандия қондыруының 50 жылдығы бір жылға созылады.
жапсырма: 0","A) Ең ұзақ күн кеңейеді. Нормандияға алғашқысынан 25 жылдығын мерекелеу үш күнге жалғасады; 50-ші күн бір жылға созылады.  
B) Ең ұзақ күн ұзарады. Нормандияға бірінші қонудың 25 жылдығын атап өту үш күнге созылады; 50-ші күн бір жылға жалғасады.  
C) Ең ұзақ күн кеңейеді. Нормандияға алғашқы қонудың 25 жылдығын тойлау үш күнге созылады; 50-ші күн бір жылға созылады.  
D) Ең ұзақ күн ұзарады. Нормандияға алғашқы орнатудың 25 жылдығын тойлау үш күнге созылады; 50-ші күн бір жылға созылады.  ",Ең ұзақ күн кеңейеді. Нормандияға алғашқысынан 25 жылдығын мерекелеу үш күнге жалғасады; 50-ші күн бір жылға созылады.,Ең ұзақ күн ұзарады. Нормандияға бірінші қонудың 25 жылдығын атап өту үш күнге созылады; 50-ші күн бір жылға жалғасады.,Ең ұзақ күн кеңейеді. Нормандияға алғашқы қонудың 25 жылдығын тойлау үш күнге созылады; 50-ші күн бір жылға созылады.,Ең ұзақ күн ұзарады. Нормандияға алғашқы орнатудың 25 жылдығын тойлау үш күнге созылады; 50-ші күн бір жылға созылады.
" Бұл өсім ұзаққа созылмады, өйткені швед шапқыншылығы (1655-56) гүлденген Варшава қаласын қиратты."," Варшаваны 1655 жылы шведтер басып алды, қала қирады.",0,85,тарту,"мәтін1:  Бұл өсім ұзаққа созылмады, өйткені швед шапқыншылығы (1655-56) гүлденген Варшава қаласын қиратты.
мәтін2:  Варшаваны 1655 жылы шведтер басып алды, қала қирады.
жапсырма: 0","A)  
Бұл өсім ұзаққа созылмады, өйткені швед басып алуы (1655-56) гүлденген Варшава қаласын қиратты.  

B)  
Бұл өсім ұзаққа жалғаспады, өйткені швед шапқыншылығы (1655-56) гүлденген Варшава қаласын жойды.  

C)  
Бұл өсім ұзаққа созылмай қалды, өйткені швед侵略 (1655-56) гүлденген Варшава қаласын бұзды.  

D)  
Бұл өсім ұзаққа созылмады, өйткені швед шапқыншылығы (1655-56) гүлденген Варшава қаласын талқандады.  ","Бұл өсім ұзаққа созылмады, өйткені швед басып алуы (1655-56) гүлденген Варшава қаласын қиратты.","Бұл өсім ұзаққа жалғаспады, өйткені швед шапқыншылығы (1655-56) гүлденген Варшава қаласын жойды.","Бұл өсім ұзаққа созылмай қалды, өйткені швед侵略 (1655-56) гүлденген Варшава қаласын бұзды.","Бұл өсім ұзаққа созылмады, өйткені швед шапқыншылығы (1655-56) гүлденген Варшава қаласын талқандады."
