question,предмет,выбор,отвечать,sheet,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
" Фигура состоит из 12 прямоугольных треугольников одинакового размера. Основание каждого прямоугольного треугольника равно 4 см, а высота — 5 см. Какова общая площадь фигуры в квадратных сантиметрах?", элементарная_математика, ['10' '60' '120' '240'],2,Sheet1," Фигура состоит из 12 прямоугольных треугольников одинакового размера. Основание каждого прямоугольного треугольника равно 4 см, а высота — 5 см. Какова общая площадь фигуры в квадратных сантиметрах?","A)
Объект сформирован из 12 прямоугольных треугольников идентичного масштаба. База всякого прямоугольного треугольника составляет 4 см, а вертикаль — 5 см. Чему равна совокупная площадь объекта в квадратных сантиметрах?

B)
Изображение включает в себя 12 прямоугольных треугольников равного формата. Подножие любого прямоугольного треугольника имеет 4 см, а вышина — 5 см. Какова суммарная площадь изображения в квадратных сантиметрах?

C)
Контур складывается из 12 прямоугольных треугольников одного габарита. Нижняя сторона каждого прямоугольного треугольника насчитывает 4 см, а протяженность — 5 см. Какова общая поверхность контура в квадратных сантиметрах?

D)
Форма создана из 12 прямоугольных треугольников одинаковой величины. Основание каждого прямоугольного треугольника замеряет 4 см, а вышина — 5 см. Какова итоговая площадь формы в квадратных сантиметрах?","Объект сформирован из 12 прямоугольных треугольников идентичного масштаба. База всякого прямоугольного треугольника составляет 4 см, а вертикаль — 5 см. Чему равна совокупная площадь объекта в квадратных сантиметрах?","Изображение включает в себя 12 прямоугольных треугольников равного формата. Подножие любого прямоугольного треугольника имеет 4 см, а вышина — 5 см. Какова суммарная площадь изображения в квадратных сантиметрах?","Контур складывается из 12 прямоугольных треугольников одного габарита. Нижняя сторона каждого прямоугольного треугольника насчитывает 4 см, а протяженность — 5 см. Какова общая поверхность контура в квадратных сантиметрах?","Форма создана из 12 прямоугольных треугольников одинаковой величины. Основание каждого прямоугольного треугольника замеряет 4 см, а вышина — 5 см. Какова итоговая площадь формы в квадратных сантиметрах?",A,B,C,D
" Аргумент в пользу того, что гоминиды изготавливали и использовали каменные орудия по меньшей мере 3,3 миллиона лет назад, подтверждается следующими данными:", доисторический период," [«Следы разрезов на костях животных, оставленные при разделке туш кусками камня». «Анатомия кистей австралопитека африканского и аналогии с исследованиями ныне живущих нечеловеческих приматов, демонстрирующие использование орудий труда». «Простые каменные нуклеусы, наковальни и отщепы, найденные на стоянке Ломекви 3 в Западной Туркане, Кения». «Все вышеперечисленное».]",3,Sheet1," Аргумент в пользу того, что гоминиды изготавливали и использовали каменные орудия по меньшей мере 3,3 миллиона лет назад, подтверждается следующими данными:","A)
Довод в защиту того, что гоминины создавали и применяли кремнёвые инструменты как минимум 3,3 миллиона лет назад, подкрепляется нижеследующими фактами:

B)
Тезис в пользу того, что антропоиды производили и эксплуатировали литические приспособления не менее 3,3 миллиона лет назад, доказывается приведёнными сведениями:

C)
Утверждение в поддержку того, что приматы мастерили и задействовали булыжные снаряды по меньшей мере 3,3 миллиона лет назад, обосновывается указанными материалами:

D)
Положение в оправдание того, что предки человека конструировали и употребляли минеральные орудия труда минимум 3,3 миллиона лет назад, верифицируется данными свидетельствами:","Довод в защиту того, что гоминины создавали и применяли кремнёвые инструменты как минимум 3,3 миллиона лет назад, подкрепляется нижеследующими фактами:","Тезис в пользу того, что антропоиды производили и эксплуатировали литические приспособления не менее 3,3 миллиона лет назад, доказывается приведёнными сведениями:","Утверждение в поддержку того, что приматы мастерили и задействовали булыжные снаряды по меньшей мере 3,3 миллиона лет назад, обосновывается указанными материалами:","Положение в оправдание того, что предки человека конструировали и употребляли минеральные орудия труда минимум 3,3 миллиона лет назад, верифицируется данными свидетельствами:",A,B,C,D
"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Я напал на домовладельца. Сценарий 2 | Я разорвал и изрезал бумагу с подарков на дне рождения.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",1,Sheet1,"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Я напал на домовладельца. Сценарий 2 | Я разорвал и изрезал бумагу с подарков на дне рождения.","A)
В какой из этих двух ситуаций центральный персонаж (применяющий местоимения «я/мне/мой») совершает очевидно безнравственное действие, согласно общепринятым этическим принципам США по состоянию на 2020 год? Сценарий 1 | Я атаковал арендодателя. Сценарий 2 | Я искромсал и изрезал упаковку от презентов на праздновании дня рождения.

B)
В каком из данных двух случаев протагонист (использующий местоимения «я/мне/мой») совершает явно предосудительное деяние, согласно общепризнанным моральным правилам США по состоянию на 2020 год? Сценарий 1 | Я набросился на хозяина жилья. Сценарий 2 | Я порвал и изорвал обертку с подношений на торжестве в честь дня рождения.

C)
В какой из указанных двух фабул ведущее лицо (употребляющее местоимения «я/мне/мой») совершает безусловно неэтичный шаг, согласно общепринятым моральным стандартам США по состоянию на 2020 год? Сценарий 1 | Я совершил нападение на собственника дома. Сценарий 2 | Я разодрал и искромсал бумагу от гостинцев на вечеринке по случаю дня рождения.

D)
В каком из этих двух описаний ключевое лицо (эксплуатирующее местоимения «я/мне/мой») совершает несомненно порочный акт, согласно общеизвестным моральным установкам США по состоянию на 2020 год? Сценарий 1 | Я ударил владельца недвижимости. Сценарий 2 | Я расчленил и изрезал листы с сувениров на празднике дня рождения.","В какой из этих двух ситуаций центральный персонаж (применяющий местоимения «я/мне/мой») совершает очевидно безнравственное действие, согласно общепринятым этическим принципам США по состоянию на 2020 год? Сценарий 1 | Я атаковал арендодателя. Сценарий 2 | Я искромсал и изрезал упаковку от презентов на праздновании дня рождения.","В каком из данных двух случаев протагонист (использующий местоимения «я/мне/мой») совершает явно предосудительное деяние, согласно общепризнанным моральным правилам США по состоянию на 2020 год? Сценарий 1 | Я набросился на хозяина жилья. Сценарий 2 | Я порвал и изорвал обертку с подношений на торжестве в честь дня рождения.","В какой из указанных двух фабул ведущее лицо (употребляющее местоимения «я/мне/мой») совершает безусловно неэтичный шаг, согласно общепринятым моральным стандартам США по состоянию на 2020 год? Сценарий 1 | Я совершил нападение на собственника дома. Сценарий 2 | Я разодрал и искромсал бумагу от гостинцев на вечеринке по случаю дня рождения.","В каком из этих двух описаний ключевое лицо (эксплуатирующее местоимения «я/мне/мой») совершает несомненно порочный акт, согласно общеизвестным моральным установкам США по состоянию на 2020 год? Сценарий 1 | Я ударил владельца недвижимости. Сценарий 2 | Я расчленил и изрезал листы с сувениров на празднике дня рождения.",A,A,C,D
"Подсудимый хотел, чтобы его школьная баскетбольная команда выиграла чемпионат штата. Во время важной игры подсудимый вытащил пистолет и выстрелил в ногу ключевому игроку команды соперника. Подсудимый намеревался лишь нанести легкое ранение, чтобы игрок соперника не смог доиграть матч. Когда подсудимый произвел выстрел, он непреднамеренно попал в грудь игроку своей собственной школьной команды, убив его мгновенно. Какое самое серьезное преступление может быть совершено в отношении подсудимого?", профессиональное_право, ['Убийство.' 'Умышленное убийство.' 'Непредумышленное убийство.' 'Нанесение побоев.'],0,Sheet1,"Подсудимый хотел, чтобы его школьная баскетбольная команда выиграла чемпионат штата. Во время важной игры подсудимый вытащил пистолет и выстрелил в ногу ключевому игроку команды соперника. Подсудимый намеревался лишь нанести легкое ранение, чтобы игрок соперника не смог доиграть матч. Когда подсудимый произвел выстрел, он непреднамеренно попал в грудь игроку своей собственной школьной команды, убив его мгновенно. Какое самое серьезное преступление может быть совершено в отношении подсудимого?","A)
Обвиняемый желал, чтобы его учебная баскетбольная сборная одержала победу в первенстве региона. В ходе значимого матча обвиняемый извлек револьвер и выстрелил в конечность ведущему участнику коллектива оппонента. Обвиняемый планировал только причинить незначительную травму, дабы атлет конкурента не сумел завершить встречу. Когда обвиняемый совершил выстрел, он нечаянно угодил в туловище члену своего личного учебного коллектива, лишив его жизни моментально. Какое наиболее тяжкое деяние может быть вменено в отношении обвиняемого?

B)
Подследственный стремился, чтобы его лицейская баскетбольная дружина завоевала кубок штата. Во время решающего состязания подследственный достал оружие и выстрелил в голень основному представителю команды противника. Подследственный рассчитывал лишь нанести небольшое повреждение, чтобы мастер соперника не смог продолжить поединок. Когда подследственный произвел залп, он случайно попал в грудную клетку игроку своей собственной лицейской дружины, погубив его мгновенно. Какое самое суровое правонарушение может быть доказано в отношении подследственного?

C)
Фигурант мечтал, чтобы его образовательная баскетбольная группа выиграла турнир штата. В момент ответственной схватки фигурант выхватил пистолет и выстрелил в стопу главному игроку состава неприятеля. Фигурант предполагал только нанести несерьезное увечье, чтобы спортсмен врага не сумел доиграть раунд. Когда фигурант осуществил выстрел, он ненамеренно попал в область сердца игроку своей собственной образовательной группы, умертвив его моментально. Какое максимально строгое злодеяние может быть установлено в отношении фигуранта?

D)
Задержанный жаждал, чтобы его академическая баскетбольная команда стала чемпионом штата. В период серьезного противостояния задержанный вынул наган и выстрелил в щиколотку ключевому атлету клуба соперника. Задержанный надеялся лишь нанести поверхностную рану, чтобы лидер противника не сумел доиграть игру. Когда задержанный сделал выстрел, он непроизвольно попал в грудь игроку своей собственной академической команды, прикончив его моментально. Какое предельно тяжкое преступление может быть вменено в отношении задержанного?","Обвиняемый желал, чтобы его учебная баскетбольная сборная одержала победу в первенстве региона. В ходе значимого матча обвиняемый извлек револьвер и выстрелил в конечность ведущему участнику коллектива оппонента. Обвиняемый планировал только причинить незначительную травму, дабы атлет конкурента не сумел завершить встречу. Когда обвиняемый совершил выстрел, он нечаянно угодил в туловище члену своего личного учебного коллектива, лишив его жизни моментально. Какое наиболее тяжкое деяние может быть вменено в отношении обвиняемого?","Подследственный стремился, чтобы его лицейская баскетбольная дружина завоевала кубок штата. Во время решающего состязания подследственный достал оружие и выстрелил в голень основному представителю команды противника. Подследственный рассчитывал лишь нанести небольшое повреждение, чтобы мастер соперника не смог продолжить поединок. Когда подследственный произвел залп, он случайно попал в грудную клетку игроку своей собственной лицейской дружины, погубив его мгновенно. Какое самое суровое правонарушение может быть доказано в отношении подследственного?","Фигурант мечтал, чтобы его образовательная баскетбольная группа выиграла турнир штата. В момент ответственной схватки фигурант выхватил пистолет и выстрелил в стопу главному игроку состава неприятеля. Фигурант предполагал только нанести несерьезное увечье, чтобы спортсмен врага не сумел доиграть раунд. Когда фигурант осуществил выстрел, он ненамеренно попал в область сердца игроку своей собственной образовательной группы, умертвив его моментально. Какое максимально строгое злодеяние может быть установлено в отношении фигуранта?","Задержанный жаждал, чтобы его академическая баскетбольная команда стала чемпионом штата. В период серьезного противостояния задержанный вынул наган и выстрелил в щиколотку ключевому атлету клуба соперника. Задержанный надеялся лишь нанести поверхностную рану, чтобы лидер противника не сумел доиграть игру. Когда задержанный сделал выстрел, он непроизвольно попал в грудь игроку своей собственной академической команды, прикончив его моментально. Какое предельно тяжкое преступление может быть вменено в отношении задержанного?",A,B,C,D
" Если проницаемость подпочвы высокая, то её текстура, скорее всего, будет классифицирована следующим образом:", разнообразный, ['крупный' 'средний' 'мелкий' 'илистый'],0,Sheet1," Если проницаемость подпочвы высокая, то её текстура, скорее всего, будет классифицирована следующим образом:","A)
Если проводимость грунта значительная, то его состав, вероятнее всего, окажется охарактеризован таким путём:

B)
Когда фильтрация недр отличная, то их строение, по всей видимости, будет определено таким методом:

C)
Если пористость почвы существенная, то её структура, по всей вероятности, будет типизирована данным планом:

D)
В случае если пропускная способность подпочвенного слоя велика, то его консистенция, скорее всего, будет обозначена следующим порядком:","Если проводимость грунта значительная, то его состав, вероятнее всего, окажется охарактеризован таким путём:","Когда фильтрация недр отличная, то их строение, по всей видимости, будет определено таким методом:","Если пористость почвы существенная, то её структура, по всей вероятности, будет типизирована данным планом:","В случае если пропускная способность подпочвенного слоя велика, то его консистенция, скорее всего, будет обозначена следующим порядком:",A,A,C,D
 Перед началом составления финансовой отчетности неэмитента бухгалтер обязан выполнить следующие действия:, профессиональный_бухгалтерский_учет," ['Проверьте, соответствует ли предоставленная организацией финансовая информация данным бухгалтерского учета.' 'Проведите предварительные аналитические процедуры для выявления счетов, которые могут представлять собой специфические риски, имеющие отношение к данному заданию.' 'Задайте руководству вопросы о процедурах организации, используемых для корректировки и закрытия бухгалтерских книг.' 'Получите представление о любых специализированных системах и практиках финансовой отчетности, используемых в отрасли организации.']",3,Sheet1, Перед началом составления финансовой отчетности неэмитента бухгалтер обязан выполнить следующие действия:,"A)
До старта подготовки финансовой документации неэмитента счетовод должен осуществить данные шаги:

B)
Прежде чем приступить к формированию бухгалтерской отчетности неэмитента специалист обязан реализовать указанные процедуры:

C)
Ранее инициирования разработки финансового отчета неэмитента работник учета вынужден произвести такие операции:

D)
Накануне запуска оформления балансовой отчетности неэмитента аудитор призван совершить нижеследующие мероприятия:",До старта подготовки финансовой документации неэмитента счетовод должен осуществить данные шаги:,Прежде чем приступить к формированию бухгалтерской отчетности неэмитента специалист обязан реализовать указанные процедуры:,Ранее инициирования разработки финансового отчета неэмитента работник учета вынужден произвести такие операции:,Накануне запуска оформления балансовой отчетности неэмитента аудитор призван совершить нижеследующие мероприятия:,A,B,C,D
" Какие из перечисленных способностей, по мнению Каррутерса, животные не обладают?", моральные_споры,['способность к страданию' 'способность к практическому рассуждению' 'способность к рациональному мышлению' 'способность к сознательному опыту'],2,Sheet1," Какие из перечисленных способностей, по мнению Каррутерса, животные не обладают?","A)
Какими из указанных умений, согласно взглядам Каррутерса, представители фауны не наделены?

B)
Какие из названных талантов, по убеждению Каррутерса, живые существа не проявляют?

C)
Какими из обозначенных качеств, по суждению Каррутерса, дикие звери не располагают?

D)
Какие из данных навыков, по теории Каррутерса, братья меньшие не имеют?","Какими из указанных умений, согласно взглядам Каррутерса, представители фауны не наделены?","Какие из названных талантов, по убеждению Каррутерса, живые существа не проявляют?","Какими из обозначенных качеств, по суждению Каррутерса, дикие звери не располагают?","Какие из данных навыков, по теории Каррутерса, братья меньшие не имеют?",A,A,C,D
 Что из перечисленного верно для всех оснований?, химия в старшей школе," Все основания отдают ионы OH- в раствор. Только сильные основания создают растворы, в которых присутствуют ионы OH-. Только сильные основания являются хорошими проводниками при растворении в растворе. У слабых оснований концентрация ионов OH- превышает концентрацию основания в растворе.",2,Sheet1, Что из перечисленного верно для всех оснований?,"A)
Что из указанного справедливо для любых оснований?

B)
Что из названного правильно для каждых оснований?

C)
Что из упомянутого истинно для всяких оснований?

D)
Что из приведенного корректно для каждых оснований?",Что из указанного справедливо для любых оснований?,Что из названного правильно для каждых оснований?,Что из упомянутого истинно для всяких оснований?,Что из приведенного корректно для каждых оснований?,A,A,A,D
 Где расположены жизненно важные центры в стволе головного мозга?, анатомия, ['средний мозг' 'мост' 'продолговатый мозг' 'мозжечок'],2,Sheet1, Где расположены жизненно важные центры в стволе головного мозга?,"A)
В каких местах находятся критически значимые узлы в основании черепного мозга?

B)
В какой области локализованы существенные для жизни механизмы в теле головного мозга?

C)
Где именно размещены биологически необходимые структуры в отделе головного мозга?

D)
В каком секторе пребывают фундаментально важные ядра в стебле головного мозга?",В каких местах находятся критически значимые узлы в основании черепного мозга?,В какой области локализованы существенные для жизни механизмы в теле головного мозга?,Где именно размещены биологически необходимые структуры в отделе головного мозга?,В каком секторе пребывают фундаментально важные ядра в стебле головного мозга?,A,A,C,D
 Как обеспечить попадание значительной части лекарственного препарата в нижние дыхательные пути при обучении пациента правильной технике использования ингалятора?, клинические_знания," «Попросите их сделать много коротких, быстрых вдохов перед использованием ингалятора. Попросите их дышать нормально при использовании ингалятора. Попросите их выполнить процедуру как можно быстрее. Попросите их задержать дыхание в конце вдоха при использовании ингалятора».",3,Sheet1, Как обеспечить попадание значительной части лекарственного препарата в нижние дыхательные пути при обучении пациента правильной технике использования ингалятора?,"A)
Как гарантировать доставку существенной доли медикаментозного средства в глубокие отделы легких при инструктировании больного верной методике применения небулайзера?

B)
Каким образом добиться проникновения весомой массы лечебного состава в терминальные бронхи при тренировке человека корректному способу эксплуатации аэрозоля?

C)
Как реализовать поступление большой порции терапевтического вещества в нижние легочные сегменты при показе потребителю точного алгоритма задействования ингалятора?

D)
Каким путем организовать захват заметного объема аптечного продукта в дистальные дыхательные тракты при объяснении лицу правильного порядка задействования прибора?",Как гарантировать доставку существенной доли медикаментозного средства в глубокие отделы легких при инструктировании больного верной методике применения небулайзера?,Каким образом добиться проникновения весомой массы лечебного состава в терминальные бронхи при тренировке человека корректному способу эксплуатации аэрозоля?,Как реализовать поступление большой порции терапевтического вещества в нижние легочные сегменты при показе потребителю точного алгоритма задействования ингалятора?,Каким путем организовать захват заметного объема аптечного продукта в дистальные дыхательные тракты при объяснении лицу правильного порядка задействования прибора?,A,B,C,D
" В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Когда я собирался покинуть отель, мой чемодан был переполнен сувенирами. Сценарий 2 | Я разрезал и разделил младенца.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",2,Sheet1," В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Когда я собирался покинуть отель, мой чемодан был переполнен сувенирами. Сценарий 2 | Я разрезал и разделил младенца.","A)
В какой из данных двух ситуаций центральный персонаж (применяющий местоимения «я/мне/мой») совершает очевидно безнравственное действие, согласно общепринятым этическим принципам США по состоянию на 2020 год? Ситуация 1 | Когда я планировал уехать из гостиницы, мой саквояж был забит подарками. Ситуация 2 | Я расчленил и распределил новорожденного.

B)
В каком из этих двух случаев ведущий субъект (использующий местоимения «я/мне/мой») совершает заведомо порочный акт, согласно общепринятым моральным правилам США по состоянию на 2020 год? Случай 1 | Когда я намеревался выйти из отеля, мой багаж был переполнен гостинцами. Случай 2 | Я разрезал и раздробил младенца.

C)
В какой из этих двух фабул основной протагонист (употребляющий местоимения «я/мне/мой») совершает безусловно неэтичный шаг, согласно общепринятым моральным стандартам США по состоянию на 2020 год? Фабула 1 | Когда я готовился покинуть хостел, мой чемодан был набит сувенирами. Фабула 2 | Я расчленил и разделил грудного ребенка.

D)
В каком из указанных двух примеров главное лицо (использующее местоимения «я/мне/мой») совершает явно бесчестный жест, согласно общепринятым нравственным критериям США по состоянию на 2020 год? Пример 1 | Когда я собирался съехать из отеля, моя сумка была заполнена презентами. Пример 2 | Я разрезал и фрагментировал младенца.","В какой из данных двух ситуаций центральный персонаж (применяющий местоимения «я/мне/мой») совершает очевидно безнравственное действие, согласно общепринятым этическим принципам США по состоянию на 2020 год? Ситуация 1 | Когда я планировал уехать из гостиницы, мой саквояж был забит подарками. Ситуация 2 | Я расчленил и распределил новорожденного.","В каком из этих двух случаев ведущий субъект (использующий местоимения «я/мне/мой») совершает заведомо порочный акт, согласно общепринятым моральным правилам США по состоянию на 2020 год? Случай 1 | Когда я намеревался выйти из отеля, мой багаж был переполнен гостинцами. Случай 2 | Я разрезал и раздробил младенца.","В какой из этих двух фабул основной протагонист (употребляющий местоимения «я/мне/мой») совершает безусловно неэтичный шаг, согласно общепринятым моральным стандартам США по состоянию на 2020 год? Фабула 1 | Когда я готовился покинуть хостел, мой чемодан был набит сувенирами. Фабула 2 | Я расчленил и разделил грудного ребенка.","В каком из указанных двух примеров главное лицо (использующее местоимения «я/мне/мой») совершает явно бесчестный жест, согласно общепринятым нравственным критериям США по состоянию на 2020 год? Пример 1 | Когда я собирался съехать из отеля, моя сумка была заполнена презентами. Пример 2 | Я разрезал и фрагментировал младенца.",A,A,A,A
"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я наполнил чашку посетителя обычным кофе, потому что знал, что он предпочитает кофе без кофеина. Сценарий 2 | Я дал брату ёршик для унитаза, чтобы он почистил зубы.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",0,Sheet1,"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я наполнил чашку посетителя обычным кофе, потому что знал, что он предпочитает кофе без кофеина. Сценарий 2 | Я дал брату ёршик для унитаза, чтобы он почистил зубы.","A)
В какой из данных двух ситуаций центральный персонаж (применяющий местоимения «я/мне/мой») совершает очевидно безнравственное действие, согласно стандартным этическим правилам в США по состоянию на 2020 год? Сценарий 1 | Я наполнил кружку гостя простым кофе, так как знал, что он выбирает кофе без кофеина. Сценарий 2 | Я передал брату ёршик для унитаза, чтобы он почистил зубы.

B)
В каком из этих двух случаев протагонист (использующий местоимения «я/мне/мой») совершает заведомо предосудительный шаг, согласно принятым моральным принципам в США по состоянию на 2020 год? Сценарий 1 | Я заполнил чашку клиента традиционным кофе, поскольку знал, что он предпочитает кофе без кофеина. Сценарий 2 | Я вручил брату ёршик для унитаза, чтобы он почистил зубы.

C)
В какой из указанных двух историй ключевое лицо (употребляющее местоимения «я/мне/мой») совершает явно неэтичный акт, согласно господствующим моральным устоям в США по состоянию на 2020 год? Сценарий 1 | Я налил в чашку человека стандартный кофе, ибо знал, что он любит кофе без кофеина. Сценарий 2 | Я предоставил брату ёршик для унитаза, чтобы он почистил зубы.

D)
В каком из названных двух сюжетов основное лицо (использующее местоимения «я/мне/мой») совершает несомненно порочный поступок, согласно традиционным моральным критериям в США по состоянию на 2020 год? Сценарий 1 | Я наполнил бокал посетителя обыкновенным кофе, так как был осведомлен, что он предпочитает кофе без кофеина. Сценарий 2 | Я подсунул брату ёршик для унитаза, чтобы он почистил зубы.","В какой из данных двух ситуаций центральный персонаж (применяющий местоимения «я/мне/мой») совершает очевидно безнравственное действие, согласно стандартным этическим правилам в США по состоянию на 2020 год? Сценарий 1 | Я наполнил кружку гостя простым кофе, так как знал, что он выбирает кофе без кофеина. Сценарий 2 | Я передал брату ёршик для унитаза, чтобы он почистил зубы.","В каком из этих двух случаев протагонист (использующий местоимения «я/мне/мой») совершает заведомо предосудительный шаг, согласно принятым моральным принципам в США по состоянию на 2020 год? Сценарий 1 | Я заполнил чашку клиента традиционным кофе, поскольку знал, что он предпочитает кофе без кофеина. Сценарий 2 | Я вручил брату ёршик для унитаза, чтобы он почистил зубы.","В какой из указанных двух историй ключевое лицо (употребляющее местоимения «я/мне/мой») совершает явно неэтичный акт, согласно господствующим моральным устоям в США по состоянию на 2020 год? Сценарий 1 | Я налил в чашку человека стандартный кофе, ибо знал, что он любит кофе без кофеина. Сценарий 2 | Я предоставил брату ёршик для унитаза, чтобы он почистил зубы.","В каком из названных двух сюжетов основное лицо (использующее местоимения «я/мне/мой») совершает несомненно порочный поступок, согласно традиционным моральным критериям в США по состоянию на 2020 год? Сценарий 1 | Я наполнил бокал посетителя обыкновенным кофе, так как был осведомлен, что он предпочитает кофе без кофеина. Сценарий 2 | Я подсунул брату ёршик для унитаза, чтобы он почистил зубы.",A,A,C,D
