question,предмет,выбор,отвечать,sheet,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_a,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
"Дано, что прямоугольник со длиной $3x$ дюймов и шириной $x + 5$ дюймов обладает свойством, что его площадь и периметр равны. Чему равно $x$?", математика для старшей школы, ['1' '5' '\\frac{10}{3}' '\\frac{3}{10}'],0,Sheet1,"question: Дано, что прямоугольник со длиной $3x$ дюймов и шириной $x + 5$ дюймов обладает свойством, что его площадь и периметр равны. Чему равно $x$?","A)
question: Известно, что прямоугольник со длиной $3x$ дюймов и шириной $x + 5$ дюймов имеет свойство, что его площадь и периметр равны. Чему равно $x$?

B)
question: Предположим, что прямоугольник со длиной $3x$ дюймов и шириной $x + 5$ дюймов обладает тем свойством, что его площадь и периметр совпадают. Чему равно $x$?

C)
question: Пусть прямоугольник со длиной $3x$ дюймов и шириной $x + 5$ дюймов обладает свойством, что его площадь и периметр равны. Чему равно $x$?

D)
question: Допустим, что прямоугольник со длиной $3x$ дюймов и шириной $x + 5$ дюймов имеет свойство, что его площадь и периметр равны. Чему равно $x$?","question: Известно, что прямоугольник со длиной $3x$ дюймов и шириной $x + 5$ дюймов имеет свойство, что его площадь и периметр равны. Чему равно $x$?","question: Предположим, что прямоугольник со длиной $3x$ дюймов и шириной $x + 5$ дюймов обладает тем свойством, что его площадь и периметр совпадают. Чему равно $x$?","question: Пусть прямоугольник со длиной $3x$ дюймов и шириной $x + 5$ дюймов обладает свойством, что его площадь и периметр равны. Чему равно $x$?","question: Допустим, что прямоугольник со длиной $3x$ дюймов и шириной $x + 5$ дюймов имеет свойство, что его площадь и периметр равны. Чему равно $x$?",E,E,E,E,E
 Ошибка _ignoratio elenchi_ также известна как, логические_ошибки, ['аргумент против личности' 'апелляция к состраданию' 'незнание опровержения' 'заблуждение 'ты тоже'],2,Sheet1,question:  Ошибка _ignoratio elenchi_ также известна как,"A)
question:  Погрешность _ignoratio elenchi_ также известна как

B)
question:  Оплошность _ignoratio elenchi_ также известна как

C)
question:  Ошибка _ignoratio elenchi_ также называется

D)
question:  Ошибка _ignoratio elenchi_ также именуется",question:  Погрешность _ignoratio elenchi_ также известна как,question:  Оплошность _ignoratio elenchi_ также известна как,question:  Ошибка _ignoratio elenchi_ также называется,question:  Ошибка _ignoratio elenchi_ также именуется,E,E,E,E,E
 Кто из перечисленных считает государства основными действующими лицами в международных отношениях?, внешняя политика США, ['Реализм' 'Идеализм' 'Либерализм' 'Ничего из вышеперечисленного'],0,Sheet1,question:  Кто из перечисленных считает государства основными действующими лицами в международных отношениях?,"A)
question:  Кто из указанных полагает страны основными участниками в международных связях?

B)
question:  Кто из названных считает государства главными действующими субъектами в международных отношениях?

C)
question:  Кто из перечисленных рассматривает государства основными агентами в международных отношениях?

D)
question:  Кто из перечисленных признаёт государства ключевыми актёрами в международных отношениях?",question:  Кто из указанных полагает страны основными участниками в международных связях?,question:  Кто из названных считает государства главными действующими субъектами в международных отношениях?,question:  Кто из перечисленных рассматривает государства основными агентами в международных отношениях?,question:  Кто из перечисленных признаёт государства ключевыми актёрами в международных отношениях?,E,E,E,E,E
 Какую из следующих групп пациентов следует обследовать с использованием шкалы раннего предупреждения (EWS)?, клинические_знания," ['Только пациенты старше 60 лет.' 'Только пациенты, поступившие в отделение неотложной помощи.' 'Только пациенты, находившиеся в отделении интенсивной терапии/реанимации.' 'Любой пациент, находящийся в остром состоянии до или после операции, а также те, кто перенес серьезную операцию.']",3,Sheet1,question:  Какую из следующих групп пациентов следует обследовать с использованием шкалы раннего предупреждения (EWS)?,"A)
question:  Которую из перечисленных групп больных необходимо обследовать с помощью шкалы раннего оповещения (EWS)?

B)
question:  Какую из указанных категорий пациентов следует оценивать при помощи шкалы раннего оповещения (EWS)?

C)
question:  Которую из нижеперечисленных категорий больных следует проверять с применением шкалы раннего предупреждения (EWS)?

D)
question:  Какую из перечисленных групп пациентов необходимо осматривать с использованием шкалы раннего оповещения (EWS)?",question:  Которую из перечисленных групп больных необходимо обследовать с помощью шкалы раннего оповещения (EWS)?,question:  Какую из указанных категорий пациентов следует оценивать при помощи шкалы раннего оповещения (EWS)?,question:  Которую из нижеперечисленных категорий больных следует проверять с применением шкалы раннего предупреждения (EWS)?,question:  Какую из перечисленных групп пациентов необходимо осматривать с использованием шкалы раннего оповещения (EWS)?,E,E,E,E,E
" Все перечисленные ниже явления являются электромагнитными волнами, ЗА ИСКЛЮЧЕНИЕМ", концептуальная_физика, ['микроволны' 'световые волны' 'рентгеновские лучи' 'Ничто не выходит за рамки семейства; все это электромагнитные волны'],3,Sheet1,"question:  Все перечисленные ниже явления являются электромагнитными волнами, ЗА ИСКЛЮЧЕНИЕМ","A)
question:  Все указанные ниже явления являются электромагнитными волнами, ЗА ИСКЛЮЧЕНИЕМ

B)
question:  Все перечисленные ниже явления представляют собой электромагнитные волны, ЗА ИСКЛЮЧЕНИЕМ

C)
question:  Все перечисленные ниже проявления являются электромагнитными волнами, ЗА ИСКЛЮЧЕНИЕМ

D)
question:  Все перечисленные ниже явления являются электромагнитными излучениями, ЗА ИСКЛЮЧЕНИЕМ","question:  Все указанные ниже явления являются электромагнитными волнами, ЗА ИСКЛЮЧЕНИЕМ","question:  Все перечисленные ниже явления представляют собой электромагнитные волны, ЗА ИСКЛЮЧЕНИЕМ","question:  Все перечисленные ниже проявления являются электромагнитными волнами, ЗА ИСКЛЮЧЕНИЕМ","question:  Все перечисленные ниже явления являются электромагнитными излучениями, ЗА ИСКЛЮЧЕНИЕМ",E,E,E,E,E
" Утверждение 1 | Если конечная группа имеет порядок n, то группа содержит подгруппу порядка d для каждого положительного делителя d числа n. Утверждение 2 | Если a принадлежит конечной группе, то |a| делит |G|.", абстрактная_алгебра," ['Истина, Истина' 'Ложь, Ложь' 'Истина, Ложь' 'Ложь, Истина']",3,Sheet1,"question:  Утверждение 1 | Если конечная группа имеет порядок n, то группа содержит подгруппу порядка d для каждого положительного делителя d числа n. Утверждение 2 | Если a принадлежит конечной группе, то |a| делит |G|.","A)
question:  Утверждение 1 | Если конечная группа обладает порядком n, то группа включает подгруппу порядка d для каждого положительного делителя d числа n. Утверждение 2 | Если a входит в конечную группу, то |a| делит |G|.

B)
question:  Утверждение 1 | Если конечная группа имеет порядок n, то группа включает подгруппу порядка d для каждого положительного делителя d числа n. Утверждение 2 | Если a принадлежит конечной группе, то |a| делит |G|.

C)
question:  Утверждение 1 | Если конечная группа обладает порядком n, то группа содержит подгруппу порядка d для каждого положительного делителя d числа n. Утверждение 2 | Если a лежит в конечной группе, то |a| делит |G|.

D)
question:  Утверждение 1 | Если конечная группа имеет порядок n, то группа содержит субгруппу порядка d для каждого положительного делителя d числа n. Утверждение 2 | Если a является элементом конечной группы, то |a| делит |G|.","question:  Утверждение 1 | Если конечная группа обладает порядком n, то группа включает подгруппу порядка d для каждого положительного делителя d числа n. Утверждение 2 | Если a входит в конечную группу, то |a| делит |G|.","question:  Утверждение 1 | Если конечная группа имеет порядок n, то группа включает подгруппу порядка d для каждого положительного делителя d числа n. Утверждение 2 | Если a принадлежит конечной группе, то |a| делит |G|.","question:  Утверждение 1 | Если конечная группа обладает порядком n, то группа содержит подгруппу порядка d для каждого положительного делителя d числа n. Утверждение 2 | Если a лежит в конечной группе, то |a| делит |G|.","question:  Утверждение 1 | Если конечная группа имеет порядок n, то группа содержит субгруппу порядка d для каждого положительного делителя d числа n. Утверждение 2 | Если a является элементом конечной группы, то |a| делит |G|.",A,E,E,E,A
 Какая молитва является самой важной в иудаизме?, мировые религии, ['Шема' 'Сефирот' 'Второзаконие' 'Декалог'],0,Sheet1,question:  Какая молитва является самой важной в иудаизме?,"A)
question:  Какая молитва считается самой важной в иудаизме?

B)
question:  Какая мольба является самой значимой в иудаизме?

C)
question:  Какая молитва является наиболее важной в иудаизме?

D)
question:  Какая молитва является самой важной в иудействе?",question:  Какая молитва считается самой важной в иудаизме?,question:  Какая мольба является самой значимой в иудаизме?,question:  Какая молитва является наиболее важной в иудаизме?,question:  Какая молитва является самой важной в иудействе?,E,E,E,E,E
"Степень, в которой человек верит, что может контролировать свою жизнь, определяется его __________.", деловая_этика, ['Моральное воображение' 'Личная целостность' 'Когнитивно-моральное развитие' 'Локус контроля'],3,Sheet1,"question: Степень, в которой человек верит, что может контролировать свою жизнь, определяется его __________.","A)
question: Уровень, в котором человек убеждён, что способен контролировать свою жизнь, определяется его __________.

B)
question: Мера, в которой индивид верит, что может управлять своей жизнью, определяется его __________.

C)
question: Величина, в которой человек полагает, что может контролировать свою жизнь, определяется его __________.

D)
question: Степень, в которой человек верит, что способен управлять своей жизнью, определяется его __________.","question: Уровень, в котором человек убеждён, что способен контролировать свою жизнь, определяется его __________.","question: Мера, в которой индивид верит, что может управлять своей жизнью, определяется его __________.","question: Величина, в которой человек полагает, что может контролировать свою жизнь, определяется его __________.","question: Степень, в которой человек верит, что способен управлять своей жизнью, определяется его __________.",E,E,E,E,E
"Предложенные Чарльзом Дарвином условия естественного отбора включают в себя все перечисленное ниже в отношении данной популяции, ЗА ИСКЛЮЧЕНИЕМ", колледж_биология," ['наследование как «приспособленных», так и «неприспособленных» генов' 'дифференциальная выживаемость и репродуктивный успех' 'конкуренция за ограниченные ресурсы' 'перепроизводство потомства']",0,Sheet1,"question: Предложенные Чарльзом Дарвином условия естественного отбора включают в себя все перечисленное ниже в отношении данной популяции, ЗА ИСКЛЮЧЕНИЕМ","A)
question: Выдвинутые Чарльзом Дарвином положения естественного отбора включают в себя все перечисленное ниже в отношении данной популяции, ЗА ИСКЛЮЧЕНИЕМ

B)
question: Представленные Дарвином условия натурального отбора включают в себя все перечисленное ниже в отношении данной популяции, ЗА ИСКЛЮЧЕНИЕМ

C)
question: Формулированные Чарльзом Дарвином принципы естественного отбора включают в себя все перечисленное ниже в отношении данной популяции, ЗА ИСКЛЮЧЕНИЕМ

D)
question: Высказанные Дарвином положения натурального отбора включают в себя все перечисленное ниже в отношении данной популяции, ЗА ИСКЛЮЧЕНИЕМ","question: Выдвинутые Чарльзом Дарвином положения естественного отбора включают в себя все перечисленное ниже в отношении данной популяции, ЗА ИСКЛЮЧЕНИЕМ","question: Представленные Дарвином условия натурального отбора включают в себя все перечисленное ниже в отношении данной популяции, ЗА ИСКЛЮЧЕНИЕМ","question: Формулированные Чарльзом Дарвином принципы естественного отбора включают в себя все перечисленное ниже в отношении данной популяции, ЗА ИСКЛЮЧЕНИЕМ","question: Высказанные Дарвином положения натурального отбора включают в себя все перечисленное ниже в отношении данной популяции, ЗА ИСКЛЮЧЕНИЕМ",E,A,E,E,E
Какой витамин необходим для усвоения кальция из тонкого кишечника?, питание, ['Витамин А' 'Витамин D' 'Витамин E' 'Витамин K'],1,Sheet1,question: Какой витамин необходим для усвоения кальция из тонкого кишечника?,"A)
question: Который витамин необходим для всасывания кальция из тонкого кишечника?

B)
question: Какой витамин нужен для усвоения кальция из тонкой кишки?

C)
question: Какой витамин требуется для поглощения кальция из тонкого кишечника?

D)
question: Который витамин требуется для усвоения кальция из тонкой кишки?",question: Который витамин необходим для всасывания кальция из тонкого кишечника?,question: Какой витамин нужен для усвоения кальция из тонкой кишки?,question: Какой витамин требуется для поглощения кальция из тонкого кишечника?,question: Который витамин требуется для усвоения кальция из тонкой кишки?,E,E,E,E,E
 Ось вращения Земли наклонена под углом приблизительно ... относительно плоскости орбиты вокруг Солнца., астрономия," ['20,3 градуса' '21,4 градуса' '22,7 градуса' '23,5 градуса']",3,Sheet1,question:  Ось вращения Земли наклонена под углом приблизительно ... относительно плоскости орбиты вокруг Солнца.,"A)
question:  Ось вращения Земного шара наклонена под углом примерно ... относительно плоскости орбиты вокруг Солнца.

B)
question:  Ось вращения планеты Земля склонена под углом около ... относительно плоскости орбитальной траектории вокруг Солнца.

C)
question:  Ось вращения Земли отклонена под углом приблизительно ... относительно плоскости орбиты вокруг Солнца.

D)
question:  Ось вращения Земли склонена под углом примерно ... по отношению к плоскости орбиты вокруг Солнца.",question:  Ось вращения Земного шара наклонена под углом примерно ... относительно плоскости орбиты вокруг Солнца.,question:  Ось вращения планеты Земля склонена под углом около ... относительно плоскости орбитальной траектории вокруг Солнца.,question:  Ось вращения Земли отклонена под углом приблизительно ... относительно плоскости орбиты вокруг Солнца.,question:  Ось вращения Земли склонена под углом примерно ... по отношению к плоскости орбиты вокруг Солнца.,E,E,E,E,E
" Повышение цен на вилочные погрузчики, импортируемые в Соединенные Штаты из Бельгии, приведет к...", макроэкономика для старшей школы,"['повышают индекс потребительских цен и дефлятор ВВП.' 'повышают индекс потребительских цен, но не дефлятор ВВП.' 'повышают дефлятор ВВП, но не индекс потребительских цен.' 'не оказывают влияния на индекс потребительских цен или дефлятор ВВП.']",3,Sheet1,"question:  Повышение цен на вилочные погрузчики, импортируемые в Соединенные Штаты из Бельгии, приведет к...","A)
question:  Увеличение стоимости на вилочные погрузчики, ввозимые в Соединенные Штаты из Бельгии, приведет к...

B)
question:  Рост цен на погрузчики-вилочные, импортируемые в США из Бельгии, приведет к...

C)
question:  Подорожание расценок на вилочные машины, импортируемые в Соединенные Штаты из Бельгии, приведет к...

D)
question:  Повышение стоимости на автопогрузчики, ввозимые в Соединенные Штаты из Бельгии, приведет к...","question:  Увеличение стоимости на вилочные погрузчики, ввозимые в Соединенные Штаты из Бельгии, приведет к...","question:  Рост цен на погрузчики-вилочные, импортируемые в США из Бельгии, приведет к...","question:  Подорожание расценок на вилочные машины, импортируемые в Соединенные Штаты из Бельгии, приведет к...","question:  Повышение стоимости на автопогрузчики, ввозимые в Соединенные Штаты из Бельгии, приведет к...",E,E,E,E,E
" Низкочастотное питание необходимо для индукционных печей прямого типа, потому что", электротехника," ['При нормальной частоте питания электромагнитные силы вызывают сильное перемешивание расплавленного металла.' 'Магнитная связь между первичной и вторичной цепями слабая.' 'И А, и В.' 'Ни один из вышеперечисленных вариантов.']",2,Sheet1,"question:  Низкочастотное питание необходимо для индукционных печей прямого типа, потому что","A)
question:  Низкочастотное электропитание требуется для индукционных печей прямого типа, потому что

B)
question:  Низкочастотное питание обязательно для индукционных печей прямого типа, потому что

C)
question:  Низкочастотное питание необходимо для индуктивных печей прямого типа, потому что

D)
question:  Низкочастотное питание необходимо для индукционных печей непосредственного типа, потому что","question:  Низкочастотное электропитание требуется для индукционных печей прямого типа, потому что","question:  Низкочастотное питание обязательно для индукционных печей прямого типа, потому что","question:  Низкочастотное питание необходимо для индуктивных печей прямого типа, потому что","question:  Низкочастотное питание необходимо для индукционных печей непосредственного типа, потому что",E,E,E,E,E
"Этот вопрос относится к следующей информации. «Аль-Завави также сказал: «Этот султан Муса сказал мне, что в городе под названием Зкри у него есть медный рудник, откуда слитки доставляются в Байти. В моем королевстве нет ничего, — сказал Муса, — на что не взимается пошлина, кроме этой необработанной меди, которую привозят. Пошлина взимается только с нее и ни с чего другого. Мы отправляем ее в землю языческого Судана и продаем ее за две трети ее веса в золоте, так что мы продаем 100 мер этой меди за 66 2/3 мер золота». Он также заявил, что в его королевстве есть языческие народы, с которых он не взимает дань (джизью), а просто нанимает их для добычи золота из месторождений». Золото добывается путем рытья ям глубиной примерно в человеческий рост, и золото находится вкрапленным в стенки ям или иногда собирается на их дне. Из книги Н. Левциона и Дж. Ф. П. Хопкинса (ред.). Корпус ранних арабских источников по истории Западной Африки. Издательство Кембриджского университета, 1981. Перепечатано с разрешения издательства Кембриджского университета. Аль-Умари, ок. 1300–1384. Какое из следующих утверждений наиболее подтверждается обсуждением меди и золота в данном отрывке?",история мира в старшей школе," «Мали могла изготавливать передовые бронзовые орудия труда из своих минеральных ресурсов». «Международная торговля с странами Африки к югу от Сахары включала обмен минеральными ресурсами». «Джизья могла взиматься только с неверующих, имевших полезные ископаемые для добычи». «Относительно передовые горнодобывающие технологии Мали обусловили ее минеральное богатство».",1,Sheet1,"question: Этот вопрос относится к следующей информации. «Аль-Завави также сказал: «Этот султан Муса сказал мне, что в городе под названием Зкри у него есть медный рудник, откуда слитки доставляются в Байти. В моем королевстве нет ничего, — сказал Муса, — на что не взимается пошлина, кроме этой необработанной меди, которую привозят. Пошлина взимается только с нее и ни с чего другого. Мы отправляем ее в землю языческого Судана и продаем ее за две трети ее веса в золоте, так что мы продаем 100 мер этой меди за 66 2/3 мер золота». Он также заявил, что в его королевстве есть языческие народы, с которых он не взимает дань (джизью), а просто нанимает их для добычи золота из месторождений». Золото добывается путем рытья ям глубиной примерно в человеческий рост, и золото находится вкрапленным в стенки ям или иногда собирается на их дне. Из книги Н. Левциона и Дж. Ф. П. Хопкинса (ред.). Корпус ранних арабских источников по истории Западной Африки. Издательство Кембриджского университета, 1981. Перепечатано с разрешения издательства Кембриджского университета. Аль-Умари, ок. 1300–1384. Какое из следующих утверждений наиболее подтверждается обсуждением меди и золота в данном отрывке?","A)
Которое из перечисленных суждений в наибольшей степени подтверждается обсуждением меди и золота в этом отрывке?

B)
Какое из перечисленных положений наиболее подтверждается рассмотрением меди и золота в данном фрагменте?

C)
Которое из нижеследующих утверждений в наибольшей степени обосновывается упоминанием меди и золота в данном отрывке?

D)
Какое из следующих заявлений наиболее обосновано обсуждением меди и золота в этом фрагменте?",Которое из перечисленных суждений в наибольшей степени подтверждается обсуждением меди и золота в этом отрывке?,Какое из перечисленных положений наиболее подтверждается рассмотрением меди и золота в данном фрагменте?,Которое из нижеследующих утверждений в наибольшей степени обосновывается упоминанием меди и золота в данном отрывке?,Какое из следующих заявлений наиболее обосновано обсуждением меди и золота в этом фрагменте?,E,E,A,A,A
"Джонни и Сьюзи переезжают в Шотландию, чтобы отремонтировать и жить в семейном замке. Что делает их переезд миграцией?", география для старшей школы, «Они пересекают границы другой страны». «Они ничего с собой не берут». «Они переезжают навсегда». «Они пробудут здесь больше года».,2,Sheet1,"question: Джонни и Сьюзи переезжают в Шотландию, чтобы отремонтировать и жить в семейном замке. Что делает их переезд миграцией?","A)
question: Джонни и Сьюзи перебираются в Шотландию, чтобы отреставрировать и проживать в родовом замке. Что делает их переезд миграцией?

B)
question: Джонни и Сьюзи переселяются в Шотландию, чтобы восстановить и жить в семейном замке. Что делает их переезд миграцией?

C)
question: Джонни и Сьюзи переезжают в Шотландию, чтобы привести в порядок и обитать в фамильном замке. Что делает их переезд миграцией?

D)
question: Джонни и Сьюзи перебираются в Шотландию, чтобы починить и поселиться в родовом замке. Что делает их переезд миграцией?","question: Джонни и Сьюзи перебираются в Шотландию, чтобы отреставрировать и проживать в родовом замке. Что делает их переезд миграцией?","question: Джонни и Сьюзи переселяются в Шотландию, чтобы восстановить и жить в семейном замке. Что делает их переезд миграцией?","question: Джонни и Сьюзи переезжают в Шотландию, чтобы привести в порядок и обитать в фамильном замке. Что делает их переезд миграцией?","question: Джонни и Сьюзи перебираются в Шотландию, чтобы починить и поселиться в родовом замке. Что делает их переезд миграцией?",E,E,E,E,E
" Если было отмечено негативное воздействие на какую-либо группу меньшинства, какой из следующих типов тестов, вероятно, имеет наилучшие шансы выдержать юридическую проверку?", профессиональная_психология, ['Проективный' 'Эмпирически обоснованный' 'Образец работы' 'Множественный выбор'],2,Sheet1,"question:  Если было отмечено негативное воздействие на какую-либо группу меньшинства, какой из следующих типов тестов, вероятно, имеет наилучшие шансы выдержать юридическую проверку?","A)
question:  Если было зафиксировано вредное влияние на какую-либо группу меньшинства, какой из следующих типов тестов, вероятно, имеет наилучшие шансы выдержать юридическую проверку?

B)
question:  Если наблюдалось отрицательное влияние на какую-либо группу меньшинства, какой из следующих типов тестов, вероятно, имеет наилучшие шансы выдержать юридическую проверку?

C)
question:  Если было выявлено неблагоприятное воздействие на какую-либо группу меньшинства, какой из следующих типов тестов, вероятно, имеет наилучшие шансы выдержать юридическую проверку?

D)
question:  Если было зафиксировано негативное воздействие на любую группу меньшинства, какой из следующих типов тестов, вероятно, имеет наилучшие шансы выдержать юридическую проверку?","question:  Если было зафиксировано вредное влияние на какую-либо группу меньшинства, какой из следующих типов тестов, вероятно, имеет наилучшие шансы выдержать юридическую проверку?","question:  Если наблюдалось отрицательное влияние на какую-либо группу меньшинства, какой из следующих типов тестов, вероятно, имеет наилучшие шансы выдержать юридическую проверку?","question:  Если было выявлено неблагоприятное воздействие на какую-либо группу меньшинства, какой из следующих типов тестов, вероятно, имеет наилучшие шансы выдержать юридическую проверку?","question:  Если было зафиксировано негативное воздействие на любую группу меньшинства, какой из следующих типов тестов, вероятно, имеет наилучшие шансы выдержать юридическую проверку?",E,E,E,E,E
" Рассчитайте относительную заселенность энергетических уровней α и β спина для радикального вида с g = 2,05 на частотах L- и W-диапазонов (примите TS = 300 K).", колледж_химия," ['Nα/Nβ = 0,9800 в L-диапазоне; Nα/Nβ = 0,9509 в W-диапазоне 'Nα/Nβ = 0,9950 в L-диапазоне; Nα/Nβ = 0,9609 в W-диапазоне 'Nα/Nβ = 0,9910 в L-диапазоне; Nα/Nβ = 0,9709 в W-диапазоне 'Nα/Nβ = 0,9850 в L-диапазоне; Nα/Nβ = 0,9809 в W-диапазоне']",3,Sheet1,"question:  Рассчитайте относительную заселенность энергетических уровней α и β спина для радикального вида с g = 2,05 на частотах L- и W-диапазонов (примите TS = 300 K).","A)
question:  Вычислите относительную заполненность энергетических состояний α и β спина для радикального вида с g = 2,05 на частотах L- и W-диапазонов (примите TS = 300 K).

B)
question:  Определите относительную заселённость энергетических уровней α и β спина для радикального вида с g = 2,05 на частотах L- и W-диапазонов (примите TS = 300 K).

C)
question:  Найдите относительную плотность заселения энергетических уровней α и β спина для радикального вида с g = 2,05 на частотах L- и W-диапазонов (примите TS = 300 K).

D)
question:  Подсчитайте относительную степень заполнения энергетических состояний α и β спина для радикального вида с g = 2,05 на частотах L- и W-диапазонов (примите TS = 300 K).","question:  Вычислите относительную заполненность энергетических состояний α и β спина для радикального вида с g = 2,05 на частотах L- и W-диапазонов (примите TS = 300 K).","question:  Определите относительную заселённость энергетических уровней α и β спина для радикального вида с g = 2,05 на частотах L- и W-диапазонов (примите TS = 300 K).","question:  Найдите относительную плотность заселения энергетических уровней α и β спина для радикального вида с g = 2,05 на частотах L- и W-диапазонов (примите TS = 300 K).","question:  Подсчитайте относительную степень заполнения энергетических состояний α и β спина для радикального вида с g = 2,05 на частотах L- и W-диапазонов (примите TS = 300 K).",E,A,E,E,E
