question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split,instance,generated_options,option_a,option_b,option_c,option_d
12011,A certain medium has a relative permittivity of 25 and a relative permeability of unity. Evaluate (a) the phase velocity of a wave in this medium; (b) the index of refraction of the medium.,"1.0 × 10^8 meters/sec, 10","0.7 × 10^8 meters/sec, 7","0.5 × 10^8 meters/sec, 5.5","0.6 × 10^8 meters/sec, 5","0.9 × 10^8 meters/sec, 9","0.4 × 10^8 meters/sec, 4","1.2 × 10^8 meters/sec, 12","0.3 × 10^8 meters/sec, 3","0.2 × 10^8 meters/sec, 2","0.8 × 10^8 meters/sec, 6",D,3,engineering,stemez-Electromagnetics,,test,question: A certain medium has a relative permittivity of 25 and a relative permeability of unity. Evaluate (a) the phase velocity of a wave in this medium; (b) the index of refraction of the medium.,"A)
question: A particular material has a relative permittivity of 25 and a relative permeability of one. Evaluate (a) the phase velocity of a wave in this material; (b) the refractive index of the material.

B)
question: A certain medium possesses a relative permittivity of 25 and a relative permeability equal to unity. Evaluate (a) the phase velocity of a wave in this medium; (b) the index of refraction of the medium.

C)
question: A particular medium exhibits a relative permittivity of 25 and a relative permeability of unity. Evaluate (a) the phase velocity of a wave in this medium; (b) the index of refraction of the medium.

D)
question: A certain material has a relative permittivity of 25 and a relative permeability equal to one. Evaluate (a) the phase velocity of a wave in this material; (b) the index of refraction of the material.",question: A particular material has a relative permittivity of 25 and a relative permeability of one. Evaluate (a) the phase velocity of a wave in this material; (,question: A certain medium possesses a relative permittivity of 25 and a relative permeability equal to unity. Evaluate (a) the phase velocity of a wave in this medium; (b) the index of refraction of the medium.,question: A particular medium exhibits a relative permittivity of 25 and a relative permeability of unity. Evaluate (a) the phase velocity of a wave in this medium; (b) the index of refraction of the medium.,question: A certain material has a relative permittivity of 25 and a relative permeability equal to one. Evaluate (a) the phase velocity of a wave in this material; (b) the index of refraction of the material.
3325,Which of these is a statement that Darwin would have rejected?,Environmental change plays a role in evolution.,The smallest entity that can evolve is an individual organism.,Inherited variation in a population is a necessary precondition for natural selection to operate.,,,,,,,,B,1,biology,ori_mmlu-high_school_biology,,test,question: Which of these is a statement that Darwin would have rejected?,"A)
question: Which of these is an assertion that Darwin would have dismissed?

B)
question: Which of these is a claim that Darwin would have repudiated?

C)
question: Which of these is a declaration that Darwin would have spurned?

D)
question: Which of these is a proposition that Darwin would have refuted?",question: Which of these is an assertion that Darwin would have dismissed?,question: Which of these is a claim that Darwin would have repudiated?,question: Which of these is a declaration that Darwin would have spurned?,question: Which of these is a proposition that Darwin would have refuted?
7083,What is the effect on savings of a tax cut of $10 billion? Is thisinflationary or deflationary? Assume that the marginal propensity to consume is 0.85.,$1.5 billion,$8.5 billion,$0.85 billion,$15 billion,$56.67 billion,0.15,-$1.5 billion,$85 billion,$10 billion,$5 billion,A,0,economics,stemez-Economics,,test,question: What is the effect on savings of a tax cut of $10 billion? Is thisinflationary or deflationary? Assume that the marginal propensity to consume is 0.85.,"A)
question: What is the impact on savings of a tax reduction of $10 billion? Is thisinflationary or deflationary? Assume that the marginal propensity to consume is 0.85.

B)
question: What is the consequence on savings of a tax decrease of $10 billion? Is thisinflationary or deflationary? Assume that the marginal propensity to consume is 0.85.

C)
question: What is the influence on savings of a tax cut of $10 billion? Is thisinflationary or deflationary? Suppose that the marginal propensity to consume equals 0.85.

D)
question: What is the outcome on savings of a tax reduction of $10 billion? Is thisinflationary or deflationary? Assume that the marginal propensity to consume is 0.85.",question: What is the impact on savings of a tax reduction of $10 billion? Is thisinflationary or deflationary? Assume that the marginal propensity to consume is 0.85.,question: What is the consequence on savings of a tax decrease of $10 billion? Is thisinflationary or deflationary? Assume that the marginal propensity to consume is 0.85.,question: What is the influence on savings of a tax cut of $10 billion? Is thisinflationary or deflationary? Suppose that the marginal propensity to consume equals 0.85.,question: What is the outcome on savings of a tax reduction of $10 billion? Is thisinflationary or deflationary? Assume that the marginal propensity to consume is 0.85.
10860," Select the best English interpretation of the given arguments in predicate logic.
(∃x)(Cx • Ox)
(∀x)[(~Cx ⊃ ~Bx) ⊃ ~Og]	/ ~Og","Some cookies have oatmeal. If something's not having chocolate chips entails that it is not a cookie, then it doesn't have oatmeal. So this cookie doesn't have oatmeal.","Some cookies have oatmeal. If something's not being a cookie entails that it doesn't have oatmeal, then this cookie doesn't have chocolate chips. So this cookie doesn't have oatmeal.","Some cookies have oatmeal. If something's not being a cookie entails that it doesn't have chocolate chips, then this cookie doesn't have oatmeal. So this cookie doesn't have oatmeal.","Some cookies have oatmeal. If something's not a cookie, it does not have oatmeal, and it does not have chocolate chips. So this cookie doesn't have oatmeal.","Some cookies have oatmeal. If something is a cookie, it does not have chocolate chips, and it doesn't have oatmeal. So this cookie doesn't have oatmeal.","Some cookies have oatmeal. If something's not being a cookie entails that it does have chocolate chips, then this cookie doesn't have oatmeal. So this cookie doesn't have oatmeal.","Some cookies have oatmeal. If something is not a cookie and does not have chocolate chips, it doesn't have oatmeal. So this cookie doesn't have oatmeal.","Some cookies have oatmeal. If something doesn't have oatmeal, then it is not a cookie and it doesn't have chocolate chips. So this cookie doesn't have oatmeal.","Some cookies have oatmeal. If something does not have chocolate chips, then it is not a cookie and therefore, it doesn't have oatmeal. So this cookie doesn't have oatmeal.","Some cookies have oatmeal. If something's not a cookie, it doesn't have chocolate chips. So this cookie has oatmeal.",C,2,philosophy,ori_mmlu-formal_logic,,test,"question:  Select the best English interpretation of the given arguments in predicate logic.
(∃x)(Cx • Ox)
(∀x)[(~Cx ⊃ ~Bx) ⊃ ~Og]	/ ~Og","A)
question:  Choose the best English rendering of the supplied arguments in predicate logic.
(∃x)(Cx • Ox)
(∀x)[(~Cx ⊃ ~Bx) ⊃ ~Og]	/ ~Og

B)
question:  Select the finest English interpretation of the presented arguments in predicate logic.
(∃x)(Cx • Ox)
(∀x)[(~Cx ⊃ ~Bx) ⊃ ~Og]	/ ~Og

C)
question:  Pick the most appropriate English translation of the provided arguments in predicate logic.
(∃x)(Cx • Ox)
(∀x)[(~Cx ⊃ ~Bx) ⊃ ~Og]	/ ~Og

D)
question:  Choose the most suitable English paraphrase of the given arguments in predicate logic.
(∃x)(Cx • Ox)
(∀x)[(~Cx ⊃ ~Bx) ⊃ ~Og]	/ ~Og","question:  Choose the best English rendering of the supplied arguments in predicate logic.
(∃x)(Cx • Ox)
(∀x)[(~Cx ⊃ ~Bx) ⊃ ~Og]	/ ~Og","question:  Select the finest English interpretation of the presented arguments in predicate logic.
(∃x)(Cx • Ox)
(∀x)[(~Cx ⊃ ~Bx) ⊃ ~Og]	/ ~Og","question:  Pick the most appropriate English translation of the provided arguments in predicate logic.
(∃x)(Cx • Ox)
(∀x)[(~Cx ⊃ ~Bx) ⊃ ~Og]	/ ~Og","question:  Choose the most suitable English paraphrase of the given arguments in predicate logic.
(∃x)(Cx • Ox)
(∀x)[(~Cx ⊃ ~Bx) ⊃ ~Og]	/ ~Og"
5756,Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Reduced use of fertilizers,Increased use of natural farming methods,Decreased use of mechanization,Decreased use of pesticides,Decreased reliance on irrigation,Increased use of fertilizers,Reduced crop diversity,Decreased crop yields,Increased soil erosion,G,6,other,ori_mmlu-miscellaneous,,test,question: Which of the following best describes an effect of the green revolution in the 1960s?,"A)
question: Which of the following most accurately characterizes an impact of the green revolution during the 1960s?

B)
question: Which of the following most precisely depicts a consequence of the green revolution in the 1960s?

C)
question: Which of the following most aptly portrays a result of the green revolution in the 1960s?

D)
question: Which of the following best summarizes an outcome of the green revolution during the 1960s?",question: Which of the following most accurately characterizes an impact of the green revolution during the 1960s?,question: Which of the following most precisely depicts a consequence of the green revolution in the 1960s?,question: Which of the following most aptly portrays a result of the green revolution in the 1960s?,question: Which of the following best summarizes an outcome of the green revolution during the 1960s?
4917,"This question refers to the following information.
The pair of excerpts below is written by explorer Christopher Columbus and the Dominican Bishop of Chiapas, Mexico, Bartholomew de las Casas.
Source 1
Indians would give whatever the seller required. . . . Thus they bartered, like idiots, cotton and gold for fragments of bows, glasses, bottles, and jars; which I forbad as being unjust, and myself gave them many beautiful and acceptable articles which I had brought with me, taking nothing from them in return; I did this in order that I might the more easily conciliate them, that they might be led to become Christians, and be inclined to entertain a regard for the King and Queen, our Princes and all Spaniards, and that I might induce them to take an interest in seeking out, and collecting and delivering to us such things as they possessed in abundance, but which we greatly needed.
—Christopher Columbus: letter to Raphael Sanchez, 1493
Source 2
It was upon these gentle lambs . . . that from the very first day they clapped eyes on them the Spanish fell like ravening wolves upon the fold, or like tigers and savage lions who have not eaten meat for days. The pattern established at the outset has remained unchanged to this day, and the Spaniards still do nothing save tear the natives to shreds, murder them and inflict upon them untold misery, suffering and distress, tormenting, harrying and persecuting them mercilessly. We shall in due course describe some of the many ingenious methods of torture they have invented and refined for this purpose, but one can get some idea of the effectiveness of their methods from the figures alone. When the Spanish first journeyed there, the indigenous population of the island of Hispaniola stood at some three million; today only two hundred survive. Their reason for killing and destroying such an infinite number of souls is that the Christians have an ultimate aim, which is to acquire gold, and to swell themselves with riches in a very brief time and thus rise to a high estate disproportionate to their merits.
—Bartholomew de las Casas: A Short Account of the Destruction of the Indies, 1542
Which of the following would best account for the differences between the interactions of the Spaniards and the natives as described in the two accounts?",Columbus was biased in favor of himself in his writings.,Columbus's men were nicer to the natives than were later expeditions.,Columbus was unaware of the atrocities committed by his men.,De las Casas was writing with the benefit of hindsight.,Columbus wanted to portray a positive image of the Spaniards to the King and Queen.,De las Casas was writing in response to Columbus's accounts.,De las Casas was not present during the encounters he described.,De las Casas was exaggerating to support the start of African slavery.,De las Casas wanted the Spanish to leave the Americas.,Columbus and De las Casas had different interpretations of the same events.,A,0,history,ori_mmlu-high_school_european_history,,test,"question: This question refers to the following information.
The pair of excerpts below is written by explorer Christopher Columbus and the Dominican Bishop of Chiapas, Mexico, Bartholomew de las Casas.
Source 1
Indians would give whatever the seller required. . . . Thus they bartered, like idiots, cotton and gold for fragments of bows, glasses, bottles, and jars; which I forbad as being unjust, and myself gave them many beautiful and acceptable articles which I had brought with me, taking nothing from them in return; I did this in order that I might the more easily conciliate them, that they might be led to become Christians, and be inclined to entertain a regard for the King and Queen, our Princes and all Spaniards, and that I might induce them to take an interest in seeking out, and collecting and delivering to us such things as they possessed in abundance, but which we greatly needed.
—Christopher Columbus: letter to Raphael Sanchez, 1493
Source 2
It was upon these gentle lambs . . . that from the very first day they clapped eyes on them the Spanish fell like ravening wolves upon the fold, or like tigers and savage lions who have not eaten meat for days. The pattern established at the outset has remained unchanged to this day, and the Spaniards still do nothing save tear the natives to shreds, murder them and inflict upon them untold misery, suffering and distress, tormenting, harrying and persecuting them mercilessly. We shall in due course describe some of the many ingenious methods of torture they have invented and refined for this purpose, but one can get some idea of the effectiveness of their methods from the figures alone. When the Spanish first journeyed there, the indigenous population of the island of Hispaniola stood at some three million; today only two hundred survive. Their reason for killing and destroying such an infinite number of souls is that the Christians have an ultimate aim, which is to acquire gold, and to swell themselves with riches in a very brief time and thus rise to a high estate disproportionate to their merits.
—Bartholomew de las Casas: A Short Account of the Destruction of the Indies, 1542
Which of the following would best account for the differences between the interactions of the Spaniards and the natives as described in the two accounts?","A)
Which of the following would best explain the differences between the interactions of the Spaniards and the natives as described in the two accounts?

B)
Which of the following would best account for the variations between the encounters of the Spaniards and the natives as depicted in the two accounts?

C)
Which of the following would most effectively explain the distinctions between the interactions of the Spaniards and the natives as portrayed in the two accounts?

D)
Which of the following would best clarify the disparities between the interactions of the Spaniards and the natives as recounted in the two accounts?",Which of the following would best explain the differences between the interactions of the Spaniards and the natives as described in the two accounts?,Which of the following would best account for the variations between the encounters of the Spaniards and the natives as depicted in the two accounts?,Which of the following would most effectively explain the distinctions between the interactions of the Spaniards and the natives as portrayed in the two accounts?,Which of the following would best clarify the disparities between the interactions of the Spaniards and the natives as recounted in the two accounts?
9704,Natural boron is made up of 20 per cent^10B and 80 per cent 11 B. What is the approximate atomic weight of natural boron on the scale of 16 units for ^16o (chemical scale)?,20,11.5,11,9.5,10.2,9.8,11.2,10.5,10,10.8,J,9,physics,stemez-Physics,,test,question: Natural boron is made up of 20 per cent^10B and 80 per cent 11 B. What is the approximate atomic weight of natural boron on the scale of 16 units for ^16o (chemical scale)?,"A)
question: Elemental boron is composed of 20 per cent^10B and 80 per cent 11 B. What is the approximate atomic weight of elemental boron on the scale of 16 units for ^16o (chemical scale)?

B)
question: Native boron consists of 20 per cent^10B and 80 per cent 11 B. What is the approximate atomic weight of native boron on the scale of 16 units for ^16o (chemical scale)?

C)
question: Ordinary boron comprises 20 per cent^10B and 80 per cent 11 B. What is the approximate atomic weight of ordinary boron on the scale of 16 units for ^16o (chemical scale)?

D)
question: Inherent boron is constituted of 20 per cent^10B and 80 per cent 11 B. What is the approximate atomic weight of inherent boron on the scale of 16 units for ^16o (chemical scale)?",question: Elemental boron is composed of 20 per cent^10B and 80 per cent 11 B. What is the approximate atomic weight of elemental boron on the scale of 16 units for ^16o (chemical scale)?,question: Native boron consists of 20 per cent^10B and 80 per cent 11 B. What is the approximate atomic weight of native boron on the scale of 16 units for ^16o (chemical scale)?,question: Ordinary boron comprises 20 per cent^10B and 80 per cent 11 B. What is the approximate atomic weight of ordinary boron on the scale of 16 units for ^16o (chemical scale)?,question: Inherent boron is constituted of 20 per cent^10B and 80 per cent 11 B. What is the approximate atomic weight of inherent boron on the scale of 16 units for ^16o (chemical scale)?
3687,"When 4.90 g of KCLO_3 was heated, it showed a weight loss of 0.384 g. Find the percent of the original KCLO_3 that had decomposed.",50%,20%,30%,40%,25%,10%,7.84%,35%,18%,15%,B,1,chemistry,stemez-Chemistry,,test,"question: When 4.90 g of KCLO_3 was heated, it showed a weight loss of 0.384 g. Find the percent of the original KCLO_3 that had decomposed.","A)
question: When 4.90 g of KCLO_3 was heated, it exhibited a mass loss of 0.384 g. Find the percent of the original KCLO_3 that had decomposed.

B)
question: When 4.90 g of KCLO_3 was heated, it displayed a weight loss of 0.384 g. Find the percent of the original KCLO_3 that had decomposed.

C)
question: When 4.90 g of KCLO_3 was heated, it manifested a weight loss of 0.384 g. Find the percent of the original KCLO_3 that had decomposed.

D)
question: When 4.90 g of KCLO_3 was heated, it underwent a weight loss of 0.384 g. Find the percent of the original KCLO_3 that had decomposed.","question: When 4.90 g of KCLO_3 was heated, it exhibited a mass loss of 0.384 g. Find the percent of the original KCLO_3 that had decomposed.","question: When 4.90 g of KCLO_3 was heated, it displayed a weight loss of 0.384 g. Find the percent of the original KCLO_3 that had decomposed.","question: When 4.90 g of KCLO_3 was heated, it manifested a weight loss of 0.384 g. Find the percent of the original KCLO_3 that had decomposed.","question: When 4.90 g of KCLO_3 was heated, it underwent a weight loss of 0.384 g. Find the percent of the original KCLO_3 that had decomposed."
8145,There are 7 desks arranged in a row in Mr. Thompson’s classroom. Hector sits 2 seats to the right of Kim. Tonya sits 3 seats to the right of Hector. How many seats to the left of Tonya does Kim sit?,6,1,7,2,9,12,8,3,5,4,I,8,math,ori_mmlu-elementary_mathematics,,test,question: There are 7 desks arranged in a row in Mr. Thompson’s classroom. Hector sits 2 seats to the right of Kim. Tonya sits 3 seats to the right of Hector. How many seats to the left of Tonya does Kim sit?,"A)
question: There are 7 desks lined up in a row in Mr. Thompson’s classroom. Hector sits 2 chairs to the right of Kim. Tonya sits 3 chairs to the right of Hector. How many chairs to the left of Tonya does Kim sit?

B)
question: There are 7 tables arranged in a row in Mr. Thompson’s classroom. Hector is seated 2 seats to the right of Kim. Tonya is seated 3 seats to the right of Hector. How many seats to the left of Tonya does Kim sit?

C)
question: There are 7 desks placed in a line in Mr. Thompson’s classroom. Hector sits 2 seats to the right of Kim. Tonya sits 3 seats to the right of Hector. How many seats to the left of Tonya does Kim sit?

D)
question: There are 7 workstations lined in a row in Mr. Thompson’s classroom. Hector sits 2 seats to the right of Kim. Tonya sits 3 seats to the right of Hector. How many seats to the left of Tonya does Kim sit?",question: There are 7 desks lined up in a row in Mr. Thompson’s classroom. Hector sits 2 chairs to the right of Kim. Tonya sits 3 chairs to the right of Hector. How many chairs to the left of Tonya does Kim sit?,question: There are 7 tables arranged in a row in Mr. Thompson’s classroom. Hector is seated 2 seats to the right of Kim. Tonya is seated 3 seats to the right of Hector. How many seats to the left of Tonya does Kim sit?,question: There are 7 desks placed in a line in Mr. Thompson’s classroom. Hector sits 2 seats to the right of Kim. Tonya sits 3 seats to the right of Hector. How many seats to the left of Tonya does Kim sit?,question: There are 7 workstations lined in a row in Mr. Thompson’s classroom. Hector sits 2 seats to the right of Kim. Tonya sits 3 seats to the right of Hector. How many seats to the left of Tonya does Kim sit?
11628,"A box contains 7 red, 5 white, and 4 black balls. What is the probability of your drawing at random one red ball? One black ball?","P(R) = 2/3, P(B) = 1/3","P(R) = 5/14, P(B) = 4/14","P(R) = 1/2, P(B) = 1/4","P(R) = 7/15, P(B) = 4/15","P(R) = 7/16, P(B) = 1/4","P(R) = 5/16, P(B) = 1/4","P(R) = 1/3, P(B) = 1/4","P(R) = 1/4, P(B) = 1/5","P(R) = 7/16, P(B) = 1/2",,E,4,engineering,stemez-ElectronicCommunications,,test,"question: A box contains 7 red, 5 white, and 4 black balls. What is the probability of your drawing at random one red ball? One black ball?","A)
question: A box holds 7 scarlet, 5 alabaster, and 4 ebony balls. What is the probability of your choosing at random one scarlet ball? One ebony ball?

B)
question: A box comprises 7 crimson, 5 ivory, and 4 jet balls. What is the probability of your drawing at random one crimson ball? One jet ball?

C)
question: A box includes 7 ruby, 5 pearly, and 4 sable balls. What is the probability of your drawing at random one ruby ball? One sable ball?

D)
question: A box encloses 7 vermilion, 5 ivory, and 4 onyx balls. What is the probability of your drawing at random one vermilion ball? One onyx ball?","question: A box holds 7 scarlet, 5 alabaster, and 4 ebony balls. What is the probability of your choosing at random one scarlet ball? One ebony ball?","question: A box comprises 7 crimson, 5 ivory, and 4 jet balls. What is the probability of your drawing at random one crimson ball? One jet ball?","question: A box includes 7 ruby, 5 pearly, and 4 sable balls. What is the probability of your drawing at random one ruby ball? One sable ball?","question: A box encloses 7 vermilion, 5 ivory, and 4 onyx balls. What is the probability of your drawing at random one vermilion ball? One onyx ball?"
4339,Which is correct about the calcium atom?,It contains 20 protons and neutrons,All atoms of calcium have 20 protons and 40 neutrons,"It contains 20 protons, neutrons, and electrons","All calcium atoms have 20 protons, neutrons, and electrons",All atoms of calcium have a mass of 40.078 u,It contains 40 protons and 40 electrons,All calcium atoms have a mass of 20.078 u,It contains 20 protons and 20 electrons,It contains 20 neutrons and 20 electrons,It contains 40 protons and 20 electrons,H,7,chemistry,ori_mmlu-high_school_chemistry,,test,question: Which is correct about the calcium atom?,"A)
question: Which statement is true regarding the calcium atom?

B)
question: Which assertion is accurate concerning the calcium atom?

C)
question: Which choice is right about the calcium atom?

D)
question: Which claim is valid with respect to the calcium atom?",question: Which statement is true regarding the calcium atom?,question: Which assertion is accurate concerning the calcium atom?,question: Which choice is right about the calcium atom?,question: Which claim is valid with respect to the calcium atom?
7821,"Marshall wants to finish typing his English paper before class starts. If he still has 550 words left to type and class starts in 25 minutes, at least how fast must Marshall type to finish his paper on time?",27 words per minute,20 words per minute,22 words per minute,26 words per minute,30 words per minute,25 words per minute,23 words per minute,28 words per minute,24 words per minute,21 words per minute,C,2,math,ori_mmlu-elementary_mathematics,,test,"question: Marshall wants to finish typing his English paper before class starts. If he still has 550 words left to type and class starts in 25 minutes, at least how fast must Marshall type to finish his paper on time?","A)
question: Marshall wishes to complete typing his English paper before class begins. If he still has 550 words remaining to type and class begins in 25 minutes, at least how fast must Marshall type to complete his paper on time?

B)
question: Marshall wants to finish typing his English paper before class begins. If he still has 550 words left to type and class starts in 25 minutes, at minimum how fast must Marshall type to finish his paper on time?

C)
question: Marshall wants to finish typing his English paper before class starts. If he still has 550 words left to type and class starts in 25 minutes, at least how quickly must Marshall type to finish his paper on time?

D)
question: Marshall wishes to finish typing his English paper before class starts. If he still has 550 words remaining to type and class begins in 25 minutes, at least how fast must Marshall type to finish his paper on time?","question: Marshall wishes to complete typing his English paper before class begins. If he still has 550 words remaining to type and class begins in 25 minutes, at least how fast must Marshall type to complete his paper on time?","question: Marshall wants to finish typing his English paper before class begins. If he still has 550 words left to type and class starts in 25 minutes, at minimum how fast must Marshall type to finish his paper on time?","question: Marshall wants to finish typing his English paper before class starts. If he still has 550 words left to type and class starts in 25 minutes, at least how quickly must Marshall type to finish his paper on time?","question: Marshall wishes to finish typing his English paper before class starts. If he still has 550 words remaining to type and class begins in 25 minutes, at least how fast must Marshall type to finish his paper on time?"
8169,"When $(x\sqrt{x^3})^4$ is simplified, what is the exponent of $x$?",20,12,5,4,16,8,2,14,10,6,I,8,math,ori_mmlu-high_school_mathematics,,test,"question: When $(x\sqrt{x^3})^4$ is simplified, what is the exponent of $x$?","A)
question: If $(x\sqrt{x^3})^4$ is simplified, what is the exponent of $x$?

B)
question: Once $(x\sqrt{x^3})^4$ is reduced, what is the exponent of $x$?

C)
question: After $(x\sqrt{x^3})^4$ is simplified, what is the power of $x$?

D)
question: If $(x\sqrt{x^3})^4$ is written in simplest form, what is the exponent of $x$?","question: If $(x\sqrt{x^3})^4$ is simplified, what is the exponent of $x$?","question: Once $(x\sqrt{x^3})^4$ is reduced, what is the exponent of $x$?","question: After $(x\sqrt{x^3})^4$ is simplified, what is the power of $x$?","question: If $(x\sqrt{x^3})^4$ is written in simplest form, what is the exponent of $x$?"
