id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split,instance,generated_options,option_a,option_b,option_c,option_d
12349,professional_medicine,Медицина,"31-летняя женщина, гравида 3, пункт 2, на сроке беременности 32 недели, госпитализирована в больницу из-за прогрессирующей одышки и свистящего дыхания в течение 1 недели в анамнезе. Она говорит, что ее сердце ""бешено колотится"", и она откашливает небольшое количество мокроты с примесью крови. История болезни имеет значение для гипотиреоза, от которого она принимает левотироксин. Вводится внутривенный катетер. Жизненно важными показателями являются температура 36,9°C (98,4°F), пульс 132 в минуту, частота дыхания 32 в минуту и кровяное давление 135/78 мм рт.ст. Пульсоксиметрия на 100% кислороде через назальную канюлю показывает насыщение кислородом на 92%. При аускультации легких выявляются сниженные звуки дыхания у основания с двусторонними хрипами при выдохе. Исследование сердца выявляет нерегулярный ритм, нечеткую точку максимального импульса и громкий S1. На верхушке слышен низкий диастолический рокочущий шум 3/6 степени; ему предшествует отчетливый щелкающий звук. Частота сердечных сокращений плода составляет 144 в минуту. Что из перечисленного является наиболее вероятной причиной результатов у этого пациента?","Хроническая митральная регургитация, вторичная по отношению к ревматической болезни сердца",Коарктация аорты,Врожденный стеноз аорты,"Митральный стеноз, осложненный фибрилляцией предсердий",D,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"31-летняя женщина, гравида 3, пункт 2, на сроке беременности 32 недели, госпитализирована в больницу из-за прогрессирующей одышки и свистящего дыхания в течение 1 недели в анамнезе. Она говорит, что ее сердце ""бешено колотится"", и она откашливает небольшое количество мокроты с примесью крови. История болезни имеет значение для гипотиреоза, от которого она принимает левотироксин. Вводится внутривенный катетер. Жизненно важными показателями являются температура 36,9°C (98,4°F), пульс 132 в минуту, частота дыхания 32 в минуту и кровяное давление 135/78 мм рт.ст. Пульсоксиметрия на 100% кислороде через назальную канюлю показывает насыщение кислородом на 92%. При аускультации легких выявляются сниженные звуки дыхания у основания с двусторонними хрипами при выдохе. Исследование сердца выявляет нерегулярный ритм, нечеткую точку максимального импульса и громкий S1. На верхушке слышен низкий диастолический рокочущий шум 3/6 степени; ему предшествует отчетливый щелкающий звук. Частота сердечных сокращений плода составляет 144 в минуту. Что из перечисленного является наиболее вероятной причиной результатов у этого пациента?","A)
31-летняя пациентка, беременность 3, роды 2, на периоде гестации 32 недели, помещена в стационар вследствие нарастающей диспноэ и свистящих хрипов на протяжении 1 недели в анамнезе. Она сообщает, что её сердце ""сильно бьется"", и она отхаркивает малый объем слизи с прожилками крови. Анамнез жизни значим по гипотиреозу, по поводу которого она употребляет левотироксин. Устанавливается венозный доступ. Физиологическими параметрами выступают температура 36,9°C (98,4°F), ЧСС 132 в минуту, ЧДД 32 в минуту и артериальное давление 135/78 мм рт.ст. Оксиметрия на 100% кислороде через носовые трубки демонстрирует сатурацию кислородом на уровне 92%. При выслушивании легких обнаруживаются ослабленные дыхательные шумы в нижних отделах с билатеральными хрипами на выдохе. Обследование сердца показывает аритмичный ритм, неясную точку верхушечного толчка и усиленный S1. В области верхушки улавливается глухой диастолический прецентирующий шум 3/6 интенсивности; ему предшествует явный щелчок. Ритм сердца плода равен 144 в минуту. Что из указанного выступает наиболее возможным этиологическим фактором находок у данного субъекта?

B)
31-летняя особа, гравида 3, пара 2, на сроке вынашивания 32 недели, доставлена в клинику по причине усиливающейся нехватки воздуха и сухих хрипов в течение 7 дней в анамнезе. Она отмечает, что её сердце ""учащенно пульсирует"", и она выделяет скудное количество экссудата с элементами крови. Медицинская история примечательна гипотиреозом, при котором она использует левотироксин. Вводится периферический катетер. Жизненные показатели составляют: температура 36,9°C (98,4°F), частота пульса 132 в минуту, частота дыхательных движений 32 в минуту и АД 135/78 мм рт.ст. Пульсоксиметрия при подаче 100% кислорода через канюли выявляет концентрацию кислорода 92%. При перкуссии и аускультации легких отмечаются приглушенные звуки дыхания в базальных сегментах с двухсторонними хрипами во время выдоха. Кардиологический осмотр выявляет неритмичный пульс, диффузную точку максимального импульса и звучный S1. На верхушке определяется низкочастотный диастолический гудящий шум 3/6 градации; перед ним слышен выраженный звук открытия. Сердцебиение плода составляет 144 в минуту. Какое из следующих состояний является наиболее ожидаемой основой симптомов у этой больной?

C)
31-летняя женщина, беременная в 3-й раз, имеющая 2 детей, на 32-й неделе срока, госпитализирована в медцентр ввиду прогрессирующего удушья и стридора в продолжение 1 недели в анамнезе. Она заявляет, что её сердце ""трепещет"", и она откашливает незначительную долю мокроты с примесью крови. История заболеваний включает гипотиреоз, для терапии которого она получает левотироксин. Поставлен внутривенный катетер. Витальными признаками являются температура 36,9°C (98,4°F), пульс 132 удара, частота дыхания 32 в минуту и кровяное давление 135/78 мм рт.ст. Мониторинг на 100% кислороде через назальную систему отражает насыщение кислородом 92%. При прослушивании легких определяются ослабленные везикулярные шумы у оснований с симметричными хрипами на выдохе. Анализ сердца выявляет хаотичный ритм, нечеткую локализацию верхушечного импульса и акцентированный S1. На верхушке выслушивается низкий диастолический рокочущий шум 3/6 балла; ему предшествует отчетливый тон открытия. Частота сокращений сердца плода — 144 в минуту. Что из нижеперечисленного служит наиболее вероятным объяснением клинической картины у этой пациентки?

D)
Тридцатиоднолетняя женщина, гравида 3, паритет 2, при сроке гестации 32 недели, определена в госпиталь в связи с нарастающей одышкой и свистами в груди на протяжении 1 недели в анамнезе. Она жалуется, что её сердце ""выпрыгивает из груди"", и она отхаркивает малую порцию секрета с кровянистыми прожилками. Прошлые заболевания включают гипотиреоидное состояние, лечимое приемом левотироксина. Установлен венозный порт. Объективные данные: температура 36,9°C (98,4°F), сердцебиение 132 в минуту, дыхание 32 в минуту и давление 135/78 мм рт.ст. Сатурация на фоне 100% оксигенотерапии через канюли составляет 92%. Аускультация легких выявляет снижение дыхания в нижних долях с двусторонними экспираторными хрипами. Обследование сердечно-сосудистой системы показывает нерегулярность ритма, расплывчатый верхушечный толчок и хлопающий S1. В области верхушки фиксируется низкий диастолический шум 3/6; перед ним следует четкий щелчок открытия клапана. ЧСС плода достигает 144 в минуту. Какое из приведенных утверждений является наиболее вероятным поводом для физикальных данных у данного лица?","31-летняя пациентка, беременность 3, роды 2, на периоде гестации 32 недели, помещена в стационар вследствие нарастающей диспноэ и свистящих хрипов на протяжении 1 недели в анамнезе. Она сообщает, что её сердце ""сильно бьется"", и она отхаркивает малый объем слизи с прожилками крови. Анамнез жизни значим по гипотиреозу, по поводу которого она употребляет левотироксин. Устанавливается венозный доступ. Физиологическими параметрами выступают температура 36,9°C (98,4°F), ЧСС 132 в минуту, ЧДД 32 в минуту и артериальное давление 135/78 мм рт.ст. Оксиметрия на 100% кислороде через носовые трубки демонстрирует сатурацию кислородом на уровне 92%. При выслушивании легких обнаруживаются ослабленные дыхательные шумы в нижних отделах с билатеральными хрипами на выдохе. Обследование сердца показывает аритмичный ритм, неясную точку верхушечного толчка и усиленный S1. В области верхушки улавливается глухой диастолический прецентирующий шум 3/6 интенсивности; ему предшествует явный щелчок. Ритм сердца плода равен 144 в минуту. Что из указанного выступает наиболее возможным этиологическим фактором находок у данного субъекта?","31-летняя особа, гравида 3, пара 2, на сроке вынашивания 32 недели, доставлена в клинику по причине усиливающейся нехватки воздуха и сухих хрипов в течение 7 дней в анамнезе. Она отмечает, что её сердце ""учащенно пульсирует"", и она выделяет скудное количество экссудата с элементами крови. Медицинская история примечательна гипотиреозом, при котором она использует левотироксин. Вводится периферический катетер. Жизненные показатели составляют: температура 36,9°C (98,4°F), частота пульса 132 в минуту, частота дыхательных движений 32 в минуту и АД 135/78 мм рт.ст. Пульсоксиметрия при подаче 100% кислорода через канюли выявляет концентрацию кислорода 92%. При перкуссии и аускультации легких отмечаются приглушенные звуки дыхания в базальных сегментах с двухсторонними хрипами во время выдоха. Кардиологический осмотр выявляет неритмичный пульс, диффузную точку максимального импульса и звучный S1. На верхушке определяется низкочастотный диастолический гудящий шум 3/6 градации; перед ним слышен выраженный звук открытия. Сердцебиение плода составляет 144 в минуту. Какое из следующих состояний является наиболее ожидаемой основой симптомов у этой больной?","31-летняя женщина, беременная в 3-й раз, имеющая 2 детей, на 32-й неделе срока, госпитализирована в медцентр ввиду прогрессирующего удушья и стридора в продолжение 1 недели в анамнезе. Она заявляет, что её сердце ""трепещет"", и она откашливает незначительную долю мокроты с примесью крови. История заболеваний включает гипотиреоз, для терапии которого она получает левотироксин. Поставлен внутривенный катетер. Витальными признаками являются температура 36,9°C (98,4°F), пульс 132 удара, частота дыхания 32 в минуту и кровяное давление 135/78 мм рт.ст. Мониторинг на 100% кислороде через назальную систему отражает насыщение кислородом 92%. При прослушивании легких определяются ослабленные везикулярные шумы у оснований с симметричными хрипами на выдохе. Анализ сердца выявляет хаотичный ритм, нечеткую локализацию верхушечного импульса и акцентированный S1. На верхушке выслушивается низкий диастолический рокочущий шум 3/6 балла; ему предшествует отчетливый тон открытия. Частота сокращений сердца плода — 144 в минуту. Что из нижеперечисленного служит наиболее вероятным объяснением клинической картины у этой пациентки?","Тридцатиоднолетняя женщина, гравида 3, паритет 2, при сроке гестации 32 недели, определена в госпиталь в связи с нарастающей одышкой и свистами в груди на протяжении 1 недели в анамнезе. Она жалуется, что её сердце ""выпрыгивает из груди"", и она отхаркивает малую порцию секрета с кровянистыми прожилками. Прошлые заболевания включают гипотиреоидное состояние, лечимое приемом левотироксина. Установлен венозный порт. Объективные данные: температура 36,9°C (98,4°F), сердцебиение 132 в минуту, дыхание 32 в минуту и давление 135/78 мм рт.ст. Сатурация на фоне 100% оксигенотерапии через канюли составляет 92%. Аускультация легких выявляет снижение дыхания в нижних долях с двусторонними экспираторными хрипами. Обследование сердечно-сосудистой системы показывает нерегулярность ритма, расплывчатый верхушечный толчок и хлопающий S1. В области верхушки фиксируется низкий диастолический шум 3/6; перед ним следует четкий щелчок открытия клапана. ЧСС плода достигает 144 в минуту. Какое из приведенных утверждений является наиболее вероятным поводом для физикальных данных у данного лица?"
5154,high_school_psychology,Общество,"Метод локусов - это метод запоминания, в котором используется какое из следующих средств?",Семантическое кодирование,Визуальные образы,Слуховые сигналы,Эхолокационная память,B,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test,"Метод локусов - это метод запоминания, в котором используется какое из следующих средств?","A)
Способ локусов - это техника усвоения, в которой применяется какой из нижеперечисленных инструментов?

B)
Прием локусов - это стратегия сохранения, в которой задействован какой из приведенных механизмов?

C)
Система локусов - это алгоритм запечатления, в которой употребляется какой из указанных ресурсов?

D)
Подход локусов - это практика фиксации, в которой эксплуатируется какой из данных аппаратов?","Способ локусов - это техника усвоения, в которой применяется какой из нижеперечисленных инструментов?","Прием локусов - это стратегия сохранения, в которой задействован какой из приведенных механизмов?","Система локусов - это алгоритм запечатления, в которой употребляется какой из указанных ресурсов?","Подход локусов - это практика фиксации, в которой эксплуатируется какой из данных аппаратов?"
6937,management,Бизнес,"Что из нижеперечисленного не входит в число пяти основных принципов менеджмента, сформулированных Друкером?","Делать сильные стороны людей эффективными, а их слабости - несущественными.",Повышение способности людей вносить свой вклад.,Управление системой статуса организации.,"Интеграция людей в общее дело путем продумывания, определения и приведения в пример организационных задач, ценностей и целей.",C,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,"Что из нижеперечисленного не входит в число пяти основных принципов менеджмента, сформулированных Друкером?","A)
Что из указанного ниже не является частью пяти базовых постулатов управления, предложенных Друкером?

B)
Что из следующего списка не относится к пяти ключевым правилам администрирования, изложенным Друкером?

C)
Что из приведенного далее не числится в пяти главных концепциях руководства, разработанных Друкером?

D)
Что из упомянутого ниже не включено в пять фундаментальных основ менеджмента, определенных Друкером?","Что из указанного ниже не является частью пяти базовых постулатов управления, предложенных Друкером?","Что из следующего списка не относится к пяти ключевым правилам администрирования, изложенным Друкером?","Что из приведенного далее не числится в пяти главных концепциях руководства, разработанных Друкером?","Что из упомянутого ниже не включено в пять фундаментальных основ менеджмента, определенных Друкером?"
265,sociology,Общество,Что из перечисленного Послевоенное государство благосостояния Великобритании 1948 года не стремилось обеспечить?,бесплатное здравоохранение и образование для всех,минимальная заработная плата,полная занятость,всеобщее благосостояние,B,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",train,Что из перечисленного Послевоенное государство благосостояния Великобритании 1948 года не стремилось обеспечить?,"A)
Что из указанного Послевоенное государство всеобщего благоденствия Великобритании 1948 года не пыталось гарантировать?

B)
Что из названного Послевоенная держава социального обеспечения Британии 1948 года не планировала предоставлять?

C)
Что из упомянутого Социальное государство Великобритании послевоенного периода 1948 года не ставило целью реализовать?

D)
Что из приведённого Британская система государственного благосостояния 1948 года после войны не намеревалась организовать?",Что из указанного Послевоенное государство всеобщего благоденствия Великобритании 1948 года не пыталось гарантировать?,Что из названного Послевоенная держава социального обеспечения Британии 1948 года не планировала предоставлять?,Что из упомянутого Социальное государство Великобритании послевоенного периода 1948 года не ставило целью реализовать?,Что из приведённого Британская система государственного благосостояния 1948 года после войны не намеревалась организовать?
9587,nutrition,Медицина,"Критический уровень pH, ниже которого происходит деминерализация зубной эмали, обычно составляет около:",6,"5,7","5,5",5,C,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,"Критический уровень pH, ниже которого происходит деминерализация зубной эмали, обычно составляет около:","A)
Решающий показатель pH, под которым случается деминерализация зубной эмали, зачастую равняется примерно:

B)
Пороговое значение pH, меньше которого начинается растворение эмали зубов, как правило, достигает порядка:

C)
Предельная величина pH, ниже которой протекает деминерализация зубной поверхности, нередко составляет вблизи:

D)
Опасная отметка pH, при которой стартует разрушение минералов эмали, обыкновенно находится около:","Решающий показатель pH, под которым случается деминерализация зубной эмали, зачастую равняется примерно:","Пороговое значение pH, меньше которого начинается растворение эмали зубов, как правило, достигает порядка:","Предельная величина pH, ниже которой протекает деминерализация зубной поверхности, нередко составляет вблизи:","Опасная отметка pH, при которой стартует разрушение минералов эмали, обыкновенно находится около:"
2799,high_school_biology,Биология,"Во время учебного занятия по эволюции один из ваших сокурсников замечает: ""Жираф вытянул шею, когда тянулся к более высоким листьям; в результате его потомство унаследовало более длинные шеи"". Какое утверждение, скорее всего, будет полезно для исправления неправильного представления этого студента?","Характеристики, приобретенные в течение жизни организма, как правило, не передаются через гены.",Спонтанные мутации могут привести к появлению новых признаков.,Только благоприятные адаптации имеют ценность для выживания.,Неиспользование органа может привести к его окончательному исчезновению.,A,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Во время учебного занятия по эволюции один из ваших сокурсников замечает: ""Жираф вытянул шею, когда тянулся к более высоким листьям; в результате его потомство унаследовало более длинные шеи"". Какое утверждение, скорее всего, будет полезно для исправления неправильного представления этого студента?","A)
В ходе академического урока по антропогенезу некто из ваших однокурсников отмечает: ""Жираф вытянул загривок, когда дотягивался к более возвышенным ветвям; вследствие чего его приплод перенял более вытянутые шеи"". Какое высказывание, вероятнее всего, окажется ценным для устранения ошибочного суждения этого учащегося?

B)
На протяжении лекционного часа по биологии один из ваших товарищей заявляет: ""Жираф растянул шею, пока тянулся к крайне высоким кронам; по этой причине его наследники получили более длинные шеи"". Какая фраза, скорее всего, послужит эффективным средством для корректировки неверного понимания этого юноши?

C)
В момент классного занятия по филогенезу приятель из вашей группы комментирует: ""Жираф удлинил шею, стараясь достать до самых верхних листьев; итогом стало то, что его потомки унаследовали более длинные шеи"". Какое суждение, по всей видимости, будет уместным для исправления ложного представления данного студента?

D)
В процессе учебной встречи по естествознанию коллега из вашего потока произносит: ""Жираф вытянул шею, пытаясь дотянуться до весьма высоких побегов; в итоге его детище унаследовало более длинные шеи"". Какой тезис, наиболее вероятно, станет полезным для ликвидации заблуждения этого молодого человека?","В ходе академического урока по антропогенезу некто из ваших однокурсников отмечает: ""Жираф вытянул загривок, когда дотягивался к более возвышенным ветвям; вследствие чего его приплод перенял более вытянутые шеи"". Какое высказывание, вероятнее всего, окажется ценным для устранения ошибочного суждения этого учащегося?","На протяжении лекционного часа по биологии один из ваших товарищей заявляет: ""Жираф растянул шею, пока тянулся к крайне высоким кронам; по этой причине его наследники получили более длинные шеи"". Какая фраза, скорее всего, послужит эффективным средством для корректировки неверного понимания этого юноши?","В момент классного занятия по филогенезу приятель из вашей группы комментирует: ""Жираф удлинил шею, стараясь достать до самых верхних листьев; итогом стало то, что его потомки унаследовали более длинные шеи"". Какое суждение, по всей видимости, будет уместным для исправления ложного представления данного студента?","В процессе учебной встречи по естествознанию коллега из вашего потока произносит: ""Жираф вытянул шею, пытаясь дотянуться до весьма высоких побегов; в итоге его детище унаследовало более длинные шеи"". Какой тезис, наиболее вероятно, станет полезным для ликвидации заблуждения этого молодого человека?"
6221,human_aging,Медицина,"Фаза выхода на пенсию, которая встречается реже всего, - это фаза ____",разочарования,медового месяца,пенсионных будней,предпенсионного возраста,A,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Фаза выхода на пенсию, которая встречается реже всего, - это фаза ____","A)
Стадия ухода на заслуженный отдых, которая наблюдается реже всего, - это стадия ____

B)
Этап прекращения трудовой деятельности, который попадается реже всего, - это этап ____

C)
Период окончания рабочей карьеры, который обнаруживается реже всего, - это период ____

D)
Ступень завершения профессионального пути, которая фиксируется реже всего, - это ступень ____","Стадия ухода на заслуженный отдых, которая наблюдается реже всего, - это стадия ____","Этап прекращения трудовой деятельности, который попадается реже всего, - это этап ____","Период окончания рабочей карьеры, который обнаруживается реже всего, - это период ____","Ступень завершения профессионального пути, которая фиксируется реже всего, - это ступень ____"
4134,high_school_macroeconomics,Экономика,"Засухи, технические неполадки и ограничения на использование ресурсов - все это может привести к",вертикальной кривой Филлипса,кризисам предложения,структурным шокам,"инфляции, стимулирующей спрос",B,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test,"Засухи, технические неполадки и ограничения на использование ресурсов - все это может привести к","A)
Безводье, аппаратные сбои и лимиты на эксплуатацию запасов - все это способно повлечь за собой

B)
Засушливые периоды, системные поломки и запреты на потребление активов - все это гораздо вызвать

C)
Дефицит осадков, механические дефекты и барьеры на применение возможностей - все это вправе спровоцировать

D)
Отсутствие дождей, инженерные неисправности и препоны на распределение фондов - все это может обусловить","Безводье, аппаратные сбои и лимиты на эксплуатацию запасов - все это способно повлечь за собой","Засушливые периоды, системные поломки и запреты на потребление активов - все это гораздо вызвать","Дефицит осадков, механические дефекты и барьеры на применение возможностей - все это вправе спровоцировать","Отсутствие дождей, инженерные неисправности и препоны на распределение фондов - все это может обусловить"
12906,professional_psychology,Общество,"Инвентаризации профессиональных интересов, как правило, не рекомендуются, как",вспомогательные средства в принятии решений,средства выбора работы,вспомогательные средства по самопознанию,источники профессиональной информации,B,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Инвентаризации профессиональных интересов, как правило, не рекомендуются, как","A)
Описи трудовых предпочтений, обычно, не советуются, как

B)
Каталоги рабочих увлечений, зачастую, не предлагаются, как

C)
Перечни карьерных склонностей, в основном, не одобряются, как

D)
Реестры должностных пристрастий, традиционно, не поощряются, как","Описи трудовых предпочтений, обычно, не советуются, как","Каталоги рабочих увлечений, зачастую, не предлагаются, как","Перечни карьерных склонностей, в основном, не одобряются, как","Реестры должностных пристрастий, традиционно, не поощряются, как"
190,anatomy,Биология,Возвышение небной полки обусловлено эффектом,опускание языка.,изменения в изгибе развивающегося мозга.,"гидрофильные молекулы, повышающие тургор в небных полочках.",комбинация этих трех процессов.,D,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test,Возвышение небной полки обусловлено эффектом,"A)
Поднятие палатинального отростка вызвано воздействием

B)
Подъем небного выступа продиктован явлением

C)
Рост небной пластинки детерминирован процессом

D)
Элевация небного свода спровоцирована фактором",Поднятие палатинального отростка вызвано воздействием,Подъем небного выступа продиктован явлением,Рост небной пластинки детерминирован процессом,Элевация небного свода спровоцирована фактором
