question,тақырып,таңдаулар,жауап,sheet,instance,generated_options,option_a,option_b,option_c,option_d
" Үш апта бұрын 45 жастағы ер адам екі аяғының үсігіне байланысты ауруханаға жатқызылды. Оған тез жылыту және аяқты қорғау шаралары қолданылды. Оң аяғының барлық саусақтары қарайып кетті. Соңғы бірнеше күнде оның дене қызуы көтеріліп, санасы біртіндеп шатасып кетті. Тексеру кезінде табанның ортасында целлюлит анықталды. Төмендегі емдеу әдістерінің қайсысы ең қолайлы?", кәсіби_медицина,['Ампутация' 'Жергілікті коллагеназаны қолдану' 'Саусақтар үстіндегі некрозға ұшыраған терінің тазартылуы' 'Гипербариялық оттегі'],0,Sheet1,"question:  Үш апта бұрын 45 жастағы ер адам екі аяғының үсігіне байланысты ауруханаға жатқызылды. Оған тез жылыту және аяқты қорғау шаралары қолданылды. Оң аяғының барлық саусақтары қарайып кетті. Соңғы бірнеше күнде оның дене қызуы көтеріліп, санасы біртіндеп шатасып кетті. Тексеру кезінде табанның ортасында целлюлит анықталды. Төмендегі емдеу әдістерінің қайсысы ең қолайлы?","A)
question:  Үш апта бұрын 45 жастағы еркек екі аяғының мұздануына байланысты ауруханаға қабылданды. Оған жедел қыздыру және аяқтарды қорғау шаралары қолданылды. Оң аяғындағы барлық саусақтар қарайып қалды. Соңғы бірнеше күнде оның дене қызуы көтеріліп, санасы біртіндеп шатасып кетті. Тексеру кезінде табанның ортасында целлюлит анықталды. Төмендегі емдеу әдістерінің қайсысы ең қолайлы?

B)
question:  Үш аптадан бұрын 45 жастағы ер адам екі аяқтың үсуіне байланысты стационарға жатқызылды. Оған тез жылыту және аяқты қорғау шаралары қолданылды. Оң аяғының барлық саусақтары қараюға ұшырады. Соңғы бірнеше күнде оның дене температурасы көтеріліп, сана-сезімі біртіндеп бұзылды. Қарау кезінде табанның ортасында целлюлит анықталды. Төмендегі емдеу әдістерінің қайсысы ең қолайлы?

C)
question:  Үш апта бұрын 45 жастағы ер адам екі аяғының үсігі салдарынан ауруханаға жатқызылды. Оған шұғыл қыздыру және аяқты қорғау шаралары қолданылды. Оң аяғының барлық саусақтары қарайып кетті. Соңғы бірнеше күнде оның дене қызуы жоғарлап, санасы біртіндеп шатасты. Тексеру кезінде табанның ортасында целлюлит табылды. Төмендегі емдеу әдістерінің қайсысы ең тиімді?

D)
question:  Үш апта бұрын 45 жастағы адам екі аяғының мұздап қалуына байланысты ауруханаға қабылданды. Оған жедел жылыту және аяқты қорғау шаралары жасалды. Оң аяқ саусақтарының барлығы қарайып кетті. Соңғы бірнеше күнде дене қызуы көтеріліп, санасы біртіндеп шатасып кетті. Тексеру кезінде табанның ортасында целлюлит анықталды. Төмендегі емдеу әдістерінің қайсысы ең қолайлы?","question:  Үш апта бұрын 45 жастағы еркек екі аяғының мұздануына байланысты ауруханаға қабылданды. Оған жедел қыздыру және аяқтарды қорғау шаралары қолданылды. Оң аяғындағы барлық саусақтар қарайып қалды. Соңғы бірнеше күнде оның дене қызуы көтеріліп, санасы біртіндеп шатасып кетті. Тексеру кезінде табанның ортасында целлюлит анықталды. Төмендегі емдеу әдістерінің қайсысы ең қолайлы?","question:  Үш аптадан бұрын 45 жастағы ер адам екі аяқтың үсуіне байланысты стационарға жатқызылды. Оған тез жылыту және аяқты қорғау шаралары қолданылды. Оң аяғының барлық саусақтары қараюға ұшырады. Соңғы бірнеше күнде оның дене температурасы көтеріліп, сана-сезімі біртіндеп бұзылды. Қарау кезінде табанның ортасында целлюлит анықталды. Төмендегі емдеу әдістерінің қайсысы ең қолайлы?","question:  Үш апта бұрын 45 жастағы ер адам екі аяғының үсігі салдарынан ауруханаға жатқызылды. Оған шұғыл қыздыру және аяқты қорғау шаралары қолданылды. Оң аяғының барлық саусақтары қарайып кетті. Соңғы бірнеше күнде оның дене қызуы жоғарлап, санасы біртіндеп шатасты. Тексеру кезінде табанның ортасында целлюлит табылды. Төмендегі емдеу әдістерінің қайсысы ең тиімді?","question:  Үш апта бұрын 45 жастағы адам екі аяғының мұздап қалуына байланысты ауруханаға қабылданды. Оған жедел жылыту және аяқты қорғау шаралары жасалды. Оң аяқ саусақтарының барлығы қарайып кетті. Соңғы бірнеше күнде дене қызуы көтеріліп, санасы біртіндеп шатасып кетті. Тексеру кезінде табанның ортасында целлюлит анықталды. Төмендегі емдеу әдістерінің қайсысы ең қолайлы?"
" Рецептсіз сатылатын ниацин де, рецепт бойынша берілетін Липитор препараты да қандағы холестерин деңгейін төмендететіні белгілі. Бір қос соқыр зерттеуде Липитор ниациннен асып түсті. Орташа холестерин деңгейінің төмендеуіндегі айырмашылықтың 95% сенімділік аралығын бағалау (18, 41) болды. Төмендегілердің қайсысы ақылға қонымды қорытынды болып табылады?", орта мектеп статистикасы,"['Ниацин холестеринді орта есеппен 18 ұпайға төмендетеді, ал Липитор холестеринді орта есеппен 41 ұпайға төмендетеді.' 'Кез келген адамның холестерин деңгейін төмендетуде Липитордың ниациннен асып түсу ықтималдығы 0,95.' 'Кез келген адамның холестерин деңгейін төмендетуде Липитордың ниациннен кем дегенде 23 ұпайға асып түсу ықтималдығы 0,95.' 'Жоғарыда айтылғандардың ешқайсысы емес.']",3,Sheet1,"question:  Рецептсіз сатылатын ниацин де, рецепт бойынша берілетін Липитор препараты да қандағы холестерин деңгейін төмендететіні белгілі. Бір қос соқыр зерттеуде Липитор ниациннен асып түсті. Орташа холестерин деңгейінің төмендеуіндегі айырмашылықтың 95% сенімділік аралығын бағалау (18, 41) болды. Төмендегілердің қайсысы ақылға қонымды қорытынды болып табылады?","A)
question:  Рецептсіз берілетін ниацин де, дәрігердің рецепті бойынша берілетін Липитор препараты да қандағы холестерин деңгейін төмендететіні белгілі. Бір қос соқыр зерттеуде Липитор ниациннен асып түсті. Орташа холестерин деңгейінің төмендеуіндегі айырмашылықтың 95% сенімділік аралығын бағалау (18, 41) болды. Төмендегілердің қайсысы ақылға қонымды қорытынды болып табылады?

B)
question:  Рецептсіз сатылатын ниацин де, дәрігер тағайындайтын Липитор препараты да қанындағы холестерин мөлшерін азайтатыны белгілі. Бір қос соқыр клиникалық сынақта Липитор ниацинге қарағанда артық болды. Орташа холестерин деңгейінің төмендеуіндегі айырмашылықтың 95% сенімділік интервалы (18, 41) деп бағаланды. Төмендегілердің қайсысы ақылға қонымды қорытынды саналады?

C)
question:  Рецептсіз сатылатын ниацин де, рецепт бойынша рәсімделетін Липитор да қандағы холестерин көрсеткішін төмендететіні мәлім. Бір қос соқыр зерттеуде Липитор ниациннен жоғары нәтиже көрсетті. Орташа холестерин деңгейінің төмендеуіндегі айырмашылықтың 95% сенімділік аралығы (18, 41) болды. Төмендегілердің қайсысы логикалық қорытынды болып табылады?

D)
question:  Рецептсіз берілетін ниацин де, рецептімен берілетін Липитор препараты да қан холестеринін төмендететіні белгілі. Бір қос соқыр зерттеуде Липитор ниациннен басым шықты. Орташа холестерин деңгейінің төмендеуі арасындағы айырмашылықтың 95% сенімділік аралығы (18, 41) болды. Қайсысы төмендегілердің ақылға қонымды қорытындысы?","question:  Рецептсіз берілетін ниацин де, дәрігердің рецепті бойынша берілетін Липитор препараты да қандағы холестерин деңгейін төмендететіні белгілі. Бір қос соқыр зерттеуде Липитор ниациннен асып түсті. Орташа холестерин деңгейінің төмендеуіндегі айырмашылықтың 95% сенімділік аралығын бағалау (18, 41) болды. Төмендегілердің қайсысы ақылға қонымды қорытынды болып табылады?","question:  Рецептсіз сатылатын ниацин де, дәрігер тағайындайтын Липитор препараты да қанындағы холестерин мөлшерін азайтатыны белгілі. Бір қос соқыр клиникалық сынақта Липитор ниацинге қарағанда артық болды. Орташа холестерин деңгейінің төмендеуіндегі айырмашылықтың 95% сенімділік интервалы (18, 41) деп бағаланды. Төмендегілердің қайсысы ақылға қонымды қорытынды саналады?","question:  Рецептсіз сатылатын ниацин де, рецепт бойынша рәсімделетін Липитор да қандағы холестерин көрсеткішін төмендететіні мәлім. Бір қос соқыр зерттеуде Липитор ниациннен жоғары нәтиже көрсетті. Орташа холестерин деңгейінің төмендеуіндегі айырмашылықтың 95% сенімділік аралығы (18, 41) болды. Төмендегілердің қайсысы логикалық қорытынды болып табылады?","question:  Рецептсіз берілетін ниацин де, рецептімен берілетін Липитор препараты да қан холестеринін төмендететіні белгілі. Бір қос соқыр зерттеуде Липитор ниациннен басым шықты. Орташа холестерин деңгейінің төмендеуі арасындағы айырмашылықтың 95% сенімділік аралығы (18, 41) болды. Қайсысы төмендегілердің ақылға қонымды қорытындысы?"
 Тыныш тыныс алу кезінде қандай бұлшықеттер қалыпты жұмыс істейді?, анатомия, ['Сыртқы және ішкі қабырғааралық бұлшықеттер' 'Сыртқы қабырғааралық бұлшықеттер және диафрагма' 'Ішкі қабырғааралық бұлшықеттер және диафрагма' 'Сыртқы және ішкі қабырғааралық бұлшықеттер және диафрагма'],1,Sheet1,question:  Тыныш тыныс алу кезінде қандай бұлшықеттер қалыпты жұмыс істейді?,"A)
question:  Жай тыныс алу кезінде қандай бұлшықеттер қалыпты жұмыс істейді?

B)
question:  Тыныш дем алу кезінде қандай бұлшықеттер қалыпты жұмыс істейді?

C)
question:  Жай дем алу кезінде қандай бұлшықеттер қалыпты жұмыс істейді?

D)
question:  Тыныш тыныс алу кезінде қай бұлшықеттер қалыпты жұмыс істейді?",question:  Жай тыныс алу кезінде қандай бұлшықеттер қалыпты жұмыс істейді?,question:  Тыныш дем алу кезінде қандай бұлшықеттер қалыпты жұмыс істейді?,question:  Жай дем алу кезінде қандай бұлшықеттер қалыпты жұмыс істейді?,question:  Тыныш тыныс алу кезінде қай бұлшықеттер қалыпты жұмыс істейді?
" Бұл сұрақ келесі ақпаратқа қатысты. О, ұят саған, байғұс Қысқы Патша! Бұл не істедің? Кайзердің тәжін тартып алу өте тентектік емес пе? Енді сен Рейн мен Прагада сияқты аулақ болуың керек, одан да көп - ұят пен үрей Сенің күндерің мен түндерің азап шегеді. Сен де, бүкіл әлем де, олар да мұны біледі, Фердинандтың өзі ғана Богемияның заңды патшасы бола алады. Сондықтан кел, құрметті Фриц, тұрып, Фердинандқа, патшаңа бар да, Одан күнәң үшін толық кешірім сұра. «Байғұс Қысқы Патша», он жетінші ғасырдағы әні. Төмендегілердің қайсысы осы әндегі маңызды негізгі мәселе?",орта мектептің_әлем_тарихы, ['Патшалық мұрагерлік ережелері' 'Діни қақтығыс' 'Әскери тығырыққа тірелу' 'Әлеуметтік таптық қақтығыстар'],1,Sheet1,"question:  Бұл сұрақ келесі ақпаратқа қатысты. О, ұят саған, байғұс Қысқы Патша! Бұл не істедің? Кайзердің тәжін тартып алу өте тентектік емес пе? Енді сен Рейн мен Прагада сияқты аулақ болуың керек, одан да көп - ұят пен үрей Сенің күндерің мен түндерің азап шегеді. Сен де, бүкіл әлем де, олар да мұны біледі, Фердинандтың өзі ғана Богемияның заңды патшасы бола алады. Сондықтан кел, құрметті Фриц, тұрып, Фердинандқа, патшаңа бар да, Одан күнәң үшін толық кешірім сұра. «Байғұс Қысқы Патша», он жетінші ғасырдағы әні. Төмендегілердің қайсысы осы әндегі маңызды негізгі мәселе?","A)
question:  Бұл сұрау келесі ақпаратқа қатысты. О, ұят саған, аянышты Қысқы Патша! Бұл не істедің? Кайзердің тәжін тартып алу өте ақымақтық емес пе? Енді сен Рейн мен Прагада сияқты алыс болуың керек, одан да көп - ұят пен қорқыныш Сенің күндерің мен түндерің азап шегеді. Сен де, бүкіл әлем де, олар да мұны біледі, Фердинандтың өзі ғана Богемияның заңды патшасы бола алады. Сондықтан кел, қадірлі Фриц, тұрып, Фердинандқа, патшаңа бар да, Одан күнәң үшін толық кешірім сұра. «Байғұс Қысқы Патша», он жетінші ғасырдағы әні. Төмендегілердің қайсысы осы әндегі маңызды негізгі мәселе?

B)
question:  Бұл сауал берілген ақпаратқа қатысты. О, ұят саған, қайғылы Қысқы Патша! Бұл не істедің? Кайзердің тәжін жұлып алу өте масқара емес пе? Енді сен Рейн мен Прагада сияқты алыстап жүруің тиіс, одан да көп - ұят пен үрей Сенің күндерің мен түндерің азап шегеді. Сен де, бүтін әлем де, олар да мұны біледі, Фердинандтың өзі ғана Богемияның заңды билеушісі бола алады. Сондықтан кел, қымбатты Фриц, тұрып, Фердинандқа, патшаңа бар да, Одан күнәң үшін толық кешірім сұра. «Байғұс Қысқы Патша», он жетінші ғасырдағы әні. Төмендегілердің қайсысы осы әндегі маңызды негізгі мәселе?

C)
question:  Бұл мәселе келесі дерекке қатысты. О, ұят саған, жарымжан Қысқы Патша! Бұл не істедің? Кайзердің тәжін тартып алу аса ақымақтық емес пе? Енді сен Рейн мен Прагада сияқты шетте болуың керек, одан да көп - ұят пен қорқыныш Сенің күндерің мен түндерің азап шегеді. Сен де, бүкіл дүние де, олар да мұны біледі, Фердинандтың өзі ғана Богемияның заңды патшасы бола алады. Сондықтан кел, құрметті Фриц, тұрып, Фердинандқа, патшаңа бар да, Одан күнәң үшін толық кешірім тіле. «Байғұс Қысқы Патша», он жетінші ғасырдағы әні. Төмендегілердің қайсысы осы әндегі маңызды негізгі мәселе?

D)
question:  Бұл сұрау төмендегі мәліметке қатысты. О, ұят саған, бақытсыз Қысқы Патша! Бұл не істедің? Кайзердің тәжін тартып алу өте ақымақтық емес пе? Енді сен Рейн мен Прагада сияқты ығысып жүруің керек, одан да көп - ұят пен үрей Сенің күндерің мен түндерің азап шегеді. Сен де, бүкіл әлем де, олар да мұны біледі, Фердинандтың өзі ғана Богемияның заңды патшасы бола алады. Сондықтан кел, құрметті Фриц, тұрып, Фердинандқа, патшаңа бар да, Одан күнәң үшін толық кешірім сұра. «Байғұс Қысқы Патша», он жетінші ғасырдағы әні. Төмендегілердің қайсысы осы әндегі маңызды негізгі мәселе?","question:  Бұл сұрау келесі ақпаратқа қатысты. О, ұят саған, аянышты Қысқы Патша! Бұл не істедің? Кайзердің тәжін тартып алу өте ақымақтық емес пе? Енді сен Рейн мен Прагада сияқты алыс болуың керек, одан да көп - ұят пен қорқыныш Сенің күндерің мен түндерің азап шегеді. Сен де, бүкіл әлем де, олар да мұны біледі, Фердинандтың өзі ғана Богемияның заңды патшасы бола алады. Сондықтан кел, қадірлі Фриц, тұрып, Фердинандқа, патшаңа бар да, Одан күнәң үшін толық кешірім сұра. «Байғұс Қысқы Патша», он жетінші ғасырдағы әні. Төмендегілердің қайсысы осы әндегі маңызды негізгі мәселе?","question:  Бұл сауал берілген ақпаратқа қатысты. О, ұят саған, қайғылы Қысқы Патша! Бұл не істедің? Кайзердің тәжін жұлып алу өте масқара емес пе? Енді сен Рейн мен Прагада сияқты алыстап жүруің тиіс, одан да көп - ұят пен үрей Сенің күндерің мен түндерің азап шегеді. Сен де, бүтін әлем де, олар да мұны біледі, Фердинандтың өзі ғана Богемияның заңды билеушісі бола алады. Сондықтан кел, қымбатты Фриц, тұрып, Фердинандқа, патшаңа бар да, Одан күнәң үшін толық кешірім сұра. «Байғұс Қысқы Патша», он жетінші ғасырдағы әні. Төмендегілердің қайсысы осы әндегі маңызды негізгі мәселе?","question:  Бұл мәселе келесі дерекке қатысты. О, ұят саған, жарымжан Қысқы Патша! Бұл не істедің? Кайзердің тәжін тартып алу аса ақымақтық емес пе? Енді сен Рейн мен Прагада сияқты шетте болуың керек, одан да көп - ұят пен қорқыныш Сенің күндерің мен түндерің азап шегеді. Сен де, бүкіл дүние де, олар да мұны біледі, Фердинандтың өзі ғана Богемияның заңды патшасы бола алады. Сондықтан кел, құрметті Фриц, тұрып, Фердинандқа, патшаңа бар да, Одан күнәң үшін толық кешірім тіле. «Байғұс Қысқы Патша», он жетінші ғасырдағы әні. Төмендегілердің қайсысы осы әндегі маңызды негізгі мәселе?","question:  Бұл сұрау төмендегі мәліметке қатысты. О, ұят саған, бақытсыз Қысқы Патша! Бұл не істедің? Кайзердің тәжін тартып алу өте ақымақтық емес пе? Енді сен Рейн мен Прагада сияқты ығысып жүруің керек, одан да көп - ұят пен үрей Сенің күндерің мен түндерің азап шегеді. Сен де, бүкіл әлем де, олар да мұны біледі, Фердинандтың өзі ғана Богемияның заңды патшасы бола алады. Сондықтан кел, құрметті Фриц, тұрып, Фердинандқа, патшаңа бар да, Одан күнәң үшін толық кешірім сұра. «Байғұс Қысқы Патша», он жетінші ғасырдағы әні. Төмендегілердің қайсысы осы әндегі маңызды негізгі мәселе?"
 АҚШ пен Еуропаның қауіпсіздік саласындағы зерттеулері арасындағы әртүрлі байланысты қалай түсіндіруге болады?, қауіпсіздікті зерттеу,"[«Қауіпсіздік тұжырымдамасымен басқаша байланыс: Еуропада пікірталас «қауіпсіздікпен айналысатын» ғалымның саяси-өзін-өзі талдауының бөлігі ретінде қалды; ал АҚШ-та қауіпсіздік тұжырымдамасы мәселесі ең қажетті «терминдеріңізді анықтаңыз» операциясы ретінде қарастырылады.» «Бағаланатын білімнің нақты түрімен басқаша байланыс. АҚШ рационалистік, Еуропа рефлексивистік. АҚШ қауіпсіздік зерттеулерінде пікірталас гипотезасы әдетте жалпы пікірталастарға және идеялық айнымалыларды өлшеуге байланысты себеп-салдар байланыстары ретінде қарастырылады.» «АҚШ-та негізгі бәсекелес түсіндірмелер бір жағынан АҚШ-тың либералды гегемониясын, ал екінші жағынан, теңгерім мүмкін болмайтын болжамды бірполярлықтың таза билікке негізделген тұрақтылығын атап өтті.» «Осы нұсқалардың барлығы.»]",3,Sheet1,question:  АҚШ пен Еуропаның қауіпсіздік саласындағы зерттеулері арасындағы әртүрлі байланысты қалай түсіндіруге болады?,"A)
question:  Америка Құрама Штаттары мен Еуропаның қауіпсіздік саласындағы зерттеулері арасындағы әртүрлі байланысты қалай түсіндіруге болады?

B)
question:  АҚШ пен Еуропа елдерінің қауіпсіздік саласындағы зерттеулері арасындағы өзгеше байланысты қалай түсіндіруге болады?

C)
question:  АҚШ пен Еуропаның қауіпсіздік саласындағы талдаулары арасындағы әрқилы байланысты қалай түсіндіруге болады?

D)
question:  Америка Құрама Штаттары мен Еуропа елдерінің қауіпсіздік мәселесіндегі зерттеулері арасындағы әртүрлі байланысты қалай түсіндіруге болады?",question:  Америка Құрама Штаттары мен Еуропаның қауіпсіздік саласындағы зерттеулері арасындағы әртүрлі байланысты қалай түсіндіруге болады?,question:  АҚШ пен Еуропа елдерінің қауіпсіздік саласындағы зерттеулері арасындағы өзгеше байланысты қалай түсіндіруге болады?,question:  АҚШ пен Еуропаның қауіпсіздік саласындағы талдаулары арасындағы әрқилы байланысты қалай түсіндіруге болады?,question:  Америка Құрама Штаттары мен Еуропа елдерінің қауіпсіздік мәселесіндегі зерттеулері арасындағы әртүрлі байланысты қалай түсіндіруге болады?
 Алыстан заттарды көруде қиналатын адамға қолданылатын жалпы термин қандай?, әртүрлі, ['алыстан көргіш' 'жақыннан көргіш' 'арттан көргіш' 'гиперметропиялық'],1,Sheet1,question:  Алыстан заттарды көруде қиналатын адамға қолданылатын жалпы термин қандай?,"A)
question:  Қашықтан заттарды көруде қиналатын адамға қолданылатын жалпы термин қандай?

B)
question:  Алыстан нысандарды көруде қиналатын адамға қолданылатын жалпы термин қандай?

C)
question:  Алыстан объектілерді көруде қиналатын адамға қолданылатын жалпы термин қандай?

D)
question:  Қашықтан нысандарды көруде қиналатын адамға қолданылатын жалпы термин қандай?",question:  Қашықтан заттарды көруде қиналатын адамға қолданылатын жалпы термин қандай?,question:  Алыстан нысандарды көруде қиналатын адамға қолданылатын жалпы термин қандай?,question:  Алыстан объектілерді көруде қиналатын адамға қолданылатын жалпы термин қандай?,question:  Қашықтан нысандарды көруде қиналатын адамға қолданылатын жалпы термин қандай?
 Когнитивті-мінез-құлықтық терапияның мақсаты -, моральдық_даулар, ['табандылық таныт.' 'бұрмаланған ойлауды азайт.' 'жақсы мінез-құлықты марапатта.' 'стоикалық даналыққа қол жеткіз.'],0,Sheet1,question:  Когнитивті-мінез-құлықтық терапияның мақсаты -,"A)
question:  Танымдық-мінез-құлықтық терапияның мақсаты -

B)
question:  Когнитивті-мінез-құлықтық емдеудің мақсаты -

C)
question:  Танымдық-мінез-құлықтық емдеудің мақсаты -

D)
question:  Когнитивті-мінез-құлықтық терапияның міндеті -",question:  Танымдық-мінез-құлықтық терапияның мақсаты -,question:  Когнитивті-мінез-құлықтық емдеудің мақсаты -,question:  Танымдық-мінез-құлықтық емдеудің мақсаты -,question:  Когнитивті-мінез-құлықтық терапияның міндеті -
 Бағдарламашы сұрыпталған тізімнен мақсатты мәнді табу үшін сызықтық немесе екілік іздеуді пайдалануды таңдап жатыр. Төмендегілердің қайсысы дұрыс?, орта мектеп_компьютер_ғылымы," ['Барлық жағдайларда, сұрыпталған тізімді екілік іздеу сызықтық іздеуге қарағанда аз салыстыруды қажет етеді.' 'Жалпы алғанда, екілік іздеуді сызықтық іздеуге қарағанда пайдаланудың артықшылығы тізімнің өлшемі ұлғайған сайын артады.' 'Сызықтық іздеу әдетте екілік іздеуге қарағанда жылдамырақ орындалады, себебі сызықтық іздеуді іске асыру үшін код жолдарының аз болуы қажет.' 'Егер мақсат тізімде табылмауы мүмкін болса, сызықтық іздеуді пайдалану екілік іздеуді пайдаланудан гөрі тиімдірек.'",1,Sheet1,question:  Бағдарламашы сұрыпталған тізімнен мақсатты мәнді табу үшін сызықтық немесе екілік іздеуді пайдалануды таңдап жатыр. Төмендегілердің қайсысы дұрыс?,"A)
question:  Әзірлеуші реттелген тізімнен ізделетін мәнді табу үшін сызықтық немесе екілік іздеуді қолдануды таңдап жатыр. Төмендегілердің қайсысы дұрыс?

B)
question:  Бағдарламалаушы сұрыпталған тізімнен мақсатты мәнді табу үшін сызықтық немесе екілік іздеуді қолдануды таңдап отыр. Төмендегілердің қайсысы дұрыс?

C)
question:  Программист реттелген тізімнен мақсатты мәнді табу үшін сызықтық немесе екілік іздеуді пайдалануды таңдап жатыр. Төмендегілердің қайсысы дұрыс?

D)
question:  Кодер сұрыпталған тізімнен ізделетін мәнді табу үшін сызықтық немесе екілік іздеуді қолдануды таңдап отыр. Төмендегілердің қайсысы дұрыс?",question:  Әзірлеуші реттелген тізімнен ізделетін мәнді табу үшін сызықтық немесе екілік іздеуді қолдануды таңдап жатыр. Төмендегілердің қайсысы дұрыс?,question:  Бағдарламалаушы сұрыпталған тізімнен мақсатты мәнді табу үшін сызықтық немесе екілік іздеуді қолдануды таңдап отыр. Төмендегілердің қайсысы дұрыс?,question:  Программист реттелген тізімнен мақсатты мәнді табу үшін сызықтық немесе екілік іздеуді пайдалануды таңдап жатыр. Төмендегілердің қайсысы дұрыс?,question:  Кодер сұрыпталған тізімнен ізделетін мәнді табу үшін сызықтық немесе екілік іздеуді қолдануды таңдап отыр. Төмендегілердің қайсысы дұрыс?
" Егер жеке меншік игілік өндірісімен байланысты оң сыртқы әсер болса, төмендегілердің қайсысы нарықты тиімді нәтижеге бағыттайтын үкіметтің әрекеті болып табылады?", орта мектеп_микроэкономикасы,['Тауар шығаратын фирманы жабу.' 'Фирманы немесе оның тұтынушыларын субсидиялау.' 'Фирмаға салық салу.' 'Комиссия тағайындау.'],1,Sheet1,"question:  Егер жеке меншік игілік өндірісімен байланысты оң сыртқы әсер болса, төмендегілердің қайсысы нарықты тиімді нәтижеге бағыттайтын үкіметтің әрекеті болып табылады?","A)
Егер жеке меншік тауар өндірісімен байланысты оң сыртқы әсер болса, төмендегілердің қайсысы нарықты тиімді нәтижеге жеткізетін үкіметтің әрекеті болып табылады?

B)
Егер жеке меншік өнім өндірісімен байланысты оң сыртқы әсер болса, төмендегілердің қайсысы нарықты тиімді нәтижеуге бағыттайтын үкіметтің іс-әрекеті болып табылады?

C)
Егер жеке меншік өндірісіне байланысты оң сыртқы әсер болса, төмендегілердің қайсысы нарықты тиімді нәтижеге жетелейтін үкіметтің әрекеті болып табылады?

D)
Егер жеке кәсіпкерлік игілік өндірісімен байланысты оң сыртқы әсер болса, төмендегілердің қайсысы нарықты тиімді нәтижеге бағыттайтын үкіметтің шарасы болып табылады?","Егер жеке меншік тауар өндірісімен байланысты оң сыртқы әсер болса, төмендегілердің қайсысы нарықты тиімді нәтижеге жеткізетін үкіметтің әрекеті болып табылады?","Егер жеке меншік өнім өндірісімен байланысты оң сыртқы әсер болса, төмендегілердің қайсысы нарықты тиімді нәтижеуге бағыттайтын үкіметтің іс-әрекеті болып табылады?","Егер жеке меншік өндірісіне байланысты оң сыртқы әсер болса, төмендегілердің қайсысы нарықты тиімді нәтижеге жетелейтін үкіметтің әрекеті болып табылады?","Егер жеке кәсіпкерлік игілік өндірісімен байланысты оң сыртқы әсер болса, төмендегілердің қайсысы нарықты тиімді нәтижеге бағыттайтын үкіметтің шарасы болып табылады?"
 Инфляцияны және PPP түзетуін бақылау арқылы Қытайда 1950 жылдан 2016 жылға дейін жан басына шаққандағы ЖІӨ шамамен қаншаға өсті?, жаһандық_фактілер, ['4 есе' '8 есе' '16 есе' '32 есе'],2,Sheet1,question:  Инфляцияны және PPP түзетуін бақылау арқылы Қытайда 1950 жылдан 2016 жылға дейін жан басына шаққандағы ЖІӨ шамамен қаншаға өсті?,"A)
question:  Инфляцияны және PPP түзетуін бақылау арқылы Қытайда 1950 жылдан 2016 жылға дейін жан басына шаққандағы ЖІӨ шамамен қаншаға артты?

B)
question:  Инфляцияны және PPP түзетуін есепке ала отырып Қытайда 1950 жылдан 2016 жылға дейін бір адамға шаққандағы ЖІӨ шамамен қаншаға артты?

C)
question:  Баға деңгейінің өсуін және PPP түзетуін бақылап Қытайда 1950 жылдан 2016 жылға дейін жан басына шаққандағы ЖІӨ шамамен қаншаға ұлғайды?

D)
question:  Инфляцияны және PPP түзетуін бақылау арқылы Қытай елінде 1950 жылдан 2016 жылға дейін жан басына шаққандағы ЖІӨ шамамен қаншаға ұлғайды?",question:  Инфляцияны және PPP түзетуін бақылау арқылы Қытайда 1950 жылдан 2016 жылға дейін жан басына шаққандағы ЖІӨ шамамен қаншаға артты?,question:  Инфляцияны және PPP түзетуін есепке ала отырып Қытайда 1950 жылдан 2016 жылға дейін бір адамға шаққандағы ЖІӨ шамамен қаншаға артты?,question:  Баға деңгейінің өсуін және PPP түзетуін бақылап Қытайда 1950 жылдан 2016 жылға дейін жан басына шаққандағы ЖІӨ шамамен қаншаға ұлғайды?,question:  Инфляцияны және PPP түзетуін бақылау арқылы Қытай елінде 1950 жылдан 2016 жылға дейін жан басына шаққандағы ЖІӨ шамамен қаншаға ұлғайды?
" Бұлшықеттен шығып, қан айналымына енетін лактаттың негізгі тағдыры:", колледж_медицина, ['бауырда мочевинаға айналуы.' 'жүректе глюкозаға айналуы.' 'бүйрек арқылы шығарылуы.' 'басқа тіндермен сіңуі және тотығуы.'],3,Sheet1,"question:  Бұлшықеттен шығып, қан айналымына енетін лактаттың негізгі тағдыры:","A)
question:  Бұлшық еттен шығып, қан жүйесіне түсетін лактаттың басты тағдыры:

B)
question:  Бұлшықеттен бөлініп, қан айналымына өтетін лактаттың негізгі тағдыры:

C)
question:  Бұлшықеттен шығарылып, қан ағымына кіретін лактаттың басты тағдыры:

D)
question:  Бұлшық еттен шығарылып, қан айналымына енетін лактаттың негізгі тағдыры:","question:  Бұлшық еттен шығып, қан жүйесіне түсетін лактаттың басты тағдыры:","question:  Бұлшықеттен бөлініп, қан айналымына өтетін лактаттың негізгі тағдыры:","question:  Бұлшықеттен шығарылып, қан ағымына кіретін лактаттың басты тағдыры:","question:  Бұлшық еттен шығарылып, қан айналымына енетін лактаттың негізгі тағдыры:"
