мәтін,жапсырма,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
" Агасси Вердасконың күшін жеңді СТОКГОЛЬМ (Reuters) - Андре Агасси жұма күні Стокгольм ашық чемпионатының жартылай финалына шығып, турнирдегі ең қиын кездесуінде сегізінші орындағы испаниялық Фернандо Вердасконы 7-6, 6-2 есебімен жеңді.",1,"мәтін:  Агасси Вердасконың күшін жеңді СТОКГОЛЬМ (Reuters) - Андре Агасси жұма күні Стокгольм ашық чемпионатының жартылай финалына шығып, турнирдегі ең қиын кездесуінде сегізінші орындағы испаниялық Фернандо Вердасконы 7-6, 6-2 есебімен жеңді.
жапсырма: 1","A)  мәтін:  Агасси Вердасконың қуатын жеңді СТОКГОЛЬМ (Reuters) - Андре Агасси жұма күні Стокгольм ашық чемпионатының жартылай финалына шығып, турнирдегі ең күрделі кездесуінде сегізінші орындағы испаниялық Фернандо Вердасконы 7-6, 6-2 есебімен жеңді. жапсырма: 1

B)  мәтін:  Агасси Вердасконың күшін жеңді СТОКГОЛЬМ (Reuters) - Андре Агасси жұма күні Стокгольм ашық чемпионатының жартылай финалына шығып, жарысдағы ең қиын кездесуде сегізінші орындағы испаниялық Фернандо Вердасконы 7-6, 6-2 есебімен жеңді. жапсырма: 1

C)  мәтін:  Агасси Вердасконың күшін жеңді СТОКГОЛЬМ (Reuters) - Андре Агасси жұма күні Стокгольм ашық чемпионатының жартылай финалына шығып, турнирдегі ең қиын матчында сегізінші орындағы испаниялық Фернандо Вердасконы 7-6, 6-2 есебімен жеңді. жапсырма: 1

D)  мәтін:  Агасси Вердасконың күшін жеңді СТОКГОЛЬМ (Reuters) - Андре Агасси жұма күні Стокгольм ашық чемпионатының жартылай финалына шығып, турнирдегі ең күрделі матчында сегізінші орындағы испаниялық Фернандо Вердасконы 7-6, 6-2 есебімен жеңді. жапсырма: 1",,,,,E,B,C,D
" Microsoft Үндістанда жаңа бағдарламалық жасақтама әзірлеу бөлімшесін ашты (AFP) AFP - Microsoft Үндістанның екінші ірі бағдарламалық жасақтама фирмасы Infosys Technologies-пен бірлесіп, өндіріс, банк және автомобиль компанияларына бағдарламалық жасақтама және кеңес беру қызметтерін ұсынатынын мәлімдеді.",0,"мәтін:  Microsoft Үндістанда жаңа бағдарламалық жасақтама әзірлеу бөлімшесін ашты (AFP) AFP - Microsoft Үндістанның екінші ірі бағдарламалық жасақтама фирмасы Infosys Technologies-пен бірлесіп, өндіріс, банк және автомобиль компанияларына бағдарламалық жасақтама және кеңес беру қызметтерін ұсынатынын мәлімдеді.
жапсырма: 0","A) мәтін: Microsoft Үндістанда жаңа бағдарламалық шешім әзірлеу бөлімшесін ашты (AFP) AFP - Microsoft Үндістанның екінші үлкен бағдарламалық шешім фирмасы Infosys Technologies-пен бірлесіп, өндіріс, банк және автомобиль компанияларына бағдарламалық шешім және кеңес беру қызметтерін ұсынатынын хабарлады. жапсырма: 0

B) мәтін: Microsoft Үндістанда жаңа программалық жасақтама әзірлеу бөлімшесін ашты (AFP) AFP - Microsoft Үндістанның екінші ірі программалық жасақтама компаниясы Infosys Technologies-пен бірігіп, өндіріс, банк және автомобиль фирмаларına программалық жасақтама және кеңес беру қызметтерін көрсететінін мәлімдеді. жапсырма: 0

C) мәтін: Microsoft Үндістанда жаңа программалық жүйе әзірлеу бөлімшесін ашты (AFP) AFP - Microsoft Үндістанның екінші басты программалық жүйе фирмасы Infosys Technologies-пен бірге, өндіріс, банк және автомобиль кәсіпорындарына программалық жүйе және кеңес беру қызметтерін ұсынатынын жариялады. жапсырма: 0

D) мәтін: Microsoft Үндістанда жаңа бағдарламалық құрал әзірлеу бөлімшесін ашты (AFP) AFP - Microsoft Үндістанның екінші басты бағдарламалық құрал компаниясы Infosys Technologies-пен серіктес болып, өндіріс, банк және автокөлік кәсіпорындарына бағдарламалық құрал және кеңес беру қызметтерін беретіні туралы мәлімдеді. жапсырма: 0",,,,,E,B,C,D
" Марк Кубан dot-com redux тілшісінің дәптерін ұсынады САН-ФРАНЦИСКО - Сейсенбі күні Web 2.0 конференциясының салтанатты ашылу банкетінде үміт пен цинизм тең аяқталды, ал сериялық кәсіпкер және реалити-шоу жүргізушісі Марк Кубан 10 жылдық болашақ туралы әңгімелеу үшін сахнаға шықты.",3,"мәтін:  Марк Кубан dot-com redux тілшісінің дәптерін ұсынады САН-ФРАНЦИСКО - Сейсенбі күні Web 2.0 конференциясының салтанатты ашылу банкетінде үміт пен цинизм тең аяқталды, ал сериялық кәсіпкер және реалити-шоу жүргізушісі Марк Кубан 10 жылдық болашақ туралы әңгімелеу үшін сахнаға шықты.
жапсырма: 3","A)
мәтін:  Марк Кубан dot-com жаңғыру тілшісінің дәптерін ұсынады САН-ФРАНЦИСКО - Сейсенбі күні Web 2.0 конференциясының салтанатты ашылу банкеттің үміт пен цинизм тең аяқталды, ал сериялық кәсіпкер және реалити-шоу жүргізушісі Марк Кубан 10 жылдық болашақ туралы баяндау үшін сахнаға шықты.
жапсырма: 3

B)
мәтін:  Марк Кубан dot-com қайта өрлеу тілшісінің дәптерін ұсынады САН-ФРАНЦИСКО - Сейсенбі күні Web 2.0 конференциясының салтанатты ашылу кешінде үміт пен цинизм тең аяқталды, ал сериялық кәсіпкер және реалити-шоу жүргізушісі Марк Кубан 10 жылдық болашақ туралы әңгімелеу үшін сахнаға көтерілді.
жапсырма: 3

C)
мәтін:  Марк Кубан dot-com қайта жаңғыру тілшісінің дәптерін ұсынады САН-ФРАНЦИСКО - Сейсенбі күні Web 2.0 конференциясының салтанатты ашылу шарасында үміт пен цинизм тең аяқталды, ал сериялық кәсіпкер және реалити-шоу жүргізушісі Марк Кубан 10 жылдық болашақ туралы баяндау үшін сахнаға шықты.
жапсырма: 3

D)
мәтін:  Марк Кубан dot-com қайта түлеу тілшісінің дәптерін ұсынады САН-ФРАНЦИСКО - Сейсенбі күні Web 2.0 конференциясының салтанатты ашылу жиынында үміт пен цинизм тең аяқталды, ал сериялық кәсіпкер және реалити-шоу жүргізушісі Марк Кубан 10 жылдық болашақ туралы айту үшін сахнаға көтерілді.
жапсырма: 3","мәтін:  Марк Кубан dot-com жаңғыру тілшісінің дәптерін ұсынады САН-ФРАНЦИСКО - Сейсенбі күні Web 2.0 конференциясының салтанатты ашылу банкеттің үміт пен цинизм тең аяқталды, ал сериялық кәсіпкер және реалити-шоу жүргізушісі Марк Кубан 10 жылдық болашақ туралы баяндау үшін сахнаға шықты.
жапсырма: 3","мәтін:  Марк Кубан dot-com қайта өрлеу тілшісінің дәптерін ұсынады САН-ФРАНЦИСКО - Сейсенбі күні Web 2.0 конференциясының салтанатты ашылу кешінде үміт пен цинизм тең аяқталды, ал сериялық кәсіпкер және реалити-шоу жүргізушісі Марк Кубан 10 жылдық болашақ туралы әңгімелеу үшін сахнаға көтерілді.
жапсырма: 3","мәтін:  Марк Кубан dot-com қайта жаңғыру тілшісінің дәптерін ұсынады САН-ФРАНЦИСКО - Сейсенбі күні Web 2.0 конференциясының салтанатты ашылу шарасында үміт пен цинизм тең аяқталды, ал сериялық кәсіпкер және реалити-шоу жүргізушісі Марк Кубан 10 жылдық болашақ туралы баяндау үшін сахнаға шықты.
жапсырма: 3","мәтін:  Марк Кубан dot-com қайта түлеу тілшісінің дәптерін ұсынады САН-ФРАНЦИСКО - Сейсенбі күні Web 2.0 конференциясының салтанатты ашылу жиынында үміт пен цинизм тең аяқталды, ал сериялық кәсіпкер және реалити-шоу жүргізушісі Марк Кубан 10 жылдық болашақ туралы айту үшін сахнаға көтерілді.
жапсырма: 3",A,A,A,A
HP компаниясы Itanium әзірлемесін тоқтатты Hewlett-Packard Co. (HP) чип жасау бизнесінен шығып жатыр. Калифорния штатының Пало-Альто қаласындағы компания бейсенбі күні Intel Corp компаниясымен келісімге келгенін хабарлады.,3,"мәтін: HP компаниясы Itanium әзірлемесін тоқтатты Hewlett-Packard Co. (HP) чип жасау бизнесінен шығып жатыр. Калифорния штатының Пало-Альто қаласындағы компания бейсенбі күні Intel Corp компаниясымен келісімге келгенін хабарлады.
жапсырма: 3","A) мәтін: HP компаниясы Itanium әзірлемесін аяқтады Hewlett-Packard Co. (HP) чип өндіру бизнесінен шығып жатыр. Калифорния штатының Пало-Альто қаласындағы компания бейсенбі күні Intel Corp компаниясымен келісімге келгенін хабарлады. жапсырма: 3

B) мәтін: HP компаниясы Itanium әзірлемесін тоқтатты Hewlett-Packard Co. (HP) чип жасау өндірісінен шығып жатыр. Калифорния штатының Пало-Альто қаласындағы компания бейсенбі күні Intel Corp компаниясымен келісімге келгенін жариялады. жапсырма: 3

C) мәтін: HP компаниясы Itanium әзірлемесін тоқтату туралы шешім қабылдады Hewlett-Packard Co. (HP) чип өндіру саласынан шығып жатыр. Калифорния штатының Пало-Альто қаласындағы компания бейсенбі күні Intel Corp компаниясымен келісімге келгенін білдірді. жапсырма: 3

D) мәтін: HP компаниясы Itanium әзірлемесін доғарда Hewlett-Packard Co. (HP) чип жасау бизнесінде шығып жатыр. Калифорния штатының Пало-Альто қаласындағы компания бейсенбі күні Intel Corp компаниясымен келісімге келгенін мәлімдеді. жапсырма: 3",,,,,E,B,C,D
" Бенитес тактикалық жаңартуды жоспарлап отыр Рафаэль Бенитес ертең Ливерпульдің бас бапкері ретіндегі алғашқы еуропалық маусымын бастайды, ойыншыларына құрлықтың ең үздік командалары ағылшын тактикасын дұрыс таңдағанын ескертеді.",1,"мәтін:  Бенитес тактикалық жаңартуды жоспарлап отыр Рафаэль Бенитес ертең Ливерпульдің бас бапкері ретіндегі алғашқы еуропалық маусымын бастайды, ойыншыларына құрлықтың ең үздік командалары ағылшын тактикасын дұрыс таңдағанын ескертеді.
жапсырма: 1","A)  
мәтін:  Бенитес тактикалық өзгерісті жоспарлап отыр Рафаэль Бенитес ертең Ливерпульдің бас жаттықтырушысы ретіндегі алғашқы еуропалық маусымын бастайды, ойыншыларына құрлықтың ең үздік командалары ағылшын стратегиясын дұрыс таңдағанын ескертеді.  
жапсырма: 1  

B)  
мәтін:  Бенитес тактикалық жаңару үстінде Рафаэль Бенитес ертең Ливерпульдің бас жаттықтырушысы ретіндегі алғашқы еуропалық маусымын бастайды, ойыншыларына құрлықтың ең үздік клубтары ағылшын тактикасын дұрыс таңдағанын ескертеді.  
жапсырма: 1  

C)  
мәтін:  Бенитес тактикалық өзгерістерді жоспарлап отыр Рафаэль Бенитес ертең Ливерпульдің бас жаттықтырушысы ретіндегі алғашқы еуропалық маусымын бастайды, ойыншыларына құрлықтың ең таңдаулы командалары ағылшын тактикасын дұрыс таңдағанын ескертеді.  
жапсырма: 1  

D)  
мәтін:  Бенитес тактикалық қайта құруды жоспарлап отыр Рафаэль Бенитес ертең Ливерпульдің бас бапкері ретіндегі алғашқы еуропалық кезеңін бастайды, ойыншыларына құрлықтың ең үздік командалары ағылшын стратегиясын дұрыс таңдағанын ескертеді.  
жапсырма: 1  ","мәтін:  Бенитес тактикалық өзгерісті жоспарлап отыр Рафаэль Бенитес ертең Ливерпульдің бас жаттықтырушысы ретіндегі алғашқы еуропалық маусымын бастайды, ойыншыларына құрлықтың ең үздік командалары ағылшын стратегиясын дұрыс таңдағанын ескертеді.  
жапсырма: 1","мәтін:  Бенитес тактикалық жаңару үстінде Рафаэль Бенитес ертең Ливерпульдің бас жаттықтырушысы ретіндегі алғашқы еуропалық маусымын бастайды, ойыншыларына құрлықтың ең үздік клубтары ағылшын тактикасын дұрыс таңдағанын ескертеді.  
жапсырма: 1","мәтін:  Бенитес тактикалық өзгерістерді жоспарлап отыр Рафаэль Бенитес ертең Ливерпульдің бас жаттықтырушысы ретіндегі алғашқы еуропалық маусымын бастайды, ойыншыларына құрлықтың ең таңдаулы командалары ағылшын тактикасын дұрыс таңдағанын ескертеді.  
жапсырма: 1","мәтін:  Бенитес тактикалық қайта құруды жоспарлап отыр Рафаэль Бенитес ертең Ливерпульдің бас бапкері ретіндегі алғашқы еуропалық кезеңін бастайды, ойыншыларына құрлықтың ең үздік командалары ағылшын стратегиясын дұрыс таңдағанын ескертеді.  
жапсырма: 1",A,A,A,A
"Лоеб раллиден қуылды ЭСТОНИЯ №39; Маркко Мартин бүгін Каталония раллиінде көш бастады, өйткені түнде көшбасшы болған, жаңадан әлем чемпионы Себастьян Лоеб мұнайдың қатты ағып кетуіне байланысты жарыстан қуылды.",1,"мәтін: Лоеб раллиден қуылды ЭСТОНИЯ №39; Маркко Мартин бүгін Каталония раллиінде көш бастады, өйткені түнде көшбасшы болған, жаңадан әлем чемпионы Себастьян Лоеб мұнайдың қатты ағып кетуіне байланысты жарыстан қуылды.
жапсырма: 1","A) мәтін: Лоеб раллиден шығарып жіберілді ЭСТОНИЯ №39; Маркко Мартин бүгін Каталония раллиінде алға шықты, өйткені түнде жетекші болған, жаңадан әлем чемпиондығы title Себастьян Лоеб мұнайдың қатты ағып кетуіне байланысты жарыстан шығарып жіберілді. жапсырма: 1

B) мәтін: Лоеб раллиден жоғалып кетті ЭСТОНИЯ №39; Маркко Мартин бүгін Каталония раллиінде алдыға шықты, өйткені түнде көшбасшы болған, жаңадан әлем чемпион Себастьян Лоеб мұнайдың қатты ағып кетуіне байланысты жарыстан жоғалып кетті. жапсырма: 1

C) мәтін: Лоеб раллиден қуып шығарылды ЭСТОНИЯ №39; Маркко Мартин бүгін Каталония раллиінде қарсы алды, өйткені түнде жетекші болған, жаңадан әлем чемпион Себастьян Лоеб мұнайдың қатты ағып кетуіне байланысты жарыстан қуып шығарылды. жапсырма: 1

D) мәтін: Лоеб раллиден айырылып қалды ЭСТОНИЯ №39; Маркко Мартин бүгін Каталония раллиінде жетекшілік етті, өйткені түнде жетекші болған, жаңадан әлем чемпионы Себастьян Лоеб мұнайдың қатты ағып кетуіне байланысты жарыстан айырылып қалды. жапсырма: 1",,,,,E,B,C,D
Жаңа тағайындаулар Мушаррафтың 31 желтоқсаннан кейін COAS қызметінде қалатынын көрсетеді ИСЛАМАБАД: Әскери сарапшылар Біріккен штаб бастықтары комитетінің жаңа төрағасы және Армия штабы бастығының орынбасары тағайындалғаннан кейін президент генерал Первез Мушаррафтың 31 желтоқсаннан кейін де Армия штабының бастығы лауазымын сақтап қалатыны анық екенін айтты.,0,"мәтін: Жаңа тағайындаулар Мушаррафтың 31 желтоқсаннан кейін COAS қызметінде қалатынын көрсетеді ИСЛАМАБАД: Әскери сарапшылар Біріккен штаб бастықтары комитетінің жаңа төрағасы және Армия штабы бастығының орынбасары тағайындалғаннан кейін президент генерал Первез Мушаррафтың 31 желтоқсаннан кейін де Армия штабының бастығы лауазымын сақтап қалатыны анық екенін айтты.
жапсырма: 0","A) Жаңа тағайындаулар Мушаррафтың 31 желтоқсаннан кейін COAS қызметінде қалатынын көрсетеді ИСЛАМАБАД: Әскери сарапшылар Біріккен штаб бастықтары комитетінің жаңа жетекшісі және Армия штабы бастығының орынбасары тағайындалғаннан кейін президент генерал Первез Мушаррафтың 31 желтоқсаннан кейін де Армия штабының бастығы лауазымын сақтап қалатыны анық екенін айтты.

B) Жаңа тағайындаулар Мушаррафтың 31 желтоқсаннан кейін COAS қызметінде қалатынын көрсетеді ИСЛАМАБАД: Әскери сарапшылар Біріккен штаб бастықтары комитетінің жаңа басшысы және Армия штабы бастығының орынбасары тағайындалғаннан кейін президент генерал Первез Мушаррафтың 31 желтоқсаннан кейін де Армия штабының бастығы лауазымын сақтап қалатыны айқын екенін айтты.

C) Жаңа тағайындаулар Мушаррафтың 31 желтоқсаннан кейін COAS қызметінде қалатынын көрсетеді ИСЛАМАБАД: Әскери сарапшылар Біріккен штаб бастықтары комитетінің жаңа жетекші және Армия штабы бастығының орынбасары тағайындалғаннан кейін президент генерал Первез Мушаррафтың 31 желтоқсаннан кейін де Армия штабының бастығы лауазымын сақтап қалатыны білгір екенін айтты.

D) Жаңа тағайындаулар Мушаррафтың 31 желтоқсаннан кейін COAS қызметінде қалатынын көрсетеді ИСЛАМАБАД: Әскери сарапшылар Біріккен штаб бастықтары комитетінің жаңа комиссар және Армия штабы бастығының орынбасары тағайындалғаннан кейін президент генерал Первез Мушаррафтың 31 желтоқсаннан кейін де Армия штабының бастығы лауазымын сақтап қалатыны сөзсіз екенін айтты.",,,,,E,B,C,D
" Леман құмар ойыншыларды мақсат етеді АМЕЛИЯ АРАЛЫ - Том Леман әлі АҚШ Райдер Кубогының келесі капитаны қызметіне ресми түрде кіріспеген еді, ал оның телефоны шырылдап жатты.",1,"мәтін:  Леман құмар ойыншыларды мақсат етеді АМЕЛИЯ АРАЛЫ - Том Леман әлі АҚШ Райдер Кубогының келесі капитаны қызметіне ресми түрде кіріспеген еді, ал оның телефоны шырылдап жатты.
жапсырма: 1","A)
Леман құмар ойыншыларды мақсат етеді АМЕЛИЯ АРАЛЫ - Том Леман әлі АҚШ Райдер Кубогының келесі басшысы қызметіне ресми түрде кіріспеген еді, ал оның телефоны шырылдап жатты.

B)
Леман құмар ойыншыларды мақсат етеді АМЕЛИЯ АРАЛЫ - Том Леман әлі АҚШ Райдер Кубогының келесі жетекшісі қызметіне ресми түрде кіріспеген еді, ал оның телефоны шырылдап жатты.

C)
Леман құмар ойыншыларды мақсат етеді АМЕЛИЯ АРАЛЫ - Том Леман әлі АҚШ Райдер Кубогының келесі командирі қызметіне ресми түрде кіріспеген еді, ал оның телефоны шырылдап жатты.

D)
Леман құмар ойыншыларды мақсат етеді АМЕЛИЯ АРАЛЫ - Том Леман әлі АҚШ Райдер Кубогының келесі басшысына қызметіне ресми түрде кіріспеген еді, ал оның телефоны шырылдап жатты.","Леман құмар ойыншыларды мақсат етеді АМЕЛИЯ АРАЛЫ - Том Леман әлі АҚШ Райдер Кубогының келесі басшысы қызметіне ресми түрде кіріспеген еді, ал оның телефоны шырылдап жатты.","Леман құмар ойыншыларды мақсат етеді АМЕЛИЯ АРАЛЫ - Том Леман әлі АҚШ Райдер Кубогының келесі жетекшісі қызметіне ресми түрде кіріспеген еді, ал оның телефоны шырылдап жатты.","Леман құмар ойыншыларды мақсат етеді АМЕЛИЯ АРАЛЫ - Том Леман әлі АҚШ Райдер Кубогының келесі командирі қызметіне ресми түрде кіріспеген еді, ал оның телефоны шырылдап жатты.","Леман құмар ойыншыларды мақсат етеді АМЕЛИЯ АРАЛЫ - Том Леман әлі АҚШ Райдер Кубогының келесі басшысына қызметіне ресми түрде кіріспеген еді, ал оның телефоны шырылдап жатты.",A,A,A,A
Сақтандыру тергеуі бойынша басшылар қызметінен босатылды ACE кеше Нью-Йорктің бас прокуроры бастаған салалық тергеуге жауап ретінде өзінің бизнес тәжірибесіндегі өзгерістер туралы жариялаған соңғы сақтандыру компаниясы болды.,2,"мәтін: Сақтандыру тергеуі бойынша басшылар қызметінен босатылды ACE кеше Нью-Йорктің бас прокуроры бастаған салалық тергеуге жауап ретінде өзінің бизнес тәжірибесіндегі өзгерістер туралы жариялаған соңғы сақтандыру компаниясы болды.
жапсырма: 2","A)  
мәтін: Сақтандыру зерттеуі бойынша жетекшілер қызметінен босатылды ACE кеше Нью-Йорктің бас прокуроры бастаған салалық зерттеуге жауап ретінде өзінің бизнес тәжірибесіндегі өзгерістер туралы жариялаған соңғы сақтандыру компаниясы болды.  
жапсырма: 2  

B)  
мәтін: Сақтандыру тексеруі бойынша жетекшілер қызметінен босатылды ACE кеше Нью-Йорктің бас прокуроры бастаған салалық тексеруге жауап ретінде өзінің бизнес тәжірибесіндегі өзгерістер туралы жариялаған соңғы сақтандыру компаниясы болды.  
жапсырма: 2  

C)  
мәтін: Сақтандыру тергеуі бойынша басшылар лауазымынан босатылды ACE кеше Нью-Йорктің бас прокуроры бастаған салалық тергеуге жауап ретінде өзінің бизнес тәжірибесіндегі өзгерістер туралы жариялаған соңғы сақтандыру компаниясы болды.  
жапсырма: 2  

D)  
мәтін: Сақтандыру зерттеуі бойынша басшылар қызметінен босатылды ACE кеше Нью-Йорктің бас прокуроры бастаған салалық зерттеуге жауап ретінде өзінің бизнес тәжірибесіндегі өзгерістер туралы жариялаған соңғы сақтандыру ұйымы болды.  
жапсырма: 2  ","мәтін: Сақтандыру зерттеуі бойынша жетекшілер қызметінен босатылды ACE кеше Нью-Йорктің бас прокуроры бастаған салалық зерттеуге жауап ретінде өзінің бизнес тәжірибесіндегі өзгерістер туралы жариялаған соңғы сақтандыру компаниясы болды.  
жапсырма: 2","мәтін: Сақтандыру тексеруі бойынша жетекшілер қызметінен босатылды ACE кеше Нью-Йорктің бас прокуроры бастаған салалық тексеруге жауап ретінде өзінің бизнес тәжірибесіндегі өзгерістер туралы жариялаған соңғы сақтандыру компаниясы болды.  
жапсырма: 2","мәтін: Сақтандыру тергеуі бойынша басшылар лауазымынан босатылды ACE кеше Нью-Йорктің бас прокуроры бастаған салалық тергеуге жауап ретінде өзінің бизнес тәжірибесіндегі өзгерістер туралы жариялаған соңғы сақтандыру компаниясы болды.  
жапсырма: 2","мәтін: Сақтандыру зерттеуі бойынша басшылар қызметінен босатылды ACE кеше Нью-Йорктің бас прокуроры бастаған салалық зерттеуге жауап ретінде өзінің бизнес тәжірибесіндегі өзгерістер туралы жариялаған соңғы сақтандыру ұйымы болды.  
жапсырма: 2",A,A,A,A
" Катмандудағы жарылыстан 30 адам жарақат алды Непал астанасы Катмандуда болған жарылыстан кем дегенде 30 адам жарақат алды. Полицияның мәліметінше, бұл бомба болған. Жарылыс құрылысы жүріп жатқан үкіметке тиесілі 39-шы Қызметкерлер қорының ғимаратына тиген.",0,"мәтін:  Катмандудағы жарылыстан 30 адам жарақат алды Непал астанасы Катмандуда болған жарылыстан кем дегенде 30 адам жарақат алды. Полицияның мәліметінше, бұл бомба болған. Жарылыс құрылысы жүріп жатқан үкіметке тиесілі 39-шы Қызметкерлер қорының ғимаратына тиген.
жапсырма: 0","A)
мәтін:  Катмандудағы жарылыстан 30 адам жарақат алды Непал астанасы Катмандуда орын алған жарылыстан кем дегенде 30 адам жарақат алды. Полицияның мәліметіне сүйенсек, бұл бомба болған. Жарылыс құрылысы жүріп жатқан үкіметке тиесілі 39-шы Қызметкерлер қорына тиген.
жапсырма: 0

B)
мәтін:  Катмандудағы жарылыстан 30 адам жарақат алды Непал астанасы Катмандуда болған жарылыста кем дегенде 30 адам жарақат алды. Полицияның деректері бойынша, бұл бомба болған. Жарылыс құрылыс барысында жүріп жатқан үкіметке тиесілі 39-шы Қызметкерлер қорында орын алды.
жапсырма: 0

C)
мәтін:  Катмандудағы жарылыстан 30 адам жарақат алды Непал астанасы Катмандуда болған жарылыстан кем дегенде 30 адам зардап шекті. Полицияның ақпараттарына қарағанда, бұл бомба болған. Жарылыс құрылыс барысында жүріп жатқан үкіметке тиесілі 39-шы Қызметкерлер қорына соқты.
жапсырма: 0

D)
мәтін:  Катмандудағы жарылыстан 30 адам жарақат алды Непал астанасы Катмандуда болған жарылыстан кемінде 30 адам жарақат алды. Полицияның мәліметіне сәйкес, бұл бомба болған. Жарылыс құрылыс жұмысында жүріп жатқан үкіметке тиесілі 39-шы Қызметкерлер қорына әсер еткен.
жапсырма: 0","мәтін:  Катмандудағы жарылыстан 30 адам жарақат алды Непал астанасы Катмандуда орын алған жарылыстан кем дегенде 30 адам жарақат алды. Полицияның мәліметіне сүйенсек, бұл бомба болған. Жарылыс құрылысы жүріп жатқан үкіметке тиесілі 39-шы Қызметкерлер қорына тиген.
жапсырма: 0","мәтін:  Катмандудағы жарылыстан 30 адам жарақат алды Непал астанасы Катмандуда болған жарылыста кем дегенде 30 адам жарақат алды. Полицияның деректері бойынша, бұл бомба болған. Жарылыс құрылыс барысында жүріп жатқан үкіметке тиесілі 39-шы Қызметкерлер қорында орын алды.
жапсырма: 0","мәтін:  Катмандудағы жарылыстан 30 адам жарақат алды Непал астанасы Катмандуда болған жарылыстан кем дегенде 30 адам зардап шекті. Полицияның ақпараттарына қарағанда, бұл бомба болған. Жарылыс құрылыс барысында жүріп жатқан үкіметке тиесілі 39-шы Қызметкерлер қорына соқты.
жапсырма: 0","мәтін:  Катмандудағы жарылыстан 30 адам жарақат алды Непал астанасы Катмандуда болған жарылыстан кемінде 30 адам жарақат алды. Полицияның мәліметіне сәйкес, бұл бомба болған. Жарылыс құрылыс жұмысында жүріп жатқан үкіметке тиесілі 39-шы Қызметкерлер қорына әсер еткен.
жапсырма: 0",A,A,A,A
" Avis миллиондаған доллар шығынға IT саласын кінәлайды Автокөлік жалдау компаниясы IT саласындағы мәселелерге, соның ішінде ERP жобасымен байланысты жоғары шығындарға байланысты үлкен шығынға ұшырады.",3,"мәтін:  Avis миллиондаған доллар шығынға IT саласын кінәлайды Автокөлік жалдау компаниясы IT саласындағы мәселелерге, соның ішінде ERP жобасымен байланысты жоғары шығындарға байланысты үлкен шығынға ұшырады.
жапсырма: 3","A)  
Avis миллиондаған доллар шығынға IT секторын кінәлайды Автокөлік жалдау компаниясы IT секторындағы мәселелерге, соның ішінде ERP жобасымен байланысты жоғары шығындарға байланысты үлкен шығынға тап болды.

B)  
Avis миллиондаған доллар шығынға IT индустриясын кінәлайды Автокөлік жалдау компаниясы IT индустриясындағы мәселелерге, соның ішінде ERP жобасымен байланысты жоғары шығындарға байланысты үлкен шығынға ұшырады.

C)  
Avis миллиондаған доллар шығынға IT саласын айыптайды Автокөлік жалдау компаниясы IT саласындағы мәселелерге, соның ішінде ERP жобасымен байланысты жоғары шығындарға байланысты үлкен шығынға душар болды.

D)  
Avis миллиондаған доллар шығынға IT секторын айыптайды Автокөлік жалдау компаниясы IT секторындағы мәселелерге, соның ішінде ERP жобасымен байланысты жоғары шығындарға байланысты үлкен шығынға тап болды.","Avis миллиондаған доллар шығынға IT секторын кінәлайды Автокөлік жалдау компаниясы IT секторындағы мәселелерге, соның ішінде ERP жобасымен байланысты жоғары шығындарға байланысты үлкен шығынға тап болды.","Avis миллиондаған доллар шығынға IT индустриясын кінәлайды Автокөлік жалдау компаниясы IT индустриясындағы мәселелерге, соның ішінде ERP жобасымен байланысты жоғары шығындарға байланысты үлкен шығынға ұшырады.","Avis миллиондаған доллар шығынға IT саласын айыптайды Автокөлік жалдау компаниясы IT саласындағы мәселелерге, соның ішінде ERP жобасымен байланысты жоғары шығындарға байланысты үлкен шығынға душар болды.","Avis миллиондаған доллар шығынға IT секторын айыптайды Автокөлік жалдау компаниясы IT секторындағы мәселелерге, соның ішінде ERP жобасымен байланысты жоғары шығындарға байланысты үлкен шығынға тап болды.",D,D,E,D
