question,предмет,выбор,отвечать,sheet
 Ошибка апелляции к анонимному авторитету состоит в следующем:, логические_ошибки," [«Рассуждение о том, что действие или серия действий должны быть совершены, потому что они не будут иметь существенных последствий, когда нет доказательств того, что последствий не будет». «Утверждение о том, что утверждение следует принять на основании доказательств того, что его принимает большое количество людей». «Утверждение о том, что что-то следует сделать, потому что это было сделано в прошлом». «Утверждение о том, что утверждение следует принять только на основании утверждения о том, что его принимают неустановленные органы власти».]",3,Sheet1
"Апоптоз, запрограммированная гибель клеток, является необходимым процессом в живых организмах. Какое из следующих утверждений об апоптозе НЕверно?", биология для старшей школы," «Это происходит случайным образом». «Определенная клетка погибает, когда она больше не нужна организму». «Клетка осуществляет апоптоз, когда накапливается слишком много мутаций». «Растительные клетки осуществляют апоптоз в качестве защитной меры в клетках, зараженных паразитами».",0,Sheet1
 Каково обоснование исчерпания внутренних средств правовой защиты в рамках международного права в области прав человека?, международное право,"«Правило о местных средствах правовой защиты направлено на то, чтобы освободить международные трибуналы для рассмотрения наиболее серьезных дел», «Правило о местных средствах правовой защиты направлено на то, чтобы отговорить заявителей, злоупотребляющих системой, от подачи ненужных ходатайств», «Правило о местных средствах правовой защиты, с одной стороны, направлено на ограничение объема ходатайств, подаваемых в международные трибуналы, а с другой — на укрепление потенциала местных судов», «Правило о местных средствах правовой защиты помогает продемонстрировать, что национальные суды всегда лучше подготовлены, чем международные, к рассмотрению дел».",2,Sheet1
"Какие из следующих утверждений верны относительно систем виртуальной памяти, использующих страницы? I. Виртуальное адресное пространство может быть больше объема физической памяти. II. Программы должны находиться в основной памяти на протяжении всего своего выполнения. III. Страницы соответствуют семантическим характеристикам программы.", колледж_информатики, ['Только я' 'Только II' 'Я и II' 'Я и III'],0,Sheet1
" Что из перечисленного необходимо как для парамагнетизма, так и для ферромагнетизма?", колледж_химия, ['Сильные окислительные условия' 'Низкоспиновая электронная конфигурация' 'Физические свойства металла' 'Неспаренные электроны'],3,Sheet1
"Студент колледжа владеет дорогим спортивным автомобилем. Однажды днем ему позвонил друг и попросил одолжить машину для свидания, которое у него было вечером. Студент любезно предоставил другу автомобиль. Возвращаясь домой со свидания, наслаждаясь воспоминаниями о прекрасном вечере, друг потерял контроль над машиной и сбил пешехода. В результате аварии, узнав, что у друга нет денег и страховки, пешеход подал иск против студента колледжа о возмещении ущерба за полученные травмы. Он предъявил иск за небрежное предоставление автомобиля. В ходе судебного разбирательства пешеход представил доказательства того, что друг ранее несколько раз попадал в аварии. В свою защиту студент колледжа представил показания своей девушки, которая подтвердила, что студент часто одалживал ему машину. Девушка также показала, что студент разрешал другу пользоваться машиной только после того, как убеждался, что тот — осторожный и внимательный водитель. Показания девушки...",профессиональное_право," ['Допустимо в качестве доказательства привычки.' 'Допустимо в качестве текущего чувственного впечатления.' 'Недопустимо, поскольку это касается характера студентки.' 'Недопустимо, поскольку она предвзята.']",2,Sheet1
" В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я надел роликовые коньки на катке. Сценарий 2 | Я напал на грабителя, проникшего в мой дом.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",3,Sheet1
"Дано, что прямоугольник со длиной $3x$ дюймов и шириной $x + 5$ дюймов обладает свойством, что его площадь и периметр равны. Чему равно $x$?", математика для старшей школы, ['1' '5' '\\frac{10}{3}' '\\frac{3}{10}'],0,Sheet1
 Ошибка _ignoratio elenchi_ также известна как, логические_ошибки, ['аргумент против личности' 'апелляция к состраданию' 'незнание опровержения' 'заблуждение 'ты тоже'],2,Sheet1
 Кто из перечисленных считает государства основными действующими лицами в международных отношениях?, внешняя политика США, ['Реализм' 'Идеализм' 'Либерализм' 'Ничего из вышеперечисленного'],0,Sheet1
 Какую из следующих групп пациентов следует обследовать с использованием шкалы раннего предупреждения (EWS)?, клинические_знания," ['Только пациенты старше 60 лет.' 'Только пациенты, поступившие в отделение неотложной помощи.' 'Только пациенты, находившиеся в отделении интенсивной терапии/реанимации.' 'Любой пациент, находящийся в остром состоянии до или после операции, а также те, кто перенес серьезную операцию.']",3,Sheet1
" Все перечисленные ниже явления являются электромагнитными волнами, ЗА ИСКЛЮЧЕНИЕМ", концептуальная_физика, ['микроволны' 'световые волны' 'рентгеновские лучи' 'Ничто не выходит за рамки семейства; все это электромагнитные волны'],3,Sheet1
" Утверждение 1 | Если конечная группа имеет порядок n, то группа содержит подгруппу порядка d для каждого положительного делителя d числа n. Утверждение 2 | Если a принадлежит конечной группе, то |a| делит |G|.", абстрактная_алгебра," ['Истина, Истина' 'Ложь, Ложь' 'Истина, Ложь' 'Ложь, Истина']",3,Sheet1
 Какая молитва является самой важной в иудаизме?, мировые религии, ['Шема' 'Сефирот' 'Второзаконие' 'Декалог'],0,Sheet1
"Степень, в которой человек верит, что может контролировать свою жизнь, определяется его __________.", деловая_этика, ['Моральное воображение' 'Личная целостность' 'Когнитивно-моральное развитие' 'Локус контроля'],3,Sheet1
"Предложенные Чарльзом Дарвином условия естественного отбора включают в себя все перечисленное ниже в отношении данной популяции, ЗА ИСКЛЮЧЕНИЕМ", колледж_биология," ['наследование как «приспособленных», так и «неприспособленных» генов' 'дифференциальная выживаемость и репродуктивный успех' 'конкуренция за ограниченные ресурсы' 'перепроизводство потомства']",0,Sheet1
Какой витамин необходим для усвоения кальция из тонкого кишечника?, питание, ['Витамин А' 'Витамин D' 'Витамин E' 'Витамин K'],1,Sheet1
 Ось вращения Земли наклонена под углом приблизительно ... относительно плоскости орбиты вокруг Солнца., астрономия," ['20,3 градуса' '21,4 градуса' '22,7 градуса' '23,5 градуса']",3,Sheet1
" Повышение цен на вилочные погрузчики, импортируемые в Соединенные Штаты из Бельгии, приведет к...", макроэкономика для старшей школы,"['повышают индекс потребительских цен и дефлятор ВВП.' 'повышают индекс потребительских цен, но не дефлятор ВВП.' 'повышают дефлятор ВВП, но не индекс потребительских цен.' 'не оказывают влияния на индекс потребительских цен или дефлятор ВВП.']",3,Sheet1
" Низкочастотное питание необходимо для индукционных печей прямого типа, потому что", электротехника," ['При нормальной частоте питания электромагнитные силы вызывают сильное перемешивание расплавленного металла.' 'Магнитная связь между первичной и вторичной цепями слабая.' 'И А, и В.' 'Ни один из вышеперечисленных вариантов.']",2,Sheet1
"Этот вопрос относится к следующей информации. «Аль-Завави также сказал: «Этот султан Муса сказал мне, что в городе под названием Зкри у него есть медный рудник, откуда слитки доставляются в Байти. В моем королевстве нет ничего, — сказал Муса, — на что не взимается пошлина, кроме этой необработанной меди, которую привозят. Пошлина взимается только с нее и ни с чего другого. Мы отправляем ее в землю языческого Судана и продаем ее за две трети ее веса в золоте, так что мы продаем 100 мер этой меди за 66 2/3 мер золота». Он также заявил, что в его королевстве есть языческие народы, с которых он не взимает дань (джизью), а просто нанимает их для добычи золота из месторождений». Золото добывается путем рытья ям глубиной примерно в человеческий рост, и золото находится вкрапленным в стенки ям или иногда собирается на их дне. Из книги Н. Левциона и Дж. Ф. П. Хопкинса (ред.). Корпус ранних арабских источников по истории Западной Африки. Издательство Кембриджского университета, 1981. Перепечатано с разрешения издательства Кембриджского университета. Аль-Умари, ок. 1300–1384. Какое из следующих утверждений наиболее подтверждается обсуждением меди и золота в данном отрывке?",история мира в старшей школе," «Мали могла изготавливать передовые бронзовые орудия труда из своих минеральных ресурсов». «Международная торговля с странами Африки к югу от Сахары включала обмен минеральными ресурсами». «Джизья могла взиматься только с неверующих, имевших полезные ископаемые для добычи». «Относительно передовые горнодобывающие технологии Мали обусловили ее минеральное богатство».",1,Sheet1
"Джонни и Сьюзи переезжают в Шотландию, чтобы отремонтировать и жить в семейном замке. Что делает их переезд миграцией?", география для старшей школы, «Они пересекают границы другой страны». «Они ничего с собой не берут». «Они переезжают навсегда». «Они пробудут здесь больше года».,2,Sheet1
" Если было отмечено негативное воздействие на какую-либо группу меньшинства, какой из следующих типов тестов, вероятно, имеет наилучшие шансы выдержать юридическую проверку?", профессиональная_психология, ['Проективный' 'Эмпирически обоснованный' 'Образец работы' 'Множественный выбор'],2,Sheet1
" Рассчитайте относительную заселенность энергетических уровней α и β спина для радикального вида с g = 2,05 на частотах L- и W-диапазонов (примите TS = 300 K).", колледж_химия," ['Nα/Nβ = 0,9800 в L-диапазоне; Nα/Nβ = 0,9509 в W-диапазоне 'Nα/Nβ = 0,9950 в L-диапазоне; Nα/Nβ = 0,9609 в W-диапазоне 'Nα/Nβ = 0,9910 в L-диапазоне; Nα/Nβ = 0,9709 в W-диапазоне 'Nα/Nβ = 0,9850 в L-диапазоне; Nα/Nβ = 0,9809 в W-диапазоне']",3,Sheet1
К чему из перечисленного относится термин «архаты»?, мировые религии, ['Просветлённые существа' 'Достойные' 'Святые' 'Мудрецы'],0,Sheet1
"Рабочий получил травму в результате неисправности оборудования, которое он использовал на работе. Рабочий подал иск в федеральный суд по делам, рассматриваемым на основании принципа разнообразия гражданства сторон, против производителя оборудования и компании, ответственной за его техническое обслуживание. На судебном процессе рабочий представил проект инструкции для присяжных по вопросу о халатности. Суд не принял предложенную инструкцию и вместо этого дал инструкцию по вопросу о халатности, которая, по мнению адвоката рабочего, была менее благоприятной и юридически неверной. Адвокат не возражал против инструкции по вопросу о халатности до ее предоставления. Присяжные вынесли вердикт в пользу ответчиков. Рабочий подал ходатайство о новом судебном разбирательстве на том основании, что инструкция суда по вопросу о халатности была неправомерной. Какой аргумент имеет наибольшие шансы убедить суд удовлетворить ходатайство?", профессиональное_право,"[«Вопросы права могут быть подняты в любое время». «Инструкция суда по делу о халатности была неверной, и возражение работника против нее было сохранено, когда он представил свою предложенную инструкцию по делу о халатности». «Инструкция суда по делу о халатности представляла собой явную ошибку, затронувшую существенные права работника». «Необходимость формального возражения против судебного решения для сохранения аргумента была устранена в Федеральных правилах гражданского судопроизводства».]",2,Sheet1
"Примерно сколько кДж энергии расходуется, если среднее потребление кислорода спортсменом в течение 5 минут упражнений составляет 3,0 л/мин?", клинические_знания, ['60 кДж' '150 кДж' '300 кДж' '500 кДж'],2,Sheet1
 В чём основное различие между краткосрочной и долгосрочной кривой Филлипса?, макроэкономика для старшей школы," ['Краткосрочная кривая Филлипса имеет нисходящий наклон, а долгосрочная кривая Филлипса — восходящий.' 'Краткосрочная кривая Филлипса имеет восходящий наклон, а долгосрочная кривая Филлипса — вертикальный.' 'Краткосрочная кривая Филлипса — горизонтальная, а долгосрочная кривая Филлипса — восходящий.' 'Краткосрочная кривая Филлипса имеет нисходящий наклон, а долгосрочная кривая Филлипса — вертикальный.']",3,Sheet1
"Определенный аутосомно-рецессивный признак проявляется у 1% населения. Предполагая, что популяция находится в равновесии Харди-Вейнберга, какой процент населения является носителями, но не проявляет признак?", биология для старшей школы, ['10%' '18%' '27%' '50%'],1,Sheet1
"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Я покормил её ногтями с пальцев рук и ног младенца. Сценарий 2 | Я потребовал сигарету у парня возле магазина.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",0,Sheet1
" Джек и Джилл начали переговоры о передаче бизнеса. Их переговоры продолжались некоторое время. Джек утверждает, что Джилл сделала предложение и дала обещание, которое он принял, дав взамен обещание. Джилл утверждает, что соглашение не соответствовало её намерениям. При определении того, был ли заключен договор, суды в первую очередь рассматривают следующие факторы:", профессиональное_право, ['Справедливость по отношению к сторонам'. 'Объективное намерение сторон'. 'Субъективное намерение сторон'. 'Субъективное намерение оферента'.],1,Sheet1
" Вы годами работали кассиром в супермаркете, и однажды вас заменили кассы самообслуживания. Какой это вид безработицы?", макроэкономика для старшей школы,['Циклический' 'Структурный' 'Сезонный' 'Фрикционный'],1,Sheet1
" «Лидер, способный к трансформационным изменениям, использует «формирование контекста» для того, чтобы:»", профессиональная_психология,['Сделать цели организации более значимыми для сотрудников'. 'Разъяснить последствия неудовлетворительной работы'. 'Уменьшить личные предубеждения при принятии решений'. 'Адаптировать свой стиль руководства к характеристикам подчиненных'.],0,Sheet1
" Простыми делителями числа являются 2, 5, 7, 13 и 31. Какой из следующих вариантов обязательно является делителем этого числа?", математика для старшей школы, ['4' '6' '10' '15'],2,Sheet1
 В настоящее время рекомендуются следующие меры:, питание," ['Всех младенцев следует кормить исключительно грудью до 6 месяцев', 'Введение твердой пищи следует начинать с 4 месяцев', 'Коровье молоко подходит для всех детей с 6 месяцев', 'Коровье молоко из бутылочки больше подходит для младенцев, чем грудное вскармливание']",0,Sheet1
" Статья Конституции о регулировании торговли была использована для того, чтобы", школьное_правительство_и_политика, ['освободить заключенных из тюрьмы после незаконного ареста' 'сохранить военно-морской флот' 'увеличить полномочия национального правительства' 'наложить вето на законодательные акты об осуждении без суда'],2,Sheet1
Температура плавления прямоцепочечных углеводородов повышается с увеличением числа атомов углерода. Причина этого заключается в следующем:, химия в старшей школе, ['увеличение массы соединений' 'увеличение полярности соединений' 'увеличение числа индуцированных диполей на молекулу' 'увеличение вероятности образования водородных связей'],2,Sheet1
" Уэст утверждает, что одной из причин, по которой этот вред остается незамеченным в США, является то, что люди в США", моральные_споры," [«Менее чувствительны к угрозам принуждения». «В целом более сексистски настроены, чем в других местах». «Склонны приравнивать законное к хорошему или безвредному». «Уэст на самом деле считает, что в США люди непропорционально чаще осознают этот вред».]",2,Sheet1
" Было ли доказано, что добавление в рацион жирорастворимых витаминов снижает риск сердечно-сосудистых заболеваний?", питание,['Витамин А и D' 'Витамин А и K' 'Витамин D и E' 'Ничего из вышеперечисленного'],3,Sheet1
" Предположим, что два спортсмена, А и В, обладают одинаковым уровнем мастерства. Предположим также, что А унаследовала от отца определенные черты характера, которые облегчали ей занятия спортом, и поэтому ей не приходилось тренироваться так усердно, как В. Согласно этике воли,", моральные_споры,"['А — лучший спортсмен.' 'Б — лучший спортсмен.' 'Б не считается спортсменом, потому что тренировки исключают спортивные достижения.' 'А и Б — одинаково хорошие спортсмены.']",1,Sheet1
 Что из перечисленного лучше всего характеризует точку зрения де Марнеффа?, моральные_споры," «Употребление, продажа и производство наркотиков должны быть законными». «Употребление, продажа и производство наркотиков должны быть незаконными». «Употребление наркотиков должно быть законным, но их продажа и производство должны быть незаконными». «Употребление наркотиков должно быть незаконным, но их продажа и производство должны быть законными».",3,Sheet1
 Какой из них не является элементом основных видов деятельности в цепочке создания стоимости?, управление, ['Закупки' 'Входящая логистика' 'Исходящая логистика' 'Сервис'],0,Sheet1
" января производитель виджетов получил электронное письмо от дистрибьютора виджетов по поводу закупки виджетов. Производитель отправил следующее ответное письмо: «У нас есть 1000 виджетов по 10 долларов каждый с доставкой в феврале. Обращаем ваше внимание, что это предложение будет действовать до 1 февраля». 31 января дистрибьютор отправил производителю следующий факс: «Ваше предложение принимается, но просим доставить 500 виджетов в феврале и 500 виджетов в марте». Производитель получил факс в тот же день, но не ответил. Какое из следующих утверждений наиболее точно отражает юридическую силу факса дистрибьютора от 31 января?", профессиональное_право,"[«Это представляет собой встречное предложение, поскольку содержит условия, отличающиеся от условий первоначального предложения». «Это представляет собой отказ, поскольку предложение подразумевало ограниченное принятие условий, содержащихся в нем». «Это создает юридически обязывающий договор с поставкой 500 виджетов в феврале и поставкой 500 виджетов в марте». «Это создает изменение, объединяющее условия обоих документов».]",2,Sheet1
" «Внутренняя критика» аргумента Уэллмана, предложенная Сарой Файн, направлена против его утверждения о том, что", моральные_споры," ['У нас есть абсолютное право на свободу ассоциаций (то есть право, которое ничто другое не может перевесить).' 'Свобода ассоциаций подразумевает, что легитимное государство имеет презумптивное право исключать кого угодно со своей территории.' 'Иммиграция вредна для американцев с низким доходом.' 'Эгалитаризм — это марксистская доктрина.']",1,Sheet1
"Женщина-арендатор неоднократно просила арендодателя произвести необходимый для ее безопасности ремонт, но арендодатель игнорировал ее просьбы. Позже арендатор была ограблена и избита злоумышленником. Она подала в суд на арендодателя за халатность, повлекшую причинение ей травм. Арендодатель ссылался на пункт об освобождении от ответственности в договоре аренды. Этот пункт, напечатанный мелким шрифтом на обратной стороне многостраничного, массово напечатанного типового договора аренды, представлял собой всеобъемлющий, юридически оформленный отказ, в котором арендатор практически полностью отказывалась от своих прав и средств правовой защиты против арендодателя. Она заявила, что этот пункт является несправедливым и не должен применяться. Какое решение, скорее всего, вынесет суд в отношении пункта об освобождении от ответственности?", профессиональное_право,"['Это не договор купли-продажи товаров. Принцип недобросовестности не применяется к соглашениям, не подпадающим под действие Единого коммерческого кодекса.' 'Оговорка об освобождении от ответственности должна быть исполнена, поскольку арендатор добровольно подписал договор аренды и согласился с его условиями, вместо того чтобы выбрать другое место жительства.' 'Эта оговорка не имеет юридической силы, поскольку она дискриминирует женщин, которые не могут обеспечить себе собственную безопасность.' 'Эта оговорка не имеет юридической силы, поскольку арендатор был обременен отсутствием переговорной силы, а положение было неясным и угнетающим.']",3,Sheet1
 Наиболее быстрый способ ресинтеза АТФ во время физических упражнений заключается в следующем:, колледж_медицина, ['гликолиз.' 'расщепление фосфокреатина.' 'цикл трикарбоновых кислот (цикл Кребса).' 'гликогенолиз.'],1,Sheet1
" В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Когда я выносил мусор, я добавил использованные бумажные тарелки. Сценарий 2 | Мне нужны были бриллианты, поэтому я купил их у ювелира.", моральные_сценарии,"['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",3,Sheet1
" Если в 2005 году в стране было произведено 200 компьютеров розничной стоимостью 100 000 долларов, но они не были проданы до 2006 года, то ВВП в 2005 году составит", макроэкономика для старшей школы," ['На 100 000 долларов больше благодаря компьютерам.' 'На 200 долларов больше благодаря компьютерам.' 'не изменится до 2006 года, когда компьютеры будут проданы, а данные по ВВП за 2005 год будут пересмотрены.' 'выше на оптовую стоимость компьютеров.']",0,Sheet1
" Двое братьев ворвались в дом президента банка и похитили его жену. Братья взяли жену в заложники, направили ей пистолет в голову и потребовали, чтобы она отвезла их на своей машине в их убежище. Когда жена ехала по улице, женщина с ребенком в коляске внезапно остановилась посреди перекрестка. Чтобы избежать столкновения с женщиной и ребенком, жена резко свернула влево и намеренно сбила прохожего, мгновенно убив его. Если жену впоследствии привлекут к ответственности за убийство прохожего, ее, скорее всего, найдут.", профессиональное_право,"['Виновна, потому что она намеренно резко свернула, сбив прохожего.' 'Невиновна по причине необходимости.' 'Невиновна по причине принуждения.' 'Невиновна по причине самообороны.']",1,Sheet1
 Что из перечисленного Домхофф не отнёс к процессам принятия решений в США?, социология, ['идеологический процесс' 'процесс эксплуатации' 'процесс формирования политики' 'процесс отбора кандидатов'],1,Sheet1
" Какой из следующих факторов с наибольшей вероятностью заставит бухгалтера отказаться от выполнения задания по составлению финансовой отчетности компании, не являющейся эмитентом ценных бумаг?", профессиональный_бухгалтерский_учет," [«Отсутствие разделения обязанностей в бухгалтерском и расчетном отделах организации». «Признаки того, что сообщения о присвоении активов не расследуются руководством». «Намерение организации исключить из финансовой отчетности практически все раскрытия информации, требуемые в соответствии с GAAP». «Подтверждение руководства, что финансовая отчетность будет включена в письменный личный финансовый план».]",1,Sheet1
"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Пока мой сосед по комнате спал, я удалил его эссе. Сценарий 2 | Во время поездки я наехал на лежачий полицейский.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",1,Sheet1
 Какой из следующих вопросов касается обнаружения сетевых вторжений и анализа трафика в реальном времени?, компьютерная_безопасность, ['Джон Потрошитель' 'L0phtCrack' 'Snort' 'Nessus'],2,Sheet1
В чём заключается основная патология астровирусов?, вирусология, ['Очень ограниченная репликация в кишечнике' 'Может вызывать инфекцию центральной нервной системы' 'Разнообразие последовательностей позволяет осуществлять широкую репликацию' 'Может вызывать инфекцию верхних дыхательных путей'],0,Sheet1
 Какой из следующих элементов не входит в модель пяти сил Портера для оценки конкурентоспособности отрасли?, маркетинг, ['Угроза товаров-заменителей'. 'Угроза со стороны поставщиков'. 'Власть покупателей'. 'Угроза со стороны правительства'.],3,Sheet1
Какое из следующих утверждений является лишним?, исследования безопасности," «Институты, способствующие воспроизводству культурных ценностей, такие как церкви и школы, могут использоваться для контроля и укрепления этих культурных ценностей». «Политико-националистические стратегии могут применяться государством для усиления националистических интересов». «Привлечение военных сил для изгнания определенных социальных групп из государства». «Сецессия позволяет социальной группе выйти из состава более крупного образования, где ей может угрожать ослабление или уничтожение».",2,Sheet1
" Какой из перечисленных видов деятельности не является элементом системы контроля качества аудиторской фирмы, который следует учитывать при разработке политики и процедур контроля качества?", профессиональный_бухгалтерский_учет," ['Принятие решения о принятии или продолжении клиентских отношений.' 'Отбор персонала для продвижения по службе, обладающего необходимой квалификацией.' 'Оценка способности клиента к созданию эффективных систем внутреннего контроля.' 'Мониторинг эффективности мероприятий по профессиональному развитию.']",2,Sheet1
" Согласно стандартам образовательного и психологического тестирования, при интерпретации и представлении результатов тестов следует...", профессиональная_психология,"['Сосредоточьте внимание на доверительном интервале оценки, а не на самой полученной оценке', 'используйте описательные метки, поскольку такие метки легко передают конкретный смысл большинству людей', 'подчеркните полученную оценку, поскольку она является наилучшей оценкой истинной оценки', 'исключите из рассмотрения потенциальное влияние ситуационных и демографических переменных']",0,Sheet1
