question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split
1255,"Before a proposal to merge two towns was placed on a ballot, the state attorney general issued an advisory opinion stating that the measure did not, in her opinion, violate any statutory or constitutional provisions. Thereafter, the proposal was placed on the ballot and was overwhelmingly passed by the voters in both towns. After the election, but before the merger had officially been carried out, two taxpayers from one of the towns initiated suit to enjoin the unification, attacking the constitutionality of the proposal. The suit reached the state supreme court and was found to be constitutional under both state and federal law. The plaintiffs now file a motion seeking to have thiscase reviewed by the U. S. Supreme Court. The Court may","not hear the case, because it was decided on independent state grounds.","not hear the case, because the U.S. Supreme Court does not have jurisdiction over state matters","not hear the case, but may have it remanded to federal district court.",hear the case because it involves a constitutional issue,"hear the federal issues involved, but decline to rule on the state issue.","hear the case, but only rule on the constitutionality of the merger",hear the case on the grounds that the plaintiffs have a right to a federal hearing,rely on the advisory opinion rendered by the state attorney general and not hear the case on its merits.,"not hear the case, because the U.S. Supreme Court does not review state supreme court decisions unless federal law is violated.","not hear the case, because the state supreme court's decision is final",A,0,law,ori_mmlu-professional_law,,test
2126,Discuss some applications of hypnosis.,"Hypnosis serves important medical, psychiatric purposes and is used as an experimental tool in psychology, an analgesic, to relieve stress, overcome undesirable habits, hasten healing process of wounds and for entertainment.",Hypnosis is a standard treatment for broken bones,Hypnosis is used only for entertainment purposes,Hypnosis is used exclusively for improving athletic performance,Hypnosis is primarily used to treat cancer,Hypnosis is a primary method for weight loss surgery,Hypnosis is used to induce hallucinations,Hypnosis can only be used to enhance memory recall,Hypnosis is used to cure common colds and flu,Hypnosis is employed solely to increase intelligence,A,0,psychology,stemez-Psychology,,test
6697,"Which of the following statements about the global ageing population is correct?
",In older age groups men outnumber women.,The rate of increase in the median age of populations is slower in developing countries than wealthy countries.,The global aging population is decreasing due to advancements in healthcare.,"By 2050, the majority of the world's population will be under the age of 40.","Men have a lower mortality rate than women, over the life course.",The rate of increase in the median age of populations is greater in developing countries than wealthy countries.,The majority of the world's elderly population is concentrated in developed countries.,"In older age groups, the number of men and women is equal.",,,F,5,health,ori_mmlu-nutrition,,test
1321,"A homeowner wished to have his house painted. He contacted a number of house painters in his area and asked them to submit bids to do the work. The homeowner received 10 bids. The first nine offered to paint the house for amounts ranging from $10,000 to $12,500. The 10th bid was sent by telegram and was supposed to be for $10,000. However, the telegraph company made a mistake and transmitted the bid as $1,000. The homeowner immediately accepted the 1 0th bid, but the 1 0 painter refused to perform. The I 0th painter's best defense in an action for breach of contract by the homeowner would be","that the homeowner should have been aware of the mistaken transmission, because of the disparity between its bid and the others.",that the telegraph company should be liable as an independent contractor.,that the homeowner deliberately exploited the telegraph company's mistake.,that the telegraph company's mistake nullifies the contractual agreement.,that the homeowner's immediate acceptance of the bid was unreasonable.,that the discrepancy between the bid and the actual cost of painting is too large.,that the homeowner was under an affirmative duty to investigate all submitted bids.,that the bid was not legally binding as it was sent via telegram.,that the homeowner failed to provide accurate specifications for the job.,,A,0,law,ori_mmlu-professional_law,,test
2646,Which of the following assessment measures is not used to assess symptom validity or malingering?,Minnesota Multiphasic Personality Inventory,Rey 15-Item Memory Test,Beck Depression Inventory,The General Aptitude Test Battery,Recognition Memory Test,Millon Clinical Multiaxial Inventory,Test of Memory Malingering,Wechsler Adult Intelligence Scale,The Differential Aptitude Test–5,Personality Assessment Inventory,I,8,psychology,ori_mmlu-professional_psychology,,test
689,Which of the following is typically not a result of recognizing the importance of ethnic groups by marketers?,Variations in product offerings to suit the wants of a particular group.,Use of an undifferentiated one-size-fits-all marketing strategy.,Promoting only mainstream products without considering ethnic preferences.,"Adaptation of the advertising, particularly the use of foreign languages, to the target ethnic market.",Not considering the influence of ethnic backgrounds on purchasing decisions.,Assuming all ethnic groups have the same consumer behavior.,Ignoring the ethnic diversity in the target market.,Study of ethnic buying habits to isolate market segments.,Neglecting to conduct market research on ethnic groups.,Disregard of cultural sensitivities in advertising campaigns.,B,1,business,ori_mmlu-marketing,,test
3754,Solve 6x^2 - 7x - 20 = 0.,"5/2, 4/3","-5/3, 4/2","5/3, -4/2","2, -10","4, -5","-5/2, 4/3","-5/6, 4/5","5/2, -4/3","5, 4","5, -4",H,7,chemistry,stemez-Chemistry,,test
4182,"Assume all gases are perfect unless stated otherwise. Unless otherwise stated, thermodynamic data are for 298.15 K. When $229 \mathrm{~J}$ of energy is supplied as heat to $3.0 \mathrm{~mol} \mathrm{Ar}(\mathrm{g})$ at constant pressure, the temperature of the sample increases by $2.55 \mathrm{~K}$. Calculate the molar heat capacities at constant pressure of the gas.",32$\mathrm{J} \mathrm{K}^{-1} \mathrm{~mol}^{-1}$,25$\mathrm{J} \mathrm{K}^{-1} \mathrm{~mol}^{-1}$,22$\mathrm{J} \mathrm{K}^{-1} \mathrm{~mol}^{-1}$,18$\mathrm{J} \mathrm{K}^{-1} \mathrm{~mol}^{-1}$,30$\mathrm{J} \mathrm{K}^{-1} \mathrm{~mol}^{-1}$,27$\mathrm{J} \mathrm{K}^{-1} \mathrm{~mol}^{-1}$,12$\mathrm{J} \mathrm{K}^{-1} \mathrm{~mol}^{-1}$,17$\mathrm{J} \mathrm{K}^{-1} \mathrm{~mol}^{-1}$,20$\mathrm{J} \mathrm{K}^{-1} \mathrm{~mol}^{-1}$,15$\mathrm{J} \mathrm{K}^{-1} \mathrm{~mol}^{-1}$,C,2,chemistry,scibench-atkins,,test
10412,"""Magic memory""' has two operations: Read and Clear. Both are indivisible and mutually exclusive. Clear sets the magic memory to zero. Read returns a value that represents the number of Read operations since the last Clear operation. Which of the following is (are) true of ""Magic memory""?
I. It can provide the functionality of an atomic Test-and-Set.
II. It can be used to coordinate processes running on a shared-memory multiprocessor.
III. It is only useful on a multiprocessor.",I only,II only,II and III,Only II and III,"I, II and III",None of the above,All of the above,I and III,I and II,III only,I,8,computer science,ori_mmlu-college_computer_science,,test
8147,"Lily is going to give away all the pieces of candy in a bag. She can give an equal number of pieces of candy to 5, 3, or 2 people. Which number of pieces of candy could be in Lily’s bag?",25,12,50,35,45,30,20,15,40,55,F,5,math,ori_mmlu-elementary_mathematics,,test
8032,"A teacher buys the folders listed below.
* 5 boxes of red folders with 36 folders in each box
* 6 boxes of blue folders with 32 folders in each box
Which number is closest to the total number of red and blue folders that the teacher buys?",460,340,500,520,600,440,275,550,420,380,J,9,math,ori_mmlu-elementary_mathematics,,test
11565,"Find the increase in heat exchange between two infinite black parallel plates initially at 100°F and 200°F respectively, when the temperature difference is increased by raising the temperature of the second plate to 400°F. Assume \sigma = 0.1714 × 10^-8 Btu/hr-ft^2-°R^4.",1100 Btu/hr-ft^2,930 Btu/hr-ft^2,289 Btu/hr-ft^2,482 Btu/hr-ft^2,345 Btu/hr-ft^2,612 Btu/hr-ft^2,975 Btu/hr-ft^2,769 Btu/hr-ft^2,860 Btu/hr-ft^2,157 Btu/hr-ft^2,F,5,engineering,stemez-TransportPhenomena,,test
12111,"12 gal/min of a liquid with a specific gravity of 1.3 is to be lifted with an air pump. If air can be obtained at 55 psig, and the liquid is to be raised 75 ft., determine the power needed using isentropic air compression. The pump has an efficiency of 30%.",2.0 hp,0.8 hp,1.8 hp,0.5 hp,1.2 hp,2.5 hp,3.0 hp,1.5 hp,0.6 hp,1.0 hp,E,4,engineering,stemez-TransportPhenomena,,test
4091,The following data show how the standard molar constant-pressure heat capacity of sulfur dioxide varies with temperature. By how much does the standard molar enthalpy of $\mathrm{SO}_2(\mathrm{~g})$ increase when the temperature is raised from $298.15 \mathrm{~K}$ to $1500 \mathrm{~K}$ ?,49.2 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,85.7 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,67.8 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,54.9 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,62.2 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,78.3 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,58.1 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,75.6 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,70.5 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,93.4 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,E,4,chemistry,scibench-matter,,test
1150,"A lumber mill contracted to deliver one thousand8-foot sheets of plywood to a home improvement store on the first of each month for 10 consecutive months starting June 1. The June, July, and August shipments were delivered on time and duly paid for. Then, on August 16, the lumber mill informed the store that the mill would not be able to meet the September 1 delivery date, because its lumber reserve had been destroyed by a forest fire. The mill then asked the store to excuse the mill from further performance. The store refused and demanded that the remaining shipments be delivered on time. When the September shipment failed to arrive, the store immediately brought suit for breach of contract. How would the court hold?","Judgment for the store, because the mill failed to have a contingency plan in place.","Judgment for the mill, because their performance would be discharged by impossibility.","Judgment for the store, because the mill should have foreseen such a contingency occurring.","Judgment for the store, because the mill's duties of performance would not be excused.","Judgment for the mill, because the forest fire caused an unforeseeable hindrance in performance.","Judgment for the mill, because their performance would be discharged by frustration of purpose.","Judgment for the mill, because the forest fire was an act of God and beyond their control.","Judgment for the store, because the mill had a contractual obligation to deliver the goods.","Judgment for the mill, because they had informed the store about the issue in advance.","Judgment for the store, because the mill could have sourced lumber from another location.",D,3,law,ori_mmlu-professional_law,,test
4576,How many calories of heat must be added to 3.0 liters of water to raise the temperature of the water from 20°C to 80°C?,360 Kcal,420 Kcal,90 Kcal,180 Kcal,120 Kcal,210 Kcal,240 Kcal,300 Kcal,600 Kcal,150 Kcal,D,3,chemistry,stemez-Chemistry,,test
11772,"(a) A shunt motor is running at 1200 rpm for a load which requires an armature current of 50 amp from a 230-volt source. At no load the armature current is 5 amp. If the effect of armature reaction has reduced the air-gap flux 2 percent from no load to full load, determine the no-load speed. The armature resistance is 0.15 ohm. (b) The rated line current of a 230-volt shunt motor is 56 amp. If the shunt-field circuit resistance is 230 ohms and the armature circuit resistance is 0.15 ohm, what would be the line current, assuming that the motor, at standstill, is connected across rated voltage ? How much external resistance must be connected in the armature circuit to limit the current at starting to 125 percent full-load armature current ?","No-load speed is 1000 rpm, Line current is 1400 amp, External resistance is 2.5 ohms","No-load speed is 1300 rpm, Line current is 1600 amp, External resistance is 3.5 ohms","No-load speed is 1220 rpm, Line current is 55 amp, External resistance is 0.3 ohms","No-load speed is 1280 rpm, Line current is 57 amp, External resistance is 0.45 ohms","No-load speed is 1230 rpm, Line current is 54 amp, External resistance is 0.35 ohms","No-load speed is 1250 rpm, Line current is 58 amp, External resistance is 0.25 ohms","No-load speed is 1150 rpm, Line current is 52 amp, External resistance is 0.4 ohms","No-load speed is 1211 rpm, Line current is 1534 amp, External resistance is 3.2 ohms","No-load speed is 1180 rpm, Line current is 60 amp, External resistance is 0.2 ohms","No-load speed is 1100 rpm, Line current is 1500 amp, External resistance is 3.0 ohms",H,7,engineering,stemez-ElectricalMachines,,test
974,"Is the ICJ hostile to the idea that an armed attack may arise through a series of lower intensity, yet cumulative, instances of armed force?",The ICJ has often supported the accumulation theory,"The ICJ considers each instance of armed force individually, not cumulatively",The ICJ has never addressed this issue,"The concept of an armed attack refers to a single attack, not multiple smaller instances of armed force",The ICJ has shown mixed views on the accumulation theory,In the Nicaragua case the ICJ dismissed the accumulation theory,The ICJ was not hostile to the accumulation theory,The ICJ has consistently rejected the concept of an armed attack arising from cumulative instances,The ICJ has yet to make a definitive ruling on the accumulation theory,The ICJ ruled in favor of the accumulation theory in the Bosnia and Herzegovina case,G,6,law,ori_mmlu-international_law,,test
9231,What is the minimum escape velocity of a spacecraft from the moon?,2100 $\mathrm{~m} / \mathrm{s}$,2470 $\mathrm{~m} / \mathrm{s}$,2600 $\mathrm{~m} / \mathrm{s}$,2380$\mathrm{~m} / \mathrm{s}$ ,3300 $\mathrm{~m} / \mathrm{s}$,1750 $\mathrm{~m} / \mathrm{s}$,1900 $\mathrm{~m} / \mathrm{s}$,2850 $\mathrm{~m} / \mathrm{s}$,2025 $\mathrm{~m} / \mathrm{s}$,1520 $\mathrm{~m} / \mathrm{s}$,D,3,physics,scibench-class,,test
5381,"At the time of independence, there were already hundreds of thousands of university graduates in ____, but hardly any at all in ____.","India, Congo","India, Australia","Congo, Australia","Australia, Congo","South Korea, Congo","South Korea, India","Congo, South Korea","Congo, India","South Korea, Australia","India, South Korea",A,0,other,ori_mmlu-global_facts,,test
4846,The possibility that Homo erectus possessed an aesthetic sense and may have created “art” is suggested by:,the discovery of figurines made from clay at the Trinil site.,recovery of a shell at the Trinil site with an intentionally engraved series of lines.,the use of complex tools requiring a high level of cognitive function.,cave paintings and elaborate burials with numerous grave goods at the Trinil site.,all of the above.,all of the above except B and D.,evidence of musical instruments found at the Trinil site.,"their ability to control fire, suggesting a deeper understanding of their environment.","the construction of elaborate shelters, indicating a sense of design.","the size of their brains, with a mean brain size slightly larger than modern humans.",B,1,history,ori_mmlu-prehistory,,test
3977,"If the height of a water column is 600 mm, what will be the height of the mercury column?",225 mm Hg,80.0 mm Hg,32.2 mm Hg,44.1 mm Hg,136 mm Hg,56.3 mm Hg,160 mm Hg,750 mm Hg,600 mm Hg,13.6 mm Hg,D,3,chemistry,stemez-PhysicalChemistry,,test
6110,"Over 1 year, a study is conducted to assess the antileukemic activity of a new tyrosine kinase inhibitor in patients with chronic myeloid leukemia in blast crisis. All patients enrolled in the study are informed that they would be treated with the tyrosine kinase inhibitor. They are assigned to successive dose cohorts of 300 to 1000 mg/day of the drug. Six to eight patients are assigned to each dose. Treatment efficacy is determined based on the results of complete blood counts and bone marrow assessments conducted regularly throughout the study. This study is best described as which of the following?",Prospective observational study,Randomized clinical trial,Quasi-experimental study,Retrospective study,Cohort study,Open-labeled clinical trial,Case-control study,Crossover study,Double-blind clinical trial,Longitudinal study,F,5,health,ori_mmlu-professional_medicine,,test
11167, Sandel's case against moral engineering can best be considered,an expression of the ethics of care.,a natural law theory approach.,an application of the ethics of prima facie duty.,a deontological approach.,an existentialist approach.,a virtue ethics approach.,a relativist approach.,a Kantian approach.,a consequentialist approach.,a utilitarian approach.,F,5,philosophy,ori_mmlu-moral_disputes,,test
7773,"A fluid has density $870 \mathrm{~kg} / \mathrm{m}^3$ and flows with velocity $\mathbf{v}=z \mathbf{i}+y^2 \mathbf{j}+x^2 \mathbf{k}$, where $x, y$, and $z$ are measured in meters and the components of $\mathbf{v}$ in meters per second. Find the rate of flow outward through the cylinder $x^2+y^2=4$, $0 \leqslant z \leqslant 1$.
",12 $\mathrm{kg}/\mathrm{s}$,20 $\mathrm{kg}/\mathrm{s}$,15 $\mathrm{kg}/\mathrm{s}$,10 $\mathrm{kg}/\mathrm{s}$,0 $\mathrm{kg}/\mathrm{s}$,5 $\mathrm{kg}/\mathrm{s}$,3 $\mathrm{kg}/\mathrm{s}$,30 $\mathrm{kg}/\mathrm{s}$,8 $\mathrm{kg}/\mathrm{s}$,25 $\mathrm{kg}/\mathrm{s}$,E,4,math,scibench-calculus,,test
9307,"A moving 1.5-kg cart collides with and sticks to a 0.5-kg cart which was initially at rest. Immediately after the collision, the carts each have the same ______ as each other.",Velocity,Potential energy,Torque,Gravitational pull,Kinetic energy,Linear momentum,Angular momentum,Acceleration,Force,Mass,A,0,physics,ori_mmlu-high_school_physics,,test
3922,Calculate the pressure required to compress 2 liters of a gas at 700 mm pressure and 20°C into a container of 0.1 liter capacity at a temperature of - 150°C.,6050 mm,5700 mm,5877 mm,5950 mm,5750 mm,5800 mm,5860 mm,6000 mm,5890 mm,5900 mm,C,2,chemistry,stemez-Chemistry,,test
510,"Suppose that:
The 1-year spot rate is 3%;
The 2-year spot rate is 4%; and
The 3-year spot rate is 5%. What is the price of a 100-par value 3-year bond paying 6% annual coupon payment?",100.00,92.85,95.25,105.30,120.75,115.80,107.45,98.60,110.50,102.95,J,9,business,theoremQA-Finance,,test
324,"On January 3, Mr.Totteninsured his store against fire loss for$350,000 at $.95 per $100, as well as the contents of the storefor $500,000 at $.86 per $100. On July 6 he canceled thepolicy. What was his refund?","$3,325","$2,973.75","$6,175.25","$7,625","$4,000.75","$4,651.25","$5,125.00","$2,250.00","$3,850.50","$3,500.00",F,5,business,stemez-Business,,test
11968,The ROM programmed during manufacturing process itself is called,PROM,MROM,DRAM,EPROM,SRAM,Cache Memory,VRAM,Flash Memory,RAM,EEPROM,B,1,engineering,ori_mmlu-electrical_engineering,,test
6327,If the human norovirus cannot be cultured in cell cultures how can it best be studied?,Volunteer studies,Animal studies using non-human primates,Through computer simulation models of the virus,By studying the virus's effect on plant cells,In cells using replicon systems,Animal models,By isolating the virus in a laboratory setting,In cells using non-replicon systems,Deductions from the 3 human ORF's of the virus genome,,A,0,health,ori_mmlu-virology,,test
4760,Which of the following dating techniques are based on the measurement of the amount of energy trapped in materials that have been heated at archaeological sites?,carbon-14 and uranium series dating,tephrochronology and electron spin resonance dating,dendrochronology and thermoluminescence dating,isotope-ratio mass spectrometry and fission track dating,lead-lead dating and uranium-thorium dating,luminescence dating and optically stimulated luminescence,argon/argon and potassium argon dating,archaeomagnetic and radiocarbon dating,X-ray fluorescence and paleomagnetic dating,potassium-argon and radiocarbon dating,F,5,history,ori_mmlu-prehistory,,test
769,"Calculate the Gross Domestic Product using the total expenditure approach:
Consumption Expenditures | $500 billion
Wages and salaries | $400 billion
(Gross Private) Investments Expenditures | $80 billion
Government Expenditures | $100 billion
Taxes | $70 billion
Imports | $50 billion
Exports | $30 billion
What is the GDP (in billions)?",700,730,710,760,640,680,650,720,750,660,J,9,business,theoremQA-Finance,,test
6519,The replication of hepatitis B includes which of the following stages?,Movement of intact virus to the cellular cytoplasm for replication,Conversion of relaxed circular viral DNA in to covalently closed circular (CCC) DNA in the nucleus,Virions produced in the cytoplasm by cellular DNA polymerase,Oncogenic activity to transform liver cells.,,,,,,,C,2,health,ori_mmlu-virology,,test
2048,Describe Sherman's and Key's (1932) study of the Hollow Children. What do their findings indicate about the effect of environment on intellectual development?,The study found no significant findings,Environment has no effect on intellectual development,The study shows that a deprived environment only affects intellectual development until a certain age,"The study concluded that intellectual development is solely determined by genetics, not environment",The findings indicate that a stimulating environment has no impact on intellectual development,Sherman and Key's study indicates that a deprived environment has a detrimental effect on intellectual development,The research indicates that changes in the environment can reverse any prior intellectual development deficits,A deprived environment enhances intellectual development,"Sherman and Key's research suggests that intellectual development is primarily influenced by peer interactions, not environment",Sherman and Key found that intellectual development is equally impacted by both deprived and enriched environments,F,5,psychology,stemez-Psychology,,test
4740,"This question refers to the following information.
The 1980s have been born in turmoil, strife, and change. This is a time of challenge to our interests and our values and it's a time that tests our wisdom and skills.
At this time in Iran, 50 Americans are still held captive, innocent victims of terrorism and anarchy. Also at this moment, massive Soviet troops are attempting to subjugate the fiercely independent and deeply religious people of Afghanistan. These two acts—one of international terrorism and one of military aggression—present a serious challenge to the United States of America and indeed to all the nations of the world. Together we will meet these threats to peace.…
Three basic developments have helped to shape our challenges: the steady growth and increased projection of Soviet military power beyond its own borders; the overwhelming dependence of the Western democracies on oil supplies from the Middle East; and the press of social and religious and economic and political change in the many nations of the developing world, exemplified by the revolution in Iran.
Each of these factors is important in its own right. Each interacts with the others. All must be faced together, squarely and courageously. We will face these challenges, and we will meet them with the best that is in us. And we will not fail.
—Jimmy Carter, State of the Union Address, January 23, 1980
The situation Carter described led most directly to which of the following?",The withdrawal of Soviet troops from Afghanistan,Carter's victory in the next presidential election,Carter's defeat in the next presidential election,An American invasion in the Middle East,The establishment of a new government in Afghanistan,An economic boom in the United States,The creation of the North Atlantic Treaty Organization (NATO),A diplomatic resolution with the Soviet Union,The establishment of the United Nations,The signing of a peace treaty with Iran,C,2,history,ori_mmlu-high_school_us_history,,test
3120,"In garden peas, the allele for tall plants (D) is completely dominant to the allele for dwarf plants (d) and the allele for violet flower color (W) is completely dominant to the allele for white flower color (w). In a cross between a tall violet plant, with the genotype DDWw, and a dwarf white plant, what phenotypic ratio of the progeny would be expected from this cross?",All dwarf white,1 tall violet: 2 tall white: 1 dwarf white,1 tall violet: 1 dwarf violet: 1 tall white: 1 dwarf white,All dwarf violet,1 tall violet: 1 tall white: 1 dwarf violet: 1 dwarf white,All tall violet,1 tall violet: 1 dwarf violet,2 tall violet: 1 dwarf violet: 1 dwarf white,1 tall violet: 1 dwarf white,1 tall violet: 1 tall white,J,9,biology,ori_mmlu-college_biology,,test
