question,тақырып,таңдаулар,жауап,sheet
" Сызықтық регрессияда регуляризация жазасын қолданғаннан кейін, w коэффициенттерінің кейбірі нөлге теңестірілгенін байқайсыз. Келесі жазалардың қайсысы қолданылған болуы мүмкін?", машиналық оқыту," ['L0 нормасы' 'L1 нормасы' 'L2 нормасы' 'не (а), не (b)']",3,Sheet1
 (1+i)^10 =, колледж_математика, ['1' 'i' '32' '32i'],3,Sheet1
 Роршах бойынша бірқатар конфабулативті жауаптар берген зерттелушінің сия дақының бір бөлігінен тұтас бөлігіне дейін жалпылауы бар. Мұндай жауаптар келесілердің қайсысын көрсетеді?, кәсіби_психология," ['жедел қанағаттануға деген қажеттілік' 'жоғары интеллект және шығармашылық' 'жоғары дәрежедегі қорғаныс немесе жоққа шығару' 'мидың зақымдануы, ақыл-ой кемістігі немесе эмоционалдық бұзылыс']",3,Sheet1
"Ағаш өңдеу зауыты 1 маусымнан бастап 10 ай бойы әр айдың бірінші күнінде үйді жөндеу дүкеніне 1000 футтық фанер парақтарын жеткізуге келісімшарт жасады. Маусым, шілде және тамыз айларындағы жеткізілімдер уақытында жеткізіліп, тиісті түрде төленді. Содан кейін, 16 тамызда ағаш өңдеу зауыты дүкенге ағаш қоры орман өртінен жойылғандықтан, зауыттың 1 қыркүйектегі жеткізу мерзімін орындай алмайтынын хабарлады. Содан кейін зауыт дүкеннен зауыттың одан әрі жұмыс істеуіне кешірім сұрады. Дүкен бас тартып, қалған жеткізілімдердің уақытында жеткізілуін талап етті. Қыркүйек айындағы жеткізілім келмеген кезде, дүкен дереу келісімшартты бұзғаны үшін талап арыз берді. Сот қалай шешім қабылдайды?", кәсіби_құқық,"[«Дүкенге үкім, себебі диірменнің орындау міндеттері ақталмайды». «Дүкенге үкім, себебі диірмен мұндай жағдайдың болатынын алдын ала білуі керек еді». «Диірменге үкім, себебі олардың жұмысы мүмкін емес болғандықтан жойылады». «Диірменге үкім, себебі олардың жұмысы мақсаттың бұзылуынан жойылады».",0,Sheet1
 В гепатитінің репликациясы келесі кезеңдердің қайсысын қамтиды?, вирусология,['Бүкіл вирустың репликация үшін жасуша цитоплазмасына жылжуы' 'Босаңсыған дөңгелек вирустық ДНҚ-ның ядродағы ковалентті түрде жабық дөңгелек (CCC) ДНҚ-ға айналуы' 'Цитоплазмада жасушалық ДНҚ полимеразасымен өндірілетін вириондар' 'Бауыр жасушаларын трансформациялау үшін онкогендік белсенділік.'],2,Sheet1
" Цицеронның айтуынша, «бұл идеядан артық зиянды ілім» болуы мүмкін емес:", философия, [«құдайлар біздің не істейтінімізге мән бермейді». «бір нәрсе моральдық тұрғыдан дұрыс болмаса да пайдалы болуы мүмкін». «моральдық дұрыстық адамның мәдениетіне қатысты». «кейде өтірік айтуға болады».],1,Sheet1
 «Жоспарлау мен өнімділік арасында айқын байланыс жоқ». Бұл лауазымды кім атқарады?, басқару, ['Майкл Портер' 'Милтон Фридман' 'Гари Хамель' 'Генри Минцберг'],3,Sheet1
"2020 жылғы жағдай бойынша АҚШ-тағы қарапайым моральдық стандарттарға сәйкес, осы екі сценарийдің қайсысы үшін басты кейіпкер (мен/мен/менің сөздерін қолданатын) моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-жағдай | Мен қызымның жүнге аллергиясы бар екенін білдім, сондықтан оны парсы мысығымен таң қалдырдым. 2-жағдай | Мен мектепке бармадым, себебі теледидар көргім келді.", моральдық_сценарийлер," ['Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес']",0,Sheet1
 Төмендегі мектеп саясатының қайсысы цифрлық алшақтыққа оң әсер етуі мүмкін?, орта мектеп_компьютер_ғылымы,[«Мектеп оқушыларға сыныптағы математикалық тапсырмаларды орындау үшін үйден графикалық калькулятор әкелуге рұқсат береді.» «Мектеп оқушыларға бағаланатын викториналарға қатысу үшін күн сайын сабаққа планшеттік компьютер әкелуге рұқсат береді.» «Мектеп мектепте оқитын барлық оқушыларға ноутбук немесе планшеттік компьютер береді.» «Мектеп барлық оқушыларға жобаларды жылдамырақ орындау үшін мүмкіндігінше өңдеу жылдамдығы жоғары компьютер сатып алуды ұсынады.»],2,Sheet1
Дәстүрлі болғандықтан ғана талапты автоматты түрде қабылдамау..., логикалық_қателіктері, ['Ақылға қонымды емес' 'Дәстүрге үндеу' 'Көпшілікке үндеу' 'Ақылға қонымды'],0,Sheet1
"Екі бірдей ыдыс әртүрлі газдармен толтырылған. 1-ші ыдыс сутегімен, ал 2-ші ыдыс азотпен толтырылған. Әрбір ыдыс зертханалық үстелге қойылып, бөлмемен жылулық тепе-теңдікке келтірілген. Төмендегілердің қайсысы екі газдың қасиеттерін дұрыс салыстырады?", орта мектеп_физикасы," ['Сутек газының орташа кинетикалық энергиясы азот газынан үлкен.' 'Сутек газының ыдысқа түсіретін орташа күші азот газынан үлкен.' 'Сутек газының тығыздығы азот газынан аз.' 'Әр ыдыстағы молекулалар санын білмей, газдардың қысымын салыстыру мүмкін емес.']",3,Sheet1
" Python 3 тілінде ['a', 'Chemistry', 0, 1][-3] дегеніміз не?", орта мектеп_компьютер_ғылымы, ['a' 'Химия' '0' '1'],1,Sheet1
 Оқу қабілетінің бұзылуы бар балалардың бойлық зерттеулері мынаны көрсетеді, кәсіби_психология," ['бұл балаларда әдетте есту қабілетінің бұзылуы байқалмайды'''оқу кезіндегі қалтырау әдетте қалыпты деңгейге жетпейді, себебі бұл балалар ересек жасқа жетеді'''бұл балалар әдетте спортта жақсы нәтижелерге жетеді'''оқу қабілетінің бұзылуы әдетте сөздік қорының төмен деңгейімен қатар жүреді''",1,Sheet1
" Егер екі тарап шабуыл жасамаса, ортадағы адам Диффи Хеллман әдісінің қауіпсіздігіне қауіп төндіруі мүмкін.", компьютер_қауіпсіздігі, ['Қосылды' 'Аутентификацияланды' 'Жіберілді' 'Ортақ пайдаланылды'],1,Sheet1
" Осы екі сценарийдің қайсысы үшін басты кейіпкер (мен/мен/менің сөздерін қолданатын) 2020 жылғы АҚШ-тағы қарапайым моральдық стандарттарға сәйкес моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-сценарий | Мен еденнен картоп фриін алып, тұтынушыға саттым. 2-сценарий | Мен тұтынушыға олардың еліне барғым келетінін айттым.", моральдық_сценарийлер," ['Қате, қате' 'Қате, қате емес' 'Қате емес, қате' 'Қате емес, қате емес' 'Қате емес, қате емес']",1,Sheet1
 Заңды акт дегеніміз не?, халықаралық құқық, ['Acts jure gestionis - бұл мемлекеттер жеке тұлға ретінде жүзеге асыратын әрекеттер' 'Мемлекеттің барлық сатып алулары jure gestionis әрекеттері болып табылады' 'Мемлекеттік корпорациялар жүзеге асыратын барлық әрекеттер jure gestionis болып табылады' 'Мемлекеттік лауазымды тұлғалардың бос уақытында жасайтын барлық әрекеттері jus gestionis болып саналады.'],0,Sheet1
 Төмендегі салық жүйелерінің қайсысы байлардан кедейлерге табысты қайта бөлуге арналған?, орта мектеп_микроэкономикасы, ['Прогрессивті салық жүйесі' 'Регрессивті салық жүйесі' 'Пропорционалды салық жүйесі' 'Акциздік салық жүйесі'],0,Sheet1
 Мидың келесі аймақтарының қайсысы бұғана асты артерияларының тармақтарымен қамтамасыз етіледі?, анатомия, ['Маңдай бөлігі' 'Шүйде бөлігі' 'Гипоталамус' 'Мишық'],3,Sheet1
"25 жастағы 3-параграф 2 жүкті әйел жүктіліктің 39 аптасында белсенді босану кезінде ауруханаға түсті. Оның толғақтары әр 4 минут сайын үнемі болып тұрды, бірақ қазір тек бірнеше үзік-үзік, әлсіз толғақтары бар. Соңғы 6 сағат ішінде ол екі рет ауырсынуды басатын дәрі қабылдаған. Тексеру барысында босанудың кедергісіне ешқандай себеп жоқ екені анықталды. Ұрықтың басы ілініп тұр, мембраналар бүтін, ұрықтың жүрек тондары қалыпты, жатыр мойны 100% жойылған және 7 см ашылған. Ең дұрыс емдеу -...", кәсіби_медицина, ['эпидуральды анестезияны енгізу' 'токолитикалық терапияны енгізу' 'жатыр мойнына жергілікті кортикостероидтарды қолдану' 'окситоцинмен босануды күшейту'],3,Sheet1
"2020 жылғы жағдай бойынша АҚШ-тағы қарапайым моральдық стандарттарға сәйкес, осы екі сценарийдің қайсысында басты кейіпкер (мен/мен/менің сөздерін қолданатын) моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-жағдай | Жұмыстан кейін мен баламды кешкі асқа тамақтандыру үшін тамақ дайындауды шештім. 2-жағдай | Балаға уақыт беру үшін тентек баланы бұрышқа отырғыздым.", моральдық_сценарийлер," ['Қате, қате' 'Қате, қате емес' 'Қате емес, қате' 'Қате емес, қате емес' 'Қате емес, қате емес']",1,Sheet1
 Бағдарламалық құжаттама туралы келесі тұжырымдардың қайсысы дұрыс?, орта мектеп_компьютер_ғылымы,"['Бағдарламалық құжаттама алғаш жазылғаннан кейін өзгертілмеуі керек.' 'Бағдарламалық құжаттама тек әзірленіп жатқан бағдарламалар үшін қажет; бағдарлама аяқталғаннан кейін қажет емес.' 'Бағдарламалық құжаттама бағдарламашылар бірлесіп жұмыс істеген кезде пайдалы, бірақ бағдарламашы жобамен жеке жұмыс істеген кезде емес.' 'Бағдарламалық құжаттама бастапқы бағдарламаны әзірлеу кезінде және бар бағдарламаларға өзгертулер енгізілген кезде пайдалы.'",3,Sheet1
"2020 жылғы жағдай бойынша АҚШ-тағы қарапайым моральдық стандарттарға сәйкес, осы екі сценарийдің қайсысы үшін басты кейіпкер (мен/мен/менің сөздерін қолданатын) моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-жағдай | Мен шіркеуге барғанды ұнатамын, себебі ол маған Құдайға өте жақын сезінуге көмектеседі. 2-жағдай | Жақсы баға алу үшін көршімнің сынағын қарадым.", моральдық_сценарийлер," ['Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес']",2,Sheet1
 ДНҚ-ны қандай биологиялық процесс репликациялайды?, әртүрлі, ['балқу' 'митоз' 'диффузия' 'перистальтика'],1,Sheet1
" Тайшон 56 мәрмәрді тең топтарға бөліп, бірде-бір мәрмәр қалдырмайды. Тайшон сұрыптаған мәрмәрлер тобына қатысты қай тұжырым дұрыс болуы мүмкін?", бастауыш_математика, ['Әр топта 8 мәрмәрден 6 мәрмәр тобы бар.' 'Әр топта 7 мәрмәрден 7 мәрмәр тобы бар.' 'Әр топта 7 мәрмәрден 8 мәрмәр тобы бар.' 'Әр топта 6 мәрмәрден 9 мәрмәр тобы бар.'],2,Sheet1
" Әрбір айнымалы бойынша бірдей 3 айнымалыны және бірдей 250 бақылауды пайдалана отырып, екі зерттеуші VAR бағалайды делік. Біреуі VAR(6) бағалайды, ал екіншісі VAR(4) бағалайды. Әрбір VAR үшін қалдықтардың дисперсия-коварияция матрицаларының детерминанттары сәйкесінше 0,0036 және 0,0049 құрайды. VAR(6)-ны VAR(4)-пен шектеуге бола ма деген тестті орындау үшін тест статистикасының мәндері қандай?", эконометрика, ['77.07' '0.31' '0.33' '4.87'],0,Sheet1
" Көп бағдарламалы жүйелерде редакторлар мен компиляторлар сияқты кейбір бағдарламаларды бірнеше пайдаланушы ортақ пайдалана алатын болса, тиімді болады. Бағдарламаның бір көшірмесін бірнеше пайдаланушы ортақ пайдалана алуы үшін келесілердің қайсысы көп бағдарламалы жүйелерге қатысты болуы керек? I. Бағдарлама макрос болып табылады. II. Бағдарлама рекурсивті. III. Бағдарлама қайта енгізіледі.", колледж_компьютер_ғылымы, ['Тек мен' 'Тек II' 'Тек III' 'Тек II және III'],2,Sheet1
 Бұл биомның қысы суық және қарағайлы ормандарымен танымал., орта мектеп_биологиясы, ['Шөл' 'Тундра' 'Тайга' 'Жапырақты ормандар'],3,Sheet1
 Төмендегілердің қайсысы ерекше?, қауіпсіздікті зерттеу,['Институционалдық шектеулер және ресурстардың шектеулері.' 'Ақпарат және уақыт көкжиегі.' 'Мақсаттар.' 'Экономикалық ынталандыру векторлары.'],3,Sheet1
 Емтихан алушының жұмысын белгілі бір қатысушылар тобының жұмысымен салыстыратын стандартталған тесттер немесе өлшемдер:, кәсіби_психология, ['Критерийлерге негізделген тестілеу' 'Функционалдық мінез-құлықты бағалау' 'Интеллектуалдық бағалау' 'Нормға негізделген тестілер'],3,Sheet1
 1-мәлімдеме | Сызықтық модельдердің L2 регуляризациясы модельдерді L1 регуляризациясына қарағанда сирек етеді. 2-мәлімдеме | Қалдық қосылымдарды ResNets және Transformers жүйелерінен табуға болады., машиналық оқыту," ['Шын, Рас' 'Жалған, Жалған' 'Шын, Жалған' 'Жалған, Рас']",3,Sheet1
" Осы екі сценарийдің қайсысы үшін басты кейіпкер (мен/мен/менің сөздерін қолданатын) АҚШ-тағы 2020 жылғы жағдай бойынша қарапайым моральдық стандарттарға сәйкес моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-сценарий | Жағажайда шыны ыдыстарға рұқсат етілмейді, сондықтан мен жабық тоңазытқышыма пластикалық бөтелкелерді салуды ұмытпаймын. 2-сценарий | Мен қарғаға қоқыстан көгерген тамақ бердім.", моральдық_сценарийлер," ['Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес']",2,Sheet1
 Альфа немесе бета бөлшегін шығаратын кез келген атом, тұжырымдамалық_физика, ['әрқашан басқа элементтің атомына айналады.' 'басқа элементтің атомына айналуы мүмкін.' 'сол элементтің басқа изотопына айналады.' 'массасын арттырады.'],0,Sheet1
 Төмендегілердің қайсысын тек оқу деректері сызықтық түрде бөлінетін болған кезде ғана қолдануға болады?, машиналық оқыту, ['Сызықтық қатты шекаралық SVM.' 'Сызықтық логистикалық регрессия.' 'Сызықтық жұмсақ шекаралық SVM.' 'Центроид әдісі.'],0,Sheet1
" Егер сынақтың стандартты өлшеу қателігі 15 ұпай болса, онда келесідей қорытынды жасау дұрыс болады", кәсіби_психология,"['тестілеу популяциясы үшін бақыланған баллдардың шамамен 68%-ы орташа баллдан 15 ұпай шегінде' 'берілген емдеу баллы бар адамдардың шамамен 68%-ы нақты баллдан 15 ұпай шегінде бақыланған баллдарға ие болады' 'балдардың шамамен 15%-ы қате (яғни, олар белгіні сенімді түрде өлшемейді)' '30 ұпайға дейінгі айырмашылықтар бірдей нақты баллды білдіреді']",1,Sheet1
 осі бойынша шектелген y = e^x және y = 2 аймағын айналдырғанда пайда болған қатты дененің көлемін табыңыз., орта мектеп математикасы, ['0.296' '0.592' '2.427' '3.998'],1,Sheet1
" Ұйымның соңғы пайдаланушы есептеу (EUC) саясатын қарап шыққаннан кейін, ішкі аудитор актуарийлік функцияны тексереді және кейбір минималды бақылау талаптарының жоқ екенін байқайды. Төмендегілердің қайсысы соңғы пайдаланушы әзірлеген файлдарды дұрыс емес пайдалану қаупіне жатады?", кәсіби_бухгалтерлік_есеп,"['Басшылық файлдарға негізгі жүйелерден жасалған файлдарға деген сенім деңгейін бірдей деңгейде қояды.' 'EUC файлдарында икемділіктің болмауына байланысты басшылық шешім қабылдау үшін шектеулі ақпарат алады.' 'Басшылық бәсекелестік қысымға тез жауап бере алмайды.' 'Басшылық қосымша шығындарды көтеруді жалғастыруда, себебі EUC арқылы тапсырмаларды орындау үшін көбірек сағат қажет.'",0,Sheet1
 ЖІӨ көрсеткіштері, орта мектеп_макроэкономикасы," [""ұлт шекарасындағы өндіріс."" ""ұлт азаматтарының қай жерде болса да өндірісі."" ""өндіріс факторларынан, амортизациядан және жанама бизнес салықтарынан түскен табыс."" '(A) және (C)']",3,Sheet1
" Би оқушысы аяқтарын нығайту үшін көп еңбек етті, соның ішінде көпқабатты үйіндегі бірнеше баспалдақтан секіру және көтерілу сияқты қосымша жаттығулар жасады. Ол жаттығулар жасап жатқанда, ғимараттағы күзетшілердің бірі оған «егер осылай жалғастыра берсе, жарақат алуы мүмкін, себебі еденде проблемалар бар» деп ескертті. Бос еден тақтайынан құлап, аяғын сындырғаннан кейін, ол ғимарат иесіне қарсы сотқа шағымданды. Ғимарат иесі былай деп куәлік бергісі келеді: «Күзетші маған «Мен оған тым жылдам жүгіру қауіпті екенін және ол жарақат алуы мүмкін екенін айттым» деді». Ғимарат иесінің мәлімдемесі қабылдануы мүмкін бе?", кәсіби_құқық,"['Иә, себебі бұл қарсылас тарапқа өздігінен мәлімдеме ретінде қауесетке ерекшелік.'' Иә, себебі ғимарат иесі куәлік бере алады және күзетшінің айтқаны бойынша сұрақ қойылуы мүмкін.'' Жоқ, себебі бұл маңызды емес және маңызды емес.'' Жоқ, себебі бұл қауесет ішіндегі қауесет, және қолданылатын қауесетке ерекшеліктер жоқ.']",3,Sheet1
"1985 жылы үй иесі қайтыс болды. Оның өсиеті бойынша оңтүстік штаттағы мүлкі ағасы мен ең жақын досына «ортақ жалға алушылар ретінде бөлісуге және тең бөлісуге» берілген. Үй иесі қайтыс болған кезде ағасы оңтүстік штаттың басқа бөлігінде (мүлік орналасқан жерде) тұрған, ал ең жақын досы солтүстік штатта тұрған. Үй иесінің жерлеу рәсімінен кейін ағасы өз үйіне оралды, бірақ ең жақын досы мүлікті иеленуді шешті. Ол пошта жәшігіне өз атын жазып, салықтар мен күтіп ұстау шығындарын төледі. Қосымша ақша табу үшін ең жақын досы мүліктегі кішкентай үйді мұғалімге жалға беріп, одан ай сайынғы жалдау ақысын алды. Ең жақын досы сонымен қатар мүлікте жеміс өсіріп, оларды жұма күндері дүңгіршекке сатты. Ағасы бұл туралы жалпы білетін, бірақ мүлікке онша мән бермегендіктен, ағасы ешқашан ең жақын досына мүлік туралы қысым жасамаған. 1985 жылдан бері ағасы ең жақын досына ешқандай жалдау ақысын немесе басқа өтемақы төлемеді, сондай-ақ ең жақын досы мұндай төлемді сұраған емес. 2010 жылдың қаңтарында ағасы мен ең жақын досы арасында алғаш рет мүлікке қатысты тиісті құқықтарына қатысты бірқатар даулар туындады. Мүлік орналасқан штат әдеттегі жалпы құқық түрлерін мойындайды және жалдау ақысы мен пайдаға қатысты көпшілік ережелерін сақтайды. Бұл мәселе бойынша қолданыстағы заңнама жоқ. Ағасы ең жақын досының жеміс сататын дүкенінен алған түсімінің бір бөлігін және мұғалім төлеген жалдау ақысының бір бөлігін алу үшін тиісті талап арыз береді. Егер ең жақын досы алған ақшасының бөлінуіне қарсы болса, сот шешімі кімнің пайдасына шығарылуы керек?",кәсіби_құқық," [«Меншік иесі ретінде ең жақын досы егінінен түскен пайданы және мұғалім төлеген жалдау ақысын өзінде қалдырады». «Меншік иесі ретінде ең жақын досы егінінен түскен пайданы өзінде қалдырады, ал ағасы мұғалім төлеген жалдау ақысының бір бөлігіне құқылы». «Ағасы мұғалім төлеген жалдау ақысының бір бөлігіне және ең жақын досының егінінен түскен пайдаға құқылы». «Ағасы жиналған ақшаның бір бөлігіне де құқылы емес, себебі ағасының ең жақын досымен байланысының болмауы бас тарту болып саналады».]",1,Sheet1
"Дәріхананың иесі дүкенді жөндеу үшін тәуелсіз мердігерді жалдады. Басқа нәрселермен қатар, жөндеу жұмыстарына пластиналы әйнектен жасалған жаңа кіреберіс есікті орнату кірді. Мердігер есікті әйнек есік компаниясынан сатып алды. Шыны есік компаниясының сату өкілі мердігер мен иесіне пластиналы әйнектің «өте қауіпсіз» екенін және айтарлықтай қысымға төтеп бере алатынын айтты. Мердігер есікті орнатты, басқа жөндеу жұмыстарын аяқтады, ал дүкен сол айдың соңында қайта ашылды. Бірнеше аптадан кейін сатып алушы мен оның 9 жасар ұлы дәріханаға тауарлар сатып алу үшін барды. Олар дүкенге жақындағанда, ұлы анасынан алда секіріп келе жатты. Есікке бірнеше қадам қалғанша, ол ашық деп ойлады. Оның шынымен жабық екенін түсінгенде, ол баяулады және «жүруден жылдамырақ жүріп» есікті ашу үшін қолын тұтқаға басты. Оның қолы тұтқадан сырғып кетті және сол уақытта «жарылыс дыбысы» естілді. Ақаулық салдарынан әйнек сынып, ұлының қолы мен білегін кесіп тастады. Кейінгі тексеру мердігердің шыны есікті абайсызда орнатқанын анықтады. Егер сатып алушы ұлының атынан шыны есік компаниясына қатаң өнім жауапкершілігіне негізделген талап арыз берсе, талапкер",кәсіби_құқық," ['басым, себебі шыны есік ақаулы болды.' 'басым, себебі сату өкілі тақтайшалы әйнекті «өте қауіпсіз» деп көрсетті.' 'басым емес, себебі мердігер тақтайшалы әйнекті есікті абайсызда орнатқан.' 'басым емес, себебі ұлы абайсызда шыны есікті итеріп ашқан.']",0,Sheet1
" 350 м/с жылдамдықпен қозғалатын дыбыс толқындары диаметрі 0,14 м болатын ұзын тікбұрышты саңылауы бар динамик корпусынан дифракцияланады. Дыбыс шамамен қандай жиілікте нормальдан динамик бетіне 45q бұрышпен жоғалады?", колледж_физикасы," ['500 Гц' '1,750 Гц' '2,750 Гц' '3,500 Гц']",3,Sheet1
 Төмендегі құрылым жұптарының қайсысы гомологияны білдіру ықтималдығы ең аз?, орта мектеп_биологиясы,['Жарқанаттың қанаттары мен адамның қолдары' 'Бабуин мен горилланың гемоглобині' 'Өсімдік пен жануардың митохондриялары' 'Құс пен жәндіктің қанаттары'],3,Sheet1
Үшбұрыштың ең ұзын қабырғасы 10-ға тең. Төмендегілердің қайсысы қалған екі қабырғасының ұзындықтары БОЛМАЙДЫ?, орта мектеп математикасы," ['4, 7' '5, 5' '3, 9' '9, 8']",1,Sheet1
 Каратэ шпаты сынған тақтайға 3000 Н күш түсіреді. Бұл жаттығу кезінде тақтайдың қолға әсер ететін күші..., тұжырымдамалық_физика, ['3000 N-нан аз' '3000 N' '3000 N-нан үлкен' 'Қосымша ақпарат қажет'],1,Sheet1
"Бір әйел тұңғышына жеті айлық жүкті еді. Бір күні түстен кейін әйел үйінің ас үйінде тамақ дайындап жатқанда, терезеден қарап, қорқынышты қылмыстың жасалып жатқанын көрді. Әйел жергілікті банда мүшесінің тапаншасын суырып алып, қарсылас банда мүшесін атып жатқанын қорқынышпен бақылап тұрды. Банда мүшесі ешкімнің оның жәбірленушіні атып жатқанын көріп тұрғанын білмеді. Әйел жәбірленушінің көршісінің алдындағы көгалға құлап, өліп қалғанын бақылап тұрды. Бұл қорқынышты оқиғаны көргеннен кейін алған шок салдарынан әйел түсік тастады. Егер әйел жәбірленушіні атып тастаған жергілікті банда мүшесіне қарсы талап қойса, әйел...", кәсіби_құқық,"['қайта қалпына келу, себебі ол тек эмоционалдық зиян емес, физикалық жарақат алды.' 'қайта қалпына келу, себебі банда мүшесі жәбірленушіні атып өлтіруде әдейі әрекет етті.' 'қайта қалпына келмеу, себебі әйел қауіпті аймақта болмаған.' 'қайта қалпына келмеу, себебі банда мүшесі әйелдің бақылап тұрғанын білмеген.'",3,Sheet1
" Ғарышкер массасы мен радиусы Жердің массасынан екі есе үлкен планетаға қонды. Егер ғарышкердің Жердегі салмағы 800 Н болса, онда ол осы планетада қанша салмақ түсіреді?", орта мектеп_физикасы,['200 N' '400 N' '800 N' '1600 N'],1,Sheet1
"Егер купон төлемейтін бес жылдық облигацияның (номиналды құны 100 доллар) кірістілігі 4% болса, оның бағасы қандай?", кәсіби_бухгалтерлік_есеп, ['100$' '85$' '82$' '75$'],2,Sheet1
