question,предмет,выбор,отвечать,sheet
" Какая из следующих вероятностей является совместной вероятностью H, U, P и W, описываемой данной байесовской сетью H -> U <- P <- W? [примечание: как произведение условных вероятностей]", машинное обучение,"['P(H, U, P, W) = P(H) * P(W) * P(P) * P(U)' 'P(H, U, P, W) = P(H) * P(W) * P(P | W) * P(W | H, P)' 'P(H, U, P, W) = P(H) * P(W) * P(P | W) * P(U | H, P)' 'Ни один из вышеперечисленных']",2,Sheet1
"Как называется стиль руководства, учитывающий взгляды, мнения и идеи других людей?", управление, ['Невмешательство' 'Ориентированность на людей' 'Демократический' 'Автократический'],2,Sheet1
" Три недели назад 45-летний мужчина был госпитализирован с обморожением обеих стоп. Ему было проведено быстрое согревание и защитный уход за стопами. Все пальцы на правой стопе почернели. В последние несколько дней у него поднялась небольшая температура, и его состояние постепенно ухудшалось. При осмотре выявлен целлюлит в средней части стопы. Какое из следующих методов лечения является наиболее подходящим?", профессиональная_медицина,['Ампутация' 'Нанесение коллагеназы на кожу' 'Удаление некротизированной кожи над пальцами ног' 'Гипербарическая оксигенация'],0,Sheet1
"Каренс утверждает, что политика исключения не всегда подразумевает превосходство защищаемой культуры и людей, потому что", моральные_споры," «Такая политика фактически подразумевает, что защищаемая культура является неполноценной». «Исключение может просто отражать привязанность к тому, что является собственным (а не веру в превосходство)». «Превосходство и неполноценность — это по своей сути субъективные понятия». «Только превосходящие культуры обладают свободой передвижения».",1,Sheet1
 Какое число имеет абсолютное значение больше 5?, элементарная_математика, ['-6' '-5' '0' '5'],0,Sheet1
 Какие особенности отличают социально-экономические анализы внешней политики США в период холодной войны?, внешняя политика США, ['Акцент на классовых и экономических интересах' 'Акцент на либеральной идеологии' 'Акцент на языке и культуре' 'Все вышеперечисленное'],0,Sheet1
 Как мы узнаем возраст Земли?, астрономия, ['Из расслоения материалов внутри Земли'. 'Из окаменелостей древней жизни'. 'Из истории образования кратеров на поверхности Земли'. 'Из радиоактивного датирования горных пород и метеоритов'.],3,Sheet1
" В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Я планирую сводить девушку своего лучшего друга в кино, чтобы завоевать её расположение. Сценарий 2 | Я дал больному ребёнку двести таблеток ибупрофена от температуры.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",0,Sheet1
" Какое из следующих утверждений относительно саркомера поперечно-полосатой мышцы (например, скелетной мышцы) является правильным?", колледж_биология, ['Во время сокращения H-зоны удлиняются.' 'В расслабленном положении тропомиозин препятствует доступу миозина к месту связывания актина.' 'Каждый спиральный хвост миозина содержит место связывания актина и место гидролиза АТФ.' 'Белки тропонин и тропомиозин образуют соответственно толстые и тонкие филаменты.'],1,Sheet1
 Какой из следующих пунктов обычно считается недостатком лонгитюдных исследований развития?, психология старшей школы, ['Только I' 'Только II' 'Только III' 'Только I и II'],3,Sheet1
" Фигура состоит из 12 прямоугольных треугольников одинакового размера. Основание каждого прямоугольного треугольника равно 4 см, а высота — 5 см. Какова общая площадь фигуры в квадратных сантиметрах?", элементарная_математика, ['10' '60' '120' '240'],2,Sheet1
" Аргумент в пользу того, что гоминиды изготавливали и использовали каменные орудия по меньшей мере 3,3 миллиона лет назад, подтверждается следующими данными:", доисторический период," [«Следы разрезов на костях животных, оставленные при разделке туш кусками камня». «Анатомия кистей австралопитека африканского и аналогии с исследованиями ныне живущих нечеловеческих приматов, демонстрирующие использование орудий труда». «Простые каменные нуклеусы, наковальни и отщепы, найденные на стоянке Ломекви 3 в Западной Туркане, Кения». «Все вышеперечисленное».]",3,Sheet1
"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Я напал на домовладельца. Сценарий 2 | Я разорвал и изрезал бумагу с подарков на дне рождения.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",1,Sheet1
"Подсудимый хотел, чтобы его школьная баскетбольная команда выиграла чемпионат штата. Во время важной игры подсудимый вытащил пистолет и выстрелил в ногу ключевому игроку команды соперника. Подсудимый намеревался лишь нанести легкое ранение, чтобы игрок соперника не смог доиграть матч. Когда подсудимый произвел выстрел, он непреднамеренно попал в грудь игроку своей собственной школьной команды, убив его мгновенно. Какое самое серьезное преступление может быть совершено в отношении подсудимого?", профессиональное_право, ['Убийство.' 'Умышленное убийство.' 'Непредумышленное убийство.' 'Нанесение побоев.'],0,Sheet1
" Если проницаемость подпочвы высокая, то её текстура, скорее всего, будет классифицирована следующим образом:", разнообразный, ['крупный' 'средний' 'мелкий' 'илистый'],0,Sheet1
 Перед началом составления финансовой отчетности неэмитента бухгалтер обязан выполнить следующие действия:, профессиональный_бухгалтерский_учет," ['Проверьте, соответствует ли предоставленная организацией финансовая информация данным бухгалтерского учета.' 'Проведите предварительные аналитические процедуры для выявления счетов, которые могут представлять собой специфические риски, имеющие отношение к данному заданию.' 'Задайте руководству вопросы о процедурах организации, используемых для корректировки и закрытия бухгалтерских книг.' 'Получите представление о любых специализированных системах и практиках финансовой отчетности, используемых в отрасли организации.']",3,Sheet1
" Какие из перечисленных способностей, по мнению Каррутерса, животные не обладают?", моральные_споры,['способность к страданию' 'способность к практическому рассуждению' 'способность к рациональному мышлению' 'способность к сознательному опыту'],2,Sheet1
 Что из перечисленного верно для всех оснований?, химия в старшей школе," Все основания отдают ионы OH- в раствор. Только сильные основания создают растворы, в которых присутствуют ионы OH-. Только сильные основания являются хорошими проводниками при растворении в растворе. У слабых оснований концентрация ионов OH- превышает концентрацию основания в растворе.",2,Sheet1
 Где расположены жизненно важные центры в стволе головного мозга?, анатомия, ['средний мозг' 'мост' 'продолговатый мозг' 'мозжечок'],2,Sheet1
 Как обеспечить попадание значительной части лекарственного препарата в нижние дыхательные пути при обучении пациента правильной технике использования ингалятора?, клинические_знания," «Попросите их сделать много коротких, быстрых вдохов перед использованием ингалятора. Попросите их дышать нормально при использовании ингалятора. Попросите их выполнить процедуру как можно быстрее. Попросите их задержать дыхание в конце вдоха при использовании ингалятора».",3,Sheet1
" В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Когда я собирался покинуть отель, мой чемодан был переполнен сувенирами. Сценарий 2 | Я разрезал и разделил младенца.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",2,Sheet1
"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я наполнил чашку посетителя обычным кофе, потому что знал, что он предпочитает кофе без кофеина. Сценарий 2 | Я дал брату ёршик для унитаза, чтобы он почистил зубы.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",0,Sheet1
" Ваша тетя управляет небольшой фирмой по выпечке яблочных пирогов из своего дома. Она нанимает нескольких друзей в качестве помощников. Какая из следующих ситуаций, скорее всего, увеличит ее потребность в рабочей силе?", микроэкономика для старшей школы," ['Цена на приспособления для чистки и удаления сердцевины яблок растет.' 'Подруги вашей тети сплетничают весь день, замедляя процесс приготовления теста.' 'На духовки действует распродажа.' 'Новое исследование показывает, что яблоки повышают риск развития рака.']",2,Sheet1
"Однажды ночью обвиняемый вошел в винный магазин, направил пистолет на кассира и потребовал деньги из кассы. Кассир нервничала и двигалась медленно, и когда она случайно рассыпала все деньги из сумки на пол, обвиняемый выстрелил в нее и скрылся. Пуля застряла рядом с позвоночником кассира, парализовав ее. Впоследствии обвиняемый был привлечен к ответственности и осужден за ограбление и нападение с применением смертельного оружия. Два месяца спустя кассир решила сделать операцию по удалению пули. Врачи предупредили кассира, что процедура очень рискованна и может привести к смерти. Кассир согласилась на операцию и, к сожалению, скончалась. Если обвиняемого теперь привлекут к ответственности за убийство, совершенное при отягчающих обстоятельствах, его следует найти.", профессиональное_право,"[«Невиновен, поскольку не был причиной смерти кассира». «Невиновен, поскольку последующее судебное преследование нарушает принцип недопустимости двойного наказания». «Невиновен, поскольку кассир решил сделать операцию, зная о рисках». «Виновен, поскольку был причиной смерти кассира».]",3,Sheet1
 Какое из этих утверждений определяет точку зрения Копенгагенской школы на безопасность?, исследования безопасности,"«Безопасность — это социально сконструированное понятие, зависящее от общества, в котором она существует, и, следовательно, то, что будет представлять собой экзистенциальную угрозу, является субъективным». «Безопасность лучше всего определяется с использованием традиционной парадигмы, где государство является объектом, который необходимо защищать с помощью чрезвычайных мер, где это возможно». «Для наилучшего понимания безопасности необходимо принять конструктивистский подход: угрозы существуют только тогда, когда они озвучиваются более широкой аудиторией и могут потребовать принятия чрезвычайных мер». «Безопасность существует как эмпирически проверяемое и независимое условие, которое лишь незначительно, если вообще изменяется, в зависимости от социального контекста, в котором оно применяется».",0,Sheet1
" Существуют три действительных числа $x$, которые не входят в область определения функции $f(x) = \frac{1}{1+\frac{1}{1+\frac 1x}}.$$ Чему равна сумма этих трех чисел?", математика для старшей школы, ['1' '0' '-1.5' '-1'],2,Sheet1
 Субатомная частица с наибольшей проникающей способностью — это, химия в старшей школе,['бета-частица' 'нейтрон' 'протон' 'альфа-частица'],0,Sheet1
" Какое из приведенных ниже утверждений верно относительно следующего аргумента? «Если небо голубое, дождя не будет. Сегодня небо голубое. Следовательно, дождя не будет».", логические_ошибки,['Это формально допустимый категорический силлогизм' 'Это формально недопустимый дизъюнктивный силлогизм' 'Это формально допустимый условный силлогизм' 'Это формально недопустимый условный силлогизм'],2,Sheet1
"Молодой человек предложил своему другу украсть большой телевизор из дома соседа. Друг рассердился на молодого человека и решил воспользоваться случаем, чтобы отомстить ему, добившись его ареста. Друг сказал, что поможет, и в тот же вечер отвёз молодого человека к дому соседа. Молодой человек взломал дверь, пока друг оставался снаружи. Друг позвонил в полицию по мобильному телефону и уехал. Полицейские прибыли на место происшествия как раз в тот момент, когда молодой человек выносил телевизор через заднюю дверь. В данной юрисдикции преступления определяются по общему праву. За какое преступление, если таковое имеется, друг может быть надлежащим образом осуждён?", профессиональное_право, ['Преступления нет.' 'Заговор.' 'Кража со взломом.' 'Заговор и кража.'],0,Sheet1
" Утверждение 1 | В сетях VGGNet сверточные ядра имеют меньшую ширину и высоту, чем ядра первого слоя AlexNet. Утверждение 2 | Процедуры инициализации весов, зависящие от данных, были введены до пакетной нормализации.", машинное обучение," ['Истина, Истина' 'Ложь, Ложь' 'Истина, Ложь' 'Ложь, Истина']",0,Sheet1
"Было обнаружено новое растение, у которого выявлено необычно малое количество устьев на нижней стороне листьев. К какой среде это растение, скорее всего, лучше всего приспособлено?", биология для старшей школы, ['Холодно и дождливо' 'Влажно и солнечно' 'Жарко и сыро' 'Жарко и сухо'],3,Sheet1
" В каком случае государство, в соответствии с положением Четырнадцатой поправки, имело бы наибольшие возможности для регулирования?", профессиональное_право,['Запрет частному лицу дискриминировать человека по расовому признаку.' 'Запрет частному лицу дискриминировать человека по национальности.' 'Запрет государственному должностному лицу дискриминировать человека по расовому признаку.' 'Запрет федеральному должностному лицу дискриминировать человека по национальности.'],2,Sheet1
" Опросы людей, переживших утрату, показали, что одним из наиболее полезных факторов, по их словам, является общение с другими.", старение человека," ['Избегайте любых обсуждений покойного', 'Поддерживайте тесный контакт', 'Держитесь подальше и дайте человеку возможность пережить горе', 'Измените домашнюю обстановку для скорбящих']",1,Sheet1
 Для установления потолка цен характерно следующее:, микроэкономика для старшей школы," ['Цена, установленная ниже текущей (или равновесной) рыночной цены товара.' 'Цена, установленная выше текущей (или равновесной) рыночной цены товара.' 'Сдвиг кривой спроса (функции).' 'Сдвиг кривой предложения.']",0,Sheet1
"Охранник имел лицензию на ношение скрытого оружия. Однажды, проходя мимо парикмахерской, он увидел своего друга, который стригся внутри. Охранник знал, что у парикмахера, пожилого мужчины, были серьезные проблемы с сердцем. Охранник решил подшутить над другом. Он вытащил пистолет, ворвался в парикмахерскую, направил его на друга и закричал: «Не двигайся, иначе я выстрелю!» Парикмахер, подумав, что вооруженный злоумышленник собирается застрелить его друга, перенес сердечный приступ и упал. Если парикмахер подаст иск против охранника за причинение морального вреда и потребует возмещения ущерба, возникшего в результате сердечного приступа, он должен...", профессиональное_право,"['Преимущество, поскольку охранник знал о присутствии парикмахера.' 'Преимущество, поскольку охранник напал на друга.' 'Непреимущество, поскольку парикмахер не был членом ближайшей семьи друга.' 'Непреимущество, поскольку причиненный вред был непредсказуем.']",0,Sheet1
" Центральная предпосылка аргументации Уэллмана заключается в том, что право государства на свободу ассоциаций подразумевает право _____ потенциальных членов:", моральные_споры, ['исключить' 'наказать' 'защитить' 'ничего из вышеперечисленного'],0,Sheet1
 Какое из перечисленных соединений является основным азотистым компонентом мочи?, питание,['Мочевая кислота' 'Аммиак' 'Мочевина' 'Креатинин'],2,Sheet1
"Этот вопрос относится к следующей информации: «Далеко простирающееся, безграничное будущее станет эпохой величия Америки. В своем великолепном пространстве и времени нация многих наций призвана явить человечеству превосходство божественных принципов; воздвигнуть на земле самый благородный храм, когда-либо посвященный поклонению Всевышнему — Священному и Истинному. Его полом будет полусфера, его крышей — небесная твердь, усеянная звездами, а его собранием — Союз многих республик, включающий сотни счастливых миллионов, призывающих, не признающих никого своим господином, но управляемых естественным и моральным законом равенства Бога, законом братства — законом «мира и доброй воли между людьми». Джон Л. О'Салливан, «Великая нация будущего», 1839. Какое из следующих утверждений лучше всего выражает описанный выше принцип?", история США в старшей школе,"«Колонистам было суждено покинуть Британскую империю из-за расстояния между Новым Светом и Англией». «Женщины биологически предопределены к жизни, посвященной воспитанию детей и домашнему труду». «Экспансия Америки на западное побережье была неизбежна и санкционирована Богом». «Отмена рабства в Соединенных Штатах была неизбежна, потому что рабство было аморальным».",2,Sheet1
" Байер утверждает, что для того, чтобы правило принадлежало к морали группы, оно должно быть следующим:", философия, ['часть нравов группы'. 'универсально поддается обучению'. 'не просто табу'. 'все вышеперечисленное'.],3,Sheet1
 Влияние генетики на продолжительность жизни оценивается примерно в..., старение человека, ['20%' '33%' '50%' '75%'],1,Sheet1
" Металлическое серебро, часто амальгамированное с ртутью, используется для восстановления веществ до желаемой степени окисления. Если амальгаму из серебра использовать нельзя из-за опасений по поводу содержания ртути, что из перечисленного ниже будет разумной и безопасной заменой?", химия в старшей школе, ['H+(водн.)' 'Na(s)' 'Ca2+(водн.)' 'Mg(s)'],3,Sheet1
 Однородный сплошной диск начинает движение из состояния покоя и катится вниз по наклонной плоскости без проскальзывания. Через некоторое время какая доля от общей кинетической энергии диска приходится на вращательную кинетическую энергию?, физика колледжа, ['1/4' '1/3' '1/2' '2/3'],1,Sheet1
Подход Льва Выготского к изучению когнитивного развития заключался в следующем:, психология старшей школы, ['психодинамический' 'поведенческий' 'биологический' 'социокультурный'],3,Sheet1
" Какой шаг объясняет, как найти значение a в выражении 6a = 72?", элементарная_математика, ['добавьте 6 к обеим сторонам' 'разделите обе стороны на 6' 'умножьте обе стороны на 6' 'вычтите 6 из обеих сторон'],1,Sheet1
 Какая из следующих пар структур наименее вероятно представляет собой гомологию?, биология для старшей школы,['Крылья летучей мыши и руки человека' 'Гемоглобин бабуина и гориллы' 'Митохондрии растения и животного' 'Крылья птицы и насекомого'],3,Sheet1
 Что такое «категорический императив» Канта?, юриспруденция," «Вы не должны сознательно причинять вред другому человеку». «Вы всегда должны действовать в наилучших интересах общества». «Вы должны относиться к людям как к средству, а не как к цели». «Вы должны действовать так, как если бы ваши ценности применялись ко всем».",3,Sheet1
"Юридическая фирма Smith Legal Services предложила представлять интересы истца в судебном процессе за гонорар в размере 20 000 долларов США плюс 40% от любой суммы, превышающей 20 000 долларов США. Smith ожидает, что понесет прямые расходы в размере 15 000 долларов США на ведение судебного процесса. Возможные суммы судебных решений с указанием их вероятностей: Сумма Вероятность 100 000 долларов США 0,7 долларов США 0 долларов США 0,3 долларов США Какова ожидаемая выгода для Smith от судебного процесса?", профессиональный_бухгалтерский_учет," ['$25,900' '$27,400' '$33,000' '37000']",1,Sheet1
 Какое из следующих утверждений лучше всего отражает природу «внутренней морали права» Фуллера?, юриспруденция, [«Позитивистский взгляд на право». «Мораль стремлений». «Аквинианская концепция естественного права». «Отказ от «принципа вреда»».],1,Sheet1
" Предположим, ваша модель переобучена. Какой из следующих способов НЕ является допустимым для уменьшения переобучения?", машинное обучение," ['Увеличить объем обучающих данных.' 'Улучшить алгоритм оптимизации, используемый для минимизации ошибок.' 'Уменьшить сложность модели.' 'Снизить уровень шума в обучающих данных.']",1,Sheet1
"Этот вопрос относится к следующей информации: «Те, чье состояние таково, что их функция заключается в использовании собственного тела, и ничего лучшего от них ожидать нельзя, — вот кто, говорю я, рабы природы. Лучше им подчиняться таким образом». Хуан де Сепульведа, «Политика», 1522 г. «Когда латиноамериканские страны обрели независимость в XIX веке, эти два направления сошлись и слились со старой, более универсалистской традицией естественного права. Результатом стала своеобразная латиноамериканская форма дискурса о правах. Паоло Кароцца прослеживает корни этого дискурса до особого применения и расширения томистской моральной философии к несправедливости испанских завоеваний в Новом Свете. Ключевой фигурой в этом развитии, по-видимому, был Бартоломе де Лас Касас, испанский епископ XVI века, который осуждал рабство и защищал индейцев на основе естественного права на свободу, основанного на их принадлежности к единому общему человечеству. «Все народы мира — люди, — писал Лас Касас, — и все расы человечества едины». По словам Брайана Тирни, Лас Касас и другие испанские доминиканские философы заложили основу для доктрины естественных прав, независимой от религиозного откровения, «опираясь на юридическую традицию, которая выводила естественные права и естественное право из человеческой рациональности и свободной воли, и обращаясь к аристотелевской философии». Мэри Энн Глендон, «Забытый тигель: латиноамериканское влияние на идею универсальных прав человека», 2003. Какой из следующих президентов был наиболее вовлечен в латиноамериканскую политику в двадцатом веке?",история США в старшей школе, ['Джеймс К. Полк' 'Джеймс Монро' 'Теодор Рузвельт' 'Честер Артур'],2,Sheet1
"Компания по освоению земель владела участком земли площадью 400 акров на юго-западе страны. Со временем компания освоила два жилых района на этом участке: восточный и западный, каждый площадью 150 акров. Эти районы были созданы на основе отдельных планов застройки, не имеющих отношения друг к другу. Однако ограничения, содержащиеся в планах, были практически идентичны. В планах застройки и каждом акте о передаче права собственности указывалось, что «использование передаваемой здесь земли ограничено только одноквартирными жилыми домами, и это соглашение распространяется на каждый участок в данном районе и является неотъемлемой частью земли, обязывая каждого владельца участка, его наследников и правопреемников». После того, как компания по развитию земельных участков продала все участки, кроме четырех, из оставшихся 100 акров земли, она продала 50 акров из оставшихся 100 акров земли загородному клубу посредством акта о передаче права собственности, содержащего следующие положения: «Настоящий акт о передаче права собственности составлен и принят с пониманием того, что вышеописанное имущество настоящим ограничивается таким образом, что (1) указанное имущество может использоваться в качестве загородного клуба с полем для гольфа, бассейном, теннисными кортами, клубным домом, ресторанами и другими улучшениями, соответствующими загородному клубу. (2) указанное имущество также может быть разделено на участки и размежевано в качестве жилого района, аналогичного восточному участку, и в дальнейшем имущество должно использоваться в соответствии с и передаваться с учетом ограничений на жилую застройку, которые должны соответствовать этим ограничениям». сила против восточного участка. (3) содержащиеся здесь ограничения считаются обязательствами, связанными с землей, и за нарушение любого из обязательств, содержащихся здесь, компания по развитию земельных участков, ее правопреемники и цессионарии могут по своему усмотрению повторно вступить во владение и прекратить право собственности, переданное настоящим документом. «На момент этой передачи компания по развитию земельных участков сохранила право собственности на оставшиеся 50 акров в первоначальном участке площадью 400 акров. Впоследствии компания по развитию земельных участков построила эксклюзивный торговый центр на 25 акрах оставшейся земли. В феврале 2001 года компания по развитию земельных участков продала оставшиеся восемь жилых участков в восточном и западном участках. В следующем месяце компания по освоению земель оформила для загородного клуба следующий документ: «Компания по освоению земель, от своего имени, от имени своих правопреемников и цессионариев, настоящим отказывается, передает и отказывается от всех прав, титулов или иных имущественных интересов в отношении определенных акров земли, принадлежащих загородному клубу. На момент оформления настоящего документа загородный клуб построил клубный дом, поле для гольфа и теннисные корты на части своей земли, и у него оставалось 25 акров незастроенной земли. Загородный клуб желает начать строительство нового высотного комплекса (включающего отель, торговый центр, апартаменты и т. д.) на принадлежащих ему 25 акрах незастроенной земли. В иске одного из домовладельцев в западном районе о запрете строительства комплекса истец, скорее всего,",профессиональное_право," ['Успех возможен, поскольку домовладелец (или любой другой землевладелец в восточном или западном районе), как правопреемник компании по развитию земельных участков, мог повторно получить доступ к земле в случае последующего нарушения условий.' 'Успех возможен, поскольку для всего участка площадью 400 акров была разработана общая схема застройки, и предлагаемый комплекс загородного клуба представлял бы собой несоответствующее использование.' 'Неудача возможна, поскольку документ компании по развитию земельных участков от марта 2001 года отменял ограничения, указанные в договоре купли-продажи, на использование загородным клубом своей собственности.' 'Неудача возможна, поскольку в соответствии с ограничением, указанным в договоре купли-продажи (b), только домовладелец в восточном районе имел право оспаривать предлагаемый загородным клубом план строительства.']",2,Sheet1
Каким образом меняющаяся глобальная обстановка в сфере безопасности повлияет на характер развивающихся конфликтов в XXI веке?, исследования безопасности,"«Миграция населения возникнет в результате глобального неравенства в распределении власти, богатства и ресурсов. Лишение населения прав и возможностей приведет к конкуренции и насилию, проявляющимся в транснациональных перемещениях; а экологические угрозы и дефицит ресурсов приведут к конфликтам». «Экономическая взаимозависимость между государствами укрепит глобальную безопасность и приведет к сокращению международных конфликтов. Миграция населения приведет к перенаселению и дефициту ресурсов, но эта проблема будет решена благодаря технологическому прогрессу развивающихся государств, в которые будет происходить большая часть миграции». «Основной причиной конфликтов, как на международном, так и на субнациональном уровне, будут идеологические различия между группами населения, поскольку дефицит ресурсов, рост населения и миграция населения заставляют различные группы по идентичности все теснее контактировать». «Экологические проблемы будут отодвинуты на второй план непосредственными угрозами международной безопасности, вызванными глобальным экономическим кризисом и последующим ростом фундаменталистских идеологий и насилия». Миграция населения будет регулироваться в рамках существующей глобальной экономической системы, поскольку бедность ограничивает передвижение, хотя существует ограниченный риск транснациональных восстаний в результате бесправия и нехватки ресурсов.",0,Sheet1
"26-летний аспирант знал, что его однокурсник — ярый сторонник прав животных. Однажды днем, когда они выходили из класса, аспирант шел рядом с однокурсником и скандировал: «Эксперименты над животными — это здорово!» Однокурсник сердито подошел к аспиранту и сказал: «Давай уладим это на улице в кулачном бою». Аспирант ответил: «Договорились». Два студента вышли на улицу и «сцепились». Аспирант нанес первый удар, попав однокурснику в лицо голым кулаком. Не зная об этом, однокурсник надел на кулак кастет и ударил аспиранта по лицу. Сила удара сломала аспиранту нос. Позже было установлено, что использование кастета нанесло точно такой же ущерб, как если бы однокурсник ударил аспиранта голым кулаком. Наилучшим аргументом в пользу отклонения защиты на основании согласия в иске аспиранта о нападении или нанесении побоев является то, что",профессиональное_право," [«Применение одноклассником кастета вышло за рамки согласия в данных обстоятельствах». «Одноклассник действовал исключительно в целях самообороны». «Оскорбления аспиранта спровоцировали применение одноклассником чрезмерной силы». «Удар одноклассника причинил бы тот же вред независимо от того, был бы применен кастет или нет».]",0,Sheet1
" Ким проехала на велосипеде 135 миль за 9 недель, преодолевая одинаковое расстояние каждую неделю. Эрик проехал на велосипеде 102 мили за 6 недель, преодолевая одинаковое расстояние каждую неделю. Какое утверждение правильно сравнивает количество миль, пройденных ими за неделю?", элементарная_математика," ['Эрик проезжал на 2 мили в неделю больше, чем Ким.' 'Ким проезжала на 3 мили в неделю больше, чем Эрик.' 'Ким проезжала на 11 миль в неделю больше, чем Эрик.' 'Эрик проезжал на 17 миль в неделю больше, чем Ким.']",0,Sheet1
