question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split
2603,What is a pay incentiveprogram ?Describe a commonly usedincentive plan.,An incentive wage is a one-time grant of company stock based solely on years of service.,An incentive wage is a periodic evaluation that leads to career advancement opportunities.,"An incentive wage is a discount on company products or services, unrelated to employee performance.",An incentive wage is some form of financial reward used to increase production.,An incentive wage is a penalty for lack of production.,An incentive wage is a flexible work schedule offered to improve work-life balance.,An incentive wage is an additional vacation time awarded without relation to employee output.,"An incentive wage is an educational stipend for personal development, not tied to production goals.",An incentive wage is a non-financial reward to increase morale.,An incentive wage is a fixed salary regardless of production.,D,3,psychology,stemez-Psychology,,test
9722,"Experimenter A uses a very small test charge qo, and experimenter B uses a test charge 2qo to measure an electric field produced by two parallel plates. A finds a field that is",greater than the field found by B,four times greater than the field found by B,"either greater or less than the field found by B, depending on the accelerations of the test charges",the same as the field found by B,half the size of the field found by B,infinitely larger than the field found by B,"zero, regardless of the test charge",dependent on the distance between the two plates,less than the field found by B,twice as strong as the field found by B,D,3,physics,ori_mmlu-high_school_physics,,test
9806,"A racing car traveling in a circular path maintains a constant speed of 120 miles per hour. If the radius of the circular track is 1000 ft, what if any acceleration does the center of gravity of the car exhibit?",120 miles/hr,14.4 miles^2/ftullethr^2,60 ft/s^2,88 ft/s^2,1000 ft,17.6 miles/hr^2,0 ft/s^2 (no acceleration),30.98 ft/s^2,48.0 miles^2/hr^2,0.88 miles/hr^2,H,7,physics,stemez-Physics,,test
12011,A certain medium has a relative permittivity of 25 and a relative permeability of unity. Evaluate (a) the phase velocity of a wave in this medium; (b) the index of refraction of the medium.,"1.0 × 10^8 meters/sec, 10","0.7 × 10^8 meters/sec, 7","0.5 × 10^8 meters/sec, 5.5","0.6 × 10^8 meters/sec, 5","0.9 × 10^8 meters/sec, 9","0.4 × 10^8 meters/sec, 4","1.2 × 10^8 meters/sec, 12","0.3 × 10^8 meters/sec, 3","0.2 × 10^8 meters/sec, 2","0.8 × 10^8 meters/sec, 6",D,3,engineering,stemez-Electromagnetics,,test
3325,Which of these is a statement that Darwin would have rejected?,Environmental change plays a role in evolution.,The smallest entity that can evolve is an individual organism.,Inherited variation in a population is a necessary precondition for natural selection to operate.,,,,,,,,B,1,biology,ori_mmlu-high_school_biology,,test
7083,What is the effect on savings of a tax cut of $10 billion? Is thisinflationary or deflationary? Assume that the marginal propensity to consume is 0.85.,$1.5 billion,$8.5 billion,$0.85 billion,$15 billion,$56.67 billion,0.15,-$1.5 billion,$85 billion,$10 billion,$5 billion,A,0,economics,stemez-Economics,,test
10860," Select the best English interpretation of the given arguments in predicate logic.
(∃x)(Cx • Ox)
(∀x)[(~Cx ⊃ ~Bx) ⊃ ~Og]	/ ~Og","Some cookies have oatmeal. If something's not having chocolate chips entails that it is not a cookie, then it doesn't have oatmeal. So this cookie doesn't have oatmeal.","Some cookies have oatmeal. If something's not being a cookie entails that it doesn't have oatmeal, then this cookie doesn't have chocolate chips. So this cookie doesn't have oatmeal.","Some cookies have oatmeal. If something's not being a cookie entails that it doesn't have chocolate chips, then this cookie doesn't have oatmeal. So this cookie doesn't have oatmeal.","Some cookies have oatmeal. If something's not a cookie, it does not have oatmeal, and it does not have chocolate chips. So this cookie doesn't have oatmeal.","Some cookies have oatmeal. If something is a cookie, it does not have chocolate chips, and it doesn't have oatmeal. So this cookie doesn't have oatmeal.","Some cookies have oatmeal. If something's not being a cookie entails that it does have chocolate chips, then this cookie doesn't have oatmeal. So this cookie doesn't have oatmeal.","Some cookies have oatmeal. If something is not a cookie and does not have chocolate chips, it doesn't have oatmeal. So this cookie doesn't have oatmeal.","Some cookies have oatmeal. If something doesn't have oatmeal, then it is not a cookie and it doesn't have chocolate chips. So this cookie doesn't have oatmeal.","Some cookies have oatmeal. If something does not have chocolate chips, then it is not a cookie and therefore, it doesn't have oatmeal. So this cookie doesn't have oatmeal.","Some cookies have oatmeal. If something's not a cookie, it doesn't have chocolate chips. So this cookie has oatmeal.",C,2,philosophy,ori_mmlu-formal_logic,,test
5756,Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Reduced use of fertilizers,Increased use of natural farming methods,Decreased use of mechanization,Decreased use of pesticides,Decreased reliance on irrigation,Increased use of fertilizers,Reduced crop diversity,Decreased crop yields,Increased soil erosion,G,6,other,ori_mmlu-miscellaneous,,test
4917,"This question refers to the following information.
The pair of excerpts below is written by explorer Christopher Columbus and the Dominican Bishop of Chiapas, Mexico, Bartholomew de las Casas.
Source 1
Indians would give whatever the seller required. . . . Thus they bartered, like idiots, cotton and gold for fragments of bows, glasses, bottles, and jars; which I forbad as being unjust, and myself gave them many beautiful and acceptable articles which I had brought with me, taking nothing from them in return; I did this in order that I might the more easily conciliate them, that they might be led to become Christians, and be inclined to entertain a regard for the King and Queen, our Princes and all Spaniards, and that I might induce them to take an interest in seeking out, and collecting and delivering to us such things as they possessed in abundance, but which we greatly needed.
—Christopher Columbus: letter to Raphael Sanchez, 1493
Source 2
It was upon these gentle lambs . . . that from the very first day they clapped eyes on them the Spanish fell like ravening wolves upon the fold, or like tigers and savage lions who have not eaten meat for days. The pattern established at the outset has remained unchanged to this day, and the Spaniards still do nothing save tear the natives to shreds, murder them and inflict upon them untold misery, suffering and distress, tormenting, harrying and persecuting them mercilessly. We shall in due course describe some of the many ingenious methods of torture they have invented and refined for this purpose, but one can get some idea of the effectiveness of their methods from the figures alone. When the Spanish first journeyed there, the indigenous population of the island of Hispaniola stood at some three million; today only two hundred survive. Their reason for killing and destroying such an infinite number of souls is that the Christians have an ultimate aim, which is to acquire gold, and to swell themselves with riches in a very brief time and thus rise to a high estate disproportionate to their merits.
—Bartholomew de las Casas: A Short Account of the Destruction of the Indies, 1542
Which of the following would best account for the differences between the interactions of the Spaniards and the natives as described in the two accounts?",Columbus was biased in favor of himself in his writings.,Columbus's men were nicer to the natives than were later expeditions.,Columbus was unaware of the atrocities committed by his men.,De las Casas was writing with the benefit of hindsight.,Columbus wanted to portray a positive image of the Spaniards to the King and Queen.,De las Casas was writing in response to Columbus's accounts.,De las Casas was not present during the encounters he described.,De las Casas was exaggerating to support the start of African slavery.,De las Casas wanted the Spanish to leave the Americas.,Columbus and De las Casas had different interpretations of the same events.,A,0,history,ori_mmlu-high_school_european_history,,test
9704,Natural boron is made up of 20 per cent^10B and 80 per cent 11 B. What is the approximate atomic weight of natural boron on the scale of 16 units for ^16o (chemical scale)?,20,11.5,11,9.5,10.2,9.8,11.2,10.5,10,10.8,J,9,physics,stemez-Physics,,test
3687,"When 4.90 g of KCLO_3 was heated, it showed a weight loss of 0.384 g. Find the percent of the original KCLO_3 that had decomposed.",50%,20%,30%,40%,25%,10%,7.84%,35%,18%,15%,B,1,chemistry,stemez-Chemistry,,test
8145,There are 7 desks arranged in a row in Mr. Thompson’s classroom. Hector sits 2 seats to the right of Kim. Tonya sits 3 seats to the right of Hector. How many seats to the left of Tonya does Kim sit?,6,1,7,2,9,12,8,3,5,4,I,8,math,ori_mmlu-elementary_mathematics,,test
11628,"A box contains 7 red, 5 white, and 4 black balls. What is the probability of your drawing at random one red ball? One black ball?","P(R) = 2/3, P(B) = 1/3","P(R) = 5/14, P(B) = 4/14","P(R) = 1/2, P(B) = 1/4","P(R) = 7/15, P(B) = 4/15","P(R) = 7/16, P(B) = 1/4","P(R) = 5/16, P(B) = 1/4","P(R) = 1/3, P(B) = 1/4","P(R) = 1/4, P(B) = 1/5","P(R) = 7/16, P(B) = 1/2",,E,4,engineering,stemez-ElectronicCommunications,,test
4339,Which is correct about the calcium atom?,It contains 20 protons and neutrons,All atoms of calcium have 20 protons and 40 neutrons,"It contains 20 protons, neutrons, and electrons","All calcium atoms have 20 protons, neutrons, and electrons",All atoms of calcium have a mass of 40.078 u,It contains 40 protons and 40 electrons,All calcium atoms have a mass of 20.078 u,It contains 20 protons and 20 electrons,It contains 20 neutrons and 20 electrons,It contains 40 protons and 20 electrons,H,7,chemistry,ori_mmlu-high_school_chemistry,,test
7821,"Marshall wants to finish typing his English paper before class starts. If he still has 550 words left to type and class starts in 25 minutes, at least how fast must Marshall type to finish his paper on time?",27 words per minute,20 words per minute,22 words per minute,26 words per minute,30 words per minute,25 words per minute,23 words per minute,28 words per minute,24 words per minute,21 words per minute,C,2,math,ori_mmlu-elementary_mathematics,,test
8169,"When $(x\sqrt{x^3})^4$ is simplified, what is the exponent of $x$?",20,12,5,4,16,8,2,14,10,6,I,8,math,ori_mmlu-high_school_mathematics,,test
1741,"A man purchased a house that needed substantial repairs. The man financed the purchase of the house by borrowing funds from a bank. He signed a note to the bank and secured repayment of the loan with a mortgage. After purchasing the house, the man borrowed money from his credit union to make the repairs. The man signed a note to the credit union; this note was also secured by a mortgage on the house. Both mortgages were promptly recorded in the order granted. The man was personally liable on both loans. The man moved into the house and made the necessary repairs. He later defaulted on the debt to the bank, and the bank initiated judicial foreclosure proceedings, naming both the man and the credit union as parties to the action. An outside party acquired the house at the foreclosure sale. After the expenses of the sale and the balance due the bank have been paid, $5,000 remains in the sale the bank have been paid, $5,000 remains in the sale proceeds. The outstanding balance of the credit union loan is $20,000. The man and the credit union both claim the $5,000. There is no applicable statute. Who is entitled to the $5,000?","The credit union, because the man is personally liable on the debt.","The bank, because it initiated the foreclosure proceedings.","The man, because the outside party received title to the house subject to the second mortgage.","The man, because he was the original owner of the house.","The credit union, because the credit union has priority.","The man, because of his equitable right of redemption.","The outside party, because they purchased the house at the foreclosure sale.","The man, because he has made significant improvements to the property.","The credit union, because it provided the funds for the necessary repairs.","The credit union, because the man defaulted on the loan to the bank.",E,4,law,ori_mmlu-professional_law,,test
1942,"An auto mechanic was repairing a car in his auto. shop when a spark ignited gasoline and oil residue on the floor. The mechanic managed to douse the flames, but not before the fire created giant billows of smoke that floated over onto a neighbor's property and caused the neighbor's home to become discolored. If the neighbor asserts a claim against the mechanic, the neighbor would most likely be able to recover for ",assault and battery.,strict liability.,vicarious liability.,intentional infliction of emotional distress.,nuisance.,trespass.,invasion of privacy.,conversion.,negligence.,defamation.,I,8,law,ori_mmlu-professional_law,,test
8964,"Suppose that a tank containing a certain liquid has an outlet near the bottom. Let $h(t)$ be the height of the liquid surface above the outlet at time $t$. Torricelli's principle states that the outflow velocity $v$ at the outlet is equal to the velocity of a particle falling freely (with no drag) from the height $h$.
Consider a water tank in the form of a right circular cylinder that is $3 \mathrm{~m}$ high above the outlet. The radius of the tank is $1 \mathrm{~m}$ and the radius of the circular outlet is $0.1 \mathrm{~m}$. If the tank is initially full of water, determine how long it takes to drain the tank down to the level of the outlet.",200.62 s,110.36 s,98.75 s,160.48 s,105.67 s,85.30 s,120.25 s,130.41 s,150.20 s,175.55 s,H,7,math,scibench-diff,,test
9391,Given the rest masses of the various particles and nuclei involved in the fission _0n^1 +_92U235\ding{217} _56Ba^141 + _36Kr^92 + 3_0n^1 calculate the energy released in ergs and electron volts.,250 MeV,120 MeV,180 MeV,275 MeV,201 MeV,100 MeV,300 MeV,220 MeV,350 MeV,150 MeV,E,4,physics,stemez-Physics,,test
10721,"A retailer that sells footwear maintains a single database containing records with the following information about each item for sale in the retailer's store.

   ° Item identification number
   ° Footwear type (sneakers, boots, sandals, etc.)
   ° Selling price (in dollars)
   ° Size
   ° Color
   ° Quantity available

 Using only the database, which of the following can be determined?",Which items listed in the database are not currently in the store,Which type of footwear is most popular among adults,The total profit made from selling a particular type of footwear,Which colors are more popular among men than women,The total number of shoes sold in a particular month,,,,,,A,0,computer science,ori_mmlu-high_school_computer_science,,test
11755,"Air flows in a sheet-metal ventilation duct having a cross-sectionalarea of 6 ft^2 at a velocity of 40 fps. If a butterflytype of control were suddenly closed, what initial forcewould be exerted upon it ?",1500 lb,1400 lb,1000 lb,1200 lb,1600 lb,1800 lb,1100 lb,1320 lb,900 lb,2000 lb,H,7,engineering,stemez-FluidMechanics,,test
10353,"Camera lenses usually contain an aperture of variable diameter to control exposure. Consider a lens of focal length 50 mm and diameter 25 mm, with a resolution of 200 [(lines) / mm]. How far can this lens be stopped down before diffraction effects begin to limit the image quality?",8 mm,10 mm,9 mm,4 mm,7 mm,2 mm,12 mm,6 mm,3 mm,5 mm,H,7,physics,stemez-Optics,,test
4074,"What is the empirical formula of a compound that is 51.9% carbon, 4.86% hydrogen, and 43.2% bromine",C6H7Br,C5H3Br,C10H8Br,C7H6Br2,C6H4Br3,C12H22Br,C8H9Br,C9H10Br,C11H12Br,C7H5Br,G,6,chemistry,ori_mmlu-high_school_chemistry,,test
5762,Which of these people was not alive in the 20th century?,Sigmund Freud,Ulysses S Grant,Mark Twain,Thomas Edison,,,,,,,B,1,other,ori_mmlu-miscellaneous,,test
6315,"A previously healthy 24-year-old woman who is a college student comes to the office because of a 6-month history of abdominal bloating, upper abdominal discomfort, and constipation. The symptoms are more severe when she is preparing for examinations but improve after bowel movements. She takes no medications. She does not smoke or use illicit drugs. She drinks alcoholic beverages occasionally. She is 160 cm (5 ft 3 in) tall and weighs 57 kg (125 lb); BMI is 22 kg/m2 . Her pulse is 72/min, and blood pressure is 100/72 mm Hg. Physical examination, including digital rectal examination, shows no other abnormalities. A complete blood count and serum electrolyte concentrations are within the reference ranges. A urease breath test result is negative. Upper and lower endoscopies show no abnormalities. Which of the following is the most appropriate pharmacotherapy for this patient?",Prednisolone,Omeprazole,Azathioprine,Lubiprostone,Loperamide,Infliximab,Metronidazole,Hydrocortisone,Rifaximin,Mesalamine,D,3,health,ori_mmlu-professional_medicine,,test
9100,"In a drag race, a dragster reaches the quarter-mile (402 m) marker with a speed of 80 m/s. What is his acceleration and how long did the run take?",8.46 m/s^2 and 9.5 s,7.96 m/s^2 and 10.1 s,6.46 m/s^2 and 11.5 s,7.46 m/s^2 and 10.5 s,6.96 m/s^2 and 9.1 s,9.96 m/s^2 and 8.1 s,8.96 m/s^2 and 10.5 s,5.96 m/s^2 and 12.1 s,7.96 m/s^2 and 9.1 s,8.96 m/s^2 and 11.1 s,B,1,physics,stemez-Physics,,test
2348,You receive a letter from the Ethics Committee asking for information about a former client who has filed a complaint against her current therapist. You stopped seeing the client over seven years ago you should:,cooperate with the Committee's request by sending it a copy of the client’s file.,inform the Committee that the information you have about the client is obsolete and that you're ethically obligated not to release it.,ignore the Committee's request as you no longer have any obligation towards the client.,cooperate with the Committee's request by sending it a copy of the client’s file without any verification.,cooperate with the Committee's request by sending it the information you believe to be relevant to the case after confirming that the client has signed a release.,"cooperate with the Committee's request by sending it the information you believe to be relevant to the case, even without the client's consent.",refuse to cooperate with the Committee's request as it violates the client's privacy.,inform the Committee that you cannot provide the information as you have deleted the client's file after seven years.,,,E,4,psychology,ori_mmlu-professional_psychology,,test
3236,"""The ovule of a rose is analogous to the capsule of a moss."" Explain what is wrong with this statement.",The ovule of a rose and the capsule of a moss are identical in function.,"The ovule of a rose produces spores that do not require fertilization, while the capsule of a moss produces spores that do.","The capsule of a moss is the female reproductive part, while the ovule of a rose is the male reproductive part.",The ovule of a rose gives rise to bisexual gametophytes.,The capsule of a moss produces only male spores.,"The ovule of a rose and the capsule of a moss differ in that the ovule produces only those spores which will develop into female gametophytes, while the capsule produces spores which will give rise to bisexual gametophytes.","The capsule of a moss contains seeds, while the ovule of a rose contains spores.","The ovule of a rose is involved in sexual reproduction, while the capsule of a moss is not.","The ovule of a rose is part of the gametophyte generation, while the capsule of a moss is part of the sporophyte generation.","The capsule of a moss disperses pollen, which is similar to the role of the ovule in a rose.",F,5,biology,stemez-Biology,,test
2385,"Dr. Harry Holliday, a clinical psychologist, is planning to take a three-week cruise. In terms of his clinical practice, Dr. Holliday’s best course of action would be to:",Leave without informing his clients of his absence.,give his clients a phone number where he can be reached.,Provide his clients with online resources to manage their issues in his absence.,Continue his sessions via phone calls or video conferencing while on vacation.,Inform his clients only a day before his departure about his unavailability.,Cancel all appointments for the duration of his vacation without informing his clients.,discuss his vacation plans with his current clients ahead of time so that they know he’ll be unavailable during that time.,hire a colleague to take over his appointments while he is on vacation.,give his clients the phone number of a colleague who has agreed to accept phone calls in emergencies.,"Arrange for a colleague to provide only emergency sessions, while regular appointments are paused.",I,8,psychology,ori_mmlu-professional_psychology,,test
4337,Which of the following processes is an irreversible reaction?,H2(g) + I2(g) ↔ 2HI(g),HCN(aq) + H2O(l) → CN-(aq) + H3O+(aq),2H2O(l) ↔ 2H2(g) + O2(g),2Ag+(aq) + Ti(s) → 2Ag(s) + Ti2+(aq),PCl5(g) ↔ PCl3(g) + Cl2(g),CH3COOH(l) + CH3OH(l) ↔ CH3COOCH3(l) + H2O(l),H2(g) + Cl2(g) ↔ 2HCl(g),N2(g) + 3H2(g) ↔ 2NH3(g),CH4(g) + O2(g) → CO2(g) + H2O(l),,I,8,chemistry,ori_mmlu-high_school_chemistry,,test
9453, A charge of $20 \mathrm{nC}$ is uniformly distributed along a straight rod of length $4.0 \mathrm{~m}$ that is bent into a circular arc with a radius of $2.0 \mathrm{~m}$. What is the magnitude of the electric field at the center of curvature of the arc?,$45 \mathrm{~N} / \mathrm{C}$,$65 \mathrm{~N} / \mathrm{C}$,$38$$\mathrm{~N} / \mathrm{C}$ ,$42 \mathrm{~N} / \mathrm{C}$,$20 \mathrm{~N} / \mathrm{C}$,$25 \mathrm{~N} / \mathrm{C}$,$30 \mathrm{~N} / \mathrm{C}$,$50 \mathrm{~N} / \mathrm{C}$,$60 \mathrm{~N} / \mathrm{C}$,$55 \mathrm{~N} / \mathrm{C}$,C,2,physics,scibench-fund,,test
6574,"What is the main source of protein in the British diet?
",Cereals and cereal products,Pulses,Eggs and egg products,Milk and milk products,Fish and fish products,Nuts and seeds,Meat and meat products,Soy and soy products,Rice and rice products,Fruits and vegetables,G,6,health,ori_mmlu-nutrition,,test
