question,предмет,выбор,отвечать,sheet
" Большая рыба подплывает и проглатывает маленькую рыбку, которая отдыхает. Сразу после обеда у откормленной большой рыбы происходит смена обстановки.", концептуальная_физика, ['speed' 'momentum' 'Both' 'Neither'],0,Sheet1
" Сборка — это важнейший поздний этап репликации вируса, и чаще всего она осуществляется одним из следующих способов?", вирусология," ['Использование клеточного каркаса в ядре и цитоплазме' 'Захват клеточных липидов и мембран' 'Генеральный план, заложенный в вирусном геноме' 'Случайные взаимодействия между клеточными и вирусными белками']",0,Sheet1
 Наиболее распространенным методом лечения СДВГ является медикаментозная терапия с использованием стимуляторов ЦНС. Какое из следующих утверждений относительно лечения СДВГ является неверным?, профессиональная_психология," ['Одним из недостатков терапии стимуляторами является то, что не у всех детей наблюдается улучшение.' 'Для снижения уровня активности требуется более высокая доза стимулятора.' 'Улучшения после лечения могут быть лишь кратковременными.' 'Более низкая доза препарата приводит к улучшению социального поведения.']",3,Sheet1
"Изолированные митохондрии, помещенные в буферный раствор с низким pH, начинают вырабатывать АТФ. Какое из следующих объяснений лучше всего объясняет эффект низкого внешнего pH?", колледж_биология," ['Это увеличивает концентрацию OH-, заставляя митохондрии перекачивать H+ в межмембранное пространство.' 'Это увеличивает концентрацию OH- в матриксе митохондрий.' 'Это увеличивает концентрацию кислоты в матриксе митохондрий.' 'Это увеличивает диффузию H+ из межмембранного пространства в матрикс.']",3,Sheet1
"Как называется фрукт, который наполовину мандарин, наполовину грейпфрут?", разнообразный, ['graperine' 'tangefruit' 'tangelo' 'kumquat'],2,Sheet1
Каким образом концепция «идеальной политики» объясняет прежние представления о необходимых условиях для успешных действий в рамках принудительной дипломатии?, исследования безопасности,"['В свете трудностей, с которыми сталкиваются западные демократии — поддержание народной поддержки в конфликтах, не угрожающих их жизненно важным интересам, — противники будут рассматривать угрозы Запада начать затяжную войну в таком сценарии как блеф. На практике это означает, что принуждающая сторона должна обладать военным превосходством и быть способной лишить противника возможности реализовать свои планы и наложить издержки, которые напрямую угрожают его интересам.' 'Для максимального доверия недостаточно угрозы быстрого поражения, подкрепленной необходимым военным потенциалом. Она должна сопровождаться установлением крайнего срока выполнения. Следовательно, отсутствие крайнего срока выполнения будет взаимосвязано с доказательством того, что принуждающая сторона не имеет воли для осуществления угрозы.' 'Для повышения перспектив успеха необходимо включить гарантии против новых требований. Стимул к выполнению будет значительно снижен, если опасения обоснованы.' 'Все эти варианты. Чтобы сделать несоблюдение слишком дорогостоящим, принуждающая сторона должна угрожать поражением противнику, чтобы быстро и с минимальными затратами лишить его его целей.'] Угроза призвана достичь двух целей: вызвать страх перед неприемлемой эскалацией и придать угрозе правдоподобность.",3,Sheet1
" При оказании помощи пациенту в разрешении противоречий, формировании приверженности и принятии решения об изменениях, какой из следующих основных принципов не используется в мотивационном интервьюировании:", профессиональная_психология,['Не способствует развитию уверенности в собственных силах для перемен' 'Эмпатия посредством рефлексивного слушания' 'Примирение с сопротивлением' 'Избегание прямой конфронтации'],0,Sheet1
" В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Я быстро рассмеялся над горящим ребёнком. Сценарий 2 | Я связал женщине лодыжку, чтобы она не смогла убежать.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",0,Sheet1
" Многим брендам намеренно придают человеческие черты, до такой степени, что их воспринимают как обладающих особыми личностями. Это называется:", маркетинг, ['Пирамида брендинга'. 'Ценность бренда'. 'Названия брендов'. 'Личность бренда'.],3,Sheet1
"Мужчина и женщина владели соседними участками земли. Мужчина пересадил гигантскую магнолию с другого участка своей собственности и посадил её на своём участке всего в 3 метрах от участка женщины. В то время женщина заявила, что, посадив дерево так близко к её земле, мужчина увеличил риск повреждения её теплицы, в которой она выращивала цветы, удостоенные наград. Ураганы в этом районе довольно распространены. Через несколько лет после пересадки дерева, во время урагана, дерево упало на теплицу женщины, уничтожив редкие и ценные растения стоимостью 25 000 долларов. Женщина предъявила мужчине иск о возмещении ущерба, причиненного падением дерева на теплицу. В ходе судебного разбирательства единственным доказательством, представленным женщиной, было то, что ураган выкорчевал дерево, заставив его упасть на её участок, что и привело к заявленному ущербу. В конце судебного разбирательства мужчина подал ходатайство о вынесении решения в пользу ответчика. Движение мужчины, скорее всего, будет",профессиональное_право," ['Принято, поскольку женщина не представила никаких доказательств халатности мужчины.' 'Принято, поскольку ущерб, причиненный женщине, стал следствием стихийного бедствия.' 'Отказано, поскольку в этом районе часто случались ураганы.' 'Отказано, поскольку суд может все еще сделать вывод об ответственности за незаконное проникновение.']",0,Sheet1
" Подъездная дорога--------------------------------------------------------------Дом | Дом |-------------------------------------------------------------- | Гараж | Дом---------------------------------------------------------------УЧАСТОК 3 | УЧАСТОК 2 | УЧАСТОК 1 --------------------------------------------------------------(УЧИТЕЛЬ) | (СОСЕДИ) | (КОЛЛЕГА | | и НАЧАЛЬНИК)-------------------------------------------------------------1 марта 1999 года умер землевладелец, единственный владелец и арендатор участка № 1, и завещал его своему коллеге и начальнику «в качестве их совместной собственности». Коллега и начальник были братом и сестрой, и ни один из них не состоял в браке. Участок № 1 состоял из одноквартирного дома с двором, гаражом и подъездной дорогой. 1 мая 1999 года начальница переехала в дом на участке № 1. Год спустя коллега и начальница оформили и передали соседке следующий документ о передаче права собственности: «…настоящим передаю (соседке) северные 30 футов участка № 1, включая существующую асфальтированную подъездную дорогу, для использования въездом и выездом автотранспортных средств, но если (соседка) или ее наследники и правопреемники будут использовать указанную собственность для каких-либо других целей, все права, привилегии и иммунитеты, предоставленные настоящим документом, прекращаются». В качестве компенсации за указанный документ соседка заплатила коллеге и начальнице 2000 долларов (которые они разделили поровну). Соседка так и не зарегистрировала этот документ. Поскольку у начальницы не было машины, она никогда не пользовалась подъездной дорогой. Аналогично, соседка никогда не пользовалась подъездной дорогой, потому что вскоре после оформления вышеуказанного документа ее водительские права неожиданно были приостановлены. Начальница умерла без завещания 1 мая 2001 года, оставив дочь единственной наследницей. После смерти матери дочь переехала в дом 2 мая 2001 года. 1 июня 2001 года сосед продал участок № 2 профессору по договору купли-продажи, в котором не упоминалась подъездная дорога, расположенная на участке № 1. Сосед и профессор предположили, что последний имеет право пользоваться подъездной дорогой, поэтому они не включили в свой договор никаких упоминаний о ней. Сразу после вступления во владение дочерь начала пользоваться подъездной дорогой на участке № 1. Вследствие этого она возражала против использования профессором этой дороги. После того, как дочь отказалась разрешить профессору пользоваться подъездной дорогой, он подал иск, чтобы определить свое право на дальнейшее использование подъездной дороги. Профессор должен был",профессиональное_право," ['Победа, потому что он приобрел подразумеваемое право пользования подъездной дорогой как владелец господствующего участка.' 'Победа, потому что право соседа на пользование подъездной дорогой было передано профессору.' 'Проигрыш, потому что не был соблюден закон о мошенничестве.' 'Проигрыш, потому что неиспользование соседом подъездной дороги фактически означало отказ от права пользования.']",1,Sheet1
 Какого из следующих политических лидеров нельзя назвать «лидером-трансформатором»?, управление, ['Маргарет Тэтчер' 'Михаил Горбачев' 'Нельсон Мандела' 'Билл Клинтон'],3,Sheet1
 Зачем проводится сегментация рынка?, маркетинг,['Разделить крупные рынки на более мелкие.' 'Предоставить возможность превзойти конкурентов.' 'Объединение клиентов со схожими потребностями обеспечивает коммерчески жизнеспособный способ обслуживания этих клиентов.' 'Позволить достичь большей доли рынка.'],2,Sheet1
Какими способами слабые государства могут подвергаться внешним вызовам?, исследования безопасности,"[«Влиятельные государства могут использовать дипломатическое давление, чтобы заставить слабые государства соблюдать международные нормы. Это может включать экономические санкции и приостановку сделок по поставкам оружия, что подрывает способность государства финансировать или снабжать армию, что увеличивает риск недовольства армии и возможных государственных переворотов». «Слабым государствам угрожает распространение стрелкового оружия, которое может быть использовано для вызова авторитету государства. Стрелковое и легкое оружие можно приобрести как легальными, так и нелегальными путями, и оно широко распространено в регионах с военачальниками, преступниками и частными ополчениями». «Слабые государства не могут оставаться изолированными от процессов глобализации. Все более проницаемые границы приводят к миграции и иммиграции. Чтобы конкурировать на глобализированном рынке, слабые государства стремятся получить финансовую кредитную помощь или помощь от международных институтов. Однако эти процессы подрывают гегемонистскую идею государства, а общественная идентичность размывается, что затрудняет поддержание государством своей идеологической привлекательности». «Все эти варианты».]",3,Sheet1
 Жирные кислоты транспортируются в митохондрии в связанном с ними состоянии:, клинические_знания, ['тиокиназа.' 'коэнзим А (КоА).' 'ацетил-КоА.' 'карнитин.'],3,Sheet1
" Ящик массой m скользит по горизонтальной поверхности с начальной скоростью v0. На него не действуют никакие силы, кроме силы тяжести и силы трения поверхности. Если коэффициент кинетического трения между ящиком и поверхностью равен μ, на какое расстояние проскользнет ящик, прежде чем остановится?", физика в старшей школе, ['v0^2/(2μg)' 'v0^2/(μg)' '2v0^2/(μg)' 'mv0^2/(μg)'],0,Sheet1
 Какое из следующих утверждений о рисках выборочного аудита верно для неэмитента?, профессиональный_бухгалтерский_учет,"«Невыборочный риск возникает из-за возможности того, что при ограничении проверки по существу выборкой выводы могут отличаться от тех, которые были бы, если бы аудитор проверил каждый элемент совокупности». «Невыборочный риск может возникнуть из-за того, что аудитор не смог выявить искажения». «Выборочный риск возникает из-за неопределенности при применении аудиторских процедур к конкретным рискам». «Выборочный риск включает в себя возможность выбора аудиторских процедур, которые не подходят для достижения конкретной цели».",1,Sheet1
"Поставщик чернил для принтеров разослал всем своим клиентам следующее письмо: «Распродажа! Мы решили больше не продавать картриджи с зелеными чернилами. У нас в наличии ограниченное количество картриджей с зелеными чернилами для всех принтеров; когда они закончатся, их больше не будет! Пожалуйста, размещайте заказы как можно скорее, чтобы гарантировать их выполнение». Один из постоянных клиентов поставщика прислал по факсу следующий ответ: «Нам очень жаль, что вы больше не будете продавать картриджи с зелеными чернилами, так как это один из наших любимых цветов. Пожалуйста, отправьте 100 картриджей с зелеными чернилами в наш офис как можно скорее». Поставщик отправил клиенту подтверждение заказа по факсу с обещанием, что картриджи будут отправлены в течение недели. На следующий день поставщик получил от клиента электронное письмо: «Пожалуйста, отмените наш заказ. Мы только что обнаружили, что у нас уже достаточно картриджей с зелеными чернилами на складе». Поставщик продолжил распродавать весь свой запас картриджей с зелеными чернилами по запрашиваемой цене другим клиентам. В иске поставщика против покупателя о нарушении договора, какова максимальная сумма возмещения убытков, на которую поставщик имеет право?",профессиональное_право," ['Ничего.' 'Только косвенные убытки, если таковые имеются, понесенные поставщиком при подготовке зеленых чернильных картриджей к отправке клиенту до получения электронного письма от клиента.' '5000 долларов, что являлось запрашиваемой ценой за 100 заказанных зеленых чернильных картриджей.' 'Косвенные убытки, поскольку зеленые чернильные картриджи были уникальными, так как это были последние картриджи такого типа, предложенные поставщиком для продажи.']",1,Sheet1
" Все следующие утверждения относительно вероятности того, что человек проголосует, верны, КРОМЕ:", школьное_правительство_и_политика,"['Когда в штате есть явный лидер, жители этого штата с меньшей вероятностью примут участие в голосовании.' 'Работники умственного труда чаще участвуют в голосовании, чем рабочие физического труда, за исключением рабочих физического труда, состоящих в профсоюзах.' 'Избиратели, зарегистрированные как независимые, реже участвуют в голосовании, чем те, кто зарегистрирован как демократы или республиканцы.' 'Нет разницы в вероятности голосования между лицами с высшим образованием и лицами с последипломным образованием.']",3,Sheet1
" В процессе чтения ученик встречает незнакомые слова «межконтинентальный», «межледниковый», «интерфейс» и «перехват». Используя свои знания об аффиксах, ученик может понять, какое значение имеют все эти слова?", разнообразный, ['между; среди' 'не; противоположность' 'земля; окружающая среда' 'под; слишком мало'],0,Sheet1
"Этот вопрос относится к следующей информации: «4 марта следующего года эта партия [Республиканская партия] возьмет власть в свои руки. Она объявила, что Юг будет исключен из общей территории, что судебный трибунал будет установлен по региональному признаку, и что должна вестись война против рабства до тех пор, пока оно не прекратится на всей территории Соединенных Штатов. Гарантии Конституции тогда перестанут существовать; равные права штатов будут утрачены. Рабовладельческие штаты больше не будут обладать правом самоуправления или самозащиты, и федеральное правительство станет их врагом. Поэтому мы, народ Южной Каролины, через наших делегатов, собравшихся на съезде, торжественно заявляем, что Союз, существовавший ранее между этим штатом и другими штатами Северной Америки, расторгнут; и что штат Южная Каролина восстановил свое положение среди наций мира как отдельное и независимое государство, обладающее полной властью вести войну, заключать мир, заключать союзы, устанавливать торговлю и совершать все другие действия, которые независимые государства могут по праву совершать». Южная Каролина определяет причины сецессии, 1860 год. Какие из следующих идеологий наиболее соответствуют приведенным выше утверждениям?",история США в старшей школе," [""Права штатов"" ""Аннулирование"" ""Нейтралитет"" ""Гражданское неповиновение""]",0,Sheet1
"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я разговаривал с мамой по телефону всю свою рабочую смену. Сценарий 2 | Я помог другу сбежать из тюрьмы.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",0,Sheet1
 Какой из перечисленных языков не является официальным языком Организации Объединенных Наций?, разнообразный, ['Японский' 'Английский' 'Русский' 'Испанский'],0,Sheet1
" Какова эмпирическая формула соединения, содержащего 51,9% углерода, 4,86% водорода и 43,2% брома?", химия в старшей школе, ['C7H5Br' 'C6H4Br3' 'C8H9Br' 'C12H22Br'],2,Sheet1
"Этот вопрос касается следующей информации. Я считаю, что главной и истинной профессией придворного должна быть оружейная служба; я хотел бы, чтобы он активно занимался ею прежде всего, и чтобы его знали как смелого, сильного и верного тому, кому он служит… Я хотел бы, чтобы он был хорошо сложен и имел стройные конечности, проявлял силу, легкость и гибкость, а также знал все физические упражнения, подобающие военному человеку; из которых, я думаю, первым делом следует уметь хорошо обращаться со всеми видами оружия пешком и верхом, понимать преимущества каждого из них, и особенно быть знакомым с тем оружием, которое обычно используется среди джентльменов… Тогда наш придворный будет считаться превосходным и достигнет изящества во всем, особенно в речи… Я хотел бы, чтобы он был более чем достаточно образован в литературе, по крайней мере, в тех областях, которые называются гуманитарными науками, и владел не только латынью, но и греческим языком, ради многих вещей, которые были превосходно написаны в ней. Пусть он хорошо разбирается в поэтах, а не меньше — в ораторах и историках, а также искусен в написании стихов и прозы, особенно на нашем простонародном языке… Вы должны знать, что я не удовлетворюсь придворным, если он не будет еще и музыкантом и если, помимо понимания и умения читать ноты, он не сможет играть на разных инструментах… Я хочу, чтобы наш придворный остерегался получить прозвище лжеца или хвастуна, которое иногда постигает даже тех, кто этого не заслуживает. — Из «Книги придворного» Бальдассаре Кастильоне, 1528 г. Какую из следующих реформ Кастильоне, скорее всего, хотел бы ввести?",история Европы в старшей школе," ['Создание государственных средних школ совместного обучения, финансируемых государством' 'Создание государственных средних школ только для мальчиков, финансируемых государством' 'Создание бесплатных государственных университетов, где могли бы учиться все студенты обоих полов' 'Создание частных средних школ для элитных молодых людей с множеством внеклассных мероприятий']",3,Sheet1
 Что из перечисленного верно при спастической параплегии?, клинические_знания," ['Рассеянный склероз может вызывать такую неврологическую картину', 'Потеря проприоцепции — распространенный признак', 'Нарушена координация движений ног', 'Тонус мышц нормальный или вялый']",0,Sheet1
" Для генерации колебаний используются генераторы, управляемые напряжением релаксации.", электротехника, ['Синусоидальная волна' 'Треугольная волна' 'Пилообразная волна' 'Оба варианта B и C'],3,Sheet1
" Этот вопрос относится к следующей информации: «Некоторые люди смотрят на конституции с лицемерным почтением и считают их ковчегом завета, слишком священным, чтобы к нему прикасаться. Они приписывают людям предшествующей эпохи мудрость, превосходящую человеческую, и считают, что их деяния не подлежат изменению… Но я также знаю, что законы и институты должны идти рука об руку с прогрессом человеческого разума. По мере того, как он становится более развитым, более просвещенным, по мере того, как совершаются новые открытия, раскрываются новые истины, а нравы и мнения меняются в соответствии с изменением обстоятельств, институты также должны развиваться и идти в ногу со временем». Томас Джефферсон, 1816. Какая из следующих поправок к Конституции наиболее непосредственно иллюстрирует выраженные выше взгляды?", история США в старшей школе,"['Первая поправка, гарантирующая право на свободу слова', 'Десятая поправка, позволяющая передавать штатам полномочия, не предоставленные федеральному правительству', 'Девятнадцатая поправка, гарантирующая всем женщинам право голоса', 'Двадцать первая поправка, отменяющая запрет на алкоголь']",3,Sheet1
" В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Я отрезал лапу раненой лисе просто для развлечения гостей. Сценарий 2 | Мне было скучно, и я выкопал яму, чтобы сделать погреб в городском парке.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",0,Sheet1
 Какое число кратно 7?, элементарная_математика, ['27' '48' '56' '74'],2,Sheet1
" Пальто продается по цене 325 долларов. В ноябре оно не было продано, и продавец снизила цену на 20 процентов. Затем в декабре она снизила цену еще на 10 процентов. Сколько долларов заплатит покупатель, приобретающий пальто к Рождеству в декабре?", математика для старшей школы, ['$227.50' '$234.00' '$286.00' '$290.00'],1,Sheet1
" В каком обществе родители 17-летнего ученика, скорее всего, будут привлечены к ответственности за неуспеваемость в школе?", психология старшей школы, ['Соединенные Штаты Америки' 'Канадский' 'Японский' 'Английский'],2,Sheet1
"Женщина ехала домой после концерта. Разговаривая по мобильному телефону, она на мгновение отвлеклась от дороги. Затем она проехала на красный свет и врезалась в полицейскую машину, за рулем которой находился полицейский, причинив ему травмы. В момент аварии полицейский возвращался с вызова по экстренному делу. Полицейский подал в суд на женщину, требуя возмещения ущерба, понесенного в результате ДТП. На суде полицейский представил доказательства того, что он возвращался с места происшествия, когда женщина проехала на красный свет и врезалась в его патрульную машину. После представления доказательств истцом женщина подала ходатайство о вынесении решения в порядке упрощенного производства, утверждая, что «правило пожарного» препятствует взысканию ущерба. Ходатайство о вынесении решения в порядке упрощенного производства должно быть", профессиональное_право,"['Принято к рассмотрению, поскольку несчастный случай не произошел бы, если бы не чрезвычайная ситуация.' 'Принято к рассмотрению, поскольку полицейский принял на себя риск получения травмы, ответив на вызов по чрезвычайной ситуации.' 'Отказано, поскольку травма полицейского не была связана с какой-либо особой опасностью его работы.' 'Отказано, поскольку правило пожарных не распространяется на полицейских.']",2,Sheet1
"Мощность, необходимая для подъема ящика массой 100 кг на вертикальное расстояние 2 м за 4 с, составляет", концептуальная_физика, ['200 Вт' '500 Вт' '800 Вт' '2000 Вт'],1,Sheet1
"Какие из следующих утверждений верны относительно подхода Бокса-Дженкинса к диагностическому тестированию моделей ARMA? (i) Тесты покажут, является ли идентифицированная модель слишком большой или слишком маленькой. (ii) Тесты включают проверку остатков модели на автокорреляцию, гетероскедастичность и ненормальность распределения. (iii) Если модель, предложенная на этапе идентификации, является подходящей, автокорреляционная и пропорциональная функции распределения остатков не должны показывать дополнительной структуры. (iv) Если модель, предложенная на этапе идентификации, является подходящей, коэффициенты при дополнительных переменных в рамках подхода переобучения будут статистически незначимыми.", эконометрика," ['(ii) и (iv) только' '(i) и (iii) только' '(i), (ii) и (iii) только' '(i), (ii), (iii) и (iv)']",0,Sheet1
" Стефани пролетела 2448 миль из Лос-Анджелеса в Нью-Йорк. Какое количество миль пролетела Стефани, округленное до ближайшей тысячи?", элементарная_математика," ['2,000' '2,400' '2,500' '3,000']",0,Sheet1
"Двое двоюродных братьев оформили право собственности на недвижимость в качестве совладельцев с правом наследования по праву пережившего супруга. Первый двоюродный брат заложил свою долю в совместной собственности в качестве залога по кредиту в размере 20 000 долларов и подписал вексель. Впоследствии это решение было вынесено против доли первого двоюродного брата в недвижимости. Первый двоюродный брат умер год спустя. Второй двоюродный брат решил продать недвижимость, но ипотечный кредитор подал иск, чтобы предотвратить продажу и обеспечить исполнение своих прав на недвижимость. Второй двоюродный брат защищался на том основании, что любое обременение на долю первого двоюродного брата в недвижимости прекращается после его смерти. Будет ли суд обеспечивать исполнение обременения ипотечного кредитора в отношении продажи недвижимости оставшимся в живых вторым двоюродным братом?", профессиональное_право,"[«Да, потому что согласие двоюродного брата на залоговое право по решению суда предполагалось по закону, и это согласие уничтожило совместное владение». «Да, потому что ипотека или залоговое право по решению суда в отношении одного из совладельцев уничтожают владение и право наследования по праву пережившего супруга». «Нет, потому что совладелец не может на законных основаниях подать расписку о взыскании долга только на свою долю, поскольку это будет неконституционным вмешательством в имущественные права другого совладельца». «Нет, потому что после смерти двоюродного брата двоюродный брат стал единственным владельцем в силу права наследования по праву пережившего супруга, согласно условиям совместного владения, которое оставалось полностью нетронутым».]",3,Sheet1
"В когортном исследовании пожилых женщин относительный риск переломов бедра среди тех, кто регулярно занимается спортом, составляет 1,2 (95% доверительный интервал от 1,1 до 1,8). Какой из следующих выводов наиболее уместен относительно влияния регулярных физических упражнений на риск перелома бедра?", профессиональная_медицина, ['Статистически незначительное увеличение риска' 'Статистически незначительное общее снижение риска' 'Статистически значимое общее снижение риска' 'Статистически значимое общее увеличение риска'],3,Sheet1
" По сравнению с потребляемой мощностью, выходная мощность идеального трансформатора составляет", концептуальная_физика, ['больше' 'меньше' 'то же самое' 'Любой из этих'],2,Sheet1
" Когда апелляция подается в Верховный суд, суд обычно", школьное_правительство_и_политика,['отказывается рассматривать апелляцию' 'объявляет о прекращении судебного разбирательства' 'приказывает суду низшей инстанции повторно рассмотреть дело' 'выносит решение в пользу подсудимого'],0,Sheet1
"Этот вопрос относится к следующей информации. «Половина населения этой страны сегодня совершенно бессильна стереть из свода законов несправедливый закон или написать новый, справедливый. Женщины, недовольные этой формой правления, которая вводит налоги без представительства, которая заставляет их подчиняться законам, на которые они никогда не давали своего согласия, которая заключает их в тюрьму и вешает без суда присяжных, которая лишает их в браке права распоряжаться своей личностью, заработной платой и детьми, — эта половина народа полностью находится во власти другой половины, что прямо противоречит духу и букве заявлений создателей этого правительства, каждое из которых основывалось на неизменном принципе равных прав для всех». — Сьюзен Б. Энтони, «Я предстаю перед вами под обвинением» (речь), 1873. Какое из следующих утверждений было еще одной распространенной критикой Эндрю Карнеги?", история США в старшей школе,"«Как иммигрант, Карнеги не имел права владеть контрольными пакетами акций крупных американских промышленных предприятий». «Карнеги ничего не сделал, чтобы предотвратить применение насилия в отношении своих рабочих, когда они требовали повышения заработной платы и улучшения условий труда». «Карнеги считался воплощением американского успеха, но он даже не был самым богатым человеком в Америке». «Слишком большая часть благотворительной деятельности Карнеги была сосредоточена на его родине, Шотландии, лишая американцев благ его благотворительности».",1,Sheet1
