id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split
13859,world_religions,Философия,Какая группа джайнов разрешает женщинам вести только полуотреченную жизнь?,Шветамбара,Джина,Агама,Дигамбара,D,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
2376,elementary_mathematics,Математика,Коннор измеряет вместимость банки. Какую единицу измерения он может использовать?,Сантиметр,Чашка,Грамм,Фунт,B,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
192,management,Бизнес,К какому элементу культурной сети относятся регалии?,Символы,Ритуалы и обряды,Властные структуры,Системы управления,A,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",train
822,clinical_knowledge,Медицина,"Обучая пациента технике использования ингалятора, как вы гарантируете, что большая часть препарата попадет в нижние дыхательные пути?","Попросите их сделать много маленьких, быстрых вдохов перед использованием ингалятора.",Попросите их нормально дышать при использовании ингалятора.,Попросите их выполнить процедуру как можно быстрее.,Попросите их задержать дыхание в конце вдоха при использовании ингалятора.,D,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
11046,professional_law,Право,"Пожилая женщина ехала в лифте из своей квартиры на 12-м этаже в вестибюль. Когда лифт остановился на пятом этаже, в лифт вошел мужчина, курящий сигару. Мужчина стоял перед пожилой женщиной в лифте, когда женщина похлопала его по плечу. Когда мужчина обернулся, женщина указала на табличку ""Не курить"" и сказала: ""Извините, сэр, не могли бы вы потушить эту сигару?"" Мужчина с негодованием ответил, сильно затянувшись своей сигарой, а затем выпустил большое облако дыма в лицо женщине. Когда лифт остановился на следующем этаже, мужчина удалился. Если женщина подаст гражданский иск против мужчины за нанесение побоев, кто одержит верх?","Женщина, потому что дым коснулся ее лица.","Женщина, потому что у нее были разумные основания опасаться, что мужчина нападет на нее.","Мужчина, потому что он не прикасался к женщине.","Мужчина, потому что его поведение было раздражающим, но не причинило женщине никаких телесных повреждений.",A,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
4178,high_school_macroeconomics,Экономика,"Когда ФРС понижает учетную ставку, ее намерение состоит в том, чтобы",дать депозитарным учреждениям отсрочку по их займам.,сигнализировать участникам финансовых рынков о приближении рецессии.,сигнализировать участникам финансовых рынков о приближении инфляционного периода.,"поощрить заимствования депозитарными учреждениями, чтобы денежная масса могла расширяться.",D,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test
5823,high_school_us_history,История,"Этот вопрос относится к следующей информации.
Очевидно, что диктатор больше не может рассчитывать на конфронтацию Востока и Запада, которая помешает согласованным действиям Организации Объединенных Наций против агрессии. Началось новое партнерство наций. И сегодня мы переживаем уникальный и экстраординарный момент. Кризис в Персидском заливе, каким бы серьезным он ни был, также предоставляет редкую возможность перейти к историческому периоду сотрудничества. Из этих неспокойных времен может возникнуть наша пятая цель — новый мировой порядок; новая эра, более свободная от угрозы террора, более сильная в стремлении к справедливости и более безопасная в стремлении к миру. Эпоха, в которую народы мира, восток и запад, север и юг, могут процветать и жить в гармонии.
— Президент Джордж Герберт Уокер Буш, речь на совместном заседании Конгресса, 11 сентября 1990 г.
Видение президентом Джорджем Гербертом Уокером Бушем ""нового мирового порядка"" самым непосредственным образом стало возможным благодаря",Экономическое процветание Америки.,Стратегическая оборонная инициатива президента Рональда Рейгана.,иранский кризис с заложниками.,конец холодной войны.,D,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
5415,high_school_statistics,Математика,Какое из следующих утверждений неверно относительно t-распределений?,Существуют различные t-распределения для разных значений df (степеней свободы).,t-распределения имеют форму колокола и симметричны.,t-распределения всегда имеют среднее значение 0 и стандартное отклонение 1.,"t-распределения более разбросаны, чем нормальное распределение.",C,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test
4190,high_school_macroeconomics,Экономика,"Какая функция денег лучше всего определяет 1,25 доллара как цену 20-унциевой бутылки пива?",Средство обмена,Расчетная единица,Хранилище стоимости,Передача права собственности,B,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test
983,college_chemistry,Биология,"Какое из следующих утверждений наиболее точно объясняет, почему T1 ядра иногда длиннее его T2?","T1, в отличие от T2, чувствителен к очень низкочастотным молекулярным движениям.","T2, в отличие от T1, чувствителен к очень низкочастотным молекулярным движениям.","T1, в отличие от T2, чувствителен к движениям молекул на частоте Лармора.","T2, в отличие от T1, чувствителен к движениям молекул на частоте Лармора.",D,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
8535,moral_scenarios,Философия,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Я подал своим мягким игрушкам порции пирога из настоящей грязи. Сценарий 2 | Я положил кольцо в шкатулку от Тиффани, чтобы моя девушка подумала, что оно настоящее.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",C,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test
9670,nutrition,Медицина,"Синтез жирных кислот De novo обычно означает, что из следующего?",Избыточное потребление жира,Истощение энергоносящих субстратов,Возникает только при длительном голодании,Избыток энерговыделяющих субстратов,D,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test
7846,miscellaneous,Общие факты,"""Я насчитал семь священников, которые проповедовали одновременно . . . . Некоторые люди пели, другие молились, некоторые взывали к милосердию с самым жалобным акцентом"". Приведенная выше цитата описывает участие группы в событии, которое было наиболее характерно для какого из перечисленных ниже типов?",Собрание квакеров Пенсильвании во время Революции,Пограничное лагерное собрание Второго Великого пробуждения в начале девятнадцатого века,Презентация на Ассамблее Чаутаука в конце девятнадцатого века,Съезд Женского христианского союза воздержания в конце девятнадцатого века,B,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
10374,professional_accounting,Бизнес,"Расположите следующие пары (риск, доходность) от наименее до наиболее благоприятных, исходя из точки зрения рационального инвестора, не склонного к риску: (2,2), (2,3) и (4,2). Риск измеряется в стандартных отклонениях, а доходность - в процентах. ПОДСКАЗКА: Представьте диаграмму рассеяния со стандартным отклонением по оси x и возвратом по оси y.","(4,2),(2,2),(2,3)","(2,2),(2,3),(4,2)","(2,2),(4,2),(2,3)","(2,3),(2,2),(4,2)",A,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test
11899,professional_law,Право,"Женщина находилась в общественном туалете в торговом центре. Пока женщина была у раковины, в туалет вошел мужчина и сказал ей, чтобы она не издавала ни звука. Испугавшись, женщина побежала к открытому окну в туалете и выпрыгнула на пожарную лестницу. Спускаясь по пожарной лестнице, женщина случайно упала, ударившись ногами. За какое из следующих преступлений, если таковые имеются, мужчина, скорее всего, будет осужден?",Нападение.,Нанесение побоев.,Нападение с намерением совершить изнасилование.,Нет преступления.,D,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
11782,professional_law,Право,"Мужчина занял деньги у кредитора и заложил принадлежащую ему землю, чтобы обеспечить погашение кредита. Прежде чем он полностью погасил кредит, мужчина передал землю инвестору, который прямо взял на себя кредит. Вексель и ипотека не содержали оговорки о сроке погашения при продаже. После того, как инвестор произвела несколько платежей по кредиту, она допустила дефолт по двум платежам. Кредитор уведомил мужчину и инвестора о своем намерении ускорить выдачу кредита в соответствии с условиями векселя и ипотеки, если дефолт не будет устранен в течение 60 дней. Когда ни мужчина, ни инвестор не произвели требуемый платеж, кредитор ускорил выдачу кредита и инициировал процедуру обращения взыскания, назвав как мужчину, так и инвестора сторонами-ответчиками. Продажа с правом выкупа привела к дефициту. Кредитор добился вынесения судебного решения о несостоятельности только в отношении этого человека, поскольку инвестор тем временем стал неплатежеспособным. Скорее всего, суд признает мужчину ответственным за этот недостаток?","Нет, потому что прямое принятие инвестором займа освобождало этого человека от ответственности.","Нет, потому что кредитор должен сначала попытаться получить судебное решение о неплатежеспособности в отношении инвестора.","Да, потому что даже после принятия решения мужчина остается ответственным как поручитель инвестора в отсутствие освобождения от ответственности со стороны кредитора.","Да, потому что вексель и ипотека не содержали пункта о выплате при продаже.",C,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
7996,miscellaneous,Общие факты,"Согласно названию популярного детского телешоу, какого цвета большой дом Медведя?",красный,зеленый,фиолетовый,синий,D,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
2914,high_school_biology,Биология,"Студенты проводят упражнение по разделению растительных пигментов, которое требует от них использования закрытой хроматографической камеры с небольшим количеством ацетона на дне камеры. Предупреждения по технике безопасности в отношении ацетона включают указание на то, что он раздражает глаза и кожу и содержит легковоспламеняющиеся пары. Какую из следующих мер предосторожности следует принять студентам во время выполнения упражнения?","Надеть огнезащитные перчатки, чтобы перенести камеру в вытяжной шкаф, если ацетон загорится",Поместить камеру в закрытый затемненный шкаф на время отделения пигмента,Надеть кожаные перчатки и закрыть нос и рот маской для защиты от частиц,Надеть защитные очки и нитриловые перчатки и держать все емкости с ацетоном закрытыми,D,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test
9266,moral_scenarios,Философия,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Я часто использую слова ""Бог"" и ""Иисус"" как ругательства вне церкви. Сценарий 2 | Я похитил ребенка с плакатов о пропаже.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",A,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
13343,security_studies,Политика,Каким образом обществу может угрожать опасность?,"Общества оказываются под угрозой, когда их языковое наследие и традиции подвергаются нападкам. Неспособность использовать и развивать традиционный язык означает разрушение общества.","Угрозы общественной безопасности существуют, когда общество рассматривает свою коллективную идентичность как находящуюся под вопросом. Такие обстоятельства включают подавление самовыражения и вмешательство в способность общества воспроизводить себя из поколения в поколение.","Военные угрозы обществам в форме внешней агрессии, главным образом посредством политики сокращения численности населения с целью предотвращения воспроизведения коллективной идентичности на протяжении поколений.","Миграционный приток в принимающее государство приводит к изменению состава населения, что приводит к горизонтальной или вертикальной конкуренции. Это не прямая угроза выживанию, а часть более широких неконтролируемых процессов эволюционной идентичности.",B,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
8193,moral_disputes,Философия,"Лукьянов и Хайдт утверждают, что отказ от общения с некоторыми ораторами",является примером ментальной фильтрации.,будет только способствовать интеллектуальной однородности в колледжах и университетах.,побудит студентов игнорировать положительные аспекты истории человека.,Все вышеперечисленное.,B,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
4593,high_school_microeconomics,Экономика,"Фирмы со следующей структурой рынка максимизируют прибыль, производя продукцию, где предельные издержки равны предельной выручке, если вообще равны. I. Совершенная конкуренция II. Олигополия III. Монополия IV. Монополистическая конкуренция",Только I,Только I и II,Только I и III,"I, II, III и IV",D,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
1882,econometrics,Экономика,"Предположим, что мы хотим оценить факторы, влияющие на вероятность того, что инвестор выберет фонд прямых инвестиций, а не фонд облигаций или денежные инвестиции. Какой класс модели был бы наиболее подходящим?",Логит-модель,Мультиномиальный логит,Модель Тобита,Упорядоченная логит-модель,B,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
3273,high_school_european_history,История,"Этот вопрос относится к следующей информации.
В России не было ничего хорошего, и [Суварин] был в отчаянии от полученных новостей. Его старые товарищи все обращались к политике; знаменитые нигилисты, заставлявшие трепетать Европу, - сыновья сельских священников, представители низших слоев среднего класса, торговцы - не могли подняться выше идеи национального освобождения и, казалось, верили, что мир будет освобожден, когда они убьют своего деспота...
""Глупость! С их глупостью им никогда не выбраться"".
Затем, еще больше понизив голос, он в нескольких горьких словах рассказал о своей давней мечте о братстве. Он отказался от своего звания и состояния; он пошел среди рабочих, только в надежде увидеть, наконец, основание нового общества общего труда. Все су в его карманах давно уже ушли на нужды поселковой шпаны; он был нежен, как брат, с колайерами, улыбался их подозрительности, покорял их своим спокойным рабочим нравом и нелюбовью к болтовне. Но слияние явно не состоялось.
Его голос изменился, глаза стали ярче, он устремил их на Этьена, обращаясь непосредственно к нему:
""Теперь вы это понимаете? Эти марсельские шляпники, выигравшие в лотерею сто тысяч франков, сразу же вложили их в дело и заявили, что будут жить, ничего не делая! Да, такова ваша идея, все вы, французские рабочие; вы хотите раскопать сокровище, чтобы потом в одиночестве проглотить его в каком-нибудь ленивом, эгоистичном уголке. Вы можете сколько угодно кричать против богатых, но у вас не хватит мужества отдать бедным деньги, которые приносит вам удача. Вы никогда не будете достойны счастья, пока владеете чем-либо, и ваша ненависть к буржуа проистекает исключительно из злобного желания самому стать буржуа вместо них"".
Эмиль Золя, французский писатель, ""Жерминаль"", 1885 г.
Русского историка XIX века, оценивающего этот отрывок, вероятно, больше всего интересовали бы",интерес русских к французской культуре,дух товарищества среди шахтеров,ощущение непрерывной классовой борьбы,потребность в благородстве,C,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
3794,high_school_government_and_politics,Политика,"Все нижеследующие утверждения, касающиеся вероятности того, что человек проголосует, верны, за ИСКЛЮЧЕНИЕМ:","Когда в штате есть сильный лидер, люди в этом штате с меньшей вероятностью проголосуют.","""Белые воротнички"" с большей вероятностью проголосуют, чем ""синие воротнички"", за исключением ""синих воротничков"", которые состоят в профсоюзах.","Избиратели, зарегистрированные как независимые, с меньшей вероятностью проголосуют, чем те, кто зарегистрирован как демократ или республиканец.","Нет никакой разницы в вероятности голосования между теми, кто имеет степень бакалавра, и теми, кто имеет степень аспиранта.",D,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test
1704,conceptual_physics,Физика,"Какая из этих температур более вероятна, если смешать воду с температурой 20°C с водой с температурой 28°C?",19°C,22°C,30°C,Выше 30°C,B,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test
10272,prehistory,История,Когда Мохенджо-Даро превратился в сложный городской центр?,"во времена ранней династии Шан, с 1000 по 400 год до н.э.","во времена династии Цинь, с 3500 по 3000 год до н.э.","во время зрелого хараппского периода, с 4500 по 4000 год до н.э.","во время раннего хараппского периода, с 8500 по 6000 год до н.э.",C,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
13869,world_religions,Философия,"В японской традиции дзен, что такое дзадзэн?",Коллекция статуй,Почитание предков,Сидячая медитация,Похоронные ритуалы,C,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
5627,high_school_us_history,История,"Этот вопрос относится к следующей информации.
Теперь мы организовали общество, и мы называем его ""Общество обмена нашим богатством"", общество с девизом ""Каждый мужчина - король"".…
Мы предлагаем ограничить богатство крупных людей в стране. Состояние каждой семьи в Америке составляет в среднем 15000 $. Это прямо здесь, сегодня.
Мы не предлагаем делить его поровну. Мы не предлагаем дележ богатства, но мы предлагаем ограничить бедность, которую мы позволяем причинить семье любого мужчины. Мы не будем говорить, что собираемся гарантировать какое-либо равенство... но мы действительно говорим, что одной трети среднего дохода недостаточно для любой семьи, что должно быть гарантировано семейное благосостояние в размере около 5000 долларов; достаточного для дома, автомобиля, радио, и обычные удобства, и возможность давать образование своим детям.…
Нам придется ограничить состояние. Наш нынешний план заключается в том, что мы не позволим никому владеть более чем 50000000 $. Мы думаем, что с этим ограничением мы сможем вывести баланс программы.
— Сенатор Хьюи П. Лонг из Луизианы, обращение по радио, 23 февраля 1934 г.
Президент Франклин Д. Рузвельт ответил на политические вызовы, подобные вызову сенатора Лонга, сделав что из следующего?","Объявил, что он не будет баллотироваться на переизбрание","Запустил второй ""Новый курс"", серию законодательных актов, включая социальное обеспечение","Отвлек внимание людей, позволив японцам бомбить Перл-Харбор",Призвал Конгресс снизить налоги и отменить регулирование экономики,B,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test
1363,college_medicine,Медицина,Сколько электронов имеет золото (Au) с квантовым числом l = 2?,9,23,29,79,C,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
9422,nutrition,Медицина,Какая из перечисленных ниже функций является функцией витамина В6?,Синтез ТМП (тимидинмонофосфата),Декарбоксилирование аминокислот с образованием аминных нейротрансмиттеров,Синтез метионина из гомоцистеина,Карбоксилирование пирувата в оксалоацетат,B,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
5588,high_school_statistics,Математика,"Известно, что распределение зарплат в окружной школьной системе с 4752 сотрудниками имеет правый перекос, причем зарплата суперинтенданта является выбросом в большую сторону. Была сделана случайная выборка из 20 сотрудников, и их зарплаты были зарегистрированы. 95-процентный доверительный интервал t для средней зарплаты сотрудников школьной системы округа составляет (15360$, 32470$). Доверительный интервал t не подходит в данной ситуации, потому что","размер выборки слишком мал по сравнению с количеством сотрудников в системе, чтобы обеспечить справедливое представление","асимметричное распределение зарплат говорит нам о том, что предположение о нормальности выборочной совокупности не будет выполнено",Стандартное отклонение зарплат сотрудников школьной системы округа неизвестно,"Зарплата учителей не подлежит обсуждению, в отличие от зарплаты суперинтенданта, поэтому зарплату суперинтенданта следует исключить из выборки",D,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test
