question,choice_A,choice_B,choice_C,choice_D,answer,category,split
"Who made the assertion in cultural studies that ""The ultimate issue for cultural studies is not what information is presented but whose information it is""?", Julia Kristeva, None of the other choices, Stuart Hall, Tejaswini Niranjana,C,,val
Which of the following statements about the death penalty is false?, There should not be a delay in executing the prisoner waiting on death row., Death penalty is not allowed in India., Indian Penal Code allows for appeal where the waiting period is longer than five years., the Death penalty is awarded only in the rarest of rarest cases.,B,,val
Which of the following statements about Favipiravir is/are correct?, Glenmark Pharmaceuticals under the brand name FabiFlu has launched an antiviral drug Favipiravir., All the above are correct, Favipiravir is an antiviral COVID-19 drug.," It is India’s first COVID-19 drug launched, priced at Rs 103 per tablet.",C,,val
"What is the cause of Foot and Mouth disease, which is currently an epidemic affecting animals in some regions?", Bacterium, Virus, Fungus, Protozoan Answer,B,,val
"A and B are two steel wires with A having twice the radius of B. If the same load is applied to both, what will the stress be on wire B?", same as that of A, four times that of A, two times that of A, three times that of A,B,,val
Who was a contemporary of the author of 'Arthashastra'?, Ashoka, Samudragupta, Chandragupta Vikramaditya, None of the other choices,C,,val
Who is commonly referred to as the Father of Victimology?, Durkheim, None of the other choices, Marx, Sutherland,B,,val
"Fine-dining restaurants often include notes on their menus stating, ""A 20% gratuity will be added to all checks for parties of six or more patrons."" Considering that this message generally leads to higher tips or gratuities from other groups of diners, what is this an example of?", the endowment effect., loss aversion., anchoring., none of the above,C,,val
What is the total number of isomers possible for C5H11Br?,6, None of the other choices,10,8,D,,val
Which characteristic of Laser light indicates the synchronized movement of all individual light waves through time and space?, Directional, Brightness, Coherent, Monochromatic,C,,val
A dilute ferrous sulfate solution was gradually added to a beaker containing an acidified permanganate solution. The light purple color of the solution gradually fades and eventually disappears. What is the correct explanation for this observation?, The colour disappears due to dilution; no reaction is involved, FeSO4 acts as an oxidising agent and oxidises KMnO4, KMnO4 is an unstable compound and decomposes in presence of FeSO4 to a colourless compound.," KMnO4 is an oxidising agent, it oxidises FeSO4",C,,val
"In time study, what purpose does the rating factor serve?", fixation of incentive rate, merit rating of the worker, standard time of a job, normal time of a worker,D,,val
"What is the molar mass of a gas that has a volume of 612.5 ml at room temperature (25°C) and a pressure of 1 atm, with a mass of 1.1g?", 662.5 g mol-1, 44 g mol-1, 24.5 g mol -1, 66.25 g mol-1,B,,val
"A 21-year-old female is experiencing acute, severe hepatitis, along with anorexia and jaundice. Considering her recent history of getting a new tattoo from an unregulated parlor two months ago, acute Hepatitis B is a potential diagnosis. What steps should be taken to confirm acute HBV?", HBV envelope antigen and antibody, HBV DNA level, HBV surface antigen, HBV core antibody (IgM),B,,val
Can you provide an example of a physician extender?, pharmacist, physical therapist, nurse practitioner, None of the other choices,C,,val
On which scale is rubber hardness measured?, Shore scale, Mohr’s scale, Vicker’s scale, Rockwell scale,A,,val
What is the temperature of water in °C at its critical point?, 354.2 °C, 342.5 °C, None of the other choices, 374.15 °C,D,,val
What is the primary origin of most polyploid species?, a single diploid parent plant., a single tetraploid parent plant., None of the other choices, the hybridization of two parent species.,D,,val
How is zinc extracted from zinc blende?, electrolytic reduction, roasting followed by reduction with another metal, roasting followed by self-reduction, roasting followed by reduction with carbon,D,,val
Which of the following is a feature of bureaucracy as defined by Max Weber?, Public Policy, Civil society, Hierarchy, Administrative Authority,C,,val
"What is a person called who, despite not being a board member, has some authority to run a company?", Additional director, Nominee director, Shadow director, Independent,C,,val
Identify the correct statement:, The message content is the data and metadata that the service operation is performed on, The service object is a container where the service resides, The port or endpoint is the unique address of the service, All of the mentioned,B,,val
Which amino acid turns conditionally essential in phenylketonuria (PKU)?, phenylalanine, cysteine, alanine, None of the other choices,D,,val
What does the abbreviation SH indicate when used as a heading in a patient's medical record?, “suicidal history”, None of the other choices, “social history”, “skilled health care”,C,,val
What is the correct order of progression in primate locomotion?, None of the other choices, Quadrupedal – Brachiation – Bipedal – Knuckle walking., Knuckle walking – Brachiation – Quadrupedal – Bipedal., Quadrupedal – Brachiation – Knuckle walking – Bipedal.,D,,val
What do you call the specific version of a generic function that is created by the compiler?, specialization, None of the other choices, template function, general function,A,,val
What is the function of the interleaver placed between the two decoders?, Add error bursts, Scatter error bursts, Remove error bursts, None of the mentioned,C,,val
Economists who consider the economy to be fundamentally unstable typically argue that:, None of the other choices, stabilization policy is too dangerous to be used ., the economy should be slowed when it is depressed and stimulated when it is overheated ., monetary and fiscal policies should follow rigid rules of constant growth .,A,,val
"For a half wave rectifier circuit running on a 50 Hz main frequency, what would the fundamental frequency in the ripple be?", 100 Hz, 70.7 Hz, 50 Hz, 25 Hz,C,,val
What is the most suitable WAN topology for a centrally located server farm with multiple satellite branches?, point-to-point, full mesh, star, hub and spoke,D,,val
Provide the balanced chemical equation for the following reactions and specify the type of reaction for each., Magnesium (s) + Hydrochloric acid (aq) → Magnesium chloride (aq) + Hydrogen (g)., None of the other choices, Hydrogen (g) + Chlorine (g) → Hydrogen chloride (g)., Zinc carbonate (s) → Zinc oxide (s) + Carbon dioxide (g).,B,,val
"In an HMM, what do tag transition probabilities measure?", The likelihood of a POS tag given a word, The likelihood of a POS tag given all preceding tags, The likelihood of a word given a POS tag, The likelihood of a POS tag given the preceding tag,D,,val
What tool is available for comparing the ownership costs of BladeSystem c-Class servers and traditional HP rack-mounted servers?, None of the other choices, HP eConfigure solutions, HP SalesBuilder for Windows, HP BladeSystem Solution Builder Program,C,,val
What requires interpolation filtering?, Up-sampler, D to A converter, Both of the mentioned, None of the mentioned,A,,val
What does it mean when a reprehensible act is referred to by a different term?, None of the other choices, advantageous comparison., euphemistic labeling., attribution of blame.,C,,val
"The relationship between education and culture is often cyclical, signifying that __________.", the school serves as a channel where individuals learn their culture., it is the school’s primary function to transmit culture and is an agent of change.," The school is shaped by culture and culture is, in turn, influenced by the school.", the school system transmit culture and the classroom is the agent of transmission.,D,,val
"In SEM, how is the incident beam focused?", Lens, Mirrors, Electromagnets, Slits,C,,val
Who proved the existence of the continent of Antarctica?, Robert F.Scott, James Clark Ross, Richard E.Byrd, Charles Wilkes,D,,val
Which of the following statements about pneumatic comparators is incorrect?, Loss of accuracy due to gauge wear, Total life cost is less, Speedy operation, Independent of operator skill,A,,val
Could you explain what you mean by the naturalistic fallacy?, None of the other choices," because something is natural, it is necessarily good.", males and females are equal., the tortoise will catch up to the hare.,B,,val
"A man sells a horse for ₹ 800 and incurs a loss. If he had sold it for ₹ 980, his profit would have been twice the amount of that loss. What is the cost price of the horse?", ₹ 850, ₹ 875, None of the other choices, ₹ 900,C,,val
What was the content of the book Hayy bin Yaqazan?, Medicine, Mathematics, Geography, Philosophy,D,,val
"What are the key considerations in the assembly of a pulley, key, and shaft?", All the three are designed for equal strength, Key is made the weakest, None of the other choices, Pulley is made the weakest,B,,val
Which of the following statements about the surgical anatomy of the esophagus are true?, Surgical exposure of the cervical esophagus is best gained via the right neck, Access to the entire thoracic esophagus can be obtained only via the left chest, None of the other choices, The lower esophageal sphincter can be recognized distinctly by inspection of the gastroesophageal junction,C,,val
NGN IMS is a service related to:, Fax Transmission, Telecom services, E-Mail, None of the other choices,B,,val
A full-wave rectifier utilizes a grounded center tap on the transformer's secondary winding and a source voltage of 60 Hz on the primary winding. What is the output frequency of the full-wave rectifier?, 240 Hz., 60 Hz, 120 Hz, None of the other choices,C,,val
Expert systems usually concentrate on a single domain of knowledge. This is known as:, Knowledge acquisition, Domain expert, Domain expertise, Knowledge engineer,C,,val
"The term ""drug"" in the medical context originated from which language?", Latin, French, Dutch, Greek,C,,val
What does the Tertiary period include?," Pliocene, Miocene, Oligocene, Eocene and Palaeocene", Miocene and Pliocene only, Eocene and Miocene, Oligocene and Palaeocene only,A,,val
"In the Rigveda, what does the term 'Yav' commonly refer to?", Wheat, Rice, Barley, Beans,C,,val
Which of these is not a paramilitary force responsible for maintaining law and order in the country?, Territorial Army, CRPF, BSF, CISF,A,,val
Who introduced the concept of Integrated Circuits in the early 1960s?, None of the other choices, Bell telephone laboratories and Fair child Semiconductor, Fairchild Semiconductor, Texas instrument and Fairchild Semiconductor,D,,val
"In a moderately skewed distribution where the mean is 15λ and the mode is 12λ, what is the approximate value of the median?", None of the other choices, 12λ, 13λ, 15λ,A,,val
What immediate responses occur when exposed to a cold environment?, Vasodilation, Vasoconstriction, None of the other choices, Homeostasis,B,,val
"In the hydrogen spectrum, what is the series of lines that appear in the ultraviolet region known as?", Brackett series, Lyman series, Balmer series, None of the other choices,B,,val
Which part of the IE Act addresses the 'theft of energy'?, Section 39, Section 40, None of the other choices, Section 43,A,,val
What details are provided by the command show scansafe statistics?, ESA message tracking, PRSM events, Cisco CWS activity, None of the other choices,C,,val
Identify the incorrect statement:, A MapReduce job usually splits the input data-set into independent chunks which are processed by the map tasks in a completely parallel manner, Applications typically implement the Mapper and Reducer interfaces to provide the map and reduce methods, The MapReduce framework operates exclusively on pairs, None of the mentioned,A,,val
Which of these statements is part of Solomon’s opponent-process theory of motivation?, Positive feelings turn out to just be nonnegative feelings., A positive feeling is followed by a feeling of numbness.," Feelings are neither positive nor negative, but merely neutral.", None of the other choices,D,,val
Which of the following items is not recognized as practice before the IRS?, Calling the IRS to discuss a letter received by a client., None of the other choices, Preparing a tax return for an individual., Representing a client at an audit.,C,,val
"A man sells a car to his friend at a 10% loss. If the friend later sells the car for Rs. 54,000 and makes a 20% profit, what was the original cost price of the car?", Rs. 25000, Rs. 50000, Rs. 60000, Rs. 37500,B,,val
"For the Assessment Year 2021-22, what is the maximum exempt amount per month for retired UPSC chairmen and members, received for defraying the services of an orderly and covering expenses for secretarial assistance on a contractual basis?"," ₹ 10,000"," ₹ 14,000"," ₹ 12,000", None of the above,D,,val
What are the advantages of using electron beam welding?, Absence of porosity, Distortion less, Welds are clean, All of these,D,,val
"How long will it take to fill the tank if Pipe A can fill it in 5 hours, Pipe B in 10 hours, and Pipe C in 30 hours, and all pipes are open simultaneously?", None of the other choices, 3.5 hours, 2 hours, 2.5 hours,A,,val
"A wire that is 1 meter long moves at a speed of 10 m/s perpendicular to a magnetic field. If an emf of 1 volt is induced in the wire, what is the magnitude of the magnetic field?", 0.2 T, None of the other choices, 0.01 T, 0.1 T,D,,val
Which output of Project Cost Management provides quantitative estimates of the likely costs needed to finish project tasks?, None of the other choices, Cost baseline, Earned value management, Cost management plan,A,,val
"On a Windows Server 2012 R2, what PowerShell command would you use to set the preferred DNS server without altering other configurations like the IP address?", None of the other choices, Register-DnsClient, Set-DnsPreferredClientServerAddress, Set-DnsClientServerAddress,D,,val
What is the X to A ratio in super females of Drosophila?,1.5,0.67,1,0.33,A,,val
How many slokas are there in Bharat Muni’s Natya Shastra?,"6,600.00","4,050.00","5,500.00",6000,D,,val
Which one of the following is not typically a characteristic of equilibrium in a physical process?, The opposing processes occur at the same rate and there is a dynamic but stable condition, All the physical processes stop at equilibrium, All measurable properties of the system remains constant, Equilibrium is possible only in a closed system at a given temperature,B,,val
Who divided culture into material culture and non-material culture?, Radcliffe Brown., Malinowski, E.B. Tylor, Ogburn,D,,val
What might be your conclusion if you notice that one child in your therapy group is not responding and shows little interest in the chocolate drop rewards given for talking about feelings?, None of the other choices, You are not using the appropriate reinforcement schedule., You are not being consistent in giving out the reward., The reward you chose is not reinforcing for this particular child.,D,,val
What causes shot noise?, Electrons, Photons, Both of the mentioned, None of the mentioned,A,,val
Which country ranked first in the 2011 Human Development Index out of 187 countries in the HDI Report for that year?, U.S.A., New Zealand, Australia, Norway,D,,val
"You are taking a shower in your dormitory when someone nearby flushes a toilet. Suddenly, the cold water pressure drops, and you feel like you are showering in scalding hot water. This happens because the toilet uses more cold water, causing it to flow faster through the pipes to the bathroom. The increased speed of the cold water in the pipes decreases its pressure at the showerhead because faster moving water...", has less gravitational potential energy than slower moving water., losses more energy to viscous drag as it flows through the delivery pipes., has less kinetic energy than slower moving water., has less pressure than slower moving water.,B,,val
"When did Air India sign the contract with SITA for migrating to the Horizon Passenger Service System (PSS), given that they announced the completion of the first milestone of their modernization process on 29 March 2011?", March 2010, April 2010, January 2011, October 2009,B,,val
