question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split
4638,"Using the tables of standard electrode potentials, arrange the fol-lowing substances in decreasing order of ability as reducing agents: Al, Co, Ni, Ag, H_2, Na .",H_2 > Ni > Co > Al > Na > Ag,Al > Co > Ni > Ag > H_2 > Na,Ag > Na > Al > H_2 > Co > Ni,Ag > H_2 > Ni > Co > Al > Na,Ni > Co > Al > Na > Ag > H_2,Co > Al > Na > Ni > H_2 > Ag,Al > Na > Co > H_2 > Ni > Ag,H_2 > Ag > Na > Al > Ni > Co,Na > Al > Co > Ni > H_2 > Ag,Na > H_2 > Ag > Ni > Co > Al,I,8,chemistry,stemez-Chemistry,,test
7159,If the reserve ratio is 10 percent and a new customer deposits $500 what is the maximum amount of money created?,"$5,000 ","$10,000",$500 ,"$2,500","$6,000","$7,500",$50 ,"$4,500 ","$9,000","$1,000",H,7,economics,ori_mmlu-high_school_macroeconomics,,test
3462,"The citrate ion forms a tight bond with calcium ions so that the calcium is unable to react with other substances In view of this, why is sodium citrate added to whole blood immediately after it is drawn from a blood donor?",Sodium citrate is added to cause muscle spasms,Sodium citrate is added to catalyze the formation of fibrin,Sodium citrate is added to preserve the blood's color,Sodium citrate is added to stimulate immune responses,Sodium citrate is added to increase calcium ions,Sodium citrate is added to prevent coagulation,Sodium citrate is added to increase the blood's viscosity,Sodium citrate is added to enhance oxygen carrying capacity of the blood,Sodium citrate is added to decrease the blood's pH level,Sodium citrate is added as a nutrient for blood cells,F,5,biology,stemez-Biology,,test
3435,Which of the following about meiosis is NOT true?,Meiosis produces two haploid gametes.,Homologous chromosomes join during synapsis.,Sister chromatids separate during meiosis I.,Crossing-over increases genetic variation in gametes.,,,,,,,C,2,biology,ori_mmlu-high_school_biology,,test
9350,Show that a plane mirror in contact with a converging lens of focal length f is equivalent to a concave spherical mirror with radius of curvature f.,equivalent to a plane mirror of radius f,equivalent to a convex mirror of radius 2f,equivalent to a concave mirror of radius f/2,equivalent to a spherical mirror with infinite radius of curvature,equivalent to a concave mirror of radius 2f,not equivalent to any mirror,equivalent to a convex mirror of radius f,equivalent to a concave mirror with radius of curvature -2f,equivalent to a concave mirror of radius f,equivalent to a convex mirror with radius of curvature -f,I,8,physics,stemez-Optics,,test
1888,"A husband came home early from work one day. He walked to the bedroom and, upon opening the door, saw his wife and another man in bed together. Visibly upset, the husband told the other man to leave. As the man was reaching for his pants, he pulled out a gun, fearing that the husband was about to attack him. When the husband saw the gun, he jumped on the man and angrily twisted his neck, breaking it and killing him. The husband is guilty for which, if any, of the following crimes?",No crime.,Second-degree murder.,Murder.,Self-defense.,First-degree murder.,Involuntary manslaughter.,Assault.,Justifiable homicide.,Aggravated assault.,,A,0,law,ori_mmlu-professional_law,,test
3274,"Double fertilization is a unique feature of flowering plants. In this process, one sperm unites with the egg to yield a zygote. The second sperm unites with the polar nuclei to initiate the formation of the",megagametophyte,embryo,microgametophyte,perisperm,seed coat,cotyledon,endosperm,epidermis,endodermis,seed embryo,G,6,biology,ori_mmlu-college_biology,,test
4151,"A reacts with B in a one-step reaction to give C. The rate constant for the reaction is 2.0 × 10^-3 M^-1 sec^-1. If 0.50 mole of A and 0.30 mole of B are placed in a 0.50 liter-box, what is the initial rate of the reaction?",0.60 × 10^-3 M/sec,0.80× 10^-3 M/sec,0.40 × 10^-3 M/sec,2.40 × 10^-3 M/sec,0.30 × 10^-3 M/sec,1.00× 10^-3 M/sec,1.20× 10^-3 M/sec,1.80 × 10^-3 M/sec,2.00 × 10^-3 M/sec,1.50× 10^-3 M/sec,G,6,chemistry,stemez-Chemistry,,test
7344,What is social overhead capital?,Private sector investments in technology startups,Public investments in cultural and recreational facilities,Government expenditures on military and defense,Funds allocated for personal savings and retirement accounts,Investments in private health facilities,Corporate investments in research and development,Investments in private educational institutions,Grants provided to non-profit organizations for community development,Private investments for economic growth,Public investments necessary for growth and development,J,9,economics,stemez-Economics,,test
11333,Find f_1(t) {_\ast} f_2(t) if f_1(t) = 2e^-4tu(t) and f_2(t) = 5 cos 3t u(t).,f_1(t) {_st} f_2(t) = (1.6 cos 3t + 1.2 sin 3t - 1.6e^-4t)u(t),f_1(t) {_st} f_2(t) = (1.2 cos 3t + 1.6 sin 3t - 1.3e^-4t)u(t),f_1(t) {_st} f_2(t) = (1.4 cos 3t + 1.2 sin 3t - 1.5e^-4t)u(t),f_1(t) {_st} f_2(t) = (1.6 cos 3t + 1.0 sin 3t - 1.6e^-4t)u(t),,,,,,,A,0,engineering,stemez-ElectricCircuits,,test
7235,Which of the following is NOT an argument for restricting trade?,To support local businesses,To promote a diversity of industries,To promote employment,To promote international relations,To control the market,To increase domestic competition,To protect infant industry,To improve national security,To fight inflation,To protect the environment,I,8,economics,ori_mmlu-high_school_macroeconomics,,test
2959,"The parathyroid glands in man are small, pealike organs. They are ususally four in number and are located on the surface of the thyroid. What is the function of these glands?",The parathyroid glands produce insulin to regulate blood sugar levels,The parathyroid glands regulate blood pressure,The parathyroid glands control breathing rate,The parathyroid glands secrete enzymes that break down proteins,The parathyroid glands control the balance of electrolytes in the body,The parathyroid glands secrete hormones that stimulate red blood cell production,The parathyroid glands are responsible for filtering waste from the blood,The parathyroid glands regulate the calcium-phosphate balance between the blood and other tissues,The parathyroid glands regulate body temperature,The parathyroid glands aid in digestion,H,7,biology,stemez-Biology,,test
6802,A 55-year-old man has had crushing substernal chest pain on exertion over the past 6 weeks. He had a myocardial infarction 2 months ago. He takes nitroglycerin as needed and one aspirin daily. He has smoked two packs of cigarettes daily for 30 years. Examination shows normal heart sounds and no carotid or femoral bruits. Treatment with a β-adrenergic blocking agent is most likely to improve his symptoms due to which of the following mechanisms?,Decreasing myocardial contractility,Dilating the coronary arteries,Peripheral vasodilation,Preventing fibrin and platelet plugs,,,,,,,A,0,health,ori_mmlu-professional_medicine,,test
8696,"The price of a share of stock for company XYZ at the beginning of the week was $24.75. Over the next five days, the stock gained $2.50 on Monday, lost $3.25 on Tuesday, lost $0.75 on Wednesday, gained $1.25 on Thursday, and gained $4.75 on Friday. What was the price of the share of stock at the end of Friday?",$30.75,$12.25 ,$29.25 ,$26.75,$27.75,$31.25,$37.25 ,$25.75 ,$33.25,$28.75,C,2,math,ori_mmlu-elementary_mathematics,,test
3963,"A potato peeling solution was found to be 2.56 M inNaOH (formula weight = 40.0 g/mole) at the end of the day. To operate, the solution must be at least 10 %NaOHby weight (100 gNaOHper 1000 g of solution) . What weight percent corresponds to 2.56 M? The density of a 2.56 M solution of NaOHis about 1.10 g/ml.",13.8 % by weight,11.2 % by weight,5.0 % by weight,6.5 % by weight,8.5 % by weight,10 % by weight,14.5 % by weight,12 % by weight,7.7 % by weight,9.3 % by weight,J,9,chemistry,stemez-Chemistry,,test
5992,In which of the following situations would there be inelastic demand?,A 10% price decrease results in a 20% increase in the quantity demanded.,A 3% price decrease results in a 5% increase in the quantity demanded.,A 2% price decrease results in a 5% increase in the quantity demanded.,A 4% price increase results in a 6% decrease in the quantity demanded.,A 10% price increase results in a 15% decrease in the quantity demanded.,A 6% price increase results in a 9% decrease in the quantity demanded.,A 7% price decrease results in a 10% increase in the quantity demanded.,A 5% price increase results in a 3% decrease in the quantity demanded.,,,H,7,other,ori_mmlu-professional_accounting,,test
9491,"The partial molar volumes of water and ethanol in a solution with $x_{\mathrm{H}_2 \mathrm{O}}=0.45$ at $25^{\circ} \mathrm{C}$ are 17.0 and $57.5 \mathrm{~cm}^3 \mathrm{~mol}^{-1}$, respectively. Calculate the volume change upon mixing sufficient ethanol with $3.75 \mathrm{~mol}$ of water to give this concentration. The densities of water and ethanol are 0.997 and $0.7893 \mathrm{~g} \mathrm{~cm}^{-3}$, respectively, at this temperature.",-16 $\mathrm{~cm}^3$,-12 $\mathrm{~cm}^3$,-14 $\mathrm{~cm}^3$,-4 $\mathrm{~cm}^3$,4 $\mathrm{~cm}^3$,-8 $\mathrm{~cm}^3$,2 $\mathrm{~cm}^3$,-10 $\mathrm{~cm}^3$,0 $\mathrm{~cm}^3$,-6 $\mathrm{~cm}^3$,F,5,physics,scibench-thermo,,test
5026,"This question refers to the following information.
I walk alongside the column, ask what's going on.
A soldier says simply: ""They call up more every day.
""Some of us were sent north to the Yellow River at age fifteen,
And now at forty we're heading off to the garrisons in the west.
On our first tour, the village headman had to tie our bandannas for us.
When we came back, our hair was white, but still there's more unrest.
The frontier garrisons run with blood, enough to fill an ocean,
But the Martial Emperor's territorial ambitions have yet to crest.
In the hundred districts east of the mountains, throughout the land of Han,
There must be ten thousand villages that brambles now infest.
Even if wives are strong enough to handle a hoe and plow,
The crops grow every which way, the fields are all a mess.
It's hardest for the Shanxi men, with their reputations as fighters:
They're rounded up like dogs or chickens, every male impressed.
""But sir, though it's good of you to ask,
Complaining isn't part of the soldier's task.
We can only shake our heads. Take this winter:
The Shanxi troops were never sent home.
The District Officers are demanding the land tax,
But where will it come from? You can't get blood from a stone!
I honestly think it's bad luck to bear a son now,
It's better to have a daughter: at least she can marry
And live with the neighbors next door.
But a son will end up lying on some distant prairie.""
Du Fu, ""Ballad of the Army Carts,"" ca. 750 C.E.
Based on the poem and your knowledge of history, Tang relations with western nomadic peoples and frontier peoples relied on which of the following?",The establishment of a network of spies and informants among the nomadic tribes,Adroit diplomacy and establishment of client relationships with bordering nomads,The payment of tribute to nomadic rulers,The forced relocation of frontier peoples to central China,The use of economic incentives to secure the loyalty of nomadic rulers,The negotiation of peace treaties with nomadic rulers,The dissemination of Chinese culture and traditions among frontier peoples,The permanent settlement of Han Chinese in frontier zones,The ability of the Tang emperor to project military power on the frontier in order to impose his will,,I,8,history,ori_mmlu-high_school_world_history,,test
6693,"A 24-year-old man is brought to the emergency department 40 minutes after he was involved in a motor vehicle collision. He was the unrestrained driver. He is conscious. Physical examination shows numerous lacerations and ecchymoses over the face. His vision is normal. Ocular, facial, and lingual movements are intact. The gag reflex is present. Sensation to pinprick is absent over the right side of the face anterior to the right ear, extending down along the full extent of the mandible to the chin. Sensation also is absent over the right side of the tongue. X-rays of the skull show fractures of the orbit, zygomatic arch, and infratemporal fossa. The most likely cause of these findings is a fracture affecting which of the following locations? ",Stylomastoid foramen,Foramen ovale,Jugular foramen,Foramen spinosum,Internal acoustic meatus,Foramen rotundum,Optic canal,Superior orbital fissure,Foramen magnum,Foramen lacerum,B,1,health,ori_mmlu-professional_medicine,,test
1488,Which statement is closest to characterizing the principal difference between the positions adopted by Hobbes and Locke?,They differ in their views about the necessity of a social contract.,They disagree about the role of law in society.,They have contrasting views on the role of religion in society.,They have different ideas about the importance of education.,They have different perspectives on economic policies.,They have opposing views about the nature of contractual obligations.,They differ in respect of their account of life before the social contract.,They hold opposing views on the subject of individual rights.,They disagree on the structure and role of government in society.,They adopt different attitudes towards the role of the courts in maintaining order.,G,6,law,ori_mmlu-jurisprudence,,test
5433,What is the relationship between Westphalian sovereignty and humanitarian intervention?,"Theories of Westphalian sovereignty argue that humanitarian intervention is an essential tool for maintaining global security, and hence should be supported by all states.","State sovereignty and principles of non-interference that underpin the Westphalian approach can be disregarded, provided that there is a consensus amongst international actors that human life within the state is at risk, and where that risk is from the actions of the state itself.","The Westphalian model of sovereignty promotes the idea of shared responsibility, arguing that states have a duty to intervene in a humanitarian crisis, regardless of the sovereignty of the affected state.","In its advocacy of global political institutions, the Treaty of Westphalia defined state sovereignty as being subjective to the behaviour of the political or ruling elite in that state, prioritizing human welfare over arbitrary values of sovereignty and thus legitimising humanitarian intervention where necessary.","Theories of Westphalian sovereignty decree that principles of non-intervention are paramount to achieving security; this has been extended into the contemporary global security environment in which international bodies such as the UN condemn humanitarian intervention, regarding it as detrimental to state-centric security.",Westphalian sovereignty supports the idea of humanitarian intervention only when it is requested by the state in question.,The Westphalian concept of sovereignty emphasizes the importance of international cooperation and hence supports the idea of humanitarian intervention under the supervision of international bodies.,"The international society is governed by norms of Westphalian sovereignty that advocate non-intervention and the respect of state sovereignty as a means of achieving security. These norms are enshrined in the Charter of the United Nations, which bans the use of force between states except in self-defence or when authorized by the UN.","Westphalian sovereignty and humanitarian intervention are not related, as the former is a political concept and the latter is a social one.",,H,7,other,ori_mmlu-security_studies,,test
7684,Output in country X is 30000 units and there are 3000 persons working while country Z has an output of 40000 units and 8000 workers.,The productivity of labor in country X is 75 percent higher than in country Z.,The productivity of labor in country X is 33 percent higher than in country Z.,The productivity of labor in country Z is 33 percent higher than in country X.,The productivity of labor in country Z is 50 percent higher than in country X.,The productivity of labor in country X is 50 percent higher than in country Z.,The productivity of labor in both countries is the same.,The productivity of labor in country X is 25 percent lower than in country Z.,The productivity of labor in country Z is twice as much as country X.,The productivity of labor in country X is twice as much as country Z.,The productivity of labor in country Z is 25 percent higher than in country X.,I,8,economics,ori_mmlu-high_school_macroeconomics,,test
10263,"An Aston Martin V8 Vantage sports car has a lateral acceleration of $0.96g = (0.96)(9.8 m / s^2) = 9.4 m / s^2$. This is the maximum centripetal acceleration the car can sustain without skidding out of a curved path. If the car is traveling at a constant 40m/s on level ground, what is the radius R of the tightest unbanked curve it can negotiate? (Unit: m))",190,150,220,200,160,180,230,170,210,140,H,7,physics,theoremQA-Physics,,test
178,"Mr. Howard owns a house worth $16,500 which is assessed at the rate of 22%. His tax rates are as follows: $.41 per $100 for a local college fund $.02 per $100 for special education $.001 per $100 for health and welfare $.089 per $100 for community construction How much tax does Mr. Howard pay for each of these needs? What was the total tax?",$3.23,$21.43,$18.88,$20.00,$17.65,$22.50,$19.76,$16.34,$15.47,$14.88,C,2,business,stemez-Business,,test
7649,Which of the following situations best exemplifies the concept of consumer surplus?,A consumer gets a pizza for free.,The federal government has taken in more revenue than it has paid out in expenditures.,The total amount a consumer is willing to pay for a pizza is less than the market price.,A consumer pays less for a pizza than the cost of its production.,It refers to a consumer who no longer has any outstanding debts.,A consumer is willing to pay a higher price for a pizza than the current market price.,A consumer pays less for a pizza than she thought it was worth at the margin of the purchase.,A consumer pays more for a pizza than she thought it was worth at the margin of the purchase.,A consumer pays exactly the same amount for a pizza as she thought it was worth at the margin of the purchase.,A consumer pays more for a pizza than the market price.,G,6,economics,ori_mmlu-high_school_microeconomics,,test
12097,"Water cools the inside of a pipe, with the transfer of heat accomplished by the mechanism of forced convection. The mass flow rate is 200 lbm/hr. The pipe is 10 ft. long and has a 4 in. internal diameter. If the water has an entrance temperature of 40°F and an exit temperature of 100°F, what is the temperature of the inside wall surface?",191.2°F,210°F,187.3°F,185°F,200°F,175°F,195.7°F,190.2°F,180.5°F,205°F,A,0,engineering,stemez-HeatTransfer,,test
7764,"Find the area of the region between the graphs of the functions f(x) = x^2 - 4x + 10, g(x) = 4x - x^2, 1 <= x <= 3.",2.987,3.456,8.129,7.654,4.212,6.789,5.333,4.567,9.871,7.890,G,6,math,theoremQA-Math,,test
5408,The fixed assets and related depreciation of a company are currently tracked on a password-protected spreadsheet. The information technology governance committee is designing a new enterprise-wide system and needs to determine whether the current fixed asset process should be included because the current system seems to be working properly. What long-term solution should the committee recommend?,Purchasing a stand-alone fixed asset program for managing the assets and related depreciation,Adopting the fixed asset module of the new system for integration.,Leaving the decision to the individual departments to choose their preferred method,Adopting a cloud-based fixed asset management system,Incorporating blockchain technology for asset tracking and depreciation,Implementing an open-source fixed asset system to manage the assets and related depreciation,Continuing to use the current spreadsheet process because there have been no issues in this area.,Implementing an AI-based fixed asset system to manage the assets and related depreciation,Developing a new fixed asset system to manage the assets and related depreciation,Outsourcing the management of fixed assets to a third-party company,B,1,other,ori_mmlu-professional_accounting,,test
9959,"A spacecraft of mass $10,000 \mathrm{~kg}$ is parked in a circular orbit $200 \mathrm{~km}$ above Earth's surface. What is the minimum energy required (neglect the fuel mass burned) to place the satellite in a synchronous orbit (i.e., $\tau=24 \mathrm{hr}$ )?",3.56$10^{11} \mathrm{~J}$,2.20$10^{11} \mathrm{~J}$,4.12$10^{11} \mathrm{~J}$,1.50$10^{11} \mathrm{~J}$,2.01$10^{11} \mathrm{~J}$,1.89$10^{11} \mathrm{~J}$,2.75$10^{11} \mathrm{~J}$,2.98$10^{11} \mathrm{~J}$,2.57$10^{11} \mathrm{~J}$ ,3.24$10^{11} \mathrm{~J}$,I,8,physics,scibench-class,,test
5683,The percentage of children in Vietnam (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,60%,30%,10%,40%,70%,20%,90%,50%,80%,100%,F,5,other,ori_mmlu-global_facts,,test
3901,"The flux of visible photons reaching Earth from the North Star is about $4 \times 10^3 \mathrm{~mm}^{-2} \mathrm{~s}^{-1}$. Of these photons, 30 per cent are absorbed or scattered by the atmosphere and 25 per cent of the surviving photons are scattered by the surface of the cornea of the eye. A further 9 per cent are absorbed inside the cornea. The area of the pupil at night is about $40 \mathrm{~mm}^2$ and the response time of the eye is about $0.1 \mathrm{~s}$. Of the photons passing through the pupil, about 43 per cent are absorbed in the ocular medium. How many photons from the North Star are focused onto the retina in $0.1 \mathrm{~s}$ ?",7.2 $10^3$,2.5 $10^3$,6.1 $10^3$,4.4 $10^3$,5.8 $10^3$,6.6 $10^3$,1.8 $10^3$,3.6 $10^3$,3.2 $10^3$,4.9 $10^3$,D,3,chemistry,scibench-matter,,test
11017,"According to Hobbes, the definition of injustice is _____.",failure to abide by a contract,disregard for societal norms,acting against the welfare of others,disobedience to parental authority,disobedience to God's law,acting against one's own self-interest,failure to follow the rule of law,failure to respect inherent rights,failure to uphold moral duties,disobedience to a sovereign,A,0,philosophy,ori_mmlu-philosophy,,test
542,"The ABC Corporation has issued 200 bonds, each with a $1,000 face value, redeemable at par after 15 years.In order toaccumulate the funds required for redemption, ABC has establisheda fund of annual deposits earning 4% interest peryear. What will be the principal in the fund at the endof 12 years?Round your answer to the nearest dollar.","$180,250","$175,000","$15,026","$205,500","$9,988.01","$12,000","$125,000","$200,000","$160,320","$150,080",J,9,business,stemez-Business,,test
4240,3H_2(g) + N_2(g) \rightleftharpoons 2NH_3(g) given that \DeltaH°_2-_98 = - 22.08 kcal. The heat capacity data for the reaction is given in cal mol^-1 K^-1 as C°_P = 6.9469 - .1999 × 10^-3T + 4.808 × 10^-7T^2for H_2(g) C°_P = 6.5421 + 1.25 × 10^-3T - .00717 × 10^-7T^2for N_2(g) C°_P = 6.1890 + 7.8872 × 10^-3T - 7.2801 × 10^-7T^2 for NH_3(g),- 20.38 kcal = - 106.209 kJ,- 25.38 kcal = - 106.209 kJ,- 30.38 kcal = - 106.209 kJ,- 25.38 kcal = - 100.209 kJ,,,,,,,B,1,chemistry,stemez-PhysicalChemistry,,test
7884,"9.6-111. Let $X$ and $Y$ have a bivariate normal distribution with correlation coefficient $\rho$. To test $H_0: \rho=0$ against $H_1: \rho \neq 0$, a random sample of $n$ pairs of observations is selected. Suppose that the sample correlation coefficient is $r=0.68$. Using a significance level of $\alpha=0.05$, find the smallest value of the sample size $n$ so that $H_0$ is rejected.",$9$,$7$,$10$,$11$,$13$,$20$,$5$,$8$,$12$,$15$,A,0,math,scibench-stat,,test
6419,A patient is stabbed in the neck. You suspect damage to the accessory nerve in the posterior triangle. You would test nerve function by asking the patient to,turn their head to the side without impairment.,lift their shoulders against resistance.,extend their neck against resistance.,extend their neck without impairment.,rotate their head against resistance.,shrug their shoulders without resistance.,lift their shoulders without impairment.,rotate their head without impairment.,turn their head to the side against resistance.,extend their arm against resistance.,B,1,health,ori_mmlu-anatomy,,test
1058,"A patent holder brought a patent infringement action in federal court against a licensee of the patent. The patent holder believed that a jury would be more sympathetic to his claims than a judge, and asked his lawyer to obtain a jury trial. What should the lawyer do to secure the patent holder's right to a jury trial?",File and serve a jury trial demand within 60 days after the close of the pleadings.,File and serve a jury trial demand at the close of discovery.,Submit a jury trial demand by email to the judge's office.,File and serve a jury trial demand within 30 days after the close of the pleadings.,File and serve a jury trial demand at the initial court hearing.,File and serve a complaint that excludes a jury trial demand.,Make a verbal request for a jury trial during the first court hearing.,Make a jury trial demand at the initial pretrial conference.,File and serve a complaint that includes a jury trial demand.,File and serve a jury trial demand within 14 days after the complaint was served.,I,8,law,ori_mmlu-professional_law,,test
9984,"A point light source is on the axis of a convergent lens, and an image is formed 25 cm from the lens on the other side. When a second lens is placed in contact with the first, the image is formed 40 cm from the combination on the side opposite the source. What is the focal length of the second lens?",66.67 cm,40 cm,- 40 cm,50 cm,- 16.67 cm,- 100 cm,- 50 cm,25 cm,- 66.67 cm,- 25 cm,I,8,physics,stemez-Optics,,test
453,"Firestone's Clothing Store had an August 1 inventory of $2,300. During August, new merchandise purchases totaled $1,125,and sales were $3,485. If the margin on sales was 18%, estimate the final inventory on August 31.",$800.00,$567.30,"$1,500.00",$627.30,$940.00,"$2,000.00","$1,938.00","$2,857.70","$1,725.00","$3,485",B,1,business,stemez-Business,,test
10782," According to Reiman, van den Haag's argument leads to the conclusion that",we should refrain from imposing the death penalty.,the death penalty is a necessary evil.,murder is wrong.,we should institute death by torture.,capital punishment serves as a deterrent.,society should be more lenient towards criminals.,we should abolish all forms of punishment.,the death penalty is the ultimate form of justice.,criminals should be given a chance to reform.,the refusal to execute criminals has a civilizing effect.,D,3,philosophy,ori_mmlu-moral_disputes,,test
1383,Is extra-territorial abduction a ground for refusal of otherwise lawful jurisdiction by English courts?,Such abduction is encouraged to expedite the course of justice,Extra-territorial abduction has no influence on the proceedings of English courts,The stay of proceedings under such circumstances would prevent the administration of justice in respect of international criminals,Such abduction results in immediate dismissal of the case,The jurisdiction of English courts is nullified in cases of extra-territorial abduction,Such abduction gives rise to the abductor's liability but does not lead to a stay of proceedings,English courts will always refuse jurisdiction in cases of extra-territorial abduction,Such abduction constitutes abuse of process and leads to a stay of proceedings,The court proceedings are automatically stayed if the abductee is a non-UK citizen,,H,7,law,ori_mmlu-international_law,,test
7249,What will be the properties of the OLS estimator in the presence of multicollinearity?,It will not be unbiased or efficient,It will be consistent and efficient but not unbiased,It will be efficient but not consistent or unbiased,It will be efficient and unbiased but not consistent,It will be consistent and unbiased but not efficient,It will not be efficient,It will not be consistent,It will be consistent but not unbiased,It will be unbiased but not consistent,"It will be consistent, unbiased and efficient",J,9,economics,ori_mmlu-econometrics,,test
