question,тақырып,таңдаулар,жауап,sheet
 Grant Co. компаниясының сату бюджеті 31 желтоқсанда аяқталатын жылға келесі болжамдарды көрсетеді: Тоқсан бірліктері Бірінші 30000 Екінші 40000 Үшінші 22500 Төртінші 27500 Барлығы 120000 Жыл басындағы қор 9000 бірлік деп бюджеттелген. Әр тоқсанның соңындағы дайын өнім қорының мөлшері келесі тоқсанның бюджеттелген бірлік сату көлемінің 30%-ына тең болуы керек. Бірінші тоқсанда өндірілетін бірліктер үшін өндіріс бюджетінде қандай сома көрсетілуі керек?, кәсіби_бухгалтерлік_есеп, ['36000' '33000' '24000' '12000'],1,Sheet1
 Төмендегі тұжырымдардың қайсысы трансұлттық компанияларды (ТҰК) ДҰРЫС сипаттамайды?, орта мектеп географиясы," ['Көптеген ТҰК электроника, химия, фармацевтика және мұнай салаларында жұмыс істейді.'' Көпшілік ТҰК өнеркәсіптік тауарларды шығарады және сатады.'' Көпшілік ТҰК штаб-пәтері Америка Құрама Штаттарында, Жапонияда және Еуропалық Одақта орналасқан.'' ТҰК-ны әдетте шетелдік үкіметтер бақылайды.",3,Sheet1
 Ерлердегі жыныстық гормондардың өндірілуін реттейтін кері байланыс цикліне төмендегілердің қайсысынан басқасының барлығы кіреді?, адам_жыныстық_қатынас,['окситоцин' 'гонадотропинді бөліп шығаратын гормон' 'фолликуланы ынталандыратын гормон' 'гипофиз безі'],0,Sheet1
 Айналмалы үйкеліссіз платформада қолдарын екі бүйіріне қаратып тұрған адам. Төмендегілердің қайсысы адам-платформа жүйесінің бұрыштық импульсін өзгерте алады?, орта мектеп_физикасы," ['Ер адам досының лақтырған бейсбол добын қағып алады.' 'Ер адам қолдарын денесінен алыстатады' 'Ер адам қолдарын денесінен алыстатады, содан кейін қолдарын қайтадан бүйіріне тез келтіреді.' 'Ер адам ауаға тіке секіріп, платформаға қайта түседі.']",0,Sheet1
Аутозиготалық карталау тұқым қуалаудың қандай үлгісін көрсететін бұзылуларды картаға түсіру үшін қолданылады?, медициналық_генетика, ['Аутосомды-доминантты' 'Аутосомды-рецессивті' 'X-байланысты доминантты' 'X-байланысты рецессивті'],1,Sheet1
"2020 жылғы жағдай бойынша АҚШ-тағы қарапайым моральдық стандарттарға сәйкес, осы екі сценарийдің қайсысында басты кейіпкер (мен/мен/менің сөздерін қолданатын) моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-сценарий | Мен жеке сәтте ең жақсы волейболшыммен қытықтадым. 2-сценарий | Мен еденді сүрткеннен кейін «дымқыл еден» белгісін іліп қоюға сенімді болдым.", моральдық_сценарийлер," ['Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес']",1,Sheet1
" Егер радиоактивті заттың жартылай ыдырау периоды 8 жыл болса, онда заттың үштен екі бөлігінің ыдырауы қанша жылдан кейін болады?", орта мектеп математикасы, ['4.68' '7.69' '12.21' '12.68'],3,Sheet1
Топтың a(n) __________ тапсырмасын орындауы топтың ең білікті немесе білімді мүшесінің жұмысымен шектеледі., кәсіби_психология, ['additive' 'compensatory' 'disjunctive' 'conjunctive'],3,Sheet1
 Адамдарға улы заттар көбінесе дәм сезеді, орта мектеп психологиясы, ['қышқыл' 'тәтті' 'тұзды' 'ащы'],3,Sheet1
 Хемиосмоз I. Митохондриялар II. Ядролар III. Хлоропласттарда кездеседі, орта мектеп_биологиясы, ['Тек мен' 'Тек II' 'Тек III' 'I және III'],3,Sheet1
 Постструктурализмді зерттеудің басқа саласына айналдыратын тақырыптар қандай және ол неліктен сынға алынады?, қауіпсіздікті зерттеу,"[«Сыни қауіпсіздік зерттеулерінің негізгі болжамдарының бірі - әлем туралы теориялар сол әлемді құрайды, сондықтан бұл теорияның, соның ішінде қауіпсіздік теориясының, саяси әсері бар. Нәтижесінде теория жүйенің өнімі болып табылады және қауіпсіздік агенті мен сілтеме жасайтын нысанды талдау оның өз тәжірибесімен жасалады». «Постқұрылымдық әдебиеттің саяси және сыни сипатының негізгі бөлігі демократия этосы мен шектеулі және қолжетімді сын этосын қалыптастыру идеясы болып табылады. Біз осы мақсатқа ұмтылуымыз керек, бірақ оған тек белгіленген шарттарда, яғни шынайы демократияда қол жеткізуге болады». «Сынның негізгі ұғымы - сыншыл болудың мәні мәселесіне жауап беру. Бұл әрқашан әлеуметтік өзгеріс мақсатында білім талаптарының артындағы қызығушылықты ашу мәселесін көтереді, теорияның соңы ретінде қабылданады: практикалық және контекстік түсініктер білім талаптары кімге қызмет ететінін хабарлайды». «Постқұрылымшылдық қауіпсіздік зерттеулері туралы пікірталаста басым болатын білім талаптарының формасы мен негіздерін қабылдайды. Бұл оны сыни зерттеулер қауымдастығымен қақтығысқа әкелді, білімнің қалай құрылатынын түсінуге аз үлес қосты.",0,Sheet1
 Төмендегілердің қайсысы мектептегі үшінші деңгейлі алдын алу критерийлеріне сәйкес келеді, кәсіби_психология, ['Мекемелік күтім мекемесінен қайта жұмысқа орналасқан студенттерге жеке кеңес беру' 'Мансаптық бағдар студенттерге бітіргеннен кейінгі жоспарлары туралы сенімсіздік тудырды' 'Ажырасудың алғашқы кезеңдерінен зардап шеккен студенттерге шағын топтарда кеңес беру' 'Балалардың өзін-өзі бағалауын дамытуға баса назар аударатын үлкен топтық бағдарламалар'],0,Sheet1
" 600 МГц спектрометрдегі молекуладағы 13C ядролары 100% поляризациялануы мүмкін делік (p = 1). Егер T1 = 5,0 с болса, p 298 К температурада термиялық тепе-теңдік поляризациясының екі еселенген мәніне жету үшін қанша уақыт кетеді?", колледж_химиясы,['[Поляризация экспоненциалды түрде босаңсиды: p(t) = [p(0) - peq]exp(-t/T1) + peq.]' '72.0 s' '56.6 s' '12.7 s'],1,Sheet1
"Жер беруші – 1000 акр жер учаскесінің қарапайым иесі. Жер учаскесінің жартысы егіншілікке мүлдем жарамсыз батпақты жер, дегенмен ол бағалы қатты ағаштармен жабылған. Екінші жартысы да бағалы ағаштармен жабылған, бірақ егер ағаштан тазартылса, бұл жер егін өсіруге жарамды болады. Жер учаскесінің соңғы бөлігі ағаш өсіруге қарағанда егіншілікке құндырақ. Жер беруші өз учаскесін ағасына өмір бойына берді. Жер беру кезінде батпақты жер ешқашан ағаш өндіру үшін пайдаланылмаған. Ағасы егіншілікке жарамды учаскедегі 40 акр ағашты иеленіп, тазартты. Сонымен қатар, ағасы батпақты жерде 60 акр ағаш кесіп, бұл аумақты пайдаланған алғашқы адам болды. Ағасының егіншілікке жарамды учаскедегі ағашты кесуі мысал бола алады.", кәсіби_құқық,['рұқсат етілген қалдықтар.' 'мелиорациялық қалдықтар.' 'әділ қалдықтар.' 'ақылға қонымсыз пайдалану.'],1,Sheet1
 Төмендегі түсіндірмелердің қайсысы теріске шығаруды білмеу қателігіне ең сәйкес келеді?, логикалық_қателіктері,"[«даулы қарсыластың оңай жеңіліске ұшыраған позицияны алғанын, ал қарсыластың өзі оны шынымен де алған жоқ екенін айту, позицияны жеңу және сол адамның жалпы дәлеліне айтарлықтай зиян келтіргендей әрекет ету». «теріске шығаруға қатысу мүмкіндігінің нақты немесе жалған болмауына байланысты теріске шығару кезінде шатасу тудыру» «қарсы дәлелді оны немесе оның салдарын күлкілі етіп көрсететіндей етіп сипаттау» «іс-әрекетті тек біреуге немесе топқа адал болу қажеттілігіне негіздеп дәлелдеу керек»]",1,Sheet1
" +5e және -6e таза зарядтары бар екі сфера қысқа уақытқа жанасады. Осыдан кейін, екі сфера үшін келесілердің қайсысы таза зарядтардың мүмкін болатын комбинациясы болып табылады?", орта мектеп_физикасы, ['+3e және -4e' '+1.5e және -2.5e' 'Жоғарыдағылардың екеуі де' 'Жоғарыдағылардың ешқайсысы емес'],0,Sheet1
Айыпталушы бардағы дау кезінде жәбірленушіні бильярд кийімен ұрғанын мойындағаннан кейін шабуыл және ұру үшін қылмыстық жауапкершілікке тартылды. Айыпталушы мас және агрессивті жәбірленушінің шабуылына ұшырағаннан кейін өзін-өзі қорғау үшін әрекет еткенін мәлімдеді. Сот отырысында айыпталушы жәбірленушінің жанжалда агрессор болғанын айтқан куәгерді шақырды. Куәгерден жауап алу кезінде айыптаушы куәгерге келесі сұрақ қойды: «Өткен жылы федералды табыс салығы бойынша декларацияны тапсырған кезде жинақ шоттарыңыздан түскен пайыздық табысты көрсетпегеніңіз рас па?» Айыпталушыға бұл факт туралы куәгердің бухгалтері хабарлады. Айыпталушының адвокатының қарсылығы бойынша прокурордың сұрағы..., кәсіби_құқық,"['дұрыс емес, себебі бұл істегі мәселелерге қатысы жоқ.' 'дұрыс емес, себебі сотталушы салық декларациясына байланысты ешқандай қылмыс үшін сотталмаған.' ""соттың қалауы бойынша рұқсат беруге, себебі жалған табыс салығы декларациясын тапсыру куәгердің шыншылдығына қатысты әрекет болып табылады."" ""соттың қалауы бойынша рұқсат беруге, себебі федералдық табыс салығын төлеуден жалтару бір жылдан астам мерзімге бас бостандығынан айыру жазасына кесілетін қылмыс болып табылады.""]",2,Sheet1
 Сыртқы әсер, орта мектеп_микроэкономикасы, ['тепе-теңдік бағаның жасанды түрде жоғары болуына әкеледі' 'тепе-теңдік бағаның жасанды түрде төмен болуына әкеледі' 'нарықтар тепе-теңдікке жете алмаған кезде болады' 'қоғамға жалпы пайданы барынша арттырмайтын тепе-теңдікке әкеледі'],3,Sheet1
 Утилитаризмнің негізгі кейіпкері кім болды?, басқару, ['Джон Стюарт Милл' 'Томас Гоббс' 'Карл Маркс' 'Адам Смит'],0,Sheet1
"Таулы аймақтағы жер учаскесінің иесі жер учаскесінде шағын жазғы коттедж салу үшін бас мердігерді жалдады. Тараптар сәулетшінің құрылысты аяқтау туралы сертификатын талап ететін ережені қамтитын жарамды, жазбаша құрылыс келісімшартын жасасты. Коттедж құрылысы аяқталғаннан кейін, иесі мердігердің жұмысын тексеру және сертификат беру үшін сәулетшіні жалдады. Сәулетші сертификатты рәсімдеуден бас тартты. Содан кейін мердігер иесінен келісімшарттың толық сомасын өндіріп алу үшін сотқа шағым түсірді. Иесі сертификаттың берілмеуі оны келісімшарт бойынша одан әрі жұмыс істеуден босатады деп мәлімдеді. Бұл дәлелді тыңдағаннан кейін, көптеген соттар...", кәсіби_құқық,['сәулетшіге сертификатты рәсімдеуді бұйырыңыз.' 'мердігерден тармақты алып тастау үшін реформалау үшін әділдікпен жұмыс істеуді талап етіңіз.' 'мердігерден сәулетшіге залалды өндіріп алуды талап етіңіз.' 'жағдайды кешіріңіз және иесінен мердігерге залалды төлеуді талап етіңіз.'],3,Sheet1
" 40 жастағы әйел дәрігерге 6 ай бойы бетіндегі түктердің өсуінің артуымен келді. Соңғы етеккірі 4 ай бұрын болған. Бойы 165 см (5 фут 5 дюйм) және салмағы 70 кг (154 фунт); Дене салмағының индексі (ДСИ) 26 кг/м2. Пульсі минутына 80, ал қан қысымы 130/82 мм сын. бағ. құрайды. Физикалық тексеру кезінде самай-мүйіздің тақырлануы және жоғарғы ерін мен иек аймағында қалың қара шаштар байқалады. Жамбас қуысын тексеру кезінде клитордың ұлғаюы байқалады. Оның сарысуындағы тестостерон концентрациясы жоғарылаған. Андростендион, дегидроэпиандростерон және зәрдегі 17-кетостероидтардың сарысудағы концентрациясы эталондық диапазонда. Жамбас қуысының ультрадыбыстық зерттеуінде 12 см аналық без ісігі анықталды. Төмендегілердің қайсысы бұл ісікті ең жақсы сипаттайды?", кәсіби_медицина, ['Гранулоза ісігі' 'Аналық без карциноид' 'Сертоли-Лейдиг ісігі' 'Тератома']],2,Sheet1
" жасар бала 19 жастағы анасымен бірге клиникаға топырақ жеу мінез-құлқын бағалау үшін жүргізілген зерттеулердің нәтижелерін талқылау үшін оралады. Науқас анасы денсаулығы туралы сұрақтарға жауап беріп жатқанда тыныш отырады. Анасы ұлының денсаулығы жақсы көрінгенімен, өз жасындағы басқа балалар сияқты белсенді емес сияқты дейді. Ол соңғы 2 аптада басы үш-төрт рет ауырғанын айтты. Оның қызуы, терлеуі немесе қалтырауы болған жоқ. Оның тәбеті жақсы, бірақ 3 жасынан бастап құм мен топырақ жеу әдеті бар дейді. Ол: «Мен оның бұл әдетін қайдан алғанын білмеймін. Мен бұрын топырақ жейтінмін, бірақ бірнеше жыл бұрын тоқтаттым. Мен оның топырақ жеуіне жол бермеуге тырысамын, бірақ екі жұмыста жұмыс істейтіндіктен, көп жүрмеймін», - дейді. Науқас ешқандай дәрі қабылдамайды. Вакцинациялар жаңартылған. Бойы, салмағы және дене салмағының индексі (ДСИ) 50-ші пайыздық деңгейде. Өмірлік маңызды белгілер қалыпты. Физикалық тексеру симметриялы, ауырсынусыз жатыр мойны аденопатиясынан басқа ешқандай ауытқуларды анықтамайды. Зертханалық зерттеулердің нәтижелері, соның ішінде сарысудағы мырыш, қорғасын және темір концентрациялары, анықтамалық диапазондарда. Серологиялық тестілеу токсоплазмозды растайды. Пириметамин мен сульфадиазин терапиясын тағайындаудан басқа, емдеудегі келесі қадамдардың қайсысы ең қолайлы болып табылады?",кәсіби_медицина, ['Флуоксетин тағайындау' 'Метилфенидат тағайындау' 'Рисперидон тағайындау' 'Науқасты балалар психиатрына жолдау'],3,Sheet1
 1-мәлімдеме | Нейрондық желінің конвергенциясы оқу жылдамдығына байланысты. 2-мәлімдеме | Тастап кету кездейсоқ таңдалған белсендіру мәндерін нөлге көбейтеді., машиналық оқыту," ['Шын, Рас' 'Жалған, Жалған' 'Шын, Жалған' 'Жалған, Рас']",0,Sheet1
"Кейде «саунада шомылу» деп аталатын саунаны пайдалану қысқа мерзімді пассивті түрде шамадан тыс ыстыққа ұшыраумен сипатталады. Бұл әсер жеңіл гипертермияны – дененің негізгі температурасының жоғарылауын – тудырады, бұл гомеостазды қалпына келтіру және денені болашақ жылу стресстеріне дайындау үшін бірге жұмыс істейтін нейроэндокриндік, жүрек-қан тамырлары және цитопротекторлық механизмдерді қамтитын терморегуляциялық реакцияны тудырады... Соңғы онжылдықтарда саунаға шомылу бақылау, интервенциялық және механистік зерттеулерден алынған сенімді деректерге негізделген өмір сүру ұзақтығын ұзарту және жалпы денсаулықты жақсарту құралы ретінде пайда болды. Шығыс Финляндиядан келген 2300-ден астам орта жастағы ер адамдардың денсаулық нәтижелерін зерттеу бойынша популяцияға негізделген перспективалық когорттық зерттеу болып табылатын Куопио ишемиялық жүрек ауруының қауіп факторы (KIHD) зерттеуіне қатысушылардың зерттеулерінің нәтижелері ерекше қызығушылық тудырады, онда саунаны пайдалану мен өлім мен аурудың азаюы арасындағы тығыз байланысты анықтады... KIHD зерттеуінің нәтижелері аптасына екі-үш рет саунаны қолданатын ер адамдардың саунаны қолданбайтын ер адамдарға қарағанда жүрек-қан тамырлары ауруларынан қайтыс болу ықтималдығы 27 пайызға аз екенін көрсетті.[2] Сонымен қатар, олардың пайдасы дозаға тәуелді екені анықталды: саунаға шамамен екі есе жиі, аптасына төрт-жеті рет баратын ер адамдар пайдасын шамамен екі есеге арттырды және жүрек-қан тамырлары ауруларынан қайтыс болу ықтималдығы 50 пайызға аз болды.[2] Сонымен қатар, саунаға жиі баратындардың мезгілсіз өлімнің барлық себептерінен қайтыс болу ықтималдығы 40 пайызға аз екені анықталды. Бұл тұжырымдар тіпті жасын, белсенділік деңгейін және ерлердің денсаулығына әсер етуі мүмкін өмір салты факторларын ескерген кезде де шындыққа жанасты.[2]... KIHD сонымен қатар саунаға жиі бару деменция мен Альцгеймер ауруының даму қаупін дозаға тәуелді түрде төмендететінін анықтады. Саунаға аптасына екі-үш рет баратын ер адамдарда деменцияның даму қаупі 66 пайызға, ал Альцгеймер ауруының даму қаупі 65 пайызға төмен болды, бұл саунаны аптасына бір рет қана баратын ер адамдармен салыстырғанда... Саунаны пайдаланудың денсаулыққа пайдасы психикалық денсаулықтың басқа аспектілеріне де қатысты болды. KIHD зерттеуіне қатысқан және аптасына төрт-жеті рет саунаға барған ер адамдарда, ерлердің тамақтану әдеттеріне, әлеуметтік-экономикалық мәртебесіне, физикалық белсенділігіне және қабыну мәртебесіне (С-реактивті ақуызбен өлшенгендей) қарамастан, психотикалық бұзылулардың даму ықтималдығы 77 пайызға төмен болды... Жоғары температураның әсері денені күйзеліске ұшыратады, бұл тез және күшті реакцияны тудырады. Тері мен дененің негізгі температурасы айтарлықтай көтеріледі, содан кейін терлеу пайда болады. Тері алдымен 40°C (104°F) дейін қызады, содан кейін дененің негізгі температурасы өзгереді, 37°C (98,6°F немесе қалыпты)-дан 38°C (100,4°F)-қа дейін баяу көтеріледі, содан кейін 39°C (102,2°F)-қа дейін тез көтеріледі... Жүректің дененің оттегіге деген қажеттілігіне жауап ретінде атқаратын жұмыс көлемінің өлшемі болып табылатын жүрек соғу жылдамдығы 60-70 пайызға артады, ал жүрек соғу жиілігі (минутына соғу саны) артады және соғу көлемі (айдалатын қан мөлшері) өзгеріссіз қалады.[5] Осы уақыт ішінде дененің қан ағымының шамамен 50-70 пайызы терлеуді жеңілдету үшін дененің өзегінен теріге қайта бөлінеді. Орташа адам саунаға шомылған кезде шамамен 0,5 кг терді жоғалтады.[11] Жедел ыстыққа ұшырау сонымен қатар дененің өзегіндегі қан көлемінің төмендеуін азайту үшін плазманың жалпы көлемінің уақытша ұлғаюына әкеледі. Плазма көлемінің бұл ұлғаюы терлеуге арналған сұйықтықтың резервтік көзін қамтамасыз етіп қана қоймай, сонымен қатар автомобиль радиаторындағы су сияқты әрекет етеді, денені салқындатып, дененің дене температурасының тез көтерілуіне жол бермейді және ыстыққа төзімділікті арттырады... Саунаны қайта-қайта пайдалану денені жылуға бейімдейді және дененің болашақ әсерлерге реакциясын оңтайландырады, бұл, мүмкін, гормонезис деп аталатын биологиялық құбылысқа байланысты, бұл стрессордың мөлшеріне сәйкес келмейтін жеңіл стрессорға ұшырағаннан кейінгі компенсаторлық қорғаныс реакциясы. Гормесис жасушалардың зақымдануын қалпына келтіріп қана қоймай, сонымен қатар кейінгі ауыр стрессорларға ұшыраудан қорғайтын көптеген қорғаныс механизмдерін іске қосады... Саунаны пайдалануға физиологиялық реакциялар орташа және күшті қарқынды жаттығулар кезінде пайда болатын реакцияларға өте ұқсас. Шын мәнінде, созылмалы ауруға немесе физикалық шектеулерге байланысты дене белсенділігімен айналыса алмайтын адамдар үшін саунаға бару жаттығудың баламасы ретінде ұсынылды.[13] Мақалаға сәйкес, келесілердің қайсысы саунаға барудың пайдасы ЕМЕС?",колледж_медицина, ['Жүрек талмасы қаупінің төмендеуі.' 'Инсульт көлемінің артуы.' 'Психикалық денсаулықтың жақсаруы.' 'Эректальды дисфункция деңгейінің төмендеуі.'],3,Sheet1
" Ауызекі тілдегі сөздік қорының, айтылымының және ырғағының өзгеруі қалай аталады", орта мектеп географиясы, ['синтаксис.' 'изоглосс.' 'lingua francas.' 'диалектілер.'],3,Sheet1
"Бір компания бірнеше лот бойынша көгалдандыру тастарын белгіленген бағамен және нақты шарттармен сатуды ұсынды. Ұсыныс алушы ұсыныс берушіге: «Біз сіздің көгалдандыру тастарын осы күні көрсетілген шарттар бойынша сату туралы ұсынысыңызды алдық» деген хабарлама жіберді. Ұсыныс беруші хабарламаны алғаннан кейін тауарды жөнелтті. Жөнелту күні ұсыныс алушы шарттарға аздаған өзгерістер енгізілген қабылдау нысанын жариялады. Тауарлар келгеннен кейін ұсыныс алушы ұсыныс берушінің менеджеріне қоңырау шалып, компанияның қазіргі уақытта ұсынысты қабылдай алмайтынын, тауарды кері жөнелтіп жатқанын және «біз жіберген кез келген құжатты елемеуге» шақырғанын айтты. Ұсыныс беруші ұсыныс алушыны келісімшартты бұзғаны үшін сотқа берді. Кім басым болады?", кәсіби_құқық,"[«Ұсыныс беруші басымдыққа ие болады, себебі қабылдау туралы хабарлама тараптар арасында келісімшарт жасасты.» «Ұсыныс алушы басымдыққа ие болады, себебі ол ұсынысты көрсетілген шарттармен ешқашан қабылдамаған.» «Ұсыныс беруші бірінші қабылдауды алған кезде тауарды жөнелткендіктен басымдыққа ие болады.» «Ұсыныс алушы басымдыққа ие болады, себебі ол ұсыныс берушінің менеджеріне қоңырау шалған кезде ұсынысты қабылдамады.»]",0,Sheet1
"Бір топ адам қағазға 12345.6789 санын жазып қояды. Содан кейін топ ойын ойнауды шешеді. Ойынның жеңімпазы берілген санды дөңгелектеп, кез келген адамнан жоғары санды ала алатын адам болады. Элис он мыңдыққа дейін, Боб мыңдыққа дейін, Кэрол жүздікке дейін, Девон ондыққа дейін және Юджин бүтін санға дейін дөңгелектейді. Сонымен қатар, Фелисити санды ондыққа дейін, Джералд жүздікке дейін, Гарри мыңдыққа дейін және Ирен он мыңдыққа дейін дөңгелектейді. Ойында кім жеңеді?", орта мектеп математикасы, ['Элис' 'Девон' 'Боб' 'Джералд'],1,Sheet1
 Сіз пациентіңіздің жақ асты сілекей безінің ұлғаюына күдіктенесіз. Сіз бездің ұлғаюын күтесіз, анатомия,"['ауыз ішіне пальпацияланады..' 'ауыздан тыс пальпацияланады.' 'ауыз ішіне де, сыртына да пальпацияланады.' 'тек рентгенологиялық зерттеу арқылы анықталады.'",2,Sheet1
" Каллахан 1990 жылы Нидерландының эвтаназия жөніндегі комиссиясын талқылап, мұны көрсетеді", моральдық_даулар," ['эвтаназияға рұқсат беретін заңдар теріс пайдаланылуы мүмкін және қолданылған.' 'эвтаназия жасайтын дәрігерлер бұл туралы хабарламауы мүмкін.' 'А да, В да' 'А да, В да емес']",2,Sheet1
