subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I knew the right thing to do was to turn the lost wallet into the police department, but I went straight to the bank to deposit the money that was in it. Scenario 2 | I walked my dogs for 20 hours last night.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",0,A,test
management,Which one of the following is not a characteristic of a team?,Minimal and formal knowledge sharing,Collective output,Individual and collective responsibility,Fluid dimension to roles and tasks,0,A,test
high_school_microeconomics,"In order for a firm to successfully carry out price discrimination, which of the following conditions must hold? I. The firm cannot face a downward sloping demand curve. II. The firm must have market power. III. Buyers with differing demand elasticities must be separable. IV. The firm must have motives beyond profit maximization. V. The firm must be able to prevent the re-sale of its products.","I, III, and V only",III and IV only,I and IV only,"II, III, and V only",3,D,test
miscellaneous,In what year did the Great Depression begin?,1884,1929,1953,1975,1,B,test
professional_medicine,"A 9-year-old boy is brought to the physician because of progressive weakness and a purple-red discoloration over his cheeks and upper eyelids over the past 8 weeks. His symptoms began shortly after a camping trip, and he now is unable to climb stairs, walk long distances, comb his hair, or dress himself. His mother says that she was careful to apply his sunscreen on the trip and can recall no tick bites or exposure to poisonous plants. His only medication is a topical corticosteroid for several dry, scaly patches of the skin. He appears weak and lethargic. He is at the 75th percentile for height and 25th percentile for weight; he has had no change in his weight since his last examination 9 months ago. His temperature is 37.7°C (99.8°F), blood pressure is 110/68 mm Hg, pulse is 105/min, and respirations are 28/min. Examination of the skin shows a purple-red discoloration over the cheeks and eyelids, periorbital edema, erythematous plaques and scales over the elbows and knees, and flat-topped red papules over all knuckles. There is generalized weakness and atrophy of the proximal muscles. Which of the following is the most likely diagnosis?",Dermatomyositis,Duchenne's muscular dystrophy,Eczema,Lyme disease,0,A,test
professional_accounting,"While performing certain nonaudit services for an insurance company, a professional accountant is asked to recommend the appropriate accounting treatment for a weather hedge transaction. The accountant has worked with financial hedges but has no experience with weather hedges. Which of the following actions by the accountant would be in compliance with the IFAC Code of Ethics for Professional Accountants?",Agree to recommend the appropriate accounting treatment after performing sufficient research on weather hedges.,"Refuse to conduct the research and make a recommendation, because of insufficient experience.","Refuse to conduct the research and make a recommendation, because of a conflict of interest.",Agree with the accounting treatment recommended by the company’s hedge fund trader.,0,A,test
high_school_statistics,"In an experiment, the control group should receive",treatment opposite that given the experimental group.,the same treatment given the experimental group without knowing they are receiving the treatment.,a procedure identical to that given the experimental group except for receiving the treatment under examination.,a procedure identical to that given the experimental group except for a random decision on receiving the treatment under examination.,2,C,test
miscellaneous,How are actors Charlie Sheen and Emilio Estevez related?,They're cousins,They're brothers,They're father and son,They're uncle and nephew,1,B,test
international_law,What is 'material breach' of the treaty?,'Material breach' is a ground for the invalidation of a treaty,'Material breach' is the repudiation or a significant violation of the treaty and serves as a ground for the unilateral termination of the treaty,'Material breach' is an insignificant violation of a treaty,Material breach' is a significant violation of the treaty which can never lead to the termination of the treaty,1,B,validation
security_studies,Which of the following is an important outcome of the 'energy security nexus'?,Attempts to exert control over energy reserves in the South have consequences for the sustainability of cooperation between core powers; the emergence of geopolitical rivalries over this form of control has implications for international security.,All of these options.,"United by common insecurities concerning the production and supply of energy resources, international actors are forced into negotiation and cooperation between states increases.","By virtue of their energy resources to which the global 'North' desires access, states in the 'South' gain power in the international arena and have redressed the global North-South divide and associated inequalities.",0,A,test
professional_psychology,"According to Fiedler’s contingency model of leadership, high LPC leaders:",are always more effective than low LPC leaders.,are more effective than low LPC leaders in moderately favorable situations.,elicit less trust from supervisees than do low LPC leaders.,elicit less intrinsic motivation from supervisees than do low LPC leaders.,1,B,test
professional_law,"A state recently enacted a statute requiring the following of all construction companies that do business with and for the state (defined generally as selling goods or providing services to the state, its agencies, or subdivisions):Such businesses must purchase insurance only from insurance companies chartered in the state and thus be subject to regulation by the state insurance commissioner;  In hiring any unskilled laborers for employment in connection with state business, preference must be given to citizens of the state;Nonresident aliens shall be prohibited from engaging in any state related business activities;  All buildings constructed for the state must have roofs composed of adobe, which is composed of yellow silt or clay deposits found only in the state. The proposed statute's preamble recites that its provisions will ensure:  responsible insurance coverage for all those who do business with the state;an increased standard of living for the citizens who comprise the state's labor force;  the lowest possible expenditures by the state government; and  a beautiful, uniform aesthetic decor for all new state buildings. If the state statute is attacked as violating the commerce clause, which of the following statements is most accurate?","The statute is a valid exercise of the state's police power to legislate to protect the health, safety, morals, and welfare of its citizens.",The statute falls within the reserved powers under the Tenth Amendment.,The statute should be invalidated if there are nondiscriminatory reasonable alternatives available to serve legitimate local interests.,"The statute is a valid exercise of state action only if the federal government has not previously ""occupied the field"" in this area.",2,C,test
high_school_biology,Refer to question 15 for details on the squirrel population. Which of the following conditions is required to keep this population in Hardy-Weinberg equilibrium?,Random mating,Genetic drift,Mutation,Gene flow,0,A,test
virology,How can epidemics of astrovirus mainly be controlled?,By vaccination,Using passive antibody,Basic knowledge of hand washing and food hygiene,Quarantine,2,C,test
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I hit my coworker with a belt for no reason Scenario 2 | I sprayed my cat's fur with flea medicine.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",1,B,test
global_facts,"As of 2017, the share of deaths in Greenland by suicide is about",0.90%,1.80%,3.60%,7.20%,3,D,test
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My wife told me she was hot so I turned the temperature down. Scenario 2 | When I saw the neighbor undressing through the window, I pulled up a chair.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",2,C,test
nutrition,"What difference will urbanisation make for hunger and malnutrition?
",No significant difference; low-income urban and rural people face similar constraints in accessing food and consume similar diets in developing countries.,It will reduce poverty and hunger because these are almost entirely concentrated in rural areas.,"Urban dwellers depend more than rural people on purchases to acquire food, have little opportunity to grow their own food, and so are much more vulnerable to food price increases.","Poor city folk eat mainly sorghum, millet, maize and root crops, so a lot more of those foods will need to be produced as the world urbanises.",2,C,test
professional_law,"A homeowner said to a roofer, ""My roof leaks. I think the old tiles are cracked. If you will replace them with all new tiles, I will pay you $5,000. "" The roofer replied, ""Sure, if I can clear my busy schedule. "" The homeowner then remarked, ""That's all right, but let me know soon. "" Three days later, the roofer drove his pickup truck to the homeowner's home and unloaded the materials and equipment needed to perform the roofing job. When the homeowner looked out his window and saw what was transpiring, he immediately ran outside and exclaimed, ""Stop! The deal's off. I decided to repair the roof myself. ""In an action by the roofer against the homeowner for breach of contract, which of the following would provide the roofer with his best theory of recovery?",A bilateral contract was formed when the roofer purchased the materials and equipment needed to do the job.,"A bilateral contract was formed when the roofer said, ""Sure, if I can clear my busy schedule. ""","The homeowner made an offer that proposed a unilateral contract, and the offer became irrevocable when the roofer purchased the materials and equipment needed for the job.","The homeowner made an offer that proposed a unilateral contract, and the roofer manifested an intent to accept the offer when he began performance by unloading the materials and equipment at the homeowner's house.",3,D,test
high_school_psychology,A clinical psychologist who is working with an aggressive child seeks to understand the child's behavior in light of the dynamics of the entire family. Which of the following best identifies the approach the psychologist has chosen?,Cognitive social approach,Behavioral approach,Psychoanalytic approach,Systems approach,3,D,test
prehistory,The spread of a shared religious iconography in ancient civilizations may be an indication of what?,decreased violence and a time of increased peace,cultural and perhaps political unification,increased trade and the use of some form of money,the beginning of organized religion and ending of human sacrifice,1,B,test
human_aging,Which of the following statements is TRUE concerning older workers' job performance?,Older workers always perform better because of their vast experience,"Older workers never perform better than younger workers because with age, a worker's skills decline.",Job performance for older workers depends both upon the decline of skills and the benefits of experience,Most jobs are performed better by younger adults but a few are performed better by older adults,2,C,test
professional_law,"Delores was furiously chatting on her cell phone while driving to work. She was so distracted that she ran down Penelope in a crosswalk. The next day, Delores visited Penelope in the hospital and said, ""I will pay for all your medical expenses; I am very sorry that I was negligent."" At trial, Penelope tries to testify about the statement. Upon Delores' objection, what result?",The entire statement is admissible.,Only the offer to pay portion of the statement is admissible.,Only the admission of negligence portion of the statement is admissible.,The entire statement is not admissible.,2,C,validation
high_school_macroeconomics,How does an increasing national debt impact the market for U.S. dollars and the value of the dollar with respect to other currencies? MARKET FOR THE DOLLAR     VALUE OF THE DOLLAR,Increased demand     Appreciating,Increased supply     Appreciating,Decreased supply     Depreciating,Decreased demand     Depreciating,0,A,test
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put my three year old daughter on time out for five hours. Scenario 2 | I went to cash my check after cashing my check online","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",0,A,validation
formal_logic," Use indirect truth tables to determine whether each set of propositions is consistent. If the set is consistent, choose an option with a consistent valuation. (There may be other consistent valuations.)
D ≡ E
F ∨ D
~E · ~F",Inconsistent,"Consistent. Consistent valuation when D, E, and F are true",Consistent. Consistent valuation when D and E are true and F is false,Consistent. Consistent valuation when D and F are true and E is false,0,A,test
philosophy,Hobbes claims that all of the laws of nature can be summarized in the precept:,maximize happiness.,never treat another person as a means to your ends.,do not do to another what you would not have done to yourself.,practice virtue in all that you do.,2,C,test
professional_law,"Regarding a deposition in a civil suit, which of the following is/are true? I. A deposition of a person against whom another person contemplates filing an action may be compelled by the party contemplating the action, without leave of court, before the action is filed. II. A deposition of the defendant in an action may be taken by the plaintiff without service of a subpoena on the defendant. III. A deposition may be taken even though all the testimony secured by it will be inadmissible at the trial.",II only.,I and II only.,II and III only.,"I, II, and III.",2,C,test
security_studies,"In the context of globalization, how can we best define the term 'development'?","The term development refers to the human condition in which there is freedom from fear and want; there are sufficient resources to sustain life and this life can exist in a state free from the threat, or perceived threat, of sudden interruption.","To be considered as developed, a nation must have achieved certain economic and political status within the global state system; the criterion for what constitutes a 'developed' state is thus defined by those requirements of interaction in this system.","Development is a means to address the inequalities that accompany neoliberal globalization. In this context, development refers to the ability of a population or community to effectively utilize resources and increase efficiency in production and distribution, promoting the more equitable distribution of income within society.",Development of a community refers to the ideological and ethical value systems to which its population subscribes. In the globalised international system this refers to the adoption of western liberal democratic ideology and free market economics.,2,C,test
high_school_computer_science,"Suppose the characters 0,1, . . . ,8,9,A,B,C,D, E,F are used to represent a hexadecimal (base-16) number. Here A = 10, B = 11, . . . ,F = 15. What is the largest base-10 integer that can be represented with a two-digit hexadecimal number, such as 14 or 3A?",32,225,255,256,2,C,test
professional_accounting,A corporate taxpayer plans to switch from the FIFO method to the LIFO method of valuing inventory. Which of the following statements is accurate regarding the use of the LIFO method?,"In periods of rising prices, the LIFO method results in a lower cost of sales and higher taxable income, when compared to the FIFO method.",The taxpayer is required to receive permission each year from the Internal Revenue Service to continue the use of the LIFO method.,The LIFO method can be used for tax purposes even if the FIFO method is used for financial statement purposes.,"Under the LIFO method, the inventory on hand at the end of the year is treated as being composed of the earliest acquired goods.",3,D,test
electrical_engineering,A 0 - 100 V voltmeter has a guaranteed accuracy of 2 % of full scale reading. The voltage measured by the voltmeter is 75 V. The limiting error is in percentage,3.33 %.,2.66 %.,2 %.,1 %.,1,B,test
high_school_mathematics,"Joe was in charge of lights for a dance. The red light blinks every two seconds, the yellow light every three seconds, and the blue light every five seconds. If we include the very beginning and very end of the dance, how many times during a seven minute dance will all the lights come on at the same time? (Assume that all three lights blink simultaneously at the very beginning of the dance.)",3,15,6,5,1,B,dev
prehistory,Which of the following was the first city and what was the estimated population?,"Nagada, 5,000 people","Uruk, 10,000 people","Knossos, 20,000 people","Giza, 200,000 people",1,B,test
high_school_statistics,"Both over-the-counter niacin and the prescription drug Lipitor are known to lower blood cholesterol levels. In one double-blind study Lipitor outperformed niacin. The 95% confidence interval estimate of the difference in mean cholesterol level lowering was (18, 41). Which of the following is a reasonable conclusion?","Niacin lowers cholesterol an average of 18 points, while Lipitor lowers cholesterol an average of 41 points.",There is a 0.95 probability that Lipitor will outperform niacin in lowering the cholesterol level of any given individual.,There is a 0.95 probability that Lipitor will outperform niacin by at least 23 points in lowering the cholesterol level of any given individual.,None of the above.,3,D,test
college_medicine,"The hypothalamus controls the stress response of the body by releasing CRF, which leads to eventual release of cortisol, the body’s stress hormone, systemically. This trigger is eventually suppressed by which mechanism?",Constriction of blood flow to the adrenal gland.,Exhaustion of the body’s store of CRF.,Negative feedback loop of cortisol.,Release of CRF-inhibitory factor.,2,C,test
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Since my friend is afraid of spiders, I put them on her. Scenario 2 | I told the students there would be extra credit if they worked hard.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",1,B,validation
moral_disputes," According to Huemer, even if drug use harms a person's friends, families, and other relations,",this would still not justify drug prohibition.,this would justify drug prohibition.,this would only justify drug prohibition if drug use was extremely likely to cause these harms.,this would only justify drug prohibition if drug use was more likely to cause these kinds of harms than other prohibited activity.,0,A,test
business_ethics,"The extent to which an individual is able to creatively consider the consequences of, resolutions to, and issues associated with moral decision making is known as _________.",Moral imagination,Ethical reflexivity,Moral originality,Moral reflexivity,0,A,test
human_aging,NEAT may be one way in which some people are able to maintain a healthy BMI; NEAT refers to,Eating the right kinds of low calorie foods,"Daily activities like walking, gesturing, and even fidgeting",Intense aerobic exercise practiced at least 3 times a week,Surgical removal of fatty tissue,1,B,test
high_school_psychology,Which part of the brain was thought to play the most important role in the Cannon-Bard theory of emotion?,thalamus,hippocampus,medulla,association areas,0,A,test
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I told the students there would be extra credit if they paid me. Scenario 2 | I told the customer they needed to go back to their country.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",0,A,validation
philosophy,Hare refers to people who endorse ideals without regard for whether people’s interests are pursued by them as:,fanatics.,amoralists.,immoralists.,maniacs.,0,A,test
professional_law,"Each year the state provides a number of non- interest-bearing loans andlor scholarships to candidates for the degree of L. L. B or J. D. at the state's law school. The applicable state statute limits eligibility to citizens of the United States and aliens seeking U. S. citizenship. A candidate for a J. D. degree at the state law school applied for one of the non-interest-bearing loans. Since he did not intend to seek U. S. citizenship, he was refused the loan for ineligibility under the state statute. In a suit by the candidate challenging the constitutionality of the state statute, he will","win, because the statute is violative of the privileges or immunities clause of the Fourteenth Amendment.","win, because classifications by a state that are based on alienage are inherently suspect and subject to close judicial scrutiny.","lose, because the statute promotes a compelling state interest.","lose, because alienage classifications are not, per Se, unconstitutional under the Fourteenth Amendment's equal protection clause.",1,B,test
elementary_mathematics,"A teacher buys the folders listed below.
* 5 boxes of red folders with 36 folders in each box
* 6 boxes of blue folders with 32 folders in each box
Which number is closest to the total number of red and blue folders that the teacher buys?",275,380,440,550,1,B,test
high_school_biology,Which of the following statements describes the structural level of a protein that is least affected by hydrogen bonding?,Primary structure depends on the sequence of amino acids.,Tertiary structure has a shape dependent on the interactions of side chains of amino acids.,Quaternary structure results from the aggregation of more than one polypeptide unit.,An α-helix is an example of a secondary structure of a polypeptide.,0,A,validation
human_aging,One advantage of an expected death over an unexpected death is that,One can use up some grief before the actual loss,One can make funeral and estate plans with the loved one,One can find ways to avoid having the same death for themselves,One can assist the terminally ill person in speeding their death,1,B,test
virology,What is the usual direction of 'knowledge' in a cell?,From protein to DNA,From DNA to DNA,From DNA to RNA to protein,Random,2,C,test
high_school_biology,Transcription-affecting DNA region that may be located thousands of basepairs away from the promoter.,Enhancer,Repressor,Operator,Promoter,0,A,test
professional_law,"A son owed a creditor $5,000. The son's father contacted the creditor and told him that he wanted to pay the son's debt. The father signed a document that stated the father would pay the son's debt at a rate of $500 a month for 10 months. The creditor made no written or oral commitment to forbear to sue the son to collect the $5,000 debt, and the father made no oral or written request for any such forbearance. For the next five months, the father made and the creditor accepted the $500 monthly payments as agreed. During that period, the creditor, in fact, did forbear to take any legal action against the son. However, the father then informed the creditor that he would make no further payments on the debt. Which of the following is the most persuasive argument that the father is liable to the creditor under the terms of their agreement?","The father's promise and the creditor's reliance thereon, if proved, gave rise to a valid claim by the creditor against the father based on the doctrine of promissory estoppel. ","Because it was foreseeable that the father's promise would induce the creditor to forbear taking any action against the son, such forbearance was, as a matter of law, a bargained-for consideration for the father's promise. ","The father's five payments to the creditor totaling $2,500 manifested a serious intent on the father's part to be contractually bound, and such manifestation is generally recognized as an effective substitute for consideration. ","By assuming the antecedent debt obligation that the son owed to the creditor, the father became a surety whose promise to the creditor was enforceable, since it was in writing and supported by adequate consideration. ",0,A,dev
professional_law,"A hunter was on his property one day looking for rabbits and other small game, which he shot occasionally for sport. As he rounded a clump of bushes, he spotted a hiker, who, he thought, was a man wanted by the police. The hiker, who had his back to the hunter, was carrying a rifle on his shoulder. The hunter called out to the hiker to stop. The hiker was startled and, as he turned around, his rifle fell forward so that it pointed directly at the hunter. The hunter, thinking the hiker was about to shoot him, fired his rifle at the hiker. The bullet missed the hiker and hit a trespasser on the property. The hunter was aware that people often walked onto his land because there was a pond adjoining the property, which provided boating and fishing activities. If the trespasser asserts a claim against the hunter for battery, the trespasser will","recover, because the hunter intended to hit the hiker. ","recover, because the trespasser suffered a harmful and offensive contact. ","not recover, because the hunter accidentally shot the trespasser. ","not recover, because the hunter reasonably acted in self-defense. ",3,D,validation
high_school_psychology,Which of the following best illustrates hostile aggression?,A man slaps his wife because he is angry that she made hamburgers for dinner again.,A sanitation man knocks over some rose bushes when he throws an empty can to the curb.,A waitress breaks several cups and saucers when she drops a tray on the floor.,A careless driver hits and severely injures a pedestrian who is crossing the street.,0,A,test
high_school_macroeconomics,Depreciation of the dollar is most likely to,increase imports,increase travel abroad,increase exports,decrease a trade surplus,2,C,test
human_sexuality,The bulk of the research evidence suggests that:,all women have a G-spot,all women with a G-spot ejaculate,all women with a G-spot also have a prostate gland,none of the above,3,D,validation
international_law,What is the fundamental premise of monist theory?,Monism posits that international law is superior to domestic laws,Monism posits that international and domestic law are part of the same legal order,Monism posits that domestic laws are superior to international law,Monism posits that domestic and international law never clash,1,B,test
high_school_us_history,"This question refers to the following information.
""I am in Birmingham because injustice is here. . . . Moreover, I am cognizant of the interrelatedness of all communities and states. I cannot sit idly by in Atlanta and not be concerned about what happens in Birmingham. Injustice anywhere is a threat to justice everywhere. We are caught in an inescapable network of mutuality, tied in a single garment of destiny. Whatever affects one directly affects all indirectly. Never again can we afford to live with the narrow, provincial 'outside agitator' idea. Anyone who lives inside the United States can never be considered an outsider anywhere in this country. . . .""
—Martin Luther King, Jr., ""Letter from a Birmingham Jail,"" April 16, 1963
The language of this passage by Susan B. Anthony demonstrates which of the following continuities in U.S. history?",Debates over free speech.,Debates over voting rights.,Debates over federal power and states' rights.,Debates over the procedures of amending the Constitution.,1,B,test
high_school_geography,Which type of city model contains a distinct residential spine proceeding outward from center city along the main boulevard?,European,Muslim,Sub-Saharan African,Latin American,3,D,test
high_school_geography,What is the most abundant fossil fuel?,Phosphate,Oil,Petroleum,Coal,3,D,test
sociology,"Dahrendorf, Rex, and Habermas focused their attention on:",social solidarity and cohesion,the interpretive understanding of action,women's experiences and gendered knowledge,"power, domination, and conflict",3,D,test
professional_law,"A 12-year-old boy decided to play a practical joke. Knowing that his parents were giving a dinner party that evening, the boy filled a bucket with ice-cold water and balanced it on the partially open door of the guest bedroom, thinking that his father would take the guests' coats there to put them on the bed. The boy then went off to play at a friend's house. The boy's father decided to keep all the guests' coats in the hall closet instead of putting them in the guest bedroom. Later that evening, one of the guests mistakenly wandered into the guest bedroom while searching for a bathroom. As the guest opened the door, the bucket fell and hit his head, causing a severe cut that required a dozen stitches. If the guest sues the boy for negligence, the most likely result is","the boy wins, because a child's conduct cannot be negligent.","the boy wins, because the guest unreasonably assumed the risk of entering an unfamiliar room rather than asking for directions to the bathroom.","the boy loses, because this ""practical joke"" posed a risk of severe harm and, therefore, the boy had a duty to exercise as much care as a reasonable adult.","the boy loses, because he did not act with the amount of care that one would expect from a 12-year-old child.",3,D,test
miscellaneous,What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,1,B,test
professional_psychology,An employee expects greater consistency in the behavior of his boss than is warranted. The employee’s expectation is best accounted for by which of the following?,overjustification hypothesis,self-serving bias,fundamental attribution bias,self-verification theory,2,C,test
econometrics,A dependent variable whose values are not observable outside a certain range but where the corresponding values of the independent variables are still available would be most accurately described as what kind of variable?,Censored,Truncated,Multinomial variable,Discrete choice,0,A,test
professional_law,"Max entered a mini-mart store, pulled out a gun, and demanded that the cashier empty the register. As he nervously looked around for police, the cashier reached out and attempted to grab the gun. Max then droped the gun, which accidentally discharged, killing a nearby customer. Max is charged with first degree murder. He will likely be","Acquitted, because he lacked the necessary intent required for first degree murder.","Acquitted, because the cashier's actions were the proximate cause of the death.","Convicted, because any death that is a natural and probable consequence of a felony is first degree murder.","Convicted, because intent to commit serious bodily harm is assumed when a deadly weapon is used.",2,C,test
high_school_macroeconomics,"Congress has embarked on another round of expansionary fiscal policy to boost employment and get reelected. As chair of the central bank how would you reduce the ""crowding-out"" effect and what macroeconomic problem might your policy exacerbate?",Increase the reserve ratio risking the devaluation of the dollar,Sell government securities risking inflation,Buy government securities risking a recessionary gap,Lower the discount rate risking inflation,3,D,test
high_school_biology,Similar evolutionary changes occurring in two species that can be related or unrelated.,Divergent evolution,Convergent evolution,Parallel evolution,Coevolution,2,C,validation
high_school_macroeconomics,Imagine an economy that produces only two goods cheese and crackers. Calculate GDP for this economy if cheese retails for $3 a pound and 10 pounds are produced while crackers sell for $2 a pound and 20 pounds are produced.,$35 ,"$1,200 ",$70 ,$150 ,2,C,test
