subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,error_type,correct_answer,potential_reason,source
econometrics,Consider again the VAR model of equation 16. Which of the following conditions must hold for it to be said that there is bi-directional feedback?,The b and d coefficients significant and the a and c coefficients insignificant,The a and c coefficients significant and the b and d coefficients insignificant,The a and c coefficients significant,The b and d coefficients significant,3,D,bad_question_clarity,,"The answer is correct, but there is no reference about ""question 16"" (it is in the original source)",Introductory Econometrics for Finance - Chapter 6 (cambridge.org)
high_school_computer_science,An online store uses 6-bit binary sequences to identify each unique item for sale. The store plans to increase the number of items it sells and is considering using 7-bit binary sequences. Which of the following best describes the result of using 7-bit sequences instead of 6- bit sequences?,2 more items can be uniquely identified.,10 more items can be uniquely identified.,2 times as many items can be uniquely identified.,10 times as many items can be uniquely identified.,2,C,ok,,,
formal_logic, Select the best translation into predicate logic. Some CEO is wealthier than everyone. (Cx: x is a CEO; Px: x is a person; Wxy: x is wealthier than y),(∃x)[Cx • (∀y)(Py • Wxy)],(∃x)[Cx ⊃ (∀y)(Py ⊃ Wxy)],(∃x)[Cx • (∀y)(Py ⊃ Wxy)],(∀x)[Px ⊃ (∃y)(Cy ⊃ Wxy)],2,C,ok,,,Expert
management,What is the guiding principle of scientific management?,Experimentation,Fluid working relationships,Freedom of association,One best way to do a job,3,D,ok,,,https://global.oup.com/uk/orc/busecon/business/combe/student/mcqs/ch02/
international_law,Who has the authority to conclude a treaty on the part of States?,"Treaties are concluded by the competent representatives of States. Heads of States, heads of governments, ministers of foreign affairs and heads of diplomatic missions are presumed to have such authority",Treaties may only negotiated and concluded by the heads of State and ministers of foreign affairs,Treaties are negotiated and signed only by the persons that bear the necessary 'full powers' and no person is presumed to hold such authority,Treaties are concluded only by members of the diplomatic missions of States,0,A,ok,,,
security_studies,What are the effects of nuclear weapons?,"A nuclear blast produces EMP, a thermal light pulse, blast, and fallout at the moment of detonation. The electro-magnetic pulse occurs when gamma radiation interacts with matter (the atmosphere), ""the Compton effect."" EMP produces a high voltage charge, harmless to humans but destructive to electronic systems. EMP effects are maximized at high altitude. However thermal-light pulse can produce flash blindness, retinal burn, and fire whilst the airburst can cause severe skin burns.",A nuclear detonation produces a shockwave resulting from a rise in atmospheric pressure and dynamic overpressure sufficient to destroy concrete structures. Blast effects were generally used by military planners to calculate casualty rates in a nuclear attack: It was estimated that 50 percent living in a five mile radius of a one-mgt airburst would be killed or wounded by blast effects.,"Nuclear reactions in the initial nuclear detonation or the fallout can cause radiation poisoning, as irradiated debris is picked up by the nuclear fireball and lofted into the atmosphere. A dirty bomb uses chemical high-explosive to disperse radioactive material, relying on radiation to produce a lethal effect. Panic set off by even a limited dispersion of radioactive material might be more costly in terms of the disruption it causes than actual casualties or damage to property produced by a dirty bomb detonation; some observers believe that the blast itself causes the greatest amount of damage.",All of the above,3,D,ok,,,https://www.academia.edu/25358029/Contemporary_Security_Studies
high_school_european_history,"This question refers to the following information.
Read the following letter.
It happened . . . that a Spaniard saw an Indian . . . eating a piece of flesh taken from the body of an Indian who had been killed. . . . I had the culprit burned, explaining that the cause was his having killed that Indian and eaten him[,] which was prohibited by Your Majesty, and by me in Your Royal name. I further made the chief understand that all the people . . . must abstain from this custom. . . . I came . . . to protect their lives as well as their property, and to teach them that they were to adore but one God[,] . . . that they must turn from their idols, and the rites they had practiced until then, for these were lies and deceptions which the devil . . . had invented. . . . I, likewise, had come to teach them that Your Majesty, by the will of Divine Providence, rules the universe, and that they also must submit themselves to the imperial yoke, and do all that we who are Your Majesty's ministers here might order them.
—Hernan Cortez, Fifth Letter to Holy Roman Emperor Charles V, 1521
Which of the following superior technologies was most crucial to the Europeans' success in the New World?",New sailing technologies like the compass and the astrolabe,New ships like the carrack and caravel,Weapons like cannon and war horses,Better educational systems that taught navigation and warfare,2,C,ok,,,
high_school_microeconomics,"A competitive market for coffee, a normal good, is currently in equilibrium. Which of the following would most likely result in an increase in the demand for coffee?",Consumer income falls.,The price of tea rises.,The wage of coffee plantation workers falls.,Technology in the harvesting of coffee beans improves.,1,B,ok,,,https://www.crackap.com/ap/microeconomics/question-367-answer-and-explanation.html
college_medicine,"If a gas occupies 0.1L at 200atm, what will its volume be at 1atm?",slightly less than 20L,20L,slightly more than 20L,2000L,0,A,ok,,,https://blog.blueprintprep.com/mcat/mcat-chemistry-question-ideal-gases/
abstract_algebra,"Find the order of the factor group (Z_11 x Z_15)/(<1, 1>)",1,2,5,11,0,A,ok,,,"The order of the subgroup generated by <1, 1> is order 165, so the associated quotient is of order 165/165 = 1"
elementary_mathematics,Manuel bought a used car for six thousand forty-nine dollars. What is the cost of the used car Manuel bought written as a numeral?,$649 ,"$6,049 ","$6,409 ","$6,490 ",1,B,ok,1,,
anatomy,The spheno-occipital synchondrosis,is a secondary growth cartilage.,influences the position of the viscerocranium.,ceases activity at 7 years of age.,can be reactivated in patients affected by acromegaly.,1,B,ok,,,https://global.oup.com/uk/orc/dentistry/atkinson/student/mcqs/ch33/
high_school_european_history,"This question refers to the following information.
I am of opinion that the principal and true profession of the Courtier ought to be that of arms; which I would have him follow actively above all else, and be known among others as bold and strong, and loyal to whomsoever he serves. . . .
I would have him well built and shapely of limb, and would have him show strength and lightness and suppleness, and know all bodily exercises that befit a man of war; whereof I think the first should be to handle every sort of weapon well on foot and on horse, to understand the advantages of each, and especially to be familiar with those weapons that are ordinarily used among gentlemen. . . .
Our Courtier then will be esteemed excellent and will attain grace in everything, particularly in speaking. . . .
I would have him more than passably accomplished in letters, at least in those studies that are called the humanities, and conversant not only with the Latin language but with the Greek, for the sake of the many different things that have been admirably written therein. Let him be well versed in the poets, and not less in the orators and historians, and also proficient in writing verse and prose, especially in this vulgar [vernacular] tongue of ours. . . .
You must know that I am not content with the Courtier unless he be also a musician and unless, besides understanding and being able to read notes, he can play upon divers instruments. . . .
I wish our Courtier to guard against getting the name of a liar or a boaster, which sometimes befalls even those who do not deserve it.
—From Baldassare Castiglione's Book of the Courtier, 1528
Which of the following skills that Castiglione recommends for a courtier would be valued LEAST by a European gentleman at the end of the twentieth century?",Expertise with multiple languages,Being strong and attractive,Expertise with many kinds of weapons,Ability to write poetry and prose,2,C,ok,,,
astronomy,When was the telescope invented by Galileo?,1409,1509,1609,1709,2,C,ok,2,,"https://www.loc.gov/collections/finding-our-place-in-the-cosmos-with-carl-sagan/articles-and-essays/modeling-the-cosmos/galileo-and-the-telescope#:~:text=After%20hearing%20about%20the%20%22Danish,focused%20on%20refining%20the%20instrument."
computer_security,"The openSSL implementation described in “Remote Timing Attacks are Practical” (by Brumley and Boneh) uses the following performance optimizations: Chinese Remainder (CR), Montgomery Representation (MR), Karatsuba Multiplication (KM), and Repeated squaring and Sliding windows (RS). Which of the following options would close the timing channel attack described in the paper if you turned the listed optimizations off?
1. CR and MR
2. CR","True, True","False, False","True, False","False, True",0,A,ok,,,https://css.csail.mit.edu/6.858/2015/quiz/q15-2-sol.pdf
college_biology,A plant that grows along a trellis exhibits,thigmotropism,phototropism,gravidotropism,negative gravidotropism,0,A,ok,,,https://en.wikipedia.org/wiki/Thigmotropism
public_relations,"The ________ phase of the PR model consists of primary and secondary research about a client, identifying the target audiences for the campaign, proposing channels of communication and strategies to be used in the campaign, and constructing goals, objectives, messages, and themes.",identification,evaluation,implementation,planning,3,D,ok,,,https://s3-eu-west-1.amazonaws.com/s3-euw1-ap-pe-ws4-cws-documents.ri-prod/9780205741588/Chapter_7_Quiz.doc
high_school_statistics,In which of the following situations is a binomial model not an appropriate model to describe the outcome?,The number of heads in three tosses of a coin,The number of rainy days in a given week,The number of girls in a family of five children,The number of students present in a class of 22,1,B,ok,,,
philosophy,The idea that mental states are dispositions to behave in particular ways in certain circumstances is known as _____.,logical nominalism,logical behaviorism,methodological behaviorism,eliminative materialism,1,B,ok,,,https://global.oup.com/us/companion.websites/9780190207038/stu_res/ch4/lev1/mcq/
high_school_psychology,"In order to prove a psychological theory,",you need to run an experiment.,you need to find statistically significant results.,you must replicate your findings.,it is impossible to prove a theory.,3,D,ok,,,https://www.crackap.com/ap/psychology/question-249.html
college_biology,An embryologist studying the development of a vertebrate organism from the zygote stage to fetus would be justified in drawing which of the following conclusions?,Ontogeny recapitulates phylogeny.,"Early embryos display identical features of their class, order, and species.",An early human embryo has features in common with early fish and avian embryos.,A human embryo displays features of adult fish and birds in the course of its development.,0,A,wrong_groundtruth,2,,https://quizlet.com/438129829/core-quiz-flash-cards/
logical_fallacies,Which of the following fallacies happens when someone concludes that a legitimate generalization necessarily applies to a particular case?,False dilemma,Circular reasoning,Accident,Bifurcation,2,C,ok,,,
high_school_computer_science,What is the value of this python expression: 4 + 3 % 2?,1,6,4,5,3,D,ok,,,
high_school_mathematics,"Write an equation for the line tangent to the curve defined by F(t) = (t^2 + 1, 2^t) at the point where y = 4.",y – 4 = ln 2(x – 2),y – 4 = 4 ln 2(x – 2),y – 4 = 4(x – 5),y – 4 = ln 2(x – 5),3,D,ok,,,
professional_law,Client thinks she has been slandered. What of the following is not true about slander?,It is spoken defamation.,"Plaintiff has to prove special damages, unless it falls into slander per se.",The statement does not have to be published if it constitutes slander per se.,There are four slander per se categories.,2,C,bad_question_clarity,"lacking context, it depends on the state ",,https://www.law.cornell.edu/wex/defamation
machine_learning,"Given a large dataset of medical records from patients suffering from heart disease, try to learn whether there might be different clusters of such patients for which we might tailor separate treatments. What kind of learning problem is this?",Supervised learning,Unsupervised learning,Both (a) and (b),Neither (a) nor (b),1,B,ok,,,https://www.exploredatabase.com/2020/05/machine-learning-multiple-choice-questions-set-10.html
miscellaneous,Which of these evangelists is a cousin of rocker Jerry Lee Lewis?,Billy Graham,Oral Roberts,Jerry Falwell,Jimmy Swaggart,3,D,ok,,,
professional_medicine,"A male neonate, who was born at 36 weeks' gestation 2 hours ago in the labor and delivery unit of the hospital, now shows signs of respiratory difficulty. The mother, an 18-year-old primigravid woman, smoked one pack of cigarettes daily throughout her pregnancy. She received prenatal care during most of the pregnancy. One episode of chlamydial cervicitis was detected during the last trimester and treated with azithromycin. The neonate was born via cesarean delivery due to fetal heart rate decelerations. The amniotic fluid was stained with light particulate meconium. Apgar scores were 9 and 9 at 1 and 5 minutes, respectively. The patient is 50 cm (20 in; 50th percentile) long and weighs 3005 g (6 lb 10 oz; 50th percentile); head circumference is 35 cm (14 in; 50th percentile). The infant's vital signs now are temperature 36.6°C (97.8°F), pulse 150/min, and respirations 70/min. Pulse oximetry on room air shows an oxygen saturation of 95%. Physical examination discloses mild subcostal and intercostal retractions. Chest x-ray shows prominent pulmonary vascular markings and fluid in the intralobar fissures. Which of the following is the most likely diagnosis?",Group B streptococcal sepsis,Meconium aspiration syndrome,Respiratory distress syndrome,Transient tachypnea of newborn,3,D,ok,,,https://www.usmle.org/sites/default/files/2021-08/Step_3_Sample_Items.pdf
high_school_statistics,A medical research team tests for tumor reduction in a sample of patients using three different dosages of an experimental cancer drug. Which of the following is true?,There are three explanatory variables and one response variable.,There is one explanatory variable with three levels of response.,"Tumor reduction is the only explanatory variable, but there are three response variables corresponding to the different dosages.",There are three levels of a single explanatory variable.,3,D,ok,,,
sociology,The 'class polarization' that Marx predicted referred to:,the division of each social class into the more or less privileged,"a growing gap between rich and poor, resulting in class consciousness",the growth of intermediate strata in the middle classes,the tendency for the working class to live in very cold places,1,B,ok,,,https://global.oup.com/uk/orc/sociology/fulcher4e/01student/mcqs/ch19
clinical_knowledge,Which of the following is true of the assessment of power in the arms?,Grade 3/5 (MRC scale) represents movement of the arm only when gravity is eliminated,Flexion at the elbow is produced by the triceps muscle,The root value of shoulder abduction is C5,Grade 1/5 power represents no movement or muscle contraction,2,C,ok,,,https://global.oup.com/uk/orc/medicine/cox/01student/mcqs/ch08/?view=Standard
high_school_microeconomics,Which of the following is most likely to be true in the long run for a monopoly firm?,P = MR = MC = ATC,P = MR = MC > ATC,P > MR = MC = ATC,P > ATC > MR = MC,3,D,ok,,,https://www.crackap.com/ap/microeconomics/question-349-answer-and-explanation.html
high_school_government_and_politics,The Civil Rights Act of 1964 was passed to reinforce the,presidential veto,system of checks and balances,states' power to challenge federal regulation,Fourteenth Amendment,3,D,ok,,,https://www.crackap.com/ap/us-government-and-politics/question-29-answer-and-explanation.html
college_computer_science,"Of the following problems concerning a given undirected graph G, which is currently known to be solvable in polynomial time?",Finding a longest simple cycle in G,Finding a shortest cycle in G,Finding ALL spanning trees of G,Finding a largest clique in G,1,B,ok,,,https://people.engr.tamu.edu/d-walker/Quals/CompSciGREPractice.pdf
college_mathematics,"Suppose X is a discrete random variable on the set of positive integers such that for each positive integer n, the probability that X = n is 1/2^n. If Y is a random variable with the same probability distribution and X and Y are independent, what is the probability that the value of at least one of the variables X and Y is greater than 3 ?",1/64,15/64,1/4,3/8,1,B,ok,,,Expert
virology,The particular quality of the U.S. health care system is its:,"Systematic, democratic approach","Fragmented, uncoordinated approach",The result of rationale decisions by informed legislators,a. and c. above,1,B,bad_question_clarity,,Subjective options,Epidemiology 227 UCLA Final Examination 2011
professional_medicine,"During a clinical study examining the effects of exercise, men between the ages of 20 and 30 years are evaluated during a 15- minute session on a treadmill. The average pulse for the last 2 minutes of the session is 175/min. During the last minute of exercise, various measurements are taken. Compared with the measurement before the session, which of the following is most likely to be decreased?",Pulse pressure,Stroke volume,Systolic blood pressure,Total peripheral resistance,3,D,ok,,,https://www.usmle.org/sites/default/files/2021-08/Step_1_Sample_Items.pdf
nutrition,"Which of the following lipoproteins is produced via the exogenous lipoprotein pathway?
",High density lipoproteins,Very low density lipoproteins,Chylomicrons,Low density lipoproteins,2,C,ok,,,https://global.oup.com/uk/orc/health/geissler13e/student/mcqs/ch08/
high_school_physics,The radius of Mars is about half that of Earth; the mass of Mars is about one-tenth that of Earth. Which of the following is closest to the gravitational field at the surface of Mars?,10 N/kg,4 N/kg,2 N/kg,0.5 N/kg,1,B,ok,,,https://www.crackap.com/ap/physics-1/question-118-answer-and-explanation.html
professional_accounting,When comparing investment projects:,The ranking of projects by NPV is invariant to changes in the market rate,The IRR will always agree with NPV metric,The IRR never changes the ranking of the projects,"We should use a single metric, like the NPV or the IRR, to have a coherent comparison",2,C,expert,,"I cannot find a reliable source for this answer and GPT-4 heavily disagrees with the given answer. It thinks none are correct. ""It is not true that the Internal Rate of Return (IRR) is never used to compare investment projects; in fact, IRR is a commonly used financial metric to assess and compare the profitability of potential investments. However, it is important to recognize both the utility and the limitations of using IRR in investment project comparisons.âIt seems like a minimum IRR is usually taken, but higher is usually better https://www.investopedia.com/terms/i/internal-rate-of-return-rule.asp",
marketing," Internet-based organizations designed to provide information to channel members, including end-users are referred to as:",Infomediaries.,Retailers.,Department stores.,Wholesalers.,0,A,ok,,,"Marketing, fourth edition"
management,Which of these factors is not one of the competing responsibilities that influence corporate social responsibility?,Ethical,Economic,Discretionary,Technical,3,D,ok,,,https://global.oup.com/uk/orc/busecon/business/combe/student/mcqs/ch13/
high_school_us_history,"This question refers to the following information.
""I am in Birmingham because injustice is here. . . . Moreover, I am cognizant of the interrelatedness of all communities and states. I cannot sit idly by in Atlanta and not be concerned about what happens in Birmingham. Injustice anywhere is a threat to justice everywhere. We are caught in an inescapable network of mutuality, tied in a single garment of destiny. Whatever affects one directly affects all indirectly. Never again can we afford to live with the narrow, provincial 'outside agitator' idea. Anyone who lives inside the United States can never be considered an outsider anywhere in this country. . . .""
—Martin Luther King, Jr., ""Letter from a Birmingham Jail,"" April 16, 1963
Which other nineteenth-century reform movement made similar arguments to those written here by Susan B. Anthony?",The temperance movement.,Utopian communities.,The abolition movement.,Public school advocates.,2,C,ok,,,https://www.crackap.com/ap/us-history/question-179-answer-and-explanation.html
management,Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,0,A,ok,,,https://global.oup.com/uk/orc/busecon/business/combe/student/mcqs/ch14/
abstract_algebra,Statement 1 | The homomorphic image of a cyclic group is cyclic. Statement 2 | The homomorphic image of an Abelian group is Abelian.,"True, True","False, False","True, False","False, True",0,A,ok,,,"1: https://math.stackexchange.com/questions/2241104/if-phi-g-rightarrow-h-is-a-group-homomorphism-and-g-is-cyclic-prove-tha
2: https://math.stackexchange.com/questions/2861835/image-of-abelian-group-under-homomorphism-is-abelian-group"
college_medicine,Fast-twitch fibres contain:,a relatively large number of mitochondria and low ATPase activity.,a relatively small number of mitochondria and low ATPase activity.,a relatively small number of mitochondria and high ATPase activity.,a relatively large number of mitochondria and high ATPase activity.,2,C,ok,,,https://global.oup.com/uk/orc/biosciences/biochem/gleeson2e/01student/mcqs/ch02/
virology,The prevalence of HIV among Latino-Americans compared to other ethic groups in the U.S. is:,Highest,Higher than all other ethnic groups except African-Americans,Higher than in all other ethnic groups except African-Americans and,Native Americans,1,B,bad_options_clarity,,C and D are one option split into two. Check Question 69,Epidemiology 227 UCLA Final Examination 2011
high_school_chemistry,In which of the following is the negative end of the bond written last?,O—S,Br—N,N—C,P—Cl,3,D,ok,,,www.crackap.com - AP Chemistry Question 138
conceptual_physics,"Hot sand cools off faster at night than does vegetation. Compared with vegetation, sand’s specific heat capacity is",lower,higher,about the same,Can’t say,0,A,ok,,,"https://homework.study.com/explanation/hot-sand-cools-off-faster-at-night-than-vegetation-compared-with-vegetation-sand-s-specific-heat-capacity-is-a-less-b-greater-c-about-the-same-d-cannot-determine.html#:~:text=Answer%20and%20Explanation%3A,celcius%20per%20unit%20of%20mass."
sociology,Which of the following is not recognised as a level of society?,the household,the office,the global village,the nation state,1,B,ok,,,https://global.oup.com/uk/orc/sociology/fulcher4e/01student/mcqs/ch01
professional_psychology,"""Smith, Glass, and Miller’s (1980) meta-analysis of the psychotherapy outcome research found that people receiving therapy are """"better off"""" than about _____% of people who need treatment but do not receive it.""",45,55,80,95,2,C,ok,,,https://www.brainscape.com/flashcards/eppp-test-questions-6893798/packs/10974337
college_physics,"According to the BCS theory, the attraction between Cooper pairs in a superconductor is due to",the weak nuclear force,the strong nuclear force,vacuum polarization,interactions with the ionic lattice,3,D,ok,,,2008 GRE Physics Exam (GR0877 #44)
high_school_chemistry,PCl3(g) + Cl2(g) ↔ PCl5(g) ΔH = -92.5 kJ/mol In which of the following ways could the reaction above be manipulated to create more product?,Decreasing the concentration of PCl3,Increasing the pressure,Increasing the temperature,None of the above,1,B,ok,,,www.crackap.com - AP Chemistry Question 31
us_foreign_policy,What tend to be the effects of oil and other natural resource trade on developing states?,It democratizes countries,It has no real effect,It encourages stability of the regime,It changes the nature of the investor,2,C,ok,,,http://dmgibler.people.ua.edu/uploads/1/3/8/5/13858910/exam1.pdf
miscellaneous,Which of the following was a direct result of the First Opium War of 1839-1842?,The Chinese commissioner of trade in Canton (Guangzhou) banned the opium trade in that city.,China was forced to open some of its ports to international trade.,Chinese revolutionaries toppled the Qing dynasty.,Chinese leaders set out to remake their economy along Western lines.,1,B,ok,,,
world_religions,"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,2,C,ok,,,https://learninglink.oup.com/access/content/amore4e-student-resources/amore4e-chapter-4-self-quiz
marketing," Many brands are deliberately imbued with human characteristics, to the point that they are identified as having particular personalities. This is referred to as:",Branding pyramid.,Brand value.,Brand names.,Brand personalities.,3,D,ok,,,"Marketing, second edition"
us_foreign_policy,What was the Marshall plan?,A plan designed to aid the economy recovery of Europe,An attempt to diminish the potential attraction of the Soviet system to Europeans,An aid programme that embedded US influence in Europe,All of the above,3,D,ok,,,https://learninglink.oup.com/access/content/cox_stokes3e-student-resources/Chapter-6-Self-test-questions-bea
public_relations,Internet traffic is expected to grow by 400% in the next few years. What is predicted to be the main driver of this?,Online consumer goods purchases,Video,Music,Online auctions,1,B,ok,,,https://edgeoptic.com/global-internet-traffic-growth-forecast-looking-forward-from-2024/
high_school_physics,"A charged particle moves through a magnetic field and experiences a force f. New particles are sent into the same magnetic field. If the new particles have twice the charge, twice the mass, and twice the velocity, the new force would be",4F,2F,F,1/2 F,0,A,ok,,,https://www.crackap.com/ap/physics-2/question-46.html
logical_fallacies,Which of the following best describes the fallacy of self-evident truths?,arguing that a claim is true based only on evidence that an authority figure accepts the claim.,arguing a claim should be accepted based only on evidence that unidentified authorities accept it.,"arguing that a claim should be accepted based on evidence that is not presented, but is asserted to be well known or obvious.",arguing someone should accept a claim based only on the evidence that he or she has the favorable characteristics to understand the truth of the claim.,2,C,ok,,,
high_school_geography,"The way of life based on breeding and herding of animals that are used as a source of food, shelter, and clothing is called",swidden.,subsistence farming.,pastorialism.,hunting and gathering.,2,C,ok,,,www.crackap.com - AP Human Geography Question 100
management,What does PEST stand for?,"Political, environmental, strategic, testing","Political, environmental, strategic, technological","Political, economic, strategic, technological","Political, economic, social, technological",3,D,ok,,,https://economictimes.indiatimes.com/definition/pest-analysis#:~:text=Political%2C%20Economic%2C%20Social%2C%20and%20Technological%20factors.
high_school_macroeconomics,Inflation,encourages households to save more.,does not affect savings in the economy.,forces households to save more.,discourages savings.,3,D,ok,3,,https://www.crackap.com/ap/macroeconomics/question-126.html
anatomy,Which of the following muscles initiates elevation of the mandible?,Masseter,Temporalis,Lateral pterygoid,Medial pterygoid.,3,D,ok,,,https://global.oup.com/uk/orc/dentistry/atkinson/student/mcqs/ch26/
virology,"The influenza virus is mainly controlled in special ""risk"" sectors by:",Hygiene,Vaccination,Antiviral drugs,Humanised monoclonal antibodies,1,B,ok,,,
high_school_statistics,"The Department of Health plans to test the lead level in a specific park. Because a high lead level is harmful to children, the park will be closed if the lead level exceeds the allowed limit. The department randomly selects several locations in the park, gets soil samples from those locations, and tests the samples for their lead levels. Which of the following decisions would result from the type I error?",Closing the park when the lead levels are within the allowed limit,Keeping the park open when the lead levels are in excess of the allowed limit,Closing the park when the lead levels are in excess of the allowed limit,Keeping the park open when the lead levels are within the allowed limit,0,A,ok,,,
us_foreign_policy,The dominant course for foreign policy throughout most of American history can be categorized as,containment.,neoconservatism.,isolationism.,protectionism.,2,C,ok,,,https://pknock.com/Foreign.pdf
high_school_statistics,Which of the following is the central limit theorem?,"No matter how the population is distributed, as the sample size increases, the mean of the sample means becomes closer to the mean of the population.","No matter how the population is distributed, as the sample size increases, the standard deviation of the sample means becomes closer to the standard deviation of the population divided by the square root of the sample size.","If the population is normally distributed, then as the sample size increases, the sampling distribution of the sample mean becomes closer to a normal distribution.",The central limit theorem refers to something else.,3,D,ok,,,
management,Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,3,D,ok,,,https://global.oup.com/uk/orc/busecon/business/combe/student/mcqs/ch05/
prehistory,How long ago did human groups begin actively controlling their food sources by artificially producing conditions under which these sources would grow?,"within the past 6,000 years","within the past 12,000 years","within the past 18,000 years","within the past 28,000 years",1,B,ok,,,https://global.oup.com/us/companion.websites/9780190275853/resources/ch8/quiz/
moral_disputes,"If the killing/letting die distinction is morally relevant, then that would show that the following distinction is also morally relevant:",killing/murder,physician/patient,active/passive euthanasia,involuntary/nonvoluntary euthanasia,2,C,ok,,,
college_chemistry,"Of the following compounds, which is LEAST likely to behave as a Lewis acid?",BeCl2,MgCl2,ZnCl2,SCl2,3,D,ok,,,GRE Chemistry Practice Test
college_computer_science,"Which of the following considerations applies (apply) to choosing the page size in a paging system?
I. An advantage of larger pages is that they lead to smaller page tables.
II. An advantage of smaller pages is that they lead to less waste due to internal fragmentation.
III. Normally, the dominant factor in disk access time is not dependent on page length, so longer pages can be used advantageously.",I only,II only,I and III only,"I, II, and III",3,D,ok,,,https://testbook.com/question-answer/consider-the-following-statementss1-a-small-pa--5f56019ac79b49cbc32bdd20
high_school_geography,Which geographer viewed the US urban community of the 1920s as a set of concentric rings radiating outward from a central core?,Rostow,Ravenstein,Von Thünen,Burgess,3,D,ok,,,www.crackap.com - AP Human Geography Question 158
sociology,Which of the following is not a 'research purpose'?,triangulation,explanation,description,exploration,0,A,ok,,,https://global.oup.com/uk/orc/sociology/fulcher4e/01student/mcqs/ch03
