question,choice_A,choice_B,choice_C,choice_D,answer,category,split
"A company is utilizing Amazon Polly to convert plaintext documents into speech for automated announcements. However, company acronyms are being mispronounced in the current documents. What solution should a Machine Learning Specialist implement to address this issue for future documents?", Output speech marks to guide in pronunciation, None of the other choices, Convert current documents to SSML with pronunciation tags, Create an appropriate pronunciation lexicon.,C,,val
Which of these is not a right granted by the UN Convention on the Rights of the Child?, Right to survival, Right to development, Right to vote, Right to participate,C,,val
"In Agile project management and product development, various documents specific to each iteration are collectively known as ""artifacts."" Which of the following is not considered an Agile iteration artifact?", None of the other choices, Iteration Plan, Iteration Burnup Chart, Iteration Vision Statement,D,,val
"Some states participate in __________, even though they publicly condemn terrorism.", None of the other choices, democracy, targeting specific groups for violence, state-sponsored terrorism,D,,val
Which of the following options is incorrect?, None of the other choices, Hinge joint – between Humerus and Pectoral girdle, Saddle joint – between carpel and metacarpals of thumb," Pivot joint – between atlas, axis and occipital condyle",B,,val
Which theory is summarized by the assertion that nearly everyone exhibits some prejudice because it is ingrained in culture?, conflict theory, authoritarian personality theory, cultural theory, scapegoat theory,C,,val
Q) In which sector will the Indian Air Force deploy the first squadron of the S-400 air defense missile system?, Kathua, Pangong Tso, Punjab, None of the other choices,C,,val
Which of the following drugs is classified as a short-acting barbiturate?, Secobarbital, Thiopental, Phenobarbital, Hydroxyzine,A,,val
"A doctor needs to perform an emergency surgery on an unconscious patient to save their life. With no relatives available to provide consent, the doctor proceeds without getting consent from anyone. This action is based on which principle?", None of the other choices, Therapeutic privilege, Therapeutic waiver, Doctrine of informed consent,A,,val
What is the benefit of neutral earthing?, Simplified design earth fault protection, Over voltages due to lightning can be discharged to earth, Freedom from persistent arcing grounds, All of the above,D,,val
Which of the following statements about Phycomycetes are incorrect?, Phycomycetes are aseptate fungi and are coenocytic, Phycomycetes are also called as conjugation fungi, Zygospores are formed due to isogamous fertilization and zoospores are formed due to anisogamous fertilization, Phycomycetes are also called as algal fungi,C,,val
"69- A set of 100 items has a mean of 40. If two items were incorrectly recorded as 36 and 32 instead of the correct values of 54 and 34, what is the correct mean?",39.8,39.9,40.1,40.2,D,,val
Which of the following is not a brand name of the PMMA polymer?, Acrylite, None of the other choices, Perspex, Lucite,B,,val
What kind of memory is inaccessible directly by the CPU and needs specific software known as EMS for access?, Conventional, Expanded, Base, None,B,,val
What is the size of a plane table?, 300 mm x 450 mm, 450 mm x 600 mm, 600 mm x 750 mm, 750 mm x 900 mm,C,,val
A spherical mirror and a thin spherical lens each have a focal length of -15 cm. What are the likely types of the mirror and the lens?, the mirror is concave and the lens is convex, None of the other choices, Both concave, Both convex,C,,val
Which software project sizing approach generates estimates based on the information domain characteristics?, None of the other choices, Fuzzy logic sizing, Standard component sizing, Change sizing,A,,val
"Level of Difficulty: 2, Page Reference: 316
42) Which of the following is not a characteristic of smooth muscle?", it appears to lack troponin, there are more thick filaments than thin filaments, there are no sarcomeres, None of the other choices,B,,val
Which control system type modifies the output in response to the input's rate of change?, Proportional control, Integral control, Derivative control, All of the above,C,,val
The primary drivers of cost-push inflation are rises in what areas?, money wage rates and aggregate demand., aggregate demand and real wage rates., real wage rates and the cost of raw materials., money wage rates and the cost of raw materials.,D,,val
An I&D procedure is typically done to treat what condition?, a laceration, None of the other choices, psoriasis, shingles,B,,val
What do large transaction processing systems in automated organizations utilize?, Online processing, None of the other choices, Batch Processing, Once-a-day Processing,C,,val
"In a system regulated by a proportional controller, what happens if a time delay element is added to the loop?", Phase margin decreases, Gain margin increases, None of the other choices, Phase margin increases,A,,val
How will a budget surplus in a country over the past year be reflected in the national savings and investment identity of that country?, (T – G); saving side, (G – T); left side, None of the other choices, (T – G); demand side,A,,val
"Regarding the Emergency provisions, which statement is incorrect?", None of the other choices, It converts the federal structure into a unitary one without a formal amendment of the Constitution.," During an Emergency, the Central government becomes all powerful and the states go into the total control of the Centre.", It converts the unitary structure into a federal one without a formal amendment of the Constitution.,D,,val
What was the central theme for World Press Freedom Day in 2019?, Theme – “The Media and Armed Conflict”, Theme – “Media for Democracy: Journalism and Elections in Times of Disinformation”, Theme – “Celebrating the fundamental principles of press freedom”," Theme – “Keeping Power in Check: Media, Justice and The Rule of Law”",B,,val
What occurs when you release the mouse pointer after dragging and dropping the primary key of one table into the foreign key of another table?, A relationship is created, None of the other choices, Edit relationship dialog box appears, Error occurs,C,,val
"A p-type semiconductor is doped with ____________ impurities, while an n-type semiconductor is doped with __________ impurities."," donor, acceptor"," acceptor, donor"," acceptor, acceptor", None of the other choices,B,,val
Who proposed the principle of diminishing marginal utility?, Marshall, Edgeworth, None of the other choices, Gossen,D,,val
How many machine cycles do the counters in the 8051 need to execute to detect a transition from '1' to '0' at the external pin?, Two, Four, None of the other choices, Eight,A,,val
The display of goods in a shop window with marked prices is:, Contract., Invitation to offer, Promise, Agreement,B,,val
How is monetary disequilibrium resolved under a managed float system?, international reserve flows and exchange rate changes., exchange rate changes., international reserve flows., None of the above.,A,,val
A tendency to develop a disorder ________, is called a diathesis., necessarily is biological., necessarily is a psycho-social stressor., increases the likelihood of developing any given disorder by 50 percent.,A,,val
What licensing feature helps customers effectively manage their software assets and optimize IT expenditures?, Enterprise License Agreements, Smart Accounts, Cisco ONE, License Bundling,B,,val
Who originally proposed the Rank-size Rule?, None of the other choices, Walther Christaller (1933), C.W. Burgess (1925), Felix Auerbach (1913),D,,val
When did Guru Hargobind Ji pass away?, In 1635 A.D., In 1628 A.D., In 1638 A.D., In 1645 A.D.,D,,val
Find the wavelength of the sound wave given by the equation y = 0.0015 sin (62.8x + 316t)., 0.3 units, 0.15 units, 0.1 units, 0.2 units,C,,val
The Factory Act of 1948 prohibits employing workers without ensuring adequate measures to prevent occupational diseases. What is an example of such measures?, Proper ventilation systems, Regular health check-ups, Personal protective equipment, All of the above,D,,val
What is the most abundant hormone produced by the anterior pituitary?, ACTH, GH, TSH, LH,B,,val
Which of these archaeological sites lacks evidence of hunter-gatherer activity?, Bhimbetka, Chirand, None of the other choices, Kurnool caves,A,,val
"In cash budgeting, the more seasonal and uncertain a firm’s cash flows are, the higher the number of budgeting intervals it should use.", None of the other choices," more, greater"," less, greater"," less, fewer",B,,val
"Which gymnastic position is commonly used to finish a back extension and cartwheel, where the weight is borne on one leg, the other leg is extended straight behind with the toe pointed, and the chest remains upright?", None of the other choices, Lunge, Relev or Releve, Pli or Plie,A,,val
What leads us to believe that dark matter constitutes 90 percent of the Milky Way's mass?," The orbital speeds of stars far from the galactic center are surprisingly high, suggesting that these stars are feeling gravitational effects from unseen matter in the halo."," Although dark matter emits no visible light, it can be seen with radio wavelengths, and such observations confirm that the halo is full of this material."," Theoretical models of galaxy formation suggest that a galaxy cannot form unless it has at least 10 times as much matter as we see in the Milky Way disk, suggesting that the halo is full of dark matter."," Our view of distant galaxies is sometimes obscured by dark blotches in the sky, and we believe these blotches are dark matter located in the halo.",A,,val
Which of the following statements about Dadabhai Naoroji is incorrect?, None of the other choices, For four times he had presided over the Indian National Congress," He started a Gujarati Journal, ‘Rast Goftar’", He was elected as the member of British Parliament in 1892,B,,val
"In a cross between a white-eyed female fruit fly and a red-eyed male fruit fly, what percentage of the female offspring will inherit white eyes? (White eyes are X-linked and recessive.)",50%,0%,100%, None of the other choices,B,,val
Who is the geographer known for developing Orthographic and Stereographic projection?, Anaximander, None of the other choices, Strabo, Ptolemy,B,,val
What type of stepper motors are known for their low cost and low resolution?, Variable reluctance stepper motor, Hybrid stepper motor, Permanent magnet stepper motor, DC motor,C,,val
"How did the development of money market mutual funds contribute to the growth of ________, given their need to hold liquid, high-quality, short-term assets?", the corporate bond market, the junk bond market, the commercial paper market, None of the other choices,C,,val
What is an open loop system?, The control action is independent of the output, The control action depends on the size of the system, The control action depends on the input signal, The control action depends on system variables,A,,val
"Who wrote the book ""Integrated Social Work Practice""?", S.K. Khinduka, Murli Desai, A.S. Desai, S.B. Desai,D,,val
In which year was AIDS first detected in India?,1986,1972,1982,1981,A,,val
Which law states that a minor cannot enter into a contract?," Indian Contract Act, 1872"," Majority Act, 1875"," Contract Labour ((Regulation and Abolition) Act, 1970", None of the other choices,A,,val
When is a deductive argument considered invalid?, Its premises are false but its conclusion is true, Its premises are true but its conclusion is false, Its premises and conclusions are all false, Its premises and conclusions are all true,B,,val
"Two boys are swinging a long jump rope with a girl jumping in the middle. Despite the rope's overall rotating motion, it is vibrating up and down in its fundamental mode as the boys gently circle their hands to maintain the vibration. In order to increase the rope's vibration speed, causing the girl to jump more frequently, the boys need to circle their hands more rapidly and", reduce the tension in the rope., increase the tension in the rope., increase the height (amplitude) of the arc formed by the swinging rope., None of the other choices,B,,val
"A man traveled from the village to the post office at a speed of 25 km/h and walked back at a speed of 4 km/h. If the entire journey took 5 hours and 48 minutes, what is the distance from the village to the post office?", 40 km, 10 km, 30 km, None of the other choices,D,,val
What protocol is typically utilized to verify user identities on dial-up connections?, None of the other choices, CHAP, PPTP, IPSec,B,,val
What is the highest degree of any vertex in a simple graph with n vertices?, n–1, n+1, 2n–1, n,A,,val
A 50g iron sample at 75°C is placed in 1000g of room temperature water (25°C) within an insulated container. Which part of this isolated system experienced the largest change (increase or decrease) in internal energy after thermal equilibrium was attained?, (Not enough information is given.), 50 g iron sample., None of the other choices, 1000 g of water.,C,,val
What differentiates a crossover from a bifurcation in fingerprint analysis?," A crossover involves the intersection of two ridges, while a bifurcation is the splitting of a single ridge.", None of the other choices," A crossover represents a central point in a loop or a whorl, while a bifurcation indicates the presence of an enclosure."," A crossover denotes a ridge that abruptly ends, while a bifurcation involves two ridges joining together.",A,,val
What kinds of I/O are commonly found in a PLC?, Serial and Parallel, Analog and Digital, Ethernet and USB, Wireless and Bluetooth,B,,val
"Two blocks with masses m and 2m are positioned on a frictionless horizontal surface as depicted. Initially, a force F1 is applied from the left side. Subsequently, a different force F2 is applied from the right side. If the force exerted at the contact point between the two blocks remains the same in both scenarios, what is the ratio F1 : F2? [Physics Olympiad 2016]", 1 : 2, 2 : 1, 1 : 1, None of the other choices,B,,val
"Here is the code snippet provided. The task requires determining the sizes of the variables and their expressions. The question is essentially: 

Which output will be generated when the following code is executed?
```c
#include <stdio.h>
int main() {
    short int i = 20;
    char c = 97;
    printf(""%d, %d, %d\n"", sizeof(i), sizeof(c), sizeof(c + i));
    return 0;
}
```"," 2, 1, 2"," 2, 1, 1"," 2, 2, 8", None of the other choices,A,,val
The common law system in the United States, was established primarily by the U.S. Constitution., is a secondary source of law established in various Restatements of the Law., is derived from the French common law., is derived from the British common law.,D,,val
