question,choice_A,choice_B,choice_C,choice_D,answer,category,split
What factors contributed to the eventual collapse of the fixed currency exchange rate system established at Bretton Woods?, Several unexpected economic shocks to member nations., Widely divergent national monetary and fiscal policies among member nations., Differential rates of inflation across member nations., all of the above,D,,val
"Which of the following French possessions was not integrated into India on November 1, 1954?", Yanam, Karikal, Mahe, Chandranagore,A,,val
"According to the Caraka Samhita, which of the following Mahābhūtas primarily make up Amla Rasa?", Pṛthvī and Agni, Vāyu and Jala, Agni and Vāyu, Jala and Agni,A,,val
"What would be the most appropriate label for the psychologist's role in evaluating whether Project New Chance, a program aimed at assisting welfare recipients in securing and maintaining employment, has met its objectives?", advocate, policy evaluator, basic scientist, pure scientist,B,,val
"You have received an urgent call from management requesting a cost estimate for a new project. Given the time sensitivity and the need to provide this estimate quickly, which technique will you use to determine the project cost?", Bottom Up, Analogous, Triangular Estimate, Parametric,B,,val
Which economist is responsible for developing the critical minimum effort theory?, W.W.Rostow, H.Leibenstien, Rosenstein Rodan, None of above,B,,val
"In sysfs, does every subsystem have", a shared attribute structure, both (a) and (b), its own attribute structure, none of the mentioned,A,,val
Who is the author of ‘The Khadias’?, S.C. Roy, Dr. K. N. Singh, Dr. K.S. Singh, Dr. L.P. Vidyarthi,A,,val
"In the experiment, how is the dependent variable operationally defined when measuring the impact of nutrition on energy levels by providing participants with either fast food or a healthy diet for three days and then asking them to engage in a prolonged period of physical activity?", Engaging in physical activity, Fast food, Healthy diet, Amount of time participants continue to engage in physical activity,D,,val
"Who was the chairperson of the Committee established in October 1984 by the Dept. of Culture, Govt. of India, to develop the ‘National Policy for Library and Information System’?", Dr. C.D. Deshmukh, Prof. D.P. Chattopadhya, B.S.Kesavan, Dr. S.R.Ranganathan,B,,val
What is one of the functions of pectinases from the following options?, None of the other choices, Manufacturing of soap, Clearing of fruit juices, Cleaning of hides,C,,val
"In The Calling of Saint Matthew, Caravaggio depicted his subjects wearing the clothing of his own era, rather than that of Jesus's time.", to portray the painting’s patrons realistically., to conform with other paintings in the series., to enable the audience to identify with them., so that he could use richer colors and brushstrokes.,C,,val
Which of the following materials is not utilized as a pyroelectric material in pyroelectric transducers for Infrared spectroscopy?, None of the other choices, Deutrated Triglycine Sulphate, Tetraglycine sulphate, Some Polymers,C,,val
"In accordance with the Partnership Act, the term “Business” encompasses ___________.", Trade, Profession, Occupation, All of the above.,D,,val
"If you were to set up a cost-per-acquisition campaign for your company, Google AdWords has three general rules you must follow. Which one of the following rules is NOT required to use the Google AdWords Conversion Optimizer?", The campaign must have received at least 15 conversions in the last 30 days., The campaign must have been receiving conversions at a similar rate for at least a few days., The campaign must have a CPC bid of at least 3 percent of the sale of the item being tracked., None of the other choices,C,,val
What steps are included in the IT strategy formulation process? Each correct answer provides a complete solution. Select all that apply., Map out the big picture., Decide how to get from here to there., Assess process maturity., Evaluate changes.,B,,val
What are two methods for connecting when performing a local deployment of Cisco Configuration Assistant? (Select two.), Connect remotely via a metropolitan area network., Connect to an IP Phone PC port., Connect directly to a UC520 PoE port., Connect directly to any access point.,C,,val
What is the effect of cutting the barrel length in a shotgun?, Decrease in dispersion of pellets, No change in dispersion of pellets, Increase in dispersion of pellets, Distortion of pellets,C,,val
What is the process called where we predict the value of a dependent variable based on one or more independent variables?, Correlation, Residual, None of the other choices, Regression,D,,val
"Which of the following would test for stimulus generalization, given that subjects jump when they see a flashing blue light paired with a mild electric shock?", Extinguish the response and then present the blue light., Present the flashing blue light without the shock., None of the other choices, Present the shock without the blue light.,C,,val
What is the number of deltas needed for a fingerprint to be classified as a whorl pattern?, It varies depending on the size of the pattern, Two, One, None of the other choices,B,,val
Which unit is responsible for implementing multiple branch prediction in the Pentium-Pro?, None of the other choices, control unit, bus interface unit, branch instruction register,B,,val
Worm gears are commonly utilized to transmit power at ______________ velocity ratios between shafts that do not intersect., high, medium, low, none of the mentioned,A,,val
How can electrons in the same orbitals be distinguished?, Spin quantum number, Azimuthal quantum number, None of the other choices, Principal quantum number,A,,val
Which of the following is not an advantage of parallel processing?, Availability, Speedup, Scale up, Autonomy,D,,val
What is the principal amount if the simple interest and the true discount on it for a certain period at a certain rate are Rs. 85 and Rs. 80 respectively?, Rs. 6800, None of the other choices, Rs. 1450, Rs. 1800,B,,val
Who received the 2018 Nobel Prize in Physiology or Medicine?, James P Allison and Tasuku Honjo, Michael W. Young and Michael Rosbash, Tu Youyou and Satoshi Omura, Jeffrey C. Hall and Yoshinori Ohsumi,A,,val
"A simple pendulum has a period of T1. When the point from which it is suspended moves vertically upwards following the equation y = kt², where y represents the vertical distance traveled and k equals 1 m/s², the period changes to T2. Given g = 10 m/s², what is the value of \(\frac{\mathrm{T}_{1}^{2}}{\mathrm{~T}_{2}^{2}}\)?", \(\frac { 5 }{ 6 }\), \(\frac { 11 }{ 10 }\), \(\frac { 6 }{ 5 }\), None of the other choices,C,,val
Can you explain what Amplitude Modulation is?, Change in amplitude of carrier according to modulating signal amplitude, Change in frequency of carrier according to modulating signal amplitude, Change in amplitude of carrier according to modulating signal frequency, Change in amplitude of modulating signal according to carrier signal amplitude,A,,val
Who was the British Commanding Officer at Barrackpore during the 1857 Revolt?, None of the other choices, Hearsey, Colonel Finnis, Henry Lawrence,B,,val
What is the process called where food and beverage items are analyzed for poison and harmful substances to assist in investigations?, None of the other choices, Forensic Pathology, Food Forensics, Forensic Anthropology,C,,val
Which of these engines will need a heavier flywheel compared to the others?, 30 kW two stroke diesel engine running at 750 r.p.m., 30 kW four stroke petrol engine running at 1500 r.p.m., None of the other choices, 30 kW four stroke diesel engine running at 750 r.p.m.,B,,val
What is the phase difference between the input signal voltage and the output voltage in a common base amplifier?, π/2, None of the other choices,0, π/4,C,,val
Select the statement that is incorrect from the options below:, Polyspermy is prevented by the chemical changes in the egg surface, Colostrum contains antibodies and nutrients, None of the other choices, In birds and mammals internal fertilisation takes place,A,,val
Which of the following statements is accurate for a negatively skewed distribution?, Median is higher than the mode., Mode is lower than the mean., Mean is lower than the mode., None of the other choices,C,,val
Which of the following does not apply to a life insurance contract?, Indemnity contract, Unilateral contract, Conditional contract, None of the above,A,,val
"In the given indexed addressing mode instruction, MOV 5(R1),LOC, what is the effective address?", EA = 5+R1, EA = [R1], EA = R1, None of the other choices,A,,val
"What type of drug would a physician prescribe to stimulate the bone marrow to produce erythrocytes, in order to maintain the red blood cell count in a patient undergoing chemotherapy?", anticoagulant, vitamin B12, erythropoietin, immunosuppressant,C,,val
Which was the most significant organization among the pre-congress nationalist groups?, Indian association of Calcutta, None of the other choices, Bengal British India society, Young Bengal association,A,,val
What extra functions can be integrated on the same chip of RISC?, memory management and floating point arithmetic units, floating point units," RAM, ROM", memory management units,D,,val
"The statement ""Head hunting is wrong"" reflects the perspective of which viewpoint?", cultural relativity, None of the other choices, ethnic uniformity, ethnocentrism,D,,val
In what year was the Convention on the Law of the Sea signed in Jamaica?,1982,1975,1948, None of these,A,,val
Which Commission was the first to decentralize primary education?, Mudaliar Commission, Kothari Commission, Sadler Commission, Hunter Commission,D,,val
Explain that aes_auto is utilized for automatic aesthetic mapping. Identify the correct statement:, theme_bw is theme with grey background and white gridlines, update_element update contents of a theme, Use theme_update_element to modify a small number of elements of the current theme or use theme_set to completely override it, All of the mentioned,B,,val
Which vitamin is associated with the coenzyme Biocytin?, Thiamine, None of the other choices, Biotin, Nicotinic acid,C,,val
"When we persuade our students that pleasure isn't the sole good in life, we are challenging the teachings of __________.", Humanism, None of the other choices, Skepticism, Epicureanism,D,,val
Both kuru and mad cow disease are caused by __________ consumed from infected meat., heavy metals, a virus, prions, bacteria,C,,val
What type of image does a single concave spherical mirror produce?, real only if the object distance is greater than f., real only if the object distance is less than f., always real., always virtual.,A,,val
The flow of water after spilling over the weir crest in chute spillway and side channel spillway respectively are, “You shouldn’t allow anyone to pressure you into sex.”, “It sounds like this problem is related to your paralysis.”, “I can refer you to a spiritual counselor if you like.”, “How do you feel about being pressured into sex by your boyfriend?”,D,,val
Adler believed that the true cause behind self-accusation was, an unacceptable sexual impulse., None of the other choices, an attempt to hurt other people or at least get their attention., a cry for help.,C,,val
What does the Tertiary period include?," Pliocene, Miocene, Oligocene, Eocene and Palaeocene", Miocene and Pliocene only, Eocene and Miocene, Oligocene and Palaeocene only,A,,val
Which technique is employed during a physical examination to evaluate the airflow through the tracheobronchial tree?, None of the other choices, Palpation, Inspection, Auscultation,D,,val
Which term describes the percentage increase in an industry's value added per unit of output due to a nation's trade barriers?, effective rate of protection, monopsony power," one-dollar, one-vote metric", terms-of-trade effect,A,,val
Do consumption expenditures equate to disposable income?, at every point on the saving function., at every point on the 45-degree line., when saving equals disposable income., at every point on the consumption function.,B,,val
"During the 19th century, what did nationalism in Europe result in?", Nation states with centralised power, Decentralised power structures," Small, independent city-states", Multi-national dynastic empires,A,,val
Cross compound steam turbines were once utilized in _____________, automobiles, generation of electricity, marine ships, none of the mentioned,B,,val
In what environments or conditions can viruses be cultivated?, Whole plant, Cell lines, Chick Embryo, All of the mentioned,D,,val
"To which theory of development does Dr. Winsock likely subscribe, given that she frequently designs flowcharts to outline the exact steps her research participants take to solve problems and complete tasks, in a manner similar to how programmers create plans for computers to execute a series of ""mental operations""?", information-processing approach, psychoanalytic perspective, social-cognitive approach, None of the other choices,A,,val
A max heap can be transformed into a min heap in ________., Logarithmic time, Quadratic time, Linear time, Exponential time,C,,val
"According to Article 284 of the Indian Constitution, where should all money received by or deposited with any officer working for the Union's affairs, in his official capacity, be deposited, excluding revenues or public money raised or received by the Government?", The Consolidated Fund., The Current Account., The Contingency Fund., The Public Account.,D,,val
What is the average rate at which alcohol is eliminated or 'burned off' from the body?, 0.15% w/v per hr., 0.05% w/v per hr., 0.5% w/v per hr., None of the other choices,A,,val
What is the vapor quality of a saturated liquid?,100%,50%,0%, None of the mentioned,A,,val
What method is used to analyze stability?, Root locus method, Routh Hurwitz criteria, Nyquisit criteria, All of the above,D,,val
Which of the following is not a part of a gamma camera?, Pre-amplifier, Detector crystal, Collimator, Position logic circuit,A,,val
How many solutions are there to the equation 4 cos x = 1 in the interval from x = 0 to x = 3π?, Two, Three, Six, Four,B,,val
Which of these risks is NOT a focus of the International Country Risk Guide?, Financial risk, Political risk, None of the other choices, Economic risk,C,,val
"An object with mass m starts moving on a plane inclined at an angle θ. Given that the coefficient of static friction for the inclined surface is us, what is the maximum static friction that the object can experience?", mg, None of the other choices, μs mg sin θ, μs mg cos θ,D,,val
"You enjoy watching meteors, but since they are unpredictable, your excitement when you spot one is strengthened on a:", None of the other choices, variable interval schedule., fixed interval schedule., fixed ratio schedule.,B,,val
What kind of powder is utilized to develop fingerprints on dark or colored surfaces by creating a contrast with the background?, Fluorescent Powder, None of the other choices, Magnetic Powder, White Powder,D,,val
"What is ""Die Leiden des jungen Werther""?", A heroic novel, A historical novel, An epistolary novel, A mystery novel,C,,val
Provisioning for doubtful debts and discounts on receivables in anticipation of actual bad debts and discounts illustrates which accounting concept?, Continuity concept, Realization concept, Conservatism concept, All of these,B,,val
What outcomes are most probable during frame transmission using the Stop-and-Wait ARQ method?, All of the above, Loss of frame or an acknowledgement, Delay in an acknowledgement, normal operation,D,,val
What is the work done by the Sun’s gravitational force on the Earth?, Can be positive or negative, None of the other choices, Always positive, Always negative,A,,val
What is the primary emphasis of Bronfenbrenner's ecological theory of human development?, children's biological needs., the interactions among the contexts in which children live and develop., environmental stimuli that elicit and reinforce behavior., genetic or hereditary patterns.,B,,val
"If sin(A) + sin(2A) equals 1, what is the value of the expression (cos(2A) + cos(4A))?",2,3,1, 1/2,C,,val
"Cloud Kicks has numerous customers who frequently renew their ""shoe of the month"" club membership. The sales team utilizes an Account type termed ""shoe of the month"" club for these clients. Sales management aims to automate these recurring opportunities within Salesforce. What should a Consultant suggest to fulfill this need?", Configure a workflow rule for renewal customers that inserts a copy of an Opportunity for the sales representative when it reaches the closed/won stage., None of the other choices, Configure a Process Builder process for renewal customers that sends a reminder task to the sales representative to create a new Opportunity when it reaches the closed/won stage., Develop an Apex trigger for renewal customers that inserts a copy of an Opportunity for the sales representative when it reaches the closed/won stage.,D,,val
What does Average Accounting Return measure in relation to accounting profit?, Book value, Cost, Intrinsic value, Market value,C,,val
In which injuries is the bevelling of a wound observed?, Abrasion, Incised wound, Laceration, None of the other choices,B,,val
"What is the most likely reaction if Argus fell into the waters surrounding Labrador, where the temperature is 1°C (34°F)?", piloerection, None of the other choices, increased blood flow to hands, dilation of the blood vessels of the dermis,A,,val
What is not included in research ethics?, Integrity, Objectivity, Subjectivity, None of the other choices,C,,val
Which of the following changes in the family institution is not true?, marriage rates have declined, the birthrate has greatly declined, there has been an increase in voluntary childlessness, families have gotten larger,D,,val
Which Article of the Indian Constitution addresses the authority of Judicial Review?, 32 and 226, 21 and 371, None of the other choices, 217 and 283,A,,val
Which of the following is not included in the Bhamashah Yojna 2014?, Bhamashah Health Insurance Scheme, Bhamashah Crop Insurance Scheme, None of the other choices, Saving Bank Account holder in any branch of Bank supported by core banking,B,,val
What does the function sin²(ωt) represent?," a periodic, but not simple harmonic motion with a period 2π/ω", a simple harmonic motion with a period 2π/ω," a periodic, but not simple harmonic motion with a period π/ω", None of the other choices,D,,val
What causes the end of the vas deferens to dilate?, For temporary storage of sperms, To enter the urinary bladder, To enter the inguinal canal, For support,A,,val
Which art movement was caricaturist Honore Daumier associated with?, None of the other choices, Expressionism, Neoclassicism, Romanticism,A,,val
What is the term for the annual amount of water that can be extracted and the rate at which this extraction can occur without negatively impacting the aquifer's reserves?, Percent yield, Monthly yield, Operational yield, Annual yield,C,,val
Which of these flow measurement devices works according to Bernoulli's equation?, Coriolis flow meter, Ultrasonic flow meter, Venturi meter, Magnetic flow meter,C,,val
