question,тақырып,таңдаулар,жауап,sheet
"32 жастағы ер адам дәрігерге соңғы 2 айда жұмыстағы және үйдегі тапсырмаларға назар аударуда қиындықтарға тап болғандықтан келді. Ол автомобиль механигі болып жұмыс істейді. Оның жұмысқа көп күші болды, бірақ көбінесе берілген тапсырмаларды орындай алмайтындай дәрежеде алаңдайды. Ол шеберханасында тиімділікті арттыру үшін өз міндеттерін орындауды жиі тоқтатады. Ол жаңадан тапқан күшіне риза екенін айтады және енді түнде тек 4 сағат ұйықтауы керек екенін айтады. Оның психикалық ауру тарихы жоқ. Ол мектепте әрқашан жақсы оқыған. Оның 20 жасында алкогольді шамадан тыс ішу және метамфетамин мен кокаинді қолдану тарихы бар, бірақ соңғы 3 жылда алкогольді немесе заңсыз есірткілерді қолданбаған. Оның температурасы 37°C (98,6°F), тамыр соғысы минутына 60, ал қан қысымы 125/80 мм сын. бағ. құрайды. Физикалық тексеруде ауытқулар байқалмайды. Психикалық жағдайын тексеру кезінде ол көңіл-күйін «жақсы» деп сипаттайды. Оның тұрақсыз аффектілігі бар. Оның сөйлеу жылдамдығы жылдам, бірақ ырғағы қалыпты, ал ойлау процесі ұйымдастырылған. Қысқа және ұзақ мерзімді есте сақтау қабілеті сақталған. Зейін қою және шоғырлану қалыпты; ол тізбекті жеті таңбаны орындағанда қателік жібермейді және жеті таңбаны алға және бес таңбаны кері ретпен қайталай алады. Оның сандырақтары немесе галлюцинациялары болған жоқ. Төмендегі диагноздардың қайсысы ең ықтимал?",кәсіби_медицина, ['Әлеуметтік емес тұлғалық бұзылыс' 'Зейін тапшылығы/гиперактивтілік бұзылысы' 'Биполярлық бұзылыс' 'Шекаралық тұлғалық бұзылыс'],2,Sheet1
 1999 жылы цензура туралы ұлттық пікірталас тудырған көркемсурет көрмесінің атауы қандай болды?, әртүрлі," [""Sticks & Stones"" ""Pulsation"" ""Black & White"" ""Sensation""]",3,Sheet1
 Клиентпен қарым-қатынасты қабылдау немесе жалғастыру туралы шешім қабылдау үшін сапаны бақылау саясаты мен рәсімдерін белгілеудің мақсаты -, кәсіби_бухгалтерлік_есеп, [«Қызметкерлердің өз міндеттерін орындау үшін тиісті түрде оқытылғанына жеткілікті кепілдік беріңіз». «Басшылығы адал емес клиенттермен байланыс орнату ықтималдығын азайтыңыз». «Аудит комитетіне хабарлануы тиіс мәселелерді құжаттаңыз». «Аудитордың клиенттің бизнесі мен оның саласын түсінуін жақсартыңыз».],1,Sheet1
"Осы екі сценарийдің қайсысы үшін басты кейіпкер (мен/мен/менің сөздерін қолданатын) 2020 жылғы АҚШ-тағы қарапайым моральдық стандарттарға сәйкес моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-сценарий | Мен әйеліме үйге барар алдында тоқтап, анама гүл сыйладым. 2-сценарий | Мен ең жақын досымның әйелін құшақтадым", моральдық_сценарийлер," ['Қате, қате' 'Қате, қате емес' 'Қате емес, қате' 'Қате емес, қате емес' 'Қате емес, қате емес']",3,Sheet1
 x = 8 болсын. Python 3 тілінде x>>1 дегеніміз не?, орта мектеп_компьютер_ғылымы, ['3' '4' '2' '8'],1,Sheet1
" Мұражайға барған кезде, сіз мүсінді айнала жүріп, бөлменің әртүрлі жерлерінен қарап зерттейсіз. Мүсіннің торлы қабығының суреттері өзгереді, бірақ сіз бұл өзгерістерді байқамайсыз, себебі...",орта мектеп психологиясы, ['конвергенция' 'қозғалыс параллаксы' 'қабылдау тұрақтылығы' 'интерпозициялау'],2,Sheet1
Толстой дінін өзгерткенге дейін немен қоршалған еді?, философия," ['толық бақыт деп саналатын нәрсе', 'ешкім қаламайтын нәрселер', 'көктегі бақыт деп саналатын нәрсе', 'терең түсінік деп саналатын нәрсе']",0,Sheet1
" Сандардың үлкен тізімі өсу ретімен сұрыпталуы керек. «Деректердің қозғалысы» элементті ауыстыру немесе қайта тағайындау деп есептесек, келесі тұжырымдардың қайсысы дұрыс?", орта мектеп_компьютер_ғылымы," ['Егер массив бастапқыда кему ретімен сұрыпталса, онда кірістіру сұрыптауы таңдау бойынша сұрыптауға қарағанда тиімдірек болады.' 'Таңдау бойынша сұрыптау үшін салыстырулар саны элементтердің бастапқы орналасуына тәуелсіз.' 'Кірістіру бойынша сұрыптау үшін салыстырулар саны элементтердің бастапқы орналасуына тәуелсіз.' 'Таңдау бойынша сұрыптаудағы деректер қозғалыстарының саны элементтердің бастапқы орналасуына байланысты.']",1,Sheet1
 Мифологиялық грек құдайлары мекендейтін таудың аты қандай?, әртүрлі, ['Юпитер'''Олимп''''''Везувий''''''''''''''''''],1,Sheet1
"Кәсіпорындар _________ талаптарына байланысты ________ анықтау, _________ жақсарту және _________ мен ___________ ынталандыру мақсатында әлеуметтік есепке алуды жүзеге асырады.", бизнес_этикасы," ['Мүдделі тараптар, Тәуекелдер, Мүдделі тараптарды басқару, Есеп беру, Ашықтық' 'Мүдделі тараптар, Есеп беру, Ашықтық, Тәуекелдер, Мүдделі тараптарды басқару' 'Мүдделі тараптар, Есеп беру, Тәуекелдер, Мүдделі тараптар, Мүдделі тараптарды басқару' 'Мүдделі тараптар, Мүдделі тараптарды басқару, Ашықтық, Тәуекелдер, Есеп беру']",0,Sheet1
"Бұл сұрақ келесі ақпаратқа қатысты. Келесі дәйексөзді оқыңыз. Мен енді аспанда Юпитердің айналасында үш жұлдыздың, сондай-ақ Венера мен Меркурийдің күннің айналасында айналып жүргенін сөзсіз шештім, және бұл кейінгі ұқсас жағдайларда бақылаулардан күндізгі жарықтан да айқын болды. Мұндай үш жұлдыз ғана болған жоқ; төрт саяхатшы Юпитердің айналасында өз айналымдарын аяқтайды және олардың өзгерістері туралы кейінірек дәлірек айтылғандай, біз мұнда сипаттама береміз. Сондай-ақ мен олардың арасындағы қашықтықты телескоп арқылы өлшедім... Жақында алғаш ашқан төрт Медика планетасына қатысты бақылаулар осындай, және осы деректерден олардың кезеңдері әлі сандық түрде қалпына келтірілмеген болса да, кем дегенде назар аударуға тұрарлық кейбір фактілерді дәлелдеу заңды. Ең бастысы, олар кейде Юпитердің соңынан бірдей аралықпен еріп, кейде одан бұрын болатындықтан және Юпитердің шығысына немесе батысына қарай өте шектеулі қашықтықта болатындықтан, сол планетаның кері және тікелей қозғалыстарымен үнемі бірге жүретіндіктен, олардың Юпитердің айналасында өз айналымдарын аяқтайтынына және сонымен бірге ғаламның орталығының айналасында он екі жылдық кезеңді жүзеге асыратынына ешкім күмән келтіре алмайды. —Галилео Галилей, 1610 ж. Төмендегі поляк ойшылдарының қайсысы Галилейді жоғарыдағы тұжырымды жазуға идеяларымен көндірген адам болуы мүмкін?",орта мектеп_еуропалық_тарихы, ['Николай Коперник' 'Иоганн Кеплер' 'Галилео Галилей' 'Иосиф Пилсудски'],0,Sheet1
" Үш апта бұрын 45 жастағы ер адам екі аяғының үсігіне байланысты ауруханаға жатқызылды. Оған тез жылыту және аяқты қорғау шаралары қолданылды. Оң аяғының барлық саусақтары қарайып кетті. Соңғы бірнеше күнде оның дене қызуы көтеріліп, санасы біртіндеп шатасып кетті. Тексеру кезінде табанның ортасында целлюлит анықталды. Төмендегі емдеу әдістерінің қайсысы ең қолайлы?", кәсіби_медицина,['Ампутация' 'Жергілікті коллагеназаны қолдану' 'Саусақтар үстіндегі некрозға ұшыраған терінің тазартылуы' 'Гипербариялық оттегі'],0,Sheet1
" Рецептсіз сатылатын ниацин де, рецепт бойынша берілетін Липитор препараты да қандағы холестерин деңгейін төмендететіні белгілі. Бір қос соқыр зерттеуде Липитор ниациннен асып түсті. Орташа холестерин деңгейінің төмендеуіндегі айырмашылықтың 95% сенімділік аралығын бағалау (18, 41) болды. Төмендегілердің қайсысы ақылға қонымды қорытынды болып табылады?", орта мектеп статистикасы,"['Ниацин холестеринді орта есеппен 18 ұпайға төмендетеді, ал Липитор холестеринді орта есеппен 41 ұпайға төмендетеді.' 'Кез келген адамның холестерин деңгейін төмендетуде Липитордың ниациннен асып түсу ықтималдығы 0,95.' 'Кез келген адамның холестерин деңгейін төмендетуде Липитордың ниациннен кем дегенде 23 ұпайға асып түсу ықтималдығы 0,95.' 'Жоғарыда айтылғандардың ешқайсысы емес.']",3,Sheet1
 Тыныш тыныс алу кезінде қандай бұлшықеттер қалыпты жұмыс істейді?, анатомия, ['Сыртқы және ішкі қабырғааралық бұлшықеттер' 'Сыртқы қабырғааралық бұлшықеттер және диафрагма' 'Ішкі қабырғааралық бұлшықеттер және диафрагма' 'Сыртқы және ішкі қабырғааралық бұлшықеттер және диафрагма'],1,Sheet1
" Бұл сұрақ келесі ақпаратқа қатысты. О, ұят саған, байғұс Қысқы Патша! Бұл не істедің? Кайзердің тәжін тартып алу өте тентектік емес пе? Енді сен Рейн мен Прагада сияқты аулақ болуың керек, одан да көп - ұят пен үрей Сенің күндерің мен түндерің азап шегеді. Сен де, бүкіл әлем де, олар да мұны біледі, Фердинандтың өзі ғана Богемияның заңды патшасы бола алады. Сондықтан кел, құрметті Фриц, тұрып, Фердинандқа, патшаңа бар да, Одан күнәң үшін толық кешірім сұра. «Байғұс Қысқы Патша», он жетінші ғасырдағы әні. Төмендегілердің қайсысы осы әндегі маңызды негізгі мәселе?",орта мектептің_әлем_тарихы, ['Патшалық мұрагерлік ережелері' 'Діни қақтығыс' 'Әскери тығырыққа тірелу' 'Әлеуметтік таптық қақтығыстар'],1,Sheet1
 АҚШ пен Еуропаның қауіпсіздік саласындағы зерттеулері арасындағы әртүрлі байланысты қалай түсіндіруге болады?, қауіпсіздікті зерттеу,"[«Қауіпсіздік тұжырымдамасымен басқаша байланыс: Еуропада пікірталас «қауіпсіздікпен айналысатын» ғалымның саяси-өзін-өзі талдауының бөлігі ретінде қалды; ал АҚШ-та қауіпсіздік тұжырымдамасы мәселесі ең қажетті «терминдеріңізді анықтаңыз» операциясы ретінде қарастырылады.» «Бағаланатын білімнің нақты түрімен басқаша байланыс. АҚШ рационалистік, Еуропа рефлексивистік. АҚШ қауіпсіздік зерттеулерінде пікірталас гипотезасы әдетте жалпы пікірталастарға және идеялық айнымалыларды өлшеуге байланысты себеп-салдар байланыстары ретінде қарастырылады.» «АҚШ-та негізгі бәсекелес түсіндірмелер бір жағынан АҚШ-тың либералды гегемониясын, ал екінші жағынан, теңгерім мүмкін болмайтын болжамды бірполярлықтың таза билікке негізделген тұрақтылығын атап өтті.» «Осы нұсқалардың барлығы.»]",3,Sheet1
 Алыстан заттарды көруде қиналатын адамға қолданылатын жалпы термин қандай?, әртүрлі, ['алыстан көргіш' 'жақыннан көргіш' 'арттан көргіш' 'гиперметропиялық'],1,Sheet1
 Когнитивті-мінез-құлықтық терапияның мақсаты -, моральдық_даулар, ['табандылық таныт.' 'бұрмаланған ойлауды азайт.' 'жақсы мінез-құлықты марапатта.' 'стоикалық даналыққа қол жеткіз.'],0,Sheet1
 Бағдарламашы сұрыпталған тізімнен мақсатты мәнді табу үшін сызықтық немесе екілік іздеуді пайдалануды таңдап жатыр. Төмендегілердің қайсысы дұрыс?, орта мектеп_компьютер_ғылымы," ['Барлық жағдайларда, сұрыпталған тізімді екілік іздеу сызықтық іздеуге қарағанда аз салыстыруды қажет етеді.' 'Жалпы алғанда, екілік іздеуді сызықтық іздеуге қарағанда пайдаланудың артықшылығы тізімнің өлшемі ұлғайған сайын артады.' 'Сызықтық іздеу әдетте екілік іздеуге қарағанда жылдамырақ орындалады, себебі сызықтық іздеуді іске асыру үшін код жолдарының аз болуы қажет.' 'Егер мақсат тізімде табылмауы мүмкін болса, сызықтық іздеуді пайдалану екілік іздеуді пайдаланудан гөрі тиімдірек.'",1,Sheet1
" Егер жеке меншік игілік өндірісімен байланысты оң сыртқы әсер болса, төмендегілердің қайсысы нарықты тиімді нәтижеге бағыттайтын үкіметтің әрекеті болып табылады?", орта мектеп_микроэкономикасы,['Тауар шығаратын фирманы жабу.' 'Фирманы немесе оның тұтынушыларын субсидиялау.' 'Фирмаға салық салу.' 'Комиссия тағайындау.'],1,Sheet1
 Инфляцияны және PPP түзетуін бақылау арқылы Қытайда 1950 жылдан 2016 жылға дейін жан басына шаққандағы ЖІӨ шамамен қаншаға өсті?, жаһандық_фактілер, ['4 есе' '8 есе' '16 есе' '32 есе'],2,Sheet1
" Бұлшықеттен шығып, қан айналымына енетін лактаттың негізгі тағдыры:", колледж_медицина, ['бауырда мочевинаға айналуы.' 'жүректе глюкозаға айналуы.' 'бүйрек арқылы шығарылуы.' 'басқа тіндермен сіңуі және тотығуы.'],3,Sheet1
"2020 жылғы жағдай бойынша АҚШ-тағы қарапайым моральдық стандарттарға сәйкес, осы екі сценарийдің қайсысында басты кейіпкер (мен/мен/менің сөздерімді қолданатын) моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-жағдай | Мен балаларымды тәртіпке келтіру үшін табаны қолдандым. 2-жағдай | Ұлым велосипед тебуді үйренгісі келді, сондықтан мен велосипедті баптадым.", моральдық_сценарийлер," ['Қате, қате' 'Қате, қате емес' 'Қате емес, қате' 'Қате емес, қате емес' 'Қате емес, қате емес']",1,Sheet1
 Көптеген ежелгі элиталардың ресурстарды тұтынуға деген көзқарасы келесідей болған сияқты:, тарихқа дейінгі кезең,"[''Үнемделген тиын - табылған тиын.'' ''Егер сізде болса, оны көрсетіңіз.'' ''Секірмес бұрын қараңыз.'' ''Соңғысы бірінші, ал біріншісі соңғы болады.'']",1,Sheet1
"Бұл сұрақ келесі ақпаратқа қатысты. «Келді! Аудан әкімінің кеңсесіне ілінді», - деп айқайлады өтіп бара жатқан біреу жүгіріп бара жатып. Мен бір секіріп Дру көшесіне жеттім. ... Хабарламаны бір қарағанда оқыдым. ... «Жұмылдырудың бірінші күні жексенбі, 2 тамыз [1914] болады». ... Бұл миллион жарым французға арналған хабарландыру еді. ... Соғыс! ... Шаршаған, бірақ көңілді болып, мен [газетімнің кеңсесіне] қайтып оралып, бастығымыз Жорж Клемансоның кеңсесіне кірдім. «Париж не деп жатыр?» - деп сұрады ол менен. «Ән айтып жатыр, мырза!» «Онда бәрі жақсы болады», - деп жауап берді Клемансо]. Роланд Дорегельес, 50 жылдан кейін, шамамен 1965 ж. Үзіндіден Дорегельестің есіне түскенін болжауға болады.", орта мектеп_еуропалық_тарихы,['1914 жылы соғысқа жұмылдыру Парижде үлкен күмәнмен қарсы алынды' '1914 жылы соғысқа жұмылдыру бүкіл Еуропада үлкен күмәнмен қарсы алынды' '1914 жылы соғысқа жұмылдыру бүкіл Еуропада үлкен ынтамен қарсы алынды' '1914 жылы соғысқа жұмылдыру Парижде үлкен ынтамен қарсы алынды'],3,Sheet1
Қай коэффициент ең күшті корреляцияны көрсетеді?, орта мектеп психологиясы, ['-1' '-0.33' '0' '0.5'],0,Sheet1
" Электр қозғалтқышында келесідей жазу бар: Кіріс: 120 В айнымалы ток, 1,0 Ампер, 60 Гц - Тиімділігі - 75%. Қозғалтқыш қандай тұрақты жылдамдықпен 6 кг массаны көтере алады?", орта мектеп_физикасы," ['0,5 м/с' '1,0 м/с' '1,5 м/с' '2,0 м/с']",2,Sheet1
 Лев Толстой өнердің _____ екенін айтады., философия, ['өрнек' 'форма' 'көрсету' 'абстрактілі'],0,Sheet1
 Юнг бойынша аналитикалық психотерапияның төрт қағидасы қандай?, кәсіби_психология,"['Өзін-өзі реттейтін психика, бейсаналық, отбасы, терапевт-пациент қарым-қатынасы' 'Өзін-өзі реттейтін психика, бейсаналық, терапевт-пациент қарым-қатынасы, өзін-өзі жетілдіру кезеңдері' 'Ид, эго, суперэго, либидо' 'Архетиптер, бейсаналық, өзін-өзі бағалау, әлеуметтік қажеттіліктер']",1,Sheet1
" Сатқын - сатқын, демек сен сатқынсың, демек мен патриотпын. Патриоттың сөздері ең құнды, сондықтан менің сөздерім жақсы. Менің сөздерім жақсы болғандықтан, сен сөзсіз сатқынсың! Төмендегілердің қайсысы жоғарыдағыдай логикалық қателік жібереді?", әртүрлі,"[‘Әдебиет пен өнер назар аударуға тұрарлық емес. Жаңғыру ғылым мен технологияға сүйенуі керек, сондықтан ғылым мен технология біздің назарымызға лайық. Бірақ әдебиет пен өнер ғылым мен технология емес.’ «Университеттен тыс адамдар да көрнекті талантқа айнала алады. Горький, Эдисон, Фарадей, Франклин және т.б. колледжде оқымаған, бірақ олардың барлығы көрнекті таланттарға айналды.’ «Жер – шар, мұны біз биіктікте тұрып, теңіздегі желкенді қайықты бақылаған кезде алдымен діңгекті, содан кейін корпусты көретінімізден дәлелдеуге болады. Мұның себебі – жер шар.’ «Мен олардың осы химиялық зауыттан шығып келе жатқанын бірнеше рет көрдім, содан кейін науқастарға көмектесуге құштар бұл жас жігіттің бастапқыда осы химиялық зауытта жұмыс істегенін түсіндім.»]",2,Sheet1
" 33 жастағы ер адамға қалқанша безінің қатерлі ісігіне байланысты радикалды тиреоидэктомия жасалды. Операция кезінде орташа қан кету мойынның сол жағындағы бірнеше тамырларды байлауды қажет етеді. Операциядан кейін сарысудағы зерттеулер кальций концентрациясының 7,5 мг/дл, альбумин концентрациясының 4 г/дл және паратироид гормонының концентрациясының 200 пг/мл екенін көрсетеді. Төмендегі тамырлардың қайсысының зақымдануы осы науқаста осындай нәтижелерге әкелді?", кәсіби_медицина,['Қабырға мойын діңінің тармағы' 'Сыртқы ұйқы артериясының тармағы' 'Қалқанша мойын діңінің тармағы' 'Ішкі мойындырық венасының саласы'],2,Sheet1
 Әлемдік жүйелер теориясы әлемді екіге бөледі, орта мектеп географиясы," ['өзек, шеткі және жартылай шеткі.' 'байлар мен кедейлер.' 'дамыған және дамымаған.' 'барлар мен жоқтар.']",0,Sheet1
"Үлкен қалада қоқыс тастау әрқашан проблема болып табылады. Мемлекеттік қоқыс тастауға қарсы заң кез келген көліктен қоқыс пен басқа да заттарды қоғамдық жолдарға тастауға тыйым салады. Бұл 50 доллар айыппұл салынатын және бас бостандығынан айыру жазасы қарастырылмаған қысқаша қылмыс. Үшінші қылмыс бойынша айыппұл 500 долларды құрайды және 5 тәулікке бас бостандығынан айыру жазасы қарастырылған. Заңда қылмыстық ниет туралы ешқандай талап айтылмаған. Джон мен оның отбасы демалыс күндері пикниктен оралып келе жатқанда, балалары қоқыс салынған пакеттер мен түскі ас қалдықтарын қозғалып келе жатқан көліктің артқы терезесінен лақтырады. Джон тоқтатылып, оған 50 доллар айыппұл салынады. Ол балаларының не істеп жатқанын білмегенін және ешқандай заң бұзуға қылмыстық ниеті болмағанын айтып, табысқа жете ала ма?", кәсіби_құқық,"[‘Жоқ, себебі бұл психикалық жағдайға негізделген қорғаныс шараларын көздемейтін қатаң жауапкершілік туралы заң болуы мүмкін.’ «Иә, себебі ол балаларының артқы орындықта не істеп жүргенін білмеді және ол құқық бұзушылыққа қатыспаған, сондай-ақ олардың мұны істегенін немесе істейтінін де білмеген.’ «Иә, себебі полицияның көліктегі қоқысты терезеден кім лақтырғанын дәлелдеудің ешқандай мүмкіндігі жоқ.’ «Жоқ, себебі оның қылмыстық ниеті оқиғалардың мән-жайымен анық анықталған.»]",0,Sheet1
"Танымал наубайханадағы нанға деген орташа тәуліктік қажеттілік 2500 нан, ал стандартты ауытқу 225 нан. Наубайхана күн сайын таңертең 3000 нан пісіреді. Бүгін нанның таусылу ықтималдығы қандай? Бұл наубайханадағы нанға деген орташа тәуліктік қажеттілік қалыпты түрде бөлінген деп есептейік.", орта мектеп статистикасы, ['0.8333' '0.1667' '0.9869' '0.0132'],3,Sheet1
 a[i] == max || !(max != a[i]) логикалық өрнегін былайша жеңілдетуге болады, орта мектеп_компьютер_ғылымы,['a[i] == макс' 'a[i] != макс' 'a[i] < макс || a[i] > макс' 'ЖАЛҒАН'],0,Sheet1
" Егер аяқ иіліп кетсе, ол қай бағытта қозғалады?", анатомия, ['Ішке' 'Сыртқа' 'Жоғары' 'Төменге''],3,Sheet1
 Төмендегілердің қайсысы инсулин бөліп шығаруға жауапты асқазан-ішек жүйесінің қосымша мүшесі болып табылады?, анатомия, ['Бүйрек үсті безі' 'Өт қабы' 'Бауыр' 'Ұйқы безі'],3,Sheet1
Осы екі сценарийдің қайсысы үшін басты кейіпкер (мен/мен/менің сөздерін қолданатын) 2020 жылғы АҚШ-тағы қарапайым моральдық стандарттарға сәйкес моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-жағдай | Мен оған стандартталған емтиханға отыру арқылы академиялық тұрғыдан көмектестім. 2-жағдай | Мен анам маған сатып алған печеньелерді жедім., моральдық_сценарийлер," ['Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес']",1,Sheet1
