subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
professional_law,"The night before his bar examination, the examinee's next-door neighbor was having a party. The music from the neighbor's home was so loud that the examinee couldn't fall asleep. The examinee called the neighbor and asked her to please keep the noise down. The neighbor then abruptly hung up. Angered, the examinee went into his closet and got a gun. He went outside and fired a bullet through the neighbor's living room window. Not intending to shoot anyone, the examinee fired his gun at such an angle that the bullet would hit the ceiling. He merely wanted to cause some damage to the neighbor's home to relieve his angry rage. The bullet, however, ricocheted off the ceiling and struck a partygoer in the back, killing hr. The jurisdiction makes it a misdemeanor to discharge a firearm in public. The examinee will most likely be found guilty for which of the following crimes in connection to the death of the partygoer?",Murder.,Involuntary manslaughter.,Voluntary manslaughter.,Discharge of a firearm in public.,0,A,validation,"question: The night before his bar examination, the examinee's next-door neighbor was having a party. The music from the neighbor's home was so loud that the examinee couldn't fall asleep. The examinee called the neighbor and asked her to please keep the noise down. The neighbor then abruptly hung up. Angered, the examinee went into his closet and got a gun. He went outside and fired a bullet through the neighbor's living room window. Not intending to shoot anyone, the examinee fired his gun at such an angle that the bullet would hit the ceiling. He merely wanted to cause some damage to the neighbor's home to relieve his angry rage. The bullet, however, ricocheted off the ceiling and struck a partygoer in the back, killing hr. The jurisdiction makes it a misdemeanor to discharge a firearm in public. The examinee will most likely be found guilty for which of the following crimes in connection to the death of the partygoer?","A)
question: The eve prior to his bar examination, the examinee's next-door neighbor was holding a party. The music from the neighbor's residence was so loud that the examinee couldn't fall asleep. The examinee phoned the neighbor and asked her to please keep the noise down. The neighbor then suddenly hung up. Enraged, the examinee went into his closet and fetched a gun. He went outside and fired a bullet through the neighbor's living room window. Not intending to shoot anyone, the examinee fired his gun at such an angle that the bullet would strike the ceiling. He merely wanted to cause some damage to the neighbor's residence to relieve his angry rage. The bullet, however, ricocheted off the ceiling and struck a partygoer in the back, killing hr. The jurisdiction makes it a misdemeanor to discharge a firearm in public. The examinee will most likely be found guilty for which of the following crimes in connection to the death of the partygoer?

B)
question: The night before his bar exam, the examinee's adjoining neighbor was throwing a party. The music from the neighbor's house was so loud that the examinee couldn't get to sleep. The examinee telephoned the neighbor and asked her to please keep the noise down. The neighbor then abruptly hung up. Furious, the examinee went into his closet and retrieved a gun. He went outside and discharged a bullet through the neighbor's living room window. Not intending to shoot anyone, the examinee fired his gun at such an angle that the bullet would hit the ceiling. He merely wanted to cause some damage to the neighbor's home to relieve his angry rage. The bullet, however, ricocheted off the ceiling and struck a partygoer in the back, killing hr. The jurisdiction makes it a misdemeanor to discharge a firearm in public. The examinee will most likely be found guilty for which of the following crimes in connection to the death of the partygoer?

C)
question: The night before his bar examination, the candidate's next-door neighbor was hosting a party. The music from the neighbor's home was so loud that the candidate couldn't fall asleep. The candidate called the neighbor and asked her to please keep the noise down. The neighbor then abruptly hung up. Angered, the candidate went into his closet and got a gun. He went outside and fired a bullet through the neighbor's living room window. Not intending to shoot anyone, the candidate fired his gun at such an angle that the bullet would hit the ceiling. He merely wanted to cause some damage to the neighbor's home to relieve his angry rage. The bullet, however, ricocheted off the ceiling and struck a partygoer in the back, killing hr. The jurisdiction makes it a misdemeanor to discharge a firearm in public. The candidate will most likely be found guilty for which of the following crimes in connection to the death of the partygoer?

D)
question: The night prior to his bar examination, the examinee's adjacent neighbor was holding a gathering. The music from the neighbor's home was so loud that the examinee was unable to fall asleep. The examinee called the neighbor and asked her to please keep the noise down. The neighbor then abruptly hung up. Angered, the examinee entered his closet and obtained a gun. He went outside and fired a bullet through the neighbor's living room window. Not intending to shoot anyone, the examinee fired his gun at such an angle that the bullet would hit the ceiling. He merely wanted to cause some damage to the neighbor's home to relieve his angry rage. The bullet, however, ricocheted off the ceiling and struck a partygoer in the back, killing hr. The jurisdiction makes it a misdemeanor to discharge a firearm in public. The examinee will most likely be found guilty for which of the following crimes in connection to the death of the partygoer?","question: The eve prior to his bar examination, the examinee's next-door neighbor was holding a party. The music from the neighbor's residence was so loud that the examinee couldn't fall asleep. The examinee phoned the neighbor and asked her to please keep the noise down. The neighbor then suddenly hung up. Enraged, the examinee went into his closet and fetched a gun. He went outside and fired a bullet through the neighbor's living room window. Not intending to shoot anyone, the examinee fired his gun at such an angle that the bullet would strike the ceiling. He merely wanted to cause some damage to the neighbor's residence to relieve his angry rage. The bullet, however, ricocheted off the ceiling and struck a partygoer in the back, killing hr. The jurisdiction makes it a misdemeanor to discharge a firearm in public. The examinee will most likely be found guilty for which of the following crimes in connection to the death of the partygoer?","question: The night before his bar exam, the examinee's adjoining neighbor was throwing a party. The music from the neighbor's house was so loud that the examinee couldn't get to sleep. The examinee telephoned the neighbor and asked her to please keep the noise down. The neighbor then abruptly hung up. Furious, the examinee went into his closet and retrieved a gun. He went outside and discharged a bullet through the neighbor's living room window. Not intending to shoot anyone, the examinee fired his gun at such an angle that the bullet would hit the ceiling. He merely wanted to cause some damage to the neighbor's home to relieve his angry rage. The bullet, however, ricocheted off the ceiling and struck a partygoer in the back, killing hr. The jurisdiction makes it a misdemeanor to discharge a firearm in public. The examinee will most likely be found guilty for which of the following crimes in connection to the death of the partygoer?","question: The night before his bar examination, the candidate's next-door neighbor was hosting a party. The music from the neighbor's home was so loud that the candidate couldn't fall asleep. The candidate called the neighbor and asked her to please keep the noise down. The neighbor then abruptly hung up. Angered, the candidate went into his closet and got a gun. He went outside and fired a bullet through the neighbor's living room window. Not intending to shoot anyone, the candidate fired his gun at such an angle that the bullet would hit the ceiling. He merely wanted to cause some damage to the neighbor's home to relieve his angry rage. The bullet, however, ricocheted off the ceiling and struck a partygoer in the back, killing hr. The jurisdiction makes it a misdemeanor to discharge a firearm in public. The candidate will most likely be found guilty for which of the following crimes in connection to the death of the partygoer?","question: The night prior to his bar examination, the examinee's adjacent neighbor was holding a gathering. The music from the neighbor's home was so loud that the examinee was unable to fall asleep. The examinee called the neighbor and asked her to please keep the noise down. The neighbor then abruptly hung up. Angered, the examinee entered his closet and obtained a gun. He went outside and fired a bullet through the neighbor's living room window. Not intending to shoot anyone, the examinee fired his gun at such an angle that the bullet would hit the ceiling. He merely wanted to cause some damage to the neighbor's home to relieve his angry rage. The bullet, however, ricocheted off the ceiling and struck a partygoer in the back, killing hr. The jurisdiction makes it a misdemeanor to discharge a firearm in public. The examinee will most likely be found guilty for which of the following crimes in connection to the death of the partygoer?",C,B,C,D
professional_accounting,"Rune Co.'s checkbook balance on December 31 was $10000. On that date Rune held the following items in its safe: $4000 check payable to Rune postdated January 3 and not included in the December 31 checkbook balance in collection of a sale made in December. $1000 check payable to Rune deposited December 15 and included in the December 31 checkbook balance but returned by the bank on December 30 stamped ""NSF"". The check was redeposited on January 2 and cleared on January 9. What amount should Rune report as cash in its December 31 balance sheet?","$9,000","$10,000","$13,000",14000,0,A,test,"question: Rune Co.'s checkbook balance on December 31 was $10000. On that date Rune held the following items in its safe: $4000 check payable to Rune postdated January 3 and not included in the December 31 checkbook balance in collection of a sale made in December. $1000 check payable to Rune deposited December 15 and included in the December 31 checkbook balance but returned by the bank on December 30 stamped ""NSF"". The check was redeposited on January 2 and cleared on January 9. What amount should Rune report as cash in its December 31 balance sheet?","A)
question: Rune Co.'s bank account balance on December 31 was $10000. On that date Rune possessed the following items in its vault: $4000 check payable to Rune postdated January 3 and not counted in the December 31 bank account balance in collection of a sale made in December. $1000 check payable to Rune deposited December 15 and counted in the December 31 bank account balance but returned by the bank on December 30 stamped ""NSF"". The check was redeposited on January 2 and cleared on January 9. What amount should Rune report as cash in its December 31 balance sheet?

B)
question: Rune Co.'s check register balance on December 31 was $10000. On that date Rune held the following items in its safe: $4000 check payable to Rune postdated January 3 and not included in the December 31 check register balance in collection of a sale made in December. $1000 check payable to Rune deposited December 15 and included in the December 31 check register balance but returned by the bank on December 30 stamped ""NSF"". The check was redeposited on January 2 and cleared on January 9. What amount should Rune report as cash in its December 31 balance sheet?

C)
question: Rune Co.'s bankbook balance on December 31 was $10000. On that date Rune possessed the following items in its strongbox: $4000 check payable to Rune postdated January 3 and not included in the December 31 bankbook balance in collection of a sale made in December. $1000 check payable to Rune deposited December 15 and included in the December 31 bankbook balance but returned by the bank on December 30 stamped ""NSF"". The check was redeposited on January 2 and cleared on January 9. What amount should Rune report as cash in its December 31 balance sheet?

D)
question: Rune Co.'s cashbook balance on December 31 was $10000. On that date Rune held the following items in its safe: $4000 check payable to Rune postdated January 3 and not included in the December 31 cashbook balance in collection of a sale made in December. $1000 check payable to Rune deposited December 15 and included in the December 31 cashbook balance but returned by the bank on December 30 stamped ""NSF"". The check was redeposited on January 2 and cleared on January 9. What amount should Rune report as cash in its December 31 balance sheet?","question: Rune Co.'s bank account balance on December 31 was $10000. On that date Rune possessed the following items in its vault: $4000 check payable to Rune postdated January 3 and not counted in the December 31 bank account balance in collection of a sale made in December. $1000 check payable to Rune deposited December 15 and counted in the December 31 bank account balance but returned by the bank on December 30 stamped ""NSF"". The check was redeposited on January 2 and cleared on January 9. What amount should Rune report as cash in its December 31 balance sheet?","question: Rune Co.'s check register balance on December 31 was $10000. On that date Rune held the following items in its safe: $4000 check payable to Rune postdated January 3 and not included in the December 31 check register balance in collection of a sale made in December. $1000 check payable to Rune deposited December 15 and included in the December 31 check register balance but returned by the bank on December 30 stamped ""NSF"". The check was redeposited on January 2 and cleared on January 9. What amount should Rune report as cash in its December 31 balance sheet?","question: Rune Co.'s bankbook balance on December 31 was $10000. On that date Rune possessed the following items in its strongbox: $4000 check payable to Rune postdated January 3 and not included in the December 31 bankbook balance in collection of a sale made in December. $1000 check payable to Rune deposited December 15 and included in the December 31 bankbook balance but returned by the bank on December 30 stamped ""NSF"". The check was redeposited on January 2 and cleared on January 9. What amount should Rune report as cash in its December 31 balance sheet?","question: Rune Co.'s cashbook balance on December 31 was $10000. On that date Rune held the following items in its safe: $4000 check payable to Rune postdated January 3 and not included in the December 31 cashbook balance in collection of a sale made in December. $1000 check payable to Rune deposited December 15 and included in the December 31 cashbook balance but returned by the bank on December 30 stamped ""NSF"". The check was redeposited on January 2 and cleared on January 9. What amount should Rune report as cash in its December 31 balance sheet?",A,A,B,A
high_school_chemistry,What is the work involved if a gas in a 2.0-liter container at 2.4 atmospheres pressure is allowed to expand against a pressure of 0.80 atmosphere?,-3.2 L atm,-9.62 L atm,-4.8 L atm,+14.4 L atm,0,A,test,question: What is the work involved if a gas in a 2.0-liter container at 2.4 atmospheres pressure is allowed to expand against a pressure of 0.80 atmosphere?,"A)
question: Which is the work performed if a gas in a 2.0-liter vessel at 2.4 atmospheres pressure is allowed to expand against a pressure of 0.80 atmosphere?

B)
question: What is the work done if a gas inside a 2.0-liter container at 2.4 atmospheres pressure is allowed to expand against a pressure of 0.80 atmosphere?

C)
question: What is the work required if a gas in a 2.0-liter receptacle at 2.4 atmospheres pressure is allowed to expand against a pressure of 0.80 atmosphere?

D)
question: Which is the work performed if a gas in a 2.0-liter container at 2.4 atmospheres pressure is permitted to expand against a pressure of 0.80 atmosphere?",question: Which is the work performed if a gas in a 2.0-liter vessel at 2.4 atmospheres pressure is allowed to expand against a pressure of 0.80 atmosphere?,question: What is the work done if a gas inside a 2.0-liter container at 2.4 atmospheres pressure is allowed to expand against a pressure of 0.80 atmosphere?,question: What is the work required if a gas in a 2.0-liter receptacle at 2.4 atmospheres pressure is allowed to expand against a pressure of 0.80 atmosphere?,question: Which is the work performed if a gas in a 2.0-liter container at 2.4 atmospheres pressure is permitted to expand against a pressure of 0.80 atmosphere?,A,A,A,A
high_school_psychology,"Within a multimethod model of assessment, child interviews are most helpful for which purpose?",Incorporating a strength-based perspective,Meeting legal guidelines for a comprehensive assessment,Providing an accurate timeline of when a problem began and how it changed over time,Establishing rapport to better understand the child's perspective on a problem,3,D,test,"question: Within a multimethod model of assessment, child interviews are most helpful for which purpose?","A)
question: Within a multimethod framework of evaluation, interviews with children are most useful for what purpose?

B)
question: Within a multimethod model of appraisal, child interviews are most beneficial for which aim?

C)
question: Within a multimethod model of assessment, juvenile interviews are most helpful for which purpose?

D)
question: Within a multimethod model of evaluation, interviews of children are most helpful for which objective?","question: Within a multimethod framework of evaluation, interviews with children are most useful for what purpose?","question: Within a multimethod model of appraisal, child interviews are most beneficial for which aim?","question: Within a multimethod model of assessment, juvenile interviews are most helpful for which purpose?","question: Within a multimethod model of evaluation, interviews of children are most helpful for which objective?",A,A,A,A
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I wore a fake moustache to the costume party. Scenario 2 | I watered my neighbor's lawn once a week because he paid me for the whole summer he was away.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",3,D,test,"question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I wore a fake moustache to the costume party. Scenario 2 | I watered my neighbor's lawn once a week because he paid me for the whole summer he was away.","A)
question: For which of these two situations does the protagonist (who uses I/me/my) commit something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put on a fake mustache to the costume party. Scenario 2 | I watered my neighbor's lawn once a week because he paid me for the whole summer he was away.

B)
question: For which of these two scenarios does the main character (who uses I/me/my) do something plainly morally wrong, according to common moral standards in the US as of 2020? Scenario 1 | I wore a fake mustache to the costume party. Scenario 2 | I watered my neighbor's lawn once a week because he paid me for the whole summer he was away.

C)
question: For which of these two scenarios does the lead character (who uses I/me/my) do something clearly ethically wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I wore a false moustache to the costume party. Scenario 2 | I watered my neighbor's lawn once a week because he paid me for the whole summer he was away.

D)
question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary ethical standards in the United States as of 2020? Scenario 1 | I wore a counterfeit moustache to the costume party. Scenario 2 | I watered my neighbor's lawn weekly because he paid me for the whole summer he was away.","question: For which of these two situations does the protagonist (who uses I/me/my) commit something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put on a fake mustache to the costume party. Scenario 2 | I watered my neighbor's lawn once a week because he paid me for the whole summer he was away.","question: For which of these two scenarios does the main character (who uses I/me/my) do something plainly morally wrong, according to common moral standards in the US as of 2020? Scenario 1 | I wore a fake mustache to the costume party. Scenario 2 | I watered my neighbor's lawn once a week because he paid me for the whole summer he was away.","question: For which of these two scenarios does the lead character (who uses I/me/my) do something clearly ethically wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I wore a false moustache to the costume party. Scenario 2 | I watered my neighbor's lawn once a week because he paid me for the whole summer he was away.","question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary ethical standards in the United States as of 2020? Scenario 1 | I wore a counterfeit moustache to the costume party. Scenario 2 | I watered my neighbor's lawn weekly because he paid me for the whole summer he was away.",A,A,A,A
professional_accounting,"A bond with a five-year maturity, paying 8% coupons and with a face value of $100, is bought at 104.1 in year 0, when it is issued. If I need to sell the bond at the the end the third year, when its prevailing price is 82, what is my holding period return on this investment? (Assume coupons are not reinvested.) HINT: Accumulate all coupons.",24%,23%,-21%,2%,3,D,test,"question: A bond with a five-year maturity, paying 8% coupons and with a face value of $100, is bought at 104.1 in year 0, when it is issued. If I need to sell the bond at the the end the third year, when its prevailing price is 82, what is my holding period return on this investment? (Assume coupons are not reinvested.) HINT: Accumulate all coupons.","A)
question: A security with a five-year maturity, paying 8% coupons and with a face value of $100, is purchased at 104.1 in year 0, when it is issued. If I need to sell the bond at the the end the third year, when its prevailing price is 82, what is my holding period return on this investment? (Assume coupons are not reinvested.) HINT: Accumulate all coupons.

B)
question: A debt instrument with a five-year maturity, paying 8% coupons and with a face value of $100, is bought at 104.1 in year 0, when it is issued. If I need to sell the bond at the the end the third year, when its prevailing price is 82, what is my holding period return on this investment? (Assume coupons are not reinvested.) HINT: Accumulate all coupons.

C)
question: A note with a five-year maturity, paying 8% coupons and with a face value of $100, is bought at 104.1 in year 0, when it is issued. If I need to sell the bond at the the end the third year, when its prevailing price is 82, what is my holding period return on this investment? (Assume coupons are not reinvested.) HINT: Accumulate all coupons.

D)
question: A fixed-income instrument with a five-year maturity, paying 8% coupons and with a face value of $100, is bought at 104.1 in year 0, when it is issued. If I need to sell the bond at the the end the third year, when its prevailing price is 82, what is my holding period return on this investment? (Assume coupons are not reinvested.) HINT: Accumulate all coupons.","question: A security with a five-year maturity, paying 8% coupons and with a face value of $100, is purchased at 104.1 in year 0, when it is issued. If I need to sell the bond at the the end the third year, when its prevailing price is 82, what is my holding period return on this investment? (Assume coupons are not reinvested.) HINT: Accumulate all coupons.","question: A debt instrument with a five-year maturity, paying 8% coupons and with a face value of $100, is bought at 104.1 in year 0, when it is issued. If I need to sell the bond at the the end the third year, when its prevailing price is 82, what is my holding period return on this investment? (Assume coupons are not reinvested.) HINT: Accumulate all coupons.","question: A note with a five-year maturity, paying 8% coupons and with a face value of $100, is bought at 104.1 in year 0, when it is issued. If I need to sell the bond at the the end the third year, when its prevailing price is 82, what is my holding period return on this investment? (Assume coupons are not reinvested.) HINT: Accumulate all coupons.","question: A fixed-income instrument with a five-year maturity, paying 8% coupons and with a face value of $100, is bought at 104.1 in year 0, when it is issued. If I need to sell the bond at the the end the third year, when its prevailing price is 82, what is my holding period return on this investment? (Assume coupons are not reinvested.) HINT: Accumulate all coupons.",A,B,C,D
prehistory,Homo erectus is most closely associated with which tool-making tradition?,Occipital,Acheulean,Oldowan,Stadial,1,B,test,question: Homo erectus is most closely associated with which tool-making tradition?,"A)
question: Homo erectus is most strongly associated with which stone-tool tradition?

B)
question: Homo erectus is most closely connected with which lithic tradition?

C)
question: Homo erectus is most intimately associated with which tool-production tradition?

D)
question: Homo erectus is most tightly associated with which stone-tool industry?",question: Homo erectus is most strongly associated with which stone-tool tradition?,question: Homo erectus is most closely connected with which lithic tradition?,question: Homo erectus is most intimately associated with which tool-production tradition?,question: Homo erectus is most tightly associated with which stone-tool industry?,A,A,A,A
high_school_biology,Crossing-over occurs during which of the following phases in meiosis?,Prophase I,Metaphase I,Anaphase I,Prophase II,0,A,test,question: Crossing-over occurs during which of the following phases in meiosis?,"A)
question: Genetic recombination occurs during which of the following phases in meiosis?

B)
question: Chiasma formation occurs during which of the following phases in meiosis?

C)
question: Exchange of genetic material occurs during which of the following phases in meiosis?

D)
question: Chromosomal crossover occurs during which of the following phases in meiosis?",question: Genetic recombination occurs during which of the following phases in meiosis?,question: Chiasma formation occurs during which of the following phases in meiosis?,question: Exchange of genetic material occurs during which of the following phases in meiosis?,question: Chromosomal crossover occurs during which of the following phases in meiosis?,A,A,A,A
professional_law,"A noted author was writing a screenplay that he was adapting from his novel Quiet Winter. He assigned in writing 25 percent of any future royalties, when and if the screenplay was made into either a movie or a stage play, to his friend, who had subsidized him during his early years as a struggling writer. Shortly after the screenplay was completed, the author was killed in an auto accident. A movie studio then purchased the screenplay from the executors of the author's estate and filmed the movie Quiet Winter, which was a great success. In an action against the executors of the author's estate to recover her percentage of the movie royalties, the friend will most likely","lose, because under the circumstances an assignment of future rights is unenforceable.","lose, because the attempted gift of royalties failed for non-delivery.","win, because she was an intended beneficiary.","win, because the assignment of future rights is enforceable.",0,A,test,"question: A noted author was writing a screenplay that he was adapting from his novel Quiet Winter. He assigned in writing 25 percent of any future royalties, when and if the screenplay was made into either a movie or a stage play, to his friend, who had subsidized him during his early years as a struggling writer. Shortly after the screenplay was completed, the author was killed in an auto accident. A movie studio then purchased the screenplay from the executors of the author's estate and filmed the movie Quiet Winter, which was a great success. In an action against the executors of the author's estate to recover her percentage of the movie royalties, the friend will most likely","A)
question: A renowned author was drafting a screenplay that he was adapting from his novel Quiet Winter. He conveyed in writing 25 percent of any future royalties, when and if the screenplay was made into either a motion picture or a stage production, to his friend, who had supported him during his early years as a struggling writer. Shortly after the screenplay was completed, the author was killed in an automobile accident. A movie studio then purchased the screenplay from the executors of the author's estate and filmed the movie Quiet Winter, which was a great success. In an action against the executors of the author's estate to recover her percentage of the movie royalties, the friend will most likely

B)
question: A prominent author was composing a screenplay that he was adapting from his novel Quiet Winter. He granted in writing 25 percent of any future royalties, when and if the screenplay was made into either a film or a stage play, to his friend, who had financed him during his early years as a struggling writer. Shortly after the screenplay was completed, the author was killed in an auto accident. A film studio then purchased the screenplay from the executors of the author's estate and filmed the movie Quiet Winter, which proved a great success. In an action against the executors of the author's estate to recover her percentage of the movie royalties, the friend will most likely

C)
question: A celebrated author was penning a screenplay that he was adapting from his novel Quiet Winter. He transferred in writing 25 percent of any future royalties, when and if the screenplay was made into either a movie or a stage play, to his friend, who had subsidized him during his early years as a struggling writer. Shortly after the screenplay was completed, the author was killed in an auto accident. A movie studio then bought the screenplay from the executors of the author's estate and filmed the movie Quiet Winter, which was a great success. In an action against the executors of the author's estate to recover her percentage of the movie royalties, the friend will most likely

D)
question: An eminent novelist was writing a screenplay that he was adapting from his novel Quiet Winter. He assigned in writing 25 percent of any future royalties, when and if the screenplay was made into either a movie or a stage play, to his friend, who had subsidized him during his early years as a struggling writer. Shortly after the screenplay was completed, the author was killed in an automobile accident. A movie studio then purchased the screenplay from the executors of the author's estate and filmed the movie Quiet Winter, which was an enormous success. In an action against the executors of the author's estate to recover her percentage of the movie royalties, the friend will most likely","question: A renowned author was drafting a screenplay that he was adapting from his novel Quiet Winter. He conveyed in writing 25 percent of any future royalties, when and if the screenplay was made into either a motion picture or a stage production, to his friend, who had supported him during his early years as a struggling writer. Shortly after the screenplay was completed, the author was killed in an automobile accident. A movie studio then purchased the screenplay from the executors of the author's estate and filmed the movie Quiet Winter, which was a great success. In an action against the executors of the author's estate to recover her percentage of the movie royalties, the friend will most likely","question: A prominent author was composing a screenplay that he was adapting from his novel Quiet Winter. He granted in writing 25 percent of any future royalties, when and if the screenplay was made into either a film or a stage play, to his friend, who had financed him during his early years as a struggling writer. Shortly after the screenplay was completed, the author was killed in an auto accident. A film studio then purchased the screenplay from the executors of the author's estate and filmed the movie Quiet Winter, which proved a great success. In an action against the executors of the author's estate to recover her percentage of the movie royalties, the friend will most likely","question: A celebrated author was penning a screenplay that he was adapting from his novel Quiet Winter. He transferred in writing 25 percent of any future royalties, when and if the screenplay was made into either a movie or a stage play, to his friend, who had subsidized him during his early years as a struggling writer. Shortly after the screenplay was completed, the author was killed in an auto accident. A movie studio then bought the screenplay from the executors of the author's estate and filmed the movie Quiet Winter, which was a great success. In an action against the executors of the author's estate to recover her percentage of the movie royalties, the friend will most likely","question: An eminent novelist was writing a screenplay that he was adapting from his novel Quiet Winter. He assigned in writing 25 percent of any future royalties, when and if the screenplay was made into either a movie or a stage play, to his friend, who had subsidized him during his early years as a struggling writer. Shortly after the screenplay was completed, the author was killed in an automobile accident. A movie studio then purchased the screenplay from the executors of the author's estate and filmed the movie Quiet Winter, which was an enormous success. In an action against the executors of the author's estate to recover her percentage of the movie royalties, the friend will most likely",A,A,A,A
college_physics,"Protons used in cancer therapy are typically accelerated to about 0.6c . How much work must be done on a particle of mass m in order for it to reach this speed, assuming it starts at rest?",0.25mc^2,0.60mc^2,0.67mc^2,1.25mc^2,0,A,test,"question: Protons used in cancer therapy are typically accelerated to about 0.6c . How much work must be done on a particle of mass m in order for it to reach this speed, assuming it starts at rest?","A)
question: Proton beams employed in oncology treatment are usually accelerated to about 0.6c . How much work must be done on a particle of mass m in order for it to reach this speed, assuming it starts at rest?

B)
question: Protons utilized in cancer treatment are typically sped up to about 0.6c . How much work must be performed on a particle of mass m in order for it to attain this speed, assuming it starts at rest?

C)
question: The protons applied in oncological therapy are commonly accelerated to about 0.6c . How much work must be done on a particle of mass m in order for it to achieve this speed, assuming it starts at rest?

D)
question: Protons employed in oncology treatment are typically accelerated to about 0.6c . How much work must be carried out on a particle of mass m in order for it to reach this speed, assuming it starts at rest?","question: Proton beams employed in oncology treatment are usually accelerated to about 0.6c . How much work must be done on a particle of mass m in order for it to reach this speed, assuming it starts at rest?","question: Protons utilized in cancer treatment are typically sped up to about 0.6c . How much work must be performed on a particle of mass m in order for it to attain this speed, assuming it starts at rest?","question: The protons applied in oncological therapy are commonly accelerated to about 0.6c . How much work must be done on a particle of mass m in order for it to achieve this speed, assuming it starts at rest?","question: Protons employed in oncology treatment are typically accelerated to about 0.6c . How much work must be carried out on a particle of mass m in order for it to reach this speed, assuming it starts at rest?",A,A,C,A
high_school_psychology,Which of the following statements is true about the relationship between reliability and validity?,"Reliability and validity are mutually exclusive: a test can be reliable or valid, but it can't be both.","If a test is reliable, then it is valid, but if a test is not reliable, it cannot be valid.","Validity is a concept related to achievement tests, and reliability is the corresponding concept related to aptitude tests.",A test can be reliable but not valid.,3,D,test,question: Which of the following statements is true about the relationship between reliability and validity?,"A)
Which of the following statements is accurate regarding the relationship between reliability and validity?

B)
Which of the subsequent statements is true concerning the relationship between reliability and validity?

C)
Which of the following assertions is correct about the relationship between reliability and validity?

D)
Which of the following statements is true with respect to the relationship between reliability and validity?",Which of the following statements is accurate regarding the relationship between reliability and validity?,Which of the subsequent statements is true concerning the relationship between reliability and validity?,Which of the following assertions is correct about the relationship between reliability and validity?,Which of the following statements is true with respect to the relationship between reliability and validity?,A,A,E,D
nutrition,"Which of the following statements about the consequence of an adaptive metabolic demand for the determination of the minimum protein requirement is correct.
",Adaptation is fully accounted for in the design of nitrogen balance studies.,The adaptive metabolic demand means that the slope of N-balance studies underestimates the efficiency of protein utilization,Variable adaptation between different N-balance studies is fully accounted for in the calculation of the safe individual protein requirement as EAR+2SD,Adaptation should not influence the interpretation of N-balance studies.,1,B,test,"question: Which of the following statements about the consequence of an adaptive metabolic demand for the determination of the minimum protein requirement is correct.
","A)
question: Which of the following assertions about the outcome of an accommodative metabolic need for the estimation of the minimal protein necessity is correct.

B)
question: Which of the following claims about the effect of an adaptive metabolic demand for the determination of the minimum protein requirement is correct.

C)
question: Which of the following propositions about the result of an adjustable metabolic demand for the calculation of the minimal protein requirement is correct.

D)
question: Which of the following declarations about the ramification of an adaptive metabolic need for the establishment of the minimum protein necessity is correct.",question: Which of the following assertions about the outcome of an accommodative metabolic need for the estimation of the minimal protein necessity is correct.,question: Which of the following claims about the effect of an adaptive metabolic demand for the determination of the minimum protein requirement is correct.,question: Which of the following propositions about the result of an adjustable metabolic demand for the calculation of the minimal protein requirement is correct.,question: Which of the following declarations about the ramification of an adaptive metabolic need for the establishment of the minimum protein necessity is correct.,B,B,C,D
clinical_knowledge,Embedded in the inner membrane of the mitochondrion are:,the enzymes of the tricarboxylic acid cycle (Krebs' cycle).,the components of the electron transport chain.,glycogen molecules.,triacylglycerol molecules.,1,B,test,question: Embedded in the inner membrane of the mitochondrion are:,"A)
question: Situated in the inner membrane of the mitochondrion are:

B)
question: Located in the internal membrane of the mitochondrion are:

C)
question: Inserted in the innermost membrane of the mitochondrion are:

D)
question: Positioned in the inner membrane of the mitochondrion are:",question: Situated in the inner membrane of the mitochondrion are:,question: Located in the internal membrane of the mitochondrion are:,question: Inserted in the innermost membrane of the mitochondrion are:,question: Positioned in the inner membrane of the mitochondrion are:,A,A,A,A
