subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split,instance,generated_options,option_a,option_b,option_c,option_d
marketing,An example of a segmented market would be:,Phillips marketing its product to all residents of the European Union with one marketing mix based on the concept 'Sense and Sensibility'.,High-income and low-income consumers being treated the same at Marks and Spencer (M&S).,A garden nursery seeing residents of urban areas and rural areas as one market needing trees.,Honda separating its potential customers into economy car buyers and luxury car buyers.,3,D,test,question: An example of a segmented market would be:,"A)
question: A sample of a divided market would be:

B)
question: One instance of a partitioned marketplace would be:

C)
question: An illustration of a split market would be:

D)
question: One exemplar of a fragmented marketplace would be:",question: A sample of a divided market would be:,question: One instance of a partitioned marketplace would be:,question: An illustration of a split market would be:,question: One exemplar of a fragmented marketplace would be:
college_physics,The eigenvalues of a Hermitian operator are always,real,imaginary,degenerate,linear,0,A,test,question: The eigenvalues of a Hermitian operator are always,"A)
question: The spectral values of a self-adjoint operator are always

B)
question: The characteristic values of a self-adjoint operator are always

C)
question: The eigenvalues of a Hermitean operator are always

D)
question: The spectral values of a Hermitean operator are always",question: The spectral values of a self-adjoint operator are always,question: The characteristic values of a self-adjoint operator are always,question: The eigenvalues of a Hermitean operator are always,question: The spectral values of a Hermitean operator are always
professional_medicine,"A male neonate, who was born at 36 weeks' gestation 2 hours ago in the labor and delivery unit of the hospital, now shows signs of respiratory difficulty. The mother, an 18-year-old primigravid woman, smoked one pack of cigarettes daily throughout her pregnancy. She received prenatal care during most of the pregnancy. One episode of chlamydial cervicitis was detected during the last trimester and treated with azithromycin. The neonate was born via cesarean delivery due to fetal heart rate decelerations. The amniotic fluid was stained with light particulate meconium. Apgar scores were 9 and 9 at 1 and 5 minutes, respectively. The patient is 50 cm (20 in; 50th percentile) long and weighs 3005 g (6 lb 10 oz; 50th percentile); head circumference is 35 cm (14 in; 50th percentile). The infant's vital signs now are temperature 36.6°C (97.8°F), pulse 150/min, and respirations 70/min. Pulse oximetry on room air shows an oxygen saturation of 95%. Physical examination discloses mild subcostal and intercostal retractions. Chest x-ray shows prominent pulmonary vascular markings and fluid in the intralobar fissures. Which of the following is the most likely diagnosis?",Group B streptococcal sepsis,Meconium aspiration syndrome,Respiratory distress syndrome,Transient tachypnea of newborn,3,D,test,"question: A male neonate, who was born at 36 weeks' gestation 2 hours ago in the labor and delivery unit of the hospital, now shows signs of respiratory difficulty. The mother, an 18-year-old primigravid woman, smoked one pack of cigarettes daily throughout her pregnancy. She received prenatal care during most of the pregnancy. One episode of chlamydial cervicitis was detected during the last trimester and treated with azithromycin. The neonate was born via cesarean delivery due to fetal heart rate decelerations. The amniotic fluid was stained with light particulate meconium. Apgar scores were 9 and 9 at 1 and 5 minutes, respectively. The patient is 50 cm (20 in; 50th percentile) long and weighs 3005 g (6 lb 10 oz; 50th percentile); head circumference is 35 cm (14 in; 50th percentile). The infant's vital signs now are temperature 36.6°C (97.8°F), pulse 150/min, and respirations 70/min. Pulse oximetry on room air shows an oxygen saturation of 95%. Physical examination discloses mild subcostal and intercostal retractions. Chest x-ray shows prominent pulmonary vascular markings and fluid in the intralobar fissures. Which of the following is the most likely diagnosis?","A)
question: A male newborn, who was delivered at 36 weeks' gestation 2 hours ago in the hospital's labor and delivery ward, now demonstrates signs of respiratory distress. The mother, an 18-year-old primigravida, smoked one pack of cigarettes per day throughout her pregnancy. She obtained prenatal care during most of the pregnancy. A single episode of chlamydial cervicitis was identified during the last trimester and treated with azithromycin. The neonate was delivered by cesarean section because of fetal heart rate decelerations. The amniotic fluid was stained with faint particulate meconium. Apgar scores were 9 and 9 at 1 and 5 minutes, respectively. The infant is 50 cm (20 in; 50th percentile) long and weighs 3005 g (6 lb 10 oz; 50th percentile); head circumference is 35 cm (14 in; 50th percentile). The infant's vital signs are presently temperature 36.6°C (97.8°F), heart rate 150/min, and respiratory rate 70/min. Pulse oximetry on room air shows an oxygen saturation of 95%. Physical examination reveals mild subcostal and intercostal retractions. Chest radiograph demonstrates prominent pulmonary vascular markings and fluid in the intralobar fissures. Which of the following is the most likely diagnosis?

B)
question: A male infant, who was born at 36 weeks' gestation 2 hours ago in the labor and delivery unit of the hospital, now exhibits signs of breathing difficulty. The mother, an 18-year-old first-time pregnant woman, smoked one pack of cigarettes each day throughout her pregnancy. She received prenatal care during the majority of the pregnancy. One episode of chlamydial cervicitis was noted during the last trimester and treated with azithromycin. The neonate was born via cesarean delivery because of fetal heart rate decelerations. The amniotic fluid was stained with slight particulate meconium. Apgar scores were 9 and 9 at 1 and 5 minutes, respectively. The patient is 50 cm (20 in; 50th percentile) long and weighs 3005 g (6 lb 10 oz; 50th percentile); head circumference is 35 cm (14 in; 50th percentile). The infant's vital signs now are temperature 36.6°C (97.8°F), pulse 150/min, and respirations 70/min. Pulse oximetry on room air demonstrates an oxygen saturation of 95%. Physical examination discloses mild subcostal and intercostal retractions. Chest x-ray shows prominent pulmonary vascular markings and fluid within the intralobar fissures. Which of the following is the most likely diagnosis?

C)
question: A male baby, who was delivered at 36 weeks' gestation 2 hours ago in the labor and delivery suite of the hospital, now presents with respiratory difficulty. The mother, an 18-year-old woman pregnant for the first time, smoked one pack of cigarettes daily throughout her pregnancy. She obtained prenatal care during most of the pregnancy. One episode of chlamydial cervicitis was detected during the last trimester and managed with azithromycin. The neonate was delivered by cesarean delivery because of fetal heart rate decelerations. The amniotic fluid was stained with light particulate meconium. Apgar scores were 9 and 9 at 1 and 5 minutes, respectively. The infant is 50 cm (20 in; 50th percentile) long and weighs 3005 g (6 lb 10 oz; 50th percentile); head circumference is 35 cm (14 in; 50th percentile). The infant's vital signs now are temperature 36.6°C (97.8°F), pulse 150/min, and respirations 70/min. Pulse oximetry on room air shows an oxygen saturation of 95%. Physical exam reveals mild subcostal and intercostal retractions. Chest x-ray demonstrates prominent pulmonary vascular markings and fluid in the intralobar fissures. Which of the following is the most likely diagnosis?

D)
question: A male newborn infant, who was born at 36 weeks' gestation 2 hours ago in the hospital's labor and delivery unit, now manifests signs of respiratory distress. The mother, an 18-year-old primigravid woman, smoked one pack of cigarettes daily throughout her pregnancy. She received prenatal care during most of the pregnancy. One episode of chlamydial cervicitis was identified during the last trimester and treated with azithromycin. The neonate was born by cesarean section because of fetal heart rate decelerations. The amniotic fluid was stained with mild particulate meconium. Apgar scores were 9 and 9 at 1 and 5 minutes, respectively. The patient is 50 cm (20 in; 50th percentile) long and weighs 3005 g (6 lb 10 oz; 50th percentile); head circumference is 35 cm (14 in; 50th percentile). The infant's vital signs now are temperature 36.6°C (97.8°F), pulse 150/min, and respirations 70/min. Pulse oximetry on room air shows an oxygen saturation of 95%. Physical examination discloses mild subcostal and intercostal retractions. Chest radiograph shows prominent pulmonary vascular markings and fluid in the intralobar fissures. Which of the following is the most likely diagnosis?","question: A male newborn, who was delivered at 36 weeks' gestation 2 hours ago in the hospital's labor and delivery ward, now demonstrates signs of respiratory distress. The mother, an 18-year-old primigravida, smoked one pack of cigarettes per day throughout her pregnancy. She obtained prenatal care during most of the pregnancy. A single episode of chlamydial cervicitis was identified during the last trimester and treated with azithromycin. The neonate was delivered by cesarean section because of fetal heart rate decelerations. The amniotic fluid was stained with faint particulate meconium. Apgar scores were 9 and 9 at 1 and 5 minutes, respectively. The infant is 50 cm (20 in; 50th percentile) long and weighs 3005 g (6 lb 10 oz; 50th percentile); head circumference is 35 cm (14 in; 50th percentile). The infant's vital signs are presently temperature 36.6°C (97.8°F), heart rate 150/min, and respiratory rate 70/min. Pulse oximetry on room air shows an oxygen saturation of 95%. Physical examination reveals mild subcostal and intercostal retractions. Chest radiograph demonstrates prominent pulmonary vascular markings and fluid in the intralobar fissures. Which of the following is the most likely diagnosis?","question: A male infant, who was born at 36 weeks' gestation 2 hours ago in the labor and delivery unit of the hospital, now exhibits signs of breathing difficulty. The mother, an 18-year-old first-time pregnant woman, smoked one pack of cigarettes each day throughout her pregnancy. She received prenatal care during the majority of the pregnancy. One episode of chlamydial cervicitis was noted during the last trimester and treated with azithromycin. The neonate was born via cesarean delivery because of fetal heart rate decelerations. The amniotic fluid was stained with slight particulate meconium. Apgar scores were 9 and 9 at 1 and 5 minutes, respectively. The patient is 50 cm (20 in; 50th percentile) long and weighs 3005 g (6 lb 10 oz; 50th percentile); head circumference is 35 cm (14 in; 50th percentile). The infant's vital signs now are temperature 36.6°C (97.8°F), pulse 150/min, and respirations 70/min. Pulse oximetry on room air demonstrates an oxygen saturation of 95%. Physical examination discloses mild subcostal and intercostal retractions. Chest x-ray shows prominent pulmonary vascular markings and fluid within the intralobar fissures. Which of the following is the most likely diagnosis?","question: A male baby, who was delivered at 36 weeks' gestation 2 hours ago in the labor and delivery suite of the hospital, now presents with respiratory difficulty. The mother, an 18-year-old woman pregnant for the first time, smoked one pack of cigarettes daily throughout her pregnancy. She obtained prenatal care during most of the pregnancy. One episode of chlamydial cervicitis was detected during the last trimester and managed with azithromycin. The neonate was delivered by cesarean delivery because of fetal heart rate decelerations. The amniotic fluid was stained with light particulate meconium. Apgar scores were 9 and 9 at 1 and 5 minutes, respectively. The infant is 50 cm (20 in; 50th percentile) long and weighs 3005 g (6 lb 10 oz; 50th percentile); head circumference is 35 cm (14 in; 50th percentile). The infant's vital signs now are temperature 36.6°C (97.8°F), pulse 150/min, and respirations 70/min. Pulse oximetry on room air shows an oxygen saturation of 95%. Physical exam reveals mild subcostal and intercostal retractions. Chest x-ray demonstrates prominent pulmonary vascular markings and fluid in the intralobar fissures. Which of the following is the most likely diagnosis?","question: A male newborn infant, who was born at 36 weeks' gestation 2 hours ago in the hospital's labor and delivery unit, now manifests signs of respiratory distress. The mother, an 18-year-old primigravid woman, smoked one pack of cigarettes daily throughout her pregnancy. She received prenatal care during most of the pregnancy. One episode of chlamydial cervicitis was identified during the last trimester and treated with azithromycin. The neonate was born by cesarean section because of fetal heart rate decelerations. The amniotic fluid was stained with mild particulate meconium. Apgar scores were 9 and 9 at 1 and 5 minutes, respectively. The patient is 50 cm (20 in; 50th percentile) long and weighs 3005 g (6 lb 10 oz; 50th percentile); head circumference is 35 cm (14 in; 50th percentile). The infant's vital signs now are temperature 36.6°C (97.8°F), pulse 150/min, and respirations 70/min. Pulse oximetry on room air shows an oxygen saturation of 95%. Physical examination discloses mild subcostal and intercostal retractions. Chest radiograph shows prominent pulmonary vascular markings and fluid in the intralobar fissures. Which of the following is the most likely diagnosis?"
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I turned my music down low while my dad napped. Scenario 2 | I used the knife to cut his sandwich.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",3,D,test,"question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I turned my music down low while my dad napped. Scenario 2 | I used the knife to cut his sandwich.","A)
question: For which of these two situations does the protagonist (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I turned my music down low while my dad napped. Scenario 2 | I used the knife to cut his sandwich.

B)
question: For which of these two scenarios does the main character (who uses I/me/my) do something plainly morally wrong, according to common moral standards in the US as of 2020? Scenario 1 | I lowered my music volume while my father dozed. Scenario 2 | I utilized the knife to slice his sandwich.

C)
question: For which of these two cases does the protagonist (who uses I/me/my) commit something clearly ethically wrong, according to ordinary moral norms in the US as of 2020? Scenario 1 | I turned my music down very low while my dad dozed. Scenario 2 | I used the blade to cut his sandwich.

D)
question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I lowered my music down low while my dad napped. Scenario 2 | I used the knife to slice his sandwich.","question: For which of these two situations does the protagonist (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I turned my music down low while my dad napped. Scenario 2 | I used the knife to cut his sandwich.","question: For which of these two scenarios does the main character (who uses I/me/my) do something plainly morally wrong, according to common moral standards in the US as of 2020? Scenario 1 | I lowered my music volume while my father dozed. Scenario 2 | I utilized the knife to slice his sandwich.","question: For which of these two cases does the protagonist (who uses I/me/my) commit something clearly ethically wrong, according to ordinary moral norms in the US as of 2020? Scenario 1 | I turned my music down very low while my dad dozed. Scenario 2 | I used the blade to cut his sandwich.","question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I lowered my music down low while my dad napped. Scenario 2 | I used the knife to slice his sandwich."
high_school_psychology,"Today Susan took a pill for her allergy that raised her blood pressure, caused her heart to beat faster, and raised her body temperature. Now caught in traffic, she feels angry. Yesterday, when she took the pill, she was with her husband. When her blood pressure rose, her heart speeded up, she got hotter, and she felt amorous. This description exemplifies",the adaptation-level phenomenon,two-factor theory,James-Lange theory,Cannon-Bard theory,1,B,test,"question: Today Susan took a pill for her allergy that raised her blood pressure, caused her heart to beat faster, and raised her body temperature. Now caught in traffic, she feels angry. Yesterday, when she took the pill, she was with her husband. When her blood pressure rose, her heart speeded up, she got hotter, and she felt amorous. This description exemplifies","A)

question: Today Susan swallowed a tablet for her hay fever that increased her blood pressure, caused her heart to beat more rapidly, and elevated her body temperature. Now stuck in traffic, she feels irate. Yesterday, when she swallowed the tablet, she was with her spouse. When her blood pressure increased, her heart quickened, she became hotter, and she felt lustful. This description exemplifies

B)

question: Today Susan ingested a capsule for her allergy that raised her arterial pressure, caused her heart to beat faster, and heightened her body temperature. Now trapped in traffic, she feels enraged. Yesterday, when she ingested the capsule, she was with her husband. When her arterial pressure rose, her heart sped up, she grew warmer, and she felt amorous. This description exemplifies

C)

question: Today Susan took a dose for her sensitivity that boosted her blood pressure, caused her heart to beat more quickly, and increased her body temperature. Now caught in traffic, she feels furious. Yesterday, when she took the dose, she was with her partner. When her blood pressure rose, her heart accelerated, she got hotter, and she felt passionate. This description exemplifies

D)

question: Today Susan administered a pill for her allergic condition that raised her blood pressure, caused her heart to beat quicker, and raised her body temperature. Now stuck in traffic, she feels annoyed. Yesterday, when she administered the pill, she was with her husband. When her blood pressure rose, her heart sped up, she became warmer, and she felt amorous. This description exemplifies","question: Today Susan swallowed a tablet for her hay fever that increased her blood pressure, caused her heart to beat more rapidly, and elevated her body temperature. Now stuck in traffic, she feels irate. Yesterday, when she swallowed the tablet, she was with her spouse. When her blood pressure increased, her heart quickened, she became hotter, and she felt lustful. This description exemplifies","question: Today Susan ingested a capsule for her allergy that raised her arterial pressure, caused her heart to beat faster, and heightened her body temperature. Now trapped in traffic, she feels enraged. Yesterday, when she ingested the capsule, she was with her husband. When her arterial pressure rose, her heart sped up, she grew warmer, and she felt amorous. This description exemplifies","question: Today Susan took a dose for her sensitivity that boosted her blood pressure, caused her heart to beat more quickly, and increased her body temperature. Now caught in traffic, she feels furious. Yesterday, when she took the dose, she was with her partner. When her blood pressure rose, her heart accelerated, she got hotter, and she felt passionate. This description exemplifies","question: Today Susan administered a pill for her allergic condition that raised her blood pressure, caused her heart to beat quicker, and raised her body temperature. Now stuck in traffic, she feels annoyed. Yesterday, when she administered the pill, she was with her husband. When her blood pressure rose, her heart sped up, she became warmer, and she felt amorous. This description exemplifies"
high_school_psychology,"According to the Gestalt organizing principles of perception, when you look at, ""i n car n a t e,"" you tend to notice the word car rather than in, nate, at, or ate, because of",continuity,the phi phenomenon,similarity,proximity,3,D,test,"question: According to the Gestalt organizing principles of perception, when you look at, ""i n car n a t e,"" you tend to notice the word car rather than in, nate, at, or ate, because of","A)
question: In accordance with the Gestalt organizing principles of perception, when you view, ""i n car n a t e,"" you are likely to notice the word car instead of in, nate, at, or ate, due to

B)
question: According to the Gestalt organizing principles of perception, when you gaze at, ""i n car n a t e,"" you tend to perceive the word car rather than in, nate, at, or ate, because of

C)
question: Per the Gestalt organizing principles of perception, when you look at, ""i n car n a t e,"" you tend to notice the word car rather than in, nate, at, or ate, owing to

D)
question: In line with the Gestalt organizing principles of perception, when you examine, ""i n car n a t e,"" you are inclined to notice the word car instead of in, nate, at, or ate, because of","question: In accordance with the Gestalt organizing principles of perception, when you view, ""i n car n a t e,"" you are likely to notice the word car instead of in, nate, at, or ate, due to","question: According to the Gestalt organizing principles of perception, when you gaze at, ""i n car n a t e,"" you tend to perceive the word car rather than in, nate, at, or ate, because of","question: Per the Gestalt organizing principles of perception, when you look at, ""i n car n a t e,"" you tend to notice the word car rather than in, nate, at, or ate, owing to","question: In line with the Gestalt organizing principles of perception, when you examine, ""i n car n a t e,"" you are inclined to notice the word car instead of in, nate, at, or ate, because of"
high_school_microeconomics,What could the government do to most effectively avoid a free rider problem?,Enact stricter antitrust legislation,Provide more complete information about the relevant goods,Supply public goods using tax dollars,Tax those creating negative externalities,2,C,test,question: What could the government do to most effectively avoid a free rider problem?,"A)
question: What could the state do to most effectively avert a free-rider problem?

B)
question: What could the public authorities do to most effectively prevent a free rider problem?

C)
question: What could the administration do to most effectively avoid a free-rider issue?

D)
question: What could the state apparatus do to most effectively forestall a free riding problem?",question: What could the state do to most effectively avert a free-rider problem?,question: What could the public authorities do to most effectively prevent a free rider problem?,question: What could the administration do to most effectively avoid a free-rider issue?,question: What could the state apparatus do to most effectively forestall a free riding problem?
econometrics,Which one of the following criticisms of the Dickey-Fuller/Engle-Granger approach to dealing with cointegrated variables is overcome by the Engle-Yoo (EY) procedure?,"In the context of small samples, Dickey Fuller tests are prone to conclude that there is a unit root in a series when there is not",The Engle-Granger (EG) approach can only detect up to one cointegrating relationship even though there could be more than one,The variables are treated asymmetrically in the cointegrating tests,It is not possible to perform tests about the cointegrating relationship,3,D,test,question: Which one of the following criticisms of the Dickey-Fuller/Engle-Granger approach to dealing with cointegrated variables is overcome by the Engle-Yoo (EY) procedure?,"A)
question: Which one of the following critiques of the Dickey-Fuller/Engle-Granger approach to handling cointegrated variables is overcome by the Engle-Yoo (EY) procedure?

B)
question: Which one of the following criticisms of the Dickey-Fuller/Engle-Granger method for dealing with cointegrated variables is overcome by the Engle-Yoo (EY) procedure?

C)
question: Which one of the following objections to the Dickey-Fuller/Engle-Granger approach to addressing cointegrated variables is overcome by the Engle-Yoo (EY) procedure?

D)
question: Which one of the following criticisms of the Dickey-Fuller/Engle-Granger approach to handling cointegrated variables is rectified by the Engle-Yoo (EY) procedure?",question: Which one of the following critiques of the Dickey-Fuller/Engle-Granger approach to handling cointegrated variables is overcome by the Engle-Yoo (EY) procedure?,question: Which one of the following criticisms of the Dickey-Fuller/Engle-Granger method for dealing with cointegrated variables is overcome by the Engle-Yoo (EY) procedure?,question: Which one of the following objections to the Dickey-Fuller/Engle-Granger approach to addressing cointegrated variables is overcome by the Engle-Yoo (EY) procedure?,question: Which one of the following criticisms of the Dickey-Fuller/Engle-Granger approach to handling cointegrated variables is rectified by the Engle-Yoo (EY) procedure?
high_school_mathematics,"If $m$ and $n$ are odd integers, how many terms in the expansion of $(m+n)^6$ are odd?",4,2,1,9,0,A,test,"question: If $m$ and $n$ are odd integers, how many terms in the expansion of $(m+n)^6$ are odd?","A)
question: Suppose $m$ and $n$ are odd whole numbers, how many terms in the expansion of $(m+n)^6$ are odd?

B)
question: Assuming $m$ and $n$ are odd integer values, how many terms in the expansion of $(m+n)^6$ are odd?

C)
question: Provided $m$ and $n$ are odd numbers, how many terms in the expansion of $(m+n)^6$ are odd?

D)
question: Supposing $m$ and $n$ are odd integral quantities, how many terms in the expansion of $(m+n)^6$ are odd?","question: Suppose $m$ and $n$ are odd whole numbers, how many terms in the expansion of $(m+n)^6$ are odd?","question: Assuming $m$ and $n$ are odd integer values, how many terms in the expansion of $(m+n)^6$ are odd?","question: Provided $m$ and $n$ are odd numbers, how many terms in the expansion of $(m+n)^6$ are odd?","question: Supposing $m$ and $n$ are odd integral quantities, how many terms in the expansion of $(m+n)^6$ are odd?"
security_studies,How do biological differences affect the roles that men and women must perform for the state?,"Biology determines the female body as weak, ensuring that men continue to dominate state security apparatus in order to protect them. Women are aware of practical biological differences, and by accepting them they allow men to act as their protectors and care-givers. In return, women must act as protectors and care-givers to those less capable than themselves, their children, infants, the elderly, and the infirm.","The most intimate of human activities for women are more important than the demands of the political and religious male dominated elite. Biology determines, and woman's intimate choice exerts, that the considerable responsibility of reproducing a state's population becomes the duty of women alone.","Indiscriminate warfare is gender neutral and in contemporary conflicts there is no gender difference in levels of risk or duty. Men are just as likely to become victims of mass rape (as in the Democratic Republic of Congo or Balkans conflict) as women, and women are equally likely to be conscripted or coerced into military service.","Gender roles are a social construct; the values that we attribute to masculinity or femininity, such as strength or care-giving, are the product of shared social ideals rather than innate biological properties. Men and women are equally able to care effectively for children or to conduct violent and aggressive behaviour. However, social constructs of gender roles are pervasive, and women are likely to be victims of gender-based violence in conflict whilst men are more likely to be involved as perpetrators of violence.",3,D,test,question: How do biological differences affect the roles that men and women must perform for the state?,"A)
question: How do physiological differences influence the roles that men and women must perform for the state?

B)
question: How do biological variations affect the roles that men and women must perform for the state?

C)
question: How do biological distinctions impact the roles that men and women must perform for the state?

D)
question: How do physical differences shape the roles that men and women must perform for the state?",question: How do physiological differences influence the roles that men and women must perform for the state?,question: How do biological variations affect the roles that men and women must perform for the state?,question: How do biological distinctions impact the roles that men and women must perform for the state?,question: How do physical differences shape the roles that men and women must perform for the state?
high_school_world_history,"This question refers to the following information.
""We are not Europeans; we are not Indians; we are but a mixed species of aborigines and Spaniards. Americans by birth and Europeans by law, we find ourselves engaged in a dual conflict: we are disputing with the natives for titles of ownership, and at the same time we are struggling to maintain ourselves in the country that gave us birth against the opposition of the invaders. Thus our position is most extraordinary and complicated. But there is more. As our role has always been strictly passive and political existence nil, we find that our quest for liberty is now even more difficult of accomplishment; for we, having been placed in a state lower than slavery, had been robbed not only of our freedom but also of the right to exercise an active domestic tyranny…We have been ruled more by deceit than by force, and we have been degraded more by vice than by superstition. Slavery is the daughter of darkness: an ignorant people is a blind instrument of its own destruction. Ambition and intrigue abuses the credulity and experience of men lacking all political, economic, and civic knowledge; they adopt pure illusion as reality; they take license for liberty, treachery for patriotism, and vengeance for justice. If a people, perverted by their training, succeed in achieving their liberty, they will soon lose it, for it would be of no avail to endeavor to explain to them that happiness consists in the practice of virtue; that the rule of law is more powerful than the rule of tyrants, because, as the laws are more inflexible, every one should submit to their beneficent austerity; that proper morals, and not force, are the bases of law; and that to practice justice is to practice liberty.""
Simón de Bolívar, Message to the Congress of Angostura, 1819
Simón de Bolívar, the author of the passage, accomplished which of the following?",The first union of independent Latin American states,The first military victory of the War of 1812,The first military victory of the Spanish-American War,The first political coup by someone of mixed-race descent,0,A,test,"question: This question refers to the following information.
""We are not Europeans; we are not Indians; we are but a mixed species of aborigines and Spaniards. Americans by birth and Europeans by law, we find ourselves engaged in a dual conflict: we are disputing with the natives for titles of ownership, and at the same time we are struggling to maintain ourselves in the country that gave us birth against the opposition of the invaders. Thus our position is most extraordinary and complicated. But there is more. As our role has always been strictly passive and political existence nil, we find that our quest for liberty is now even more difficult of accomplishment; for we, having been placed in a state lower than slavery, had been robbed not only of our freedom but also of the right to exercise an active domestic tyranny…We have been ruled more by deceit than by force, and we have been degraded more by vice than by superstition. Slavery is the daughter of darkness: an ignorant people is a blind instrument of its own destruction. Ambition and intrigue abuses the credulity and experience of men lacking all political, economic, and civic knowledge; they adopt pure illusion as reality; they take license for liberty, treachery for patriotism, and vengeance for justice. If a people, perverted by their training, succeed in achieving their liberty, they will soon lose it, for it would be of no avail to endeavor to explain to them that happiness consists in the practice of virtue; that the rule of law is more powerful than the rule of tyrants, because, as the laws are more inflexible, every one should submit to their beneficent austerity; that proper morals, and not force, are the bases of law; and that to practice justice is to practice liberty.""
Simón de Bolívar, Message to the Congress of Angostura, 1819
Simón de Bolívar, the author of the passage, accomplished which of the following?","A)
He led independence movements that liberated several South American countries from Spanish rule.

B)
He led independence movements that freed numerous South American nations from Spanish rule.

C)
He led liberation movements that emancipated several South American states from Spanish rule.

D)
He led independence campaigns that liberated several South American territories from Spanish rule.",He led independence movements that liberated several South American countries from Spanish rule.,He led independence movements that freed numerous South American nations from Spanish rule.,He led liberation movements that emancipated several South American states from Spanish rule.,He led independence campaigns that liberated several South American territories from Spanish rule.
