subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,error_type,correct_answer,potential_reason,source,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
high_school_psychology,"Of the following, which is characteristic of formal operational thinking?",simple motor responses to sensory stimuli,failure to understand reversibility,"capacity to deal well with concrete objects, but not with hypothetical situations",logical reasoning and systematic planning,3,D,ok,,,https://www.crackap.com/ap/psychology/question-417-answer-and-explanation.html,"Of the following, which is characteristic of formal operational thinking?","A)
From the following, what is typical of formal operational reasoning?

B)
Among the following, what is representative of formal operational cognition?

C)
Out of the following, which is indicative of formal operational thought?

D)
Within the following, which is descriptive of formal operational logic?","From the following, what is typical of formal operational reasoning?","Among the following, what is representative of formal operational cognition?","Out of the following, which is indicative of formal operational thought?","Within the following, which is descriptive of formal operational logic?",A,A,A,A
high_school_microeconomics,You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,goods X and Y are normal goods.,goods X and Y are inferior goods.,goods X and Y are complementary goods.,goods X and Y are substitute goods.,3,D,ok,,,https://www.crackap.com/ap/microeconomics/test38.html,You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,"A)
You are informed that the cross-price elasticity between products X and Y is +2.0. This implies that

B)
One is told that the cross-price responsiveness between commodities X and Y is +2.0. This signifies that

C)
It is stated that the cross-price elasticity between items X and Y is +2.0. This indicates that

D)
You are notified that the cross-price elasticity between assets X and Y is +2.0. This denotes that",You are informed that the cross-price elasticity between products X and Y is +2.0. This implies that,One is told that the cross-price responsiveness between commodities X and Y is +2.0. This signifies that,It is stated that the cross-price elasticity between items X and Y is +2.0. This indicates that,You are notified that the cross-price elasticity between assets X and Y is +2.0. This denotes that,A,A,C,A
virology,How does rubella cause foetal abnormalities?,By crossing the placenta early in pregnancy and infecting the foetus,By only infecting the placenta,By inducing cytokines and chemokines in the mother,By raising the temperature of the mother and inducing an abnormal immune reaction to the foetus,0,A,ok,,,Human Virology 5e,How does rubella cause foetal abnormalities?,"A)
How does German measles trigger embryonic malformations?

B)
In what way does rubella induce prenatal defects?

C)
By what means does rubella produce congenital irregularities?

D)
Through what process does rubella result in birth deformities?",How does German measles trigger embryonic malformations?,In what way does rubella induce prenatal defects?,By what means does rubella produce congenital irregularities?,Through what process does rubella result in birth deformities?,A,B,C,D
sociology,"After slavery was abolished in the USA and British Empire, policy makers claimed that former slaves migrating to these cities would experience:",assimilation,adaptation,discrimination,compensation,0,A,ok,,,https://global.oup.com/uk/orc/sociology/fulcher4e/01student/mcqs/ch06,"After slavery was abolished in the USA and British Empire, policy makers claimed that former slaves migrating to these cities would experience:","A)
Following slavery being ended in the US and British Empire, government officials asserted that previous captives relocating to those municipalities might encounter:

B)
Once bondage was eliminated in the USA and British Empire, public administrators maintained that erstwhile slaves moving to such centers should undergo:

C)
Since servitude was terminated in the USA and British Empire, state authorities argued that past laborers transitioning to these towns would face:

D)
When captivity was repealed in the USA and British Empire, political leaders insisted that antecedent slaves shifting to those capitals could endure:","Following slavery being ended in the US and British Empire, government officials asserted that previous captives relocating to those municipalities might encounter:","Once bondage was eliminated in the USA and British Empire, public administrators maintained that erstwhile slaves moving to such centers should undergo:","Since servitude was terminated in the USA and British Empire, state authorities argued that past laborers transitioning to these towns would face:","When captivity was repealed in the USA and British Empire, political leaders insisted that antecedent slaves shifting to those capitals could endure:",A,A,A,D
world_religions, Naturalists who concentrated on natural elements and processes are associated with which of the following?,Daoism,Yin-Yang School,Mengzi,Humanistic Buddhism,1,B,ok,,,https://www.oupcanada.com/higher_education/companion/religion/9780199008551/student_resources/oxtoby_quiz_10.html, Naturalists who concentrated on natural elements and processes are associated with which of the following?,"A)
Environmentalists who focused on biological components and procedures are linked with which of the following?

B)
Ecologists who emphasized organic features and mechanisms are connected with which of the following?

C)
Biologists who centered on physical factors and developments are related with which of the following?

D)
Nature-lovers who fixated on inherent aspects and cycles are affiliated with which of the following?",Environmentalists who focused on biological components and procedures are linked with which of the following?,Ecologists who emphasized organic features and mechanisms are connected with which of the following?,Biologists who centered on physical factors and developments are related with which of the following?,Nature-lovers who fixated on inherent aspects and cycles are affiliated with which of the following?,A,A,A,A
formal_logic,"Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
P ⊃ (Q ∨ R)
(Q · S) ⊃ ~P
~(~Q ∨ R) / ~P",Valid,"Invalid. Counterexample when P, Q, R, and S are true",Invalid. Counterexample when P and Q are true and R and S are false,"Invalid. Counterexample when P, R, and S are true and Q is false",2,C,ok,,,Expert,"Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
P ⊃ (Q ∨ R)
(Q · S) ⊃ ~P
~(~Q ∨ R) / ~P","A)
Utilize shorthand truth tables to decide if the subsequent reasoning is sound. If the reasoning is unsound, select a choice that provides a countermodel. (There might be additional countermodels too.)
P ⊃ (Q ∨ R)
(Q · S) ⊃ ~P
~(~Q ∨ R) / ~P

B)
Employ abbreviated truth tables to establish if the following inference is cogent. If the inference is non-cogent, pick a version which offers a counter-instance. (There could be further counter-instances also.)
P ⊃ (Q ∨ R)
(Q · S) ⊃ ~P
~(~Q ∨ R) / ~P

C)
Apply implicit truth tables to evaluate whether the stated deduction is logical. If the deduction is illogical, identify a selection which displays a counter-example. (There can be alternative counter-examples instead.)
P ⊃ (Q ∨ R)
(Q · S) ⊃ ~P
~(~Q ∨ R) / ~P

D)
Adopt concise truth tables to verify whether the given demonstration is legitimate. If the demonstration is illegitimate, designate a possibility which exhibits a counter-illustration. (There may be extra counter-illustrations besides.)
P ⊃ (Q ∨ R)
(Q · S) ⊃ ~P
~(~Q ∨ R) / ~P","Utilize shorthand truth tables to decide if the subsequent reasoning is sound. If the reasoning is unsound, select a choice that provides a countermodel. (There might be additional countermodels too.)
P ⊃ (Q ∨ R)
(Q · S) ⊃ ~P
~(~Q ∨ R) / ~P","Employ abbreviated truth tables to establish if the following inference is cogent. If the inference is non-cogent, pick a version which offers a counter-instance. (There could be further counter-instances also.)
P ⊃ (Q ∨ R)
(Q · S) ⊃ ~P
~(~Q ∨ R) / ~P","Apply implicit truth tables to evaluate whether the stated deduction is logical. If the deduction is illogical, identify a selection which displays a counter-example. (There can be alternative counter-examples instead.)
P ⊃ (Q ∨ R)
(Q · S) ⊃ ~P
~(~Q ∨ R) / ~P","Adopt concise truth tables to verify whether the given demonstration is legitimate. If the demonstration is illegitimate, designate a possibility which exhibits a counter-illustration. (There may be extra counter-illustrations besides.)
P ⊃ (Q ∨ R)
(Q · S) ⊃ ~P
~(~Q ∨ R) / ~P",A,B,C,D
high_school_macroeconomics,Suppose taxes are cut in an economy that is in equilibrium at full employment. In the long run the tax cut will,raise real output and raise the price level.,lower real output and raise the price level.,raise real output and lower the price level.,raise the price level.,3,D,ok,3,,https://www.crackap.com/ap/macroeconomics/question-229.html,Suppose taxes are cut in an economy that is in equilibrium at full employment. In the long run the tax cut will,"A)
Assume levies are reduced in a system that is in balance at maximum productivity. In the distant future the levy reduction shall

B)
Imagine duties are lowered in a marketplace that is in stability at total labor. In the extended period the duty decrease will

C)
Presume tariffs are decreased in a country that is in parity at peak occupation. In the lengthy term the tariff lowering would

D)
Consider imposts are slashed in a nation that is in stasis at full capacity. In the broad horizon the impost cut might",Assume levies are reduced in a system that is in balance at maximum productivity. In the distant future the levy reduction shall,Imagine duties are lowered in a marketplace that is in stability at total labor. In the extended period the duty decrease will,Presume tariffs are decreased in a country that is in parity at peak occupation. In the lengthy term the tariff lowering would,Consider imposts are slashed in a nation that is in stasis at full capacity. In the broad horizon the impost cut might,E,B,C,D
us_foreign_policy,Which of the following are possible constraints on US foreign policy decision making?,Foreign policies of other states,International law,Intergovernmental organizations,All of the above,3,D,ok,,duplicated question,http://dmgibler.people.ua.edu/uploads/1/3/8/5/13858910/exam1.pdf,Which of the following are possible constraints on US foreign policy decision making?,"A)
Which of the following are potential limitations on US international relations strategy determination?

B)
Which of the following are viable restrictions on US overseas agenda resolution formulation?

C)
Which of the following are conceivable impediments on US global diplomacy choice construction?

D)
Which of the following are likely boundaries on US external affairs judgment development?",Which of the following are potential limitations on US international relations strategy determination?,Which of the following are viable restrictions on US overseas agenda resolution formulation?,Which of the following are conceivable impediments on US global diplomacy choice construction?,Which of the following are likely boundaries on US external affairs judgment development?,A,A,C,D
human_sexuality,Studies conducted by Bailey and Pillard (1991) have shown that:,the homosexuality concordance rate for identical twins is 100%,the homosexuality concordance rate for identical twins and fraternal twins is approximately the same,the homosexuality concordance rate for identical twins is higher than for fraternal twins,the homosexuality concordance rate for adoptive brothers differs little from that of biological brothers,2,C,ok,,,-,Studies conducted by Bailey and Pillard (1991) have shown that:,"A)
Research carried out by Bailey and Pillard (1991) has demonstrated that:

B)
Investigations performed by Bailey and Pillard (1991) have indicated that:

C)
Analyses executed by Bailey and Pillard (1991) have revealed that:

D)
Inquiries undertaken by Bailey and Pillard (1991) have established that:",Research carried out by Bailey and Pillard (1991) has demonstrated that:,Investigations performed by Bailey and Pillard (1991) have indicated that:,Analyses executed by Bailey and Pillard (1991) have revealed that:,Inquiries undertaken by Bailey and Pillard (1991) have established that:,A,A,A,A
high_school_macroeconomics,A change in government spending will have a greater short run impact on real output when,the marginal propensity to consume is lower.,the velocity of money is lower.,the velocity of money is higher.,the marginal propensity to consume is larger.,3,D,ok,3,,https://www.crackap.com/ap/macroeconomics/question-261.html,A change in government spending will have a greater short run impact on real output when,"A)
A modification in federal expenditures will have a larger immediate effect on actual production when

B)
A shift in state outlays will possess a superior temporary influence on physical yield when

C)
An adjustment in public disbursements will exert a more significant brief consequence on tangible results when

D)
An alteration in sovereign investment will carry a substantial near-term impression on genuine manufacture when",A modification in federal expenditures will have a larger immediate effect on actual production when,A shift in state outlays will possess a superior temporary influence on physical yield when,An adjustment in public disbursements will exert a more significant brief consequence on tangible results when,An alteration in sovereign investment will carry a substantial near-term impression on genuine manufacture when,A,A,C,D
philosophy,Hume claims that a person who is unaffected by images of human happiness or misery will also be indifferent to:,art and beauty.,virtue and vice.,his own well-being.,all of the above.,1,B,ok,,,https://global.oup.com/us/companion.websites/9780190209803/stud/p1/david_hume/mcq/,Hume claims that a person who is unaffected by images of human happiness or misery will also be indifferent to:,"A)
Hume asserts that an individual who is unmoved by depictions of human joy or suffering will also be apathetic to:

B)
Hume maintains that a human who is untouched by portrayals of human bliss or agony will also be unresponsive to:

C)
Hume argues that a subject who is uninfluenced by visions of human delight or sorrow will also be detached from:

D)
Hume contends that a person who is unaffected by symbols of human pleasure or distress will also be disinterested in:",Hume asserts that an individual who is unmoved by depictions of human joy or suffering will also be apathetic to:,Hume maintains that a human who is untouched by portrayals of human bliss or agony will also be unresponsive to:,Hume argues that a subject who is uninfluenced by visions of human delight or sorrow will also be detached from:,Hume contends that a person who is unaffected by symbols of human pleasure or distress will also be disinterested in:,A,A,C,D
miscellaneous,What is the capital of North Dakota?,Bismarck,Fargo,Sioux Falls,Pierre,0,A,ok,,,,What is the capital of North Dakota?,"A)
Which city is the seat of North Dakota?

B)
What is the primary city of North Dakota?

C)
Which location is the administrative center of North Dakota?

D)
What constitutes the governing city of North Dakota?",Which city is the seat of North Dakota?,What is the primary city of North Dakota?,Which location is the administrative center of North Dakota?,What constitutes the governing city of North Dakota?,A,B,C,D
public_relations,________ advertising campaigns are focused on gathering support for a particular message or cause.,Product-oriented,Person-oriented,Idea-oriented,Message-oriented,2,C,ok,,,https://s3-eu-west-1.amazonaws.com/s3-euw1-ap-pe-ws4-cws-documents.ri-prod/9780205741588/Chapter_7_Quiz.doc,________ advertising campaigns are focused on gathering support for a particular message or cause.,"A)
________ promotional initiatives are centered on collecting backing for a specific idea or movement.

B)
________ marketing drives are directed at amassing assistance for a certain theme or purpose.

C)
________ publicity operations are aimed at recruiting aid for a definite notion or mission.

D)
________ media crusades are concentrated on mobilizing endorsement for a unique signal or objective.",________ promotional initiatives are centered on collecting backing for a specific idea or movement.,________ marketing drives are directed at amassing assistance for a certain theme or purpose.,________ publicity operations are aimed at recruiting aid for a definite notion or mission.,________ media crusades are concentrated on mobilizing endorsement for a unique signal or objective.,A,A,A,A
philosophy,"Anscombe claims that on Sidgwick’s view, the badness of an action must be estimated in light of:",its actual consequences.,its expected consequences.,whether it violates any duties.,whether it violates divine law.,1,B,ok,,,https://quizlet.com/249311307/ethics-321-final-exam-flash-cards/,"Anscombe claims that on Sidgwick’s view, the badness of an action must be estimated in light of:","A)
Anscombe asserts that according to Sidgwick’s perspective, the wickedness of a deed should be evaluated in consideration of:

B)
Anscombe maintains that from Sidgwick’s standpoint, the immorality of a conduct ought to be appraised in view of:

C)
Anscombe argues that within Sidgwick’s framework, the negativity of a behavior needs to be judged in regard to:

D)
Anscombe contends that by Sidgwick’s account, the wrongness of an act shall be calculated in relation to:","Anscombe asserts that according to Sidgwick’s perspective, the wickedness of a deed should be evaluated in consideration of:","Anscombe maintains that from Sidgwick’s standpoint, the immorality of a conduct ought to be appraised in view of:","Anscombe argues that within Sidgwick’s framework, the negativity of a behavior needs to be judged in regard to:","Anscombe contends that by Sidgwick’s account, the wrongness of an act shall be calculated in relation to:",A,A,A,A
medical_genetics,Zinc finger proteins and helix-turn-helix proteins are,types of DNA-binding proteins,involved in the control of translation,components of ribosomes,part of the hemoglobin in blood cells,0,A,ok,,,https://public.wsu.edu/~thorglab/biol301/exams/finalkey.pdf,Zinc finger proteins and helix-turn-helix proteins are,"A)
Zinc finger polypeptides and helix-turn-helix polypeptides are

B)
Zinc finger macromolecules and helix-turn-helix macromolecules are

C)
Zinc finger biomolecules and helix-turn-helix biomolecules are

D)
Zinc finger substances and helix-turn-helix substances are",Zinc finger polypeptides and helix-turn-helix polypeptides are,Zinc finger macromolecules and helix-turn-helix macromolecules are,Zinc finger biomolecules and helix-turn-helix biomolecules are,Zinc finger substances and helix-turn-helix substances are,A,A,C,D
