id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
18746,https://ymnik.kz/tests_old/russian/?v=16,Humanities,Russian_Language,High School,Russian,Russian Language (High School in rus),"В разделе ""Орфоэпия"" изучается:","Совокупность правил, определяющих написание слов.",Совокупность правил постановки знаков препинания.,Нормы современного литературного произношения.,"Состав русского алфавита, соотношения между звуками и буквами.",Словосочетание и предложение.,C,test,"В разделе ""Орфоэпия"" изучается:","A)
В блоке ""Произношение"" анализируется:

B)
В сегменте ""Фонетика"" исследуется:

C)
В категории ""Акцентология"" рассматривается:

D)
В части ""Дикция"" осваивается:","В блоке ""Произношение"" анализируется:","В сегменте ""Фонетика"" исследуется:","В категории ""Акцентология"" рассматривается:","В части ""Дикция"" осваивается:",A,A,A,D
18687,https://ymnik.kz/tests_old/russian/?v=20,Humanities,Russian_Language,High School,Russian,Russian Language (High School in rus),Укажите слово с Ь (мягким знаком).,Ад...ютант.,Интерв...ю.,Об...ем.,С...езд.,Из...яны.,B,test,Укажите слово с Ь (мягким знаком).,"A)
Отметьте лексему с Ь (мягким знаком).

B)
Выберите единицу с Ь (мягким знаком).

C)
Найдите термин с Ь (мягким знаком).

D)
Определите выражение с Ь (мягким знаком).",Отметьте лексему с Ь (мягким знаком).,Выберите единицу с Ь (мягким знаком).,Найдите термин с Ь (мягким знаком).,Определите выражение с Ь (мягким знаком).,A,A,C,D
9410,https://ymnik.kz/tests_old/history_kz/?v=62,Humanities,Kazakh_History,High School,Kazakh,Kazakh History (High School in kaz),Қола дәуірінде Жезқазған өңірінен 1 млн тоннадай кен өндірілгенін айтқан белгілі ғалым.,Алпысбаев,Төлеубаев,Сатпаев,Марғұлан,Ақышев,C,test,Қола дәуірінде Жезқазған өңірінен 1 млн тоннадай кен өндірілгенін айтқан белгілі ғалым.,"A)
Қола заманында Жезқазған аймағынан 1 млн тоннаға жуық кен қазылғанын мәлімдеген атақты зерттеуші.

B)
Қола кезеңінде Жезқазған өлкесінен 1 млн тонна шамасында кен шығарылғанын жеткізген танымал білімдар.

C)
Қола дәуірінде Жезқазған маңынан 1 млн тоннадай қазба алынғанын көрсеткен көрнекті оқымысты.

D)
Қола уақытында Жезқазған маңайынан 1 млн тонна мөлшерінде кен өндірілгенін баяндаған белгілі маман.",Қола заманында Жезқазған аймағынан 1 млн тоннаға жуық кен қазылғанын мәлімдеген атақты зерттеуші.,Қола кезеңінде Жезқазған өлкесінен 1 млн тонна шамасында кен шығарылғанын жеткізген танымал білімдар.,Қола дәуірінде Жезқазған маңынан 1 млн тоннадай қазба алынғанын көрсеткен көрнекті оқымысты.,Қола уақытында Жезқазған маңайынан 1 млн тонна мөлшерінде кен өндірілгенін баяндаған белгілі маман.,A,A,A,A
10418,https://ymnik.kz/tests_old/history/?v=69,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),Жанибек и Керей откочевали из Узбекского ханства на территорию:,Могулистана.,Ак Орды.,Мавераннахра.,Ногайской Орды.,Кок Орды.,A,test,Жанибек и Керей откочевали из Узбекского ханства на территорию:,"A)
Жанибек и Керей перекочевали из Узбекского улуса на земли:

B)
Жанибек и Керей мигрировали из Узбекского государства на область:

C)
Жанибек и Керей удалились из Узбекского владения на пространство:

D)
Жанибек и Керей переселились из Узбекского региона на местность:",Жанибек и Керей перекочевали из Узбекского улуса на земли:,Жанибек и Керей мигрировали из Узбекского государства на область:,Жанибек и Керей удалились из Узбекского владения на пространство:,Жанибек и Керей переселились из Узбекского региона на местность:,A,A,A,D
647,https://itest.kz/kz/endless,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Гликолиздің анаэробты ыдырауы қайда жүзеге асады?,Тегіс эндоплазмалық торда,Митохондрияның ішкі мембранасында,Плазмалеммада,Цитоплазмада,,B,test,Гликолиздің анаэробты ыдырауы қайда жүзеге асады?,"A)
Глюкозаның оттегісіз ыдырауы қай жерде іске асады?

B)
Гликолиздің анаэробты бөлшектенуі қайда орындалады?

C)
Қанттың ауасыз ыдырау үдерісі қайда жүзеге асырылады?

D)
Гликолиздің оттегісіз ыдырау процесі қайда өтеді?",Глюкозаның оттегісіз ыдырауы қай жерде іске асады?,Гликолиздің анаэробты бөлшектенуі қайда орындалады?,Қанттың ауасыз ыдырау үдерісі қайда жүзеге асырылады?,Гликолиздің оттегісіз ыдырау процесі қайда өтеді?,A,A,C,D
5538,https://oltest.kz/tests/finansy_i_kredit/,"Social Science





","Finance, credit, insurance ",University,Russian,Finance (Professional & University in rus),"К какому методу государственного регулирования рынка ценных бумаг относится выявление и принятие мер по привлечению к ответственности лиц, нарушающих законодательство на финансовом рынке?
","экономическому
","опосредованному
",косвенному,"прямому
",учредительскому,D,test,"К какому методу государственного регулирования рынка ценных бумаг относится выявление и принятие мер по привлечению к ответственности лиц, нарушающих законодательство на финансовом рынке?
","A)
К какому способу правительственного контроля площадки инвестиционных активов причисляется обнаружение и внедрение санкций по взысканию с субъектов, преступающих правопорядок на денежном базисе?

B)
К какому приему публичного координирования сектора фондовых инструментов принадлежит установление и реализация процедур по наказанию участников, попирающих нормативы на капитальном пространстве?

C)
К какому механизму административного надзора сферы долговых обязательств относится детекция и осуществление шагов по наказанию персон, игнорирующих правовые акты на экономическом поле?

D)
К какому инструменту властного упорядочивания сегмента торговых сертификатов относится фиксация и применение инструментов по принуждению к ответу единиц, обходящих регламенты на валютной арене?","К какому способу правительственного контроля площадки инвестиционных активов причисляется обнаружение и внедрение санкций по взысканию с субъектов, преступающих правопорядок на денежном базисе?","К какому приему публичного координирования сектора фондовых инструментов принадлежит установление и реализация процедур по наказанию участников, попирающих нормативы на капитальном пространстве?","К какому механизму административного надзора сферы долговых обязательств относится детекция и осуществление шагов по наказанию персон, игнорирующих правовые акты на экономическом поле?","К какому инструменту властного упорядочивания сегмента торговых сертификатов относится фиксация и применение инструментов по принуждению к ответу единиц, обходящих регламенты на валютной арене?",E,B,C,D
9487,https://itest.kz/kz/endless,Humanities,Kazakh_History,High School,Kazakh,Kazakh History (High School in kaz),Шіліктінің «Алтын қорғандары» жатады,Б.з.б. 7–6 ғасырлар,Б.з. 4–3 ғасырлар,Б.з.б. 5–4 ғасырлар,Б.з. 7–6 ғасырлар,,A,test,Шіліктінің «Алтын қорғандары» жатады,"A)
Шіліктінің «Бағалы төбелері» саналады

B)
Шіліктінің «Асыл зираттары» есептеледі

C)
Шіліктінің «Қымбат обалары» жатқызылады

D)
Шіліктінің «Зерлі қорымдары» тіркеледі",Шіліктінің «Бағалы төбелері» саналады,Шіліктінің «Асыл зираттары» есептеледі,Шіліктінің «Қымбат обалары» жатқызылады,Шіліктінің «Зерлі қорымдары» тіркеледі,A,A,A,A
7498,https://itest.kz/ru/endless,Social Science,Geography,High School,Russian,Geography (High School in rus),Укажите один из основных районов добычи нефти на шельфовой зоне моря.,Карибское море,Азовское море,Карское море,Желтое море,,A,test,Укажите один из основных районов добычи нефти на шельфовой зоне моря.,"A)
Назовите один из главных регионов извлечения нефти на прибрежной зоне моря.

B)
Отметьте один из ведущих секторов получения нефти на шельфовой акватории моря.

C)
Выделите один из ключевых центров промысла нефти на мелководной зоне моря.

D)
Определите один из важнейших ареалов выработки нефти на материковой зоне моря.",Назовите один из главных регионов извлечения нефти на прибрежной зоне моря.,Отметьте один из ведущих секторов получения нефти на шельфовой акватории моря.,Выделите один из ключевых центров промысла нефти на мелководной зоне моря.,Определите один из важнейших ареалов выработки нефти на материковой зоне моря.,A,A,C,D
10908,https://itest.kz/kz/endless,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),Көптік+тәуелдік+септік жалғаулы сөзі бар сөйлем,"Қай өлеңін оқысаңыз да, әлде өкіндіреді, әлде жігер береді.","Ақын адамзатқа, түркі тектес ұлттарға ортақ ойлар айтады.",Өлеңдерінен қазақ рухында жазылған ақындық байқалады.,"Ол — халқын шын сүйген, сонымен бірге күйінген ақын.",,C,test,Көптік+тәуелдік+септік жалғаулы сөзі бар сөйлем,"A)
Көпше+меншіктік+септеу жалғаулы лебізі бар айтылым

B)
Сандық+тәуелдеу+жақтық жалғауы бар сөзді сөйлем

C)
Жиынтық+иелік+сетеулі жұрнақты тұлғасы бар тіркес

D)
Көптік+иелену+падеждік қосымшалы бірлігі бар фраза",Көпше+меншіктік+септеу жалғаулы лебізі бар айтылым,Сандық+тәуелдеу+жақтық жалғауы бар сөзді сөйлем,Жиынтық+иелік+сетеулі жұрнақты тұлғасы бар тіркес,Көптік+иелену+падеждік қосымшалы бірлігі бар фраза,E,A,C,D
14557,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),"Есептеңіз.
 \(\frac{4sin25^0sin65^0}{cos40^0}=?\)",2,– 2,4,cos15°,,A,test,"Есептеңіз.
 \(\frac{4sin25^0sin65^0}{cos40^0}=?\)","A)
Шығарыңыз.
 \(\frac{4sin25^0sin65^0}{cos40^0}=?\)

B)
Есептеуді орындаңыз.
 \(\frac{4sin25^0sin65^0}{cos40^0}=?\)

C)
Мәнін табыңыз.
 \(\frac{4sin25^0sin65^0}{cos40^0}=?\)

D)
Өрнекті ықшамдаңыз.
 \(\frac{4sin25^0sin65^0}{cos40^0}=?\)","Шығарыңыз.
 \(\frac{4sin25^0sin65^0}{cos40^0}=?\)","Есептеуді орындаңыз.
 \(\frac{4sin25^0sin65^0}{cos40^0}=?\)","Мәнін табыңыз.
 \(\frac{4sin25^0sin65^0}{cos40^0}=?\)","Өрнекті ықшамдаңыз.
 \(\frac{4sin25^0sin65^0}{cos40^0}=?\)",C,C,B,C
1960,https://itest.kz/ru/endless,STEM,Biology,High School,Russian,Biology (High School in rus),Наименьшая единица эволюции,Идивидум,Популяция,Вид,Особь,,B,test,Наименьшая единица эволюции,"A)
Минимальная составляющая развития

B)
Крошечная структура трансформации

C)
Базовая частица филогенеза

D)
Мельчайшая мера преобразования",Минимальная составляющая развития,Крошечная структура трансформации,Базовая частица филогенеза,Мельчайшая мера преобразования,A,A,A,D
22747,https://ymnik.kz/tests_old/worldhistory/?v=74,Humanities,World_History,High School,Russian,World History (High School in rus),Бескровный возврат Наполеона к власти 1 марта 1815 г. получил название:,"""Мартовская монархия""","""Директория""","""100 дней""","""Республика герцогов""","""Консульство""",C,test,Бескровный возврат Наполеона к власти 1 марта 1815 г. получил название:,"A)
Мирное возвращение Наполеона к правлению 1 марта 1815 г. обрело наименование:

B)
Ненасильственное восстановление Наполеона у руководства 1 марта 1815 г. заслужило титул:

C)
Тихий приход Наполеона к господству 1 марта 1815 г. удостоился термина:

D)
Легкое воцарение Наполеона в кабинете 1 марта 1815 г. снискало обозначение:",Мирное возвращение Наполеона к правлению 1 марта 1815 г. обрело наименование:,Ненасильственное восстановление Наполеона у руководства 1 марта 1815 г. заслужило титул:,Тихий приход Наполеона к господству 1 марта 1815 г. удостоился термина:,Легкое воцарение Наполеона в кабинете 1 марта 1815 г. снискало обозначение:,A,A,C,D
8418,https://oltest.kz/tests/gosudarstvo_i_pravo/,"Social Science





","Jurisprudence, state and law",University,Russian,Jurisprudence (Professional & University in rus),"В течение какого срока согласительная комиссия обязана рассмотреть трудовой спор с момента подачи заявления?
","5-ти дней
","1 месяца
","7 дней
","3-х дней
","15 дней
",D,test,"В течение какого срока согласительная комиссия обязана рассмотреть трудовой спор с момента подачи заявления?
","A)
На протяжении какого периода примирительная группа должна изучить производственный конфликт с даты предоставления обращения?

B)
В продолжение какого времени паритетный орган должен разобрать рабочий инцидент с даты регистрации бумаги?

C)
В рамках какого интервала арбитражный комитет обязан обсудить профессиональный раздор с секунды направления просьбы?

D)
За какой промежуток посредническое представительство должно проанализировать служебный прецедент с мига предъявления требования?",На протяжении какого периода примирительная группа должна изучить производственный конфликт с даты предоставления обращения?,В продолжение какого времени паритетный орган должен разобрать рабочий инцидент с даты регистрации бумаги?,В рамках какого интервала арбитражный комитет обязан обсудить профессиональный раздор с секунды направления просьбы?,За какой промежуток посредническое представительство должно проанализировать служебный прецедент с мига предъявления требования?,A,B,C,D
17687,https://itest.kz/kz/endless,STEM,Physics,High School,Kazakh,Physics (High School in kaz),Дифракциялық тордың \(1\) мм ұзындығында \(100 \) штрих бар. Дифракциялық тордың периоды,\(10^{-5} \) м,\(100\) м,\(100\) мм,\(1\) м,,A,test,Дифракциялық тордың \(1\) мм ұзындығында \(100 \) штрих бар. Дифракциялық тордың периоды,"A)
Дифракциялық тордың \(1\) мм қашықтығында \(100 \) сызық бар. Дифракциялық тордың периоды

B)
Дифракциялық тордың \(1\) мм өлшемінде \(100 \) кертік бар. Дифракциялық тордың тұрақтысы

C)
Дифракциялық тордың \(1\) мм бойында \(100 \) таңба бар. Дифракциялық тордың қадамы

D)
Дифракциялық тордың \(1\) мм бөлігінде \(100 \) сызат бар. Дифракциялық тордың көрсеткіші",Дифракциялық тордың \(1\) мм қашықтығында \(100 \) сызық бар. Дифракциялық тордың периоды,Дифракциялық тордың \(1\) мм өлшемінде \(100 \) кертік бар. Дифракциялық тордың тұрақтысы,Дифракциялық тордың \(1\) мм бойында \(100 \) таңба бар. Дифракциялық тордың қадамы,Дифракциялық тордың \(1\) мм бөлігінде \(100 \) сызат бар. Дифракциялық тордың көрсеткіші,C,B,C,D
11750,https://ymnik.kz/tests_old/literature_kz/?v=20,Humanities,Kazakh_Literature,High School,Kazakh,Kazakh Literature (High School in kaz),Батырлар жырының қай жанр түріне жақын екенін белгілеңіз.,Лирикалық жанр.,"Роман,  повесть.","Әңгіме,  новелла.",Эпостық жанр.,Драма.,D,test,Батырлар жырының қай жанр түріне жақын екенін белгілеңіз.,"A)
Қаһармандық дастанның қай әдеби сипатқа ұқсас екенін көрсетіңіз.

B)
Ерлік эпосының қай шығарма тегіне жақын келетінін анықтаңыз.

C)
Батырлық жырдың қай өнер түріне ұқсастығы барын таңдаңыз.

D)
Рыцарлық жырдың қай жанрлық үлгіге жақын екенін айқындаңыз.",Қаһармандық дастанның қай әдеби сипатқа ұқсас екенін көрсетіңіз.,Ерлік эпосының қай шығарма тегіне жақын келетінін анықтаңыз.,Батырлық жырдың қай өнер түріне ұқсастығы барын таңдаңыз.,Рыцарлық жырдың қай жанрлық үлгіге жақын екенін айқындаңыз.,A,A,C,D
20616,https://ymnik.kz/tests_old/literature/?v=9,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),Судьба человека М.Шолохова - это рассказ о:,Жизни в тылу врага.,Предательстве и героизме.,Житейских проблемах.,Силе воли русского человека и о нравственном выборе человека в экстремальных условиях.,Психологии человека на войне.,D,test,Судьба человека М.Шолохова - это рассказ о:,"A)
Участь личности М.Шолохова - это повествование о:

B)
Доля индивида М.Шолохова - это изложение о:

C)
Жизненный путь мужчины М.Шолохова - это история о:

D)
Рок персонажа М.Шолохова - это произведение о:",Участь личности М.Шолохова - это повествование о:,Доля индивида М.Шолохова - это изложение о:,Жизненный путь мужчины М.Шолохова - это история о:,Рок персонажа М.Шолохова - это произведение о:,A,B,C,D
7975,https://ymnik.kz/tests_old/geography/?v=14,Social Science,Geography,High School,Russian,Geography (High School in rus),Западно-Сибирская равнина на юге граничит с:,Тургайским плато,Алтаем,Восточно-Европейской равниной,Сарыаркой,Мугоджарами,D,test,Западно-Сибирская равнина на юге граничит с:,"A)
Западно-Сибирская низменность в южной части соприкасается с:

B)
Западно-Сибирская равнина на южной окраине соседствует с:

C)
Западно-Сибирская низменность на юге имеет рубеж с:

D)
Западно-Сибирская равнина в южном направлении примыкает к:",Западно-Сибирская низменность в южной части соприкасается с:,Западно-Сибирская равнина на южной окраине соседствует с:,Западно-Сибирская низменность на юге имеет рубеж с:,Западно-Сибирская равнина в южном направлении примыкает к:,A,A,C,A
