id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_a,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
983,https://itest.kz/kz/endless,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Микроэволюция терминін енгізген генетик.,Ж.Б.Ламарк,Джон Рей,Н.В.Тимофеев-Ресовский,К.Линней,,C,test,question: Микроэволюция терминін енгізген генетик.,"A)
question: Микроэволюция ұғымын енгізген генетик.

B)
question: Микроэволюция терминін ұсынған генетик.

C)
question: Микроэволюция терминін енгізген генетолог.

D)
question: Микро-эволюция терминін енгізген генетик.",question: Микроэволюция ұғымын енгізген генетик.,question: Микроэволюция терминін ұсынған генетик.,question: Микроэволюция терминін енгізген генетолог.,question: Микро-эволюция терминін енгізген генетик.,E,E,E,E,E
3446,https://itest.kz/kz/endless,STEM,Chemistry,High School,Kazakh,Chemistry (High School in kaz),Ковалентті байланыстың гетеролитті үзілу механизмі,\(A:B\to A+B\),\(A:B\to A^++:B^-\),\(A:B\to A•+B•\),\(A:B\to A^++•B\),,B,test,question: Ковалентті байланыстың гетеролитті үзілу механизмі,"A)
question: Коваленттік байланыстың гетеролиттік үзілу тетігі

B)
question: Ковалентті байланыстың гетеролиттік бөліну механизмі

C)
question: Коваленттік байланыстың гетеролитті сыну тетігі

D)
question: Ковалентті байланыстың гетеролиттік үзілу механизмі",question: Коваленттік байланыстың гетеролиттік үзілу тетігі,question: Ковалентті байланыстың гетеролиттік бөліну механизмі,question: Коваленттік байланыстың гетеролитті сыну тетігі,question: Ковалентті байланыстың гетеролиттік үзілу механизмі,E,E,E,E,E
10211,https://ymnik.kz/tests_old/history/?v=95,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),Ислам стал государственной религией в Золотой Орде в годы правления:,Менгу хана,Жаныбек хана,Узбек хана,Берке хана,Бату хана,C,test,question: Ислам стал государственной религией в Золотой Орде в годы правления:,"A)
question: Ислам стал официальной религией в Золотой Орде в годы правления:

B)
question: Ислам стал государственной конфессией в Золотой Орде в годы правления:

C)
question: Ислам стал признанной религией в Золотой Орде в годы правления:

D)
question: Ислам стал государственной религией в Золотой Орде во время правления:",question: Ислам стал официальной религией в Золотой Орде в годы правления:,question: Ислам стал государственной конфессией в Золотой Орде в годы правления:,question: Ислам стал признанной религией в Золотой Орде в годы правления:,question: Ислам стал государственной религией в Золотой Орде во время правления:,E,E,E,E,E
22312,https://itest.kz/ru/endless,Humanities,World_History,High School,Russian,World History (High School in rus),"Религия, получившие распространение в Китае в І в.",Иудаизм,Даосизм,Ламаизм,Тенгрианство,,B,test,"question: Религия, получившие распространение в Китае в І в.","A)
question: Вероучение, получившее распространение в Китае в І в.

B)
question: Религии, распространившиеся в Китае в І в.

C)
question: Религиозные учения, приобретшие распространение в Китае в І в.

D)
question: Вероисповедания, завоевавшие распространение в Китае в І в.","question: Вероучение, получившее распространение в Китае в І в.","question: Религии, распространившиеся в Китае в І в.","question: Религиозные учения, приобретшие распространение в Китае в І в.","question: Вероисповедания, завоевавшие распространение в Китае в І в.",E,E,E,E,E
10567,https://ymnik.kz/tests_old/history/?v=27,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),В чем проявилась колониальная политика царизма в Младшем жузе в 1750-1770 гг.?,запрет перегонять скот в низовья реки Яик,развитие промышленности,массовое переселение крестьян из России.,отмена ханской власти,запрет торговли с Китаем,A,test,question: В чем проявилась колониальная политика царизма в Младшем жузе в 1750-1770 гг.?,"A)
question: В чем отразилась колонизаторская политика самодержавия в Младшем жузе в 1750-1770 гг.?

B)
question: В чем выразилась колониальная линия царизма в Младшем жузе в 1750-1770 гг.?

C)
question: В чем проявилась колониальная политика царской власти в Младшем жузе в 1750-1770 гг.?

D)
question: Каким образом проявилась колониальная политика царизма в Младшем жузе в 1750-1770 гг.?",question: В чем отразилась колонизаторская политика самодержавия в Младшем жузе в 1750-1770 гг.?,question: В чем выразилась колониальная линия царизма в Младшем жузе в 1750-1770 гг.?,question: В чем проявилась колониальная политика царской власти в Младшем жузе в 1750-1770 гг.?,question: Каким образом проявилась колониальная политика царизма в Младшем жузе в 1750-1770 гг.?,E,E,E,E,E
7160,https://ymnik.kz/tests_old/geography/?v=99,Social Science,Geography,High School,Russian,Geography (High School in rus),Укажите самую северную область Республики Казахстан.,Актюбинская.,Павлодарская.,Северо-Казахстанская.,Карагандинская.,Уральская.,C,test,question: Укажите самую северную область Республики Казахстан.,"A)
Назовите наиболее северный регион Республики Казахстан.

B)
Определите самую северную провинцию Республики Казахстан.

C)
Уточните наиболее северную область Республики Казахстан.

D)
Покажите самую северную административную единицу Республики Казахстан.",Назовите наиболее северный регион Республики Казахстан.,Определите самую северную провинцию Республики Казахстан.,Уточните наиболее северную область Республики Казахстан.,Покажите самую северную административную единицу Республики Казахстан.,E,E,E,E,E
15407,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),"Упростите выражение.
\(\frac{1-tg^2α+tg^4α}{cos^2α}\)",\(-1-2tg^2α\),\(tg^4α\),\(1+tg^6α\),\(tg^2α\),,C,test,"question: Упростите выражение.
\(\frac{1-tg^2α+tg^4α}{cos^2α}\)","A)
question: Сократите выражение.
\(\frac{1-tg^2α+tg^4α}{cos^2α}\)

B)
question: Преобразуйте выражение.
\(\frac{1-tg^2α+tg^4α}{cos^2α}\)

C)
question: Упростите формулу.
\(\frac{1-tg^2α+tg^4α}{cos^2α}\)

D)
question: Преобразуйте формулу.
\(\frac{1-tg^2α+tg^4α}{cos^2α}\)","question: Сократите выражение.
\(\frac{1-tg^2α+tg^4α}{cos^2α}\)","question: Преобразуйте выражение.
\(\frac{1-tg^2α+tg^4α}{cos^2α}\)","question: Упростите формулу.
\(\frac{1-tg^2α+tg^4α}{cos^2α}\)","question: Преобразуйте формулу.
\(\frac{1-tg^2α+tg^4α}{cos^2α}\)",E,E,E,E,E
14254,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),"Көпмүше түрінде жазыңыз.
\((3a – b)^2\)",\(9a^2 – 6ab + b^2\),\(9a^2 – b^2\),\(9a^2 + 6ab – b^2\),\(9a^2 – 3ab + b^2\),,A,test,"question: Көпмүше түрінде жазыңыз.
\((3a – b)^2\)","A)
question: Көпмүше түріне жазыңыз.
\((3a – b)^2\)

B)
question: Көпмүшеге айналдырыңыз.
\((3a – b)^2\)

C)
question: Көпмүше ретінде жазыңыз.
\((3a – b)^2\)

D)
question: Көпмүшеге түрлендіріп жазыңыз.
\((3a – b)^2\)","question: Көпмүше түріне жазыңыз.
\((3a –","question: Көпмүшеге айналдырыңыз.
\((3a – b)^2\)","question: Көпмүше ретінде жазыңыз.
\((3a – b)^2\)","question: Көпмүшеге түрлендіріп жазыңыз.
\((3a – b)^2\)",B,B,A,B,A
18525,https://itest.kz/ru/endless,STEM,Physics,High School,Russian,Physics (High School in rus),В какой среде могут распространяться продольные волны?,Только в твердых телах,Только в жидкостях и в твердых телах,Только в газах,"В твердых телах, жидкостях и газах",,D,test,question: В какой среде могут распространяться продольные волны?,"A)
question: В какой среде способны распространяться продольные волны?

B)
question: В какой среде могут передаваться продольные волны?

C)
question: В каком веществе могут распространяться продольные колебания?

D)
question: В каком веществе способны передаваться продольные колебания?",question: В какой среде способны распространяться продольные волны?,question: В какой среде могут передаваться продольные волны?,question: В каком веществе могут распространяться продольные колебания?,question: В каком веществе способны передаваться продольные колебания?,E,E,D,E,E
6803,https://itest.kz/kz/endless,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),Мұсылмандардың саны жөнінен көзге түсетін мемлекеттер.,"Кувейт, Сауд Арабиясы, Оман","Бангладеш, Нигерия, Алжир","Индонезия, Пәкстан, Үндістан","Сауд Арабиясы, Иран, Ирак",,C,test,question: Мұсылмандардың саны жөнінен көзге түсетін мемлекеттер.,"A)
question: Мұсылмандар саны бойынша көзге түсетін мемлекеттер.

B)
question: Мұсылмандардың саны бойынша көзге түсетін елдер.

C)
question: Мұсылмандардың саны жөнінен айрықша көрінетін мемлекеттер.

D)
question: Мұсылмандар саны жөнінен айрықша көрінетін елдер.",question: Мұсылмандар саны бойынша көзге түсетін мемлекеттер.,question: Мұсылмандардың саны бойынша көзге түсетін елдер.,question: Мұсылмандардың саны жөнінен айрықша көрінетін мемлекеттер.,question: Мұсылмандар саны жөнінен айрықша көрінетін елдер.,E,E,E,E,E
4563,https://itest.kz/ru/endless,STEM,Chemistry,High School,Russian,Chemistry (High School in rus),"В результате спиртового брожения 90 г глюкозы выделился газ, который далее полностью поглотился 200 г 20%-го раствора едкого натра. Вычислите массу полученной соли.",53 г,90 г,106 г,84 г,,D,test,"question: В результате спиртового брожения 90 г глюкозы выделился газ, который далее полностью поглотился 200 г 20%-го раствора едкого натра. Вычислите массу полученной соли.","A)
question: В результате этанольного брожения 90 г декстрозы образовался газ, который затем целиком поглотился 200 г 20%-го раствора едкой щёлочи. Вычислите массу образованной соли.

B)
question: Вследствие спиртового брожения 90 г глюкозы выделился газ, который далее полностью адсорбировался 200 г 20%-го раствора едкого натра. Найдите массу полученной соли.

C)
question: В результате спиртового брожения 90 г глюкозы выделился газ, который затем полностью поглотился 200 г 20%-го раствора каустического натрия. Вычислите массу образованной соли.

D)
question: В итоге этанольного брожения 90 г декстрозы выделился газ, который далее полностью поглотился 200 г 20%-го раствора едкого натра. Определите массу полученной соли.","question: В результате этанольного брожения 90 г декстрозы образовался газ, который затем целиком поглотился 200 г 20%-го раствора едкой щёлочи. Вычислите массу образованной соли.","question: Вследствие спиртового брожения 90 г глюкозы выделился газ, который далее полностью адсорбировался 200 г 20%-го раствора едкого натра. Найдите массу полученной соли.","question: В результате спиртового брожения 90 г глюкозы выделился газ, который затем полностью поглотился 200 г 20%-го раствора каустического натрия. Вычислите массу образованной соли.","question: В итоге этанольного брожения 90 г декстрозы выделился газ, который далее полностью поглотился 200 г 20%-го раствора едкого натра. Определите массу полученной соли.",E,E,E,E,A
4201,https://itest.kz/ru/endless,STEM,Chemistry,High School,Russian,Chemistry (High School in rus),"При значении температурного коэффициента, равного 2, скорость реакции \(CO(г) + Cl_2(г)\rightarrow COCl_2(г) \) при одновременном понижении температуры от \(30^{\circ}C\) до \(0^{\circ}C\) и увеличении давления в 2 раза",Уменьшается в 2 раза,Не изменяется,Уменьшается в 4 раза,Увеличивается в 4 раза,,A,test,"question: При значении температурного коэффициента, равного 2, скорость реакции \(CO(г) + Cl_2(г)\rightarrow COCl_2(г) \) при одновременном понижении температуры от \(30^{\circ}C\) до \(0^{\circ}C\) и увеличении давления в 2 раза","A)
question: При величине температурного коэффициента, равного 2, скорость реакции \(CO(г) + Cl_2(г)\rightarrow COCl_2(г) \) при одновременном снижении температуры от \(30^{\circ}C\) до \(0^{\circ}C\) и увеличении давления в 2 раза

B)
question: При значении температурного коэффициента, равного 2, скорость химической реакции \(CO(г) + Cl_2(г)\rightarrow COCl_2(г) \) при одновременном понижении температуры от \(30^{\circ}C\) до \(0^{\circ}C\) и повышении давления в 2 раза

C)
question: При значении температурного коэффициента, равного 2, скорость реакции \(CO(г) + Cl_2(г)\rightarrow COCl_2(г) \) при одновременном понижении температуры от \(30^{\circ}C\) до \(0^{\circ}C\) и возрастании давления в 2 раза

D)
question: При величине температурного коэффициента, равного 2, скорость процесса реакции \(CO(г) + Cl_2(г)\rightarrow COCl_2(г) \) при одновременном снижении температуры от \(30^{\circ}C\) до \(0^{\circ}C\) и повышении давления в 2 раза","question: При величине температурного коэффициента, равного 2, скорость реакции \(CO(г) + Cl_2(г)\rightarrow COCl_2(г) \) при одновременном снижении температуры от \(30^{\circ}C\) до \(0^{\circ}C\) и увеличении давления в 2 раза","question: При значении температурного коэффициента, равного 2, скорость химической реакции \(CO(г) + Cl_2(г)\rightarrow COCl_2(г) \) при одновременном понижении температуры от \(30^{\circ}C\) до \(0^{\circ}C\) и повышении давления в 2 раза","question: При значении температурного коэффициента, равного 2, скорость реакции \(CO(г) + Cl_2(г)\rightarrow COCl_2(г) \) при одновременном понижении температуры от \(30^{\circ}C\) до \(0^{\circ}C\) и возрастании давления в 2 раза","question: При величине температурного коэффициента, равного 2, скорость процесса реакции \(CO(г) + Cl_2(г)\rightarrow COCl_2(г) \) при одновременном снижении температуры от \(30^{\circ}C\) до \(0^{\circ}C\) и повышении давления в 2 раза",E,A,E,E,E
6417,https://itest.kz/kz/endless,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),"Қорғасын, мырыш кендері шоғырланған аймақты табыңыз.",Батыс,Солтүстік,"Шығыс, оңтүстік",Орталық,,C,test,"question: Қорғасын, мырыш кендері шоғырланған аймақты табыңыз.","A)
question: Қорғасын, мырыш рудалары шоғырланған аймақты анықтаңыз.

B)
question: Свинец, мырыш кендері жинақталған аймақты табыңыз.

C)
question: Қорғасын, цинк рудалары шоғырланған аймақты анықтаңыз.

D)
question: Pb, Zn кендері шоғырланған аймақты табыңыз.","question: Қорғасын, мырыш рудалары шоғырланған аймақты анықтаңыз.","question: Свинец, мырыш кендері жинақталған аймақты табыңыз.","question: Қорғасын, цинк рудалары шоғырланған аймақты анықтаңыз.","question: Pb, Zn кендері шоғырланған аймақты табыңыз.",E,E,E,E,E
3892,https://itest.kz/ru/endless,STEM,Chemistry,High School,Russian,Chemistry (High School in rus),В уравнении реакции взаимодействия концентрированной серной кислоты и углерода коэффициент перед окислителем равен,4,2,6,3,,B,test,question: В уравнении реакции взаимодействия концентрированной серной кислоты и углерода коэффициент перед окислителем равен,"A)
question: В формуле реакции взаимодействия концентрированной серной кислоты и углерода множитель перед окисляющим агентом равен

B)
question: В уравнении реакции взаимодействия концентрированной серной кислоты и углерода коэффициент при окислителе равняется

C)
question: В уравнении реакции взаимодействия густой серной кислоты и углерода коэффициент перед окислителем составляет

D)
question: В уравнении реакции взаимодействия концентрированной серной кислоты и карбона коэффициент перед окисляющим агентом равен",question: В формуле реакции взаимодействия концентрированной серной кислоты и углерода множитель перед окисляющим агентом равен,question: В уравнении реакции взаимодействия концентрированной серной кислоты и углерода коэффициент при окислителе равняется,question: В уравнении реакции взаимодействия густой серной кислоты и углерода коэффициент перед окислителем составляет,question: В уравнении реакции взаимодействия концентрированной серной кислоты и карбона коэффициент перед окисляющим агентом равен,E,E,E,E,A
3033,https://itest.kz/kz/endless,STEM,Chemistry,High School,Kazakh,Chemistry (High School in kaz),2NO\(_{(г)}\)+ O\(_{2(г)}\)\(\leftrightarrows\) 2NO\(_{2(г)}\)+ Q  жүйесіндегі химиялық тепе-теңдік өнімдер түзілу бағытына қарай ығысады.,қысымды жоғарылатқанда,температураны төмендеткенде,қысымды төмендеткенде,NO\(_2\) - ның концентрациясын жоғарылатқанда,,A,test,question: 2NO\(_{(г)}\)+ O\(_{2(г)}\)\(\leftrightarrows\) 2NO\(_{2(г)}\)+ Q  жүйесіндегі химиялық тепе-теңдік өнімдер түзілу бағытына қарай ығысады.,"A)
question: 2NO\(_{(г)}\)+ O\(_{2(г)}\)\(\leftrightarrows\) 2NO\(_{2(г)}\)+ Q  жүйедегі химиялық тепе-теңдік өнімдер пайда болу бағытына қарай ауытқиды.

B)
question: 2NO\(_{(г)}\)+ O\(_{2(г)}\)\(\leftrightarrows\) 2NO\(_{2(г)}\)+ Q  жүйесіндегі реакция тепе-теңдігі өнімдер түзілу бағытында жылжиды.

C)
question: 2NO\(_{(г)}\)+ O\(_{2(г)}\)\(\leftrightarrows\) 2NO\(_{2(г)}\)+ Q  жүйесіндегі химиялық теңгерім өнімдер түзілу бағытына қарай жылжиды.

D)
question: 2NO\(_{(г)}\)+ O\(_{2(г)}\)\(\leftrightarrows\) 2NO\(_{2(г)}\)+ Q  жүйесіндегі химиялық тепе-теңдік өнімдер түзілу бағытына қарай жылжиды.",question: 2NO\(_{(г)}\)+ O\(_{2(г)}\)\(\leftrightarrows\) 2NO\(_{2(г)}\)+ Q  жүйедегі химиялық тепе-теңдік өнімдер пайда болу бағытына қарай ауытқиды.,question: 2NO\(_{(г)}\)+ O\(_{2(г)}\)\(\leftrightarrows\) 2NO\(_{2(г)}\)+ Q  жүйесіндегі реакция тепе-теңдігі өнімдер түзілу бағытында жылжиды.,question: 2NO\(_{(г)}\)+ O\(_{2(г)}\)\(\leftrightarrows\) 2NO\(_{2(г)}\)+ Q  жүйесіндегі химиялық теңгерім өнімдер түзілу бағытына қарай жылжиды.,question: 2NO\(_{(г)}\)+ O\(_{2(г)}\)\(\leftrightarrows\) 2NO\(_{2(г)}\)+ Q  жүйесіндегі химиялық тепе-теңдік өнімдер түзілу бағытына қарай жылжиды.,A,A,A,A,A
9249,https://itest.kz/kz/endless,Humanities,Kazakh_History,High School,Kazakh,Kazakh History (High School in kaz),Ахмет Байтұрсынұлы “Қазақ” газетін ұйымдастырған мерзім:,1917 жылғы наурыз,1910 жылғы шілде,1918 жылғы наурыз,1913 жылғы наурыз,,D,test,question: Ахмет Байтұрсынұлы “Қазақ” газетін ұйымдастырған мерзім:,"A)
question: Ахмет Байтұрсынұлы “Қазақ” басылымын ұйымдастырған мерзім:

B)
question: Ахмет Байтұрсынұлы “Қазақ” газетін құрастырған мерзім:

C)
question: Ахмет Байтұрсынұлы “Қазақ” газетін жүргізген кезең:

D)
question: Ахмет Байтұрсынұлы “Қазақ” басылымын жүзеге асырған уақыты:",question: Ахмет Байтұрсынұлы “Қазақ” басылымын ұйымдастырған мерзім:,question: Ахмет Байтұрсынұлы “Қазақ” газетін құрастырған мерзім:,question: Ахмет Байтұрсынұлы “Қазақ” газетін жүргізген кезең:,question: Ахмет Байтұрсынұлы “Қазақ” басылымын жүзеге асырған уақыты:,A,E,A,A,B
4408,https://itest.kz/ru/endless,STEM,Chemistry,High School,Russian,Chemistry (High School in rus),Для проведения биуретовой реакции используется,\(FeCl_3\),\(NaOH\),\(Cu(OH)_2\) (в щелочном растворе),\(HNO_3\),,C,test,question: Для проведения биуретовой реакции используется,"A)
question: Для выполнения биуретовой реакции применяется

B)
question: Для проведения биуретового анализа используется

C)
question: Для осуществления биуретовой пробы применяется

D)
question: Для проведения биуретовой реакции употребляется",question: Для выполнения биуретовой реакции применяется,question: Для проведения биуретового анализа используется,question: Для осуществления биуретовой пробы применяется,question: Для проведения биуретовой реакции употребляется,E,E,E,E,E
5318,https://oltest.kz/tests/vospitanie_i_obuchenie/,Humanities,Education and training ,University,Russian,Education and Training (Professional & University in rus),"Кто разработал нейропсихологические методы исследования детей
","А.Р. Лурия
","Я.А. Коменский
","Дж. Боулби
","В.А. Сухомлинский
","Л. Брайль
",A,test,"question: Кто разработал нейропсихологические методы исследования детей
","A)
question: Кто создал нейропсихологические методы изучения детей

B)
question: Кто разработал нейропсихологические подходы исследования детей

C)
question: Кто разработал нейропсихологические приёмы изучения детей

D)
question: Кто создал нейропсихологические приёмы исследования детей",question: Кто создал нейропсихологические методы изучения детей,question: Кто разработал нейропсихологические подходы исследования детей,question: Кто разработал нейропсихологические приёмы изучения детей,question: Кто создал нейропсихологические приёмы исследования детей,E,E,E,E,E
