question,choice_A,choice_B,choice_C,choice_D,answer,category,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_a,bcq_results_for_position_c,bcq_results_for_position_d
What material is commonly used to make photoconductive cells?, Cadmium sulphide, Lithium, Germanium, Phosphorous,A,,val,question: What material is commonly used to make photoconductive cells?,"A)
question: What substance is commonly used to make photoconductive devices?

B)
question: What material is commonly employed to make photoconductive devices?

C)
question: What substance is commonly used to manufacture photoconductive cells?

D)
question: What material is typically used to make photoconductive elements?",question: What substance is commonly used to make photoconductive devices?,question: What material is commonly employed to make photoconductive devices?,question: What substance is commonly used to manufacture photoconductive cells?,question: What material is typically used to make photoconductive elements?,B,B,B,B
The assertion that utility can be indirectly measured using the ‘Measuring rod of money’ is attributed to whom?, Marshall, Samuelson, Adam Smith, Lionel Robbins,A,,val,question: The assertion that utility can be indirectly measured using the ‘Measuring rod of money’ is attributed to whom?,"A)
question: The claim that utility can be indirectly measured using the ‘Measuring rod of money’ is attributed to whom?

B)
question: The assertion that usefulness can be indirectly measured using the ‘Measuring rod of money’ is attributed to whom?

C)
question: The claim that usefulness can be indirectly gauged using the ‘Measuring rod of money’ is attributed to whom?

D)
question: The statement that utility can be indirectly gauged using the ‘Measuring rod of money’ is attributed to whom?",question: The claim that utility can be indirectly measured using the ‘Measuring rod of money’ is attributed to whom?,question: The assertion that usefulness can be indirectly measured using the ‘Measuring rod of money’ is attributed to whom?,question: The claim that usefulness can be indirectly gauged using the ‘Measuring rod of money’ is attributed to whom?,question: The statement that utility can be indirectly gauged using the ‘Measuring rod of money’ is attributed to whom?,B,B,B,B
Which one of Johnson's works is an imitation of Juvenal's tenth satire?, None of the other choices, Vanity of Human Wishes, Rasselas, The Life of Savage,B,,val,question: Which one of Johnson's works is an imitation of Juvenal's tenth satire?,"A)
question: Which one of Johnson's writings is an imitation of Juvenal's tenth satire?

B)
question: Which one of Johnson's writings is a copy of Juvenal's tenth satire?

C)
question: Which one of Johnson's pieces is an imitation of Juvenal's tenth satire?

D)
question: Which one of Johnson's compositions is an imitation of Juvenal's tenth satire?",question: Which one of Johnson's writings is an imitation of Juvenal's tenth satire?,question: Which one of Johnson's writings is a copy of Juvenal's tenth satire?,question: Which one of Johnson's pieces is an imitation of Juvenal's tenth satire?,question: Which one of Johnson's compositions is an imitation of Juvenal's tenth satire?,B,B,B,B
With what does chromosomal DNA complex?," three types of histone as H1, H2A and H4"," five types of histone as H1, H2A, H2B, H3 and H4", two types of histone as H1 and H4," four types of histone as H1, H2A, H3 and H4",B,,val,question: With what does chromosomal DNA complex?,"A)
question: With what does chromosomal DNA associate?

B)
question: With what does chromosomal DNA bind?

C)
question: With what does chromosomal DNA interact?

D)
question: With what does chromosomal DNA combine?",question: With what does chromosomal DNA associate?,question: With what does chromosomal DNA bind?,question: With what does chromosomal DNA interact?,question: With what does chromosomal DNA combine?,B,B,B,B
"Consider a wire carrying a constant current \(I\), placed in a uniform magnetic field \(B\) that is perpendicular to its length. Focus on the charges within the wire. Given that magnetic forces do no work, this implies that..."," if the wire moves under the influence of B, no work is done by the force"," if the wire moves under the influence of B, no work is done by the magnetic force on the ions, assumed fixed within the wire", None of the other choices, motion of charges inside the conductor is unaffected by B since they do not absorb energy,C,,val,"question: Consider a wire carrying a constant current \(I\), placed in a uniform magnetic field \(B\) that is perpendicular to its length. Focus on the charges within the wire. Given that magnetic forces do no work, this implies that...","A)
question: Consider a wire conveying a steady current \(I\), placed in a uniform magnetic field \(B\) that is perpendicular to its length. Focus on the charges within the wire. Given that magnetic forces do no work, this implies that...

B)
question: Consider a conductor carrying a constant current \(I\), placed in a uniform magnetic field \(B\) that is perpendicular to its length. Focus on the charge carriers within the conductor. Given that magnetic forces do no work, this implies that...

C)
question: Consider a wire bearing a steady current \(I\), located in a uniform magnetic field \(B\) which is orthogonal to its length. Focus on the charges inside the wire. Given that magnetic forces do no work, this implies that...

D)
question: Consider a wire conveying a constant current \(I\), placed in a uniform magnetic field \(B\) that is normal to its length. Focus on the charges within the wire. Given that magnetic forces do no work, this implies that...","question: Consider a wire conveying a steady current \(I\), placed in a uniform magnetic field \(B\) that is perpendicular to its length. Focus on the charges within the wire. Given that magnetic forces do no work, this implies that...","question: Consider a conductor carrying a constant current \(I\), placed in a uniform magnetic field \(B\) that is perpendicular to its length. Focus on the charge carriers within the conductor. Given that magnetic forces do no work, this implies that...","question: Consider a wire bearing a steady current \(I\), located in a uniform magnetic field \(B\) which is orthogonal to its length. Focus on the charges inside the wire. Given that magnetic forces do no work, this implies that...","question: Consider a wire conveying a constant current \(I\), placed in a uniform magnetic field \(B\) that is normal to its length. Focus on the charges within the wire. Given that magnetic forces do no work, this implies that...",B,B,B,B
Efforts to empirically validate Jung’s theory have primarily focused on which of his concepts?, the collective unconscious., None of the other choices, entropy., individuation.,B,,val,question: Efforts to empirically validate Jung’s theory have primarily focused on which of his concepts?,"A)
question: Attempts to empirically verify Jung’s theory have primarily concentrated on which of his concepts?

B)
question: Endeavors to empirically confirm Jung’s theory have primarily focused on which of his concepts?

C)
question: Studies to empirically substantiate Jung’s theory have primarily centered on which of his concepts?

D)
question: Attempts to empirically test Jung’s theory have primarily emphasized which of his concepts?",question: Attempts to empirically verify Jung’s theory have primarily concentrated on which of his concepts?,question: Endeavors to empirically confirm Jung’s theory have primarily focused on which of his concepts?,question: Studies to empirically substantiate Jung’s theory have primarily centered on which of his concepts?,question: Attempts to empirically test Jung’s theory have primarily emphasized which of his concepts?,B,B,B,B
What is typically regarded as a crucial component of an infant’s initial psychosocial development?, Becoming aware of pleasurable genital sensations and sharing these sensations with others," Becoming purposeful, goal-oriented, and assertive, which leads to conflicts with parents", Learning to trust a primary caregiver and one’s own ability to make things happen, Learning to control bodily sensations or developing shame if unsuccessful,C,,val,question: What is typically regarded as a crucial component of an infant’s initial psychosocial development?,"A)
question: What is commonly considered a vital element of a baby’s early psychosocial development?

B)
question: What is generally viewed as an essential component of a newborn’s initial psychosocial development?

C)
question: What is typically seen as a crucial part of an infant’s early social-emotional development?

D)
question: What is usually regarded as a key aspect of a baby’s initial psychosocial development?",question: What is commonly considered a vital element of a baby’s early psychosocial development?,question: What is generally viewed as an essential component of a newborn’s initial psychosocial development?,question: What is typically seen as a crucial part of an infant’s early social-emotional development?,question: What is usually regarded as a key aspect of a baby’s initial psychosocial development?,B,B,B,B
"According to Article 284 of the Indian Constitution, where should all money received by or deposited with any officer working for the Union's affairs, in his official capacity, be deposited, excluding revenues or public money raised or received by the Government?", The Consolidated Fund., The Current Account., The Contingency Fund., The Public Account.,D,,val,"question: According to Article 284 of the Indian Constitution, where should all money received by or deposited with any officer working for the Union's affairs, in his official capacity, be deposited, excluding revenues or public money raised or received by the Government?","A)
question: As per Article 284 of the Indian Constitution, where should all funds received by or lodged with any officer employed in the Union's affairs, in his official capacity, be deposited, excluding revenues or public money raised or received by the Government?

B)
question: Pursuant to Article 284 of the Indian Constitution, where ought all money received by or kept with any officer acting for the Union's affairs, in his official capacity, be deposited, excluding revenues or public money raised or received by the Government?

C)
question: According to Article 284 of the Constitution of India, where should all moneys received by or deposited with any officer serving the Union's affairs, in his official capacity, be paid into, excluding revenues or public money raised or received by the Government?

D)
question: Under Article 284 of the Indian Constitution, where should all monies received by or left with any officer working in the Union's affairs, in his official capacity, be lodged, excluding revenues or public money raised or received by the Government?","question: As per Article 284 of the Indian Constitution, where should all funds received by or lodged with any officer employed in the Union's affairs, in his official capacity, be deposited, excluding revenues or public money raised or received by the Government?","question: Pursuant to Article 284 of the Indian Constitution, where ought all money received by or kept with any officer acting for the Union's affairs, in his official capacity, be deposited, excluding revenues or public money raised or received by the Government?","question: According to Article 284 of the Constitution of India, where should all moneys received by or deposited with any officer serving the Union's affairs, in his official capacity, be paid into, excluding revenues or public money raised or received by the Government?","question: Under Article 284 of the Indian Constitution, where should all monies received by or left with any officer working in the Union's affairs, in his official capacity, be lodged, excluding revenues or public money raised or received by the Government?",B,B,B,B
Which basic demand pattern is challenging to forecast due to the influence of national or international events or the absence of historical demand data spanning from product development to decline?, seasonal, None of the other choices, random, horizontal,B,,val,question: Which basic demand pattern is challenging to forecast due to the influence of national or international events or the absence of historical demand data spanning from product development to decline?,"A)
question: Which fundamental demand pattern is difficult to predict due to the impact of domestic or global events or the lack of historical demand data spanning from product development to decline?

B)
question: Which primary demand pattern is hard to forecast due to the effect of national or international events or the absence of historical demand data spanning from product development to decline?

C)
question: Which core demand pattern is challenging to anticipate due to the influence of domestic or global events or the lack of historical demand information spanning from product development to decline?

D)
question: Which elementary demand pattern is difficult to forecast due to the impact of national or international events or the absence of past demand data spanning from product development to decline?",question: Which fundamental demand pattern is difficult to predict due to the impact of domestic or global events or the lack of historical demand data spanning from product development to decline?,question: Which primary demand pattern is hard to forecast due to the effect of national or international events or the absence of historical demand data spanning from product development to decline?,question: Which core demand pattern is challenging to anticipate due to the influence of domestic or global events or the lack of historical demand information spanning from product development to decline?,question: Which elementary demand pattern is difficult to forecast due to the impact of national or international events or the absence of past demand data spanning from product development to decline?,B,B,B,B
"Dr. Sullivan is running a clinical trial to assess the effect of vitamin Z on the test performance of students in an introductory college nutrition course. He randomly assigns students to either the control group or the experimental group by drawing names from a hat. The experimental group takes a vitamin Z capsule, while the control group takes a ""sugar pill"" that is indistinguishable from the vitamin Z capsule. Neither Dr. Sullivan nor the participants know who receives which treatment. What is the BEST description of this experiment?"," single-blind, random selection."," double-blind, random selection, placebo-controlled.", None of the other choices," single-blind, random selection, placebo-controlled.",B,,val,"question: Dr. Sullivan is running a clinical trial to assess the effect of vitamin Z on the test performance of students in an introductory college nutrition course. He randomly assigns students to either the control group or the experimental group by drawing names from a hat. The experimental group takes a vitamin Z capsule, while the control group takes a ""sugar pill"" that is indistinguishable from the vitamin Z capsule. Neither Dr. Sullivan nor the participants know who receives which treatment. What is the BEST description of this experiment?","A)
question: Dr. Sullivan is conducting a clinical trial to evaluate the impact of vitamin Z on the test performance of students in an introductory college nutrition course. He randomly assigns students to either the control group or the experimental group by drawing names from a hat. The experimental group takes a vitamin Z capsule, while the control group takes a ""sugar pill"" that is indistinguishable from the vitamin Z capsule. Neither Dr. Sullivan nor the participants know who receives which treatment. What is the BEST description of this experiment?

B)
question: Dr. Sullivan is conducting a clinical study to assess the effect of vitamin Z on the exam performance of students in an introductory college nutrition course. He randomly assigns students to either the control group or the experimental group by drawing names from a hat. The experimental group takes a vitamin Z capsule, while the control group takes a ""sugar pill"" that is indistinguishable from the vitamin Z capsule. Neither Dr. Sullivan nor the participants know who gets which treatment. What is the BEST description of this experiment?

C)
question: Dr. Sullivan is carrying out a clinical trial to evaluate the effect of vitamin Z on the examination performance of students in an introductory college nutrition course. He randomly assigns students to either the control group or the experimental group by drawing names from a hat. The experimental group takes a vitamin Z capsule, while the control group takes a ""sugar pill"" that is indistinguishable from the vitamin Z capsule. Neither Dr. Sullivan nor the participants know who is receiving which treatment. What is the BEST description of this experiment?

D)
question: Dr. Sullivan is performing a clinical trial to assess the impact of vitamin Z on the test performance of students in an introductory college nutrition course. He randomly assigns students to either the control group or the experimental group by drawing names from a hat. The experimental group takes a vitamin Z capsule, while the control group takes a ""sugar pill"" that is indistinguishable from the vitamin Z capsule. Neither Dr. Sullivan nor the participants know who receives which treatment. What is the BEST description of this experiment?","question: Dr. Sullivan is conducting a clinical trial to evaluate the impact of vitamin Z on the test performance of students in an introductory college nutrition course. He randomly assigns students to either the control group or the experimental group by drawing names from a hat. The experimental group takes a vitamin Z capsule, while the control group takes a ""sugar pill"" that is indistinguishable from the vitamin Z capsule. Neither Dr. Sullivan nor the participants know who receives which treatment. What is the BEST description of this experiment?","question: Dr. Sullivan is conducting a clinical study to assess the effect of vitamin Z on the exam performance of students in an introductory college nutrition course. He randomly assigns students to either the control group or the experimental group by drawing names from a hat. The experimental group takes a vitamin Z capsule, while the control group takes a ""sugar pill"" that is indistinguishable from the vitamin Z capsule. Neither Dr. Sullivan nor the participants know who gets which treatment. What is the BEST description of this experiment?","question: Dr. Sullivan is carrying out a clinical trial to evaluate the effect of vitamin Z on the examination performance of students in an introductory college nutrition course. He randomly assigns students to either the control group or the experimental group by drawing names from a hat. The experimental group takes a vitamin Z capsule, while the control group takes a ""sugar pill"" that is indistinguishable from the vitamin Z capsule. Neither Dr. Sullivan nor the participants know who is receiving which treatment. What is the BEST description of this experiment?","question: Dr. Sullivan is performing a clinical trial to assess the impact of vitamin Z on the test performance of students in an introductory college nutrition course. He randomly assigns students to either the control group or the experimental group by drawing names from a hat. The experimental group takes a vitamin Z capsule, while the control group takes a ""sugar pill"" that is indistinguishable from the vitamin Z capsule. Neither Dr. Sullivan nor the participants know who receives which treatment. What is the BEST description of this experiment?",B,B,B,B
Which scheme has not been integrated into the Swarna Jayanti Gramin Swarojgar Yojana?, Training for Rural Youth Self – employment Mission, District poverty Alleviation Program, Development of Rural Women and Children Program, Integrated Rural Development Program,B,,val,question: Which scheme has not been integrated into the Swarna Jayanti Gramin Swarojgar Yojana?,"A)
question: Which scheme has not been incorporated into the Swarna Jayanti Gramin Swarojgar Yojana?

B)
question: Which programme has not been integrated into the Swarna Jayanti Gramin Swarojgar Yojana?

C)
question: Which plan has not been merged into the Swarna Jayanti Gramin Swarojgar Yojana?

D)
question: Which scheme has not been included into the Swarna Jayanti Gramin Swarojgar Yojana?",question: Which scheme has not been incorporated into the Swarna Jayanti Gramin Swarojgar Yojana?,question: Which programme has not been integrated into the Swarna Jayanti Gramin Swarojgar Yojana?,question: Which plan has not been merged into the Swarna Jayanti Gramin Swarojgar Yojana?,question: Which scheme has not been included into the Swarna Jayanti Gramin Swarojgar Yojana?,B,B,B,B
Which of the following individuals was not involved in the establishment of the U.P. Kisan Sabha in February 1918?, Indra Narain Dwivedi, None of the other choices, Madan Mohan Malviya, Jawaharlal Nehru,D,,val,question: Which of the following individuals was not involved in the establishment of the U.P. Kisan Sabha in February 1918?,"A)
question: Which of the following persons was not engaged in the founding of the U.P. Kisan Sabha in February 1918?

B)
question: Which of the following people was not associated with the formation of the U.P. Kisan Sabha in February 1918?

C)
question: Which of the following individuals was not connected to the creation of the U.P. Kisan Sabha in February 1918?

D)
question: Which of the following persons was not participating in the organization of the U.P. Kisan Sabha in February 1918?",question: Which of the following persons was not engaged in the founding of the U.P. Kisan Sabha in February 1918?,question: Which of the following people was not associated with the formation of the U.P. Kisan Sabha in February 1918?,question: Which of the following individuals was not connected to the creation of the U.P. Kisan Sabha in February 1918?,question: Which of the following persons was not participating in the organization of the U.P. Kisan Sabha in February 1918?,B,B,B,B
Which of the following hormones is not produced by the human placenta?, Progesterone, Estrogens, hCG, LH,D,,val,question: Which of the following hormones is not produced by the human placenta?,"A)
question: Which of the below hormones is not synthesized by the human placenta?

B)
question: Which of the following hormones is not secreted by the human placenta?

C)
question: Which of the subsequent hormones is not generated by the human placenta?

D)
question: Which of the following hormones is not manufactured by the human placenta?",question: Which of the below hormones is not synthesized by the human placenta?,question: Which of the following hormones is not secreted by the human placenta?,question: Which of the subsequent hormones is not generated by the human placenta?,question: Which of the following hormones is not manufactured by the human placenta?,B,B,B,B
What percentage of India's total merchandise imports was comprised of food imports in 1961?,19.10%,3.90%,15.40%,20.80%,A,,val,question: What percentage of India's total merchandise imports was comprised of food imports in 1961?,"A)
question: What proportion of India's overall merchandise imports was made up of imports of food in 1961?

B)
question: What share of India's total merchandise imports consisted of food imports in 1961?

C)
question: What percentage of India's aggregate merchandise imports was composed of food imports in 1961?

D)
question: What fraction of India's total merchandise imports was constituted by food imports in 1961?",question: What proportion of India's overall merchandise imports was made up of imports of food in 1961?,question: What share of India's total merchandise imports consisted of food imports in 1961?,question: What percentage of India's aggregate merchandise imports was composed of food imports in 1961?,question: What fraction of India's total merchandise imports was constituted by food imports in 1961?,B,B,B,B
What is the primary source of energy for a star as it expands into a red giant?, helium fusion in the central core., gravitational contraction., None of the other choices, hydrogen fusion in a shell surrounding the central core.,D,,val,question: What is the primary source of energy for a star as it expands into a red giant?,"A)
question: What is the main source of power for a star as it expands into a red giant?

B)
question: What is the principal origin of energy for a star as it grows into a red giant?

C)
question: What is the chief supply of power for a star as it swells into a red giant?

D)
question: What is the dominant source of energy for a star as it enlarges into a red giant?",question: What is the main source of power for a star as it expands into a red giant?,question: What is the principal origin of energy for a star as it grows into a red giant?,question: What is the chief supply of power for a star as it swells into a red giant?,question: What is the dominant source of energy for a star as it enlarges into a red giant?,B,B,C,B
Which of the following was not a characteristic of the flourishing economy after World War II?, Detente, Baby Boom, GI Bill, NDEA,D,,val,question: Which of the following was not a characteristic of the flourishing economy after World War II?,"A)
question: Which of the following was not a characteristic of the booming economy after World War II?

B)
question: Which of the following was not a characteristic of the thriving economy after World War II?

C)
question: Which of the following was not a characteristic of the prosperous economy after World War II?

D)
question: Which of the following was not a characteristic of the vibrant economy after World War II?",question: Which of the following was not a characteristic of the booming economy after World War II?,question: Which of the following was not a characteristic of the thriving economy after World War II?,question: Which of the following was not a characteristic of the prosperous economy after World War II?,question: Which of the following was not a characteristic of the vibrant economy after World War II?,B,B,B,B
"What was India's position in the 2018 Global Democracy Index, as compiled by the Economist Intelligence Unit (EIU)?", 38th, 42nd, 52nd, 68th,B,,val,"question: What was India's position in the 2018 Global Democracy Index, as compiled by the Economist Intelligence Unit (EIU)?","A)
question: What was India's standing in the 2018 Global Democracy Index, as prepared by the Economist Intelligence Unit (EIU)?

B)
question: What was India's rank in the 2018 Global Democracy Index, as assembled by the Economist Intelligence Unit (EIU)?

C)
question: What was India's placement in the 2018 Global Democracy Index, as produced by the Economist Intelligence Unit (EIU)?

D)
question: What was India's ranking in the 2018 Global Democracy Index, as curated by the Economist Intelligence Unit (EIU)?","question: What was India's standing in the 2018 Global Democracy Index, as prepared by the Economist Intelligence Unit (EIU)?","question: What was India's rank in the 2018 Global Democracy Index, as assembled by the Economist Intelligence Unit (EIU)?","question: What was India's placement in the 2018 Global Democracy Index, as produced by the Economist Intelligence Unit (EIU)?","question: What was India's ranking in the 2018 Global Democracy Index, as curated by the Economist Intelligence Unit (EIU)?",B,B,B,B
Which process is utilized to create small circuits in the micron range on a silicon wafer?, Photo etching, None of the other choices, Coordinatograph, Ion implantation,A,,val,question: Which process is utilized to create small circuits in the micron range on a silicon wafer?,"A)
question: Which method is employed to fabricate tiny circuits in the micron range on a silicon wafer?

B)
question: Which technique is used to produce small circuits in the micron range on a silicon wafer?

C)
question: Which procedure is utilized to create miniature circuits in the micron range on a silicon wafer?

D)
question: Which approach is applied to form small circuits in the micron range on a silicon wafer?",question: Which method is employed to fabricate tiny circuits in the micron range on a silicon wafer?,question: Which technique is used to produce small circuits in the micron range on a silicon wafer?,question: Which procedure is utilized to create miniature circuits in the micron range on a silicon wafer?,question: Which approach is applied to form small circuits in the micron range on a silicon wafer?,B,B,B,B
The involvement of two distinct photosystems in electron flow is a characteristic of which process?, anoxygenic phototrophs., purple bacteria., None of the other choices, oxygenic phototrophs.,D,,val,question: The involvement of two distinct photosystems in electron flow is a characteristic of which process?,"A)
question: The participation of two separate photosystems in electron transport is a hallmark of which process?

B)
question: The engagement of two different photosystems in electron transfer is a feature of which process?

C)
question: The involvement of two distinct photosystems in electron movement is a hallmark of which process?

D)
question: The participation of a pair of distinct photosystems in electron flow is a trait of which process?",question: The participation of two separate photosystems in electron transport is a hallmark of which process?,question: The engagement of two different photosystems in electron transfer is a feature of which process?,question: The involvement of two distinct photosystems in electron movement is a hallmark of which process?,question: The participation of a pair of distinct photosystems in electron flow is a trait of which process?,B,B,B,B
