"мәтін1","мәтін2","жапсырма","idx","белгі_мәтіні"
" Феникс Марста су мен микробтық тіршіліктің дәлелдерін іздестіруде. Оның мақсаты - Марстың тіршілік ету және суды сақтау қабілетін немесе қабілетсіздігін анықтау. Феникс қондырғышы робот қолды пайдаланып, топырақтың үстіңгі қабатын төмендегі болжамды су мұзына дейін қазып, сайып келгенде, топырақ пен су мұзын күрделі ғылыми талдау үшін қондырғыш платформасына жеткізеді.","Ғылыми жаңалықтар ашу үшін робот қолы қолданылған.","0","109","тарту"
" Батыс жойылып бара жатқан адамдарға емес, жойылып бара жатқан жануарларға назар аударуды жөн көрді. Африка пілдерін браконьерлер аулап, азу тістерін жұлып алып, жасырады. CITES - Жойылып бара жатқан түрлермен халықаралық сауда туралы конвенция - піл сүйегі саудасына тыйым салғанға дейін онжылдықта Африкадағы олардың саны 1,2 миллионнан 600 000-ға дейін азайды.","Халықаралық конвенция піл сүйегі саудасына тыйым салды.","0","186","тарту"
"Адела Лупсе 1988 жылы Румынияның Трансильвания аймағындағы Бихор қаласының Пойана ауылында кенші отбасында дүниеге келген. Румынияның Чаушескуден кейінгі алғашқы буынының өкілі ретінде ол теледидардың күшін жас кезінде түсінді: «Менің ойымша, теледидар - қазіргі заман бізге берген ең қызықты құбылыс... менің жеке басымның түріне қарамастан, оны таңқаларлық деп санаймын, теледидардың бүкіл әлемге тараған күші... Біз теледидар насихаттайтын адамдар сияқты киінеміз. Біз теледидар шығаратын атақты адамдарға ұқсағымыз келеді».","Бихор Румынияда орналасқан.","0","92","тарту"
" Ал, керісінше ұсыныстарына қарамастан, Oracle компаниясы PeopleSoft және JD Edwards қаржылық бағдарламалық жасақтамасын жаңа тұтынушыларға қайта сату арналары арқылы сатады.","Oracle қаржылық бағдарламалық жасақтама сатады.","0","60","тарту"
"Ең ұзақ күн ұзарады. Нормандияға алғашқы қонудың 25 жылдығын тойлау үш күнге созылды; 50-ші күн бір жылға созылады.","Нормандия қондыруының 50 жылдығы бір жылға созылады.","0","34","тарту"
" Бұл өсім ұзаққа созылмады, өйткені швед шапқыншылығы (1655-56) гүлденген Варшава қаласын қиратты."," Варшаваны 1655 жылы шведтер басып алды, қала қирады.","0","85","тарту"
"Ұлыбританияның тақ мұрагері ханзада Чарльз 34 жыл бойы бірге болған сүйіктісі Камилла Паркер Боулзға үйленетінін мәлімдеді. Баспасөз мәлімдемесінде Уэльс ханзадасы: «Паркер Боулз ханым екеуміз қатты қуаныштымыз. Бұл біз және отбасымыз үшін өте ерекше күн болады», - деді. Паркер Боулз ханым некеден кейін «Корнуолл герцогинясы» атағын қолданады, ал ханзада таққа отырғаннан кейін Паркер Боулз ханым «Ханшайымның әйелі» атағын қолданады деп жоспарлануда. Жұп 2005 жылдың 8 сәуірінде Виндзор қамалында өтетін жеке азаматтық рәсімде үйленеді, бұл негізінен достары мен отбасы мүшелері үшін оқиға болады. Содан кейін Кентербери архиепископы доктор Роуэн Уильямс жүргізетін Әулие Георгий капелласында дұға ету және бағыштау қызметі өтеді.","Камилла Паркер Боулз Ұлыбританияның мұрагеріне үйленді.","0","100","тарту"
"Ең көп сұранысқа ие және ең қымбат бұйым Хепберн 1960 жылдары жасаған Спенсер Трейсидің қола бюсті болды.","Ең көп сатылған бұйым - Хепберннің 1960 жылдары жасаған актерлік сүйіктісі Спенсер Трейсидің қола бюсті.","0","257","тарту"
" Актер Кристофер Ривтің жесірі Дана Рив 44 жасында өкпе рагынан қайтыс болды, деп хабарлайды Кристофер Рив қоры.","Кристофер Рив апатқа ұшырады.","1","0","міндеттеме емес"
"Бхутто ханымның бас көмекшісі, сенатор Латиф Хосаның айтуынша, Бхутто ханым өлтірілген күні АҚШ-қа келген екі заң шығарушыға сайлаушыларды тіркеуге қатысты үкіметтің сайлау алдындағы бұрмалауларының және ХПП жақтастарын қорқытудың көптеген жағдайларын сипаттайтын қалың құжат бермек болған. «Онда бәрі, бізде бар барлық дәлелдермен және жұмыс істеп жатқан шетелдік бақылаушылардың тәуелсіз есептерімен бірге жазылған. Олардың есептері де біздің маңызды және шындыққа жанасатындығы туралы айыптауларымызды растады. Сондықтан олардың барлығы жазылған, бірақ өкінішке орай, ол есепті ұсына алмады, себебі ол мұны істей алмай тұрып өлтірілген», - деді Хоса.","Латиф Хоса Бхутто ханыммен қарым-қатынаста болған.","1","89","міндеттеме емес"
" Мәскеу Азов теңізінің суы ортақ пайдалануда қалуы керек деп санайды, бірақ Киев нақты бөлуді талап етеді.","Аумақтық сулар бойынша дау бар.","0","148","тарту"
" Шерифтің ресми өкілдері роботты Вентура округінде пайдалануға болатынын айтты, онда бомба жасағы биыл 40-тан астам қоңырауға жауап берді.","Полиция бомбаларды өңдеу үшін роботтарды пайдаланады.","0","234","тарту"
"Квебектік әйел мен оның анасы төрт жасар қызды өлтірмек болды деп айыпталуда.","Квебектік әйел төрт жасар қызды өлтірді.","1","150","міндеттеме емес"
" Жоспарды жақында болған апаттан кейін әлі есін жиып жатқан Денсаулық сақтау және әлеуметтік қызметтер министрі Томми Томпсонның атынан Дин мырза денсаулық сақтау саласындағы ақпараттық технологиялар жөніндегі хатшылық саммитінде жариялады, оған электрондық денсаулық сақтау жазбалары саласындағы көптеген көшбасшылар қатысты.","Дин мырза Денсаулық сақтау және әлеуметтік қызметтер министрі.","1","41","міндеттеме емес"
" Бүгін Пенсильвания штатының полицейінің сүйіктісінің ажырасқан күйеуін өлтірді деп айыпталған ісі бойынша сот процесі басталды. 43 жастағы Кевин Фоли әйелі Мишельден ажырасу туралы соңғы шешім шығарып жатқан тіс дәрігері Джон Елениктің тамағын кесті деп айыпталуда. Прокурорлардың айтуынша, Фоли «доктор Еленикті жек көргені соншалық», ол Елениктің Блэрсвиллдегі үйінде болған кісі өлтіруді жасауға көмектесуін сұраған.","Еленик асырап алған ұлын зорлады.","1","142","міндеттеме емес"
"26 мүшесі бар Халықаралық энергетика агенттігі жұма күні мүше елдер Катрина дауылынан туындаған АҚШ-тағы отын дағдарысын жеңілдету үшін мұнай шығаратынын мәлімдеді.","Халықаралық мұнай агенттігі нарыққа 60 миллион баррель мұнай мен бензинді қолжетімді етеді.","1","228","міндеттеме емес"
" Хадлидің айтуынша, Иордания Буш пен Әл-Маликидің кездесу орны ретінде Ирактағы бірлік үкіметін қолдайтыны және Буштың аймақта болатыны үшін таңдалған.","Буш Хадлиде әл-Маликимен кездеседі.","1","258","міндеттеме емес"
" НЬЮ-ЙОРК – Сомали қарақшылары сейсенбі күні гуманитарлық көмек тасымалдайтын американдық кемеге шабуыл жасап, зақымдады, бірақ кеме мен экипаж Әскери-теңіз күштерінің күзетінің астында қауіпсіз жерде болды, деп хабарлады әскери және кеме компаниясы. Кеменің иесі Liberty Maritime Corp компаниясының айтуынша, қарақшылар аштықтан зардап шеккен африкалық елдерге азық-түлік тасымалдайтын Liberty Sun кемесіне зымыранмен атқылады. Шенеуніктердің айтуынша, кеме шамамен 20 адамнан тұратын экипажбен Хьюстоннан Кенияның Момбасаға бара жатқан.","Қарақшылар Liberty Maritime кемесіне зиян келтірді.","1","206","міндеттеме емес"
"Өлім жазасы әлі де қолданылып келе жатқан елдерде қылмыс деңгейі, әсіресе кісі өлтіру, өлім жазасы алынып тасталған елдермен салыстырғанда айтарлықтай төмен екені байқалды.","Өлім жазасы қылмыстың алдын алудың құралы болып табылады.","0","161","тарту"
"Анжер соты негізгі айыпталушы Филп В.-ге төрт айдан бастап 28 жылға дейін бас бостандығынан айыру жазасын тағайындады. Сот оның ұлы Франк В. және Франктың бұрынғы жұбайы Патрисия М.-мен бірге 45 баланы, көбінесе жұптың пәтерінде зорлаған жыныстық қатынасқа түсушілер тобын құрушылардың бірі болғанын анықтады. Алты айдан 12 жасқа дейінгі балаларға жасалған зорлық-зомбылық Францияның батысындағы Анжер қаласының кедей және мұқтаж ауданында орын алған. Айыпталушылардың көпшілігі кедей және жәрдемақымен өмір сүрген, ал кейбіреулері ақыл-есі кем адамдар болған. Олардың шамамен 20-сы айыптауларды мойындады, ал басқалары жыныстық қатынасқа түсу тобы туралы ешқашан естімегендерін мәлімдеді.","Франк В. Анже қаласынан шыққан.","1","194","міндеттеме емес"
" Біз Муссолинидің соңғы көңілдесі Кларетта Петаччидің күні бойы төсекте жатып, шоколад жеп, ыңырсуға бейім болғанын білеміз.","Кларетта Петаччи Муссолинидің соңғы қожайыны болды.","0","111","тарту"
"Грек құдайларының мекені Фессалиядағы Олимп тауының басында болған.","Олимп тауы Фессалияда орналасқан.","0","187","тарту"
"Біріккен Корольдік, Түркия, «ескі» Британдық Достастық күштері (Жаңа Зеландия, австралиялықтар, канадалықтар, гуркхалар, Үндістан), Германия, Польша, Вьетнам, АҚШ, Ресей, Франция, Қытай (бірақ тек кейбіреулері) Жапонияның кейбір бөлімшелері қосылады, бірақ мен айқын себептермен жапон сарбаздарына «құрмет» сөзін қолдануға ыңғайсызданамын.","Гурхалар Непалдан шыққан.","1","61","міндеттеме емес"
"Рен мен Стимпи. Багз Банни. Филип Дж. Фрай және профессор Хьюберт Фарнсворт Футурама туралы. Спаркс. Биполярлық аю. Теңізші Попай. Вуди Тоқылдақ. Сіз Билли Уэстті естімеген шығарсыз, бірақ теледидар бағдарламасында, фильмде, жарнамада немесе 1990 жылдардағы Ховард Стерннің дыбыстау гуруы ретінде оны естіген шығарсыз. Уэсттің дауысын бұрмалау арқылы жеке тұлғаларды жасау таланты оны өз таланттарымен танымал болған бірнеше дыбыстау актерлерінің бірі етті - Хэнк Азария мен марқұм Мел Блан. Шынында да, Уэст - Бланктың ең жақсы кезеңінде бейнелей алатын, соның ішінде Багз Банни, Даффи Дак, Элмер Фадд және Warner Bros. мультфильмдеріндегі басқа кейіпкерлердің кейіпкерлерін сомдайтын бірнеше дыбыстау актерлерінің бірі.","Bugs Bunny Warner Bros компаниясына тиесілі.","0","110","тарту"
" АҚШ-пен төрт күндік келіссөздер басталды, онда Джордж Буш үш жыл бұрын билікке келгеннен бері Солтүстік Кореяға алғашқы маңызды келісім жасалғаны жарияланды.","Джордж Буш АҚШ президенттігіне 3 жыл бұрын келді.","0","181","тарту"
"Югославия итальяндықтарының аз бөлігі Словенияға қоныстанды (1991 жылғы ұлттық халық санағында Словенияның шамамен 3000 тұрғыны өздерін этникалық итальяндықтар деп жариялады).","Словенияда 3000 тұрғын бар.","1","30","міндеттеме емес"
"Пьюджет-Саунд өзенінде теңіз өсімдіктерінің маңызды түрлерге мекендеу ортасын қамтамасыз етудегі маңызды рөліне байланысты теңіз балдырларын жинауға рұқсат етілмейді.","Теңіз өсімдіктері жиналады.","1","47","міндеттеме емес"
"Халықтың жартысынан көбін құрайтын әйелдер басқа әйелдерге дауыс береді және олардың мәселелері парламентте қарастырылуын қамтамасыз етеді деп үміттенеміз.","Парламентте әйелдердің өкілдігі нашар.","1","84","міндеттеме емес"
"Осылайша, 29 жастағы штаттан тыс журналист Ханнамды Азияның ең үлкен жұмбақтарының бірін шешуге бағытталған халықаралық ізденіске алып келген сапар басталды: 1971 жылы Мао төрағаны құлатуға арналған қастандық жасады деп айыпталған Қытай Коммунистік партиясының жетекшісі Линь Пяоға не болды?","Линь Пяо Қытай Коммунистік партиясының жетекшісі болды.","0","152","тарту"
"Бьорк екі жыл ішінде алғашқы тікелей эфирде өнер көрсеткеніне қарамастан, 10 000 адамдық көрермен Токио маңындағы Макухаридегі зал сыйатын сыйымдылықтың жартысы ғана болды.","Токиода 10 000 адам тұрады.","1","198","міндеттеме емес"
"Альцгеймер ауруының бастапқы алдын алу қазіргі уақытта мүмкін емес.","Альцгеймер ауруы дәрі-дәрмектермен емделеді.","1","58","міндеттеме емес"
"Ресей қоғамдық телеарнасының басшысы Владислав Листьевті белгісіз қарулы адам Мәскеудегі үйінің сыртында жүрегінен атып өлтірді. Шабуыл оның телеарнаға жарнама беруге тыйым салу туралы ұсынысына қарсы болғандармен байланысты.","Владислав Листьев Мәскеуде өлтірілді.","0","214","тарту"
"Коммерциялық ағаштың көп бөлігі Гондураста өсіріледі.","Өсімдіктер суда немесе топырақтан басқа заттарда өсіріледі.","1","249","міндеттеме емес"
"Лики жылына 450 миллион доллар (308 миллион фунт стерлинг) кіріс әкелетін туристік индустрияның негізін қалаушы Кенияның бай жабайы табиғатын тиімді және тұрақты түрде басқаруға болады деп сенді.","Африка елдері туристерді тарту үшін жануарларды тірі ұстауға шақырады.","1","65","міндеттеме емес"
" Біріккен Ұлттар Ұйымының (БҰҰ) хабарлауынша, Сербияның Косово провинциясында Біріккен Ұлттар Ұйымының көлігіне шабуыл жасалып, кем дегенде бір азаматтық полицей қаза тапты.","Азаматтық полицей қаза тапты.","0","226","тарту"
"Ресейлік ғарышкер Валерий Поляков 1994-1995 жылдар аралығында ғарышта үздіксіз 438 күн өткізген ең ұзақ уақыт бойынша рекорд орнатты.","Ресейліктер ғарышта ең ұзақ болу бойынша рекорд орнатты.","0","46","тарту"
"Бұл өткен жылғы Галифакс саммитінен алынған үй тапсырмасының бір түрі. Халықаралық ұйымдардың әртүрлі қызметін қалай рационализациялау және үйлестіру керектігі туралы талқылаулар болды.","Галифакста өткен G7 саммитінде қаржылық реформалар ұсынылды.","1","209","міндеттеме емес"
" Зерттеу көрсеткендей, қызыл шарапта кездесетін зат берілген тышқандар майлы тамақтанғанына қарамастан ұзақ өмір сүрген."," Майлы тамақтанғанына қарамастан, қызыл шараппен қоректенген тышқандар ұзақ өмір сүрді.","1","16","міндеттеме емес"
"Бірақ олардың қойылымы жеткізген хабар көбінесе қайғылы және ащы болды. Жолда небәрі үш апта болғаннан кейін, екі итальяндық суретшінің бірі, 33 жастағы Пиппа Бакка, оған көлік ұсынған жүргізушінің қолынан қаза тапты. Оның жалаңаш денесі 11 сәуірде күдікті тергеушілерді оқиға орнына алып келгеннен кейін түрік ауылының маңындағы бұталардан табылды. Өлімнің ресми себебі айтылмаса да, жергілікті түрік билігі Бакка ханым зорланып, тұншықтырылғанын мәлімдеді.","Пиппа Бакка - итальяндық бейбітшілік белсендісі.","1","217","міндеттеме емес"
"Бейсенбіде Бхутто ханымның өлтірілуі Пәкістан халқын көпшілік дағдарыс деп санайтын жағдайға душар етті, бүкіл елде зорлық-зомбылықпен наразылықтар болды. Шенеуніктердің айтуынша, зорлық-зомбылық ондаған миллион доллар шығын әкелген. Өлім-жітімнің көпшілігі Бхутто ханымның саяси бекінісі болып табылатын оңтүстік Синд провинциясында болды. Қауіпсіздік жағдайының нашарлауы сенбі күні президент Мушаррафқа қауіпсіздік басшыларына зорлық-зомбылықпен наразылық білдірушілермен қатаң күресуді бұйырды.","Мушарраф тәртіпсіздіктерге қатысушыларға қауіпсіздік күштеріне қарсы қатаң шаралар қолдануды бұйырды.","1","265","міндеттеме емес"
" Париждің сыртындағы қиын жағдайдағы Euro-Disney ойын-сауық саябағының жұмысы соншалықты нашар, егер несие берушілерден көмек алмайтын болса, жабылуы мүмкін, деді Walt Disney компаниясының төрағасы жұма күні жарияланған сұхбатында.","Euro-Disney - Париждің сыртындағы ойын-сауық саябағы.","0","180","тарту"
"Дәріге төзімді бактериялардың көбеюіне байланысты көптеген алаңдаушылық бар.","Бактериялар антибиотиктерге қарсы соғыста жеңіске жетуде.","1","168","міндеттеме емес"
"Бірнеше сағат бұрын Ясир Арафат Израиль сайлауына екі апта қалғанда Израиль азаматтарына қарсы шабуылдарды тоқтатуға шақырды.","Арафат Израильдегі жанкештілік шабуылдарды айыптады.","1","130","міндеттеме емес"
"2001 жылғы жекпе-жекте ми жарақатын алған бұрынғы WBA ауыр салмақтағы чемпионы Грег Пейдж 50 жасында Луисвиллдегі үйінде қайтыс болды. Пейдждің әйелінің айтуынша, бұрынғы чемпион бокс жарақаттары мен сал ауруынан туындаған асқынулардан қайтыс болды. Сәтті әуесқой мансабынан кейін Пейдж 1979 жылы басталған кәсіби мансабында 58-17-1 есебімен жеңіске жетті және Джимми Янг, Джеймс Тиллис, Ренальдо Снайпс, Джерри Котзее (WBA титулы үшін), Джеймс «Бонекрушер» Смит және Тим Уизерспунды жеңді. Пейдждің жеңілістері 1980 жылдардағы ауыр салмақтағы боксшылардың: Тревор Бербик, Уизерспун, Тони Таббс, Бастер Дуглас, Джо Бугнер, Орлин Норрис, Донован «Рейзер» Раддок, Брюс Селдон, Монте Барретт және Хорхе Луис Гонсалесті жеңді.","Грег Пейдж боксшы болған.","0","99","тарту"
"Кеден қызметі қабылдаған жаңа қауіпсіздік шаралары террористің ядролық қаруды заңсыз тасымалдауын тоқтату үшін жеткіліксіз болуы мүмкін.","Шетелдіктердің заңсыз тасымалын тоқтату үшін шаралар қабылдануда.","1","107","міндеттеме емес"
"Ssangyong Motor компаниясы 1997-98 жылдардағы Азия қаржы дағдарысы кезінде ауыр қарыздар салдарынан банкротқа ұшырағаннан кейін несие берушілердің қолына өтті.","Азиялық қаржы дағдарысы Ssangyong Motor компаниясын басып алды","1","62","міндеттеме емес"
" Салық заң жобалары жазылып, ұсынылатын Жолдар мен құралдар комитетінің демократ мүшелерінің шағын бизнестің дауыс беру тарихында жақсы көрсеткіштері жоқ.","Демократиялық партия мүшелерінің шағын бизнес өкілдерінің дауыс беру көрсеткіштері жақсы болды.","1","82","міндеттеме емес"
"КАМДЕН, Нью-Джерси (Reuters) — Сейсенбі күні Албаниядан келген үш мұсылман бауыр Форт-Дикс әскери базасында американдық сарбаздарды өлтіру жоспары үшін өмір бойына бас бостандығынан айырылды, прокурорлардың айтуынша, бұл жоспар Америка Құрама Штаттарына қарсы қасиетті соғыс идеясынан шабыттанған. Заңсыз иммигранттар, 30 жастағы Дритан Дука, 28 жастағы Шаин Дука және 25 жастағы Эльвир Дука, әрқайсысы шартты түрде мерзімінен бұрын босату мүмкіндігінсіз өмір бойына бас бостандығынан айырылды. Нью-Джерси штатындағы Черри Хиллде шатыр жабатын бизнеспен айналысқан үшеуі желтоқсанда Филадельфиядан шығысқа қарай шамамен 40 миль жердегі базада шабуыл жасауды жоспарлағаны үшін сотталған бес шетелдік мұсылманның қатарында болды. Шабуыл ешқашан жасалған жоқ.","Элджвир Дука Албаниядан шыққан.","0","22","тарту"
" Аурухана қызметкерлерінің айтуынша, Израиль күштері мен қарулы адамдар арасындағы қақтығыста бір палестиналық қаза тауып, 10 адам жараланған."," Бір палестиналық қаза тауып, басқалары жараланды.","0","216","тарту"
" Ана сүтіндегі қосылыс көптеген тері сүйелдерін жоятыны анықталды, бұл оның жатыр мойны обыры мен сол вирус тудыратын басқа да өлімге әкелетін ауруларға қарсы тиімді болуы мүмкін деген үміт тудырады.","Емшек сүті жатыр мойны обырымен күресуге көмектесуі мүмкін.","0","40","тарту"
