"жапсырма","мәтін"
"1"," Маған бұл жер ұнағысы келді... бірақ ұнамады. ""Бэм-мас"" қызыл барқыт коктейлі өте керемет болды! Бізде беконға оралған халапеньо жедік, ал сол күшіктер мені есімнен танып қала жаздады. Ащы тағамдарды көтере алмасаңыз, алыс болыңыз. Мен мексикалықпын және мұндай ессіздікті көтеруім керек, бірақ мен жеңе алмадым. Бургер ""дәл"" болды. Котлеттің дәмі 110%-ға көбірек болуы мүмкін еді деп ойлаймын. Даяшылар өте жағымды болды."
"3","Бүгін күйеуім екеуміз түскі асқа Lotus Garden мейрамханасына тоқтадық. Мейрамханаға алғаш рет келдік. Іші өте әдемі, бәрі өте таза болды. Жұмыс істейтін ер адам мен әйел одан да жақсы болды. \nКүйеуім екеуміз де түскі асқа моңғол сиыр етінен жасалған арнайы тағам жедік. Өте дәмді болды, мен оны қайтадан жеу үшін қайта ораламын. Мен 5 жұлдызды баға берер едім, бірақ вонтон сорпасын да жеп көрдім және оны ұнатпадым. Вонтондар маған онша жұмсақ болмады. Әдетте, егер маған бір нәрсе ұнамаса, оны қайтарып жіберемін, бірақ бізді күткен адам соншалықты жақсы болды, егер мен оны ұнатпадым десем, оның күнін бұзатындай сезіндім. \nAJ-де ақыры жақсы қытай тағамдары бар екеніне қуаныштымын! :)"
"2","Мен оған 3,5 жұлдыз берер едім. Әрине, бұл керемет сэндвич болды. Мен тұздалған сиыр етін алдым, ол дәмді болды, тек бір тұздық қосса болғаны. Басқа сэндвичтерге де солай қосыла ма, жоқ па, білмеймін, бірақ қыша қолданылған болуы мүмкін еді. Бағасы да керемет, төрт сэндвич, екі рет маринадталған қияр, қырыққабат салаты, картоп фриі және сыра шамамен 40 долларға. Бұған шағымдана алмаймын! \n\nМен міндетті түрде қосар едім."
"2","Олардың тамағы дәмді. Бағалары тым қымбат. Мен онда тамақтану үшін барымды салмаймын, бірақ егер көршілес жерде болсам және осындай тағамға құмар болсам, онда тағы да сол жерде тамақтанамын."
"4"," Керемет пицца, балаларға ұнайды!"
"4","Тамаша тамақ, керемет безендіру және керемет сусындар - тағы не айтуым керек?.?.? Міне, басталды. Цезарь салатында шошқа құлағы, маринадталған бамия және жеңіл тұздыққа жылы лебіз ретінде қосылған қуырылған жұмыртқа болды... Тамаша. Мидияларда бекон, лосось уылдырығы және аскөк болды... Бұлар қалай үйлеседі, өте жақсы. Ангар стейкінде дәмді ащы көкөністер, өте қытырлақ картоп және бәрін біріктіретін жағымды ашық тұздық болды... Сусындар ерекше болды, әсіресе менің бөшкеде пісірілген Buffalo Trace Manhattan. Ура. Егер сіз Питтте болсаңыз, осында келіңіз... соңы."
"4","Керемет жаңалық! Мен оны бүгін ғана көрдім және айта алатыным - мен джекпотқа қол жеткіздім! Мен жақында ғана Аризонаға көштім және кез келген әйел білетіндей, бразилиялық балауызбен эпиляция жасайтын адамды табу өте мазасыз тәжірибе, бірақ мен онымен кездескен кезде өзімді жайлы сезіндім. Ол не істеп жатқанын жақсы біледі және 12 жылдан астам уақыт бойы балауызбен эпиляция жасап жүрген адамнан оның ең жақсысы екенін айта аламын! Менің терім өте сезімтал және әрқашан басқа жерлерге ауырсынумен/сезімталдықпен кетіп жүрдім, бүгін мен ондай жағдайсыз кеттім. Ол тез және тиімді болды. Мен оған Yelp Deal сатып алғандықтан, бет күтімін де жасадым, ол да керемет жұмыс жасады. Ары қарай іздеудің қажеті жоқ, мен өзімнің тұрақты косметологымды таптым! Сондай-ақ, менің навигациям мені далаға апарды, егер сіздікі сізді сол жерге апарса, артқа бұрылыңыз, ол сол жақтағы сауда орталығында."
"4","Тамаша тамақтану тәжірибесі. Жасмин - әдемі мейрамхана, үш жағынан да көп терезелер, биік төбе, керемет тағамдар, шынымен де дәмді тағам. Мен өте жұқа, өте қытырлақ нанмен қапталған қытырлақ тауық етін жедім; ол жақсы таза тағам болды. Сондай-ақ, дәмді десерт жедім, даршын балмұздағы қосылған жылы шоколадты трюфельдер. Бұл қымбат мейрамхана, бірақ бұл ерекше нәрсе, сондықтан егер сіз Лас-Вегасқа дәмді тағам іздесеңіз, Жасминге барыңыз. Бір жақсы жері - тағам дәмді, бірақ мәзірде көптеген таңқаларлық тағамдарды мәзірге қосуға тырысатын көптеген тамаша мейрамханалар сияқты түсініксіз тағамдар көп емес."
"2"," Дәмді, кілегейлі және жейдеңізден түймелер түсіп кетпейтін ләззат алу үшін унциясына небәрі 8 калория! Олардың дәмі ауысып тұрады, ал майлы, толық дәм іздейтіндер үшін Thrifty балмұздағын да ұсынады. Менің ойымша, олардың кішкентай өлшемі жеткілікті үлкен. Кеш ашылады, сонымен қатар мейірімді. Кейбір дәмдер керемет, ал басқалары маған өте ұнайтындықтан, дәмін сұраңыз."
"1","Өткен жұма күні кешке мен қалыңдығыммен және тағы екі тамақтанушы серігіммен бірге осында болдым. Біз аптаның басында орын брондаған болатынбыз және мейрамханаға брондалған уақытымызда келдік, бірден отырдық. Үй иесі бізді салқын көрінетін бар аймағынан өткізіп, төрт адамға арналған екі үстел және демалыс аймағы бар артқы бөлмеге алып барды. Бұл өте салқын кеңістік болды, ал демалыс аймағы Mad Men телешоуына немесе одан да ертерек сыятын сияқты көрінді. \n\nБіз отырған кезде бізге мәзірлер ұсынылды. Питтсбург мейрамханасының апталығы болғандықтан, олар 25 долларға жеңіл тағамдар, негізгі тағамдар мен десерт алуға болатын арнайы ұсыныс жасады және әрқайсысына үш нұсқа ұсынды. Сонымен қатар, бардағы жеңіл тағамдар бөлімінен басқа, мәзірде көп нәрсе болды деп айта алмаймын, бұл мені көңілімнен қалдырды. Біз барғанға дейін көп уақыт бұрын тамақтанушы серіктеріміз кешкі асқа брондалған уақыттан 15 минут кешігіп келетінін айтқан болатын. Сондықтан мен оларды күтіп отырғанда бардағы жеңіл тағамдар бөлімінен тапсырыс беруді шештім, сондықтан сол түні аскөкпен жабылған попкорнмен бастадық. Ақырында, майы көп, аскөктің мол порциясымен өте дәмді болды. Кешкі асқа мен тәбетті ашатын тағам ретінде ащы тауық етін, негізгі тағам ретінде макарон, содан кейін шабдалы мен кілегейлі балмұздақ қосылған вегетариандық зімбірлі балмұздақ сэндвичін жеуді шештім. Асханадағы серіктерімнің бірі балмұздақтың вегетариандық екенін сұрады, олар оны күндізгі тағамның орнына тофудан жасалған деп жауап берді деп ойлаймын. Ащы тауық етінің дәмі жақсы болғандықтан, тамағым жақсы басталды. Шын мәнінде, ол мен күткеннен әлдеқайда ащы болды, бірақ бұл мен үшін жақсы нәрсе, себебі мен тағамымның ащы болғанын жақсы көремін. Келесі кезекте макарон болды, бұл өте көңілімді қалдырды. Онда тұздық аз болды, мен мәзірдегі дәмдердің ешқайсысын сезбедім. Әдетте мен жейтін барлық нәрсені ұнатамын, бірақ калорияны дәмсіз және онша дәмсіз нәрсеге жұмсағым келмейді. Ақыры десертті жедім. Қызықты болды, мүмкін ең жақсы сөз шығар. Бізге жеткен сайын балмұздақ ери бастады, бұл жақсы болды, мен бірден жей бастадым. Дәмі онша жақсы болған жоқ, бірақ жаман да емес еді, мен оны сипаттай алсам ғой деп армандаймын, бірақ бұрын-соңды мұндай тағам жеп көргенімді білмеймін. Зімбірлі тоқаштар жақсы болды, себебі олар сырты сәл қытырлақ, іші жұмсақ болды.\n\nМенің ойымша, болашақта Tender-ге қайта бармаймын. Шынымды айтсам, тағамы нашар болды деп айта алмаймын, бірақ ол біз жұмсаған ақшаға тұрарлық емес еді. Сонымен қатар, олардың мәзірі өте шектеулі болды және егер олар мейрамхана апталығының веб-сайтында үлгі мәзірінің орнына ұсынып отырған мәзірін жариялағанда, біз ол жерге бармас едік деп ойлаймын. Ең болмағанда, қызмет көрсету жақсы болды, ал жердің атмосферасы жақсы болды."
"0","ҚОСЫМША ТӨЛЕУ. Басқа пікірлер сияқты. Мені алдап кетті. Мен көлікті жанармай құю үшін 95% толтырып қайтардым, содан кейін олар менен қосымша жанармай үшін 29 доллар алуды шешті. Айтпақшы, олар аптасына тек 200 доллар деп айтқанда маған ұнайды. Қайтарып алсаңыз, кездейсоқ төлемдер 430 долларға дейін жетеді. \n\nБұл адамдар қалай жұмыс істейді? Мен Better Business Bureau-ға қоңырау шалғым келеді."
"1","Таңқаларлық емес, бірақ қорқынышты емес.\n\nАртықшылықтары: өте таза, әдемі жарқын безендірілген, жергілікті және отбасылық меншікте. Жаңа және пайдалы мәзір.\n\nКемшіліктері: ӨТЕ қымбат. Порция мөлшеріне өте сараң қарайды. \""Арнайы\"" сусыныммен бірге алған сусын кесесі су кесесі ме деп сұрауға тура келді, ол өте кішкентай болды. Тағам пайдалы, бірақ мүлдем дәмді емес. \n\nЕскерту: Мәзірде солай жазылғанымен, ОЛАРДА ПАНИНИ ЖОҚ, бұл көңілімді қалдырды, себебі мен соны қалаған едім. Шынымды айтсам, иелері панинидің не екенін білмейді деп ойлаймын. Қуырылған сэндвич аласыз. \n\nМенде жасыл тауық паниниі болды, ол мүлдем панини емес, кішкентай қуырылған сэндвич еді. Ол өте дәмді болды. Оған аздап тұз бен қызыл пияз себу керек. Бірдеңе. Менің күйеуім тауық салатының орамасын жеді, ол сәл дәмдірек болды, бірақ онша емес.\n\nЕгер олар тағамды дәмдеуіштермен толтырса, порция мөлшерін көбейтсе, маған бергенде ренжімеу үшін қалыпты өлшемдегі сусын кеселеріне ауыстырса немесе бағасын төмендетсе, мен оған екінші мүмкіндік берер едім. Күйеуім енді бұл аймақта жұмыс істемейтіндіктен және мен мұнда тамақтану үшін барымды салмайтындықтан, мен қайтып оралмайтын шығармын."
"3","Бұл жер керемет! Ұлым дүниеге келгенде оған өте көп зат алдым (көбінесе күйеуімнің үлкен отбасынан және жақын достарымнан әрең киілетін қолдан жасалған киімдер), сондықтан мен оның киімін күніне 5 рет ауыстырсам да, ол бәрін кие алмайтын еді! Сондықтан мен ол өскен сайын оған ""жаңа"" киімдер алу үшін пайдалана алатын тамаша консигнациялық орын іздедім. \nБақытыма орай, менің аймағымда (орталық Фениксте) осындай орындар өте көп. Smarty Pants-қа келмес бұрын тағы екісін тексеріп көрдім (Urban Baby-ге бармаңыз! Уф!). \nSP-тегі ана мен қыздың иелері өте қонақжай және достық қарым-қатынаста болды. Олар мен әкелген заттардың барлығын дерлік алып кетті, мен заттарды тастап кетуді жоспарласам да, өзіме сатып алудан бас тарта алмадым және барлығы 15 долларға үш керемет жейде алдым!! Тамаша қор, таза дүкен және достық қызмет... кімге ұнамас еді??\n\nОлар маған Bertha's (қаладағы менің сүйікті мейрамханам) жанындағы кеңістікке жиһазға арналған бөлек орын ашу үшін кеңейтілетінін және қазіргі кеңістікте ересектерге арналған киімдерді көбірек ұсынатынын айтты (мен мұны керісінше жасай алар едім.... жаңа кеңістік киімге арналған шығар?). \n\nСондықтан мен консигнациялық ақшамды жұмсау үшін жақын арада қайтып барамын! Рақмет, Smarty Pants!"
"1"," Менің ойымша, бұл жер тым бағаланған. Кешкі асқа баруға тырыссаңыз, күту өте күлкілі, ал тағамдары өте жақсы деп ойлаймын. Мен Pizzeria Bianco-ға қарағанда Cibo-ға барғанды жөн көрер едім."
"0","Әйелім екеуміз бұл стоматологта денсаулығымыздан гөрі ақша табу қажеттілігінен туындаған бірнеше тәжірибеден өттік. Импланттарды орнату үшін тістерді жұлу, винирлерді орнату, қызыл иектің қымбат процедуралары. Бірнеше жыл бойы біз өзімізді өте ыңғайсыз сезініп, жақын арада аузымыз ісіп кететіні туралы қорқынышты ескертумен ақша жұмсауға мәжбүр болдық.\n\nСоңғы тамшы оның жедел жәрдем желісіне қоңырау шалу болды, тек жұма күні оның гольф күні, ал дүйсенбіде мені көруге болатыны туралы хабарланды. Менің ойымша, 4 күндік жұмыс аптасын қаржыландыру үшін импланттарды басқа адамдар жеткілікті.\n\nБұл адамды немесе оның командасын ешкімге ешқашан ұсынбас едім.\n\nБіздің екеуміздің де тістеріміз керемет екені белгілі болды, ал екінші стоматолог ол ұсынған процедуралардың өте тиімді ғана емес, сонымен қатар әдетте олар пациентті импланттарды, винирлерді және т.б. сақтау үшін өмір бойы күнделікті күтім шығындарына мәжбүрлейтінін растады."
"2"," Менің өз басым ешқашан жаман жағдайға тап болған емеспін, бірақ маған көп көмектескен жоқ. Бұл Home Depot. Тағы не күтуге болады?"
"2"," Бұл жерге алғаш рет бардым. Іші өте ыстық болғанын есептемегенде (барлық есіктер ашық, кондиционерсіз), бұл жер шынымен де әлеуметтік аймаққа арналған. Бізде тамақ болған жоқ, тек сусындар ғана болды, сондықтан тамақ туралы ештеңе айта алмаймын."
"3","Мұндағы тауық етінен жасалған шварма керемет. Қаладағы ең дәмдісі. Бірақ пияз қоспаңыз. Пита чипсы мен хумус та керемет."
"1"," Кеше тез түскі ас ішуге тоқтадық, күйеуім екеуміз де бәрі онша дәмді емес деп ойладық.\n\nБіз екеуміз де гуакамоле мен пико-де-гальо қосылған буррито жедік. Бұрын еттен де дәмдірек жегенмін. Дәмі асадаға ұқсамады және тым тұзды болды. Мен бірнеше сағат бойы шөлдедім.\n\nСальса бары бар (біз қызыл және жасыл сальсаны жеп көрдік. Жасыл түстісі жақсы болды. Қызыл түстісі қызанақ тұздығына ұқсайды. Ерекше ештеңе жоқ), бірақ бурритомен бірге чипсы берілмейді, олар үшін қосымша ақы төлеуге тура келеді.\n\nБіз онда бірінші рет болдық және қайта бармайтын шығармыз. Қалада жақсы мексикалық мейрамханалар бар."
"3","Үлкен мәзір және тағамдардың көпшілігі өте дәмді. Олар өз сыраларын сол жерде қайнатады, ал менің сүйіктілерім - Stone of Scone Scotch Ale және Crop Circle Wheat. Бұл үлкен топты алып жүруге жақсы орын және тарихи ғимаратта орналасқан. Мен верандада тамақтануды ұсынамын, ол өте жақсы."
"1"," Бұл үлкен дүкен, екі қабатты, оның заттары N-де қайталанып жатыр. Маған сауда жасау тәжірибесі ұнамады, себебі қай жерді тексеріп, қайсысын әлі тексермегенімді байқау қиын болды. Ұсынылып отырған ассортимент басқа 21 дүкенге қарағанда әлдеқайда көп болғанымен, оның мағынасы жоқ, сондықтан дүкенде шаршап, ештеңе сатып алмай кетіп қалдым."
"1","Шынымен де ұнады ма, жоқ па, соны түсінбедік.\n\nБіз Elephant Bar-ға сыйлық картасын біраз уақыт бұрын алдық, сондықтан оны пайдалану үшін екі рет бардық. Бірінші рет тауық марсала мен спаржа сорпасына тапсырыс бердік. КЕРЕМЕТ. Сондай-ақ, Elephant Bar-да ерекше мұздатылған шай бар. Екінші рет менің қалыңдығым бастапқы тапсырысын қайталады, мен оған насыбайгүл жапырақтары қосылған өте дәмді салат алдым. Бұрын өте дәмді болған оның тапсырысы өте дәмді болды, ал тұздығы өте кесек болды. Менің салатым өте жиіркенішті болды. Салаттың жартысынан көбі салат жапырақтарынан емес, насыбайгүл жапырақтарынан болды. Әрине, мен насыбайгүлді күткенмін, бірақ салаттың өзіне қосымша ретінде... насыбайгүлдің өзі салат болған жоқ!\n\nБізге сыйлық картасын берген адамдар Elephant Bar біздің сүйікті мейрамханамыз деп ойлайды (неге екенін білмеймін), сондықтан келесі маңызды оқиғаға тағы бір сыйлық картасын аламыз деп ойлаймын. Бұл өте Зейнфельдке ұқсайтын жағдай. Міне, сондықтан мен қайта оралуым мүмкін. Мен сыртта тамақтанған кезде тұрақтылықты бағалаймын... бірдеңемен (мысалы, қалыңдығымның тауық марсаласымен) қайтып оралғанда, мүлдем басқа тағам жеп жатқандай сезінгенде қатты қынжыламын."
