мәтін1, мәтін2, жапсырма, idx, белгі_мәтіні
" Шарль де Голль 1970 жылы сексен жасында қайтыс болды. Осылайша, ол елу жаста еді, жақында бригада генералы (уақытша) шеніне көтерілген белгісіз офицер ретінде ол 1940 жылдың мамыр-маусым айларындағы дағдарыстан кейін Францияның нацистерге берілуін жоққа шығарып, Лондоннан әйгілі хабарын жасады.", Шарль де Голль 1970 жылы қайтыс болды.,0,17, тарту
" Жасөспірім сенсация Уэйн Руни дүйсенбіде Хорватияны 4:2 есебімен жеңген ойында екі гол соғып, Англияны Еуро-2004 ширек финалына алып шықты, ал ширек финалда Швейцарияны 3:1 есебімен жеңген Франция чемпиондары да соқты.", Франция 2004 жылғы Еуро чемпионатына қатысады.,0,18, тарту
"Фухимори 1995 жылы 26 қаңтарда Эквадор алғашқы оқты атқанын айыптады, бұл айыптауды Эквадор көшбасшысы Сиксто Дуран-Баллен жоққа шығарды. Болжам бойынша, екі тарап та 1995 жылғы қақтығысты бастады деп бір-бірін кінәлады, дәл сол сияқты 1941 жылы Перу екі ел арасындағы даудың 120 000 шаршы мильінің көп бөлігін басып алған шекара соғысын қоздырғаны үшін бір-біріне кінәлі деп санады.", Фухимори 1995 жылы президент болып қайта сайланды.,1,19, міндеттеме емес
" Хепберннің платина, гауһар және сапфирмен безендірілген брошы небәрі 20 000 долларға бағаланған, бірақ ол болжамды бағасынан алты есе көп, яғни 120 000 долларға сатылған.", Хепберннің гауһар мен сапфирден жасалған брошы 120 000 долларға сатылды.,0,20, тарту
"Хакаби жұма күні кешке Трейси полиция бөлімшесінде жауап алуға өз еркімен келді және алты сағаттан аз уақыт ішінде қамауға алынды. Қазір ол Сан-Хоакин округінің түрмесінде кепілдіксіз отыр, сейсенбіде сот отырысын күтуде. 6 сәуірде Сандра Кантудың денесі 28 жастағы әйелдің чемоданының ішіне салынып, үйінен бірнеше миль қашықтықтағы тоғанның түбінен табылды. Екеуі Orchard Estates Mobile Home Park-та көршілер болған, ал Хакабидің өзінің 5 жасар қызы Кантумен жиі ойнайтын. Мәйітті тексеру нәтижелері әлі күтілуде.", Хакаби Сандра Кантуды өлтірді деп айыпталуда.,0,21, тарту
"КАМДЕН, Нью-Джерси (Reuters) — Сейсенбі күні Албаниядан келген үш мұсылман бауыр Форт-Дикс әскери базасында американдық сарбаздарды өлтіру жоспары үшін өмір бойына бас бостандығынан айырылды, прокурорлардың айтуынша, бұл жоспар Америка Құрама Штаттарына қарсы қасиетті соғыс идеясынан шабыттанған. Заңсыз иммигранттар, 30 жастағы Дритан Дука, 28 жастағы Шаин Дука және 25 жастағы Эльвир Дука, әрқайсысы шартты түрде мерзімінен бұрын босату мүмкіндігінсіз өмір бойына бас бостандығынан айырылды. Нью-Джерси штатындағы Черри Хиллде шатыр жабатын бизнеспен айналысқан үшеуі желтоқсанда Филадельфиядан шығысқа қарай шамамен 40 миль жердегі базада шабуыл жасауды жоспарлағаны үшін сотталған бес шетелдік мұсылманның қатарында болды. Шабуыл ешқашан жасалған жоқ.", Элджвир Дука Албаниядан шыққан.,0,22, тарту
"Екі күн ішінде оның аукционға қойған бірқатар заттары оның Шэрон, Оззи және олардың екі баласымен бірге өткізген отбасылық өмірі туралы The Osbournes реалити-шоуында көрсетілген. Қымбат заттардың қатарында 11 250 доллар жинаған жаңғақ ағашынан ойылған викториялық стильдегі арнайы жасалған бильярд үстелі, 10 500 доллар жинаған Эдуард Друоттың суреті, 5 250 доллар жинаған Оззидің әйгілі дөңгелек көзілдірігі және 2 375 долларға сатылған Элтон Джонның Шэронға сыйға тартқан ит төсегі болды.", «Осборндар» - Оззи Осборн ойнайтын реалити-шоудың атауы.,0,23, тарту
"Хабарларға қарағанда, Англияның Лондон қаласында өткен G20 саммитіне наразылық білдірген ер адам наразылық білдірушілер лагерінде есінен танып, қайтыс болған. Sky News арнасының хабарлауынша, ер адам Англия банкіне жақын жердегі лагерьдің ішінде көшеде есінен танып қалған және ол әлі тыныс алып жатқаны анықталған, бірақ оны құтқару үшін жедел жәрдем қызметкерлерінің әрекеттері сәтсіз аяқталып, ол жергілікті ауруханада қайтыс болған. Адамның аты-жөні мен өлім себебі әлі белгісіз, бірақ күннің басында бірнеше адам жарақат алған. Sky News арнасының хабарлауынша, адамдар оны жедел жәрдем көлігіне апарып жатқанда оған және билікке бөтелкелер лақтырған.", Sky News кеңселері Англия Банкіне жақын орналасқан.,1,24, міндеттеме емес
" Сан-Диего Падрес командасының шабуылшысы Джейк Пиви «Сент-Луис Кардиналсқа» қарсы ойында 8-5 есебімен жеңіліп, жарақат алды.", Сан-Диего Падрес командасы Сент-Луис Кардиналс командасына қарсы ойында жеңіске жетті.,1,25, міндеттеме емес
"CNOOC компаниясының толықтай қолма-қол ақшаға ұсыныс жасағанына қарамастан, Unocal компаниясы Chevron компаниясының 16,4 миллиард долларлық қолма-қол ақша мен акциялар ұсынысын қолдайтын акционерлерге берген ұсынысы күшінде қалатынын мәлімдеді.", Unocal компаниясы CNOOC ұсынысын бағалайтынын мәлімдеді.,1,26, міндеттеме емес
" АҚШ күштері көтерілісшілер Ирактың бірнеше қалаларында, соның ішінде Фаллуджа мен Бакубада бір уақытта шабуылдар жасағаннан кейін қарқынды шайқастарға араласты.", Фаллуджа мен Бакуба - Ирак қалалары.,0,27, тарту
 Бірақ Huawei компаниясы кеңею оңай болмағанын айтады - қытайлық инженерлеріне Үндістандағы ұзақ мерзімді жобаларда жұмыс істеу үшін виза алу ерекше қиындық тудыруда., Үндістанда ұзақ мерзімді жобалармен жұмыс істейтін қытайлық инженерлер визаны оңай ала алады.,1,28, міндеттеме емес
"Нью-Йорк штатының полиция өкілі Бекки Гиббонс пен Эри округіндегі Крис Коллинз округінің атқарушы директорының айтуынша, жалпы қаза тапқандар саны 50 адам, оның ішінде 45 жолаушы, төрт экипаж мүшесі және жердегі бір адам, ал жердегі бір әйел мен қыз Буффало-Ниагара халықаралық әуежайынан шамамен жеті миль қашықтықта, егістік жердің шетінде жарақат алған.", Буффало қаласында күн сайын қатынайтын жолаушылар ұшағы апатқа ұшырады.,1,29, міндеттеме емес
 Югославия итальяндықтарының аз бөлігі Словенияға қоныстанды (1991 жылғы ұлттық халық санағында Словенияның шамамен 3000 тұрғыны өздерін этникалық итальяндықтар деп жариялады)., Словенияда 3000 тұрғын бар.,1,30, міндеттеме емес
"Денвер қаласының маңындағы мектептің түлектері Эрик Харрис пен Дилан Клебольд 1999 жылы 20 сәуірде қолдан жасалған бомбаларды жарып, мылтықтан, мылтықтан және жартылай автоматты тапаншадан оқ жаудырды. Олар өз-өзіне қол жұмсамас бұрын бір мұғалім мен 12 оқушыны өлтіріп, 23 адамды жаралады. Бұл қырғын елді дүр сілкіндірді. Бұл сол кездегі Америка тарихындағы ең сұмдық мектепке жасалған шабуыл болды және алты адамнан кейін болды. Ол тікелей эфирде көрсетіліп, миллиондаған адам көрді. Және бұл американдықтардың сүйікті идеясының зорлық-зомбылықпен жойылуын көрсетті: қала маңындағы және ауылдық жерлердегі мектептер бейбітшілік пен қауіпсіздіктің баспанасы.", 1999 жылы екі студенттің қолынан 13 адам қаза тапты.,0,31, тарту
"Шотландияның Батыс Лотиан провинциясындағы Блэкберн қаласынан келген 47 жастағы Сьюзан Бойл сенбі күні кешке шоуда алғаш рет пайда болып, «ешқашан тұрмысқа шықпағанын, ешқашан сүйіспегенін» және қазіргі уақытта жұмыссыз екенін, үйде мысығы Пебблспен жалғыз тұратынын айтты. Ол «кәсіби әнші болғысы келетінін», бірақ «ешқашан мұндай мүмкіндік берілмегенін» айтады. Көрермендер мен қазылар алқасы Аманда Холден, Саймон Коуэлл және Пирс Морган алдымен оған күліп, тіпті мазақ етті. Содан кейін Бойл марапатталған «Les Misérables» музыкалық қойылымындағы «Мен армандадым» әнін орындап, қазылар алқасы мен көрермендерді таң қалдырып, тұрып қол шапалақтады. Коуэлл өз өнерін «ерекше» деп атаса, Морган оны «осы шоудың үш жылындағы ең үлкен тосын сыйым» деп атады. Холден тіпті «бәрі саған [Бойлға] қарсы болды» және «біз бәріміз өте циникалық болдық» деп мойындады.", Саймон Коуэлл Сьюзан Бойлға ғашық болды.,1,32,міндеттеме емес
 2001 жылдың 1 қазанында ЕО және басқа да елдер үй жануарларының иелеріне шетелден Ұлыбританияға оралатын үй жануарлары үшін Pets Travel Scheme (қысқаша PETS) бойынша үй жануарларының паспорттарын алуға өтініш беру мүмкіндігін енгізді. Бұл барлық үй жануарларын 6 айлық міндетті карантинге алудың ескі жүйесін алмастырды., 2001 жылы ЕО барлық үй жануарларына алты айлық міндетті карантин енгізді.,1,33, міндеттеме емес
 Ең ұзақ күн ұзарады. Нормандияға алғашқы қонудың 25 жылдығын тойлау үш күнге созылды; 50-ші күн бір жылға созылады., Нормандия қондыруының 50 жылдығы бір жылға созылады.,0,34, тарту
 Цинь (Қытай атауы осыдан шыққан) кейінгі барлық әулеттер ұстануы тиіс шамамен шекаралар мен негізгі әкімшілік жүйені белгіледі., Цинь Шихуанди Қытайдың алғашқы императоры болды.,1,35, міндеттеме емес
«Қолдар бөліну арқылы» қозғалысы 2001 жылдың наурыз айында құрылды және оның тікелей мақсаттарының бірі Кипрдің екі бөлігі арасында байланыс пен коммуникация еркіндігін тез арада қамтамасыз ету және «Кипр мәселесін» шешуге бағытталған ерте ілгерілеу болды., Кипр 2001 жылдың наурыз айында екі бөлікке бөлінді.,1,36, міндеттеме емес
 ХОК отырысында сондай-ақ 1998 жылы Жапонияның Нагано қаласында өткен қысқы Олимпиада ойындарының; 2000 жылы Австралияның Сидней қаласында өткен жазғы Олимпиада ойындарының және 2002 жылы АҚШ-тың Солт-Лейк-Сити қаласында өткен қысқы Олимпиада ойындарының ұйымдастыру комитеттері ұсынған есептерді қарайды., Солт-Лейк-Ситиге дейін Наганода қысқы Олимпиада ойындары өтті.,0,37, тарту
" Amazon акциялары нәтижелерден кейін шамамен 4 пайызға төмендеді, себебі компания екінші тоқсанда операциялық кіріс 42 пайызға дейін төмендейді деп мәлімдеді.", Amazon акциялары 4 пайызға төмендеді.,1,38, міндеттеме емес
"Ходлер 1996 жылғы жазғы ойындарға Атланта, 2000 жылғы жазғы Олимпиада ойындарына Сидней және 2002 жылғы қысқы ойындарға Солт-Лейк-Сити ұйымдастырған науқандарда да бұзушылықтар болғанын мәлімдеді.", Солт-Лейк-Ситиге дейін Наганода қысқы Олимпиада ойындары өтті.,1,39, міндеттеме емес
" Ана сүтіндегі қосылыс көптеген тері сүйелдерін жоятыны анықталды, бұл оның жатыр мойны обыры мен сол вирус тудыратын басқа да өлімге әкелетін ауруларға қарсы тиімді болуы мүмкін деген үміт тудырады.", Емшек сүті жатыр мойны обырымен күресуге көмектесуі мүмкін.,0,40, тарту
" Жоспарды жақында болған апаттан кейін әлі есін жиып жатқан Денсаулық сақтау және әлеуметтік қызметтер министрі Томми Томпсонның атынан Дин мырза денсаулық сақтау саласындағы ақпараттық технологиялар жөніндегі хатшылық саммитінде жариялады, оған электрондық денсаулық сақтау жазбалары саласындағы көптеген көшбасшылар қатысты.", Дин мырза Денсаулық сақтау және әлеуметтік қызметтер министрі.,1,41, міндеттеме емес
"Шок-рок жанрының негізін қалаушы және қанды сахналық қойылымдарымен танымал Элис Купер Фениксте қауіп тобындағы жастарға арналған христиан орталығын құруда. 20 жылдан астам уақыт бойы христиан дінін қайта туып-өскен Купер 1995 жылы Купер құрған Solid Rock Foundation қайырымдылық қоры арқылы орталық үшін 2 миллион АҚШ долларын жинады. Орталықтың атауы ""The Rock"" деп аталады, оның құны 7,3 миллион доллар болады деп күтілуде, және Купер қазіргі уақытта Гранд-Каньон университетінің жанындағы шөпті жерде құрылыс жұмыстары қараша айына дейін басталады деп үміттенеді.", Элис Купер христиан.,0,42, тарту
 Пибул Сонгграм Екінші дүниежүзілік соғыс кезінде Тайландтың жапондық жақтаушы әскери диктаторы болды., Пибул Тайландтың диктаторы болды.,0,43, тарту
"Айға алғашқы адам басқаратын «Аполлон XI» ғарыш кемесінің командирі ретінде Армстронг Айға аяқ басқан алғашқы адам болды. «Бұл адам үшін бір кішкентай қадам, адамзат үшін бір үлкен секіріс». Осы тарихи сөздермен адамзаттың ғасырлар бойғы арманы орындалды.", Нил Армстронг Айға қонған алғашқы адам болды.,0,44, тарту
" Вебер WABC арнасында 12 жыл жұмыс істеді, «Кертис» және «Куби» сияқты бағдарламаларда өнер көрсетіп, тыңдаушыларға әр сағат сайын жаңалықтармен бөлісіп отырды. Өткен жылы бағдарламаның өзгеруіне байланысты станциядан жұмыстан шығарылғаннан кейін, ол ұлттық желі ABC News Radio арнасында штаттан тыс тілші болып жұмыс істеді. WABC-ке дейінгі мансабында ол Калифорния штатының Лос-Анджелес қаласында орналасқан KTLK және KMPC және Калифорния штатының Сан-Франциско қаласындағы KGO арналарында жұмыс істеді.", KTLK Сан-Францискода орналасқан.,1,45, міндеттеме емес
 Ресейлік ғарышкер Валерий Поляков 1994-1995 жылдар аралығында ғарышта үздіксіз 438 күн өткізген ең ұзақ уақыт бойынша рекорд орнатты.,Ресейліктер ғарышта ең ұзақ болу бойынша рекорд орнатты.,0,46, тарту
 Пьюджет-Саунд өзенінде теңіз өсімдіктерінің маңызды түрлерге мекендеу ортасын қамтамасыз етудегі маңызды рөліне байланысты теңіз балдырларын жинауға рұқсат етілмейді., Теңіз өсімдіктері жиналады.,1,47, міндеттеме емес
" Ол 1964 жылы бокс төрешісі болды және Холифилдпен болған жекпе-жек кезінде Майк Тайсонға қарсы шешімімен танымал болды, сол кезде Тайсон Холифилдтің құлағын тістеп алған.", Майк Тайсон 1964 жылы Холифилдтің құлағын тістеп алған.,1,48, міндеттеме емес
" Ирактың жаңа конституциясын әзірлеуші топ жексенбіде құжатты жазуға көбірек уақыт беруді қарастырды, бірақ АҚШ-тың қатты қысымымен тамыз айының ортасындағы мерзімге дейін жетуге дайын сияқты көрінді.", Жексенбіде шенеуніктер мұндай күрделі мәселелерді талқылауға көбірек уақыт беру үшін құжатты аяқтаудың тамыз айындағы мерзімін кейінге қалдыру туралы дауласты.,1,49, міндеттеме емес
Ол сондай-ақ 31 мамырда Сальвадор үкіметі Сальвадор партизандарымен байланысы бар деп айыптаған мексикалық профессор Мария Евгения Очоа Гарсияның «заңсыз» тұтқындалуына тоқталды., Профессор Очоа Гарсия - Сальвадор үкіметінің мүшесі.,1,50, міндеттеме емес
" Аляскадағы Редут жанартауы сенбі күні атқылады, нәтижесінде мыңдаған фут биіктікке күл бұлттары көтерілді. Федералды авиация әкімшілігінің мәліметі бойынша, күл әуежайға жеткеннен кейін Тед Стивенс атындағы Анкоридж халықаралық әуежайы жабылды. Әуежай өкілі Джереми Линдсет әуежайға аз ғана күл жеткенін, бірақ күл ұшақтардың қозғалтқышында ақаулар тудыруы мүмкін болғандықтан, жұмысты бұзуға жеткілікті мөлшерде болғанын айтты. Ол атқылау салдарынан қанша рейске әсер еткенін нақты білмейтінін айтты.", Тед Стивенс Анкоридж халықаралық әуежайы Джереми Линдсеттің жұмыс берушісі болып табылады.,0,51, тарту
FMLN біздің халқымызға және әлем халқына Сальвадор жұмысшыларының ұлттық одақ федерациясына [Фенастрасқа] қарсы қырғынды армияның 1-ші жаяу әскер бригадасының өлімге әкелетін отрядының бастығы полковник Елена Фуэнте армия штабына жасаған әскери шабуылымызға жауап ретінде жасағанын хабарлайды., Фенастрасқа FMLN шабуыл жасады.,1,52, міндеттеме емес
 IBM өзінің екі бағдарламасын – файл менеджері File-AID және пайдаланушыларға ақаулардың көзін табуға көмектесетін Abend-AID бағдарламасын көшіру үшін коммерциялық құпияларды ұрлады., Коммерциялық құпиялар ұрланды.,0,53, тарту
" Nokia, Texas Instruments және басқа да жетекші ұялы телефон өндірушілері Брюссельге АҚШ-тың мобильді чип өндірушісі Qualcomm компаниясының 3G технологияларына патенттерін әділетсіз пайдаланғаны туралы ресми түрде шағымданды.", Texas Instruments компаниясы ұялы телефондар шығарады.,0,54, тарту
" Ирактың оңтүстігіндегі Басра қаласында екі британдық сарбаз тұтқындалды, бұл олардың ұсталып отырған полиция бөлімшесінің алдында қақтығыс тудырды.",Қақтығыс кезінде сарбаздар ұсталып отырған полиция бөлімшесіне жіберілген екі британдық танк өртелді.,1,55, міндеттеме емес
" Төменгі Австрияның Амштеттен қаласының полициясы 1984 жылдың 29 тамызынан бері 42 жастағы қызын Амштеттендегі үйінің жертөлесінде қамап ұстаған деген күдікпен 73 жастағы ер адамды тұтқындады. Полиция Йозеф Фрицль деп таныған ер адам Элизабет Фрицль есімді қызын он бір жасында жыныстық зорлық-зомбылыққа ұшыратып, кейіннен одан жеті баланың әкесі болған деп айыпталуда. 1996 жылы дүниеге келген егіздердің бірі балалардың бірі туылғаннан кейін көп ұзамай қараусыздықтан қайтыс болды, ал әкесі денесін өртеп жіберді.", Amstetten Австрияда орналасқан.,0,56, тарту
" Мысалы, әлемдегі ең ірі бағдарламалық жасақтама компанияларының бірі Microsoft өткен жылы бағдарламалық жасақтама ұрлығы салдарынан шамамен 500 миллион доллардан астам шығынға ұшырады.", Microsoft 500 миллион доллар жұмсайды.,1,57, міндеттеме емес
Альцгеймер ауруының бастапқы алдын алу қазіргі уақытта мүмкін емес., Альцгеймер ауруы дәрі-дәрмектермен емделеді.,1,58, міндеттеме емес
" Пасха мерекесі аяқталды, бірақ бұл сіз Інжіл эпостарының атасы және «Үздік фильм» және «Үздік актер» (басты рөлдегі Чарльтон Хестон) сияқты рекордтық 11 «Оскар» сыйлығының иегері «Бен-Гурды» тамашалай алмайсыз дегенді білдірмейді.", Чарльтон Хестон «Бен-Гур» фильмінде басты рөлді сомдады.,0,59, тарту
" Ал, керісінше ұсыныстарына қарамастан, Oracle компаниясы PeopleSoft және JD Edwards қаржылық бағдарламалық жасақтамасын жаңа тұтынушыларға қайта сату арналары арқылы сатады.", Oracle қаржылық бағдарламалық жасақтама сатады.,0,60, тарту
"Біріккен Корольдік, Түркия, «ескі» Британдық Достастық күштері (Жаңа Зеландия, австралиялықтар, канадалықтар, гуркхалар, Үндістан), Германия, Польша, Вьетнам, АҚШ, Ресей, Франция, Қытай (бірақ тек кейбіреулері) Жапонияның кейбір бөлімшелері қосылады, бірақ мен айқын себептермен жапон сарбаздарына «құрмет» сөзін қолдануға ыңғайсызданамын.", Гурхалар Непалдан шыққан.,1,61, міндеттеме емес
 Ssangyong Motor компаниясы 1997-98 жылдардағы Азия қаржы дағдарысы кезінде ауыр қарыздар салдарынан банкротқа ұшырағаннан кейін несие берушілердің қолына өтті., Азиялық қаржы дағдарысы Ssangyong Motor компаниясын басып алды,1,62, міндеттеме емес
"Шенеуніктердің айтуынша, Гвинея-Бисау президенті Жоау Бернарду Виейра дүйсенбі күні өз сарайында басқыншы сарбаздардан атып өлтірілген. «Президент Виейра бүгін таңертең штаб бастығы Тагме На Вайеге жақын сарбаздар тобының шабуылына ұшыраған үйінен қашуға тырысқан кезде армия тарапынан өлтірілді», - деді әскери өкіл Замора Индута Agence France-Presse агенттігіне «бұл мемлекеттік төңкеріс емес» деп мәлімдеп.", Бернардо Виейра Гвинея-Бисау президенті болды.,0,63, тарту
" Аспирин, арзан дәрі, жүрек талмасы мен инсульттан аман қалғандарды кейінгі жүрек талмалары мен өлімнен қорғауға көмектеседі, тіпті жүрек талмасынан кейінгі алғашқы сағаттарда болатын өлім санын азайтуға көмектеседі.", Аспирин қабылдаған кезде адамдар жағымсыз әсерлерді сезінді.,1,64, міндеттеме емес
Лики жылына 450 миллион доллар (308 миллион фунт стерлинг) кіріс әкелетін туристік индустрияның негізін қалаушы Кенияның бай жабайы табиғатын тиімді және тұрақты түрде басқаруға болады деп сенді., Африка елдері туристерді тарту үшін жануарларды тірі ұстауға шақырады.,1,65, міндеттеме емес
" Табиғи парниктік әсер болмаса, Жердің температурасы қазіргі 14°C (57°F) орнына шамамен нөл градус Фаренгейт (-18°C) болар еді.", Парниктік эффект жаһандық климатты өзгертеді.,0,66, тарту
" НАСА-ның екі Ұлы обсерваториясы, Хаббл ғарыштық телескопы және Чандра рентгендік обсерваториясы, қара құрдымның негізгі белгісі болып табылатын оқиға көкжиегінің бар екендігінің ең жақсы тікелей дәлелі бола алатын нәрсені бір-бірімен ұсынды.", Хаббл қара тесіктерді ашады.,0,67, тарту
 АҚШ фармацевтикалық компаниялары үшін денсаулық сақтау саласындағы алдағы реформалар шығындарды шектеу және бағаны бақылауды күшейту дәуірін уәде етеді., АҚШ үкіметі дәрі-дәрмек бағасын төмендетуді көздейді.,0,68, тарту
"Джулиана Сгрена бүгін Ирактағы тұтқыннан босатылды. Итальяндық журналист дәл бір ай бұрын Бағдадта Il Manifesto газетіне репортаж жасап жүрген жерінен ұрланған. Ислам джихады ұйымы оны 4 ақпанда Италиядан барлық әскерлерін Ирактан шығаруды талап етіп кепілге алған. 16 ақпанда Сгрена ханымның Италияның Ирактан шығуын жалбарынып тұрғаны анық бейнеленген бейнежазба жарияланды. Алайда, бейнежазбаға қарамастан, Италия Сенаты Ирактағы әскери күштерінің болу мерзімін ұзартуға дауыс берді.", Иракта әйел журналист ұрланды.,0,69, тарту
" Бұл үлкен қалашықта шамамен 33,5 миллион адам тұрады. Менің ойымша, Жапониядағы ресми түрде шетелдік капиталы бар 5000 фирманың 95%-ы Токиода орналасқан."," Токиода шамамен 33,5 миллион адам тұрады.",0,70, тарту
