мәтін1, мәтін2, жапсырма, idx, белгі_мәтіні
"Татьяна әжесінің қонақтарына мол тамақ ұсынғанды ұнататынын білетін. Енді Татьяна әжесінің Татьянаның кішкентай анасын кең, арық құшақтап, оны дастарханға итеріп, орамалын иығынан көтеріп, құрметті орынға отырғызып, жай ғана: «Жеткілікті» деп айтқанын бақылап отырды."," Әже Татьянаның кішкентай анасын кең, арық құшағына алып, үстелге қарай итеріп жіберді.",0,20, міндеттеме емес
" Энн Мэриден кітапхананың қашан жабылатынын сұрады, себебі ол ұмытып кеткен еді.", Мэри ұмытып кеткен еді.,0,21, міндеттеме емес
" Джордж қойылымға тегін билеттер алды, бірақ оны көруге ерекше құмар болса да, оларды Эрикке берді.", Эрик оны көруге ерекше құмар болды.,0,22, міндеттеме емес
 Жеткізу көлігі мектеп автобусының жанынан өте баяу өтіп бара жатқандықтан өтіп кетті., Мектеп автобусы өте баяу жүріп келе жатты.,1,23, тарту
 Джейн аш болғандықтан Джоанға кәмпит берді., Джейн аш болды.,0,24, міндеттеме емес
Марк Стивтің баспалдақтан түсіп келе жатқан аяғының дыбысын естіді. Дүкеннің есігі оның артынан жабылды. Ол терезеден қарау үшін жүгірді., Марк терезеден қарау үшін жүгіріп кетті.,1,25, тарту
" Олар шамамен бірдей жылдамдықпен жүгіргенімен, Сью Саллиді жеңді, себебі ол өте жақсы бастады.", Саллидің бастамасы өте жақсы болды.,0,26, міндеттеме емес
 Фред - менің үлкен атамды есінде сақтаған жалғыз тірі адам. Ол керемет адам., Фред - ерекше адам.,1,27, тарту
" Ларри бұрын әкесіне жұмысына көмектескен. Бірақ қазір ол оған көмектесе алмады, өйткені әкесі теміржол компаниясындағы бастығы кеңседе өзінен басқа ешкімнің жұмыс істегенін қаламайтынын айтты.", Ларри енді оған көмектесе алмады.,1,28, тарту
" Джордж қойылымға тегін билеттер алды, бірақ оларды Эрикке берді, себебі ол оны көруге ерекше құштар болды.", Эрик оны көруге ерекше құмар болды.,1,29, тарту
" Олар хабарландыру таратты, бірақ станцияға метро келді, мен оны ести алмадым.",Мен метроның дыбысын ести алмадым.,1,30, тарту
" Грант сол қыста отбасымен бірге жеткілікті тамақтанатындай етіп бұршақтарын жинау үшін көп еңбек етті. Досы Генри оған оларды кептіретін қорасына үйіп қоюға рұқсат берді. Кейінірек ол және Татьяна оларды жексенбілік кешкі асқа қабығынан тазартып, пісіретін."," Кейінірек ол және Татьяна оларды қабығын аршып, жексенбілік кешкі асқа пісіретін.",0,31, міндеттеме емес
" Бет оны бөліп тастаған Саллиге ашуланған жоқ, себебі ол тоқтап, кешірім сұрады."," Салли тоқтап, кешірім сұрады.",1,32, тарту
" Менің және сахнаның арасында бағана бар, мен оны көре алмаймын.", Сахнаның айналасын көре алмаймын.,1,33, тарту
" Үлкен оқушылар кішілерін қорқытып жатты, сондықтан біз оларды құтқардық.", Біз үлкен оқушыларды құтқардық.,0,34, міндеттеме емес
 Менің картамда бұл ғимарат көрінетініне сенімдімін; ол өте әйгілі., Ғимарат өте танымал.,1,35, тарту
"Мен лимон ағаштарында лимондар өсіп тұрған бақшаның суретін салуға тырыстым, бірақ олар телефон бағаналарына көбірек ұқсап шықты.", Лимондар телефон бағаналарына көбірек ұқсап шықты.,0,36, міндеттеме емес
" Ларри бұрын әкесіне жұмысына көмектескен. Бірақ қазір ол оған көмектесе алмады, өйткені әкесі теміржол компаниясындағы бастығы кеңседе өзінен басқа ешкімнің жұмыс істегенін қаламайтынын айтты.", Ол енді Ларриге көмектесе алмады.,0,37, міндеттеме емес
" Бернард үкімет шенеунігіне үй шаруашылығына талап арыз берген кезде 21 жасқа толмағанын айтпағандықтан, ол ешқандай адал емес әрекет жасадым деп санамады. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алып қоя алады.", Бернард жер телімін алуға өтініш берген кезде 21 жасқа толмаған еді.,1,38, тарту
 Дренаж түктермен бітеліп қалған. Оны тазалау керек., Дренажды тазалау керек.,1,39, тарту
 Дренаж түктермен бітеліп қалған. Оны алып тастау керек., Дренажды алып тастау керек.,0,40,міндеттеме емес
" Эмма ашық тұрса да, допты Джейниге пас бермеді.", Ол Эмманың ашық тұрғанын көрді.,0,41, міндеттеме емес
" Джон кітапханада зерттеу жүргізіп отырғанда, бір адамның ызыңдап, ысқырғанын естіді. Ол өте тітіркендіргіш еді.", Джон қатты ашулы болды.,0,42, міндеттеме емес
 Қалалық кеңес мүшелері наразылық білдірушілерге зорлық-зомбылықты жақтағандықтан рұқсат беруден бас тартты., Демонстранттар зорлық-зомбылықты насихаттады.,1,43, тарту
" Қазанды сөреге қоя алмадым, себебі ол тым биік болды.", Қазан тым биік болды.,0,44, міндеттеме емес
 Полиция банда мүшелерінің барлығын тұтқындады. Олар көршілес ауданда есірткі саудасын жүргізуге тырысты., Полиция ауданда есірткі саудасын басқаруға тырысты.,0,45, міндеттеме емес
" Мысық тышқан інінің жанында тышқанды күтіп жатты, бірақ ол тым сақ болды.", Тышқан тым сақ болды.,1,46, тарту
" Сэм қойшылардың қойларымен суретін салуға тырысты, бірақ олар гольф ойыншыларына көбірек ұқсайтын болып шықты.",Қой ақырында гольф ойыншыларына көбірек ұқсайтын болып шықты.,0,47, міндеттеме емес
" Фред көзін қолымен жауып алды, себебі жел құмды ұшырып тұрды. Жел тоқтаған кезде ол көзін ашты.", Жел тоқтаған кезде ол көзін ашты.,1,48, тарту
" Олар ақыры тынышталып, үйлеріне жеткенде, Фарли мырза сиқырлы тасты темір сейфке салды. Бір күні олар оны пайдаланғысы келуі мүмкін, бірақ шын мәнінде әзірге олар тағы не тілейді?", Бір күні олар сейфті пайдаланғысы келуі мүмкін.,0,49, міндеттеме емес
" Мысық тышқан інінің жанында тышқанды күтіп жатты, бірақ ол тым сақ болды.", Мысық тым сақ болды.,0,50, міндеттеме емес
" Татьяна жоғарғы төсегінде аударылып жатып, оның шетінен қарап, анасын анық көре алды. Ол төмендегі кереуетте қандай кішкентай, түзу және қатып қалған! Көздері жұмулы еді, бірақ Татьяна ұйықтап қалды ма деп күмәнданды."," Анасы төмендегі кереуетте қандай кішкентай, тік және қатал жатыр!",1,51, тарту
"Фред ыдыс жуғыш машинаны басқаруы керек еді, бірақ теледидар көргісі келгендіктен, оны кейінге қалдырды. Бірақ бағдарлама жалықтыратын болып шықты, сондықтан ол ойын өзгертіп, оны өшірді."," Ол ойын өзгертіп, ыдыс жуғыш машинаны өшірді.",0,52, міндеттеме емес
" Сэмнің суреті Тинаның суретінің дәл үстіне ілінген еді, ал тағы біреуі оның астында болса, әлдеқайда әдемі көрінді.", Тинаның суреті астына тағы бір сурет салған кезде әлдеқайда жақсы көрінді.,0,53, міндеттеме емес
" Әкесі балалардың бет-әлпетіне қарады, ол қазір таң қалып, қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға соншама нәрседен бас тартуға тура келгені өкінішті еді.", Ол заттарды сатып ала алмады.,1,54, тарту
" Сэм Адамнан француз тілі сабақтарын алды, себебі ол француз тілінде еркін сөйлейтіні белгілі болды.", Сэм оны еркін сөйлейтіні белгілі болды.,0,55, міндеттеме емес
" Журналистер жаңа фильмнің жұлдыздарымен сұхбат жүргізді. Олар өте табанды болды, сондықтан сұхбат ұзаққа созылды.","Журналистер өте табанды болды, сондықтан сұхбат ұзаққа созылды.",1,56, тарту
" Олар хабарландыру таратты, бірақ станцияға метро кірді, мен оны ести алмадым.", Мен метроның дыбысын ести алмадым.,0,57, міндеттеме емес
" Фред пен Элистің жүннен жасалған пальтолары өте жылы болды, бірақ олар Аляскадағы суыққа жеткіліксіз болды.", Аляскадағы суыққа пальтолар жеткіліксіз болды.,1,58, тарту
 Әкесі ұйықтап жатқан баланы қолына көтеріп алды., Әкесі ұйықтап жатқан баланы әкесінің құшағында көтеріп жүрді.,1,59, тарту
 Мадонна жігітімен ұйықтағаны үшін жаттықтырушысын жұмыстан шығарды., Ол жаттықтырушының жігітімен ұйықтады.,0,60, міндеттеме емес
" Әкесі балалардың бет-әлпетіне қарады, ол қазір таң қалып, қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға соншама нәрседен бас тартуға тура келгені өкінішті еді.", Балаларға ақшасы жетпеді.,0,61, міндеттеме емес
"Егер алаяқ Сэмді алдап кетсе, ол көп ақша алар еді.", Алаяқ көп ақша табатын еді.,1,62, тарту
" Тейлор мырза мінезі тұрақсыз адам еді, және ол Дэвидті нашар адам деп санайтын және оның өз пайдасына кез келген қадамды жасағаны оның туа біткен ақымақтығының тағы бір дәлелі деп санайтын.", Оның өз атынан берген кез келген нұсқау Дәуіттің туа біткен ақымақтығының тағы бір дәлелі ғана еді.,1,63, тарту
" Бүгін таңертең Джой жағажайда құмнан сарай тұрғызып, ең биік мұнараға ойыншық жалауша орнатты, бірақ бүгін түстен кейін жел оны құлатып тастады.", Бүгін түстен кейін жел құмды сарайды құлатты.,0,64, міндеттеме емес
" Дауыл кезінде ағаш құлап, үйімнің шатырын кесіп өтті. Енді оны жөндеуім керек.", Енді шатырды жөндеуім керек.,1,65, тарту
 Мен бөтелкедегі суды кесеге босағанша құйдым., Бөтелке бос еді.,1,66, тарту
"Алиса тобырдың арасынан досы Джейдті іздеді. Ол әрқашан қызыл сәлде киетіндіктен, Алиса оны тез байқады."," Алиса әрқашан қызыл сәлде киетіндіктен, Алиса оны тез байқады.",0,67, міндеттеме емес
" Ит мысықты қуды, ол ағашқа жүгіріп шықты. Ол басында күтті.", Мысық жоғарғы жағында күтті.,1,68, тарту
" Жаздың түстен кейінгі мезгілі еді, ит көгалдың ортасында отырды. Біраз уақыттан кейін ол тұрып, ағаштың астындағы бір жерге барды, себебі ыстық еді.", Ағаштың астындағы жер ыстық еді.,0,69, міндеттеме емес
" Джордж қойылымға тегін билеттер алды, бірақ оларды Эрикке берді, себебі ол оны көруге аса құлықсыз болды.", Эрик оны көруге аса құлықсыз болды.,0,70, міндеттеме емес
