"идентификатор","диалог","қысқаша мазмұны"
"13821669"," Райан: Баршаңызға Рождество мерекесі құтты болсын! Ник: Рождество мерекесі құтты болсын! Крис: Рождество мерекесі құтты болсын! Крис: Айтпақшы, қайдасыңдар? Райан: Манчестердегі туыстарыңызға қонаққа бара жатырмын Райан: ақ апат болды хахаха Крис: Біз Эннмен үйде қалдық, алғаш рет жалғыз қалдық! Крис: және маған әзірге қатты ұнады","Райан Рождество мерекесіне Манчестердегі отбасына қонаққа барады. Крис үйде Эннмен бірге қалды."
"13819626","Аня: Ертең шіркеуге бірге барайық Кася: қандай керемет идея! Польша патшайымы Мәриямды бірге мадақтау! Қандай әдемі Ян: Иә, барайық! Зузия: Менің ойымша, ұл бала бізбен бірге бармауы керек, басқа достар, бірнеше ұлдар табыңыз Аня: Мен келісемін, бұл орынсыз"," Аня, Кася, Зузия және Ян ертең шіркеуге барғысы келеді. Аня мен Зузия шіркеуге ұл баламен баруды дұрыс деп санамайды."
"13728535"," Лаура: Осы демалыс күндері менің дредтерімді жинай аласыз ба деп ойлайсыз ба? Кас: Мүмкін. Алдымен жұмыс кестемді тексеріп, сізге хабарлауым керек. Лаура: <файл_фото> Лаура: <файл_фото> Лаура: <файл_фото> Лаура: Олар шынымен шашылып жатыр. Кас: Шатастыруды реттеу үшін бірнеше күн қажет болады. Бүгін кешке айтамын."," Лаура Кастың осы демалыс күндері киімдерін жинауын қалайды. Кас бүгін кешке бос болса, оған хабарлайды."
"13611460"," Анна: Сәлем, бүгін кешке бізбен бірге пицца жегіңіз келе ме? Чарли: Жоқ, рақмет, мен дөрекі болып көрінгім келмейді, бірақ болған оқиғаларға әлі де ренжіп жүргенімді білесің ғой. Анна: Жарайды, мәселе жоқ, кешіңіз жақсы өтсін. Чарли: Иә, саған да... Анна: :) Чарли: Иә, құттықтаймын.","Анна Чарлиге бүгін кешке пицца жеуді ұсынады. Чарли болған оқиғаларға ренжіп, бас тартады."
"13727702","Ариана: Мен дүкенге бара жатқан сияқтымын Авиана: Қайда? Авиана: Қала орталығы ма? Ариана: Иә Ариана: Мен бірдеңе сатып алғым келеді Авиана: Сенімен бірге бара алсам ғой Ариана: Жарайды 🙂","Ариана Мидтаунда сауда жасайды. Авиана оған қосыла алмайды."
"13819822"," Адам: Сендерге айтатын өсек-аяңым бар ;) Борис: Кім туралы? Адам: Демек, Ига жігітімен демалыс күндері демалуды жоспарлаған сияқты, бірақ олар топты презентация күнін өзгертуге көндіре алмағандықтан бас тартуға мәжбүр болды :D Катя: Ал ол ашулы ма? Адам: Сен не ойлайсың? Сондықтан олар дүйсенбіден бері бірге отырмайды ;) Катя: Сенен мұндай өсекші қызды кім күткен :D","Ига мен оның жігіті дүйсенбіден бері бірге отырмайды, себебі олар демалыс күндеріне саяхаттарын болдырмауға мәжбүр болды. Бұл Иганы қатты ашуландырды. Иганың жігіті топты тұсаукесер күнін өзгертуге көндіруге тырыспады."
"13681194"," Камден: Эй! Маккинли: Сәлем! Камден: Мен сені біраз уақыттан бері көрмедім - мен көбінесе әлеуметтік желілерден тыс болдым. Мүмкін, маған кішкене қарап көрерсіз? Маккинли: Сен енді фейсбукте емессің бе? Камден: Мен фейсбукте чат пайдаланамын. Мен әлеуметтік желілерді көп қолданбаймын Маккинли: Хмм... Камден: Бұл маған жақсы достарыммен байланыста болуға көмектеседі Маккинли: Бірақ сен оны әрқашан ашып, менің фотосуреттерімді тексере аласың lol Маккинли: Иә, мен фейсбукті негізінен адамдармен байланыста болу үшін пайдаланамын Камден: Рас. Бірақ сенен оны алу қызықтырақ болар еді деп ойлаймын. 😏 Иә, бұл менің басты себебім. Бірақ мен онда мүлдем уақыт өткізбеймін. Маккинли: Lol Мен телефонмен селфи жасайтын адам емеспін. Камден: Өкінішті. Lol Маккинли: Lol","Камден соңғы кездері әлеуметтік желіні пайдаланбайды. Ол тек мессенджерді пайдаланады және Маккинлидің суреттерін алғысы келеді."
"13730678","Алекс: Сәлеметсіз бе, бүгін кешке сусын ішкіңіз келе ме? Зайна: Неге болмасқа :) сағат нешеде? Алекс: Кешкі 8-де ше? Зайна: Жақсы естіледі. Менің орным ба? Алекс: Керемет. Онда кездескенше.","Алекс бүгін кешке сағат 8-де Зейнаның үйіне сусын ішуге келеді."
"13828618"," Фредерик: саған көршіңнің жаңа көршілері ұнай ма? Фредерик: кеше кездескенде олар өте керемет көрінді Рики: олар жақсы адамдар, бірақ олар өте шулы Рики: оларда түні бойы шырылдауын тоқтатпайтын тотықұс та бар хахаха Фредерик: сен болу жаман"," Рикидің жаңа көршілері жақсы, бірақ шулы. Олардың түні бойы көп шу шығаратын тотықұсы бар."
"13865170","Мария: Мен бұл жұмыстан шаршадым, енді шыдай алмаймын Анастасия: Білемін, бірақ сабыр ет Феликс: бұлай асығыс шешім қабылдама Мария: :(","Мария жұмысынан шаршады."
"13829966","Адам: Мэймен сөйлестің бе? Карен: Иә, кеше, неге? Адам: Мен онымен сөйлестім және мойындауым керек, ол үшін алаңдаймын Карен: Мен де оған маманға көрінуді ұсындым, бірақ ол бұған аса қуанбады Адам: Таңқаларлық емес... Карен: Білемін, бірақ бұл өте маңызды деп ойлаймын. Ол айналасындағылар сияқты депрессияда екенін айтып жатыр, бірақ оның жағдайында бұл рас болуы мүмкін Адам: Ол маған ештеңе істегісі келмейтінін, үнемі зерігетінін, ешқашан бақытты сезінбейтінін айтты. Бұл нағыз, типтік депрессия сияқты естіледі Адам: Ол маған ұйықтай алмай қиналатынын да айтты. Мен одан сыра ішуге немесе басқа нәрсеге баруды сұрадым, бірақ ол пәтерден шыққысы келмейді Карен: Ой, бұл өте маңызды естіледі. Саған не айтарымды білмеймін Адам: Мен оған қалай көмектесе алатынымды ойлап тұрдым Карен: Шынымды айтсам, біз оған көмектесе аламыз ба, жоқ па, білмеймін, Адам. Мен маманға баруды ұсындым, себебі бұл өте сезімтал мәселелер және біз байқаусызда жағдайды нашарлатып жіберуіміз мүмкін деп қорқамын Адам: Иә, бірақ ол маманға көрінгісі келмейді. Негізінде, ол ешкімді көргісі келмейді Карен: Хм... білмеймін... Кеңес алу үшін біреуге қоңырау шалсам қалай болады? Не істеу керектігін білу үшін Адам: Ақылға қонымды естіледі, қоңырау шала алатын біреуді білесіз бе? Оның атын атамаңыз Карен: Әрине, айтпаймын! Менің психолог досым бар, біз оған сене аламыз. Мен сізге хабарлаймын Адам: Рақмет Карен!","Адам мен Карен Мэйдің депрессияға ұшырағанына алаңдайды. Карен психолог досына қоңырау шалып, кеңес сұрайды."
"13728122"," Дэниел: Сәлем, әпке. Дэниел: Жүргізуші куәлігі бойынша емтиханнан өткенімді хабарлағым келді. Дэниел: Жақсы өтті :D Кейт: Құттықтаймын!!!! Кейт: :) :) :) Кейт: Әкем мақтанады!","Дэниел жүргізуші куәлігін алу емтиханын сәтті тапсырды."
"13809909","Лиам: сені сағат 8-де алып кетеді Лиам: дайын бол Кейн: керемет жігіт Лиам: тек кешікпеші","Лиам Кейнді сегіз жасында қабылдайды."
"13729101","Бренда: Сәлеметсіз бе, бұл Сандра Донован ба? Сандра: Иә, бұл менің қыз кезімдегі атым еді, қазір Сандра Тейлор. Бренда: Бұл Бренда Райли, біз киім фабрикасында бірге жұмыс істейтінбіз! Сандра: О, Құдайым-ау! Брен! Қалайсың, 25 жыл өткен болуы керек! Бренда: Мен жақсымын, қазір Стоукта тұрамын, 90-жылдардың соңында Брумнан көшіп кеттім. Сандра: Мен әлі күнге дейін Кингс Нортонда тұрамын, сол үйде, сол күйеуімде! Қазір менің 2, 4, 9 және 15 жастағы 4 немерем бар! Сіз ше? Бренда: Өкінішке орай, менің күйеуім Билл 5 жыл бұрын қайтыс болды, менің тек бір немерем бар, ол 7 жаста, менің кішкентай періштем, ол атасын есінде сақтамайды. Сандра: Кешіріңіз, жаным, мен сіздің Билліңізді есімде сақтаймын, оның ұзын қара шашы және үлкен бүйірлері болған, солай ма? Бренда: Иә, шамамен 45 жыл бұрын, ол қайтыс болған кезде таз болған. Ол билегенді жақсы көретін, Northern Soul билейтін, шын мәнінде екеуміз де билейтінбіз. Демалыс күндері Уиганға баратынбыз, бақытты сәттер! Сандра: Иә, сол қызық есімде, мен үшін біраз жігерлі еді! Бізге дискотека ұнайтын! Біз фабрикамен бірге керемет кешкі ас билерін жасадық, есіңізде ме? Бренда: Иә! Біз бәріміз ұзын көйлектерімізді киіп, ер адамдар кешкі көйлектерін киіп, керемет естеліктер! Сандра: Сіз әлі де Листердің қыздарын көресіз бе? Бренда: Жоқ, бірақ мен Мариголд Картердің қайтыс болғанын естідім, өте қайғылы. Сандра: Сәлем Брен, менде ой пайда болды! Листердің қыздары үшін кездесу ұйымдастырып, оларды әлеуметтік желілерден іздесек қалай болады? Бренда: Шын мәнінде, мен де солай ойлап жүрдім! Тек сен екеуміз кездескіміз келе ме? Мен кез келген уақытта Бирмингемге келе аламын. Сандра: Керемет болар еді! Келесі сенбіде мұны істей аласыз ба? Біз шамамен 11-де кездесіп, түскі ас ішіп, естеліктер жолымен саяхаттай аламыз! Бренда: Иә! Маған ұнайды! Пойыз уақыттары туралы жақын арада хабарласамын! Сандра: Жарайды! Қош бол, жаным!","Сандра мен Бренда 25 жыл бұрын киім фабрикасында бірге жұмыс істеген. Сандра әлі күнге дейін Кингс Нортонда тұрады. Бренда қазір Стоукта тұрады. Оның күйеуі Билл 5 жыл бұрын қайтыс болды. Олар келесі сенбіде сағат 11 шамасында Бирмингемде түскі ас ішу үшін кездеседі. Олар Листердің қыздары үшін кездесу ұйымдастырғысы келеді."
"13681082","Агата: Менің презентациям дайын, әңгімелесіп отырғанда :) Адам: керемет, қай курс? Агата: Экономика. Адам: Қызықты ма? Яғни... сіздің презентацияңыз. Агата: Әрине, мен соңғы зерттеулерді пайдаландым. Адам: Не істеп жатқаныңызды білетін сияқтысыз :P Агата: Мен экономикаға қатты қызығамын :) Адам: бұған күмәнім жоқ.","Агата экономика бойынша презентациясын аяқтағандықтан өзін мақтан тұтады. Ол экономикаға қатты қызығушылық танытады."
"13682447","Мег: әлі мектепте ме? Энн: менің қосымша математика сабақтарым бар Мег: сенімен қашан кездессем болады? Энн: мен үйде сағат 7-де боламын"," Энн әлі мектепте. Ол сағат 7-де үйде болады, сол кезде Мегпен кездесе алады."
"13680607","Лаура: ертең қайда барамыз? Линда: мүмкін осы итальяндық мейрамхана шығар? Лаура: хмм жарайды Линда: маған олардың макарондары ұнайды Линда: және брауни :) Лаура: менің ойымша, сен тәтті жемейсің Линда: бұл брауни онша тәтті емес","Линда мен Лаура ертең итальян мейрамханасына барады."
"13681987"," Фиона: сәлем Анна: сәлем Фиона: менімен бірге дәрігерге бара аласыз ба? Фиона: маған қолдау керек Анна: иә, әрине Фиона: көп рақмет Фиона: ертең таңғы сағат 8-де","Анна ертең таңғы сағат 8-де Фионамен бірге дәрігерге барады"
"13731177","Паркер: сен Arrowverse туралы бірдеңе білесің бе Джейсон: иә Паркер: сен мұның бәрі DC әлемімен байланысты екенін білесің бе Джейсон: мұны білу қиын болған жоқ Парк Паркер: иә, достым, білемін, бәрібір.. Джейсон: саған Marvel-ден гөрі DC әлемі ұнайды, солай ма? Паркер: әрине Джейсон: иә, мен де Паркер: айтпақшы, сен Arrow 7-маусымының соңғы эпизодын жүктеп алдың ба Джейсон: әлі жүктеліп жатыр Паркер: біткеннен кейін маған хабарлама жаз Джейсон: USB-сіз келме Паркер: иә, білемін -_- Джейсон: керемет","Паркер мен Джейсон екеуі де Marvel-ге қарағанда DC Universe-ті артық көреді. Джейсон әлі де Arrow 7-маусымының соңғы эпизодын жүктеп алып жатыр."
"13611508"," Марта: Сәлем, саған сұрақ қойсам бола ма? Офелия: Біз бір-бірімізді танимыз ба? Марта: Танымаймыз, бірақ профиль суретіңдегі линзалар туралы сұрасам қарсы емессің бе? Олар керемет және мен ұқсас линзаларды сатып алғым келеді. Офелия: бұл Crazy Lenses компаниясынан. Олардың бағасы қолжетімді және жеткізу жылдамдығы өте жоғары. Марта: Рақмет!!! Мен оларды тексеремін :) Офелия: Ешқандай мәселе жоқ :)","Марта Офелияның линзаларын ұнатады және соған ұқсас линзаларды сатып алғысы келеді. Офелия оларды Crazy Lenses дүкенінен алған."
"13682597"," Клинт: бүгін жақсысың ба? Элис: онша емес Элис: Мен ешқашан мұндай қорқынышты тұмаумен ауырған емеспін Элис: Мен өліп бара жатқан сияқтымын Клинт: ақымақ болма Клинт: бұл жай ғана тұмау Элис: Білемін, бірақ бүкіл денем ауырады, қызуым көтеріліп, үнемі түшкіріп жүремін Элис: Мен 10 күн үйдемін және маған тағы қажет сияқты Клинт: байғұс :( Клинт: вакцина қалайша көмектеспеді? Элис: Мен ешқандай вакцина алған жоқпын Клинт: неге? Элис: Білмеймін, жай ғана ұмытып кетіппін Элис: енді менің салдарым бар :(","Алиса қатты тұмаумен ауырып қалды. Ол өзіне вакцина егуді ұмытып кетіпті."
"13681924"," София: Кешіріңіз Мейсон: Бәрі жақсы София: Жарайды... Егер сіз қасыңызда болсаңыз, кешірім сұрағаныңыз үшін ыстық сүйіс берер едім Мейсон: Ха-ха-ха. Сіз маған әлі де бір сурет жібересіз София: Қандай сурет? Мейсон: Сүйіс суреті. Ха-ха София: Хе-хе Мен сізге ондай сурет жібердім Мейсон: Тағы біреуі зиян тигізбес еді София: Мүмкін кейінірек :) Мен душ қабылдап, жақсы көрінген кезде Мейсон: Ал қазір жақсы көрінбейсің деп кім айтты? София: Мен Мейсон: Мен мұны өзім шешейін София: Жоқ Мейсон: Мен сізді әлі де солай жақсы көремін. Боянғаныңыз немесе көрінбегеніңіз үшін София: Хе-хе, бірақ мен жақсы көрінбеген кезде мені көргеніңізді қаламаймын Мейсон: Сен София: Не істеуім керек? Мейсон: Маған қазір сүйіс жіберіңіз София: Ха-ха Мейсон: Қалай көрінгеніңіз маңызды емес, сіз маған бәрібір жақсы көрінесіз София: Ха-ха София: <файл_фото>","София Мейсоннан кешірім сұрайды. Ол Мейсонның өтініші бойынша оған сүйіспен түскен суретін жібереді."
"13716051","Инез: Құрметтілерім, кешіміз мені әрі қарайғы тамақ кештерін жоспарлау үшін осы топтық әңгіме құруға шабыттандырды :) Инез: Келесіге менің ұсынысым: <file_photo> Алицья: Уау, осының арқасында жұмысқа баруға қуанышты боламын :D Госия: Жұмысқа баруға қуаныштымын және одан кетуге одан да қуаныштымын haha Алицья: 9 бен 17 аралығындағы уақыттың босқа өтетіні өкінішті :P Патриция: Кешіміз маған қатты ұнады, тіпті пицца да дәмді болды :) Қыздар, ұнады ма? Инез: Маған ұнады, Госия шынымен де керемет орын таңдады :) Госия: Мен тамақтанудың маманымын :D Алицья: Инез жіберген мейрамханада болдыңыз ба? Госия: Жоқ, бұл мүлдем жаңа. Бірақ мен жақсы пікірлер естідім! :D Патриция: Және бұл біздің әлемдік тағамдарды зерттеу тақырыбымызға сәйкес келеді :) Алицья: Алдымен Италия, енді Корея! :D Инез: Сонымен, мұны қашан қайтадан жасай аламыз? Госия: Білмеймін, бірақ мерекелерге дейін солай істеуіміз керек! Патрисия: Екі аптадан кейін жұмысымыз аз болады, сәрсенбіде тағы да баруымыз мүмкін бе? Алисия: Маған жақсы естіледі! Инез: Мен де :D","Патрисия мен Инез итальяндық кештен ләззат алды. Госия керемет орын таңдады. Алисия жаңа мейрамханаға бармаған. Олардың барлығы екі аптадан кейін сәрсенбіде корей кешін өткізгісі келеді."
"13729285","Джемма: Қалайсың? Тимми: 2 күндік демалыс. Джемма: Иә? Тимми: Ой, жұмыстағы жаман күн. Елестетіп көрші? Бастық маған ашуланды! Джемма: Сол қаншық! Не істедің? Тимми: Ештеңе. Өз шаруаларыммен айналысып, жұмыс істерімен айналысып, кенеттен айқайлап, айқайлай бастады. Маңызды емес. Ал сен ше? Джемма: Бұл сені біраз көңілдендіреді деп ойлаймын :) Тимми: Не болды? Джемма: Мен демалыс күндері барбекю ұйымдастырып жатырмын :) барғым келе ме? Тимми: Жақсы көремін! Не әкелейін? Джемма: Шарап болса жақсы болады. Тимми: Тамақ ше? Джемма: Басқалары мен мен оны жабамын. Тимми: Басқалары? Мен кездесу деп ойладым :P Джемма: Менің жігітім бар екенін есіңде ме, солай ма? Тимми: Иә. Тек ойнап жүрмін ;) қанша адам бар? Джемма: Әлі білмеймін.","Тиммидің жұмыстағы күні жаман өтті. Тимми демалыс күндері Джемманың барбекюіне шарап әкеледі."
"13863014"," Приссилла: Сен қатты қиналдың, Стюарт Сту: Құдайым-ау, мен бұл жолы не істедім? Приссилла: Мен саған жаңа ноутбугыма Microsoft Office бағдарламалық жасақтамасы керек екенін айттым Сту: Иә, солай ма? Мен саған сол дискіде бергенім осы. Приссилла: Жоқ, сен ақымақ бала, сенің IT досың ақымақ Сту: Алекс нені дұрыс істемеді? Приссилла: Ол жаңа ғана Open Office және басқа да бағдарламаларды жүктеп алып, CD-ге салды. Сту: Не ғой? Приссилла: Ол солай істеді, мүмкін сен тексеріп көруің керек еді. Сту: Қарғыс атсын Приссилла: Иә, қарғыс атсын Сту: Мен оған айтамын. Приссилла: Жоқ, мен бағдарламалық жасақтаманы интернеттен сатып алдым. Сту: Ой, Приссилла: Егер мен саған досың Алекске бірдеңе әкел десем, мені аяғыма атып таста. Сту: Жарайды... қарғыс атсын :("," Присцилла Стуға ашулы, себебі оның досы Алекс оған дұрыс бағдарламалық жасақтаманы бермеді. Присцилла оны интернеттен сатып алуға мәжбүр болды."
"13730778","Агги: Жұмысқа қашан кірісесің? Питер: сағат 8-де Питер: неге? Агги: жоқ, жаңа жұмысқа қашан кірісесің? Питер: иә, 6-сында Агги: Жарайды, мен бала күтушіні табамын, онда Питер: лол тегін бала күтуші керек еді Агги: иә, кешір :P","Питер жаңа жұмысын 6-шы күні бастайды. Питер тегін бала күтушіні іздеді. Агги бала күтушіні ұйымдастырады."
"13730772"," Худа: жүзуге барамын, қосылғым келе ме? Алекс: сенімдімін.. сағат нешеде? Худа: 2 сағаттан кейін Алекс: жарайды, мен сонда боламын, Худа: көріскенше","Алекс екі сағаттан кейін Худамен бірге жүзуге барады."
"13829254"," Ола: Ей, кешігіп жатырмын Ола: Мен сағат 8-ге дейін бос болуым керек Курт: Әрине, мәселе жоқ, маған қоңырау шалыңыз","Ола сағат 8-ге дейін босатылуы керек. Курт оның өзіне қоңырау шалуын қалайды."
