"мәтін","жапсырма"
" Мушарраф Кашмир мәселесінің шешіміне үміт артады ИСЛАМАБАД, ПӘКІСТАН: 10 қараша (SADA) - Президент генерал Первез Мушарраф сейсенбі күні Кашмир мәселесі бойынша жақында ұсынған нұсқалар бойынша пікірталас Пәкістан мен Үндістанды ондаған жылдар бойы жалғасып келе жатқан даудың шешімін табуға жақындатады деп үміттенді.","0"
" ANZ IT шығындарын арттырды. Банктің 2004 жылғы жыл сайынғы Roadshow презентациясына сәйкес, осы жылдың бірінші жартысында аяқталып, пайдалануға берілген 100 миллион долларлық жаңа бөлшек сауда платформасы және сәйкестік құнының өсуі өсімнің негізгі қозғаушы күштері болды.","2"
" Citigroup компаниясының Кроучегі қаржы және стратегия жөніндегі бас директор болып тағайындалды (Update2) Әлемдегі ең ірі банк Citigroup Inc. компаниясы Салли Кроучекті бас қаржы директоры және стратегия жөніндегі басшы етіп тағайындады, бұл оны Уолл-стриттегі ең жоғары лауазымды әйел етіп, оған брокерлік индустриядан тыс міндеттер жүктеді.","2"
"Мұнайдың жоғары бағасы рецессияға әкеле ме? (AP) AP - Соңғы үш онжылдықта АҚШ-тағы барлық рецессиялардың факторы болған мұнайдың жоғары бағасы биыл тағы да көтеріліп келеді. Шикі мұнай бағасы неғұрлым жоғары болса, энергия шығындары соғұрлым көп қауіп төндіреді, бұл жақында ғана көпшілік АҚШ экономикасы үшін маңызды жыл болады деп күткен нәрсе.","2"
" Ұялы телефон #39; саңыраулық #39; тәуекелі p2pnet.net Жаңалықтар:- Siemens 65 сериялы ұялы телефондардағы ақаулар саңыраулыққа әкелуі мүмкін, дейді компания. «Ерекше жағдайларда бұл дыбыс деңгейі есту қабілетінің бұзылуына әкелуі мүмкін.","3"
"БЛОГ Merriam-Webster #39;s сайтындағы ең көп қаралған әлем...&lt;/b&gt; Ескі және жаңа медиа арасындағы айырмашылықты білдіретін төрт әріптен тұратын термин АҚШ сөздік баспагері Merriam-Webster #39;s сайтының жылдың 10 сөзінен тұратын тізімінде көш бастады.","3"
" Тұтыну бағалары төмендеді, салалық өнім өсті ВАШИНГТОН (Reuters) - АҚШ-тағы тұтыну бағалары шілде айында сегіз ай ішінде алғаш рет төмендеді, себебі энергия бағасының күрт өсуі кері қайтты, деп хабарлады үкімет пайыздық мөлшерлемелердің баяу өсуі мүмкін екенін айтқан есебінде.","2"
"Дарфурға көбірек африкалық әскерлер жіберілді Германия Африка Одағының көбірек әскерлерін орналастыруға көмектесу үшін Суданның қиын Дарфур аймағына үш ұшақ жіберді.","0"
" Агасси Вердасконың күшін жеңді СТОКГОЛЬМ (Reuters) - Андре Агасси жұма күні Стокгольм ашық чемпионатының жартылай финалына шығып, турнирдегі ең қиын кездесуінде сегізінші орындағы испаниялық Фернандо Вердасконы 7-6, 6-2 есебімен жеңді.","1"
" Microsoft Үндістанда жаңа бағдарламалық жасақтама әзірлеу бөлімшесін ашты (AFP) AFP - Microsoft Үндістанның екінші ірі бағдарламалық жасақтама фирмасы Infosys Technologies-пен бірлесіп, өндіріс, банк және автомобиль компанияларына бағдарламалық жасақтама және кеңес беру қызметтерін ұсынатынын мәлімдеді.","0"
" Марк Кубан dot-com redux тілшісінің дәптерін ұсынады САН-ФРАНЦИСКО - Сейсенбі күні Web 2.0 конференциясының салтанатты ашылу банкетінде үміт пен цинизм тең аяқталды, ал сериялық кәсіпкер және реалити-шоу жүргізушісі Марк Кубан 10 жылдық болашақ туралы әңгімелеу үшін сахнаға шықты.","3"
"HP компаниясы Itanium әзірлемесін тоқтатты Hewlett-Packard Co. (HP) чип жасау бизнесінен шығып жатыр. Калифорния штатының Пало-Альто қаласындағы компания бейсенбі күні Intel Corp компаниясымен келісімге келгенін хабарлады.","3"
" Бенитес тактикалық жаңартуды жоспарлап отыр Рафаэль Бенитес ертең Ливерпульдің бас бапкері ретіндегі алғашқы еуропалық маусымын бастайды, ойыншыларына құрлықтың ең үздік командалары ағылшын тактикасын дұрыс таңдағанын ескертеді.","1"
"Лоеб раллиден қуылды ЭСТОНИЯ №39; Маркко Мартин бүгін Каталония раллиінде көш бастады, өйткені түнде көшбасшы болған, жаңадан әлем чемпионы Себастьян Лоеб мұнайдың қатты ағып кетуіне байланысты жарыстан қуылды.","1"
"Жаңа тағайындаулар Мушаррафтың 31 желтоқсаннан кейін COAS қызметінде қалатынын көрсетеді ИСЛАМАБАД: Әскери сарапшылар Біріккен штаб бастықтары комитетінің жаңа төрағасы және Армия штабы бастығының орынбасары тағайындалғаннан кейін президент генерал Первез Мушаррафтың 31 желтоқсаннан кейін де Армия штабының бастығы лауазымын сақтап қалатыны анық екенін айтты.","0"
" Леман құмар ойыншыларды мақсат етеді АМЕЛИЯ АРАЛЫ - Том Леман әлі АҚШ Райдер Кубогының келесі капитаны қызметіне ресми түрде кіріспеген еді, ал оның телефоны шырылдап жатты.","1"
"Сақтандыру тергеуі бойынша басшылар қызметінен босатылды ACE кеше Нью-Йорктің бас прокуроры бастаған салалық тергеуге жауап ретінде өзінің бизнес тәжірибесіндегі өзгерістер туралы жариялаған соңғы сақтандыру компаниясы болды.","2"
" Катмандудағы жарылыстан 30 адам жарақат алды Непал астанасы Катмандуда болған жарылыстан кем дегенде 30 адам жарақат алды. Полицияның мәліметінше, бұл бомба болған. Жарылыс құрылысы жүріп жатқан үкіметке тиесілі 39-шы Қызметкерлер қорының ғимаратына тиген.","0"
" Avis миллиондаған доллар шығынға IT саласын кінәлайды Автокөлік жалдау компаниясы IT саласындағы мәселелерге, соның ішінде ERP жобасымен байланысты жоғары шығындарға байланысты үлкен шығынға ұшырады.","3"
" 22 Өз байлығын жұмсады, біреуі Өкілдер палатасында жеңіске жетті (AP) AP - Конгреске алғашқы сайлауында жеңіске жету үшін әрқайсысы өз қаражатынан 36,1 миллионнан астам қаражат жұмсаған 22 кандидаттың тек біреуі ғана жеңіске жетті.","0"
" Слуман мен Берд көшбасшылықты бөлісті; көптеген көпіршіктер жарылды Джефф Слуман мен Джонатан Берд Chrysler чемпионатында көшбасшылық үшін тең түсті, екеуі де турнирдің шынымен де демалыс күндері басталмайтынын білді.","1"
" АҚШ-та онлайн жарнама 43%-ға өсті НЬЮ-ЙОРК - АҚШ-тың интернет жарнамасынан түскен кірісі екінші тоқсанда рекордтық 2,37 миллиард АҚШ долларына (3,5 миллиард АҚШ доллары) жетті, бұл дотком дәуірінің ең жоғары деңгейлерінен асып түсті.","2"
"«Колтстың» қиын кестесі Теннессимен жалғасуда. (AP) AP - Қорғанысты сынау туралы әңгіме: Индианаполис Колтс маусымды Том Брэдиге қарсы бастады, осы аптада Стив МакНейрмен, содан кейін Бретт Фаврмен кездеседі. Олар Пейтон Мэннингтің өз командасында ойнайтынына қуанышты.","1"
" Microsoft-тың үлкен шешімі: Қауіпсіздік патчы нарықта Соңғы бірнеше жылда вирустар Microsoft операциялық жүйесіне, веб-шолғышына немесе электрондық пошта бағдарламаларына апта сайын шабуыл жасап келеді.","3"
" ХВҚ-ның басқарушы директоры Родриго Рато АҚШ бюджет тапшылығын қысқартуы керек дейді (AFP) AFP - Америка Құрама Штаттары фискалдық және сауда тапшылығын қысқартуы керек, ал Еуропа мен Жапония экономикалық өсімді ынталандыру үшін шаралар қабылдауы керек, деп мәлімдеді ХВҚ-ның басқарушы директоры Родриго Рато.","2"
" PeopleSoft тұтынушылары Oracle Corp компаниясының президенті Чарльз Филлипс дүйсенбіде PeopleSoft Inc. тұтынушылары екі бағдарламалық жасақтама компаниясының бірігу мүмкіндігіне сенімді бола бастағанын, тіпті ұсынылған мәміле Делавэр сотының маңызды шешімін күтіп тұрғанына қарамастан, мәлімдеді.","2"
" Француз оқушылары бас орамалға жаңа тыйым салумен бетпе-бет келді ПАРИЖ - Иракта екі французды кепілге алған ислам радикалдарының бұл заңды алып тастау талабы аясында сыныптарда исламдық бас орамалға тыйым салатын жаңа заң күшіне енгеннен кейін, бейсенбі күні миллиондаған француз оқушылары мектепке оралды. Заңға қарсы шыққан Франциядағы мұсылман көшбасшылары сабаққа оралу үшін тыныштық сақтауға шақырды...","0"
"Бекхэм әлем чемпионатынан кейін Англия құрамасынан кетуі мүмкін Англия құрамасының капитаны Дэвид Бекхэм 2006 жылғы әлем чемпионатынан кейін халықаралық футболдан кетуді ойластырып жатқанын айтты. 29 жастағы «Реал Мадрид» жартылай қорғаушысы клубтық мансабын жалғастырғысы келеді.","1"
" Стюарт жазасын тезірек өтеуді сұрады НЬЮ-ЙОРК, 2004 жылғы 15 қыркүйек - Миллионердің атқарушы директоры Марта Стюарт сәрсенбіде биржа саудасы туралы өтірік айтқаны үшін түрме жазасын мүмкіндігінше тезірек бастау туралы шешім қабылдағанын мәлімдеді.","2"
"Финли - аутфилдтегі жаңа «Ангел» ойыншысы. Кеше «Ангелс» командасы негізгі аутфилдтегі ойынын аяқтап, Калифорния штатының Анахайм қаласындағы бейсболдың қысқы кездесулері бастала бастағандықтан, орталық алаң ойыншысы Стив Финлимен екі жылдық 14 миллион долларлық келісімшартқа қол қойды.","1"
"Экономикалық шегі: Экономикалық апта Федералдық резерв губернаторы сөз сөйледі (12:45 pm ET) Федералдық резерв губернаторы Марк Олсон Торонтодағы дөңгелек үстел түскі асында экономикалық болжамы туралы айтып берді.","2"
"Эллисон: Цензура менің мәселем емес Oracle компаниясының бағдарламалық жасақтамасын жарнамалауға келгенде, бас директоры Ларри Эллисон ешқашан сөзін бөліп айтпайды. Бірақ сөз бостандығы мен құдіретті доллар арасындағы айырмашылық туралы сөз болғанда, Кремний алқабының жаман баласы нағыз кішірейіп бара жатқан күлгін адам болып шығады. Жоғалған сілтемелер","3"
" Арафаттың денесі жерлеу рәсіміне Каирге жеткізілді Марқұм Палестина президенті Ясир Арафаттың денесі Парижден Каирге әскери жерлеу рәсіміне келді, оған әлемнің түкпір-түкпірінен президенттер мен басқа да жоғары лауазымды тұлғалар қатысады.","0"
"Рапидс MLS плей-оффына жолдама алды (AP) AP - Дуэйн ДеРосарионың 82-ші минуттағы голы Сан-Хосе Эртквейксті сенбі күні кешке Колорадо Рапидспен 1-1 есебімен теңестірді.","1"
" Досыңызға электрондық пошта арқылы жіберу Бұл оқиғаны басып шығару Өмірдегі қарапайым нәрселермен шектелмей, Microsoft компаниясы MSN Music қызметінің алдамшы қарапайым хабарландыруымен мобильді медиа саласындағы крест жорығына шыққан сияқты.","3"
" Шаукат Азиздің профилі: экономикалық реформатордан премьер-министрге айналған Шаукат Азиз сенбі күні Пәкістанның 23-ші премьер-министрі қызметіне кірісіп, банкротқа ұшыраған экономикаға жаңа өмір сыйлаған бұрынғы жеке банкир.","0"
" Zanu Pf-те жақсы нәрсе бар. СЕНІҢІЗ БЕ, СЕНБЕҢІЗ БОЛСЫН, менің әлі де Zanu PF-ті қолдайтын жеке достарым бар, олармен анда-санда араласып тұрамын. Алайда, олардың бірімен саяси келіспеушіліктеріміз жеке қарым-қатынасымызға әсер ете бастады.","0"
" NetRatings сауалнамасы АҚШ-та кеңжолақты интернет пайдаланушыларының басым көпшілігін құрағанын көрсетеді, 2004 жылғы 18 тамыз (IDG NEWS SERVICE) - NetRatings Inc. жүргізген сауалнамаға сәйкес, АҚШ-тағы үйдегі интернет пайдаланушыларының көпшілігінде қазір кеңжолақты интернет бар.","3"
"АҚШ киберқауіпсіздік басшысы қызметінен кетті Амит Йоран Ішкі қауіпсіздік департаментіне қосылғаннан кейін бір жылдан астам уақыт өтті.","3"
" АҚШ Еуропалық қысымға қарсы болғандықтан, доллар бойынша келісімге қол жеткізілмеді. Кеше Еуропа мен Жапония 20 индустриалды және дамушы елдердің тобының кездесуіндегі келіссөздерге қарамастан, АҚШ-ты доллардың төмендеуі мәселесін шешуге көндіре алмады.","2"
" Үндістан, Спорт; Янкович жартылай финалға шығу үшін Шараповамен күш сынасады. Бұл жеңіс әлемнің 36-шы ракеткасы Янковичтің қазіргі жасөспірім теннисші Шараповамен кездесуіне мүмкіндік береді, ол бір ойыннан кейін мұнда тек бір ғана матч өткізіп, ширек финалға шықты.","1"
"Судья Коби Брайанттың дәлелдемелерін жариялауға рұқсат берді (AP) AP - Сәрсенбіде судья Коби Брайанттың жыныстық зорлық-зомбылық ісіндегі құжаттар мен басқа да дәлелдемелерді жариялауға жол ашты.","1"
" mmO2: i-mode іске қосылуы mmO2 мен NTT DoCoMo Ұлыбританияда i-mode мобильді қызметін іске қосуды жоспарлап отырғаны белгілі болып көрінеді. 2004 жылғы 26 қараша, сағат 16:35 GMT (Datamonitor) - NTT DoCoMo мен mmO2 арасындағы i-mode мобильді мазмұнын Ұлыбританияға әкелу үшін көпшіліктің назарын аударған келісім аяқталған сияқты.","3"
"Түнгі жарық қатерлі ісік қаупін тудыруы мүмкін Эд Эдельсон, HealthDay тілшісі HealthDayNews -- Электр жарығы қатерлі ісік қаупін тудыруы мүмкін бе? Бұл ең жабайы параноидтық сенімдер сияқты көрінуі мүмкін, бірақ ғалымдардың саны артып келеді, бұл шындыққа жанасуы мүмкін деп күдіктенеді. Себебі: қараңғы түскеннен кейін жарықты қосу жасушалардың қалай өмір сүретінін, өлетінін және жұмыс істейтінін басқаруда маңызды рөл атқаратын аздаған «сағат гендеріне» әсер етуі мүмкін, деп болжайды бұл зерттеушілер...","3"
"Футбол: Испания Футбол Ассоциациясы (ФА) нәсілшілдікке негізделген айқай-шуларға байланысты кешірім сұрады. Испания Футбол Ассоциациясы (ФА) нәсілшілдікке негізделген айқай-шуларға байланысты ағылшын әріптестерінен кешірім сұрады.","0"
"Apple iPod Жапонияда басымдыққа ие Джулиана Сасаки iPod mini сатып алмас бұрын Токиода Sony компаниясының сандық музыка ойнатқышын тексеріп көрмеген. «Мен Sony және басқа компаниялардың MP3 ойнатқыштары бар екенін білетінмін, бірақ олар mini-ді жеңе алмайды», - дейді 23 жастағы тіл мұғалімі Сасаки.","3"
" Есеп: EADS Thales компаниясымен байланыс орнатуы мүмкін Франция үкіметі аэроғарыштық алып компания құру үшін European Aeronautic Defence & Space Co. компанияларын Thales SA компаниясымен біріктіруді қарастырып жатыр, деп хабарлады жұма күні Les Echos қаржылық басылымы.","2"
"Microsoft бәсекелестері қызметінен кеткеннен кейін тыңдау белгіленді Microsoft корпорациясының Еуропалық Одақ санкцияларына қарсы апелляциясын қарастырып жатқан судья бейсенбі күні тағы екі ірі оқиғадан кейін қандай шара қолдану керектігін шешу үшін жабық отырыс өткізді.","2"
"«РЕЙВЕНС» ҮШІН КҮТІМДЕР Балтимор «Рейвенс» командасы бір айға дейін негізгі шабуыл қаруларының бірінен айырылуы мүмкін. «Рейвенс» командасының бапкері Брайан Биллик дүйсенбіде екі дүркін Pro Bowl тайт-энді Тодд Хип оң тобығының қатты созылуына байланысты екі-төрт апта бойы ойыннан тыс қалуы мүмкін екенін айтты.","1"
"Футбол жаттықтырушысы Раймонд Гетальс 83 жасында қайтыс болды (AP) AP - 1993 жылы «Олимпик Марсель» командасын Еуропа чемпиондары кубогының титулына жеткізген бельгиялық футбол жаттықтырушысы Раймонд Гетальс дүйсенбі күні 83 жасында қайтыс болды, деп хабарлайды жаңалықтар.","1"
"Хостингтелген электрондық пошта қызметі Windows жүйесін Linux үшін қалдырады. Компания электрондық поштаны шағын және орта бизнес үшін аутсорсингке береді.","3"
" Пауэлл Солтүстік Кореяға қару-жарақ келіссөздері бойынша қысым көрсетті АҚШ Мемлекеттік хатшысы Колин Пауэлл (сол жақта) Жапония премьер-министрі Дзюнитиро Коидзумимен жексенбі, 2004 жылғы 24 қазанда Токиодағы Сыртқы істер министрлігінің қосымша ғимаратында кездесу алдында қол алысып тұр.","0"
" Падж мен Гильен жарақаттармен кетті. «Жолбарыстар» сенбі күні «Егіздерге» қарсы ойында тізе жарақаттарынан кейін екі жұлдызды ойыншысын, шортстоп Карлос Гильен мен қақпашы Иван Родригесті жеке ойындарда жоғалтты.","1"
" IBM компаниясының дербес компьютерлер бизнесінен шығуы оның алғашқы қадамы болып, төңкеріс жасаған саламен ұзақ қоштасу болып табылатын соңғы қадам болар еді.","2"
" Epiphany байланыс орталығының CRM бағдарламалық жасақтамасын жасаушы Epiphany Inc. компаниясы осы аптада коммуникация және бөлшек сауда қаржы салаларына бағытталған екі жаңа өнім мен тік арнайы пакеттерді қоса алғанда, жаңа аналитикалық бағдарламалық жасақтаманы шығаруда.","3"
" «Блэкберн» командасының нәсілшіл жанкүйері бес жылға дисквалификацияланды Кеше футбол жанкүйері «Бирмингем Сити» шабуылшысы Дуайт Йоркті нәсілшілдікке балағаттап қорлағаны үшін кінәсін мойындағаны үшін 2400 доллар айыппұл төлеп, бес жылға дейін футбол алаңына кіруге тыйым салынды.","1"
" Hasbro компаниясының No Conehead бағдарламасының ""Trivial Pursuit"" әнінің сенбідегі түнгі тікелей эфирдегі нұсқасы жас ерекшеліктерінен асып түсудің жақсы стратегиясы болып табылады.","2"
" Стилердің қосалқы ойыншылары өз жұмыстарын атқарып жатыр. Нью-Ингленд Патриоттары жексенбі күні түстен кейін Питтсбург Стилерспен кездесу үшін қалаға келгенде, футбол ойынының соңғы нәтижесі маусымның қалған бөлігінде қара және алтын түстес командаларға қажетті маңызды ақпараттан кейін екінші дәрежелі болуы мүмкін еді.","1"
" Поның жағдайы нашарлап барады - дәрігерлер (2-ші ЖАҢАРТУ) ФИЛЬМ актері Фернандо По кішінің жағдайы нашарлады, деп хабарлайды дәрігерлер дүйсенбіде шығарған хабарламада. Ол әлі комада және көптеген мүшелер жүйесіне зақым келген.","0"
" Еуропа Окленд Хиллзде алға шықты Блумфилд Хиллз, Мичиган (Рейтер) - Колин Монтгомери жұма күні 35-ші Райдер Кубогында төрт алғашқы төрт матчтың үшеуінде Америка Құрама Штаттарын басқарып, Еуропа чемпионын ерте шабуылға шабыттандырды.","1"
"Мінсіз айып добын қалай алу керек Спорт психологы футболшылардың жоғары қысымды айып добына қалай дайындалу керектігін айтады.","3"
"Сенбідегі қыс: Испаниядағы бейбітшілік бастамасы кеше Англия құрамасының өкілі Бекхэмнің Мадридте Англия құрамасының ашулы ойыншылары мен олардың зардап шеккен испандық әріптестері арасындағы үлкен оқиғаның алдын алғанын көрсетті.","1"
" «Марта Стюарт жазасын өтеу кезінде түрмеге жазасын өтеу үшін келді, бұл оның елдегі әйелдерге арналған ең көне федералды түрмеге келуіне тура келді», - делінген Түрмелердің Федералдық бюросының мәлімдемесінде.","2"
" Астрономдар кометаларды жару миссиясына дайын NASA және университет астрономдары кометамен соқтығысып, зерттеушілерге күн жүйесінің мұзды кезбелерінің ішіне шолу жасайтын ғарыш зондының ұшырылуын асыға күтуде.","3"
" Францияда әлемдегі ең биік көпір ашылды. Сейсенбі күні Францияның оңтүстігінде президент Жак Ширак әлемдегі ең биік көпірді ресми түрде ашты - бұл инженерлік жетістік, ол көлік жүргізушілерін Тарн өзенінің аңғарынан 270 м биіктікке көтереді.","0"
" БҰҰ сарапшылары кең ауқымды өзгерістерді ұсынды БІРІККЕН ҰЛТТАР ҰЙЫМЫ, Нью-Йорк Біріккен Ұлттар Ұйымы өз тарихындағы ең кең ауқымды өзгерістерді ұсынды, оның жоғарғы шешім қабылдау тобы - Қауіпсіздік Кеңесін қайта қарауды ұсынды және оның алдын ала шешім қабылдауға заңдылық беру мүмкіндігін алға тартты.","0"
" Судья Мэриленд штатының спамға қарсы заңын қабылдамады Монтгомери округінің судьясы Мэриленд штатының спамға қарсы заңы конституцияға қайшы келеді, себебі ол штат шекарасынан тыс жердегі іскерлік операцияларды реттеуге бағытталған.","3"
"ЕО қауіпсіз интернетті талап етеді ЕО Телекоммуникация Кеңесі бүгін ата-аналар мен мұғалімдерге балалардың интернетте не көретінін бақылауға көмектесетін Safer Internet Plus бағдарламасын іске қосты.","3"
"Зерттеулер сөзсіз қозғалыста Blackberry сымсыз құрылғы өндірушісі күткеннен де асып түсуге тырысуда.","2"
" Apple компаниясы интернетте ақпараттың таралуына байланысты сотқа шағымданды (Reuters) - Apple Computer Inc. компаниясы интернетте ақпарат жариялау арқылы жаңа өнімдер туралы мәліметтерді жария еткен белгісіз адамдарды сотқа беріп жатыр, деп хабарлады жұма күні сот құжаттарында.","3"
" Gold Fields компаниясының сауда-саттығында ұшқындар ұшқындай түсті. Gold Fields компаниясын бақылау үшін 8,1 миллиард долларға (4,5 миллиард доллар) созылған күрес осы аптада Harmony Gold Mining компаниясы өзінің нысанасына қарсы жаңа шабуыл жасаған кезде одан да қызу жүре түседі.","2"
" Вествуд сынаққа дайын. Жолдың ұштарынан 7800 ярдқа созылған, жолдың қисық сызығы жоғары, ені 100F, жасыл желек жылдам және берік, шыдай алмайды, ал кеше қатты желмен күресуге тура келді.","1"
" Nortel компаниясының кейбір бухгалтерлік есептері өзгерген жоқ Nortel Networks Corp. (NT.TO: Дәйексөз, профиль, зерттеу) сәрсенбіде өзінің ақаулы қаржылық есебін кең ауқымды қайта қарау үшін белгілі бір талшықты-оптикалық жабдықтарды сату бойынша бухгалтерлік есепті өзгерту қажет емес екенін мәлімдеді.","2"
" Сыра қайнату зауытының сатып алушысы дүйсенбіде көлеңкеден шығады деп күтілуде, МИЛУОКИ - Пол Аттанасио ағасының бейсбол командасын сатып алуы туралы әңгіме Голливудтан алынған сценарий сияқты екенін айтады. Ол мұны білуі керек.","2"
"Цунамиден зардап шеккен Тайландта полиция балаларды жыныстық саудагерлер ұрлап кеткен деп қорқатын швед баласын іздестіруде.","0"
"Германия 2006 жылғы әлем чемпионатын бастайды ФРАНКФУРТ, ГЕРМАНИЯ -- ФИФА-ның ұйымдастыру комитеті сәрсенбі күні хабарлағандай, үй иелері Германия 2006 жылғы әлем чемпионатының ашылу матчында ойнайды.","1"
"Зейле соңғы рет ұстайды Арт Хоу жұма күні кешке зейнетке шыққан Тодд Зейленің тілегін орындайды: Зейле Том Главейнді Питтсбургте ұстайды, бұл оның 14 жыл ішінде алғаш рет тақтай артында қалуы.","1"
" АҚШ тұтынушыларының сенімі жұмыспен қамтудағы қиындықтардың күшеюіне байланысты екінші ай қатарынан төмендеді (AFP) AFP - Конференция кеңесінің мәліметінше, жұмыс орындарына деген болжам нашарлағандықтан, қыркүйек айында АҚШ тұтынушыларының сенімі екінші ай қатарынан төмендеді.","2"
" Эрнхардт: Ұпай емес, ақша алыңыз. Дейл Эрнхардт кіші NASCAR-дың басқа жүргізуші осындай қателік жібермес бұрын теледидар мен радио хабарларында балағат сөздер айтқаны үшін жазасын өзгертуін қалайды.","1"
" FCC VoIP бойынша штаттарға өкілеттік беретінін мәлімдеді (SiliconValley.com) SiliconValley.com - Сейсенбі күні федералды реттеушілер интернет-телефон қызметтерін басқаруда штаттарға өкілеттік беретінін мәлімдеді, бұл қадам провайдерлердің өсуді, инновацияны және жаңадан пайда болған салада бәсекеге қабілетті баға белгілеуді ынталандыру үшін маңызды деп аталды.","3"
"Microsoft сыншылардың үнін өшіру үшін спамға қарсы спецификацияны қайта өңдейді. com 2004 жылғы 25 қазан, сағат 18:49 PT. Бұл басымдық бесінші орында тұр, себебі компаниялар бизнес логикасын, деректерін және процестерін бір-бірімен және клиенттермен бөлісу үшін веб-қызметтерді көбірек орналастырады.","3"
" IBM екі ядролы Opteron жүйесін пайдаланады Big Blue жоғары өнімді серверде AMD чипін пайдаланады, бірақ әлі жалпы мақсаттағы Opteron жүйесін жоспарлап отырған жоқ.","3"
" Comcast пайдасы болжамдардан төмен түсті АҚШ-тың ең ірі кабельдік операторы Comcast Corp. (CMCSA.O: Цитата, профиль, зерттеу) сәрсенбіде Уолл-стрит болжамдарынан төмен тоқсандық пайдасын жариялады, бірақ одан да жақсы нәтиже көрсетті","2"
" АҚШ тыңшылық күштерін орталықтандыруда одақтастардың ішінде жалғыз БЕРЛИН (Рейтер) - Ұлттық барлаудың жаңа, құдіретті директорын құру арқылы Америка Құрама Штаттары Батыс одақтастарының көпшілігінде тыңшылар көпшіліктің назарынан тыс қалып, комитеттермен жұмыс істейтін тәжірибеден түбегейлі бас тартады.","0"
"Тестілеу хоум-рандарды шектемеді. Мақтанатын уақыт келді. Біз 2004 жылы допты тестілеу рандар мен хоум-рандар санын азайтады деп батыл мәлімдеген күмәншілдердің (қойлардың?) арасында болдық.","1"
