question,предмет,выбор,отвечать,sheet,instance,generated_options,option_a,option_b,option_c,option_d
 Одной из основных причин усталости при высокоинтенсивных физических нагрузках является:, клинические_знания, ['снижение концентрации АДФ в клетке'. 'ингибирование выработки АТФ'. 'несоответствие предложения АТФ спросу'. 'недостаток навыков'.],2,Sheet1, Одной из основных причин усталости при высокоинтенсивных физических нагрузках является:,"A)
Одним из главных факторов утомления при сверхинтенсивных телесных упражнениях выступает:

B)
Одной из ключевых детерминант изнурения при высокомощных моторных активностях является:

C)
Одним из ведущих источников истощения при высокопроизводительных атлетических занятиях оказывается:

D)
Одной из существенных предпосылок упадка сил при высокоинтенсивных соматических тренингах представляется:",Одним из главных факторов утомления при сверхинтенсивных телесных упражнениях выступает:,Одной из ключевых детерминант изнурения при высокомощных моторных активностях является:,Одним из ведущих источников истощения при высокопроизводительных атлетических занятиях оказывается:,Одной из существенных предпосылок упадка сил при высокоинтенсивных соматических тренингах представляется:
 Стенки бронхиол содержат, анатомия,"['хрящ, гладкая мускулатура и дыхательный эпителий.' 'хрящ и гладкая мускулатура.' 'хрящ и дыхательный эпителий.' 'гладкая мускулатура и дыхательный эпителий.']",3,Sheet1, Стенки бронхиол содержат,"A)
Оболочки бронхиол включают

B)
Слои бронхиол вмещают

C)
Перегородки бронхиол охватывают

D)
Грани бронхиол объединяют",Оболочки бронхиол включают,Слои бронхиол вмещают,Перегородки бронхиол охватывают,Грани бронхиол объединяют
" Все перечисленные ниже условия окружающей среды увеличивают скорость транспирации растений, КРОМЕ", колледж_биология, ['высокая температура' 'высокая относительная влажность' 'низкая относительная влажность' 'ветер'],1,Sheet1," Все перечисленные ниже условия окружающей среды увеличивают скорость транспирации растений, КРОМЕ","A)
Все указанные ниже факторы внешней среды повышают темп испарения влаги растениями, ЗА ИСКЛЮЧЕНИЕМ

B)
Все приведенные ниже обстоятельства окружения ускоряют процесс транспирации у флоры, ПОМИМО

C)
Все поименованные ниже параметры внешней среды наращивают интенсивность выделения пара растениями, КРОМЕ

D)
Все отмеченные ниже характеристики окружающей среды усиливают быстроту транспирации растений, ИСКЛЮЧАЯ","Все указанные ниже факторы внешней среды повышают темп испарения влаги растениями, ЗА ИСКЛЮЧЕНИЕМ","Все приведенные ниже обстоятельства окружения ускоряют процесс транспирации у флоры, ПОМИМО","Все поименованные ниже параметры внешней среды наращивают интенсивность выделения пара растениями, КРОМЕ","Все отмеченные ниже характеристики окружающей среды усиливают быстроту транспирации растений, ИСКЛЮЧАЯ"
" Если технологии снижают себестоимость производства, а экспорт одновременно сокращается, то какой из следующих результатов будет гарантированно достигнут?", макроэкономика для старшей школы, ['Реальный ВВП увеличится.' 'Реальный ВВП уменьшится.' 'Уровень цен увеличится.' 'Уровень цен уменьшится.'],3,Sheet1," Если технологии снижают себестоимость производства, а экспорт одновременно сокращается, то какой из следующих результатов будет гарантированно достигнут?","A)
Если инновации уменьшают затраты изготовления, а вывоз в то же время падает, то какой из дальнейших итогов будет обязательно получен?

B)
Когда методы уменьшают прямые расходы выпуска, а отгрузка за рубеж параллельно убывает, то какой из данных эффектов будет неизбежно обеспечен?

C)
В случае если решения понижают производственные издержки, а внешние продажи синхронно снижаются, то какое из нижеперечисленных последствий будет стопроцентно зафиксировано?

D)
Разработки сокращают финансовые траты создания, а товарный экспорт при этом сокращается, то какой из приведённых показателей будет безусловно достигнут?","Если инновации уменьшают затраты изготовления, а вывоз в то же время падает, то какой из дальнейших итогов будет обязательно получен?","Когда методы уменьшают прямые расходы выпуска, а отгрузка за рубеж параллельно убывает, то какой из данных эффектов будет неизбежно обеспечен?","В случае если решения понижают производственные издержки, а внешние продажи синхронно снижаются, то какое из нижеперечисленных последствий будет стопроцентно зафиксировано?","Разработки сокращают финансовые траты создания, а товарный экспорт при этом сокращается, то какой из приведённых показателей будет безусловно достигнут?"
 Ошибка «вины по ассоциации» — это особый вид этой ошибки.,логические_ошибки, ['Ошибка случайности' 'Похвальная личность' 'Подмена тезиса' 'Круговая аргументация'],0,Sheet1, Ошибка «вины по ассоциации» — это особый вид этой ошибки.,"A)
Заблуждение «виновности по причастности» — это специфический тип данного промаха.

B)
Погрешность «вины через сопричастность» — это характерная форма этой оплошности.

C)
Логический огрех «виновности за связи» — это своеобразная разновидность этой некорректности.

D)
Изъян «вины по подобию» — это исключительный подвид этой неточности.",Заблуждение «виновности по причастности» — это специфический тип данного промаха.,Погрешность «вины через сопричастность» — это характерная форма этой оплошности.,Логический огрех «виновности за связи» — это своеобразная разновидность этой некорректности.,Изъян «вины по подобию» — это исключительный подвид этой неточности.
" Династия Шан заложила основу для целостного развития китайской цивилизации, которое продолжалось вплоть до:", доисторический период, ['X век.' 'XIII век.' 'XVII век.' 'XX век.'],3,Sheet1," Династия Шан заложила основу для целостного развития китайской цивилизации, которое продолжалось вплоть до:","A)
Правящий род Шан сформировал базис для комплексного прогресса китайской культуры, который сохранялся вплоть до:

B)
Эпоха Шан создала фундамент для системного становления китайской общности, которое длилось вплоть до:

C)
Дом Шан предопределил предпосылки для интегрального совершенствования китайской государственности, которое протекало вплоть до:

D)
Власть Шан обеспечила опору для всестороннего эволюционирования китайского общества, которое совершалось вплоть до:","Правящий род Шан сформировал базис для комплексного прогресса китайской культуры, который сохранялся вплоть до:","Эпоха Шан создала фундамент для системного становления китайской общности, которое длилось вплоть до:","Дом Шан предопределил предпосылки для интегрального совершенствования китайской государственности, которое протекало вплоть до:","Власть Шан обеспечила опору для всестороннего эволюционирования китайского общества, которое совершалось вплоть до:"
 На какой(их) планете(ах) Солнечной системы наблюдается/на какой планете(ах) существует активная тектоника плит?, астрономия, ['Марс' 'Венера' 'Земля' 'Марс и Земля'],2,Sheet1, На какой(их) планете(ах) Солнечной системы наблюдается/на какой планете(ах) существует активная тектоника плит?,"A)
На каком(их) небесном(ых) теле(ах) Солнечной системы прослеживается/на каком небесном(ых) теле(ах) наличествует динамичная тектоника плит?

B)
На какой(их) сфере(ах) Солнечной системы фиксируется/на какой сфере(ах) присутствует деятельная тектоника плит?

C)
На каком(их) объекте(ах) Солнечной системы обнаруживается/на каком объекте(ах) имеется подвижная тектоника плит?

D)
На каком(их) мире(ах) Солнечной системы выявляется/на каком мире(ах) функционирует живая тектоника плит?",На каком(их) небесном(ых) теле(ах) Солнечной системы прослеживается/на каком небесном(ых) теле(ах) наличествует динамичная тектоника плит?,На какой(их) сфере(ах) Солнечной системы фиксируется/на какой сфере(ах) присутствует деятельная тектоника плит?,На каком(их) объекте(ах) Солнечной системы обнаруживается/на каком объекте(ах) имеется подвижная тектоника плит?,На каком(их) мире(ах) Солнечной системы выявляется/на каком мире(ах) функционирует живая тектоника плит?
 Использование «контрактного труда» в девятнадцатом веке включало в себя:, социология," ['Перевозка людей в британские колонии и принуждение их к работе на одного работодателя в ужасных условиях', 'продажа африканцев через работорговлю в 'Атлантическом треугольнике', 'отбор наиболее квалифицированных рабочих на фабриках для продвижения компании работодателя за рубежом', 'удаление зубов у самых ленивых рабочих, чтобы они не могли говорить']",0,Sheet1, Использование «контрактного труда» в девятнадцатом веке включало в себя:,"A)
Применение «наемной работы» в девятнадцатом столетии подразумевало под собой:

B)
Эксплуатация «договорной силы» в девятнадцатом периоде охватывала в себе:

C)
Употребление «подрядного промысла» в девятнадцатом веку заключало в себе:

D)
Задействование «согласного найма» в девятнадцатом веке содержало в себе:",Применение «наемной работы» в девятнадцатом столетии подразумевало под собой:,Эксплуатация «договорной силы» в девятнадцатом периоде охватывала в себе:,Употребление «подрядного промысла» в девятнадцатом веку заключало в себе:,Задействование «согласного найма» в девятнадцатом веке содержало в себе:
" Плеяды — это рассеянное звёздное скопление, играющее важную роль во многих древних сказаниях и известное тем, что содержит... яркие звёзды.", астрономия, ['5' '7' '9' '12'],1,Sheet1," Плеяды — это рассеянное звёздное скопление, играющее важную роль во многих древних сказаниях и известное тем, что содержит... яркие звёзды.","A)
Плеяды — это открытое светильное объединение, имеющее значимое значение во множестве старинных легенд и знаменитое тем, что включает... блестящие светила.

B)
Плеяды — это разрозненное астральное созвездие, занимающее существенную позицию во многих античных мифах и прославленное тем, что охватывает... лучистые солнца.

C)
Плеяды — это вольное небесное собрание, выполняющее весомую функцию во многочисленных давних преданиях и примечательное тем, что вмещает... выразительные объекты.

D)
Плеяды — это рассредоточенное космогоническое скопище, несущее ключевую миссию во всяческих вековых повествованиях и популярное тем, что таит... заметные звёзды.","Плеяды — это открытое светильное объединение, имеющее значимое значение во множестве старинных легенд и знаменитое тем, что включает... блестящие светила.","Плеяды — это разрозненное астральное созвездие, занимающее существенную позицию во многих античных мифах и прославленное тем, что охватывает... лучистые солнца.","Плеяды — это вольное небесное собрание, выполняющее весомую функцию во многочисленных давних преданиях и примечательное тем, что вмещает... выразительные объекты.","Плеяды — это рассредоточенное космогоническое скопище, несущее ключевую миссию во всяческих вековых повествованиях и популярное тем, что таит... заметные звёзды."
" Из следующих вариантов наиболее прямой обмен в модели кругового потока частной закрытой экономики происходит, когда", макроэкономика для старшей школы, ['Домохозяйства предоставляют товары фирмам в обмен на заработную плату.' 'Домохозяйства предоставляют ресурсы фирмам в обмен на товары.' 'Домохозяйства предоставляют доход фирмам в обмен на заработную плату.' 'Фирмы поставляют товары домохозяйствам в обмен на доход.'],3,Sheet1," Из следующих вариантов наиболее прямой обмен в модели кругового потока частной закрытой экономики происходит, когда","A)
Из нижеперечисленных альтернатив самый непосредственный трансфер в схеме цикличного оборота обособленного внутреннего хозяйства случается, когда

B)
Из указанных версий предельно линейный контакт в структуре ротационного движения личной изолированной системы осуществляется, в случае если

C)
Из приведенных возможностей максимально кратчайший расчет в паттерне рекурсивного перемещения индивидуальной запертой структуры совершается, если

D)
Из данных сценариев наиболее близкое взаимодействие в конфигурации возобновляемого трафика субъектной заблокированной общности производится, в момент когда","Из нижеперечисленных альтернатив самый непосредственный трансфер в схеме цикличного оборота обособленного внутреннего хозяйства случается, когда","Из указанных версий предельно линейный контакт в структуре ротационного движения личной изолированной системы осуществляется, в случае если","Из приведенных возможностей максимально кратчайший расчет в паттерне рекурсивного перемещения индивидуальной запертой структуры совершается, если","Из данных сценариев наиболее близкое взаимодействие в конфигурации возобновляемого трафика субъектной заблокированной общности производится, в момент когда"
 Добавки с клетчаткой, питание, ['Может быть полезно при дивертикулезе' 'Всегда легко ферментируются кишечными бактериями' 'Обычно получают из источников растворимой клетчатки' 'Следует избегать при запорах'],0,Sheet1, Добавки с клетчаткой,"A)
Препараты с волокнами

B)
Средства с нутриентами

C)
БAДы с балластом

D)
Концентраты с целлюлозой",Препараты с волокнами,Средства с нутриентами,БAДы с балластом,Концентраты с целлюлозой
"Мужчина, эмоционально расстроенный из-за семейных проблем, добровольно обратился в частное медицинское учреждение за лечением. Согласно закону штата, если он попытается покинуть больницу вопреки рекомендациям врачей, больница может удерживать его в течение 72 часов, пытаясь убедить его остаться. Во время пребывания в больнице он рассказал врачам, что очень зол на свою жену, которая жила с другим мужчиной, и хочет причинить ей вред. Несмотря на это, больница выдала ему разрешение на пребывание в больнице в выходные дни без ограничений. Выйдя из больницы, он застрелил свою жену. Дети мужчины подали в суд на больницу за халатность. Больница подала ходатайство об отклонении иска, главным образом потому, что не было никаких договорных отношений с умершей и никаких обязательств перед ней. Удовлетворит ли суд ходатайство об отклонении иска?", профессиональное_право,"['Нет, потому что больница несет строгую ответственность за выписку пациентов, которые, как ей известно или должно быть известно, представляют необоснованную опасность для третьих лиц.' 'Нет, потому что особые отношения и контроль между врачом и пациентом требуют от врача должной осмотрительности для предотвращения предвидимой опасности для других.' 'Да, потому что нет обязанности контролировать поведение другого лица, чтобы предотвратить причинение им вреда другим.' 'Да, потому что действия третьих лиц являются непредсказуемыми и не могут повлечь за собой ответственность.']",1,Sheet1,"Мужчина, эмоционально расстроенный из-за семейных проблем, добровольно обратился в частное медицинское учреждение за лечением. Согласно закону штата, если он попытается покинуть больницу вопреки рекомендациям врачей, больница может удерживать его в течение 72 часов, пытаясь убедить его остаться. Во время пребывания в больнице он рассказал врачам, что очень зол на свою жену, которая жила с другим мужчиной, и хочет причинить ей вред. Несмотря на это, больница выдала ему разрешение на пребывание в больнице в выходные дни без ограничений. Выйдя из больницы, он застрелил свою жену. Дети мужчины подали в суд на больницу за халатность. Больница подала ходатайство об отклонении иска, главным образом потому, что не было никаких договорных отношений с умершей и никаких обязательств перед ней. Удовлетворит ли суд ходатайство об отклонении иска?","A)
Человек, душевно подавленный вследствие родственных неурядиц, самостоятельно пришел в негосударственную клинику за терапией. По региональному праву, в случае попытки ухода из стационара наперекор советам медиков, клиника вправе задерживать его на трое суток, стараясь уговорить его задержаться. В период нахождения в центре он сообщил докторам, что крайне разъярен на супругу, проживавшую с иным партнером, и желает нанести ей увечья. Игнорируя это, лечебница предоставила ему право на отлучку в субботу и воскресенье без лимитов. Покинув палату, он убил свою жену из пистолета. Отпрыски гражданина инициировали процесс против учреждения за небрежность. Организация подала прошение о прекращении дела, преимущественно из-за отсутствия контрактных связей с покойной и всяких повинностей перед ней. Одобрит ли арбитраж требование об аннулировании тяжбы?

B)
Субъект, психически угнетенный по причине домашних сложностей, по своей воле пришел в коммерческий медцентр за помощью. Исходя из местного законодательства, если он захочет прервать госпитализацию вопреки мнению специалистов, заведение может фиксировать его до 72 часов, пробуя склонить его не уходить. Во время нахождения в клинике он передал персоналу, что сильно негодует на спутницу жизни, делившую быт с другим лицом, и намерен совершить нападение. Поверх этого, больница выписала ему пропуск на свободный выход в уикенд без запретов. Оказавшись на свободе, он лишил жизни свою благоверную выстрелом. Наследники лица обратились с иском к фирме за халатное отношение. Ответчик подал заявление о закрытии разбирательства, в основном ввиду того, что не имелось юридических контактов с погибшей и каких-либо прерогатив перед ней. Примет ли судья ходатайство об отказе в иске?

C)
Лицо, морально сокрушенное из-за внутрисемейных конфликтов, по собственной инициативе обратилось в частную лечебную организацию за восстановлением. В соответствии с нормами штата, при его намерении оставить диспансер наперекор врачебным указаниям, администрация вправе сдерживать его на протяжении трех дней, пытаясь убедить его не уходить. В ходе лечения он признался экспертам, что весьма обозлен на супругу, съехавшуюся с посторонним человеком, и планирует причинить ей травмы. Не взирая на изложенное, госпиталь одобрил ему возможность пребывания вне стен учреждения в выходные без рамок. Выйдя за порог, он застрелил свою сожительницу. Дети индивида начали тяжбу против медслужбы за проявленное бездействие. Клиника направила ходатайство о прекращении преследования, главным образом потому, что отсутствовали договорные узы с убитой и всякие обязательства в отношении нее. Поддержит ли орган правосудия прошение о снятии обвинений?

D)
Гражданин, психологически надломленный ввиду бытовых передряг, инициативно посетил платное здравоохранительное ведомство для реабилитации. Согласно государственным актам, если он попробует покинуть отделение вопреки предостережениям персонала, бюро вправе блокировать его выезд на 72 часа, стараясь переубедить его остаться. В фазе пребывания в больнице он известил врачующих, что крайне рассержен на жену, пребывавшую с другим мужчиной, и думает нанести ей ущерб. Невзирая на данные сведения, клиника дала ему добро на нахождение вне контроля в выходные дни без стеснений. Оставив здание, он совершил убийство жены при помощи оружия. Потомки мужчины судились с клиникой за профессиональную оплошность. Медицинская компания подала запрос об отклонении претензии, мотивируя это тем, что не существовало договорных обязательств с жертвой и никаких долгов перед ней. Согласится ли суд с требованием об отмене иска?","Человек, душевно подавленный вследствие родственных неурядиц, самостоятельно пришел в негосударственную клинику за терапией. По региональному праву, в случае попытки ухода из стационара наперекор советам медиков, клиника вправе задерживать его на трое суток, стараясь уговорить его задержаться. В период нахождения в центре он сообщил докторам, что крайне разъярен на супругу, проживавшую с иным партнером, и желает нанести ей увечья. Игнорируя это, лечебница предоставила ему право на отлучку в субботу и воскресенье без лимитов. Покинув палату, он убил свою жену из пистолета. Отпрыски гражданина инициировали процесс против учреждения за небрежность. Организация подала прошение о прекращении дела, преимущественно из-за отсутствия контрактных связей с покойной и всяких повинностей перед ней. Одобрит ли арбитраж требование об аннулировании тяжбы?","Субъект, психически угнетенный по причине домашних сложностей, по своей воле пришел в коммерческий медцентр за помощью. Исходя из местного законодательства, если он захочет прервать госпитализацию вопреки мнению специалистов, заведение может фиксировать его до 72 часов, пробуя склонить его не уходить. Во время нахождения в клинике он передал персоналу, что сильно негодует на спутницу жизни, делившую быт с другим лицом, и намерен совершить нападение. Поверх этого, больница выписала ему пропуск на свободный выход в уикенд без запретов. Оказавшись на свободе, он лишил жизни свою благоверную выстрелом. Наследники лица обратились с иском к фирме за халатное отношение. Ответчик подал заявление о закрытии разбирательства, в основном ввиду того, что не имелось юридических контактов с погибшей и каких-либо прерогатив перед ней. Примет ли судья ходатайство об отказе в иске?","Лицо, морально сокрушенное из-за внутрисемейных конфликтов, по собственной инициативе обратилось в частную лечебную организацию за восстановлением. В соответствии с нормами штата, при его намерении оставить диспансер наперекор врачебным указаниям, администрация вправе сдерживать его на протяжении трех дней, пытаясь убедить его не уходить. В ходе лечения он признался экспертам, что весьма обозлен на супругу, съехавшуюся с посторонним человеком, и планирует причинить ей травмы. Не взирая на изложенное, госпиталь одобрил ему возможность пребывания вне стен учреждения в выходные без рамок. Выйдя за порог, он застрелил свою сожительницу. Дети индивида начали тяжбу против медслужбы за проявленное бездействие. Клиника направила ходатайство о прекращении преследования, главным образом потому, что отсутствовали договорные узы с убитой и всякие обязательства в отношении нее. Поддержит ли орган правосудия прошение о снятии обвинений?","Гражданин, психологически надломленный ввиду бытовых передряг, инициативно посетил платное здравоохранительное ведомство для реабилитации. Согласно государственным актам, если он попробует покинуть отделение вопреки предостережениям персонала, бюро вправе блокировать его выезд на 72 часа, стараясь переубедить его остаться. В фазе пребывания в больнице он известил врачующих, что крайне рассержен на жену, пребывавшую с другим мужчиной, и думает нанести ей ущерб. Невзирая на данные сведения, клиника дала ему добро на нахождение вне контроля в выходные дни без стеснений. Оставив здание, он совершил убийство жены при помощи оружия. Потомки мужчины судились с клиникой за профессиональную оплошность. Медицинская компания подала запрос об отклонении претензии, мотивируя это тем, что не существовало договорных обязательств с жертвой и никаких долгов перед ней. Согласится ли суд с требованием об отмене иска?"
 Какое месопотамское учреждение было выделено и обладало полномочиями еще до наступления социальной сложности?, доисторический период, ['военные' 'государство' 'храм' 'охотничья ассоциация'],2,Sheet1, Какое месопотамское учреждение было выделено и обладало полномочиями еще до наступления социальной сложности?,"A)
Какое месопотамское заведение было определено и имело компетенции еще до возникновения общественной иерархии?

B)
Какое месопотамское ведомство было обособлено и наделено правами еще до появления социальной дифференциации?

C)
Какое месопотамское образование было обозначено и располагало ресурсами еще до формирования системной сложности?

D)
Какое месопотамское объединение было отмечено и пользовалось влиянием еще до развития гражданской структуры?",Какое месопотамское заведение было определено и имело компетенции еще до возникновения общественной иерархии?,Какое месопотамское ведомство было обособлено и наделено правами еще до появления социальной дифференциации?,Какое месопотамское образование было обозначено и располагало ресурсами еще до формирования системной сложности?,Какое месопотамское объединение было отмечено и пользовалось влиянием еще до развития гражданской структуры?
 Какая из следующих стран НЕ является федеративным государством?, география для старшей школы, ['Канада' 'Соединенные Штаты' 'Франция' 'Китайская Народная Республика'],2,Sheet1, Какая из следующих стран НЕ является федеративным государством?,"A)
Какое из нижеперечисленных государств НЕ выступает федеративной республикой?

B)
Какая из приведённых держав НЕ считается федеративным образованием?

C)
Которая из указанных наций НЕ является союзным государством?

D)
Какая из данных территорий НЕ числится федеративным сообществом?",Какое из нижеперечисленных государств НЕ выступает федеративной республикой?,Какая из приведённых держав НЕ считается федеративным образованием?,Которая из указанных наций НЕ является союзным государством?,Какая из данных территорий НЕ числится федеративным сообществом?
" Скорость света внутри немагнитного диэлектрического материала с диэлектрической постоянной 4,0 равна", физика колледжа, ['1.2 x 10^9 м/с' '3.0 x 10^8 м/с' '1.5 x 10^8 м/с' '1.0 x 10^8 м/с'],2,Sheet1," Скорость света внутри немагнитного диэлектрического материала с диэлектрической постоянной 4,0 равна","A)
Темп распространения излучения в недиэлектрическом немагнитном веществе с диэлектрическим коэффициентом 4,0 составляет

B)
Быстрота движения фотонов внутри ненамагниченного изоляционного субстрата с диэлектрическим показателем 4,0 эквивалентна

C)
Величина лучевой скорости в границах немагнитного диэлектрического объекта с диэлектрическим параметром 4,0 соответствует

D)
Показатель перемещения света внутри неферромагнитной диэлектрической среды с диэлектрической величиной 4,0 идентичен","Темп распространения излучения в недиэлектрическом немагнитном веществе с диэлектрическим коэффициентом 4,0 составляет","Быстрота движения фотонов внутри ненамагниченного изоляционного субстрата с диэлектрическим показателем 4,0 эквивалентна","Величина лучевой скорости в границах немагнитного диэлектрического объекта с диэлектрическим параметром 4,0 соответствует","Показатель перемещения света внутри неферромагнитной диэлектрической среды с диэлектрической величиной 4,0 идентичен"
