question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split,instance,generated_options,option_a,option_b,option_c,option_d
8696,"The price of a share of stock for company XYZ at the beginning of the week was $24.75. Over the next five days, the stock gained $2.50 on Monday, lost $3.25 on Tuesday, lost $0.75 on Wednesday, gained $1.25 on Thursday, and gained $4.75 on Friday. What was the price of the share of stock at the end of Friday?",$30.75,$12.25 ,$29.25 ,$26.75,$27.75,$31.25,$37.25 ,$25.75 ,$33.25,$28.75,C,2,math,ori_mmlu-elementary_mathematics,,test,"question: The price of a share of stock for company XYZ at the beginning of the week was $24.75. Over the next five days, the stock gained $2.50 on Monday, lost $3.25 on Tuesday, lost $0.75 on Wednesday, gained $1.25 on Thursday, and gained $4.75 on Friday. What was the price of the share of stock at the end of Friday?","A)
question: The cost of a share of stock for company XYZ at the start of the week was $24.75. Over the next five days, the stock gained $2.50 on Monday, lost $3.25 on Tuesday, lost $0.75 on Wednesday, gained $1.25 on Thursday, and gained $4.75 on Friday. What was the cost of the share of stock at the end of Friday?

B)
question: The value of a share of stock for company XYZ at the beginning of the week stood at $24.75. Over the next five days, the stock gained $2.50 on Monday, lost $3.25 on Tuesday, lost $0.75 on Wednesday, gained $1.25 on Thursday, and gained $4.75 on Friday. What was the value of the share of stock at the end of Friday?

C)
question: The price of a stock share for company XYZ at the beginning of the week was $24.75. During the following five days, the stock rose by $2.50 on Monday, fell $3.25 on Tuesday, fell $0.75 on Wednesday, rose by $1.25 on Thursday, and rose by $4.75 on Friday. What was the price of the stock share at the end of Friday?

D)
question: The cost of a stock share for company XYZ at the start of the week was $24.75. During the following five days, the shares increased by $2.50 on Monday, decreased by $3.25 on Tuesday, decreased by $0.75 on Wednesday, increased by $1.25 on Thursday, and increased by $4.75 on Friday. What was the cost of the stock share at the end of Friday?","question: The cost of a share of stock for company XYZ at the start of the week was $24.75. Over the next five days, the stock gained $2.50 on Monday, lost $3.25 on Tuesday, lost $0.75 on Wednesday, gained $1.25 on Thursday, and gained $4.75 on Friday. What was the cost of the share of stock at the end of Friday?","question: The value of a share of stock for company XYZ at the beginning of the week stood at $24.75. Over the next five days, the stock gained $2.50 on Monday, lost $3.25 on Tuesday, lost $0.75 on Wednesday, gained $1.25 on Thursday, and gained $4.75 on Friday. What was the value of the share of stock at the end of Friday?","question: The price of a stock share for company XYZ at the beginning of the week was $24.75. During the following five days, the stock rose by $2.50 on Monday, fell $3.25 on Tuesday, fell $0.75 on Wednesday, rose by $1.25 on Thursday, and rose by $4.75 on Friday. What was the price of the stock share at the end of Friday?","question: The cost of a stock share for company XYZ at the start of the week was $24.75. During the following five days, the shares increased by $2.50 on Monday, decreased by $3.25 on Tuesday, decreased by $0.75 on Wednesday, increased by $1.25 on Thursday, and increased by $4.75 on Friday. What was the cost of the stock share at the end of Friday?"
3963,"A potato peeling solution was found to be 2.56 M inNaOH (formula weight = 40.0 g/mole) at the end of the day. To operate, the solution must be at least 10 %NaOHby weight (100 gNaOHper 1000 g of solution) . What weight percent corresponds to 2.56 M? The density of a 2.56 M solution of NaOHis about 1.10 g/ml.",13.8 % by weight,11.2 % by weight,5.0 % by weight,6.5 % by weight,8.5 % by weight,10 % by weight,14.5 % by weight,12 % by weight,7.7 % by weight,9.3 % by weight,J,9,chemistry,stemez-Chemistry,,test,"question: A potato peeling solution was found to be 2.56 M inNaOH (formula weight = 40.0 g/mole) at the end of the day. To operate, the solution must be at least 10 %NaOHby weight (100 gNaOHper 1000 g of solution) . What weight percent corresponds to 2.56 M? The density of a 2.56 M solution of NaOHis about 1.10 g/ml.","A)
question: A potato-peeling mixture was determined to be 2.56 M inNaOH (formula weight = 40.0 g/mole) by the end of the day. For operation, the solution must contain at least 10 %NaOHby weight (100 gNaOHper 1000 g of solution) . What weight percent corresponds to 2.56 M? The density of a 2.56 M solution of NaOHis about 1.10 g/ml.

B)
question: A potato peeling solution was measured as 2.56 M inNaOH (formula weight = 40.0 g/mole) at close of business. To function, the solution must contain a minimum of 10 %NaOHby weight (100 gNaOHper 1000 g of solution) . What weight percent corresponds to 2.56 M? The density of a 2.56 M solution of NaOHis about 1.10 g/ml.

C)
question: A potato peeling solution proved to be 2.56 M inNaOH (formula weight = 40.0 g/mole) at the end of the day. To operate, the solution must be no less than 10 %NaOHby weight (100 gNaOHper 1000 g of solution) . What weight percent corresponds to 2.56 M? The density of a 2.56 M solution of NaOHis about 1.10 g/ml.

D)
question: A potato peeling reagent was found to be 2.56 M inNaOH (formula weight = 40.0 g/mole) at the end of the day. For operation, the solution must be at least 10 %NaOHby weight (100 gNaOHper 1000 g of solution) . What weight percent corresponds to 2.56 M? The density of a 2.56 M solution of NaOHis about 1.10 g/ml.","question: A potato-peeling mixture was determined to be 2.56 M inNaOH (formula weight = 40.0 g/mole) by the end of the day. For operation, the solution must contain at least 10 %NaOHby weight (100 gNaOHper 1000 g of solution) . What weight percent corresponds to 2.56 M? The density of a 2.56 M solution of NaOHis about 1.10 g/ml.","question: A potato peeling solution was measured as 2.56 M inNaOH (formula weight = 40.0 g/mole) at close of business. To function, the solution must contain a minimum of 10 %NaOHby weight (100 gNaOHper 1000 g of solution) . What weight percent corresponds to 2.56 M? The density of a 2.56 M solution of NaOHis about 1.10 g/ml.","question: A potato peeling solution proved to be 2.56 M inNaOH (formula weight = 40.0 g/mole) at the end of the day. To operate, the solution must be no less than 10 %NaOHby weight (100 gNaOHper 1000 g of solution) . What weight percent corresponds to 2.56 M? The density of a 2.56 M solution of NaOHis about 1.10 g/ml.","question: A potato peeling reagent was found to be 2.56 M inNaOH (formula weight = 40.0 g/mole) at the end of the day. For operation, the solution must be at least 10 %NaOHby weight (100 gNaOHper 1000 g of solution) . What weight percent corresponds to 2.56 M? The density of a 2.56 M solution of NaOHis about 1.10 g/ml."
5992,In which of the following situations would there be inelastic demand?,A 10% price decrease results in a 20% increase in the quantity demanded.,A 3% price decrease results in a 5% increase in the quantity demanded.,A 2% price decrease results in a 5% increase in the quantity demanded.,A 4% price increase results in a 6% decrease in the quantity demanded.,A 10% price increase results in a 15% decrease in the quantity demanded.,A 6% price increase results in a 9% decrease in the quantity demanded.,A 7% price decrease results in a 10% increase in the quantity demanded.,A 5% price increase results in a 3% decrease in the quantity demanded.,,,H,7,other,ori_mmlu-professional_accounting,,test,question: In which of the following situations would there be inelastic demand?,"A)
In which of the following circumstances would there be inelastic demand?

B)
In which of the following scenarios would there be inelastic demand?

C)
In which of the following situations would there be nonelastic demand?

D)
In which of the following situations would there be unresponsive demand?",In which of the following circumstances would there be inelastic demand?,In which of the following scenarios would there be inelastic demand?,In which of the following situations would there be nonelastic demand?,In which of the following situations would there be unresponsive demand?
9491,"The partial molar volumes of water and ethanol in a solution with $x_{\mathrm{H}_2 \mathrm{O}}=0.45$ at $25^{\circ} \mathrm{C}$ are 17.0 and $57.5 \mathrm{~cm}^3 \mathrm{~mol}^{-1}$, respectively. Calculate the volume change upon mixing sufficient ethanol with $3.75 \mathrm{~mol}$ of water to give this concentration. The densities of water and ethanol are 0.997 and $0.7893 \mathrm{~g} \mathrm{~cm}^{-3}$, respectively, at this temperature.",-16 $\mathrm{~cm}^3$,-12 $\mathrm{~cm}^3$,-14 $\mathrm{~cm}^3$,-4 $\mathrm{~cm}^3$,4 $\mathrm{~cm}^3$,-8 $\mathrm{~cm}^3$,2 $\mathrm{~cm}^3$,-10 $\mathrm{~cm}^3$,0 $\mathrm{~cm}^3$,-6 $\mathrm{~cm}^3$,F,5,physics,scibench-thermo,,test,"question: The partial molar volumes of water and ethanol in a solution with $x_{\mathrm{H}_2 \mathrm{O}}=0.45$ at $25^{\circ} \mathrm{C}$ are 17.0 and $57.5 \mathrm{~cm}^3 \mathrm{~mol}^{-1}$, respectively. Calculate the volume change upon mixing sufficient ethanol with $3.75 \mathrm{~mol}$ of water to give this concentration. The densities of water and ethanol are 0.997 and $0.7893 \mathrm{~g} \mathrm{~cm}^{-3}$, respectively, at this temperature.","A)
question: The partial molar volumes of water and ethanol in a mixture with $x_{\mathrm{H}_2 \mathrm{O}}=0.45$ at $25^{\circ} \mathrm{C}$ are 17.0 and $57.5 \mathrm{~cm}^3 \mathrm{~mol}^{-1}$, respectively. Compute the change in volume upon mixing enough ethanol with $3.75 \mathrm{~mol}$ of water to yield this concentration. The densities of water and ethanol are 0.997 and $0.7893 \mathrm{~g} \mathrm{~cm}^{-3}$, respectively, at this temperature.

B)
question: The partial molar volumes of water and ethyl alcohol in a solution with $x_{\mathrm{H}_2 \mathrm{O}}=0.45$ at $25^{\circ} \mathrm{C}$ are 17.0 and $57.5 \mathrm{~cm}^3 \mathrm{~mol}^{-1}$, respectively. Determine the volume change upon mixing an appropriate amount of ethyl alcohol with $3.75 \mathrm{~mol}$ of water to produce this composition. The densities of water and ethyl alcohol are 0.997 and $0.7893 \mathrm{~g} \mathrm{~cm}^{-3}$, respectively, at this temperature.

C)
question: The partial molar volumes of water and ethanol in a mixture with $x_{\mathrm{H}_2 \mathrm{O}}=0.45$ at $25^{\circ} \mathrm{C}$ have values of 17.0 and $57.5 \mathrm{~cm}^3 \mathrm{~mol}^{-1}$, respectively. Determine the change in volume upon mixing the required amount of ethanol with $3.75 \mathrm{~mol}$ of water to give this concentration. The densities of water and ethanol are 0.997 and $0.7893 \mathrm{~g} \mathrm{~cm}^{-3}$, respectively, at this temperature.

D)
question: The partial molar volumes of water and ethanol in a solution with $x_{\mathrm{H}_2 \mathrm{O}}=0.45$ at $25^{\circ} \mathrm{C}$ are 17.0 and $57.5 \mathrm{~cm}^3 \mathrm{~mol}^{-1}$, respectively. Find the change in volume on mixing sufficient ethanol with $3.75 \mathrm{~mol}$ of water to reach this concentration. The densities of water and ethanol are 0.997 and $0.7893 \mathrm{~g} \mathrm{~cm}^{-3}$, respectively, at this temperature.","question: The partial molar volumes of water and ethanol in a mixture with $x_{\mathrm{H}_2 \mathrm{O}}=0.45$ at $25^{\circ} \mathrm{C}$ are 17.0 and $57.5 \mathrm{~cm}^3 \mathrm{~mol}^{-1}$, respectively. Compute the change in volume upon mixing enough ethanol with $3.75 \mathrm{~mol}$ of water to yield this concentration. The densities of water and ethanol are 0.997 and $0.7893 \mathrm{~g} \mathrm{~cm}^{-3}$, respectively, at this temperature.","question: The partial molar volumes of water and ethyl alcohol in a solution with $x_{\mathrm{H}_2 \mathrm{O}}=0.45$ at $25^{\circ} \mathrm{C}$ are 17.0 and $57.5 \mathrm{~cm}^3 \mathrm{~mol}^{-1}$, respectively. Determine the volume change upon mixing an appropriate amount of ethyl alcohol with $3.75 \mathrm{~mol}$ of water to produce this composition. The densities of water and ethyl alcohol are 0.997 and $0.7893 \mathrm{~g} \mathrm{~cm}^{-3}$, respectively, at this temperature.","question: The partial molar volumes of water and ethanol in a mixture with $x_{\mathrm{H}_2 \mathrm{O}}=0.45$ at $25^{\circ} \mathrm{C}$ have values of 17.0 and $57.5 \mathrm{~cm}^3 \mathrm{~mol}^{-1}$, respectively. Determine the change in volume upon mixing the required amount of ethanol with $3.75 \mathrm{~mol}$ of water to give this concentration. The densities of water and ethanol are 0.997 and $0.7893 \mathrm{~g} \mathrm{~cm}^{-3}$, respectively, at this temperature.","question: The partial molar volumes of water and ethanol in a solution with $x_{\mathrm{H}_2 \mathrm{O}}=0.45$ at $25^{\circ} \mathrm{C}$ are 17.0 and $57.5 \mathrm{~cm}^3 \mathrm{~mol}^{-1}$, respectively. Find the change in volume on mixing sufficient ethanol with $3.75 \mathrm{~mol}$ of water to reach this concentration. The densities of water and ethanol are 0.997 and $0.7893 \mathrm{~g} \mathrm{~cm}^{-3}$, respectively, at this temperature."
5026,"This question refers to the following information.
I walk alongside the column, ask what's going on.
A soldier says simply: ""They call up more every day.
""Some of us were sent north to the Yellow River at age fifteen,
And now at forty we're heading off to the garrisons in the west.
On our first tour, the village headman had to tie our bandannas for us.
When we came back, our hair was white, but still there's more unrest.
The frontier garrisons run with blood, enough to fill an ocean,
But the Martial Emperor's territorial ambitions have yet to crest.
In the hundred districts east of the mountains, throughout the land of Han,
There must be ten thousand villages that brambles now infest.
Even if wives are strong enough to handle a hoe and plow,
The crops grow every which way, the fields are all a mess.
It's hardest for the Shanxi men, with their reputations as fighters:
They're rounded up like dogs or chickens, every male impressed.
""But sir, though it's good of you to ask,
Complaining isn't part of the soldier's task.
We can only shake our heads. Take this winter:
The Shanxi troops were never sent home.
The District Officers are demanding the land tax,
But where will it come from? You can't get blood from a stone!
I honestly think it's bad luck to bear a son now,
It's better to have a daughter: at least she can marry
And live with the neighbors next door.
But a son will end up lying on some distant prairie.""
Du Fu, ""Ballad of the Army Carts,"" ca. 750 C.E.
Based on the poem and your knowledge of history, Tang relations with western nomadic peoples and frontier peoples relied on which of the following?",The establishment of a network of spies and informants among the nomadic tribes,Adroit diplomacy and establishment of client relationships with bordering nomads,The payment of tribute to nomadic rulers,The forced relocation of frontier peoples to central China,The use of economic incentives to secure the loyalty of nomadic rulers,The negotiation of peace treaties with nomadic rulers,The dissemination of Chinese culture and traditions among frontier peoples,The permanent settlement of Han Chinese in frontier zones,The ability of the Tang emperor to project military power on the frontier in order to impose his will,,I,8,history,ori_mmlu-high_school_world_history,,test,"question: This question refers to the following information.
I walk alongside the column, ask what's going on.
A soldier says simply: ""They call up more every day.
""Some of us were sent north to the Yellow River at age fifteen,
And now at forty we're heading off to the garrisons in the west.
On our first tour, the village headman had to tie our bandannas for us.
When we came back, our hair was white, but still there's more unrest.
The frontier garrisons run with blood, enough to fill an ocean,
But the Martial Emperor's territorial ambitions have yet to crest.
In the hundred districts east of the mountains, throughout the land of Han,
There must be ten thousand villages that brambles now infest.
Even if wives are strong enough to handle a hoe and plow,
The crops grow every which way, the fields are all a mess.
It's hardest for the Shanxi men, with their reputations as fighters:
They're rounded up like dogs or chickens, every male impressed.
""But sir, though it's good of you to ask,
Complaining isn't part of the soldier's task.
We can only shake our heads. Take this winter:
The Shanxi troops were never sent home.
The District Officers are demanding the land tax,
But where will it come from? You can't get blood from a stone!
I honestly think it's bad luck to bear a son now,
It's better to have a daughter: at least she can marry
And live with the neighbors next door.
But a son will end up lying on some distant prairie.""
Du Fu, ""Ballad of the Army Carts,"" ca. 750 C.E.
Based on the poem and your knowledge of history, Tang relations with western nomadic peoples and frontier peoples relied on which of the following?","A)
Dependence on forcible conscription of border men to serve in western garrisons.

B)
Reliance on drafted frontier males to man the garrisons in the west.

C)
Dependence on forced recruitment of border peasants to fill service in western forts.

D)
Reliance on compelled levies of frontier men to staff the garrisons in western districts.",Dependence on forcible conscription of border men to serve in western garrisons.,Reliance on drafted frontier males to man the garrisons in the west.,Dependence on forced recruitment of border peasants to fill service in western forts.,Reliance on compelled levies of frontier men to staff the garrisons in western districts.
6693,"A 24-year-old man is brought to the emergency department 40 minutes after he was involved in a motor vehicle collision. He was the unrestrained driver. He is conscious. Physical examination shows numerous lacerations and ecchymoses over the face. His vision is normal. Ocular, facial, and lingual movements are intact. The gag reflex is present. Sensation to pinprick is absent over the right side of the face anterior to the right ear, extending down along the full extent of the mandible to the chin. Sensation also is absent over the right side of the tongue. X-rays of the skull show fractures of the orbit, zygomatic arch, and infratemporal fossa. The most likely cause of these findings is a fracture affecting which of the following locations? ",Stylomastoid foramen,Foramen ovale,Jugular foramen,Foramen spinosum,Internal acoustic meatus,Foramen rotundum,Optic canal,Superior orbital fissure,Foramen magnum,Foramen lacerum,B,1,health,ori_mmlu-professional_medicine,,test,"question: A 24-year-old man is brought to the emergency department 40 minutes after he was involved in a motor vehicle collision. He was the unrestrained driver. He is conscious. Physical examination shows numerous lacerations and ecchymoses over the face. His vision is normal. Ocular, facial, and lingual movements are intact. The gag reflex is present. Sensation to pinprick is absent over the right side of the face anterior to the right ear, extending down along the full extent of the mandible to the chin. Sensation also is absent over the right side of the tongue. X-rays of the skull show fractures of the orbit, zygomatic arch, and infratemporal fossa. The most likely cause of these findings is a fracture affecting which of the following locations? ","A)
question: A 24-year-old male is transported to the emergency room 40 minutes after he was involved in a motor vehicle collision. He was the unrestrained driver. He is conscious. Physical examination reveals numerous cuts and bruises over the face. His vision is normal. Eye, facial, and tongue movements are intact. The gag reflex is present. Pinprick sensation is absent over the right side of the face in front of the right ear, extending down along the entire length of the mandible to the chin. Sensation also is absent over the right side of the tongue. Radiographs of the skull demonstrate fractures of the orbit, zygomatic arch, and infratemporal fossa. The most likely cause of these findings is a fracture affecting which of the following locations?

B)
question: A 24-year-old man is taken to the emergency department 40 minutes after he sustained a motor vehicle crash. He was the unrestrained driver. He is alert. Physical examination demonstrates multiple lacerations and contusions over the face. His vision is normal. Ocular, facial, and lingual movements are preserved. The gag reflex is intact. Sensation to pinprick is absent over the right side of the face anterior to the right ear, extending downward along the full extent of the mandible to the chin. Sensation also is absent on the right side of the tongue. X-rays of the skull show fractures of the orbit, zygomatic arch, and infratemporal fossa. The most likely cause of these findings is a fracture affecting which of the following locations?

C)
question: A 24-year-old male is brought to the emergency department 40 minutes after he was involved in a motor vehicle accident. He was the unrestrained driver. He is conscious. Physical examination shows numerous lacerations and contusions over the face. His vision is normal. Eye, facial, and lingual movements are intact. The gag reflex is present. Pinprick sensation is absent over the right side of the face anterior to the right ear, extending down along the full extent of the mandible to the chin. Sensation also is absent over the right side of the tongue. Cranial radiographs show fractures of the orbit, zygomatic arch, and infratemporal fossa. The most likely cause of these findings is a fracture affecting which of the following locations?

D)
question: A 24-year-old man is presented to the emergency department 40 minutes after he was involved in a motor vehicle collision. He was the unrestrained driver. He is conscious. Clinical examination shows numerous lacerations and ecchymoses over the face. His vision is normal. Ocular, facial, and tongue movements are intact. The gag reflex is present. Sensation to pinprick is absent over the right side of the face anterior to the right ear, extending down along the full extent of the mandible to the chin. Sensation also is absent over the right side of the tongue. X-rays of the skull show fractures of the orbit, zygomatic arch, and infratemporal fossa. The most likely cause of these findings is a fracture affecting which of the following locations?","question: A 24-year-old male is transported to the emergency room 40 minutes after he was involved in a motor vehicle collision. He was the unrestrained driver. He is conscious. Physical examination reveals numerous cuts and bruises over the face. His vision is normal. Eye, facial, and tongue movements are intact. The gag reflex is present. Pinprick sensation is absent over the right side of the face in front of the right ear, extending down along the entire length of the mandible to the chin. Sensation also is absent over the right side of the tongue. Radiographs of the skull demonstrate fractures of the orbit, zygomatic arch, and infratemporal fossa. The most likely cause of these findings is a fracture affecting which of the following locations?","question: A 24-year-old man is taken to the emergency department 40 minutes after he sustained a motor vehicle crash. He was the unrestrained driver. He is alert. Physical examination demonstrates multiple lacerations and contusions over the face. His vision is normal. Ocular, facial, and lingual movements are preserved. The gag reflex is intact. Sensation to pinprick is absent over the right side of the face anterior to the right ear, extending downward along the full extent of the mandible to the chin. Sensation also is absent on the right side of the tongue. X-rays of the skull show fractures of the orbit, zygomatic arch, and infratemporal fossa. The most likely cause of these findings is a fracture affecting which of the following locations?","question: A 24-year-old male is brought to the emergency department 40 minutes after he was involved in a motor vehicle accident. He was the unrestrained driver. He is conscious. Physical examination shows numerous lacerations and contusions over the face. His vision is normal. Eye, facial, and lingual movements are intact. The gag reflex is present. Pinprick sensation is absent over the right side of the face anterior to the right ear, extending down along the full extent of the mandible to the chin. Sensation also is absent over the right side of the tongue. Cranial radiographs show fractures of the orbit, zygomatic arch, and infratemporal fossa. The most likely cause of these findings is a fracture affecting which of the following locations?","question: A 24-year-old man is presented to the emergency department 40 minutes after he was involved in a motor vehicle collision. He was the unrestrained driver. He is conscious. Clinical examination shows numerous lacerations and ecchymoses over the face. His vision is normal. Ocular, facial, and tongue movements are intact. The gag reflex is present. Sensation to pinprick is absent over the right side of the face anterior to the right ear, extending down along the full extent of the mandible to the chin. Sensation also is absent over the right side of the tongue. X-rays of the skull show fractures of the orbit, zygomatic arch, and infratemporal fossa. The most likely cause of these findings is a fracture affecting which of the following locations?"
1488,Which statement is closest to characterizing the principal difference between the positions adopted by Hobbes and Locke?,They differ in their views about the necessity of a social contract.,They disagree about the role of law in society.,They have contrasting views on the role of religion in society.,They have different ideas about the importance of education.,They have different perspectives on economic policies.,They have opposing views about the nature of contractual obligations.,They differ in respect of their account of life before the social contract.,They hold opposing views on the subject of individual rights.,They disagree on the structure and role of government in society.,They adopt different attitudes towards the role of the courts in maintaining order.,G,6,law,ori_mmlu-jurisprudence,,test,question: Which statement is closest to characterizing the principal difference between the positions adopted by Hobbes and Locke?,"A)
question: Which assertion most nearly captures the main distinction between the views held by Hobbes and Locke?

B)
question: Which proposition most closely describes the primary contrast between the stances taken by Hobbes and Locke?

C)
question: Which declaration is closest to depicting the principal difference between the perspectives embraced by Hobbes and Locke?

D)
question: Which remark best approximates portraying the chief divergence between the positions adopted by Hobbes and Locke?",question: Which assertion most nearly captures the main distinction between the views held by Hobbes and Locke?,question: Which proposition most closely describes the primary contrast between the stances taken by Hobbes and Locke?,question: Which declaration is closest to depicting the principal difference between the perspectives embraced by Hobbes and Locke?,question: Which remark best approximates portraying the chief divergence between the positions adopted by Hobbes and Locke?
5433,What is the relationship between Westphalian sovereignty and humanitarian intervention?,"Theories of Westphalian sovereignty argue that humanitarian intervention is an essential tool for maintaining global security, and hence should be supported by all states.","State sovereignty and principles of non-interference that underpin the Westphalian approach can be disregarded, provided that there is a consensus amongst international actors that human life within the state is at risk, and where that risk is from the actions of the state itself.","The Westphalian model of sovereignty promotes the idea of shared responsibility, arguing that states have a duty to intervene in a humanitarian crisis, regardless of the sovereignty of the affected state.","In its advocacy of global political institutions, the Treaty of Westphalia defined state sovereignty as being subjective to the behaviour of the political or ruling elite in that state, prioritizing human welfare over arbitrary values of sovereignty and thus legitimising humanitarian intervention where necessary.","Theories of Westphalian sovereignty decree that principles of non-intervention are paramount to achieving security; this has been extended into the contemporary global security environment in which international bodies such as the UN condemn humanitarian intervention, regarding it as detrimental to state-centric security.",Westphalian sovereignty supports the idea of humanitarian intervention only when it is requested by the state in question.,The Westphalian concept of sovereignty emphasizes the importance of international cooperation and hence supports the idea of humanitarian intervention under the supervision of international bodies.,"The international society is governed by norms of Westphalian sovereignty that advocate non-intervention and the respect of state sovereignty as a means of achieving security. These norms are enshrined in the Charter of the United Nations, which bans the use of force between states except in self-defence or when authorized by the UN.","Westphalian sovereignty and humanitarian intervention are not related, as the former is a political concept and the latter is a social one.",,H,7,other,ori_mmlu-security_studies,,test,question: What is the relationship between Westphalian sovereignty and humanitarian intervention?,"A)
question: What is the connection between Westphalian sovereignty and humanitarian intervention?

B)
question: What is the link between Westphalian sovereignty and humanitarian intervention?

C)
question: What is the nexus between Westphalian sovereignty and humanitarian intervention?

D)
question: What is the relation between Westphalian sovereignty and humanitarian intervention?",question: What is the connection between Westphalian sovereignty and humanitarian intervention?,question: What is the link between Westphalian sovereignty and humanitarian intervention?,question: What is the nexus between Westphalian sovereignty and humanitarian intervention?,question: What is the relation between Westphalian sovereignty and humanitarian intervention?
7684,Output in country X is 30000 units and there are 3000 persons working while country Z has an output of 40000 units and 8000 workers.,The productivity of labor in country X is 75 percent higher than in country Z.,The productivity of labor in country X is 33 percent higher than in country Z.,The productivity of labor in country Z is 33 percent higher than in country X.,The productivity of labor in country Z is 50 percent higher than in country X.,The productivity of labor in country X is 50 percent higher than in country Z.,The productivity of labor in both countries is the same.,The productivity of labor in country X is 25 percent lower than in country Z.,The productivity of labor in country Z is twice as much as country X.,The productivity of labor in country X is twice as much as country Z.,The productivity of labor in country Z is 25 percent higher than in country X.,I,8,economics,ori_mmlu-high_school_macroeconomics,,test,question: Output in country X is 30000 units and there are 3000 persons working while country Z has an output of 40000 units and 8000 workers.,"A)
question: Production in country X is 30000 units and there are 3000 people working while country Z has a production of 40000 units and 8000 workers.

B)
question: Yield in country X is 30000 units and there are 3000 persons employed while country Z has a production of 40000 units and 8000 employees.

C)
question: Production in nation X is 30000 units and there are 3000 individuals working while nation Z has a production of 40000 units and 8000 workers.

D)
question: Yield in state X is 30000 units and there are 3000 people employed while state Z records a production of 40000 units and 8000 employees.",question: Production in country X is 30000 units and there are 3000 people working while country Z has a production of 40000 units and 8000 workers.,question: Yield in country X is 30000 units and there are 3000 persons employed while country Z has a production of 40000 units and 8000 employees.,question: Production in nation X is 30000 units and there are 3000 individuals working while nation Z has a production of 40000 units and 8000 workers.,question: Yield in state X is 30000 units and there are 3000 people employed while state Z records a production of 40000 units and 8000 employees.
10263,"An Aston Martin V8 Vantage sports car has a lateral acceleration of $0.96g = (0.96)(9.8 m / s^2) = 9.4 m / s^2$. This is the maximum centripetal acceleration the car can sustain without skidding out of a curved path. If the car is traveling at a constant 40m/s on level ground, what is the radius R of the tightest unbanked curve it can negotiate? (Unit: m))",190,150,220,200,160,180,230,170,210,140,H,7,physics,theoremQA-Physics,,test,"question: An Aston Martin V8 Vantage sports car has a lateral acceleration of $0.96g = (0.96)(9.8 m / s^2) = 9.4 m / s^2$. This is the maximum centripetal acceleration the car can sustain without skidding out of a curved path. If the car is traveling at a constant 40m/s on level ground, what is the radius R of the tightest unbanked curve it can negotiate? (Unit: m))","A)
question: An Aston Martin V8 Vantage sports automobile has a lateral acceleration of $0.96g = (0.96)(9.8 m / s^2) = 9.4 m / s^2$. This is the maximum centripetal acceleration the car can sustain without skidding out of a curved path. If the car is traveling at a constant 40m/s on level ground, what is the radius R of the tightest unbanked curve it can negotiate? (Unit: m))

B)
question: An Aston Martin V8 Vantage performance coupe has a sideways acceleration of $0.96g = (0.96)(9.8 m / s^2) = 9.4 m / s^2$. This is the maximum centripetal acceleration the car can sustain without skidding out of a curved path. If the vehicle is moving at a constant 40m/s on flat ground, what is the radius R of the tightest unbanked curve it can traverse? (Unit: m))

C)
question: An Aston Martin V8 Vantage sports car exhibits a lateral acceleration of $0.96g = (0.96)(9.8 m / s^2) = 9.4 m / s^2$. That represents the peak centripetal acceleration the vehicle can withstand before sliding off a curved trajectory. If the car is cruising at a steady 40m/s on flat surface, what is the radius R of the tightest unbanked curve it can negotiate? (Unit: m))

D)
question: An Aston Martin V8 Vantage sports car possesses a lateral acceleration of $0.96g = (0.96)(9.8 m / s^2) = 9.4 m / s^2$. This is the maximum centripetal acceleration the automobile can maintain without losing traction on a curved path. If the automobile travels at a constant 40m/s on level ground, what is the radius R of the tightest unbanked curve it can negotiate? (Unit: m))","question: An Aston Martin V8 Vantage sports automobile has a lateral acceleration of $0.96g = (0.96)(9.8 m / s^2) = 9.4 m / s^2$. This is the maximum centripetal acceleration the car can sustain without skidding out of a curved path. If the car is traveling at a constant 40m/s on level ground, what is the radius R of the tightest unbanked curve it can negotiate? (Unit: m))","question: An Aston Martin V8 Vantage performance coupe has a sideways acceleration of $0.96g = (0.96)(9.8 m / s^2) = 9.4 m / s^2$. This is the maximum centripetal acceleration the car can sustain without skidding out of a curved path. If the vehicle is moving at a constant 40m/s on flat ground, what is the radius R of the tightest unbanked curve it can traverse? (Unit: m))","question: An Aston Martin V8 Vantage sports car exhibits a lateral acceleration of $0.96g = (0.96)(9.8 m / s^2) = 9.4 m / s^2$. That represents the peak centripetal acceleration the vehicle can withstand before sliding off a curved trajectory. If the car is cruising at a steady 40m/s on flat surface, what is the radius R of the tightest unbanked curve it can negotiate? (Unit: m))","question: An Aston Martin V8 Vantage sports car possesses a lateral acceleration of $0.96g = (0.96)(9.8 m / s^2) = 9.4 m / s^2$. This is the maximum centripetal acceleration the automobile can maintain without losing traction on a curved path. If the automobile travels at a constant 40m/s on level ground, what is the radius R of the tightest unbanked curve it can negotiate? (Unit: m))"
