question,предмет,выбор,отвечать,sheet,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_a,bcq_results_for_position_c,bcq_results_for_position_d
"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я купил компьютерные комплектующие и вернул их после того, как они сломались. Сценарий 2 | Я устроил пир для богатых перед бездомными.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",0,Sheet1,"question: В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я купил компьютерные комплектующие и вернул их после того, как они сломались. Сценарий 2 | Я устроил пир для богатых перед бездомными.","A)
question: В каком из этих двух сценариев главный герой (употребляющий местоимения «я/мне/мой») совершает явно безнравственный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я приобрёл компьютерные комплектующие и вернул их после того, как они вышли из строя. Сценарий 2 | Я устроил банкет для богатых перед бездомными.

B)
question: В каком из данных двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает очевидно аморальный поступок, в соответствии с общепринятыми моральными нормами в США на 2020 год? Сценарий 1 | Я купил компьютерные детали и вернул их после того, как они поломались. Сценарий 2 | Я организовал пир для состоятельных людей перед бездомными.

C)
question: В каком из этих двух сценариев главный герой (пользующийся местоимениями «я/мне/мой») совершает явно аморальное деяние, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я приобрёл компьютерные комплектующие и вернул их после того, как они сломались. Сценарий 2 | Я организовал банкет для обеспеченных перед бездомными.

D)
question: В каком из этих двух сценариев главный герой (применяющий местоимения «я/мне/мой») совершает явно безнравственный акт, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я приобрёл компьютерные детали и вернул их после того, как они поломались. Сценарий 2 | Я устроил пир для богатых перед людьми без жилья.","question: В каком из этих двух сценариев главный герой (употребляющий местоимения «я/мне/мой») совершает явно безнравственный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я приобрёл компьютерные комплектующие и вернул их после того, как они вышли из строя. Сценарий 2 | Я устроил банкет для богатых перед бездомными.","question: В каком из данных двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает очевидно аморальный поступок, в соответствии с общепринятыми моральными нормами в США на 2020 год? Сценарий 1 | Я купил компьютерные детали и вернул их после того, как они поломались. Сценарий 2 | Я организовал пир для состоятельных людей перед бездомными.","question: В каком из этих двух сценариев главный герой (пользующийся местоимениями «я/мне/мой») совершает явно аморальное деяние, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я приобрёл компьютерные комплектующие и вернул их после того, как они сломались. Сценарий 2 | Я организовал банкет для обеспеченных перед бездомными.","question: В каком из этих двух сценариев главный герой (применяющий местоимения «я/мне/мой») совершает явно безнравственный акт, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я приобрёл компьютерные детали и вернул их после того, как они поломались. Сценарий 2 | Я устроил пир для богатых перед людьми без жилья.",B,B,B,B
" 33-летняя женщина обратилась в клинику с жалобами на хроническую боль в тазу, которая началась после перенесенной 6 месяцев назад гистерэктомии. После физического осмотра было назначено КТ-сканирование таза. После завершения сканирования рентгенолог сообщил, что в тазу пациентки обнаружена хирургическая губка. В последующем иске о врачебной халатности истец доказал, что губка не могла быть оставлена без халатности. Наиболее подходящим термином для обозначения юридической концепции, на которую ссылается пациентка, является", профессиональная_медицина, ['побочный эстоппель' 'непосредственная причина' 'res ipsa loquitur' 'ответить вышестоящему'],2,Sheet1,"question:  33-летняя женщина обратилась в клинику с жалобами на хроническую боль в тазу, которая началась после перенесенной 6 месяцев назад гистерэктомии. После физического осмотра было назначено КТ-сканирование таза. После завершения сканирования рентгенолог сообщил, что в тазу пациентки обнаружена хирургическая губка. В последующем иске о врачебной халатности истец доказал, что губка не могла быть оставлена без халатности. Наиболее подходящим термином для обозначения юридической концепции, на которую ссылается пациентка, является","A)
question:  33-летняя пациентка обратилась в клинику с жалобами на длительную боль в тазовой области, которая началась после перенесённой 6 месяцев назад гистерэктомии. После физического осмотра было назначено КТ-исследование таза. После завершения сканирования рентгенолог сообщил, что в тазу пациентки обнаружена операционная марля. В последующем иске о медицинской небрежности истец доказал, что марля не могла быть оставлена без халатности. Наиболее подходящим термином для обозначения юридической концепции, на которую ссылается пациентка, является

B)
question:  33-летняя женщина обратилась в клинику с жалобами на хроническую тазовую боль, которая началась после перенесённой 6 месяцев назад гистерэктомии. После физического осмотра было назначено КТ-скан таза. После завершения сканирования рентгенолог сообщил, что в тазу пациентки выявлена хирургическая марля. В последующем иске о врачебной халатности истец установил, что марля не могла быть оставлена без небрежности. Наиболее подходящим термином для обозначения юридической концепции, на которую ссылается пациентка, является

C)
question:  33-летняя пациентка обратилась в клинику с жалобами на постоянную боль в тазу, которая появилась после перенесённой 6 месяцев назад гистерэктомии. После физического осмотра было назначено КТ-сканирование таза. После завершения исследования рентгенолог сообщил, что в тазу пациентки обнаружена операционная губка. В последующем иске о врачебной небрежности истец доказал, что губка не могла быть оставлена без халатности. Наиболее подходящим термином для обозначения юридической концепции, на которую ссылается пациентка, является

D)
question:  33-летняя женщина обратилась в лечебное учреждение с жалобами на длительную боль в тазовой области, которая началась после перенесённой 6 месяцев назад гистерэктомии. После физического осмотра было назначено КТ-обследование таза. После завершения сканирования рентгенолог сообщил, что в тазу пациентки найдена хирургическая салфетка. В последующем иске о врачебной халатности истец доказал, что салфетка не могла быть оставлена без халатности. Наиболее подходящим термином для обозначения юридической концепции, на которую ссылается пациентка, является","question:  33-летняя пациентка обратилась в клинику с жалобами на длительную боль в тазовой области, которая началась после перенесённой 6 месяцев назад гистерэктомии. После физического осмотра было назначено КТ-исследование таза. После завершения сканирования рентгенолог сообщил, что в тазу пациентки обнаружена операционная марля. В последующем иске о медицинской небрежности истец доказал, что марля не могла быть оставлена без халатности. Наиболее подходящим термином для обозначения юридической концепции, на которую ссылается пациентка, является","question:  33-летняя женщина обратилась в клинику с жалобами на хроническую тазовую боль, которая началась после перенесённой 6 месяцев назад гистерэктомии. После физического осмотра было назначено КТ-скан таза. После завершения сканирования рентгенолог сообщил, что в тазу пациентки выявлена хирургическая марля. В последующем иске о врачебной халатности истец установил, что марля не могла быть оставлена без небрежности. Наиболее подходящим термином для обозначения юридической концепции, на которую ссылается пациентка, является","question:  33-летняя пациентка обратилась в клинику с жалобами на постоянную боль в тазу, которая появилась после перенесённой 6 месяцев назад гистерэктомии. После физического осмотра было назначено КТ-сканирование таза. После завершения исследования рентгенолог сообщил, что в тазу пациентки обнаружена операционная губка. В последующем иске о врачебной небрежности истец доказал, что губка не могла быть оставлена без халатности. Наиболее подходящим термином для обозначения юридической концепции, на которую ссылается пациентка, является","question:  33-летняя женщина обратилась в лечебное учреждение с жалобами на длительную боль в тазовой области, которая началась после перенесённой 6 месяцев назад гистерэктомии. После физического осмотра было назначено КТ-обследование таза. После завершения сканирования рентгенолог сообщил, что в тазу пациентки найдена хирургическая салфетка. В последующем иске о врачебной халатности истец доказал, что салфетка не могла быть оставлена без халатности. Наиболее подходящим термином для обозначения юридической концепции, на которую ссылается пациентка, является",B,C,B,B
" Утверждение 1 | Множество всех прямоугольников в двумерной плоскости (включая прямоугольники, не выровненные по осям координат) может разбить множество из 5 точек. Утверждение 2 | VC-размерность классификатора k-ближайших соседей при k = 1 бесконечна.", машинное обучение," ['Истина, Истина' 'Ложь, Ложь' 'Истина, Ложь' 'Ложь, Истина']",0,Sheet1,"question:  Утверждение 1 | Множество всех прямоугольников в двумерной плоскости (включая прямоугольники, не выровненные по осям координат) может разбить множество из 5 точек. Утверждение 2 | VC-размерность классификатора k-ближайших соседей при k = 1 бесконечна.","A)
question:  Утверждение 1 | Набор всех прямоугольников в двумерной плоскости (включая прямоугольники, не ориентированные по осям координат) может разделить множество из 5 точек. Утверждение 2 | VC-размерность классификатора k-ближайших соседей при k = 1 бесконечна.

B)
question:  Утверждение 1 | Совокупность всех прямоугольников в двумерной плоскости (включая прямоугольники, не выровненные относительно осей координат) способна разбить набор из 5 точек. Утверждение 2 | VC-размерность алгоритма k-ближайших соседей при k = 1 неограниченна.

C)
question:  Утверждение 1 | Множество всех прямоугольников в двумерной плоскости (включая прямоугольники, не ориентированные относительно координатных осей) может разделить множество из 5 точек. Утверждение 2 | VC-размерность классификационной модели k-ближайших соседей при k = 1 бесконечна.

D)
question:  Утверждение 1 | Набор всех прямоугольных областей в двумерной плоскости (включая прямоугольники, не выровненные по осям координат) может разбить набор из 5 точек. Утверждение 2 | VC-размерность классификатора k-ближайших соседей при k = 1 является бесконечной.","question:  Утверждение 1 | Набор всех прямоугольников в двумерной плоскости (включая прямоугольники, не ориентированные по осям координат) может разделить множество из 5 точек. Утверждение 2 | VC-размерность классификатора k-ближайших соседей при k = 1 бесконечна.","question:  Утверждение 1 | Совокупность всех прямоугольников в двумерной плоскости (включая прямоугольники, не выровненные относительно осей координат) способна разбить набор из 5 точек. Утверждение 2 | VC-размерность алгоритма k-ближайших соседей при k = 1 неограниченна.","question:  Утверждение 1 | Множество всех прямоугольников в двумерной плоскости (включая прямоугольники, не ориентированные относительно координатных осей) может разделить множество из 5 точек. Утверждение 2 | VC-размерность классификационной модели k-ближайших соседей при k = 1 бесконечна.","question:  Утверждение 1 | Набор всех прямоугольных областей в двумерной плоскости (включая прямоугольники, не выровненные по осям координат) может разбить набор из 5 точек. Утверждение 2 | VC-размерность классификатора k-ближайших соседей при k = 1 является бесконечной.",C,C,C,C
" Утверждение 1 | Если R является целостной областью, то R[x] является целостной областью. Утверждение 2 | Если R — кольцо, и f(x) и g(x) принадлежат R[x], то deg (f(x)g(x)) = deg f(x) + deg g(x).", абстрактная_алгебра," ['Истина, Истина' 'Ложь, Ложь' 'Истина, Ложь' 'Ложь, Истина']",2,Sheet1,"question:  Утверждение 1 | Если R является целостной областью, то R[x] является целостной областью. Утверждение 2 | Если R — кольцо, и f(x) и g(x) принадлежат R[x], то deg (f(x)g(x)) = deg f(x) + deg g(x).","A)
question:  Утверждение 1 | Если R является интегральной областью, то R[x] является интегральной областью. Утверждение 2 | Если R — кольцо, и f(x) и g(x) находятся в R[x], то deg (f(x)g(x)) = deg f(x) + deg g(x).

B)
question:  Тезис 1 | Если R представляет собой целостную область, то R[x] представляет собой целостную область. Тезис 2 | Если R — кольцо, и f(x) и g(x) лежат в R[x], то deg (f(x)g(x)) = deg f(x) + deg g(x).

C)
question:  Заключение 1 | Если R является целостным кольцом, то R[x] является целостным кольцом. Заключение 2 | Если R — кольцо, и f(x) и g(x) являются элементами R[x], то deg (f(x)g(x)) = deg f(x) + deg g(x).

D)
question:  Положение 1 | Если R есть целостная область, то R[x] есть целостная область. Положение 2 | Если R — кольцо, и f(x) и g(x) принадлежат R[x], то deg (f(x)g(x)) = deg f(x) + deg g(x).","question:  Утверждение 1 | Если R является интегральной областью, то R[x] является интегральной областью. Утверждение 2 | Если R — кольцо, и f(x) и g(x) находятся в R[x], то deg (f(x)g(x)) = deg f(x) + deg g(x).","question:  Тезис 1 | Если R представляет собой целостную область, то R[x] представляет собой целостную область. Тезис 2 | Если R — кольцо, и f(x) и g(x) лежат в R[x], то deg (f(x)g(x)) = deg f(x) + deg g(x).","question:  Заключение 1 | Если R является целостным кольцом, то R[x] является целостным кольцом. Заключение 2 | Если R — кольцо, и f(x) и g(x) являются элементами R[x], то deg (f(x)g(x)) = deg f(x) + deg g(x).","question:  Положение 1 | Если R есть целостная область, то R[x] есть целостная область. Положение 2 | Если R — кольцо, и f(x) и g(x) принадлежат R[x], то deg (f(x)g(x)) = deg f(x) + deg g(x).",B,B,C,B
 Что такое перелом Коллеса?, клинические_знания, ['Перелом кисти.' 'Перелом локтя.' 'Перелом пальца.' 'Перелом лучевой и локтевой костей в области запястья.'],3,Sheet1,question:  Что такое перелом Коллеса?,"A)
Что представляет собой перелом Коллеса?

B)
Что означает перелом Коллеса?

C)
Что из себя представляет перелом Коллеса?

D)
Что является переломом Коллеса?",Что представляет собой перелом Коллеса?,Что означает перелом Коллеса?,Что из себя представляет перелом Коллеса?,Что является переломом Коллеса?,B,B,A,D
" Если средняя скорость потребления кислорода у спортсмена-мужчины во время тренировки составляет 2 л/мин, то его скорость расхода энергии приблизительно равна:", колледж_медицина,['400 кДж/мин.' «200 кДж/мин». «80 кДж/мин». '40 кДж/мин.'],3,Sheet1,"question:  Если средняя скорость потребления кислорода у спортсмена-мужчины во время тренировки составляет 2 л/мин, то его скорость расхода энергии приблизительно равна:","A)
question:  Когда средняя скорость поглощения кислорода у атлета-мужчины во время тренировки составляет 2 л/мин, то его скорость расхода энергии приблизительно равна:

B)
question:  Если средняя скорость использования кислорода у спортсмена-мужчины в ходе тренировки равняется 2 л/мин, то его скорость расхода энергии примерно равна:

C)
question:  Если средняя скорость потребления кислорода у спортсмена-мужчины во время тренировки составляет 2 л/мин, то его скорость расхода энергии приблизительно равна:

D)
question:  Когда средняя скорость поглощения кислорода у атлета-мужчины в ходе тренировки равняется 2 л/мин, то его скорость расхода энергии примерно равна:","question:  Когда средняя скорость поглощения кислорода у атлета-мужчины во время тренировки составляет 2 л/мин, то его скорость расхода энергии приблизительно равна:","question:  Если средняя скорость использования кислорода у спортсмена-мужчины в ходе тренировки равняется 2 л/мин, то его скорость расхода энергии примерно равна:","question:  Если средняя скорость потребления кислорода у спортсмена-мужчины во время тренировки составляет 2 л/мин, то его скорость расхода энергии приблизительно равна:","question:  Когда средняя скорость поглощения кислорода у атлета-мужчины в ходе тренировки равняется 2 л/мин, то его скорость расхода энергии примерно равна:",B,C,B,B
 Программа страхования для малоимущих людей всех возрастов называется, старение человека, ['Хоспис' 'Медикайд' 'Медикэр' 'Временный уход'],1,Sheet1,question:  Программа страхования для малоимущих людей всех возрастов называется,"A)
question:  План страховки для малообеспеченных людей всех возрастов называется

B)
question:  Система страхования для малоимущих граждан всех возрастов именуется

C)
question:  Проект страхования для нуждающихся людей всех возрастов называется

D)
question:  Программа страховки для малообеспеченных граждан всех возрастов обозначается",question:  План страховки для малообеспеченных людей всех возрастов называется,question:  Система страхования для малоимущих граждан всех возрастов именуется,question:  Проект страхования для нуждающихся людей всех возрастов называется,question:  Программа страховки для малообеспеченных граждан всех возрастов обозначается,B,B,C,B
" Если два современных организма находятся в отдаленном эволюционном родстве, то следует ожидать, что", биология для старшей школы," ['Они обитают в совершенно разных средах.' 'У них должно быть меньше общих гомологичных структур, чем у двух более близкородственных организмов.' 'Их хромосомы должны быть очень похожи.' 'Они относительно недавно имели общего предка.']",1,Sheet1,"question:  Если два современных организма находятся в отдаленном эволюционном родстве, то следует ожидать, что","A)
question:  Когда два нынешних организма находятся в далёком эволюционном родстве, то следует ожидать, что

B)
question:  Если два современных организма состоят в отдалённом эволюционном родстве, то можно ожидать, что

C)
question:  Если два ныне живущих организма располагаются в далёком эволюционном родстве, то стоит ожидать, что

D)
question:  Если два современных организма пребывают в отдалённом эволюционном родстве, то следует предположить, что","question:  Когда два нынешних организма находятся в далёком эволюционном родстве, то следует ожидать, что","question:  Если два современных организма состоят в отдалённом эволюционном родстве, то можно ожидать, что","question:  Если два ныне живущих организма располагаются в далёком эволюционном родстве, то стоит ожидать, что","question:  Если два современных организма пребывают в отдалённом эволюционном родстве, то следует предположить, что",B,B,C,B
Юм делит наше восприятие на две категории:, философия, ['Ощущения и эмоции'. 'Впечатления и идеи'. 'Статические и динамичные'. 'Простые и сложные'.],1,Sheet1,question: Юм делит наше восприятие на две категории:,"A)
question: Юм разделяет наше восприятие на две категории:

B)
question: Юм подразделяет наше ощущение на две группы:

C)
question: Юм распределяет наше восприятие на два вида:

D)
question: Юм делит наше ощущение на два класса:",question: Юм разделяет наше восприятие на две категории:,question: Юм подразделяет наше ощущение на две группы:,question: Юм распределяет наше восприятие на два вида:,question: Юм делит наше ощущение на два класса:,B,B,C,B
"Домовладелица проживает ниже по склону холма от металлообрабатывающего предприятия. Она подала в суд на владельца предприятия и поставщика растворителя, используемого на предприятии. Она утверждает, что загрязняющие вещества, состоящие в основном из растворителя, попали в почву на территории предприятия и распространились, и продолжают распространяться, на ее участок, загрязняя почву, грунтовые воды и ее колодец. Она заявляет о различных актах халатности со стороны владельца предприятия, которые привели к выбросу загрязняющих веществ в почву. Она также утверждает, что сотрудники поставщика растворителя проявили халатность, часто разливая часть растворителя на землю при заполнении резервуара на крыше предприятия. Поставщик растворителя подал ходатайство о вынесении решения в порядке упрощенного производства, утверждая, что если и имело место загрязнение, то владелец предприятия и поставщик независимо друг от друга внесли неопределенный вклад в загрязнение, и поэтому домовладелица не может доказать, какой ущерб был нанесен ей каждым из них. Нет никаких доказательств того, что владелец предприятия и поставщик растворителя действовали согласованно. Следует ли суду удовлетворить ходатайство о вынесении решения в порядке упрощенного производства?",профессиональное_право," ['Нет, потому что лица, одновременно причинившие вред, несут солидарную ответственность за неделимый ущерб.' 'Нет, потому что поставщик растворителя несет субсидиарную ответственность за ущерб, причиненный владельцем объекта.' 'Да, потому что нет оснований для распределения убытков между поставщиком растворителя.' 'Да, потому что нет доказательств того, что владелец объекта и поставщик растворителя действовали согласованно.']",0,Sheet1,"question: Домовладелица проживает ниже по склону холма от металлообрабатывающего предприятия. Она подала в суд на владельца предприятия и поставщика растворителя, используемого на предприятии. Она утверждает, что загрязняющие вещества, состоящие в основном из растворителя, попали в почву на территории предприятия и распространились, и продолжают распространяться, на ее участок, загрязняя почву, грунтовые воды и ее колодец. Она заявляет о различных актах халатности со стороны владельца предприятия, которые привели к выбросу загрязняющих веществ в почву. Она также утверждает, что сотрудники поставщика растворителя проявили халатность, часто разливая часть растворителя на землю при заполнении резервуара на крыше предприятия. Поставщик растворителя подал ходатайство о вынесении решения в порядке упрощенного производства, утверждая, что если и имело место загрязнение, то владелец предприятия и поставщик независимо друг от друга внесли неопределенный вклад в загрязнение, и поэтому домовладелица не может доказать, какой ущерб был нанесен ей каждым из них. Нет никаких доказательств того, что владелец предприятия и поставщик растворителя действовали согласованно. Следует ли суду удовлетворить ходатайство о вынесении решения в порядке упрощенного производства?","A)
question: Владелица дома проживает ниже по склону холма от металлообрабатывающего предприятия. Она подала иск против владельца предприятия и поставщика растворителя, используемого на предприятии. Она утверждает, что загрязняющие вещества, состоящие в основном из растворителя, попали в почву на территории предприятия и распространились, и продолжают распространяться, на ее участок, загрязняя почву, грунтовые воды и ее колодец. Она заявляет о различных актах халатности со стороны владельца предприятия, которые привели к выбросу загрязняющих веществ в почву. Она также утверждает, что сотрудники поставщика растворителя проявили халатность, часто разливая часть растворителя на землю при заполнении резервуара на крыше предприятия. Поставщик растворителя подал ходатайство о вынесении решения в порядке упрощенного производства, утверждая, что если и имело место загрязнение, то владелец предприятия и поставщик независимо друг от друга внесли неопределенный вклад в загрязнение, и поэтому домовладелица не может доказать, какой ущерб был нанесен ей каждым из них. Нет никаких доказательств того, что владелец предприятия и поставщик растворителя действовали согласованно. Следует ли суду удовлетворить ходатайство о вынесении решения в порядке упрощенного производства?

B)
question: Хозяйка дома живет внизу по склону холма от металлообрабатывающего завода. Она предъявила иск владельцу завода и поставщику растворителя, применяемого на заводе. Она утверждает, что загрязнители, состоящие главным образом из растворителя, проникли в почву на территории завода и распространились, и продолжают распространяться, на ее участок, заражая почву, грунтовые воды и ее колодец. Она заявляет о различных актах небрежности со стороны владельца завода, которые привели к выбросу загрязняющих веществ в почву. Она также утверждает, что работники поставщика растворителя проявили небрежность, часто проливая часть растворителя на землю при наполнении резервуара на крыше завода. Поставщик растворителя подал ходатайство о вынесении решения в порядке упрощенного производства, утверждая, что если и имело место загрязнение, то владелец завода и поставщик независимо друг от друга внесли неопределенный вклад в загрязнение, и поэтому домовладелица не может доказать, какой вред был причинен ей каждым из них. Нет никаких свидетельств того, что владелец завода и поставщик растворителя действовали согласованно. Следует ли суду удовлетворить ходатайство о вынесении решения в порядке упрощенного производства?

C)
question: Собственница дома обитает ниже по склону холма от предприятия по обработке металлов. Она подала в суд на собственника предприятия и поставщика растворителя, используемого на предприятии. Она утверждает, что загрязняющие вещества, состоящие преимущественно из растворителя, попали в грунт на территории предприятия и распространились, и продолжают распространяться, на ее участок, заражая почву, подземные воды и ее колодец. Она заявляет о различных актах халатности со стороны собственника предприятия, которые привели к выбросу загрязняющих веществ в грунт. Она также утверждает, что сотрудники поставщика растворителя проявили халатность, часто проливая часть растворителя на землю при заправке резервуара на крыше предприятия. Поставщик растворителя подал ходатайство о вынесении решения в порядке упрощенного производства, утверждая, что если и имело место загрязнение, то собственник предприятия и поставщик независимо друг от друга внесли неопределенный вклад в загрязнение, и поэтому домовладелица не может доказать, какой ущерб был причинен ей каждым из них. Нет никаких доказательств того, что собственник предприятия и поставщик растворителя действовали совместно. Следует ли суду удовлетворить ходатайство о вынесении решения в порядке упрощенного производства?

D)
question: Владелица жилища живет ниже по склону холма от металлообрабатывающего предприятия. Она подала иск в суд на владельца предприятия и поставщика растворителя, применяемого на предприятии. Она утверждает, что загрязнители, в основном состоящие из растворителя, попали в почву на территории предприятия и распространились, и продолжают распространяться, на ее участок, загрязняя грунт, подземные воды и ее колодец. Она заявляет о ряде актов халатности со стороны владельца предприятия, которые привели к выбросу загрязняющих веществ в почву. Она также утверждает, что персонал поставщика растворителя вел себя неосторожно, часто расплескивая часть растворителя на землю при заполнении резервуара на крыше предприятия. Поставщик растворителя подал ходатайство о вынесении решения в порядке упрощенного производства, утверждая, что если и имело место загрязнение, то владелец предприятия и поставщик независимо друг от друга внесли неопределенный вклад в загрязнение, и поэтому домовладелица не может доказать, какой вред был причинен ей каждым из них. Нет никаких доказательств того, что владелец предприятия и поставщик растворителя действовали согласованно. Следует ли суду удовлетворить ходатайство о вынесении решения в порядке упрощенного производства?","question: Владелица дома проживает ниже по склону холма от металлообрабатывающего предприятия. Она подала иск против владельца предприятия и поставщика растворителя, используемого на предприятии. Она утверждает, что загрязняющие вещества, состоящие в основном из растворителя, попали в почву на территории предприятия и распространились, и продолжают распространяться, на ее участок, загрязняя почву, грунтовые воды и ее колодец. Она заявляет о различных актах халатности со стороны владельца предприятия, которые привели к выбросу загрязняющих веществ в почву. Она также утверждает, что сотрудники поставщика растворителя проявили халатность, часто разливая часть растворителя на землю при заполнении резервуара на крыше предприятия. Поставщик растворителя подал ходатайство о вынесении решения в порядке упрощенного производства, утверждая, что если и имело место загрязнение, то владелец предприятия и поставщик независимо друг от друга внесли неопределенный вклад в загрязнение, и поэтому домовладелица не может доказать, какой ущерб был нанесен ей каждым из них. Нет никаких доказательств того, что владелец предприятия и поставщик растворителя действовали согласованно. Следует ли суду удовлетворить ходатайство о вынесении решения в порядке упрощенного производства?","question: Хозяйка дома живет внизу по склону холма от металлообрабатывающего завода. Она предъявила иск владельцу завода и поставщику растворителя, применяемого на заводе. Она утверждает, что загрязнители, состоящие главным образом из растворителя, проникли в почву на территории завода и распространились, и продолжают распространяться, на ее участок, заражая почву, грунтовые воды и ее колодец. Она заявляет о различных актах небрежности со стороны владельца завода, которые привели к выбросу загрязняющих веществ в почву. Она также утверждает, что работники поставщика растворителя проявили небрежность, часто проливая часть растворителя на землю при наполнении резервуара на крыше завода. Поставщик растворителя подал ходатайство о вынесении решения в порядке упрощенного производства, утверждая, что если и имело место загрязнение, то владелец завода и поставщик независимо друг от друга внесли неопределенный вклад в загрязнение, и поэтому домовладелица не может доказать, какой вред был причинен ей каждым из них. Нет никаких свидетельств того, что владелец завода и поставщик растворителя действовали согласованно. Следует ли суду удовлетворить ходатайство о вынесении решения в порядке упрощенного производства?","question: Собственница дома обитает ниже по склону холма от предприятия по обработке металлов. Она подала в суд на собственника предприятия и поставщика растворителя, используемого на предприятии. Она утверждает, что загрязняющие вещества, состоящие преимущественно из растворителя, попали в грунт на территории предприятия и распространились, и продолжают распространяться, на ее участок, заражая почву, подземные воды и ее колодец. Она заявляет о различных актах халатности со стороны собственника предприятия, которые привели к выбросу загрязняющих веществ в грунт. Она также утверждает, что сотрудники поставщика растворителя проявили халатность, часто проливая часть растворителя на землю при заправке резервуара на крыше предприятия. Поставщик растворителя подал ходатайство о вынесении решения в порядке упрощенного производства, утверждая, что если и имело место загрязнение, то собственник предприятия и поставщик независимо друг от друга внесли неопределенный вклад в загрязнение, и поэтому домовладелица не может доказать, какой ущерб был причинен ей каждым из них. Нет никаких доказательств того, что собственник предприятия и поставщик растворителя действовали совместно. Следует ли суду удовлетворить ходатайство о вынесении решения в порядке упрощенного производства?","question: Владелица жилища живет ниже по склону холма от металлообрабатывающего предприятия. Она подала иск в суд на владельца предприятия и поставщика растворителя, применяемого на предприятии. Она утверждает, что загрязнители, в основном состоящие из растворителя, попали в почву на территории предприятия и распространились, и продолжают распространяться, на ее участок, загрязняя грунт, подземные воды и ее колодец. Она заявляет о ряде актов халатности со стороны владельца предприятия, которые привели к выбросу загрязняющих веществ в почву. Она также утверждает, что персонал поставщика растворителя вел себя неосторожно, часто расплескивая часть растворителя на землю при заполнении резервуара на крыше предприятия. Поставщик растворителя подал ходатайство о вынесении решения в порядке упрощенного производства, утверждая, что если и имело место загрязнение, то владелец предприятия и поставщик независимо друг от друга внесли неопределенный вклад в загрязнение, и поэтому домовладелица не может доказать, какой вред был причинен ей каждым из них. Нет никаких доказательств того, что владелец предприятия и поставщик растворителя действовали согласованно. Следует ли суду удовлетворить ходатайство о вынесении решения в порядке упрощенного производства?",B,B,C,D
