id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,instance,generated_options,option_a,option_b,option_c,option_d
17581,https://itest.kz/kz/endless,STEM,Physics,High School,Kazakh,Physics (High School in kaz),Дененің ішкі энергиясы деп,Денені құрайтын бөлшектердің ішіндегі нуклондардың байланыс энергиясы,Денені құрайтын бөлшектердің ретсіз қозғалысының кинетикалық энергиясы мен өзара әсерлесуінің потенциалдық энергиясының қосындысы,Денені құрайтын бөлшектердің өзара әсерлесу энергиясы,Денені құрайтын бөлшектердің ретсіз қозғалысының кинетикалық энергиясы,,B,test,question: Дененің ішкі энергиясы деп,"A)
question: Заттың ішкі энергиясы деп

B)
question: Дененің ішкі қуаты деп

C)
question: Объектінің ішкі энергиясы деп

D)
question: Заттың ішкі қуаты деп",question: Заттың ішкі энергиясы деп,question: Дененің ішкі қуаты деп,question: Объектінің ішкі энергиясы деп,question: Заттың ішкі қуаты деп
9182,https://itest.kz/kz/endless,Humanities,Kazakh_History,High School,Kazakh,Kazakh History (High School in kaz),Керейіт мемлекетінің екіге бөлінген кезі,Х ғасырдың соңы,ХІ ғасырдың басы,ХІ ғасырдың соңы,ХІІ ғасырдың соңы,,D,test,question: Керейіт мемлекетінің екіге бөлінген кезі,"A)
question: Керейіт мемлекетінің екіге бөлінген уақыты

B)
question: Керейіт хандығының екіге бөлінген кезі

C)
question: Керейіт елінің екіге бөлінген кезеңі

D)
question: Керейіт мемлекетінің екіге бөлінген шағы",question: Керейіт мемлекетінің екіге бөлінген уақыты,question: Керейіт хандығының екіге бөлінген кезі,question: Керейіт елінің екіге бөлінген кезеңі,question: Керейіт мемлекетінің екіге бөлінген шағы
921,https://itest.kz/kz/endless,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Кез келген организмнің негізгі тіршілік ортасын қалай атаймыз?,Организмдердің өзі,Топырақ,Барлығы дұрыс,Құрлық-ауа,,C,test,question: Кез келген организмнің негізгі тіршілік ортасын қалай атаймыз?,"A)
question: Әрбір тірі ағзаның басты өмір сүру ортасын қалай атаймыз?

B)
question: Қандай да бір организмнің негізгі өмір сүру ортасын қалай атаймыз?

C)
question: Кез келген организмнің басты тіршілік ортасын қалай атаймыз?

D)
question: Қайсыбір тірі ағзаның негізгі тіршілік орнын қалай атаймыз?",question: Әрбір тірі ағзаның басты өмір сүру ортасын қалай атаймыз?,question: Қандай да бір организмнің негізгі өмір сүру ортасын қалай атаймыз?,question: Кез келген организмнің басты тіршілік ортасын қалай атаймыз?,question: Қайсыбір тірі ағзаның негізгі тіршілік орнын қалай атаймыз?
20767,https://oltest.kz/tests/obshchestvennye_nauki/,"Social Science





",Social Science,University,Russian,Social Science (Professional & University in rus),"Первобытное общество состояло из...
","локальных родственных групп
","патриархальных групп
","неродственных групп
",семей,"территориальных групп
",A,test,"question: Первобытное общество состояло из...
","A)
question: Доисторическое общество состояло из...

B)
question: Древнейшее общество состояло из...

C)
question: Изначальное общество состояло из...

D)
question: Примитивное общество состояло из...",question: Доисторическое общество состояло из...,question: Древнейшее общество состояло из...,question: Изначальное общество состояло из...,question: Примитивное общество состояло из...
12385,https://itest.kz/kz/endless,Humanities,Kazakh_Literature,High School,Kazakh,Kazakh Literature (High School in kaz),Ғ. Мүсіреповке қатысты мәліметтер,"«Қазақ солдаты», Ақбота","«Көксерек», Бақтығұл","«Көкшетау», Хамит","«Боран», Раушан",,A,test,question: Ғ. Мүсіреповке қатысты мәліметтер,"A)
question: Ғ. Мүсіреповке қатысты деректер

B)
question: Ғ. Мүсіреповке туралы мәліметтер

C)
question: Ғ. Мүсіреповке қатысты ақпарат

D)
question: Ғ. Мүсіреповке туралы деректер",question: Ғ. Мүсіреповке қатысты деректер,question: Ғ. Мүсіреповке туралы мәліметтер,question: Ғ. Мүсіреповке қатысты ақпарат,question: Ғ. Мүсіреповке туралы деректер
21295,https://itest.kz/kz/endless,Humanities,World_History,High School,Kazakh,World History (High School in kaz),Ежелгі Қытай данышпаны:,Конфуций,Фан Чун,Сыма Сяньжу,Сыма Цянь,,A,test,question: Ежелгі Қытай данышпаны:,"A)
question: Көне Қытай ойшылы:

B)
question: Ертедегі Қытай ғұламасы:

C)
question: Қадимгі Қытай данагөйі:

D)
question: Архаикалық Қытай білгірі:",question: Көне Қытай ойшылы:,question: Ертедегі Қытай ғұламасы:,question: Қадимгі Қытай данагөйі:,question: Архаикалық Қытай білгірі:
1333,https://ymnik.kz/tests_old/biology/?v=64,STEM,Biology,High School,Russian,Biology (High School in rus),Баобаб относится к семейству:,Маковы,Маревы,Бомбаксовы,Касатиковы,Паслёновы,C,test,question: Баобаб относится к семейству:,"A)
question: Баобаб принадлежит семейству:

B)
question: Баобаб входит в семейство:

C)
question: Баобаб относится к семье:

D)
question: Баобаб является представителем семейства:",question: Баобаб принадлежит семейству:,question: Баобаб входит в семейство:,question: Баобаб относится к семье:,question: Баобаб является представителем семейства:
15799,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),Найдите координаты точек пересечения графика линейной функции \(-3x + 5y = 15\) с осью \(Oy\).,\((-3; 0)\),\((0; 3)\),\((0; -3)\),\((3; 0)\),,B,test,question: Найдите координаты точек пересечения графика линейной функции \(-3x + 5y = 15\) с осью \(Oy\).,"A)
question: Определите координаты точек пересечения графика линейной функции \(-3x + 5y = 15\) с осью \(Oy\).

B)
question: Установите координаты точек пересечения графика линейной функции \(-3x + 5y = 15\) с осью \(Oy\).

C)
question: Вычислите координаты точек пересечения графика линейной функции \(-3x + 5y = 15\) с осью \(Oy\).

D)
question: Укажите координаты точек пересечения графика линейной функции \(-3x + 5y = 15\) с осью \(Oy\).",question: Определите координаты точек пересечения графика линейной функции \(-3x + 5y = 15\) с осью \(Oy\).,question: Установите координаты точек пересечения графика линейной функции \(-3x + 5y = 15\) с осью \(Oy\).,question: Вычислите координаты точек пересечения графика линейной функции \(-3x + 5y = 15\) с осью \(Oy\).,question: Укажите координаты точек пересечения графика линейной функции \(-3x + 5y = 15\) с осью \(Oy\).
19879,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),"Проблемы совести, долга, любви к ближнему, любви к природе раскрываются в произведении",Л. Н. Андреева «Баргамот и Гараська»,В. В. Набокова «Рождество»,Ю. П. Казакова «Тихое утро»,А. П. Чехова «Толстый и тонкий»,,C,test,"question: Проблемы совести, долга, любви к ближнему, любви к природе раскрываются в произведении","A)
question: Вопросы совести, долга, любви к ближнему, любви к природе раскрываются в произведении

B)
question: Проблемы нравственности, обязанности, любви к ближнему, любви к природе раскрываются в произведении

C)
question: Противоречия совести, долга, любви к ближнему, любви к природе раскрываются в произведении

D)
question: Проблемы совести, обязанности, привязанности к ближнему, любви к природе раскрываются в произведении","question: Вопросы совести, долга, любви к ближнему, любви к природе раскрываются в произведении","question: Проблемы нравственности, обязанности, любви к ближнему, любви к природе раскрываются в произведении","question: Противоречия совести, долга, любви к ближнему, любви к природе раскрываются в произведении","question: Проблемы совести, обязанности, привязанности к ближнему, любви к природе раскрываются в произведении"
6498,https://ymnik.kz/tests_old/geography_kz/?v=35,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),География ғылымы... саладан тұрады:,3,4,1,5,2,E,test,question: География ғылымы... саладан тұрады:,"A)
question: Жертану ғылымы... саладан тұрады:

B)
question: География бөлімі... саладан тұрады:

C)
question: Жертану бөлімі... саладан тұрады:

D)
question: Жер білімі... саладан тұрады:",question: Жертану ғылымы... саладан тұрады:,question: География бөлімі... саладан тұрады:,question: Жертану бөлімі... саладан тұрады:,question: Жер білімі... саладан тұрады:
6977,https://ymnik.kz/tests_old/geography_kz/?v=24,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),Техникалық дақылдар:,"Мақта, күнбағыс, қызылша.","Сұлы, күріш, арпа.","Жүзім, бидай, жүгері.","Бидай, күнбағыс, арпа.","Картоп, бау- бақша, күнбағыс.",A,test,question: Техникалық дақылдар:,"A)
question: Өнеркәсіптік егіндер:

B)
question: Өндірістік егіндер:

C)
question: Технологиялық өсімдіктер:

D)
question: Өнеркәсіптік өнімдер:",question: Өнеркәсіптік егіндер:,question: Өндірістік егіндер:,question: Технологиялық өсімдіктер:,question: Өнеркәсіптік өнімдер:
13808,https://oltest.kz/tests/menedzhment_i_marketing/,"Social Science





",Management and Marketing ,University,Russian,Management and Marketing (Professional & University in rus),"Эту модель, при разработке управленческих решений, используют для нахождения оптимального числа каналов обслуживания при определенном уровне спроса:
","Модель теории игр
","Модель управления запасами
","Модель теории очередей
","Модель линейного программирования
","Экспертная модель
",C,test,"question: Эту модель, при разработке управленческих решений, используют для нахождения оптимального числа каналов обслуживания при определенном уровне спроса:
","A)
question: Данную модель, при разработке управленческих решений, применяют для определения оптимального количества каналов обслуживания при заданном уровне спроса:

B)
question: Эту схему, при разработке управленческих решений, используют для нахождения оптимального числа линий обслуживания при определенном уровне спроса:

C)
question: Данную модель, при формировании управленческих решений, применяют для поиска оптимального количества сервисных каналов при заданном уровне спроса:

D)
question: Эту модель, при разработке административных решений, используют для определения оптимального числа каналов обслуживания при заданном уровне спроса:","question: Данную модель, при разработке управленческих решений, применяют для определения оптимального количества каналов обслуживания при заданном уровне спроса:","question: Эту схему, при разработке управленческих решений, используют для нахождения оптимального числа линий обслуживания при определенном уровне спроса:","question: Данную модель, при формировании управленческих решений, применяют для поиска оптимального количества сервисных каналов при заданном уровне спроса:","question: Эту модель, при разработке административных решений, используют для определения оптимального числа каналов обслуживания при заданном уровне спроса:"
20801,https://oltest.kz/tests/obshchestvennye_nauki/,"Social Science





",Social Science,University,Russian,Social Science (Professional & University in rus),"Принцип разделения властей предусматривает разделение следующих ветвей власти:
","федеральной, социальной, законодательной
","Президентской, парламентской, конституционной
","центральной, региональной, местной
","судебной, законодательной, исполнительной
","партийной, государственной, экономической
",D,test,"question: Принцип разделения властей предусматривает разделение следующих ветвей власти:
","A)
question: Постулат деления органов предполагает деление указанных ветвей власти:

B)
question: Норма распределения органов устанавливает распределение перечисленных ветвей власти:

C)
question: Принцип распределения органов подразумевает распределение нижеследующих отраслей власти:

D)
question: Постулат разделения органов власти предполагает деление следующих сфер власти:",question: Постулат деления органов предполагает деление указанных ветвей власти:,question: Норма распределения органов устанавливает распределение перечисленных ветвей власти:,question: Принцип распределения органов подразумевает распределение нижеследующих отраслей власти:,question: Постулат разделения органов власти предполагает деление следующих сфер власти:
4503,https://itest.kz/ru/endless,STEM,Chemistry,High School,Russian,Chemistry (High School in rus),"Число моль анионов, оставшихся в растворе в результате взаимодейтсвия 1 моля нитрата цинка с 2 молями гидроксида натрия",4,6,2,3,,C,test,"question: Число моль анионов, оставшихся в растворе в результате взаимодейтсвия 1 моля нитрата цинка с 2 молями гидроксида натрия","A)
question: Количество моль анионов, оставшихся в растворе в результате взаимодейтсвия 1 моля нитрата цинка с 2 молями гидроксида натрия

B)
question: Число молей анионов, находящихся в растворе в результате взаимодейтсвия 1 моля нитрата цинка с 2 молями гидроксида натрия

C)
question: Количество молей анионов, оставшихся в среде в результате взаимодейтсвия 1 моля нитрата цинка с 2 молями гидроксида натрия

D)
question: Число моль анионов, сохранившихся в растворе в результате взаимодейтсвия 1 моля нитрата цинка с 2 молями гидроксида натрия","question: Количество моль анионов, оставшихся в растворе в результате взаимодейтсвия 1 моля нитрата цинка с 2 молями гидроксида натрия","question: Число молей анионов, находящихся в растворе в результате взаимодейтсвия 1 моля нитрата цинка с 2 молями гидроксида натрия","question: Количество молей анионов, оставшихся в среде в результате взаимодейтсвия 1 моля нитрата цинка с 2 молями гидроксида натрия","question: Число моль анионов, сохранившихся в растворе в результате взаимодейтсвия 1 моля нитрата цинка с 2 молями гидроксида натрия"
12161,https://itest.kz/kz/endless,Humanities,Kazakh_Literature,High School,Kazakh,Kazakh Literature (High School in kaz),«Сырттандар» ертегісінде бала неден қашатынын көрсетіңіз.,Қасқырдан,Түлкіден,Иттен,Қарсақтан,,A,test,question: «Сырттандар» ертегісінде бала неден қашатынын көрсетіңіз.,"A)
question: «Сырттандар» ертегісінде бала неден қашатынын айтыңыз.

B)
question: «Сырттандар» әңгімесінде бала неден қашатынын көрсетіңіз.

C)
question: «Сырттандар» ертегісінде бала неден қашатынын анықтаңыз.

D)
question: «Сырттандар» әңгімесінде бала неден қашатынын айтыңыз.",question: «Сырттандар» ертегісінде бала неден қашатынын айтыңыз.,question: «Сырттандар» әңгімесінде бала неден қашатынын көрсетіңіз.,question: «Сырттандар» ертегісінде бала неден қашатынын анықтаңыз.,question: «Сырттандар» әңгімесінде бала неден қашатынын айтыңыз.
19886,https://ymnik.kz/tests_old/literature/?v=15,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),"Композиционная часть некотором царстве, в некотором государстве жили-были … в народной сказке называется:",Развязка.,Зачин.,Экспозиция.,Завязка.,Присказка.,B,test,"question: Композиционная часть некотором царстве, в некотором государстве жили-были … в народной сказке называется:","A)
question: Структурная часть одном царстве, в одном государстве жили-были … в народной сказке именуется:

B)
question: Сюжетная часть некотором царстве, в некотором государстве жили-были … в фольклорной сказке называется:

C)
question: Композиционный фрагмент некотором царстве, в некотором государстве жили-были … в народной сказке именуется:

D)
question: Составная часть далёком царстве, в далёком государстве жили-были … в народной сказке называется:","question: Структурная часть одном царстве, в одном государстве жили-были … в народной сказке именуется:","question: Сюжетная часть некотором царстве, в некотором государстве жили-были … в фольклорной сказке называется:","question: Композиционный фрагмент некотором царстве, в некотором государстве жили-были … в народной сказке именуется:","question: Составная часть далёком царстве, в далёком государстве жили-были … в народной сказке называется:"
836,https://ymnik.kz/tests_old/biology_kz/?v=13,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Төменгі қысымды қан жүретін тамыр:,Өкпе көктамыры.,Салатамыр.,Қолқа.,Қылтамыр.,Көктамыр.,D,test,question: Төменгі қысымды қан жүретін тамыр:,"A)
question: Қысымы төмен қан ағатын тамыр:

B)
question: Төмен қысымды қан ағатын тамыр:

C)
question: Қысым төмен қан жүретін тамыр:

D)
question: Төменгі қысымды қан ағатын қантамыр:",question: Қысымы төмен қан ағатын тамыр:,question: Төмен қысымды қан ағатын тамыр:,question: Қысым төмен қан жүретін тамыр:,question: Төменгі қысымды қан ағатын қантамыр:
5610,https://oltest.kz/tests/finansy_i_kredit/,"Social Science





","Finance, credit, insurance ",University,Russian,Finance (Professional & University in rus),"Национальный банк РК является:
","государственным банком
","частным банком
","акционерным обществом
","товарищество с ограниченной ответственностью
",кооперативом,A,test,"question: Национальный банк РК является:
","A)
question: Государственный банк РК является:

B)
question: Центральный банк РК является:

C)
question: Основной банк РК является:

D)
question: Ключевой банк РК является:",question: Государственный банк РК является:,question: Центральный банк РК является:,question: Основной банк РК является:,question: Ключевой банк РК является:
