мәтін1,мәтін2,жапсырма,idx,белгі_мәтіні,instance,generated_options,option_a,option_b,option_c,option_d
" Сэм Адамнан француз тілі сабақтарын алды, себебі ол француз тілінде еркін сөйлейтіні белгілі болды.",Сэм оны еркін сөйлейтіні белгілі болды.,0,55,міндеттеме емес,"мәтін1:  Сэм Адамнан француз тілі сабақтарын алды, себебі ол француз тілінде еркін сөйлейтіні белгілі болды.
мәтін2: Сэм оны еркін сөйлейтіні белгілі болды.
жапсырма: 0","A) Сэм Адамнан француз тілі сабақтарын қабылдады, себебі ол француз тілінде еркін сөйлейтіні анықталды.

B) Сэм Адамнан француз тілі сабақтарын алды, себебі ол француз тілінде еркін сөйлейтіні мәлім болды.

C) Сэм Адамнан француз тілі сабақтарын үйренді, себебі ол француз тілінде еркін сөйлеу қабілеті бар екендігі белгілі болды.

D) Сэм Адамнан француз тілі дәрістерін алды, себебі ол француз тілінде еркін сөйлейтіндігі айқын болды.","Сэм Адамнан француз тілі сабақтарын қабылдады, себебі ол француз тілінде еркін сөйлейтіні анықталды.","Сэм Адамнан француз тілі сабақтарын алды, себебі ол француз тілінде еркін сөйлейтіні мәлім болды.","Сэм Адамнан француз тілі сабақтарын үйренді, себебі ол француз тілінде еркін сөйлеу қабілеті бар екендігі белгілі болды.","Сэм Адамнан француз тілі дәрістерін алды, себебі ол француз тілінде еркін сөйлейтіндігі айқын болды."
" Журналистер жаңа фильмнің жұлдыздарымен сұхбат жүргізді. Олар өте табанды болды, сондықтан сұхбат ұзаққа созылды.","Журналистер өте табанды болды, сондықтан сұхбат ұзаққа созылды.",1,56,тарту,"мәтін1:  Журналистер жаңа фильмнің жұлдыздарымен сұхбат жүргізді. Олар өте табанды болды, сондықтан сұхбат ұзаққа созылды.
мәтін2: Журналистер өте табанды болды, сондықтан сұхбат ұзаққа созылды.
жапсырма: 1","A) Журналистер жаңа фильмнің жұлдыздарымен сұхбат жасады. Олар өте табанды болды, сондықтан сұхбат ұзаққа созылды.  
B) Журналистер жаңа фильмнің жұлдыздарымен әңгіме жүргізді. Олар өте табанды болды, сондықтан сұхбат ұзаққа созылды.  
C) Журналистер жаңа фильмнің жұлдыздарымен сөйлесу өткізді. Олар өте табанды болды, сондықтан сұхбат ұзаққа созылды.  
D) Журналистер жаңа фильмнің жұлдыздарымен пікір алмасу жасады. Олар өте табанды болды, сондықтан сұхбат ұзаққа созылды.  ","Журналистер жаңа фильмнің жұлдыздарымен сұхбат жасады. Олар өте табанды болды, сондықтан сұхбат ұзаққа созылды.","Журналистер жаңа фильмнің жұлдыздарымен әңгіме жүргізді. Олар өте табанды болды, сондықтан сұхбат ұзаққа созылды.","Журналистер жаңа фильмнің жұлдыздарымен сөйлесу өткізді. Олар өте табанды болды, сондықтан сұхбат ұзаққа созылды.","Журналистер жаңа фильмнің жұлдыздарымен пікір алмасу жасады. Олар өте табанды болды, сондықтан сұхбат ұзаққа созылды."
" Менің және сахнаның арасында бағана бар, мен оның айналасын көре алмаймын.",Мен бағананың айналасын көре алмаймын.,1,7,тарту,"мәтін1:  Менің және сахнаның арасында бағана бар, мен оның айналасын көре алмаймын.
мәтін2: Мен бағананың айналасын көре алмаймын.
жапсырма: 1","A)  
Менің және сахнаның арасында тірек бар, мен оның айналасын көре алмаймын.  

B)  
Менің және сахнаның арасында бағана бар, мен оның жан-жағын көре алмаймын.  

C)  
Менің және сахнаның арасында бағана бар, мен оның айналасында көре алмаймын.  

D)  
Менің және сахнаның арасында бағана бар, мен оның төңірегін көре алмаймын.  ","Менің және сахнаның арасында тірек бар, мен оның айналасын көре алмаймын.","Менің және сахнаның арасында бағана бар, мен оның жан-жағын көре алмаймын.","Менің және сахнаның арасында бағана бар, мен оның айналасында көре алмаймын.","Менің және сахнаның арасында бағана бар, мен оның төңірегін көре алмаймын."
"Алиса тобырдың арасынан досы Джейдті іздеді. Ол әрқашан қызыл сәлде киетіндіктен, Алиса оны тез байқады."," Алиса әрқашан қызыл сәлде киетіндіктен, Алиса оны тез байқады.",0,67,міндеттеме емес,"мәтін1: Алиса тобырдың арасынан досы Джейдті іздеді. Ол әрқашан қызыл сәлде киетіндіктен, Алиса оны тез байқады.
мәтін2:  Алиса әрқашан қызыл сәлде киетіндіктен, Алиса оны тез байқады.
жапсырма: 0","A) Алиса толғаныс арасынан досы Джейдті іздеді. Ол әрқашан қызыл сәлде киетіндіктен, Алиса оны тез аңғарды.

B) Алиса топтың арасынан досы Джейдті іздеді. Ол әрқашан қызыл сәлде киетіндіктен, Алиса оны тез байқап қалды.

C) Алиса жинаудың арасынан досы Джейдті іздеді. Ол әрқашан қызыл сәлде кимейтіндіктен, Алиса оны тез көреді.

D) Алиса жинақтың арасынан досы Джейдті іздеді. Ол әрқашан қызыл сәлде киетіндіктен, Алиса оны тез байқады.","Алиса толғаныс арасынан досы Джейдті іздеді. Ол әрқашан қызыл сәлде киетіндіктен, Алиса оны тез аңғарды.","Алиса топтың арасынан досы Джейдті іздеді. Ол әрқашан қызыл сәлде киетіндіктен, Алиса оны тез байқап қалды.","Алиса жинаудың арасынан досы Джейдті іздеді. Ол әрқашан қызыл сәлде кимейтіндіктен, Алиса оны тез көреді.","Алиса жинақтың арасынан досы Джейдті іздеді. Ол әрқашан қызыл сәлде киетіндіктен, Алиса оны тез байқады."
" Бүгін таңертең Джой жағажайда құмнан сарай тұрғызып, ең биік мұнараға ойыншық жалауша орнатты, бірақ бүгін түстен кейін жел оны құлатып тастады.",Бүгін түстен кейін жел құмды сарайды құлатты.,0,64,міндеттеме емес,"мәтін1:  Бүгін таңертең Джой жағажайда құмнан сарай тұрғызып, ең биік мұнараға ойыншық жалауша орнатты, бірақ бүгін түстен кейін жел оны құлатып тастады.
мәтін2: Бүгін түстен кейін жел құмды сарайды құлатты.
жапсырма: 0","A) Бүгін таңертең Джой жағажайда құмнан сарай тұрғызып, ең биік мұнараға ойыншық жалау орнатты, бірақ бүгін түстен кейін жел оны құлатып жіберді.

B) Бүгін таңертең Джой жағажайда құмнан сарай тұрғызып, ең жоғары мұнараға ойыншық жалауша орналастырды, бірақ бүгін түстен кейін жел оны құлатып қойды.

C) Бүгін таңертең Джой жағажайда құмнан сарай тұрғызып, ең биік мұнараға ойыншық жалауша орналастырды, бірақ бүгін түстен кейін жел оны құлатып жіберді.

D) Бүгін таңертең Джой жағажайда құмнан сарай тұрғызып, ең биік мұнараға ойыншық ту орнатты, бірақ бүгін түстен кейін жел оны құлатты.","Бүгін таңертең Джой жағажайда құмнан сарай тұрғызып, ең биік мұнараға ойыншық жалау орнатты, бірақ бүгін түстен кейін жел оны құлатып жіберді.","Бүгін таңертең Джой жағажайда құмнан сарай тұрғызып, ең жоғары мұнараға ойыншық жалауша орналастырды, бірақ бүгін түстен кейін жел оны құлатып қойды.","Бүгін таңертең Джой жағажайда құмнан сарай тұрғызып, ең биік мұнараға ойыншық жалауша орналастырды, бірақ бүгін түстен кейін жел оны құлатып жіберді.","Бүгін таңертең Джой жағажайда құмнан сарай тұрғызып, ең биік мұнараға ойыншық ту орнатты, бірақ бүгін түстен кейін жел оны құлатты."
" Олар ақыры тынышталып, үйлеріне жеткенде, Фарли мырза сиқырлы тасты темір сейфке салды. Бір күні олар оны пайдаланғысы келуі мүмкін, бірақ шын мәнінде әзірге олар тағы не тілейді?",Бір күні олар сейфті пайдаланғысы келуі мүмкін.,0,49,міндеттеме емес,"мәтін1:  Олар ақыры тынышталып, үйлеріне жеткенде, Фарли мырза сиқырлы тасты темір сейфке салды. Бір күні олар оны пайдаланғысы келуі мүмкін, бірақ шын мәнінде әзірге олар тағы не тілейді?
мәтін2: Бір күні олар сейфті пайдаланғысы келуі мүмкін.
жапсырма: 0","A) Олар ақыры тынышталғанда, үйлеріне жеткенде, Фарли мырза сиқырлы тасты темір сейфке орналастырды. Бір күні олар оны қолданғысы келуі мүмкін, бірақ шын мәнінде әзірше олар тағы не қалайды?  
B) Олар ақыры тынышталғаннан кейін, үйлеріне жеткенде, Фарли мырза сиқырлы тасты темір сейфке орналастырды. Бір күні олар оны қолданғысы келуі мүмкін, бірақ шын мәнінде әзірше олар тағы не тілей алады?  
C) Олар ақыры тынышталғанда, үйлеріне жеткенде, Фарли мырза сиқырлы тасты темір сейфке қосты. Бір күні олар оны қолдануды қалайтын шығар, бірақ шын мәнінде әлі де олар тағы не талап етеді?  
D) Олар ақыры тынышталғанда, үйлеріне жеткенде, Фарли мырза сиқырлы тасты темір сейфке салды. Бір күні олар оны пайдалануға қызығушылық танытуы мүмкін, бірақ шын мәнінде әзірше олар тағы не күтеді?  ","Олар ақыры тынышталғанда, үйлеріне жеткенде, Фарли мырза сиқырлы тасты темір сейфке орналастырды. Бір күні олар оны қолданғысы келуі мүмкін, бірақ шын мәнінде әзірше олар тағы не қалайды?","Олар ақыры тынышталғаннан кейін, үйлеріне жеткенде, Фарли мырза сиқырлы тасты темір сейфке орналастырды. Бір күні олар оны қолданғысы келуі мүмкін, бірақ шын мәнінде әзірше олар тағы не тілей алады?","Олар ақыры тынышталғанда, үйлеріне жеткенде, Фарли мырза сиқырлы тасты темір сейфке қосты. Бір күні олар оны қолдануды қалайтын шығар, бірақ шын мәнінде әлі де олар тағы не талап етеді?","Олар ақыры тынышталғанда, үйлеріне жеткенде, Фарли мырза сиқырлы тасты темір сейфке салды. Бір күні олар оны пайдалануға қызығушылық танытуы мүмкін, бірақ шын мәнінде әзірше олар тағы не күтеді?"
Сұлы печеньесін барлығы қатты ұнатты; шоколадты печеньені бірнеше адам ғана ұнатты. Келесі жолы оларды азырақ жасауымыз керек.,Сұлы печеньесін азырақ жасауымыз керек.,0,17,міндеттеме емес,"мәтін1: Сұлы печеньесін барлығы қатты ұнатты; шоколадты печеньені бірнеше адам ғана ұнатты. Келесі жолы оларды азырақ жасауымыз керек.
мәтін2: Сұлы печеньесін азырақ жасауымыз керек.
жапсырма: 0","A) Сұлы бәлішін барлығы қатты ұнатты; шоколадты бәлішті бірнеше адам ғана ұнатты. Келесі жолы оларды азырақ жасауымыз қажет.

B) Сұлы печеньесін барлығы қатты жақсы көрді; шоколадты печеньені бірнеше адам ғана жақсы көрді. Келесі жолы оларды азырақ жасауымыз керек.

C) Сұлы печеньесін барлығы өте ұнатты; шоколадты печеньені тек бірнеше адам ғана ұнатты. Келесі жолы оларды азырақ жасауымыз қажет.

D) Сұлы тәттісін барлығы қатты бағалады; шоколадты тәттісін бірнеше адам ғана бағалады. Келесі жолы оларды азырақ жасауымыз керек.",Сұлы бәлішін барлығы қатты ұнатты; шоколадты бәлішті бірнеше адам ғана ұнатты. Келесі жолы оларды азырақ жасауымыз қажет.,Сұлы печеньесін барлығы қатты жақсы көрді; шоколадты печеньені бірнеше адам ғана жақсы көрді. Келесі жолы оларды азырақ жасауымыз керек.,Сұлы печеньесін барлығы өте ұнатты; шоколадты печеньені тек бірнеше адам ғана ұнатты. Келесі жолы оларды азырақ жасауымыз қажет.,Сұлы тәттісін барлығы қатты бағалады; шоколадты тәттісін бірнеше адам ғана бағалады. Келесі жолы оларды азырақ жасауымыз керек.
" Олар хабарландыру таратты, бірақ станцияға метро кірді, мен оны ести алмадым.",Мен метроның дыбысын ести алмадым.,0,57,міндеттеме емес,"мәтін1:  Олар хабарландыру таратты, бірақ станцияға метро кірді, мен оны ести алмадым.
мәтін2: Мен метроның дыбысын ести алмадым.
жапсырма: 0","A)
Олар жарнаманы таратты, бірақ станцияға метро кірді, мен оны ести алмай қалдым.

B)
Олар хабарламаны таратты, бірақ станцияға метро кірді, мен оны ести алмай қалғаным.

C)
Олар біліктеуді таратты, бірақ станцияға метро кірді, мен оны ести алмай тұрдым.

D)
Олар ақпаратты таратты, бірақ станцияға метро кірді, мен оны ести алмайсыз.","Олар жарнаманы таратты, бірақ станцияға метро кірді, мен оны ести алмай қалдым.","Олар хабарламаны таратты, бірақ станцияға метро кірді, мен оны ести алмай қалғаным.","Олар біліктеуді таратты, бірақ станцияға метро кірді, мен оны ести алмай тұрдым.","Олар ақпаратты таратты, бірақ станцияға метро кірді, мен оны ести алмайсыз."
" Ешкім Facebook-ке қайғырып, жалғызсырау үшін кірмейді. Бірақ Висконсин университетінің психологы Джордж Линкольннің жаңа зерттеуі дәл осылай сезінуге мәжбүр ететінін айтады.",Facebook бізге дәл осылай әсер етеді.,1,3,тарту,"мәтін1:  Ешкім Facebook-ке қайғырып, жалғызсырау үшін кірмейді. Бірақ Висконсин университетінің психологы Джордж Линкольннің жаңа зерттеуі дәл осылай сезінуге мәжбүр ететінін айтады.
мәтін2: Facebook бізге дәл осылай әсер етеді.
жапсырма: 1","A)
Ешкім Facebook-ке мұңайып, жалғыздыққа батуы үшін кірмейді. Бірақ Висконсин университетінің психологы Джордж Линкольннің жаңа зерттеуі дәл осылайдан сезінуге мәжбүр ететінін айтады.

B)
Ешкім Facebook-ке қайғырып, жалғыздыққа түсу үшін кірмейді. Бірақ Висконсин университетінің психологы Джордж Линкольннің жаңа зерттеуі дәл осылай сезінуге мәжбүр ететінін айтады.

C)
Ешкім Facebook-ке қайғырып, жалғыздыққа бой алдыру үшін кірмейді. Бірақ Висконсин университетінің психологы Джордж Линкольннің жаңа зерттеуі дәл осылай сезінуге мәжбүр ететінін айтады.

D)
Ешкім Facebook-ке мұңайып, жалғызсырау үшін кірмейді. Бірақ Висконсин университетінің психологы Джордж Линкольннің жаңа зерттеуі дәл осылай әсер етуі мәжбүр ететінін айтады.","Ешкім Facebook-ке мұңайып, жалғыздыққа батуы үшін кірмейді. Бірақ Висконсин университетінің психологы Джордж Линкольннің жаңа зерттеуі дәл осылайдан сезінуге мәжбүр ететінін айтады.","Ешкім Facebook-ке қайғырып, жалғыздыққа түсу үшін кірмейді. Бірақ Висконсин университетінің психологы Джордж Линкольннің жаңа зерттеуі дәл осылай сезінуге мәжбүр ететінін айтады.","Ешкім Facebook-ке қайғырып, жалғыздыққа бой алдыру үшін кірмейді. Бірақ Висконсин университетінің психологы Джордж Линкольннің жаңа зерттеуі дәл осылай сезінуге мәжбүр ететінін айтады.","Ешкім Facebook-ке мұңайып, жалғызсырау үшін кірмейді. Бірақ Висконсин университетінің психологы Джордж Линкольннің жаңа зерттеуі дәл осылай әсер етуі мәжбүр ететінін айтады."
Қарашы! Дәл сол үйректің астында кішкентай балық жүзіп жүр! Тезірек қауіпсіз жерге қашып кетуі керек!,Үйректің тезірек қауіпсіз жерге қашып кетуі керек еді!,0,8,міндеттеме емес,"мәтін1: Қарашы! Дәл сол үйректің астында кішкентай балық жүзіп жүр! Тезірек қауіпсіз жерге қашып кетуі керек!
мәтін2: Үйректің тезірек қауіпсіз жерге қашып кетуі керек еді!
жапсырма: 0","A)  
Қарашы! Дәл сол үйректің астында кішкентай балық жүзуші жүр! Тезірек қауіпсіз орынға қашып кетуі керек!  

B)  
Қарашы! Дәл сол үйректің астында кіші балық жүзіп жатыр! Тезірек қауіпсіз жерге қашып шығуы қажет!  

C)  
Қарашы! Дәл сол үйректің астында кішкентай балық жүзіп тұрады! Тезірек қауіпсіз орынға қашып кетуі тиіс!  

D)  
Қарашы! Дәл сол үйректің астында кішкентай балық жүзуде! Тезірек қауіпсіз жерге қашып шығуы керек!  ",Қарашы! Дәл сол үйректің астында кішкентай балық жүзуші жүр! Тезірек қауіпсіз орынға қашып кетуі керек!,Қарашы! Дәл сол үйректің астында кіші балық жүзіп жатыр! Тезірек қауіпсіз жерге қашып шығуы қажет!,Қарашы! Дәл сол үйректің астында кішкентай балық жүзіп тұрады! Тезірек қауіпсіз орынға қашып кетуі тиіс!,Қарашы! Дәл сол үйректің астында кішкентай балық жүзуде! Тезірек қауіпсіз жерге қашып шығуы керек!
" Джон кітапханада зерттеу жүргізіп отырғанда, бір адамның ызыңдап, ысқырғанын естіді. Ол өте тітіркендіргіш еді.",Джон қатты ашулы болды.,0,42,міндеттеме емес,"мәтін1:  Джон кітапханада зерттеу жүргізіп отырғанда, бір адамның ызыңдап, ысқырғанын естіді. Ол өте тітіркендіргіш еді.
мәтін2: Джон қатты ашулы болды.
жапсырма: 0","A) Джон кітапханада зерттеу жасап отырғанда, бір адамның ызыңдап, ысқырғанын естіді. Ол өте мазасыз еді.  
B) Джон кітапханада ғылыми жұмыс жүргізіп отырғанда, бір адамның ызыңдап, ысқырғанын естіді. Ол өте тітіркендіргіш еді.  
C) Джон кітапханада зерттеу жүргізіп отырғанда, бір адамның шудырып, ысқырығанын естіді. Ол өте жағымсыз еді.  
D) Джон кітапханада зерттеу жасап отырғанда, бір адамның ызыңдап, ысқыруын естіді. Ол өте нервозды еді.  ","Джон кітапханада зерттеу жасап отырғанда, бір адамның ызыңдап, ысқырғанын естіді. Ол өте мазасыз еді.","Джон кітапханада ғылыми жұмыс жүргізіп отырғанда, бір адамның ызыңдап, ысқырғанын естіді. Ол өте тітіркендіргіш еді.","Джон кітапханада зерттеу жүргізіп отырғанда, бір адамның шудырып, ысқырығанын естіді. Ол өте жағымсыз еді.","Джон кітапханада зерттеу жасап отырғанда, бір адамның ызыңдап, ысқыруын естіді. Ол өте нервозды еді."
" Бет оны бөліп тастаған Саллиге ашуланған жоқ, себебі ол тоқтап, кешірім сұрады."," Салли тоқтап, кешірім сұрады.",1,32,тарту,"мәтін1:  Бет оны бөліп тастаған Саллиге ашуланған жоқ, себебі ол тоқтап, кешірім сұрады.
мәтін2:  Салли тоқтап, кешірім сұрады.
жапсырма: 1","A)
Бет оны бөліп тастаған Саллиге ренжіген жоқ, себебі ол тоқтап, кешірім сұрады.

B)
Бет оны бөліп тастаған Саллиге ұрсыған жоқ, себебі ол тоқтап, кешірім сұрады.

C)
Бет оны бөліп тастаған Саллиге наразы болған жоқ, себебі ол тоқтап, кешірім сұрады.

D)
Бет оны бөліп тастаған Саллиге ашуланбаған жоқ, себебі ол тоқтап, кешірім сұрады.","Бет оны бөліп тастаған Саллиге ренжіген жоқ, себебі ол тоқтап, кешірім сұрады.","Бет оны бөліп тастаған Саллиге ұрсыған жоқ, себебі ол тоқтап, кешірім сұрады.","Бет оны бөліп тастаған Саллиге наразы болған жоқ, себебі ол тоқтап, кешірім сұрады.","Бет оны бөліп тастаған Саллиге ашуланбаған жоқ, себебі ол тоқтап, кешірім сұрады."
