id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_a,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
13346,https://itest.kz/ru/endless,Humanities,Law,High School,Russian,Law (High School in rus),К высшей политической элите относятся,"Члены правительства, руководители ведомств и комитетов","Лица, которые находятся на высших ступенях власти и принимают все важнейшие решения","Лица, которые входят в высший слой государственных служащих","Лица, обладающие определенным уровнем дохода",,B,test,К высшей политической элите относятся,"A)
К верхушечной государственной верхушке причисляются

B)
К топовой правительственной касте принадлежат

C)
К главенствующей властной номенклатуре причисляются

D)
К лидирующей управленческой прослойке относятся",К верхушечной государственной верхушке причисляются,К топовой правительственной касте принадлежат,К главенствующей властной номенклатуре причисляются,К лидирующей управленческой прослойке относятся,E,E,E,E,E
21930,https://itest.kz/kz/endless,Humanities,World_History,High School,Kazakh,World History (High School in kaz),"Б.з.б. 443–429 жж. Афиныда бірінші стратег қызметіне сайланған демос

көсемі, шешен:",Фемистокл,Леонид,Перикл,Демосфен,,C,test,"Б.з.б. 443–429 жж. Афиныда бірінші стратег қызметіне сайланған демос

көсемі, шешен:","A)
Б.д.д. 443–429 жж. Афиныда алғашқы стратег лауазымына таңдалған халық жетекшісі, ділмар:

B)
Біздің заманымызға дейінгі 443–429 жж. Афиныда басты стратег орнына қойылған бұқара басшысы, шешен:

C)
Б.з.д. 443–429 жж. Афиныда бірінші стратег міндетіне бекітілген демос алдындағы тұлға, көсемсөзші:

D)
Б.д. дейінгі 443–429 жж. Афиныда негізгі стратег қызметіне дауыспен келген қауым жетекшісі, шешен:","Б.д.д. 443–429 жж. Афиныда алғашқы стратег лауазымына таңдалған халық жетекшісі, ділмар:","Біздің заманымызға дейінгі 443–429 жж. Афиныда басты стратег орнына қойылған бұқара басшысы, шешен:","Б.з.д. 443–429 жж. Афиныда бірінші стратег міндетіне бекітілген демос алдындағы тұлға, көсемсөзші:","Б.д. дейінгі 443–429 жж. Афиныда негізгі стратег қызметіне дауыспен келген қауым жетекшісі, шешен:",E,A,E,E,E
20307,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),Обязательный элемент басни,Народные приметы,Мораль,Сравнение,Звуковые повторы,,B,test,Обязательный элемент басни,"A)
Необходимый компонент аполога

B)
Неотъемлемая составляющая притчи

C)
Непременный фрагмент иносказания

D)
Принудительный ингредиент нравоучения",Необходимый компонент аполога,Неотъемлемая составляющая притчи,Непременный фрагмент иносказания,Принудительный ингредиент нравоучения,E,E,E,A,E
3432,https://itest.kz/kz/endless,STEM,Chemistry,High School,Kazakh,Chemistry (High School in kaz),Темір катионының \(Fe^{3+}\) электрондық конфигурациясы.,\(3d^34s^2\),\(3d^54s^0\),\(3d^64s^1\),\(3d^54s^2\),,B,test,Темір катионының \(Fe^{3+}\) электрондық конфигурациясы.,"A)
Темір ионының \(Fe^{3+}\) электрондық құрылымы.

B)
Темір бөлшегінің \(Fe^{3+}\) электрондық сипаттамасы.

C)
Темір катионының \(Fe^{3+}\) электрондық орналасуы.

D)
Темір элементінің \(Fe^{3+}\) электрондық формуласы.",Темір ионының \(Fe^{3+}\) электрондық құрылымы.,Темір бөлшегінің \(Fe^{3+}\) электрондық сипаттамасы.,Темір катионының \(Fe^{3+}\) электрондық орналасуы.,Темір элементінің \(Fe^{3+}\) электрондық формуласы.,E,E,E,E,E
4248,https://itest.kz/ru/endless,STEM,Chemistry,High School,Russian,Chemistry (High School in rus),"При нормальных условиях атмосферное давление равно 101,25 кПа (1 атм или 760 мм рт. столба). Определите температуру при нормальных условиях.","288,15 K \((15^°C)\)","273,15 K \((0^°C)\)","283,15 K \((10^°C)\)","298,15 K \((25^°C)\)",,B,test,"При нормальных условиях атмосферное давление равно 101,25 кПа (1 атм или 760 мм рт. столба). Определите температуру при нормальных условиях.","A)
При стандартных обстоятельствах воздушное давление составляет 101,25 кПа (1 атм либо 760 мм рт. столба). Вычислите температуру при стандартных обстоятельствах.

B)
В обычных ситуациях барометрическое давление составляет 101,25 кПа (1 атм или 760 мм рт. столба). Установите температуру в обычных ситуациях.

C)
При естественных режимах газовое давление равняется 101,25 кПа (1 атм или 760 мм рт. столба). Найдите температуру при естественных режимах.

D)
В типичных состояниях давление атмосферы насчитывает 101,25 кПа (1 атм или 760 мм рт. столба). Выявите температуру в типичных состояниях.","При стандартных обстоятельствах воздушное давление составляет 101,25 кПа (1 атм либо 760 мм рт. столба). Вычислите температуру при стандартных обстоятельствах.","В обычных ситуациях барометрическое давление составляет 101,25 кПа (1 атм или 760 мм рт. столба). Установите температуру в обычных ситуациях.","При естественных режимах газовое давление равняется 101,25 кПа (1 атм или 760 мм рт. столба). Найдите температуру при естественных режимах.","В типичных состояниях давление атмосферы насчитывает 101,25 кПа (1 атм или 760 мм рт. столба). Выявите температуру в типичных состояниях.",A,A,E,E,E
15839,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),Решите уравнение: 16х² – 9 = 0,\(\frac{9}{16}\) и \(-\frac{9}{16}\),\(\frac34\) и \(-\frac34\),3 и –3,1 и –1,,B,test,Решите уравнение: 16х² – 9 = 0,"A)
Найдите корни уравнения: 16х² – 9 = 0

B)
Вычислите данное уравнение: 16х² – 9 = 0

C)
Определите решение уравнения: 16х² – 9 = 0

D)
Развяжите это уравнение: 16х² – 9 = 0",Найдите корни уравнения: 16х² – 9 = 0,Вычислите данное уравнение: 16х² – 9 = 0,Определите решение уравнения: 16х² – 9 = 0,Развяжите это уравнение: 16х² – 9 = 0,E,E,E,E,E
6539,https://itest.kz/kz/endless,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),Жанатын пайдалы қазбалар,"Көмір, мыс","Фосфорит, газ","Көмір, қорғасын","Мұнай, көмір",,D,test,Жанатын пайдалы қазбалар,"A)
Тұтанатын тиімді кен байлықтары

B)
Лаулайтын кәделі табиғи ресурстар

C)
Оталатын жарамды жер қойнауы

D)
Жарқырайтын пайдалы қазба байлықтар",Тұтанатын тиімді кен байлықтары,Лаулайтын кәделі табиғи ресурстар,Оталатын жарамды жер қойнауы,Жарқырайтын пайдалы қазба байлықтар,E,E,E,E,E
9817,https://ymnik.kz/tests_old/history/?v=56,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),В декабре 1931 г. Президиум ЦИК и Совнарком Каз. ССР ввели:,Всеобщее обязательное семилетнее обучение.,Всеобщее обязательное начальное обучение.,Всеобщее вечернее обучение работающей молодежи.,Всеобщее обязательное среднее обучение.,Всеобщее обязательное обучение неграмотного населения в возрасте от 15 до 50 лет.,E,test,В декабре 1931 г. Президиум ЦИК и Совнарком Каз. ССР ввели:,"A)
В декабре 1931 г. Президиум ЦИК и Совнарком Каз. ССР установили:

B)
В декабре 1931 г. Президиум ЦИК и Совнарком Каз. ССР утвердили:

C)
В декабре 1931 г. Президиум ЦИК и Совнарком Каз. ССР внедрили:

D)
В декабре 1931 г. Президиум ЦИК и Совнарком Каз. ССР приняли:",В декабре 1931 г. Президиум ЦИК и Совнарком Каз. ССР установили:,В декабре 1931 г. Президиум ЦИК и Совнарком Каз. ССР утвердили:,В декабре 1931 г. Президиум ЦИК и Совнарком Каз. ССР внедрили:,В декабре 1931 г. Президиум ЦИК и Совнарком Каз. ССР приняли:,E,E,E,E,E
480,https://itest.kz/kz/endless,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Суды радиоактивті заттардан тазартуға қатысатын теңіз жануарлары:,Бунақденелілер,Буынаяқтылар,Тікентерілілер,Жарғаққанаттылар,,C,test,Суды радиоактивті заттардан тазартуға қатысатын теңіз жануарлары:,"A)
Су айдындарын сәулелі қоспалардан арылтуға атсалысатын мұхит жәндіктері:

B)
Суларды иондаушы элементтерден фильтрлеуге қатысатын теңіз мақұлықтары:

C)
Су қоймаларын радиациялық материалдардан тазалауға септігін тигізетін су жануарлары:

D)
Суды нуклидті бөлшектерден залалсыздандыруға қатысатын теңіз тіршілік иелері:",Су айдындарын сәулелі қоспалардан арылтуға атсалысатын мұхит жәндіктері:,Суларды иондаушы элементтерден фильтрлеуге қатысатын теңіз мақұлықтары:,Су қоймаларын радиациялық материалдардан тазалауға септігін тигізетін су жануарлары:,Суды нуклидті бөлшектерден залалсыздандыруға қатысатын теңіз тіршілік иелері:,E,E,E,E,E
14495,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),Қораптағы \(30\) шардың \(10\)-ы қызыл шар. Қораптан кездейсоқ алынған шардың қызыл болу жиілігін табыңыз.,\(3\),\(\frac{1}{3}\),\(\frac{5}{6}\),"\(0,5\)",,B,test,Қораптағы \(30\) шардың \(10\)-ы қызыл шар. Қораптан кездейсоқ алынған шардың қызыл болу жиілігін табыңыз.,"A)
Сауыттағы \(30\) шардың \(10\)-ы ал қызыл шар. Сауыттан кездейсоқ суырылған шардың қызыл шығу жиілігін анықтаңыз.

B)
Жәшіктегі \(30\) шардың \(10\)-ы қызыл түсті. Жәшіктен кездейсоқ таңдалған шардың қызыл болу ықтималдығын есептеңіз.

C)
Қорапшадағы \(30\) шардың \(10\)-ы қызыл шар. Қорапшадан кездейсоқ суырылған шардың қызыл болу жиілігін көрсетіңіз.

D)
Контейнердегі \(30\) шардың \(10\)-ы қызыл нысан. Контейнерден кездейсоқ алынған шардың қызыл болу жиілігін табыңыз.",Сауыттағы \(30\) шардың \(10\)-ы ал қызыл шар. Сауыттан кездейсоқ суырылған шардың қызыл шығу жиілігін анықтаңыз.,Жәшіктегі \(30\) шардың \(10\)-ы қызыл түсті. Жәшіктен кездейсоқ таңдалған шардың қызыл болу ықтималдығын есептеңіз.,Қорапшадағы \(30\) шардың \(10\)-ы қызыл шар. Қорапшадан кездейсоқ суырылған шардың қызыл болу жиілігін көрсетіңіз.,Контейнердегі \(30\) шардың \(10\)-ы қызыл нысан. Контейнерден кездейсоқ алынған шардың қызыл болу жиілігін табыңыз.,E,E,E,E,E
12606,https://ymnik.kz/tests_old/literature_kz/?v=36,Humanities,Kazakh_Literature,High School,Kazakh,Kazakh Literature (High School in kaz),"Қ. Жұмаділовтің «Қаздар қайтып барады» туындысында жалғыз шалдың неге шегара бұзып,  тау асып келе жатқанын табыңыз.",Мал ұрлау үшін келеді.,Жаулардан қашып келеді.,Туған жеріне келеді.,Түрмеден қашып келеді.,Адасып келеді.,C,test,"Қ. Жұмаділовтің «Қаздар қайтып барады» туындысында жалғыз шалдың неге шегара бұзып,  тау асып келе жатқанын табыңыз.","A)
Қ. Жұмаділовтің «Қаздар қайтып барады» шығармасында жалғыз қарттың неліктен шеп бұзып, қыр асып келе жатқанын анықтаңыз.

B)
Қ. Жұмаділовтің «Қаздар қайтып барады» еңбегінде жалғыз ақсақалдың не себепті шекара аттап, бел асып келе жатқанын көрсетіңіз.

C)
Қ. Жұмаділовтің «Қаздар қайтып барады» туындысында соқыр шалдың не үшін шеп бұзып, жота асып келе жатқанын белгілеңіз.

D)
Қ. Жұмаділовтің «Қаздар қайтып барады» жазбасында жалғыз қарияның неліктен шекара бұзып, биік асып келе жатқанын іздеңіз.","Қ. Жұмаділовтің «Қаздар қайтып барады» шығармасында жалғыз қарттың неліктен шеп бұзып, қыр асып келе жатқанын анықтаңыз.","Қ. Жұмаділовтің «Қаздар қайтып барады» еңбегінде жалғыз ақсақалдың не себепті шекара аттап, бел асып келе жатқанын көрсетіңіз.","Қ. Жұмаділовтің «Қаздар қайтып барады» туындысында соқыр шалдың не үшін шеп бұзып, жота асып келе жатқанын белгілеңіз.","Қ. Жұмаділовтің «Қаздар қайтып барады» жазбасында жалғыз қарияның неліктен шекара бұзып, биік асып келе жатқанын іздеңіз.",E,E,E,E,A
22726,https://itest.kz/ru/endless,Humanities,World_History,High School,Russian,World History (High School in rus),В состав СССР в 1922 году вошло республик:,4,15,10,3,,A,test,В состав СССР в 1922 году вошло республик:,"A)
В структуру Советского Союза в 1922 году вошло республик:

B)
В перечень государств СССР в 1922 году вошло республик:

C)
В объединение стран СССР в 1922 году вошло республик:

D)
В число участников СССР в 1922 году вошло республик:",В структуру Советского Союза в 1922 году вошло республик:,В перечень государств СССР в 1922 году вошло республик:,В объединение стран СССР в 1922 году вошло республик:,В число участников СССР в 1922 году вошло республик:,A,A,A,A,A
6825,https://ymnik.kz/tests_old/geography_kz/?v=34,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),Өзбектер... регионында ерекше пайыз құрайды.,Солтүстік Қазақстан,Батыс Қазақстан,Оңтүстік Қазақстан,Шығыс Қазақстан,Орталық Қазақстан,C,test,Өзбектер... регионында ерекше пайыз құрайды.,"A)
Өзбек ұлты... аймағында айрықша үлес иеленеді.

B)
Өзбек халықтары... өлкесінде белгілі мөлшер құрайды.

C)
Өзбек өкілдері... алқабында өзгеше көрсеткіш иеленеді.

D)
Өзбек этносы... мекенінде ерекше үлес атқарады.",Өзбек ұлты... аймағында айрықша үлес иеленеді.,Өзбек халықтары... өлкесінде белгілі мөлшер құрайды.,Өзбек өкілдері... алқабында өзгеше көрсеткіш иеленеді.,Өзбек этносы... мекенінде ерекше үлес атқарады.,E,E,E,E,E
3386,https://itest.kz/kz/endless,STEM,Chemistry,High School,Kazakh,Chemistry (High School in kaz),"15,5 г кальций фосфатын алу үшін жұмсалатын негіз бен қышқылдың массалары (г).","11,1г; 9,8 г","28,2 г; 22,6 г","15,2 г; 33,6 г","31,2 г; 15,6 г",,A,test,"15,5 г кальций фосфатын алу үшін жұмсалатын негіз бен қышқылдың массалары (г).","A)
15,5 г кальций фосфатын синтездеу үшін қажетті сілті мен қышқылдың мөлшерлері (г).

B)
15,5 г кальций фосфатын өндіру үшін қолданылатын негіз бен қышқылдың салмақтары (г).

C)
15,5 г кальций фосфатын дайындау үшін жұмсалатын гидроксид пен қышқылдың грамдары (г).

D)
15,5 г кальций фосфатын шығарып алу үшін пайдаланылатын негіз бен қышқылдың көлемдері (г).","15,5 г кальций фосфатын синтездеу үшін қажетті сілті мен қышқылдың мөлшерлері (г).","15,5 г кальций фосфатын өндіру үшін қолданылатын негіз бен қышқылдың салмақтары (г).","15,5 г кальций фосфатын дайындау үшін жұмсалатын гидроксид пен қышқылдың грамдары (г).","15,5 г кальций фосфатын шығарып алу үшін пайдаланылатын негіз бен қышқылдың көлемдері (г).",A,A,A,A,A
16398,https://oltest.kz/tests/medicina/,STEM,Medicine,University,Russian,Medicine (Professional & University in rus),"Таламус является высшим подкорковым:
","Симпатическим центром
","Чувствительным центром
","Парасимпатическим центром
","Двигательным центром
",,B,test,"Таламус является высшим подкорковым:
","A)
Таламус выступает главным субкортикальным:

B)
Таламус представляется ведущим подкорковым:

C)
Таламус считается верховным субкортикальным:

D)
Таламус является важнейшим подкорковым:",Таламус выступает главным субкортикальным:,Таламус представляется ведущим подкорковым:,Таламус считается верховным субкортикальным:,Таламус является важнейшим подкорковым:,A,E,A,E,A
6327,https://itest.kz/kz/endless,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),Жеңіл өнеркәсіп саласы.,Май-сүт өңдеу,Ауылшаруашылық шикізаттарын,"Кондитер, қант өнеркәсібі","Тоқыма-тігін, трикотаж",,D,test,Жеңіл өнеркәсіп саласы.,"A)
Оңай индустрия секторы.

B)
Жұмсақ кәсіпшілік тармағы.

C)
Майда өндіріс аясы.

D)
Төменгі шаруашылық бағыты.",Оңай индустрия секторы.,Жұмсақ кәсіпшілік тармағы.,Майда өндіріс аясы.,Төменгі шаруашылық бағыты.,E,E,E,E,E
