question,тақырып,таңдаулар,жауап,sheet,instance,generated_options,option_a,option_b,option_c,option_d
 Конгресс округтерінің шекара сызықтары әр 10 жыл сайын қайта сызылып отыруы керек, орта мектеп_үкіметі_және_саясат, ['ұлттық халық санағы көрсеткен халық санының ауысуын көрсету'''конгресстегі орындардың көпшілігінің ауысуына кепілдік беру'''әр штаттың конгресс делегациясы тұрғындардың партиялық байланыстарын дәл көрсететініне көз жеткізу'''қай партияның көшбасшысы Өкілдер палатасының спикері болып тағайындалатынын анықтау'],0,Sheet1, Конгресс округтерінің шекара сызықтары әр 10 жыл сайын қайта сызылып отыруы керек,"A)
Конгресс округтерінің шекаралық шептері әр 10 жыл сайын жаңадан белгіленіп отыруы тиіс

B)
Конгресс аймақтарының шектеу сызықтары әр 10 жыл сайын қайта өзгертіліп тұруы қажет

C)
Конгресс округтерінің бөлініс сызықтары он жыл сайын қайтадан сызылып тұруы шарт

D)
Конгресс аудандарының межелік сызықтары әрбір 10 жыл сайын қайта жүргізіліп отыруы лазым",Конгресс округтерінің шекаралық шептері әр 10 жыл сайын жаңадан белгіленіп отыруы тиіс,Конгресс аймақтарының шектеу сызықтары әр 10 жыл сайын қайта өзгертіліп тұруы қажет,Конгресс округтерінің бөлініс сызықтары он жыл сайын қайтадан сызылып тұруы шарт,Конгресс аудандарының межелік сызықтары әрбір 10 жыл сайын қайта жүргізіліп отыруы лазым
 Лебердің тұқым қуалайтын көру атрофиясы келесі мутациядан туындайды:, медициналық_генетика, ['12-хромосома.' '18-хромосома.' '21-хромосома.' 'митохондриялық ДНҚ.'],3,Sheet1, Лебердің тұқым қуалайтын көру атрофиясы келесі мутациядан туындайды:,"A)
Лебердің генетикалық берілетін жанар атрофиясы келесі өзгерістен туындайды:

B)
Лебердің нәсілдік жолмен өтетін көру атрофиясы келесі ауытқудан туындайды:

C)
Лебердің тұқым арқылы келетін көз атрофиясы келесі мутациядан пайда болады:

D)
Лебердің гендік негіздегі қарау атрофиясы келесі трансформациядан туындайды:",Лебердің генетикалық берілетін жанар атрофиясы келесі өзгерістен туындайды:,Лебердің нәсілдік жолмен өтетін көру атрофиясы келесі ауытқудан туындайды:,Лебердің тұқым арқылы келетін көз атрофиясы келесі мутациядан пайда болады:,Лебердің гендік негіздегі қарау атрофиясы келесі трансформациядан туындайды:
 Бағалы қағаздарды секьюритилендіру процесі қалай аяқталады?, қауіпсіздікті зерттеу,"[«Құнды қағаздарды секьюритизациялау процесі – саяси салаға кірмейтін мәселе саясиландырылып, саяси жүйе шеңберінде басқарылатын кезде. Құнды қағаздарға айналдырылған мәселе үкіметтік әрекетті талап ететін мемлекеттік саясаттың бөлігі болып табылады; шешім қабылдау, ресурстарды бөлу және тіпті қауымдастықты басқару». «Құнды қағаздарға айналдырушы субъект саяси саладан тыс болған кезде мәселені секьюритизациялауды талап ете алады. Экзистенциалды қауіп қоғамдық талқылауға кірмеген кезде де мемлекеттің назарын аударатын мәселе болуы мүмкін. Құнды қағаздарға айналдыру дегеніміз – қауіпті саяси процесте пайда болғанға дейін тану». «Құнды қағаздарға айналдыру дегеніміз – мәселелердің саясаттандырылған күйден саясаттың жоғары күйіне, шешім қабылдау қызметінің қалыпты саяси саласынан тысқа жылжуын білдіреді. Саяси саладан жоғары қойылғаннан кейін, оны қалыпты іс-шаралардан жоғары мемлекеттік мүддеге айналдырғаннан кейін қоғамдық салаға қайтаруға болмайды». «Мәселе саясаттандырылған саладан секьюритизацияланған салаға ауысқан кезде қауіпсіздік мәселесі ретінде қарастырылатын секьюритизациялануы мүмкін. Бағалы қағаздарды секьюритизациялау процесінде бағалы қағаздарды секьюритизациялаушы актер(лер) аудиторияны қарастырылып отырған мәселенің шұғыл және басымдықты екеніне және оның қандай да бір сілтеме жасайтын объектіге экзистенциалды қауіп төндіретініне сендіру үшін дискурсты пайдаланады.",3,Sheet1, Бағалы қағаздарды секьюритилендіру процесі қалай аяқталады?,"A)
Құнды қағаздарды секьюритилендіру барысы қалай тәмамдалады?

B)
Активтерді бағалы қағаздарға айналдыру кезеңі қалай бітеді?

C)
Инвестициялық құралдарды секьюритизациялау әдісі қалай қорытындыланады?

D)
Бағалы қағаздарды секьюритилендіру амалы қалай аяққа жетеді?",Құнды қағаздарды секьюритилендіру барысы қалай тәмамдалады?,Активтерді бағалы қағаздарға айналдыру кезеңі қалай бітеді?,Инвестициялық құралдарды секьюритизациялау әдісі қалай қорытындыланады?,Бағалы қағаздарды секьюритилендіру амалы қалай аяққа жетеді?
 Парацетамол қабылдаған кезде пациенттер төмендегілердің қайсысын есте сақтауы керек?, клиникалық_білім,"[«Бұл Варфарин сияқты басқа дәрілердің тиімділігіне кедергі келтіруі мүмкін». «Оны тек «қажет болған жағдайда» беру керек». «Пациенттер кездейсоқ артық дозалануды болдырмау үшін рецептсіз сатылатын суық тиюге қарсы дәрілердің құрамын мұқият тексеруі керек, себебі мұндай препараттардың құрамында көбінесе қосымша парацетамол болады». «Бұл қызбамен ауыратын науқастарға қарсы көрсетілімде.»",2,Sheet1, Парацетамол қабылдаған кезде пациенттер төмендегілердің қайсысын есте сақтауы керек?,"A)
Парацетамол ішкен уақытта науқастар келесілердің қайсысын жадында сақтауы тиіс?

B)
Парацетамолды қолданған сәтте емделушілер мыналардың қайсысын ұмытпауы қажет?

C)
Парацетамолды пайдаланғанда сырқаттар төмендегі жайттардың қайсысын білуі лазым?

D)
Парацетамолды тұтынған кезеңде адамдар төмендегілердің қайсысын ескерулері керек?",Парацетамол ішкен уақытта науқастар келесілердің қайсысын жадында сақтауы тиіс?,Парацетамолды қолданған сәтте емделушілер мыналардың қайсысын ұмытпауы қажет?,Парацетамолды пайдаланғанда сырқаттар төмендегі жайттардың қайсысын білуі лазым?,Парацетамолды тұтынған кезеңде адамдар төмендегілердің қайсысын ескерулері керек?
" Жаңа өнімнің күтілетін сату бағасы - $19.00. Басшылықтың мақсаты - барлық сатылымдардан 20% үлес маржасын алу. Егер жаңа өнімнің айнымалы сату және тарату шығындары бір данасына $3.00 болса, өнімнің мақсатты айнымалы өндірістік құны қандай?", кәсіби_бухгалтерлік_есеп, ['$12.20' '$12.80' '$15.80' '18.2'],0,Sheet1," Жаңа өнімнің күтілетін сату бағасы - $19.00. Басшылықтың мақсаты - барлық сатылымдардан 20% үлес маржасын алу. Егер жаңа өнімнің айнымалы сату және тарату шығындары бір данасына $3.00 болса, өнімнің мақсатты айнымалы өндірістік құны қандай?","A)
Жаңа тауардың болжамды сауда құны - $19.00. Дирекцияның межесі - барлық өтімдерден 20% маржалық табыс табу. Егер жаңа тауардың ауыспалы сату және жеткізу шығыстары бір бірлігіне $3.00 болса, тауардың жоспарлы ауыспалы дайындау өзіндік құны қанша?

B)
Жаңа бұйымның жоспарланған өткізу бағасы - $19.00. Басқарушылықтың нысанасы - бүкіл саудадан 20% үлестік маржаны иелену. Егер жаңа бұйымның айнымалы өткізу және үлестіру шығындары бір данасына $3.00 болса, бұйымның көздеген айнымалы өндірістік шығыны қандай?

C)
Жаңа өнімнің қарастырылған реализация бағасы - $19.00. Әкімшіліктің мұраты - жалпы сатылымнан 20% маржалық үлесті алу. Егер жаңа өнімнің құбылмалы сауда және тарату шығындары бір данасына $3.00 болса, өнімнің нысаналы құбылмалы өндірістік бағасы қаншалықты?

D)
Жаңа бұйымның күтіліп отырған сату құны - $19.00. Менеджменттің мақсаты - барлық өткізуден 20% маржалық пайданы қамтамасыз ету. Егер жаңа бұйымның айнымалы сауда және жеткізу шығыстары бір бірлігіне $3.00 болса, бұйымның мақсатты айнымалы жасап шығару құны қандай?","Жаңа тауардың болжамды сауда құны - $19.00. Дирекцияның межесі - барлық өтімдерден 20% маржалық табыс табу. Егер жаңа тауардың ауыспалы сату және жеткізу шығыстары бір бірлігіне $3.00 болса, тауардың жоспарлы ауыспалы дайындау өзіндік құны қанша?","Жаңа бұйымның жоспарланған өткізу бағасы - $19.00. Басқарушылықтың нысанасы - бүкіл саудадан 20% үлестік маржаны иелену. Егер жаңа бұйымның айнымалы өткізу және үлестіру шығындары бір данасына $3.00 болса, бұйымның көздеген айнымалы өндірістік шығыны қандай?","Жаңа өнімнің қарастырылған реализация бағасы - $19.00. Әкімшіліктің мұраты - жалпы сатылымнан 20% маржалық үлесті алу. Егер жаңа өнімнің құбылмалы сауда және тарату шығындары бір данасына $3.00 болса, өнімнің нысаналы құбылмалы өндірістік бағасы қаншалықты?","Жаңа бұйымның күтіліп отырған сату құны - $19.00. Менеджменттің мақсаты - барлық өткізуден 20% маржалық пайданы қамтамасыз ету. Егер жаңа бұйымның айнымалы сауда және жеткізу шығыстары бір бірлігіне $3.00 болса, бұйымның мақсатты айнымалы жасап шығару құны қандай?"
" Джулия табысын көтергеннен кейін, ол балмұздақ конустарын көбірек және балмұздақтарды азырақ сатып ала бастады. Джулия үшін балмұздақ", орта мектеп_микроэкономикасы, ['сұраныс заңына бағынбау' 'бірлескен өнім' 'балмұздақпен толықтырылатын тауар' 'төмен сапалы тауар'],3,Sheet1," Джулия табысын көтергеннен кейін, ол балмұздақ конустарын көбірек және балмұздақтарды азырақ сатып ала бастады. Джулия үшін балмұздақ","A)
Джулия кірісін арттырғаннан соң, ол балмұздақ мүйізшелерін көбірек және балмұздақтарды азырақ сатып ала бастады. Джулия үшін балмұздақ

B)
Джулия табысын ұлғайтқаннан кейін, ол балмұздақ конустарын молырақ және балмұздақтарды сирегірек сатып ала бастады. Джулия үшін балмұздақ

C)
Джулия нәпақасын өсіргеннен соң, ол балмұздақ мүйізшелерін жиірек және балмұздақтарды сирегірек сатып ала бастады. Джулия үшін балмұздақ

D)
Джулия табысын көбейткеннен кейін, ол балмұздақ конустарын көбірек және балмұздақтарды аз мөлшерде сатып ала бастады. Джулия үшін балмұздақ","Джулия кірісін арттырғаннан соң, ол балмұздақ мүйізшелерін көбірек және балмұздақтарды азырақ сатып ала бастады. Джулия үшін балмұздақ","Джулия табысын ұлғайтқаннан кейін, ол балмұздақ конустарын молырақ және балмұздақтарды сирегірек сатып ала бастады. Джулия үшін балмұздақ","Джулия нәпақасын өсіргеннен соң, ол балмұздақ мүйізшелерін жиірек және балмұздақтарды сирегірек сатып ала бастады. Джулия үшін балмұздақ","Джулия табысын көбейткеннен кейін, ол балмұздақ конустарын көбірек және балмұздақтарды аз мөлшерде сатып ала бастады. Джулия үшін балмұздақ"
MMPI нәтижелері қандай тұлға теоретигін көбірек қызықтырады?, орта мектеп психологиясы, ['психоаналитикалық' 'гуманистік' 'бихевиористік' 'қасиет'],3,Sheet1,MMPI нәтижелері қандай тұлға теоретигін көбірек қызықтырады?,"A)
MMPI қорытындылары қай индивид зерттеушісін айтарлықтай еліктіреді?

B)
MMPI көрсеткіштері қай кейіпкер концептуалшысын басымдау таңғалдырады?

C)
MMPI деректері қай адам ілімгерін көбіне-көп ынталандырады?

D)
MMPI мәліметтері қай тұлғатанушы маманды ерекше қызықтырады?",MMPI қорытындылары қай индивид зерттеушісін айтарлықтай еліктіреді?,MMPI көрсеткіштері қай кейіпкер концептуалшысын басымдау таңғалдырады?,MMPI деректері қай адам ілімгерін көбіне-көп ынталандырады?,MMPI мәліметтері қай тұлғатанушы маманды ерекше қызықтырады?
 ХІХ ғасырдағы өнеркәсіптік өндіріс келесі белгілермен сипатталды:, әлеуметтану," ['жоғары мәртебелі лауазымдардағы әйелдер санының артуы'', 'үй шаруашылығында жұмыс істейтін үй шаруасындағы әйелдер мен үй шаруасындағы жұмысшылар'', 'меншік пен бақылаудың бөлінуіне себеп болған 'басқарушылық революция'', 'билікпен басқарылатын машиналар және жұмысшылардың ірі жұмыс орындарына шоғырлануы']",3,Sheet1, ХІХ ғасырдағы өнеркәсіптік өндіріс келесі белгілермен сипатталды:,"A)
19-шы жүзжылдықтағы индустриялық дайындау келесі нышандармен ерекшеленді:

B)
ХІХ дәуірдегі заводтық шығарылым төмендегі қасиеттермен айқындалды:

C)
Тоғызыншы онжылдықтағы фабрикалық өнім келесі нысандармен бейнеленді:

D)
Өткен ғасырдағы техникалық жасап шығару мынадай сипаттармен көрсетілді:",19-шы жүзжылдықтағы индустриялық дайындау келесі нышандармен ерекшеленді:,ХІХ дәуірдегі заводтық шығарылым төмендегі қасиеттермен айқындалды:,Тоғызыншы онжылдықтағы фабрикалық өнім келесі нысандармен бейнеленді:,Өткен ғасырдағы техникалық жасап шығару мынадай сипаттармен көрсетілді:
 Номиналды ЖІӨ өскен кезде ақшаға сұраныстың артуын күтеміз, орта мектеп_макроэкономикасы," ['пайыздық мөлшерлемені арттыратын қаржы активі ретінде тұтынушылар көбірек ақша талап еткен сайын өсу.' 'пайыздық мөлшерлемені арттыратын тұтынушылар транзакциялар үшін көбірек ақша талап еткен сайын өсу.' 'доллардың сатып алу қабілеті төмендеген сайын пайыздық мөлшерлемені төмендету.' 'тұтынушылар транзакциялар үшін көбірек ақша талап еткен сайын төмендеу, пайыздық мөлшерлемені арттыру.'",1,Sheet1, Номиналды ЖІӨ өскен кезде ақшаға сұраныстың артуын күтеміз,"A)
Атаулы ЖІӨ ұлғайған шақта қаражатқа қажеттіліктің көбеюін болжаймыз

B)
Номиналды ішкі өнім көтерілген уақытта ақшаға деген сұраныстың өсуін күтеміз

C)
Атаулы ЖІӨ молайған кезде қаржыға сұраныс артуын жоспарлаймыз

D)
Номиналды ЖІӨ жоғарылаған сәтте ақшалай сұраныстың ұлғаюын күтеміз",Атаулы ЖІӨ ұлғайған шақта қаражатқа қажеттіліктің көбеюін болжаймыз,Номиналды ішкі өнім көтерілген уақытта ақшаға деген сұраныстың өсуін күтеміз,Атаулы ЖІӨ молайған кезде қаржыға сұраныс артуын жоспарлаймыз,Номиналды ЖІӨ жоғарылаған сәтте ақшалай сұраныстың ұлғаюын күтеміз
 Шығыс Азияның индустриалды аймақтары туралы келесі тұжырымдардың қайсысы дұрыс?, орта мектеп географиясы," ['Жапонияда бай табиғи ресурстар базасы бар.' 'Қытайда табиғи ресурстар жетіспейді, бірақ жұмыс күші көп.' 'Қытай тез индустрияланып жатыр.' 'Тайваньда өнеркәсіптік кәсіпорындар мен білімді жұмыс күші жетіспейді.']",2,Sheet1, Шығыс Азияның индустриалды аймақтары туралы келесі тұжырымдардың қайсысы дұрыс?,"A)
Шығыс Азияның өнеркәсіптік аудандары жайлы келесі пайымдаулардың қайсысы ақиқат?

B)
Шығыс Азиядағы өндірістік өңірлер жөніндегі төмендегі пікірлердің қайсысы нақты?

C)
Шығыс Азияда орналасқан индустриялық аймақтар туралы мына тұжырымдардың қайсысы тура?

D)
Шығыс Азия бөлігінің зауыттық аумақтары қақындағы келесі пайымдардың қайсысы дұрыс?",Шығыс Азияның өнеркәсіптік аудандары жайлы келесі пайымдаулардың қайсысы ақиқат?,Шығыс Азиядағы өндірістік өңірлер жөніндегі төмендегі пікірлердің қайсысы нақты?,Шығыс Азияда орналасқан индустриялық аймақтар туралы мына тұжырымдардың қайсысы тура?,Шығыс Азия бөлігінің зауыттық аумақтары қақындағы келесі пайымдардың қайсысы дұрыс?
 Фортепиано нотасы соғылған кезде 1134 Гц камертон соғылады. Сіз секундына үш соққы естисіз. Фортепиано ішегінің жиілігі, тұжырымдамалық_физика,['1131 Гц' '1134 Гц' '1137 Гц' 'Қосымша ақпарат қажет'],3,Sheet1, Фортепиано нотасы соғылған кезде 1134 Гц камертон соғылады. Сіз секундына үш соққы естисіз. Фортепиано ішегінің жиілігі,"A)
Пианино дыбысы шыққан сәтте 1134 Гц камертон тербеледі. Сіз секунд сайын үш лүпіл тыңдайсыз. Пианино сымының тербелісі

B)
Рояль таңбасы басылған уақытта 1134 Гц камертон ұрылады. Сіз секунд ішінде үш дыбыс қабылдайсыз. Рояль қылының жиіліктері

C)
Аспап пернесі тиген мезетте 1134 Гц камертон қозғалады. Сіз секунд барысында үш соғуды аңғарасыз. Аспап ішегінің тербеліс саны

D)
Музыкалық нота ойналған кезде 1134 Гц камертон іске қосылады. Сіз секундтық аралықта үш соққыны байқайсыз. Музыкалық сымның жиілігі",Пианино дыбысы шыққан сәтте 1134 Гц камертон тербеледі. Сіз секунд сайын үш лүпіл тыңдайсыз. Пианино сымының тербелісі,Рояль таңбасы басылған уақытта 1134 Гц камертон ұрылады. Сіз секунд ішінде үш дыбыс қабылдайсыз. Рояль қылының жиіліктері,Аспап пернесі тиген мезетте 1134 Гц камертон қозғалады. Сіз секунд барысында үш соғуды аңғарасыз. Аспап ішегінің тербеліс саны,Музыкалық нота ойналған кезде 1134 Гц камертон іске қосылады. Сіз секундтық аралықта үш соққыны байқайсыз. Музыкалық сымның жиілігі
 2017 жылы жан басына шаққанда келесі елдердің қайсысы ең көп CO2 шығарды?, жаһандық_фактілер, ['Жапония' 'Канада' 'Ресей' 'Иран'],1,Sheet1, 2017 жылы жан басына шаққанда келесі елдердің қайсысы ең көп CO2 шығарды?,"A)
 2017 жылы адам басына есептегенде келесі мемлекеттердің қайсысы ең мол CO2 бөлді?

B)
 2017 жылы тұрғын басына шаққанда төмендегі елдердің қайсысы ең үлкен CO2 таратты?

C)
 2017 жылы әр адамға шаққанда аталған елдердің қайсысы ең жоғары CO2 шығарды?

D)
 2017 жылы жан басына есептегенде берілген мемлекеттердің қайсысы ең көп CO2 шығарды?",2017 жылы адам басына есептегенде келесі мемлекеттердің қайсысы ең мол CO2 бөлді?,2017 жылы тұрғын басына шаққанда төмендегі елдердің қайсысы ең үлкен CO2 таратты?,2017 жылы әр адамға шаққанда аталған елдердің қайсысы ең жоғары CO2 шығарды?,2017 жылы жан басына есептегенде берілген мемлекеттердің қайсысы ең көп CO2 шығарды?
" Келесі аргумент үшін толық ақиқат кестесін құрыңыз. Содан кейін, ақиқат кестесін пайдаланып, аргументтің жарамды немесе жарамсыз екенін анықтаңыз. Егер аргумент жарамсыз болса, қарсы мысалды ұсынатын нұсқаны таңдаңыз. (Басқа қарсы мысалдар да болуы мүмкін.) ~(M ≡ ~N) M / N", формальды_логика,['Жарамды' 'Жарамсыз. M және N шын болған кездегі қарсы мысал' 'Жарамсыз. M шын және N жалған болған кездегі қарсы мысал' 'Жарамсыз. N шын және M жалған болған кездегі қарсы мысал'],0,Sheet1," Келесі аргумент үшін толық ақиқат кестесін құрыңыз. Содан кейін, ақиқат кестесін пайдаланып, аргументтің жарамды немесе жарамсыз екенін анықтаңыз. Егер аргумент жарамсыз болса, қарсы мысалды ұсынатын нұсқаны таңдаңыз. (Басқа қарсы мысалдар да болуы мүмкін.) ~(M ≡ ~N) M / N","A)
Келесі дәйектеме үшін толық ақиқаттық кестесін жасаңыз. Одан соң, ақиқаттық кестесін қолданып, дәйектеменің дұрыс немесе бұрыс екенін айқындаңыз. Егер дәйектеме бұрыс болса, теріске шығаратын мысалды көрсететін нұсқаны таңдаңыз. (Өзге теріске шығаратын мысалдар да болуы ықтимал.) ~(M ≡ ~N) M / N

B)
Төмендегі дәлел үшін толық шындық кестесін тұрғызыңыз. Сосын, шындық кестесін пайдалана отырып, дәлелдің қисынды немесе қисынсыз екенін белгілеңіз. Егер дәлел қисынсыз болса, қарсы мысалды келтіретін нұсқаны белгілеңіз. (Басқа да қарсы мысалдар кездесуі мүмкін.) ~(M ≡ ~N) M / N

C)
Келесі тұжырым үшін толық логикалық кестені құрастырыңыз. Содан кейін, логикалық кестені қолдана отырып, тұжырымның негізді немесе негізсіз екенін шешіңіз. Егер тұжырым негізсіз болса, терістеу мысалын ұсынатын жауапты көрсетіңіз. (Басқа терістеу мысалдары да табылуы мүмкін.) ~(M ≡ ~N) M / N

D)
Аталған пайымдау үшін толық ақиқат мәндер кестесін сызыңыз. Одан кейін, ақиқат мәндер кестесі арқылы пайымдаудың маңызды немесе маңызсыз екенін тексеріңіз. Егер пайымдау маңызсыз болса, деструктивті мысалды беретін таңдауды белгілеңіз. (Өзге де деструктивті мысалдар болуы ғажап емес.) ~(M ≡ ~N) M / N","Келесі дәйектеме үшін толық ақиқаттық кестесін жасаңыз. Одан соң, ақиқаттық кестесін қолданып, дәйектеменің дұрыс немесе бұрыс екенін айқындаңыз. Егер дәйектеме бұрыс болса, теріске шығаратын мысалды көрсететін нұсқаны таңдаңыз. (Өзге теріске шығаратын мысалдар да болуы ықтимал.) ~(M ≡ ~N) M / N","Төмендегі дәлел үшін толық шындық кестесін тұрғызыңыз. Сосын, шындық кестесін пайдалана отырып, дәлелдің қисынды немесе қисынсыз екенін белгілеңіз. Егер дәлел қисынсыз болса, қарсы мысалды келтіретін нұсқаны белгілеңіз. (Басқа да қарсы мысалдар кездесуі мүмкін.) ~(M ≡ ~N) M / N","Келесі тұжырым үшін толық логикалық кестені құрастырыңыз. Содан кейін, логикалық кестені қолдана отырып, тұжырымның негізді немесе негізсіз екенін шешіңіз. Егер тұжырым негізсіз болса, терістеу мысалын ұсынатын жауапты көрсетіңіз. (Басқа терістеу мысалдары да табылуы мүмкін.) ~(M ≡ ~N) M / N","Аталған пайымдау үшін толық ақиқат мәндер кестесін сызыңыз. Одан кейін, ақиқат мәндер кестесі арқылы пайымдаудың маңызды немесе маңызсыз екенін тексеріңіз. Егер пайымдау маңызсыз болса, деструктивті мысалды беретін таңдауды белгілеңіз. (Өзге де деструктивті мысалдар болуы ғажап емес.) ~(M ≡ ~N) M / N"
" Көмек агенттіктеріне қайырымдылық жасау бойынша қосалқы міндеттеріміз бар екенін мойындай отырып, Эшфорд біз мұны істей аламыз деп тұжырымдайды", моральдық_даулар,"[«тиімді альтруизм ең жақсы жағдайда жабысқақ тәсіл болып табылады деген сынның күшін мойындау, сонымен бірге осы сынды тарату». «тиімді альтруизмнің жаһандық кедейлікке дұрыс жауап бола алмайтынын мойындау». «қосымша міндеттер моральдық тұрғыдан шұғыл емес болғандықтан, жаһандық кедейлерге қатысты міндеттерімізге жеңілдік сезіну». «Жоғарыда айтылғандардың ешқайсысы емес».]",0,Sheet1," Көмек агенттіктеріне қайырымдылық жасау бойынша қосалқы міндеттеріміз бар екенін мойындай отырып, Эшфорд біз мұны істей аламыз деп тұжырымдайды","A)
Жәрдем мекемелеріне қаражат аудару жөніндегі жанама борыштарымыз бар екенін біле тұра, Эшфорд біз мұны атқара аламыз деп қорытындылайды

B)
Қолдау ұйымдарына демеушілік көрсету бойынша қосымша парыздарымыз бар екенін түсіне отырып, Эшфорд біз мұны орындай аламыз деп пайымдайды

C)
Гуманитарлық топтарға бейілділік таныту жөніндегі екінші кезектегі міндеттемелеріміз бар екенін мақұлдай отырып, Эшфорд біз мұны жасай аламыз деп есептейді

D)
Ресурстық орталықтарға жәрдем беру бойынша ілеспе жауапкершіліктеріміз бар екенін ұғына отырып, Эшфорд біз мұны жүзеге асыра аламыз деп тұжырым жасайды","Жәрдем мекемелеріне қаражат аудару жөніндегі жанама борыштарымыз бар екенін біле тұра, Эшфорд біз мұны атқара аламыз деп қорытындылайды","Қолдау ұйымдарына демеушілік көрсету бойынша қосымша парыздарымыз бар екенін түсіне отырып, Эшфорд біз мұны орындай аламыз деп пайымдайды","Гуманитарлық топтарға бейілділік таныту жөніндегі екінші кезектегі міндеттемелеріміз бар екенін мақұлдай отырып, Эшфорд біз мұны жасай аламыз деп есептейді","Ресурстық орталықтарға жәрдем беру бойынша ілеспе жауапкершіліктеріміз бар екенін ұғына отырып, Эшфорд біз мұны жүзеге асыра аламыз деп тұжырым жасайды"
